cell,temperature_C,current_density_A_cm2,frequency_Hz,Z_real_Ohm_cm2,Z_imag_Ohm_cm2
2,700,0.5,0.1314,0.78985,-0.00456
2,700,0.5,0.1727,0.78959,-0.00594
2,700,0.5,0.227,0.78947,-0.00835
2,700,0.5,0.2982,0.7894,-0.01044
2,700,0.5,0.3919,0.78926,-0.01438
2,700,0.5,0.5151,0.78887,-0.01873
2,700,0.5,0.6769,0.78817,-0.02462
2,700,0.5,0.8895,0.78631,-0.03219
2,700,0.5,1.169,0.78494,-0.04187
2,700,0.5,1.5362,0.78166,-0.05478
2,700,0.5,2.0188,0.77562,-0.07094
2,700,0.5,2.6529,0.7658,-0.09042
2,700,0.5,3.4864,0.74971,-0.11316
2,700,0.5,4.5816,0.72633,-0.13753
2,700,0.5,6.0209,0.69251,-0.16028
2,700,0.5,7.9123,0.64918,-0.17589
2,700,0.5,10.398,0.60047,-0.17977
2,700,0.5,13.6645,0.55335,-0.17087
2,700,0.5,17.9571,0.51316,-0.15181
2,700,0.5,23.5983,0.48373,-0.12828
2,700,0.5,31.0117,0.46253,-0.10395
2,700,0.5,40.7539,0.44967,-0.08239
2,700,0.5,53.5567,0.44173,-0.06426
2,700,0.5,70.3814,0.43668,-0.04953
2,700,0.5,92.4915,0.43414,-0.03798
2,700,0.5,121.5474,0.43191,-0.02928
2,700,0.5,159.7312,0.43119,-0.02239
2,700,0.5,209.9104,0.43028,-0.01676
2,700,0.5,275.8532,0.43039,-0.01294
2,700,0.5,362.5117,0.43012,-0.00976
2,700,0.5,476.3938,0.43007,-0.00733
2,700,0.5,626.0517,0.42936,-0.00572
2,700,0.5,822.7241,0.42995,-0.0044
2,700,0.5,1081.1808,0.42983,-0.00314
2,700,0.5,1420.8308,0.42983,-0.0022
2,700,0.5,1867.1811,0.43003,-0.00193
2,700,0.5,2453.7511,0.42976,-0.00202
2,700,0.5,3224.5905,0.42973,-0.00137
2,700,0.5,4237.5872,0.42984,-0.00081
2,700,0.5,5568.814,0.42994,-0.00036
2,700,0.5,7318.2422,0.42979,-3e-05
2,700,0.5,9617.2487,0.42984,-0.00063
2,700,0.5,12638.482,0.42968,-0.00036
2,700,0.5,16608.8278,0.42992,-0.0004
2,700,0.5,21826.4473,0.42974,-0.0002
2,700,0.5,28683.1681,0.42971,4e-05
2,700,0.5,37693.9098,0.42992,0.00014
2,700,0.5,49535.3521,0.42973,0.00017
2,700,0.5,65096.7523,0.42952,-0.00033
2,700,0.5,85546.7254,0.42955,-4e-05
2,700,0.5,112421.0035,0.43004,-0.00015
2,700,0.5,147737.7653,0.4297,-7e-05
2,700,0.5,194149.1946,0.42991,-0.00011
2,700,0.5,255140.652,0.42969,-0.00028
2,700,0.5,335292.4149,0.42968,0.00022
2,700,0.5,440623.6428,0.42981,-0.00016
2,700,0.5,579044.3981,0.43004,-0.00012
2,700,0.5,760949.6685,0.43008,0.00028
2,700,0.5,1000000.0,0.42981,-0.0003
3,700,0.0,0.1,0.96745,-0.00537
3,700,0.0,0.1314,0.96688,-0.00696
3,700,0.0,0.1727,0.96702,-0.00914
3,700,0.0,0.227,0.96663,-0.01229
3,700,0.0,0.2982,0.96631,-0.01609
3,700,0.0,0.3919,0.96619,-0.02125
3,700,0.0,0.5151,0.96555,-0.02802
3,700,0.0,0.6769,0.96435,-0.03653
3,700,0.0,0.8895,0.96301,-0.04815
3,700,0.0,1.169,0.95972,-0.06268
3,700,0.0,1.5362,0.95433,-0.08197
3,700,0.0,2.0188,0.9452,-0.10566
3,700,0.0,2.6529,0.93039,-0.13443
3,700,0.0,3.4864,0.90748,-0.16877
3,700,0.0,4.5816,0.87131,-0.20558
3,700,0.0,6.0209,0.82127,-0.23849
3,700,0.0,7.9123,0.75663,-0.26204
3,700,0.0,10.398,0.68425,-0.26824
3,700,0.0,13.6645,0.61416,-0.25505
3,700,0.0,17.9571,0.55424,-0.22646
3,700,0.0,23.5983,0.50975,-0.19099
3,700,0.0,31.0117,0.47904,-0.15494
3,700,0.0,40.7539,0.4596,-0.12278
3,700,0.0,53.5567,0.44746,-0.09583
3,700,0.0,70.3814,0.44015,-0.07395
3,700,0.0,92.4915,0.43603,-0.05671
3,700,0.0,121.5474,0.43301,-0.04366
3,700,0.0,159.7312,0.43149,-0.03294
3,700,0.0,209.9104,0.43075,-0.02514
3,700,0.0,275.8532,0.43051,-0.0192
3,700,0.0,362.5117,0.43028,-0.01458
3,700,0.0,476.3938,0.42949,-0.01119
3,700,0.0,626.0517,0.43002,-0.00814
3,700,0.0,822.7241,0.43021,-0.00671
3,700,0.0,1081.1808,0.42977,-0.00522
3,700,0.0,1420.8308,0.43013,-0.00353
3,700,0.0,1867.1811,0.42988,-0.00281
3,700,0.0,2453.7511,0.43008,-0.00192
3,700,0.0,3224.5905,0.43003,-0.00155
3,700,0.0,4237.5872,0.42973,-0.0011
3,700,0.0,5568.814,0.42996,-0.00099
3,700,0.0,7318.2422,0.42973,-0.0005
3,700,0.0,9617.2487,0.43013,-0.0007
3,700,0.0,12638.482,0.42974,-0.00035
3,700,0.0,16608.8278,0.42989,-0.00042
3,700,0.0,21826.4473,0.43017,-0.00016
3,700,0.0,28683.1681,0.4299,0.00017
3,700,0.0,37693.9098,0.42971,-0.00016
3,700,0.0,49535.3521,0.42955,-0.00014
3,700,0.0,65096.7523,0.4295,7e-05
3,700,0.0,85546.7254,0.42988,-0.00012
3,700,0.0,112421.0035,0.42978,0.00011
3,700,0.0,147737.7653,0.42957,0.0
3,700,0.0,194149.1946,0.42994,-0.00038
3,700,0.0,255140.652,0.42993,-0.00036
3,700,0.0,335292.4149,0.42977,-0.00025
3,700,0.0,440623.6428,0.43008,-0.00024
3,700,0.0,579044.3981,0.42947,2e-05
3,700,0.0,760949.6685,0.42971,-0.00031
3,700,0.0,1000000.0,0.4299,-0.0004
3,700,0.1,0.1,0.92548,-0.00514
3,700,0.1,0.1314,0.92581,-0.00635
3,700,0.1,0.1727,0.92581,-0.00871
3,700,0.1,0.227,0.92499,-0.01132
3,700,0.1,0.2982,0.92558,-0.01473
3,700,0.1,0.3919,0.92505,-0.01991
3,700,0.1,0.5151,0.92428,-0.02543
3,700,0.1,0.6769,0.92313,-0.03409
3,700,0.1,0.8895,0.92193,-0.04444
3,700,0.1,1.169,0.91864,-0.05764
3,700,0.1,1.5362,0.91409,-0.07546
3,700,0.1,2.0188,0.90558,-0.09698
3,700,0.1,2.6529,0.8923,-0.12408
3,700,0.1,3.4864,0.87087,-0.15589
3,700,0.1,4.5816,0.83767,-0.18915
3,700,0.1,6.0209,0.79146,-0.22089
3,700,0.1,7.9123,0.73174,-0.24207
3,700,0.1,10.398,0.66457,-0.24758
3,700,0.1,13.6645,0.59949,-0.23547
3,700,0.1,17.9571,0.54464,-0.20941
3,700,0.1,23.5983,0.50358,-0.17671
3,700,0.1,31.0117,0.4757,-0.14319
3,700,0.1,40.7539,0.45762,-0.11345
3,700,0.1,53.5567,0.44597,-0.08802
3,700,0.1,70.3814,0.43924,-0.06822
3,700,0.1,92.4915,0.43552,-0.05256
3,700,0.1,121.5474,0.43319,-0.03988
3,700,0.1,159.7312,0.43194,-0.03034
3,700,0.1,209.9104,0.43115,-0.02328
3,700,0.1,275.8532,0.43026,-0.01729
3,700,0.1,362.5117,0.42986,-0.01377
3,700,0.1,476.3938,0.43012,-0.00994
3,700,0.1,626.0517,0.42996,-0.00761
3,700,0.1,822.7241,0.42947,-0.00605
