cell,temperature_C,mode,current_density_A_cm2,voltage_V
1,750,SOEC,0.55,2.3321
1,750,SOEC,0.6,2.3782
1,750,SOEC,0.65,2.4218
1,750,SOEC,0.7,2.4587
1,750,SOEC,0.75,2.4945
1,750,SOEC,0.8,2.5261
1,750,SOEC,0.85,2.5678
1,750,SOEC,0.9,2.6017
1,750,SOEC,0.95,2.6352
1,750,SOEC,1.0,2.6731
1,800,SOFC,0.0,0.9656
1,800,SOFC,0.05,0.5037
1,800,SOFC,0.1,0.2913
1,800,SOFC,0.15,0.1547
1,800,SOFC,0.2,0.0511
1,800,SOFC,0.25,-0.0364
1,800,SOFC,0.3,-0.1052
1,800,SOFC,0.35,-0.1691
1,800,SOFC,0.4,-0.2302
1,800,SOFC,0.45,-0.2749
1,800,SOFC,0.5,-0.3255
1,800,SOFC,0.55,-0.3748
1,800,SOFC,0.6,-0.4109
1,800,SOFC,0.65,-0.4485
1,800,SOFC,0.7,-0.483
1,800,SOFC,0.75,-0.5217
1,800,SOFC,0.8,-0.5514
1,800,SOFC,0.85,-0.5852
1,800,SOFC,0.9,-0.6204
1,800,SOFC,0.95,-0.6502
1,800,SOFC,1.0,-0.6712
1,800,SOEC,0.0,1.0016
1,800,SOEC,0.05,1.4596
1,800,SOEC,0.1,1.6703
1,800,SOEC,0.15,1.8069
1,800,SOEC,0.2,1.9106
1,800,SOEC,0.25,1.9912
1,800,SOEC,0.3,2.0718
1,800,SOEC,0.35,2.1317
1,800,SOEC,0.4,2.1857
1,800,SOEC,0.45,2.2364
1,800,SOEC,0.5,2.2865
1,800,SOEC,0.55,2.3246
1,800,SOEC,0.6,2.3727
1,800,SOEC,0.65,2.4064
1,800,SOEC,0.7,2.4469
1,800,SOEC,0.75,2.4791
1,800,SOEC,0.8,2.5131
1,800,SOEC,0.85,2.5434
1,800,SOEC,0.9,2.5759
1,800,SOEC,0.95,2.6116
1,800,SOEC,1.0,2.6386
1,850,SOFC,0.0,0.9499
1,850,SOFC,0.05,0.47
1,850,SOFC,0.1,0.2591
1,850,SOFC,0.15,0.1189
1,850,SOFC,0.2,0.0065
1,850,SOFC,0.25,-0.0774
1,850,SOFC,0.3,-0.1553
1,850,SOFC,0.35,-0.2097
1,850,SOFC,0.4,-0.263
1,850,SOFC,0.45,-0.3195
1,850,SOFC,0.5,-0.3724
1,850,SOFC,0.55,-0.4068
1,850,SOFC,0.6,-0.451
1,850,SOFC,0.65,-0.4874
1,850,SOFC,0.7,-0.5186
1,850,SOFC,0.75,-0.5528
1,850,SOFC,0.8,-0.5865
1,850,SOFC,0.85,-0.6171
1,850,SOFC,0.9,-0.6435
1,850,SOFC,0.95,-0.6728
1,850,SOFC,1.0,-0.7015
1,850,SOEC,0.0,0.9856
1,850,SOEC,0.05,1.4664
1,850,SOEC,0.1,1.6784
1,850,SOEC,0.15,1.8157
1,850,SOEC,0.2,1.9294
1,850,SOEC,0.25,2.0043
1,850,SOEC,0.3,2.0839
1,850,SOEC,0.35,2.1466
1,850,SOEC,0.4,2.205
1,850,SOEC,0.45,2.2569
1,850,SOEC,0.5,2.3048
1,850,SOEC,0.55,2.3419
1,850,SOEC,0.6,2.3855
1,850,SOEC,0.65,2.4215
1,850,SOEC,0.7,2.4507
1,850,SOEC,0.75,2.4947
1,850,SOEC,0.8,2.5162
1,850,SOEC,0.85,2.5518
1,850,SOEC,0.9,2.5805
1,850,SOEC,0.95,2.6078
1,850,SOEC,1.0,2.6321
2,600,SOFC,0.0,1.0168
2,600,SOFC,0.05,0.5879
2,600,SOFC,0.1,0.3768
2,600,SOFC,0.15,0.2162
2,600,SOFC,0.2,0.0835
2,600,SOFC,0.25,-0.0296
2,600,SOFC,0.3,-0.1337
2,600,SOFC,0.35,-0.2367
2,600,SOFC,0.4,-0.3264
2,600,SOFC,0.45,-0.4175
2,600,SOFC,0.5,-0.5058
2,600,SOFC,0.55,-0.5866
2,600,SOFC,0.6,-0.667
2,600,SOFC,0.65,-0.7466
2,600,SOFC,0.7,-0.82
2,600,SOFC,0.75,-0.8958
2,600,SOFC,0.8,-0.9753
2,600,SOFC,0.85,-1.0484
2,600,SOFC,0.9,-1.1141
2,600,SOFC,0.95,-1.1888
2,600,SOFC,1.0,-1.2556
2,600,SOEC,0.0,1.046
2,600,SOEC,0.05,1.4615
2,600,SOEC,0.1,1.6767
2,600,SOEC,0.15,1.8451
2,600,SOEC,0.2,1.9734
2,600,SOEC,0.25,2.0876
2,600,SOEC,0.3,2.1921
2,600,SOEC,0.35,2.292
2,600,SOEC,0.4,2.3831
2,600,SOEC,0.45,2.4782
2,600,SOEC,0.5,2.5587
2,600,SOEC,0.55,2.647
2,600,SOEC,0.6,2.7229
2,600,SOEC,0.65,2.7993
2,600,SOEC,0.7,2.8779
2,600,SOEC,0.75,2.9466
2,600,SOEC,0.8,3.0281
2,600,SOEC,0.85,3.1009
2,600,SOEC,0.9,3.1757
2,600,SOEC,0.95,3.2386
2,600,SOEC,1.0,3.318
2,650,SOFC,0.0,1.0037
2,650,SOFC,0.05,0.5838
2,650,SOFC,0.1,0.3767
2,650,SOFC,0.15,0.2363
2,650,SOFC,0.2,0.1137
2,650,SOFC,0.25,0.0218
2,650,SOFC,0.3,-0.0701
2,650,SOFC,0.35,-0.1523
2,650,SOFC,0.4,-0.2245
2,650,SOFC,0.45,-0.2904
2,650,SOFC,0.5,-0.3585
2,650,SOFC,0.55,-0.4176
2,650,SOFC,0.6,-0.4844
2,650,SOFC,0.65,-0.5435
2,650,SOFC,0.7,-0.5894
2,650,SOFC,0.75,-0.6457
2,650,SOFC,0.8,-0.7051
2,650,SOFC,0.85,-0.7543
2,650,SOFC,0.9,-0.8026
2,650,SOFC,0.95,-0.8547
2,650,SOFC,1.0,-0.9051
2,650,SOEC,0.0,1.0355
2,650,SOEC,0.05,1.4512
2,650,SOEC,0.1,1.6566
2,650,SOEC,0.15,1.8001
2,650,SOEC,0.2,1.9145
2,650,SOEC,0.25,2.0126
2,650,SOEC,0.3,2.1014
2,650,SOEC,0.35,2.1809
2,650,SOEC,0.4,2.2514
2,650,SOEC,0.45,2.3262
2,650,SOEC,0.5,2.3865
2,650,SOEC,0.55,2.4515
2,650,SOEC,0.6,2.5115
2,650,SOEC,0.65,2.5717
2,650,SOEC,0.7,2.6206
2,650,SOEC,0.75,2.6845
2,650,SOEC,0.8,2.7334
2,650,SOEC,0.85,2.7914
2,650,SOEC,0.9,2.8376
2,650,SOEC,0.95,2.8893
2,650,SOEC,1.0,2.9447
2,700,SOFC,0.0,0.9873
2,700,SOFC,0.05,0.5617
2,700,SOFC,0.1,0.3578
2,700,SOFC,0.15,0.2215
2,700,SOFC,0.2,0.1129
2,700,SOFC,0.25,0.0253
2,700,SOFC,0.3,-0.0576
2,700,SOFC,0.35,-0.1285
2,700,SOFC,0.4,-0.1914
2,700,SOFC,0.45,-0.2483
2,700,SOFC,0.5,-0.3046
2,700,SOFC,0.55,-0.354
2,700,SOFC,0.6,-0.4019
2,700,SOFC,0.65,-0.4562
2,700,SOFC,0.7,-0.501
2,700,SOFC,0.75,-0.5471
2,700,SOFC,0.8,-0.5793
2,700,SOFC,0.85,-0.6258
2,700,SOFC,0.9,-0.6655
2,700,SOFC,0.95,-0.7102
2,700,SOFC,1.0,-0.7445
2,700,SOEC,0.0,1.0224
2,700,SOEC,0.05,1.4502
2,700,SOEC,0.1,1.6544
2,700,SOEC,0.15,1.7957
2,700,SOEC,0.2,1.8934
2,700,SOEC,0.25,1.9831
2,700,SOEC,0.3,2.0618
2,700,SOEC,0.35,2.1393
2,700,SOEC,0.4,2.2015
2,700,SOEC,0.45,2.2571
2,700,SOEC,0.5,2.3129
2,700,SOEC,0.55,2.3626
2,700,SOEC,0.6,2.4174
2,700,SOEC,0.65,2.461
2,700,SOEC,0.7,2.507
2,700,SOEC,0.75,2.5536
2,700,SOEC,0.8,2.5938
2,700,SOEC,0.85,2.6349
2,700,SOEC,0.9,2.6759
2,700,SOEC,0.95,2.7175
2,700,SOEC,1.0,2.7583
2,750,SOFC,0.0,0.9768
2,750,SOFC,0.05,0.5334
2,750,SOFC,0.1,0.3281
2,750,SOFC,0.15,0.1902
2,750,SOFC,0.2,0.0894
2,750,SOFC,0.25,0.0017
2,750,SOFC,0.3,-0.0772
2,750,SOFC,0.35,-0.1393
2,750,SOFC,0.4,-0.1976
2,750,SOFC,0.45,-0.2528
2,750,SOFC,0.5,-0.2968
2,750,SOFC,0.55,-0.3465
2,750,SOFC,0.6,-0.3878
2,750,SOFC,0.65,-0.4328
2,750,SOFC,0.7,-0.4731
2,750,SOFC,0.75,-0.5142
2,750,SOFC,0.8,-0.5479
2,750,SOFC,0.85,-0.5831
2,750,SOFC,0.9,-0.6213
2,750,SOFC,0.95,-0.6518
2,750,SOFC,1.0,-0.6833
2,750,SOEC,0.0,1.0107
2,750,SOEC,0.05,1.4548
2,750,SOEC,0.1,1.654
2,750,SOEC,0.15,1.7935
2,750,SOEC,0.2,1.8964
2,750,SOEC,0.25,1.9747
2,750,SOEC,0.3,2.0559
2,750,SOEC,0.35,2.126
2,750,SOEC,0.4,2.1767
2,750,SOEC,0.45,2.2361
2,750,SOEC,0.5,2.2904
2,750,SOEC,0.55,2.3301
2,750,SOEC,0.6,2.3764
2,750,SOEC,0.65,2.4141
2,750,SOEC,0.7,2.4626
2,750,SOEC,0.75,2.4955
2,750,SOEC,0.8,2.5325
2,750,SOEC,0.85,2.5716
2,750,SOEC,0.9,2.6036
2,750,SOEC,0.95,2.632
2,750,SOEC,1.0,2.6648
2,800,SOFC,0.0,0.9634
2,800,SOFC,0.05,0.4995
2,800,SOFC,0.1,0.2878
2,800,SOFC,0.15,0.1561
2,800,SOFC,0.2,0.0469
2,800,SOFC,0.25,-0.0292
2,800,SOFC,0.3,-0.1061
2,800,SOFC,0.35,-0.1729
2,800,SOFC,0.4,-0.2291
2,800,SOFC,0.45,-0.2841
2,800,SOFC,0.5,-0.3291
2,800,SOFC,0.55,-0.3666
2,800,SOFC,0.6,-0.404
2,800,SOFC,0.65,-0.4472
2,800,SOFC,0.7,-0.4862
2,800,SOFC,0.75,-0.522
2,800,SOFC,0.8,-0.5568
2,800,SOFC,0.85,-0.5796
2,800,SOFC,0.9,-0.617
2,800,SOFC,0.95,-0.6396
2,800,SOFC,1.0,-0.6703
2,800,SOEC,0.0,0.9928
2,800,SOEC,0.05,1.4566
2,800,SOEC,0.1,1.6638
2,800,SOEC,0.15,1.8034
2,800,SOEC,0.2,1.9084
2,800,SOEC,0.25,2.003
2,800,SOEC,0.3,2.0634
2,800,SOEC,0.35,2.1308
2,800,SOEC,0.4,2.1887
2,800,SOEC,0.45,2.2384
2,800,SOEC,0.5,2.286
2,800,SOEC,0.55,2.3265
2,800,SOEC,0.6,2.3709
2,800,SOEC,0.65,2.4108
2,800,SOEC,0.7,2.4468
2,800,SOEC,0.75,2.4823
2,800,SOEC,0.8,2.5181
2,800,SOEC,0.85,2.5485
2,800,SOEC,0.9,2.5766
2,800,SOEC,0.95,2.6024
2,800,SOEC,1.0,2.6327
2,850,SOFC,0.0,0.9482
2,850,SOFC,0.05,0.4708
2,850,SOFC,0.1,0.2551
2,850,SOFC,0.15,0.1127
2,850,SOFC,0.2,0.0054
2,850,SOFC,0.25,-0.0821
2,850,SOFC,0.3,-0.1505
2,850,SOFC,0.35,-0.2175
2,850,SOFC,0.4,-0.2722
2,850,SOFC,0.45,-0.321
2,850,SOFC,0.5,-0.37
2,850,SOFC,0.55,-0.4075
2,850,SOFC,0.6,-0.4461
2,850,SOFC,0.65,-0.4871
2,850,SOFC,0.7,-0.5218
2,850,SOFC,0.75,-0.552
2,850,SOFC,0.8,-0.5872
2,850,SOFC,0.85,-0.6175
2,850,SOFC,0.9,-0.6403
2,850,SOFC,0.95,-0.6689
2,850,SOFC,1.0,-0.6963
2,850,SOEC,0.0,0.9894
2,850,SOEC,0.05,1.4594
2,850,SOEC,0.1,1.683
2,850,SOEC,0.15,1.8211
2,850,SOEC,0.2,1.9295
2,850,SOEC,0.25,2.0137
2,850,SOEC,0.3,2.0854
2,850,SOEC,0.35,2.1476
2,850,SOEC,0.4,2.2057
2,850,SOEC,0.45,2.2543
2,850,SOEC,0.5,2.304
2,850,SOEC,0.55,2.3393
2,850,SOEC,0.6,2.3821
2,850,SOEC,0.65,2.427
2,850,SOEC,0.7,2.454
2,850,SOEC,0.75,2.4883
2,850,SOEC,0.8,2.5178
2,850,SOEC,0.85,2.5515
2,850,SOEC,0.9,2.5771
2,850,SOEC,0.95,2.6064
2,850,SOEC,1.0,2.6361
3,600,SOFC,0.0,1.0122
3,600,SOFC,0.05,0.5949
3,600,SOFC,0.1,0.3795
3,600,SOFC,0.15,0.221
3,600,SOFC,0.2,0.086
3,600,SOFC,0.25,-0.0212
3,600,SOFC,0.3,-0.1338
3,600,SOFC,0.35,-0.2347
3,600,SOFC,0.4,-0.3314
3,600,SOFC,0.45,-0.4179
3,600,SOFC,0.5,-0.4988
3,600,SOFC,0.55,-0.5807
3,600,SOFC,0.6,-0.6617
3,600,SOFC,0.65,-0.7422
3,600,SOFC,0.7,-0.825
3,600,SOFC,0.75,-0.8951
3,600,SOFC,0.8,-0.9743
3,600,SOFC,0.85,-1.0479
3,600,SOFC,0.9,-1.1146
3,600,SOFC,0.95,-1.1848
3,600,SOFC,1.0,-1.2538
3,600,SOEC,0.0,1.0451
3,600,SOEC,0.05,1.4669
3,600,SOEC,0.1,1.6779
3,600,SOEC,0.15,1.8398
3,600,SOEC,0.2,1.9678
3,600,SOEC,0.25,2.0828
3,600,SOEC,0.3,2.1971
3,600,SOEC,0.35,2.2913
3,600,SOEC,0.4,2.3893
3,600,SOEC,0.45,2.4789
3,600,SOEC,0.5,2.5592
3,600,SOEC,0.55,2.6455
3,600,SOEC,0.6,2.7221
3,600,SOEC,0.65,2.7969
3,600,SOEC,0.7,2.8796
3,600,SOEC,0.75,2.9531
3,600,SOEC,0.8,3.0272
3,600,SOEC,0.85,3.1073
3,600,SOEC,0.9,3.1687
3,600,SOEC,0.95,3.2454
3,600,SOEC,1.0,3.3115
3,650,SOFC,0.0,1.0039
3,650,SOFC,0.05,0.5809
3,650,SOFC,0.1,0.378
3,650,SOFC,0.15,0.2304
3,650,SOFC,0.2,0.1158
3,650,SOFC,0.25,0.0225
3,650,SOFC,0.3,-0.0624
3,650,SOFC,0.35,-0.1459
3,650,SOFC,0.4,-0.2238
3,650,SOFC,0.45,-0.2894
3,650,SOFC,0.5,-0.3487
3,650,SOFC,0.55,-0.4184
3,650,SOFC,0.6,-0.4746
3,650,SOFC,0.65,-0.5394
3,650,SOFC,0.7,-0.5937
3,650,SOFC,0.75,-0.6466
3,650,SOFC,0.8,-0.7008
3,650,SOFC,0.85,-0.7566
3,650,SOFC,0.9,-0.8081
3,650,SOFC,0.95,-0.853
3,650,SOFC,1.0,-0.9019
3,650,SOEC,0.0,1.0368
3,650,SOEC,0.05,1.4588
3,650,SOEC,0.1,1.657
3,650,SOEC,0.15,1.7992
3,650,SOEC,0.2,1.9194
3,650,SOEC,0.25,2.0159
3,650,SOEC,0.3,2.0982
3,650,SOEC,0.35,2.1777
3,650,SOEC,0.4,2.256
3,650,SOEC,0.45,2.3233
3,650,SOEC,0.5,2.3894
3,650,SOEC,0.55,2.4554
3,650,SOEC,0.6,2.5147
3,650,SOEC,0.65,2.5746
3,650,SOEC,0.7,2.6212
3,650,SOEC,0.75,2.6826
3,650,SOEC,0.8,2.7375
3,650,SOEC,0.85,2.7832
3,650,SOEC,0.9,2.8371
3,650,SOEC,0.95,2.8869
3,650,SOEC,1.0,2.939
3,700,SOFC,0.0,0.993
3,700,SOFC,0.05,0.5641
3,700,SOFC,0.1,0.3553
3,700,SOFC,0.15,0.2218
3,700,SOFC,0.2,0.1144
3,700,SOFC,0.25,0.0239
3,700,SOFC,0.3,-0.0543
3,700,SOFC,0.35,-0.1246
3,700,SOFC,0.4,-0.1844
3,700,SOFC,0.45,-0.2453
3,700,SOFC,0.5,-0.3071
3,700,SOFC,0.55,-0.3538
3,700,SOFC,0.6,-0.4031
3,700,SOFC,0.65,-0.4523
3,700,SOFC,0.7,-0.4955
3,700,SOFC,0.75,-0.5423
3,700,SOFC,0.8,-0.5848
3,700,SOFC,0.85,-0.6263
3,700,SOFC,0.9,-0.673
3,700,SOFC,0.95,-0.7064
3,700,SOFC,1.0,-0.7465
3,700,SOEC,0.0,1.0173
3,700,SOEC,0.05,1.4552
3,700,SOEC,0.1,1.6527
3,700,SOEC,0.15,1.7886
3,700,SOEC,0.2,1.8946
3,700,SOEC,0.25,1.987
3,700,SOEC,0.3,2.0674
3,700,SOEC,0.35,2.132
3,700,SOEC,0.4,2.1984
3,700,SOEC,0.45,2.2601
3,700,SOEC,0.5,2.307
3,700,SOEC,0.55,2.3649
3,700,SOEC,0.6,2.4134
3,700,SOEC,0.65,2.4618
3,700,SOEC,0.7,2.5063
3,700,SOEC,0.75,2.5522
3,700,SOEC,0.8,2.6001
3,700,SOEC,0.85,2.6347
3,700,SOEC,0.9,2.6767
3,700,SOEC,0.95,2.7211
3,700,SOEC,1.0,2.7518
3,750,SOFC,0.0,0.9805
3,750,SOFC,0.05,0.5311
3,750,SOFC,0.1,0.334
3,750,SOFC,0.15,0.1946
3,750,SOFC,0.2,0.0884
3,750,SOFC,0.25,0.001
3,750,SOFC,0.3,-0.0748
3,750,SOFC,0.35,-0.1381
3,750,SOFC,0.4,-0.1946
3,750,SOFC,0.45,-0.2513
3,750,SOFC,0.5,-0.3022
3,750,SOFC,0.55,-0.3487
3,750,SOFC,0.6,-0.3889
3,750,SOFC,0.65,-0.4299
3,750,SOFC,0.7,-0.4753
3,750,SOFC,0.75,-0.5134
3,750,SOFC,0.8,-0.5468
3,750,SOFC,0.85,-0.5786
3,750,SOFC,0.9,-0.6138
3,750,SOFC,0.95,-0.654
3,750,SOFC,1.0,-0.6831
3,750,SOEC,0.0,1.0066
3,750,SOEC,0.05,1.4526
3,750,SOEC,0.1,1.6606
3,750,SOEC,0.15,1.7879
3,750,SOEC,0.2,1.8921
3,750,SOEC,0.25,1.9808
3,750,SOEC,0.3,2.0582
3,750,SOEC,0.35,2.1247
3,750,SOEC,0.4,2.1831
3,750,SOEC,0.45,2.2392
3,750,SOEC,0.5,2.2804
3,750,SOEC,0.55,2.3359
3,750,SOEC,0.6,2.3754
3,750,SOEC,0.65,2.4202
3,750,SOEC,0.7,2.4538
3,750,SOEC,0.75,2.4958
3,750,SOEC,0.8,2.533
3,750,SOEC,0.85,2.571
3,750,SOEC,0.9,2.5969
3,750,SOEC,0.95,2.6347
3,750,SOEC,1.0,2.6635
3,800,SOFC,0.0,0.9634
3,800,SOFC,0.05,0.5037
3,800,SOFC,0.1,0.298
3,800,SOFC,0.15,0.1546
3,800,SOFC,0.2,0.0542
3,800,SOFC,0.25,-0.03
3,800,SOFC,0.3,-0.1116
3,800,SOFC,0.35,-0.1684
3,800,SOFC,0.4,-0.2241
3,800,SOFC,0.45,-0.2792
3,800,SOFC,0.5,-0.3294
3,800,SOFC,0.55,-0.3668
3,800,SOFC,0.6,-0.4143
3,800,SOFC,0.65,-0.4499
3,800,SOFC,0.7,-0.486
3,800,SOFC,0.75,-0.5185
3,800,SOFC,0.8,-0.5558
3,800,SOFC,0.85,-0.5878
3,800,SOFC,0.9,-0.6161
3,800,SOFC,0.95,-0.6429
3,800,SOFC,1.0,-0.6677
3,800,SOEC,0.0,0.9935
3,800,SOEC,0.05,1.4595
3,800,SOEC,0.1,1.6625
3,800,SOEC,0.15,1.8067
3,800,SOEC,0.2,1.9057
3,800,SOEC,0.25,1.992
3,800,SOEC,0.3,2.0648
3,800,SOEC,0.35,2.1299
3,800,SOEC,0.4,2.1879
3,800,SOEC,0.45,2.2398
3,800,SOEC,0.5,2.2857
3,800,SOEC,0.55,2.3256
3,800,SOEC,0.6,2.3728
3,800,SOEC,0.65,2.4091
3,800,SOEC,0.7,2.4493
3,800,SOEC,0.75,2.4785
3,800,SOEC,0.8,2.509
3,800,SOEC,0.85,2.5456
3,800,SOEC,0.9,2.5802
3,800,SOEC,0.95,2.6064
3,800,SOEC,1.0,2.6339
3,850,SOFC,0.0,0.9462
3,850,SOFC,0.05,0.4754
3,850,SOFC,0.1,0.2534
3,850,SOFC,0.15,0.1133
3,850,SOFC,0.2,0.0107
3,850,SOFC,0.25,-0.0827
3,850,SOFC,0.3,-0.146
3,850,SOFC,0.35,-0.2112
3,850,SOFC,0.4,-0.2665
3,850,SOFC,0.45,-0.3181
3,850,SOFC,0.5,-0.3665
3,850,SOFC,0.55,-0.4118
3,850,SOFC,0.6,-0.4487
3,850,SOFC,0.65,-0.4884
3,850,SOFC,0.7,-0.519
3,850,SOFC,0.75,-0.5511
3,850,SOFC,0.8,-0.5806
3,850,SOFC,0.85,-0.614
3,850,SOFC,0.9,-0.6411
3,850,SOFC,0.95,-0.6724
3,850,SOFC,1.0,-0.6996
3,850,SOEC,0.0,0.988
3,850,SOEC,0.05,1.4642
3,850,SOEC,0.1,1.6797
3,850,SOEC,0.15,1.8168
3,850,SOEC,0.2,1.9238
3,850,SOEC,0.25,2.0145
3,850,SOEC,0.3,2.0879
3,850,SOEC,0.35,2.1455
3,850,SOEC,0.4,2.2066
3,850,SOEC,0.45,2.2536
3,850,SOEC,0.5,2.3015
3,850,SOEC,0.55,2.3483
3,850,SOEC,0.6,2.3862
3,850,SOEC,0.65,2.4233
3,850,SOEC,0.7,2.4616
3,850,SOEC,0.75,2.4869
3,850,SOEC,0.8,2.5175
3,850,SOEC,0.85,2.5484
3,850,SOEC,0.9,2.5786
3,850,SOEC,0.95,2.5999
3,850,SOEC,1.0,2.6329
4,600,SOFC,0.0,1.0126
4,600,SOFC,0.05,0.5949
4,600,SOFC,0.1,0.3781
4,600,SOFC,0.15,0.216
4,600,SOFC,0.2,0.0873
4,600,SOFC,0.25,-0.0287
4,600,SOFC,0.3,-0.1393
