time_s,phase,current_density_A_cm2,voltage_V,temperature_C,degradation_factor
1830,OCV,0.0,0.9722,750.52,0.99982
1860,OCV,0.0,0.9783,750.69,0.99981
1890,OCV,0.0,0.9746,750.86,0.99981
1920,OCV,0.0,0.9764,751.03,0.99981
1950,OCV,0.0,0.9739,751.19,0.99981
1980,OCV,0.0,0.9741,751.36,0.9998
2010,OCV,0.0,0.9743,751.53,0.9998
2040,OCV,0.0,0.9766,751.69,0.9998
2070,OCV,0.0,0.9749,751.86,0.99979
2100,OCV,0.0,0.9722,752.03,0.99979
2130,OCV,0.0,0.9775,752.19,0.99979
2160,OCV,0.0,0.9736,752.36,0.99978
2190,OCV,0.0,0.9732,752.53,0.99978
2220,OCV,0.0,0.9684,752.69,0.99978
2250,OCV,0.0,0.9753,752.86,0.99977
2280,OCV,0.0,0.9742,753.02,0.99977
2310,OCV,0.0,0.9741,753.19,0.99977
2340,OCV,0.0,0.9731,753.35,0.99977
2370,OCV,0.0,0.9727,753.52,0.99976
2400,OCV,0.0,0.9731,753.68,0.99976
2430,OCV,0.0,0.9747,753.84,0.99976
2460,OCV,0.0,0.975,754.01,0.99975
2490,OCV,0.0,0.9732,754.17,0.99975
2520,OCV,0.0,0.9755,754.33,0.99975
2550,OCV,0.0,0.9734,754.5,0.99974
2580,OCV,0.0,0.9725,754.66,0.99974
2610,OCV,0.0,0.9739,754.82,0.99974
2640,OCV,0.0,0.9707,754.98,0.99974
2670,OCV,0.0,0.9739,755.15,0.99973
2700,SOEC,-0.5,2.2809,755.31,0.99973
2730,SOEC,-0.5,2.2819,755.47,0.99973
2760,SOEC,-0.5,2.2799,755.63,0.99972
2790,SOEC,-0.5,2.2836,755.79,0.99972
2820,SOEC,-0.5,2.2871,755.95,0.99972
2850,SOEC,-0.5,2.2836,756.11,0.99972
2880,SOEC,-0.5,2.2851,756.27,0.99971
2910,SOEC,-0.5,2.2885,756.43,0.99971
2940,SOEC,-0.5,2.2846,756.59,0.99971
2970,SOEC,-0.5,2.2822,756.75,0.9997
3000,SOEC,-0.5,2.2825,756.9,0.9997
3030,SOEC,-0.5,2.2837,757.06,0.9997
3060,SOEC,-0.5,2.2824,757.22,0.99969
3090,SOEC,-0.5,2.2825,757.38,0.99969
3120,SOEC,-0.5,2.2856,757.53,0.99969
3150,SOEC,-0.5,2.2856,757.69,0.99969
3180,SOEC,-0.5,2.2802,757.85,0.99968
3210,SOEC,-0.5,2.2819,758.0,0.99968
3240,SOEC,-0.5,2.2825,758.16,0.99968
3270,SOEC,-0.5,2.2846,758.31,0.99967
3300,SOEC,-0.5,2.2857,758.47,0.99967
3330,SOEC,-0.5,2.2888,758.62,0.99967
3360,SOEC,-0.5,2.2824,758.78,0.99966
3390,SOEC,-0.5,2.2825,758.93,0.99966
3420,SOEC,-0.5,2.2845,759.09,0.99966
3450,SOEC,-0.5,2.2819,759.24,0.99965
3480,SOEC,-0.5,2.283,759.39,0.99965
3510,SOEC,-0.5,2.2824,759.54,0.99965
3540,SOEC,-0.5,2.278,759.7,0.99965
3570,SOEC,-0.5,2.2834,759.85,0.99964
3600,SOEC,-0.5,2.2828,760.0,0.99964
3630,SOEC,-0.5,2.2857,760.15,0.99964
3660,SOEC,-0.5,2.2831,760.3,0.99963
3690,SOEC,-0.5,2.2806,760.45,0.99963
3720,SOEC,-0.5,2.2825,760.6,0.99963
3750,SOEC,-0.5,2.2789,760.75,0.99962
3780,SOEC,-0.5,2.2806,760.9,0.99962
3810,SOEC,-0.5,2.2843,761.05,0.99962
3840,SOEC,-0.5,2.2825,761.2,0.99962
3870,SOEC,-0.5,2.2848,761.34,0.99961
3900,SOEC,-0.5,2.279,761.49,0.99961
3930,SOEC,-0.5,2.2824,761.64,0.99961
3960,SOEC,-0.5,2.2819,761.79,0.9996
3990,SOEC,-0.5,2.2848,761.93,0.9996
4020,SOEC,-0.5,2.2842,762.08,0.9996
4050,SOEC,-0.5,2.2841,762.22,0.9996
4080,SOEC,-0.5,2.2859,762.37,0.99959
4110,SOEC,-0.5,2.282,762.51,0.99959
4140,SOEC,-0.5,2.2854,762.66,0.99959
4170,SOEC,-0.5,2.2806,762.8,0.99958
4200,SOEC,-0.5,2.2805,762.94,0.99958
4230,SOEC,-0.5,2.2842,763.09,0.99958
4260,SOEC,-0.5,2.2797,763.23,0.99957
4290,SOEC,-0.5,2.2838,763.37,0.99957
4320,SOEC,-0.5,2.2828,763.51,0.99957
4350,SOEC,-0.5,2.2848,763.65,0.99957
4380,SOEC,-0.5,2.2825,763.79,0.99956
4410,SOEC,-0.5,2.2827,763.93,0.99956
4440,SOEC,-0.5,2.2836,764.07,0.99956
4470,SOEC,-0.5,2.2812,764.21,0.99955
4500,SOFC,0.5,-0.3074,764.35,0.99955
4530,SOFC,0.5,-0.3051,764.49,0.99955
4560,SOFC,0.5,-0.3062,764.63,0.99954
4590,SOFC,0.5,-0.307,764.76,0.99954
4620,SOFC,0.5,-0.3064,764.9,0.99954
4650,SOFC,0.5,-0.3031,765.04,0.99953
4680,SOFC,0.5,-0.3072,765.17,0.99953
4710,SOFC,0.5,-0.3073,765.31,0.99953
4740,SOFC,0.5,-0.3099,765.44,0.99953
4770,SOFC,0.5,-0.3066,765.58,0.99952
4800,SOFC,0.5,-0.3053,765.71,0.99952
4830,SOFC,0.5,-0.3049,765.84,0.99952
4860,SOFC,0.5,-0.3065,765.98,0.99951
4890,SOFC,0.5,-0.3048,766.11,0.99951
4920,SOFC,0.5,-0.3053,766.24,0.99951
4950,SOFC,0.5,-0.3046,766.37,0.9995
4980,SOFC,0.5,-0.3049,766.5,0.9995
5010,SOFC,0.5,-0.3038,766.64,0.9995
5040,SOFC,0.5,-0.3073,766.77,0.9995
5070,SOFC,0.5,-0.3097,766.89,0.99949
5100,SOFC,0.5,-0.3058,767.02,0.99949
5130,SOFC,0.5,-0.3056,767.15,0.99949
5160,SOFC,0.5,-0.3041,767.28,0.99948
5190,SOFC,0.5,-0.3047,767.41,0.99948
5220,SOFC,0.5,-0.3034,767.53,0.99948
5250,SOFC,0.5,-0.3062,767.66,0.99948
5280,SOFC,0.5,-0.307,767.79,0.99947
5310,SOFC,0.5,-0.3103,767.91,0.99947
5340,SOFC,0.5,-0.3069,768.04,0.99947
5370,SOFC,0.5,-0.3087,768.16,0.99946
5400,SOFC,0.5,-0.3072,768.28,0.99946
5430,SOFC,0.5,-0.3076,768.41,0.99946
5460,SOFC,0.5,-0.3068,768.53,0.99945
5490,SOFC,0.5,-0.308,768.65,0.99945
5520,SOFC,0.5,-0.306,768.77,0.99945
5550,SOFC,0.5,-0.3134,768.89,0.99945
5580,SOFC,0.5,-0.3076,769.01,0.99944
5610,SOFC,0.5,-0.3056,769.13,0.99944
5640,SOFC,0.5,-0.3043,769.25,0.99944
5670,SOFC,0.5,-0.3067,769.37,0.99943
5700,SOFC,0.5,-0.3048,769.49,0.99943
5730,SOFC,0.5,-0.3079,769.61,0.99943
5760,SOFC,0.5,-0.3083,769.73,0.99942
5790,SOFC,0.5,-0.3073,769.84,0.99942
5820,SOFC,0.5,-0.3084,769.96,0.99942
5850,SOFC,0.5,-0.31,770.07,0.99942
5880,SOFC,0.5,-0.3095,770.19,0.99941
5910,SOFC,0.5,-0.3108,770.3,0.99941
5940,SOFC,0.5,-0.3076,770.42,0.99941
5970,SOFC,0.5,-0.3086,770.53,0.9994
6000,SOFC,0.5,-0.3094,770.64,0.9994
6030,SOFC,0.5,-0.3099,770.75,0.9994
6060,SOFC,0.5,-0.3078,770.86,0.99939
6090,SOFC,0.5,-0.3073,770.98,0.99939
6120,SOFC,0.5,-0.3112,771.09,0.99939
6150,SOFC,0.5,-0.3115,771.2,0.99938
6180,SOFC,0.5,-0.3071,771.3,0.99938
6210,SOFC,0.5,-0.3118,771.41,0.99938
6240,SOFC,0.5,-0.308,771.52,0.99938
6270,SOFC,0.5,-0.3059,771.63,0.99937
6300,OCV,0.0,0.9719,771.73,0.99937
6330,OCV,0.0,0.9702,771.84,0.99937
6360,OCV,0.0,0.9701,771.95,0.99936
6390,OCV,0.0,0.9731,772.05,0.99936
6420,OCV,0.0,0.9639,772.15,0.99936
6450,OCV,0.0,0.9676,772.26,0.99935
6480,OCV,0.0,0.9702,772.36,0.99935
6510,OCV,0.0,0.9678,772.46,0.99935
6540,OCV,0.0,0.9709,772.56,0.99935
6570,OCV,0.0,0.9684,772.67,0.99934
6600,OCV,0.0,0.9687,772.77,0.99934
6630,OCV,0.0,0.9678,772.87,0.99934
6660,OCV,0.0,0.9673,772.97,0.99933
6690,OCV,0.0,0.9672,773.06,0.99933
6720,OCV,0.0,0.9688,773.16,0.99933
6750,OCV,0.0,0.9667,773.26,0.99933
6780,OCV,0.0,0.9701,773.36,0.99932
6810,OCV,0.0,0.9695,773.45,0.99932
6840,OCV,0.0,0.9704,773.55,0.99932
6870,OCV,0.0,0.9659,773.64,0.99931
6900,OCV,0.0,0.9647,773.74,0.99931
6930,OCV,0.0,0.9681,773.83,0.99931
6960,OCV,0.0,0.9739,773.92,0.9993
6990,OCV,0.0,0.9706,774.01,0.9993
7020,OCV,0.0,0.9669,774.11,0.9993
7050,OCV,0.0,0.9688,774.2,0.9993
7080,OCV,0.0,0.9694,774.29,0.99929
7110,OCV,0.0,0.9652,774.38,0.99929
7140,OCV,0.0,0.9706,774.47,0.99929
7170,OCV,0.0,0.9675,774.55,0.99928
7200,SOEC,-0.5,2.2813,774.64,0.99928
7230,SOEC,-0.5,2.2816,774.73,0.99928
7260,SOEC,-0.5,2.2838,774.81,0.99927
7290,SOEC,-0.5,2.28,774.9,0.99927
7320,SOEC,-0.5,2.2781,774.98,0.99927
7350,SOEC,-0.5,2.2821,775.07,0.99926
7380,SOEC,-0.5,2.2774,775.15,0.99926
7410,SOEC,-0.5,2.2809,775.24,0.99926
7440,SOEC,-0.5,2.2839,775.32,0.99926
7470,SOEC,-0.5,2.2826,775.4,0.99925
7500,SOEC,-0.5,2.2836,775.48,0.99925
7530,SOEC,-0.5,2.2827,775.56,0.99925
7560,SOEC,-0.5,2.2863,775.64,0.99924
7590,SOEC,-0.5,2.2803,775.72,0.99924
7620,SOEC,-0.5,2.2822,775.8,0.99924
7650,SOEC,-0.5,2.2806,775.87,0.99923
7680,SOEC,-0.5,2.2833,775.95,0.99923
7710,SOEC,-0.5,2.2813,776.03,0.99923
7740,SOEC,-0.5,2.2849,776.1,0.99923
7770,SOEC,-0.5,2.2804,776.18,0.99922
7800,SOEC,-0.5,2.2842,776.25,0.99922
7830,SOEC,-0.5,2.2826,776.33,0.99922
7860,SOEC,-0.5,2.2813,776.4,0.99921
7890,SOEC,-0.5,2.2825,776.47,0.99921
7920,SOEC,-0.5,2.2819,776.54,0.99921
7950,SOEC,-0.5,2.2821,776.61,0.99921
7980,SOEC,-0.5,2.281,776.68,0.9992
8010,SOEC,-0.5,2.28,776.75,0.9992
8040,SOEC,-0.5,2.2807,776.82,0.9992
8070,SOEC,-0.5,2.278,776.89,0.99919
8100,SOEC,-0.5,2.283,776.96,0.99919
8130,SOEC,-0.5,2.2789,777.02,0.99919
8160,SOEC,-0.5,2.2809,777.09,0.99918
8190,SOEC,-0.5,2.2826,777.15,0.99918
8220,SOEC,-0.5,2.283,777.22,0.99918
8250,SOEC,-0.5,2.2778,777.28,0.99918
8280,SOEC,-0.5,2.2811,777.34,0.99917
8310,SOEC,-0.5,2.2822,777.41,0.99917
8340,SOEC,-0.5,2.2814,777.47,0.99917
8370,SOEC,-0.5,2.284,777.53,0.99916
8400,SOEC,-0.5,2.2797,777.59,0.99916
8430,SOEC,-0.5,2.2772,777.65,0.99916
8460,SOEC,-0.5,2.2829,777.71,0.99915
8490,SOEC,-0.5,2.2802,777.76,0.99915
8520,SOEC,-0.5,2.2778,777.82,0.99915
8550,SOEC,-0.5,2.281,777.88,0.99914
8580,SOEC,-0.5,2.2837,777.93,0.99914
8610,SOEC,-0.5,2.2787,777.99,0.99914
8640,SOEC,-0.5,2.2859,778.04,0.99914
8670,SOEC,-0.5,2.2796,778.1,0.99913
8700,SOEC,-0.5,2.2814,778.15,0.99913
8730,SOEC,-0.5,2.2788,778.2,0.99913
8760,SOEC,-0.5,2.2813,778.25,0.99912
8790,SOEC,-0.5,2.281,778.3,0.99912
8820,SOEC,-0.5,2.2783,778.35,0.99912
8850,SOEC,-0.5,2.2869,778.4,0.99911
8880,SOEC,-0.5,2.2802,778.45,0.99911
8910,SOEC,-0.5,2.2802,778.5,0.99911
8940,SOEC,-0.5,2.2832,778.55,0.99911
8970,SOEC,-0.5,2.2848,778.59,0.9991
9000,SOFC,0.5,-0.3103,778.64,0.9991
9030,SOFC,0.5,-0.315,778.68,0.9991
9060,SOFC,0.5,-0.3122,778.73,0.99909
9090,SOFC,0.5,-0.3164,778.77,0.99909
9120,SOFC,0.5,-0.3109,778.81,0.99909
9150,SOFC,0.5,-0.316,778.85,0.99909
9180,SOFC,0.5,-0.3143,778.89,0.99908
9210,SOFC,0.5,-0.3127,778.94,0.99908
9240,SOFC,0.5,-0.3119,778.97,0.99908
9270,SOFC,0.5,-0.3133,779.01,0.99907
9300,SOFC,0.5,-0.3098,779.05,0.99907
9330,SOFC,0.5,-0.3114,779.09,0.99907
9360,SOFC,0.5,-0.3115,779.13,0.99906
9390,SOFC,0.5,-0.3153,779.16,0.99906
9420,SOFC,0.5,-0.3095,779.2,0.99906
9450,SOFC,0.5,-0.3145,779.23,0.99906
9480,SOFC,0.5,-0.3094,779.27,0.99905
9510,SOFC,0.5,-0.3089,779.3,0.99905
9540,SOFC,0.5,-0.3119,779.33,0.99905
9570,SOFC,0.5,-0.3109,779.36,0.99904
9600,SOFC,0.5,-0.3191,779.39,0.99904
9630,SOFC,0.5,-0.3134,779.42,0.99904
9660,SOFC,0.5,-0.3108,779.45,0.99903
9690,SOFC,0.5,-0.3112,779.48,0.99903
9720,SOFC,0.5,-0.3155,779.51,0.99903
9750,SOFC,0.5,-0.3136,779.53,0.99903
9780,SOFC,0.5,-0.3181,779.56,0.99902
9810,SOFC,0.5,-0.3122,779.59,0.99902
9840,SOFC,0.5,-0.3168,779.61,0.99902
9870,SOFC,0.5,-0.3108,779.63,0.99901
9900,SOFC,0.5,-0.3107,779.66,0.99901
9930,SOFC,0.5,-0.3141,779.68,0.99901
9960,SOFC,0.5,-0.3121,779.7,0.999
9990,SOFC,0.5,-0.3136,779.72,0.999
10020,SOFC,0.5,-0.3127,779.74,0.999
10050,SOFC,0.5,-0.3154,779.76,0.99899
10080,SOFC,0.5,-0.3119,779.78,0.99899
10110,SOFC,0.5,-0.3165,779.8,0.99899
10140,SOFC,0.5,-0.3168,779.82,0.99899
10170,SOFC,0.5,-0.3134,779.83,0.99898
10200,SOFC,0.5,-0.3136,779.85,0.99898
10230,SOFC,0.5,-0.3127,779.86,0.99898
10260,SOFC,0.5,-0.3145,779.88,0.99897
10290,SOFC,0.5,-0.3094,779.89,0.99897
10320,SOFC,0.5,-0.3129,779.9,0.99897
10350,SOFC,0.5,-0.3128,779.91,0.99896
10380,SOFC,0.5,-0.3128,779.93,0.99896
10410,SOFC,0.5,-0.3112,779.94,0.99896
10440,SOFC,0.5,-0.3121,779.95,0.99896
10470,SOFC,0.5,-0.3124,779.95,0.99895
10500,SOFC,0.5,-0.3118,779.96,0.99895
10530,SOFC,0.5,-0.3169,779.97,0.99895
10560,SOFC,0.5,-0.3168,779.98,0.99894
10590,SOFC,0.5,-0.3134,779.98,0.99894
10620,SOFC,0.5,-0.3136,779.99,0.99894
10650,SOFC,0.5,-0.3121,779.99,0.99894
10680,SOFC,0.5,-0.3132,779.99,0.99893
10710,SOFC,0.5,-0.3121,780.0,0.99893
10740,SOFC,0.5,-0.3157,780.0,0.99893
10770,SOFC,0.5,-0.3133,780.0,0.99892
10800,OCV,0.0,0.9634,780.0,0.99892
10830,OCV,0.0,0.9669,780.0,0.99892
10860,OCV,0.0,0.9623,780.0,0.99891
10890,OCV,0.0,0.9668,780.0,0.99891
10920,OCV,0.0,0.9632,779.99,0.99891
10950,OCV,0.0,0.9653,779.99,0.99891
10980,OCV,0.0,0.9679,779.99,0.9989
11010,OCV,0.0,0.9665,779.98,0.9989
11040,OCV,0.0,0.9628,779.98,0.9989
11070,OCV,0.0,0.9647,779.97,0.99889
11100,OCV,0.0,0.9631,779.96,0.99889
11130,OCV,0.0,0.9627,779.95,0.99889
11160,OCV,0.0,0.9663,779.95,0.99888
11190,OCV,0.0,0.9672,779.94,0.99888
11220,OCV,0.0,0.967,779.93,0.99888
11250,OCV,0.0,0.9673,779.91,0.99887
11280,OCV,0.0,0.9661,779.9,0.99887
11310,OCV,0.0,0.9655,779.89,0.99887
11340,OCV,0.0,0.9639,779.88,0.99887
11370,OCV,0.0,0.9652,779.86,0.99886
11400,OCV,0.0,0.9634,779.85,0.99886
11430,OCV,0.0,0.9644,779.83,0.99886
11460,OCV,0.0,0.9663,779.82,0.99885
11490,OCV,0.0,0.9659,779.8,0.99885
11520,OCV,0.0,0.9722,779.78,0.99885
11550,OCV,0.0,0.9634,779.76,0.99884
11580,OCV,0.0,0.9658,779.74,0.99884
11610,OCV,0.0,0.9633,779.72,0.99884
11640,OCV,0.0,0.9653,779.7,0.99884
11670,OCV,0.0,0.9654,779.68,0.99883
11700,SOEC,-0.5,2.2823,779.66,0.99883
11730,SOEC,-0.5,2.2797,779.63,0.99883
11760,SOEC,-0.5,2.2802,779.61,0.99882
11790,SOEC,-0.5,2.2797,779.59,0.99882
11820,SOEC,-0.5,2.2778,779.56,0.99882
11850,SOEC,-0.5,2.2793,779.53,0.99882
11880,SOEC,-0.5,2.2798,779.51,0.99881
11910,SOEC,-0.5,2.2807,779.48,0.99881
11940,SOEC,-0.5,2.2817,779.45,0.99881
11970,SOEC,-0.5,2.2801,779.42,0.9988
12000,SOEC,-0.5,2.28,779.39,0.9988
12030,SOEC,-0.5,2.2771,779.36,0.9988
12060,SOEC,-0.5,2.2816,779.33,0.99879
12090,SOEC,-0.5,2.2791,779.3,0.99879
12120,SOEC,-0.5,2.282,779.27,0.99879
12150,SOEC,-0.5,2.2831,779.23,0.99879
12180,SOEC,-0.5,2.2801,779.2,0.99878
12210,SOEC,-0.5,2.2784,779.16,0.99878
12240,SOEC,-0.5,2.2805,779.13,0.99878
12270,SOEC,-0.5,2.2812,779.09,0.99877
12300,SOEC,-0.5,2.2798,779.05,0.99877
12330,SOEC,-0.5,2.2793,779.01,0.99877
12360,SOEC,-0.5,2.2816,778.97,0.99876
12390,SOEC,-0.5,2.2814,778.94,0.99876
12420,SOEC,-0.5,2.2797,778.89,0.99876
12450,SOEC,-0.5,2.2771,778.85,0.99875
12480,SOEC,-0.5,2.2813,778.81,0.99875
12510,SOEC,-0.5,2.2789,778.77,0.99875
12540,SOEC,-0.5,2.2808,778.73,0.99875
12570,SOEC,-0.5,2.2807,778.68,0.99874
12600,SOEC,-0.5,2.2766,778.64,0.99874
12630,SOEC,-0.5,2.2805,778.59,0.99874
12660,SOEC,-0.5,2.2814,778.55,0.99873
12690,SOEC,-0.5,2.2816,778.5,0.99873
12720,SOEC,-0.5,2.2806,778.45,0.99873
12750,SOEC,-0.5,2.2764,778.4,0.99872
12780,SOEC,-0.5,2.2829,778.35,0.99872
12810,SOEC,-0.5,2.2811,778.3,0.99872
12840,SOEC,-0.5,2.2779,778.25,0.99872
12870,SOEC,-0.5,2.2787,778.2,0.99871
12900,SOEC,-0.5,2.2808,778.15,0.99871
12930,SOEC,-0.5,2.2816,778.1,0.99871
12960,SOEC,-0.5,2.2793,778.04,0.9987
12990,SOEC,-0.5,2.2819,777.99,0.9987
13020,SOEC,-0.5,2.2767,777.93,0.9987
13050,SOEC,-0.5,2.2782,777.88,0.99869
13080,SOEC,-0.5,2.2761,777.82,0.99869
13110,SOEC,-0.5,2.2784,777.76,0.99869
13140,SOEC,-0.5,2.2832,777.71,0.99869
13170,SOEC,-0.5,2.2843,777.65,0.99868
13200,SOEC,-0.5,2.2807,777.59,0.99868
13230,SOEC,-0.5,2.2789,777.53,0.99868
13260,SOEC,-0.5,2.2798,777.47,0.99867
13290,SOEC,-0.5,2.2811,777.41,0.99867
13320,SOEC,-0.5,2.2771,777.34,0.99867
13350,SOEC,-0.5,2.279,777.28,0.99867
13380,SOEC,-0.5,2.283,777.22,0.99866
13410,SOEC,-0.5,2.2781,777.15,0.99866
13440,SOEC,-0.5,2.2786,777.09,0.99866
13470,SOEC,-0.5,2.2802,777.02,0.99865
13500,SOFC,0.5,-0.311,776.96,0.99865
13530,SOFC,0.5,-0.3128,776.89,0.99865
13560,SOFC,0.5,-0.3113,776.82,0.99864
13590,SOFC,0.5,-0.3102,776.75,0.99864
13620,SOFC,0.5,-0.3075,776.68,0.99864
13650,SOFC,0.5,-0.3116,776.61,0.99864
13680,SOFC,0.5,-0.3114,776.54,0.99863
13710,SOFC,0.5,-0.3083,776.47,0.99863
13740,SOFC,0.5,-0.3124,776.4,0.99863
13770,SOFC,0.5,-0.3139,776.33,0.99862
13800,SOFC,0.5,-0.3107,776.25,0.99862
13830,SOFC,0.5,-0.309,776.18,0.99862
13860,SOFC,0.5,-0.3104,776.1,0.99861
13890,SOFC,0.5,-0.3113,776.03,0.99861
13920,SOFC,0.5,-0.3139,775.95,0.99861
13950,SOFC,0.5,-0.3111,775.87,0.9986
13980,SOFC,0.5,-0.3085,775.8,0.9986
14010,SOFC,0.5,-0.3134,775.72,0.9986
14040,SOFC,0.5,-0.3114,775.64,0.9986
14070,SOFC,0.5,-0.3116,775.56,0.99859
14100,SOFC,0.5,-0.3122,775.48,0.99859
14130,SOFC,0.5,-0.3103,775.4,0.99859
14160,SOFC,0.5,-0.3098,775.32,0.99858
14190,SOFC,0.5,-0.3098,775.24,0.99858
14220,SOFC,0.5,-0.3126,775.15,0.99858
14250,SOFC,0.5,-0.3139,775.07,0.99857
14280,SOFC,0.5,-0.31,774.98,0.99857
14310,SOFC,0.5,-0.3115,774.9,0.99857
14340,SOFC,0.5,-0.3068,774.81,0.99857
14370,SOFC,0.5,-0.3066,774.73,0.99856
14400,SOFC,0.5,-0.3064,774.64,0.99856
14430,SOFC,0.5,-0.3122,774.55,0.99856
14460,SOFC,0.5,-0.3091,774.47,0.99855
14490,SOFC,0.5,-0.3085,774.38,0.99855
14520,SOFC,0.5,-0.3087,774.29,0.99855
14550,SOFC,0.5,-0.3109,774.2,0.99855
14580,SOFC,0.5,-0.3075,774.11,0.99854
14610,SOFC,0.5,-0.3101,774.01,0.99854
14640,SOFC,0.5,-0.3098,773.92,0.99854
14670,SOFC,0.5,-0.313,773.83,0.99853
14700,SOFC,0.5,-0.3086,773.74,0.99853
14730,SOFC,0.5,-0.3104,773.64,0.99853
14760,SOFC,0.5,-0.3089,773.55,0.99852
14790,SOFC,0.5,-0.3093,773.45,0.99852
14820,SOFC,0.5,-0.3094,773.36,0.99852
14850,SOFC,0.5,-0.3098,773.26,0.99852
14880,SOFC,0.5,-0.3081,773.16,0.99851
14910,SOFC,0.5,-0.31,773.06,0.99851
14940,SOFC,0.5,-0.3124,772.97,0.99851
14970,SOFC,0.5,-0.3083,772.87,0.9985
15000,SOFC,0.5,-0.3111,772.77,0.9985
15030,SOFC,0.5,-0.312,772.67,0.9985
15060,SOFC,0.5,-0.3114,772.56,0.99849
15090,SOFC,0.5,-0.3087,772.46,0.99849
15120,SOFC,0.5,-0.3094,772.36,0.99849
15150,SOFC,0.5,-0.3135,772.26,0.99848
15180,SOFC,0.5,-0.3099,772.15,0.99848
15210,SOFC,0.5,-0.3067,772.05,0.99848
15240,SOFC,0.5,-0.3099,771.95,0.99848
15270,SOFC,0.5,-0.3093,771.84,0.99847
15300,OCV,0.0,0.9699,771.73,0.99847
15330,OCV,0.0,0.9694,771.63,0.99847
15360,OCV,0.0,0.9699,771.52,0.99846
15390,OCV,0.0,0.9624,771.41,0.99846
15420,OCV,0.0,0.9714,771.3,0.99846
15450,OCV,0.0,0.9692,771.2,0.99845
15480,OCV,0.0,0.9729,771.09,0.99845
15510,OCV,0.0,0.9664,770.98,0.99845
15540,OCV,0.0,0.9645,770.86,0.99845
15570,OCV,0.0,0.9681,770.75,0.99844
15600,OCV,0.0,0.9675,770.64,0.99844
15630,OCV,0.0,0.9694,770.53,0.99844
15660,OCV,0.0,0.9703,770.42,0.99843
15690,OCV,0.0,0.968,770.3,0.99843
15720,OCV,0.0,0.9677,770.19,0.99843
15750,OCV,0.0,0.9693,770.07,0.99843
