temperature_C,youngs_modulus_Pa,youngs_modulus_GPa,poissons_ratio
945.0,27400000000.0,27.4,0.29
950.0,27250000000.0,27.25,0.29
955.0,27100000000.0,27.1,0.29
960.0,26950000000.0,26.95,0.29
965.0,26800000000.0,26.8,0.29
970.0,26650000000.0,26.65,0.29
975.0,26500000000.0,26.5,0.29
980.0,26350000000.0,26.35,0.29
985.0,26200000000.0,26.2,0.29
990.0,26050000000.0,26.05,0.29
995.0,25900000000.0,25.9,0.29
1000.0,25750000000.0,25.75,0.29
1005.0,25600000000.0,25.6,0.29
1010.0,25450000000.0,25.45,0.29
1015.0,25300000000.0,25.3,0.29
1020.0,25150000000.0,25.15,0.29
1025.0,25000000000.0,25.0,0.29
1030.0,24850000000.0,24.85,0.29
1035.0,24700000000.0,24.7,0.29
1040.0,24550000000.0,24.55,0.29
1045.0,24400000000.0,24.4,0.29
1050.0,24250000000.0,24.25,0.29
1055.0,24100000000.0,24.1,0.29
1060.0,23950000000.0,23.95,0.29
1065.0,23800000000.0,23.8,0.29
1070.0,23650000000.0,23.65,0.29
1075.0,23500000000.0,23.5,0.29
1080.0,23350000000.0,23.35,0.29
1085.0,23200000000.0,23.2,0.29
1090.0,23050000000.0,23.05,0.29
1095.0,22900000000.0,22.9,0.29
1100.0,22750000000.0,22.75,0.29
1105.0,22600000000.0,22.6,0.29
1110.0,22450000000.0,22.45,0.29
1115.0,22300000000.0,22.3,0.29
1120.0,22150000000.0,22.15,0.29
1125.0,22000000000.0,22.0,0.29
1130.0,21850000000.0,21.85,0.29
1135.0,21700000000.0,21.7,0.29
1140.0,21550000000.0,21.55,0.29
1145.0,21400000000.0,21.4,0.29
1150.0,21250000000.0,21.25,0.29
1155.0,21100000000.0,21.1,0.29
1160.0,20950000000.0,20.95,0.29
1165.0,20800000000.0,20.8,0.29
1170.0,20650000000.0,20.65,0.29
1175.0,20500000000.0,20.5,0.29
1180.0,20350000000.0,20.35,0.29
1185.0,20200000000.0,20.2,0.29
1190.0,20050000000.0,20.05,0.29
1195.0,19900000000.0,19.9,0.29
1200.0,19750000000.0,19.75,0.29
1205.0,19600000000.0,19.6,0.29
1210.0,19450000000.0,19.45,0.29
1215.0,19300000000.0,19.3,0.29
1220.0,19150000000.0,19.15,0.29
1225.0,19000000000.0,19.0,0.29
1230.0,18850000000.0,18.85,0.29
1235.0,18700000000.0,18.7,0.29
1240.0,18550000000.0,18.55,0.29
1245.0,18400000000.0,18.4,0.29
1250.0,18250000000.0,18.25,0.29
1255.0,18100000000.0,18.1,0.29
1260.0,17950000000.0,17.95,0.29
1265.0,17800000000.0,17.8,0.29
1270.0,17650000000.0,17.65,0.29
1275.0,17500000000.0,17.5,0.29
1280.0,17350000000.0,17.35,0.29
1285.0,17200000000.0,17.2,0.29
1290.0,17050000000.0,17.05,0.29
1295.0,16900000000.0,16.9,0.29
1300.0,16750000000.0,16.75,0.29
1305.0,16600000000.0,16.6,0.29
1310.0,16450000000.0,16.45,0.29
1315.0,16300000000.0,16.3,0.29
1320.0,16150000000.0,16.15,0.29
1325.0,16000000000.0,16.0,0.29
1330.0,15850000000.0,15.85,0.29
1335.0,15700000000.0,15.7,0.29
1340.0,15550000000.0,15.55,0.29
1345.0,15400000000.0,15.4,0.29
1350.0,15250000000.0,15.25,0.29
1355.0,15100000000.0,15.1,0.29
1360.0,14950000000.0,14.95,0.29
1365.0,14800000000.0,14.8,0.29
1370.0,14650000000.0,14.65,0.29
1375.0,14500000000.0,14.5,0.29
1380.0,14350000000.0,14.35,0.29
1385.0,14200000000.0,14.2,0.29
1390.0,14050000000.0,14.05,0.29
1395.0,13900000000.0,13.9,0.29
1400.0,13750000000.0,13.75,0.29
