temperature_C,youngs_modulus_Pa,youngs_modulus_GPa,poissons_ratio
615.0,177875000000.0,177.875,0.23
620.0,177687500000.0,177.6875,0.23
625.0,177500000000.0,177.5,0.23
630.0,177312500000.0,177.3125,0.23
635.0,177125000000.0,177.125,0.23
640.0,176937500000.0,176.9375,0.23
645.0,176750000000.0,176.75,0.23
650.0,176562500000.0,176.5625,0.23
655.0,176375000000.0,176.375,0.23
660.0,176187500000.0,176.1875,0.23
665.0,176000000000.0,176.0,0.23
670.0,175812500000.0,175.8125,0.23
675.0,175625000000.0,175.625,0.23
680.0,175437500000.0,175.4375,0.23
685.0,175250000000.0,175.25,0.23
690.0,175062500000.0,175.0625,0.23
695.0,174875000000.0,174.875,0.23
700.0,174687500000.0,174.6875,0.23
705.0,174500000000.0,174.5,0.23
710.0,174312500000.0,174.3125,0.23
715.0,174125000000.0,174.125,0.23
720.0,173937500000.0,173.9375,0.23
725.0,173750000000.0,173.75,0.23
730.0,173562500000.0,173.5625,0.23
735.0,173375000000.0,173.375,0.23
740.0,173187500000.0,173.1875,0.23
745.0,173000000000.0,173.0,0.23
750.0,172812500000.0,172.8125,0.23
755.0,172625000000.0,172.625,0.23
760.0,172437500000.0,172.4375,0.23
765.0,172250000000.0,172.25,0.23
770.0,172062500000.0,172.0625,0.23
775.0,171875000000.0,171.875,0.23
780.0,171687500000.0,171.6875,0.23
785.0,171500000000.0,171.5,0.23
790.0,171312500000.0,171.3125,0.23
795.0,171125000000.0,171.125,0.23
800.0,170937500000.0,170.9375,0.23
805.0,170750000000.0,170.75,0.23
810.0,170562500000.0,170.5625,0.23
815.0,170375000000.0,170.375,0.23
820.0,170187500000.0,170.1875,0.23
825.0,170000000000.0,170.0,0.23
830.0,169812500000.0,169.8125,0.23
835.0,169625000000.0,169.625,0.23
840.0,169437500000.0,169.4375,0.23
845.0,169250000000.0,169.25,0.23
850.0,169062500000.0,169.0625,0.23
855.0,168875000000.0,168.875,0.23
860.0,168687500000.0,168.6875,0.23
865.0,168500000000.0,168.5,0.23
870.0,168312500000.0,168.3125,0.23
875.0,168125000000.0,168.125,0.23
880.0,167937500000.0,167.9375,0.23
885.0,167750000000.0,167.75,0.23
890.0,167562500000.0,167.5625,0.23
895.0,167375000000.0,167.375,0.23
900.0,167187500000.0,167.1875,0.23
905.0,167000000000.0,167.0,0.23
910.0,166812500000.0,166.8125,0.23
915.0,166625000000.0,166.625,0.23
920.0,166437500000.0,166.4375,0.23
925.0,166250000000.0,166.25,0.23
930.0,166062500000.0,166.0625,0.23
935.0,165875000000.0,165.875,0.23
940.0,165687500000.0,165.6875,0.23
945.0,165500000000.0,165.5,0.23
950.0,165312500000.0,165.3125,0.23
955.0,165125000000.0,165.125,0.23
960.0,164937500000.0,164.9375,0.23
965.0,164750000000.0,164.75,0.23
970.0,164562500000.0,164.5625,0.23
975.0,164375000000.0,164.375,0.23
980.0,164187500000.0,164.1875,0.23
985.0,164000000000.0,164.0,0.23
990.0,163812500000.0,163.8125,0.23
995.0,163625000000.0,163.625,0.23
1000.0,163437500000.0,163.4375,0.23
1005.0,163250000000.0,163.25,0.23
1010.0,163062500000.0,163.0625,0.23
1015.0,162875000000.0,162.875,0.23
1020.0,162687500000.0,162.6875,0.23
1025.0,162500000000.0,162.5,0.23
1030.0,162312500000.0,162.3125,0.23
1035.0,162125000000.0,162.125,0.23
1040.0,161937500000.0,161.9375,0.23
1045.0,161750000000.0,161.75,0.23
1050.0,161562500000.0,161.5625,0.23
1055.0,161375000000.0,161.375,0.23
1060.0,161187500000.0,161.1875,0.23
1065.0,161000000000.0,161.0,0.23
1070.0,160812500000.0,160.8125,0.23
1075.0,160625000000.0,160.625,0.23
1080.0,160437500000.0,160.4375,0.23
1085.0,160250000000.0,160.25,0.23
1090.0,160062500000.0,160.0625,0.23
1095.0,159875000000.0,159.875,0.23
1100.0,159687500000.0,159.6875,0.23
1105.0,159500000000.0,159.5,0.23
1110.0,159312500000.0,159.3125,0.23
1115.0,159125000000.0,159.125,0.23
1120.0,158937500000.0,158.9375,0.23
1125.0,158750000000.0,158.75,0.23
1130.0,158562500000.0,158.5625,0.23
1135.0,158375000000.0,158.375,0.23
1140.0,158187500000.0,158.1875,0.23
1145.0,158000000000.0,158.0,0.23
1150.0,157812500000.0,157.8125,0.23
1155.0,157625000000.0,157.625,0.23
1160.0,157437500000.0,157.4375,0.23
1165.0,157250000000.0,157.25,0.23
1170.0,157062500000.0,157.0625,0.23
1175.0,156875000000.0,156.875,0.23
1180.0,156687500000.0,156.6875,0.23
1185.0,156500000000.0,156.5,0.23
1190.0,156312500000.0,156.3125,0.23
1195.0,156125000000.0,156.125,0.23
1200.0,155937500000.0,155.9375,0.23
1205.0,155750000000.0,155.75,0.23
1210.0,155562500000.0,155.5625,0.23
1215.0,155375000000.0,155.375,0.23
1220.0,155187500000.0,155.1875,0.23
1225.0,155000000000.0,155.0,0.23
1230.0,154812500000.0,154.8125,0.23
1235.0,154625000000.0,154.625,0.23
1240.0,154437500000.0,154.4375,0.23
1245.0,154250000000.0,154.25,0.23
1250.0,154062500000.0,154.0625,0.23
1255.0,153875000000.0,153.875,0.23
1260.0,153687500000.0,153.6875,0.23
1265.0,153500000000.0,153.5,0.23
1270.0,153312500000.0,153.3125,0.23
1275.0,153125000000.0,153.125,0.23
1280.0,152937500000.0,152.9375,0.23
1285.0,152750000000.0,152.75,0.23
1290.0,152562500000.0,152.5625,0.23
1295.0,152375000000.0,152.375,0.23
1300.0,152187500000.0,152.1875,0.23
1305.0,152000000000.0,152.0,0.23
1310.0,151812500000.0,151.8125,0.23
1315.0,151625000000.0,151.625,0.23
1320.0,151437500000.0,151.4375,0.23
1325.0,151250000000.0,151.25,0.23
1330.0,151062500000.0,151.0625,0.23
1335.0,150875000000.0,150.875,0.23
1340.0,150687500000.0,150.6875,0.23
1345.0,150500000000.0,150.5,0.23
1350.0,150312500000.0,150.3125,0.23
1355.0,150125000000.0,150.125,0.23
1360.0,149937500000.0,149.9375,0.23
1365.0,149750000000.0,149.75,0.23
1370.0,149562500000.0,149.5625,0.23
1375.0,149375000000.0,149.375,0.23
1380.0,149187500000.0,149.1875,0.23
1385.0,149000000000.0,149.0,0.23
1390.0,148812500000.0,148.8125,0.23
1395.0,148625000000.0,148.625,0.23
1400.0,148437500000.0,148.4375,0.23
