temperature,rubber_content,specimen_type,original_diameter_um,current_diameter_um,diameter_change_percent,original_aspect_ratio,current_aspect_ratio,surface_roughness_um,pore_density_per_mm2,mean_pore_size_um,volatile_loss_fraction,carbon_residue_fraction,interface_bonding_strength_mpa,thermal_expansion_strain,softening_factor,pyrolysis_degree,degradation_mechanism,specimen_id,analysis_method,measurement_precision
200,10,heated,2366.082974964661,2451.2619620633886,3.599999999999996,0.7355468376730288,0.7487866807511433,0.28,0.0,0.0,0.0,1.0,0.7000000000000001,0.036,1.0,0.0,elastic_deformation,RD_10_200_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,15,control,1839.7884668319002,1906.0208516378486,3.6000000000000005,1.3015154985469979,1.3249427775208438,0.28,0.0,0.0,0.0,1.0,0.65,0.036,1.0,0.0,elastic_deformation,RD_15_200_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,15,heated,3058.2269380954954,3168.3231078669332,3.600000000000001,1.445707849375462,1.4717305906642204,0.28,0.0,0.0,0.0,1.0,0.65,0.036,1.0,0.0,elastic_deformation,RD_15_200_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,20,control,1929.0915315226891,1998.538826657506,3.600000000000002,0.9129358283882302,0.9293686732992184,0.28,0.0,0.0,0.0,1.0,0.6000000000000001,0.036,1.0,0.0,elastic_deformation,RD_20_200_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,20,heated,1433.5376829764355,1485.1450395635873,3.6000000000000085,0.8255242326563471,0.8403836688441614,0.28,0.0,0.0,0.0,1.0,0.6000000000000001,0.036,1.0,0.0,elastic_deformation,RD_20_200_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,25,control,3494.177873529229,3619.9682769762817,3.600000000000008,1.493801160907627,1.5206895818039643,0.28,0.0,0.0,0.0,1.0,0.55,0.036,1.0,0.0,elastic_deformation,RD_25_200_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
200,25,heated,1570.0266775356552,1626.5476379269387,3.599999999999998,0.6954378158965543,0.7079556965826923,0.28,0.0,0.0,0.0,1.0,0.55,0.036,1.0,0.0,elastic_deformation,RD_25_200_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,5,control,1907.7794026681547,1976.4594611642083,3.5999999999999996,1.3337455753951215,1.3577529957522336,0.38,0.0,0.0,0.0,1.0,0.6818181818181818,0.036,1.0,0.0,softening_melting,RD_5_300_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,5,heated,2291.051639320235,2373.5294983357635,3.5999999999999943,1.168310575552362,1.1893401659123044,0.38,0.0,0.0,0.0,1.0,0.6818181818181818,0.036,1.0,0.0,softening_melting,RD_5_300_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,10,control,2074.11916229514,2148.7874521377653,3.600000000000007,1.5784827200080573,1.6068954089682024,0.38,0.0,0.0,0.0,1.0,0.6363636363636364,0.036,1.0,0.0,softening_melting,RD_10_300_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,10,heated,3126.7977310958836,3239.3624494153355,3.600000000000003,0.8724330239662956,0.888136818397689,0.38,0.0,0.0,0.0,1.0,0.6363636363636364,0.036,1.0,0.0,softening_melting,RD_10_300_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,15,control,2136.870817411215,2213.7981668380185,3.5999999999999948,1.1499133124690923,1.170611752093536,0.38,0.0,0.0,0.0,1.0,0.5909090909090909,0.036,1.0,0.0,softening_melting,RD_15_300_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,15,heated,1546.2550536229796,1601.9202355534069,3.599999999999999,1.1709288835619083,1.1920056034660227,0.38,0.0,0.0,0.0,1.0,0.5909090909090909,0.036,1.0,0.0,softening_melting,RD_15_300_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,20,control,2174.1277096211265,2252.396307167487,3.5999999999999983,1.2056813622523341,1.2273836267728762,0.38,0.0,0.0,0.0,1.0,0.5454545454545455,0.036,1.0,0.0,softening_melting,RD_20_300_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,20,heated,1766.3856249678836,1829.9755074667275,3.6000000000000085,1.6388613528356326,1.668360857186674,0.38,0.0,0.0,0.0,1.0,0.5454545454545455,0.036,1.0,0.0,softening_melting,RD_20_300_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,25,control,2743.5509149105383,2842.318747847318,3.600000000000006,0.9284751565355841,0.9451877093532246,0.38,0.0,0.0,0.0,1.0,0.5,0.036,1.0,0.0,softening_melting,RD_25_300_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
300,25,heated,1916.5693178076338,1985.5658132487085,3.5999999999999983,0.8713273752635093,0.8870112680182525,0.38,0.0,0.0,0.0,1.0,0.5,0.036,1.0,0.0,softening_melting,RD_25_300_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,5,control,1783.0956556268493,1477.8296793835327,-17.119999999999997,1.3561269702086267,1.380537255672382,0.73,1.093362073943278,0.6,0.2,0.8,0.5454545454545454,0.036,0.8,0.0,pyrolysis_initiation,RD_5_400_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,5,heated,2129.4331176241703,1764.8741678869123,-17.12,1.3530222893809427,1.3773766905897997,0.73,1.093362073943278,0.6,0.2,0.8,0.5454545454545454,0.036,0.8,0.0,pyrolysis_initiation,RD_5_400_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,10,control,3039.208454513123,2518.8959671004764,-17.119999999999997,0.9343196522652564,0.951137406006031,0.73,1.093362073943278,0.6,0.2,0.8,0.5090909090909091,0.036,0.8,0.0,pyrolysis_initiation,RD_10_400_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,10,heated,2171.4532429861033,1799.7004477868825,-17.119999999999997,1.0365278736450112,1.0551853753706215,0.73,1.093362073943278,0.6,0.2,0.8,0.5090909090909091,0.036,0.8,0.0,pyrolysis_initiation,RD_10_400_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,15,control,2600.839266747643,2155.5755842804465,-17.119999999999994,1.3678984866400223,1.3925206593995427,0.73,1.093362073943278,0.6,0.2,0.8,0.4727272727272728,0.036,0.8,0.0,pyrolysis_initiation,RD_15_400_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,15,heated,3079.8790117213043,2552.6037249146175,-17.119999999999987,1.5757362580028607,1.6040995106469123,0.73,1.093362073943278,0.6,0.2,0.8,0.4727272727272728,0.036,0.8,0.0,pyrolysis_initiation,RD_15_400_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,20,control,1333.4400664839136,1105.1551271018677,-17.11999999999999,1.5459394117852736,1.5737663211974087,0.73,1.093362073943278,0.6,0.2,0.8,0.43636363636363645,0.036,0.8,0.0,pyrolysis_initiation,RD_20_400_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,20,heated,2934.4598563783593,2432.0803289663845,-17.119999999999987,0.9736138315472965,0.9911388805151479,0.73,1.093362073943278,0.6,0.2,0.8,0.43636363636363645,0.036,0.8,0.0,pyrolysis_initiation,RD_20_400_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,25,control,2633.7432291154378,2182.846388290875,-17.119999999999994,1.3957487172368137,1.4208721941470763,0.73,1.093362073943278,0.6,0.2,0.8,0.4,0.036,0.8,0.0,pyrolysis_initiation,RD_25_400_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
400,25,heated,769.7529693981846,637.9712610372155,-17.119999999999987,1.1562654177102927,1.1770781952290779,0.73,1.093362073943278,0.6,0.2,0.8,0.4,0.036,0.8,0.0,pyrolysis_initiation,RD_25_400_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,5,control,2272.689783469768,1412.7039694048078,-37.839999999999996,0.9107853252350695,0.9271794610893007,1.33,4.086104891139991,0.8,0.4,0.6,0.40909090909090906,0.036,0.6,0.25,carbonization,RD_5_500_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,5,heated,1500.6666208903189,932.8143715454221,-37.84,0.9149710634521924,0.9314405425943318,1.33,4.086104891139991,0.8,0.4,0.6,0.40909090909090906,0.036,0.6,0.25,carbonization,RD_5_500_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,10,control,1145.5245461860009,712.0580579092181,-37.84,1.1091323525826293,1.1290967349291168,1.33,4.086104891139991,0.8,0.4,0.6,0.38181818181818183,0.036,0.6,0.25,carbonization,RD_10_500_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,10,heated,4142.091413735114,2574.7240227777465,-37.84,1.5588730425643331,1.5869327573304912,1.33,4.086104891139991,0.8,0.4,0.6,0.38181818181818183,0.036,0.6,0.25,carbonization,RD_10_500_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,15,control,1756.3597254689482,1091.7532053514983,-37.839999999999996,1.495551974680505,1.5224719102247541,1.33,4.086104891139991,0.8,0.4,0.6,0.35454545454545455,0.036,0.6,0.25,carbonization,RD_15_500_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,15,heated,2202.897759976229,1369.3212476012238,-37.84,1.5735552772076642,1.6018792721974022,1.33,4.086104891139991,0.8,0.4,0.6,0.35454545454545455,0.036,0.6,0.25,carbonization,RD_15_500_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,20,control,1770.6505606346338,1100.6363884904883,-37.84,1.0628837464308472,1.0820156538666024,1.33,4.086104891139991,0.8,0.4,0.6,0.32727272727272727,0.036,0.6,0.25,carbonization,RD_20_500_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,20,heated,2064.0967074776036,1283.0425133680783,-37.84,1.1130251928592958,1.1330596463307632,1.33,4.086104891139991,0.8,0.4,0.6,0.32727272727272727,0.036,0.6,0.25,carbonization,RD_20_500_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,25,control,1845.697656169091,1147.285663074707,-37.84,0.9854188808817943,1.0031564207376666,1.33,4.086104891139991,0.8,0.4,0.6,0.3,0.036,0.6,0.25,carbonization,RD_25_500_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
500,25,heated,1685.0997770200158,1047.458021395642,-37.839999999999996,1.083893057437773,1.103403132471653,1.33,4.086104891139991,0.8,0.4,0.6,0.3,0.036,0.6,0.25,carbonization,RD_25_500_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,5,control,2617.715229606351,1084.781191148872,-58.55999999999999,1.3527167522481578,1.3770656537886246,1.93,7.542720420681452,1.0,0.4,0.6,0.2727272727272727,0.036,0.4,0.5,carbonization,RD_5_600_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,5,heated,1430.8750839383938,592.9546347840704,-58.56,1.1314975015159918,1.1518644565432796,1.93,7.542720420681452,1.0,0.4,0.6,0.2727272727272727,0.036,0.4,0.5,carbonization,RD_5_600_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,10,control,1647.584943931284,682.7592007651242,-58.55999999999999,1.2519239145045669,1.2744585449656491,1.93,7.542720420681452,1.0,0.4,0.6,0.2545454545454546,0.036,0.4,0.5,carbonization,RD_10_600_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,10,heated,2796.4637586356744,1158.8545815786235,-58.56,1.3251333257214875,1.3489857255844742,1.93,7.542720420681452,1.0,0.4,0.6,0.2545454545454546,0.036,0.4,0.5,carbonization,RD_10_600_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,15,control,2258.4684532374226,935.909327021588,-58.55999999999999,1.4094413355420397,1.4348112795817964,1.93,7.542720420681452,1.0,0.4,0.6,0.2363636363636364,0.036,0.4,0.5,carbonization,RD_15_600_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,15,heated,1905.1170895031607,789.4805218901099,-58.55999999999999,1.4483214591478184,1.4743912454124792,1.93,7.542720420681452,1.0,0.4,0.6,0.2363636363636364,0.036,0.4,0.5,carbonization,RD_15_600_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,20,control,1048.9591713768634,434.6886806185722,-58.56,1.316524638378967,1.3402220818697885,1.93,7.542720420681452,1.0,0.4,0.6,0.21818181818181823,0.036,0.4,0.5,carbonization,RD_20_600_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,20,heated,2741.0362255795912,1135.8854118801826,-58.56,1.1326284116958678,1.1530157231063936,1.93,7.542720420681452,1.0,0.4,0.6,0.21818181818181823,0.036,0.4,0.5,carbonization,RD_20_600_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,25,control,1475.3828424404933,611.3986499073404,-58.56,1.5776311978059376,1.6060285593664445,1.93,7.542720420681452,1.0,0.4,0.6,0.2,0.036,0.4,0.5,carbonization,RD_25_600_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
600,25,heated,1745.2222812774578,723.2201133613786,-58.55999999999999,1.0937659593851168,1.1134537466540488,1.93,7.542720420681452,1.0,0.4,0.6,0.2,0.036,0.4,0.5,carbonization,RD_25_600_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,5,control,3532.800233198153,731.9962083186572,-79.28,1.2857490913836334,1.3088925750285387,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.13636363636363633,0.036,0.19999999999999996,0.75,carbonization,RD_5_700_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,5,heated,2734.7501842928687,566.6402381854823,-79.28,1.3457568481303368,1.369980471396683,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.13636363636363633,0.036,0.19999999999999996,0.75,carbonization,RD_5_700_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,10,control,2506.4379214717023,519.3339373289366,-79.28,0.9779553291018867,0.9955585250257206,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.12727272727272726,0.036,0.19999999999999996,0.75,carbonization,RD_10_700_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,10,heated,1814.2794372339654,375.9186993948776,-79.28,1.2235251993203295,1.2455486529080955,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.12727272727272726,0.036,0.19999999999999996,0.75,carbonization,RD_10_700_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,15,control,1552.8801557843976,321.75676827852715,-79.28,1.0628300442312595,1.081960985027422,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.11818181818181815,0.036,0.19999999999999996,0.75,carbonization,RD_15_700_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,15,heated,1664.9293843676726,344.9733684409817,-79.28,0.8901436722778734,0.9061662583788751,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.11818181818181815,0.036,0.19999999999999996,0.75,carbonization,RD_15_700_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,20,control,1424.7488701769587,295.2079659006658,-79.28,1.36399730003148,1.3885492514320468,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.10909090909090907,0.036,0.19999999999999996,0.75,carbonization,RD_20_700_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,20,heated,3750.9069509269807,777.1879202320703,-79.28,1.0368262432837154,1.0554891156628223,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.10909090909090907,0.036,0.19999999999999996,0.75,carbonization,RD_20_700_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,25,control,2466.248980614714,511.0067887833686,-79.28,1.1724812715164095,1.1935859344037048,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.09999999999999998,0.036,0.19999999999999996,0.75,carbonization,RD_25_700_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
700,25,heated,2020.2060674155455,418.5866971685009,-79.28,1.2505524178763667,1.2730623613981413,2.5300000000000002,11.29488083241593,1.2000000000000002,0.4,0.6,0.09999999999999998,0.036,0.19999999999999996,0.75,carbonization,RD_25_700_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,5,control,2246.104323098765,232.69640787303206,-89.64,1.2542348582577645,1.2768110857064043,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_5_800_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,5,heated,3773.564837941554,390.941317210745,-89.64,1.5783447049624442,1.6067549096517681,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_5_800_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,10,control,1253.240163229508,129.83568091057703,-89.64000000000001,1.4396408465269577,1.465554381764443,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_10_800_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,10,heated,1909.3440318378248,197.80804169839868,-89.64,1.3394281304353548,1.3635378367831912,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_10_800_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,15,control,1678.758302371225,173.91936012565893,-89.64000000000001,1.121520264493984,1.1417076292548756,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_15_800_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,15,heated,1532.8779139079431,158.80615188086293,-89.64,1.0114997566484902,1.029706752268163,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_15_800_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,20,control,2571.370861599648,266.39402126172354,-89.64,1.5762024386302331,1.6045740825255774,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_20_800_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,20,heated,1304.6284807403367,135.15951060469888,-89.64,1.4400751784483599,1.4659965316604304,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_20_800_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,25,control,1515.8413225429806,157.04116101545281,-89.64,1.214902975877776,1.236771229443576,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_25_800_control,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
800,25,heated,1563.2628887445874,161.95403527393927,-89.64,1.2038093439625297,1.2254779121538553,3.13,15.270561856222145,1.4,0.4,0.6,0.0,0.036,0.1,0.9,carbonization,RD_25_800_heated,SEM-EDS,"{'diameter': '±50 nm', 'roughness': '±10 nm', 'composition': '±2%'}"
