temperature,rubber_content,specimen_type,analysis_zone,itz_thickness_um,porosity_fraction,microhardness_gpa,crack_density_per_mm2,ca_oh2_content,csh_gel_content,imaging_magnification,accelerating_voltage_kv,analysis_date,specimen_id
100,5,control,ITZ_rubber_cement,33.63409987820703,0.1967904360981931,2.139482555298462,0.0,0.134,0.442,20000,20,2025-10-18,RC_5_100_control_ITZ
100,5,control,ITZ_aggregate_cement,27.238799479852297,0.16071771249210773,2.571323162636982,0.0,0.134,0.442,500,20,2025-10-18,RC_5_100_control_ITZ
100,5,heated,ITZ_rubber_cement,31.513018310076518,0.20148785270002467,1.949338925672182,0.0,0.134,0.442,1000,20,2025-10-18,RC_5_100_heated_ITZ
100,5,heated,ITZ_aggregate_cement,25.7610298148686,0.15737118061266284,2.2704570568850904,0.0,0.134,0.442,20000,15,2025-10-18,RC_5_100_heated_ITZ
100,10,control,ITZ_rubber_cement,33.006703638856166,0.18938149902924217,1.925996656874977,0.0,0.134,0.442,500,5,2025-10-18,RC_10_100_control_ITZ
100,10,control,ITZ_aggregate_cement,27.772906440548216,0.18759129616234724,2.5214260579241277,0.0,0.134,0.442,10000,10,2025-10-18,RC_10_100_control_ITZ
100,10,heated,ITZ_rubber_cement,33.8719707050945,0.19449816693519303,1.9450253930539956,0.0,0.134,0.442,20000,10,2025-10-18,RC_10_100_heated_ITZ
100,10,heated,ITZ_aggregate_cement,31.982383994530412,0.16375287888858875,2.197614835315858,0.0,0.134,0.442,10000,5,2025-10-18,RC_10_100_heated_ITZ
100,15,control,ITZ_rubber_cement,39.61131711147149,0.22019595025537064,1.68595636408453,0.0,0.134,0.442,20000,10,2025-10-18,RC_15_100_control_ITZ
100,15,control,ITZ_aggregate_cement,29.66522478806648,0.20151967606697468,2.1133293950062835,0.0,0.134,0.442,2000,20,2025-10-18,RC_15_100_control_ITZ
100,15,heated,ITZ_rubber_cement,37.31847886340735,0.20037439263933626,1.7877892085765064,0.0,0.134,0.442,1000,20,2025-10-18,RC_15_100_heated_ITZ
100,15,heated,ITZ_aggregate_cement,28.95255349827024,0.17901786981808998,2.2127679176393715,0.0,0.134,0.442,10000,15,2025-10-18,RC_15_100_heated_ITZ
100,20,control,ITZ_rubber_cement,41.01791703682478,0.23764946031481898,1.8534023012374727,0.0,0.134,0.442,1000,5,2025-10-18,RC_20_100_control_ITZ
100,20,control,ITZ_aggregate_cement,34.6337072229236,0.18840819089274513,2.0049863199299836,0.0,0.134,0.442,5000,5,2025-10-18,RC_20_100_control_ITZ
100,20,heated,ITZ_rubber_cement,43.331699872167626,0.2339474565124744,1.842172363949855,0.0,0.134,0.442,5000,10,2025-10-18,RC_20_100_heated_ITZ
100,20,heated,ITZ_aggregate_cement,36.63247185885654,0.18767101429961533,2.1744240458173887,0.0,0.134,0.442,10000,20,2025-10-18,RC_20_100_heated_ITZ
100,25,control,ITZ_rubber_cement,43.87122159704546,0.2442770304333276,1.6677653813606343,0.0,0.134,0.442,5000,15,2025-10-18,RC_25_100_control_ITZ
100,25,control,ITZ_aggregate_cement,37.15240906775581,0.20837855930408536,1.9372028467983742,0.0,0.134,0.442,500,10,2025-10-18,RC_25_100_control_ITZ
100,25,heated,ITZ_rubber_cement,46.94713529442773,0.23271210828523636,1.5617151903234427,0.0,0.134,0.442,500,5,2025-10-18,RC_25_100_heated_ITZ
100,25,heated,ITZ_aggregate_cement,41.306023062083376,0.19272276718739548,1.857252058798216,0.0,0.134,0.442,10000,15,2025-10-18,RC_25_100_heated_ITZ
200,0,control,ITZ_rubber_cement,34.144130360586374,0.18645769960749803,1.8786154210258523,0.0,0.11399999999999999,0.432,2000,5,2025-10-18,RC_0_200_control_ITZ
200,0,control,ITZ_aggregate_cement,23.828967123002837,0.16571392642690005,2.1175569833009265,0.0,0.11399999999999999,0.432,20000,5,2025-10-18,RC_0_200_control_ITZ
200,0,heated,ITZ_rubber_cement,32.51027004546349,0.17705181132050246,2.277750296609921,0.0,0.11399999999999999,0.432,20000,5,2025-10-18,RC_0_200_heated_ITZ
200,0,heated,ITZ_aggregate_cement,28.090014414953558,0.1586797650438772,2.3957133913690076,0.0,0.11399999999999999,0.432,500,5,2025-10-18,RC_0_200_heated_ITZ
200,5,control,ITZ_rubber_cement,37.512467302861644,0.21272469728834337,1.874726394066341,0.0,0.11399999999999999,0.432,10000,5,2025-10-18,RC_5_200_control_ITZ
200,5,control,ITZ_aggregate_cement,30.266818312787322,0.16041387642144295,2.4895025320959445,0.0,0.11399999999999999,0.432,50000,10,2025-10-18,RC_5_200_control_ITZ
200,5,heated,ITZ_rubber_cement,32.512543304819985,0.19022921356502623,2.0265165445694753,0.0,0.11399999999999999,0.432,1000,5,2025-10-18,RC_5_200_heated_ITZ
200,5,heated,ITZ_aggregate_cement,29.328830396976233,0.14920927632393696,2.2502786212025625,0.0,0.11399999999999999,0.432,1000,20,2025-10-18,RC_5_200_heated_ITZ
200,10,control,ITZ_rubber_cement,42.84775370259387,0.1964530462244356,2.0027888577346062,0.0,0.11399999999999999,0.432,20000,20,2025-10-18,RC_10_200_control_ITZ
200,10,control,ITZ_aggregate_cement,36.919027906868905,0.18478370243483846,2.3636874346672347,0.0,0.11399999999999999,0.432,2000,15,2025-10-18,RC_10_200_control_ITZ
200,10,heated,ITZ_rubber_cement,38.687508759914095,0.22178661215738743,1.8134339772436447,0.0,0.11399999999999999,0.432,500,5,2025-10-18,RC_10_200_heated_ITZ
200,10,heated,ITZ_aggregate_cement,32.08719746412563,0.16382511957312668,2.288056874594903,0.0,0.11399999999999999,0.432,50000,20,2025-10-18,RC_10_200_heated_ITZ
200,15,control,ITZ_rubber_cement,44.62325863545821,0.2151472594041996,1.8341495228024942,0.0,0.11399999999999999,0.432,2000,10,2025-10-18,RC_15_200_control_ITZ
200,15,control,ITZ_aggregate_cement,37.97302086174836,0.18230359286667988,2.239762269869202,0.0,0.11399999999999999,0.432,500,10,2025-10-18,RC_15_200_control_ITZ
200,15,heated,ITZ_rubber_cement,47.296908731681874,0.2051789259409789,1.7672541178159993,0.0,0.11399999999999999,0.432,10000,20,2025-10-18,RC_15_200_heated_ITZ
200,15,heated,ITZ_aggregate_cement,35.68424466021797,0.1901930552423644,2.192045598357761,0.0,0.11399999999999999,0.432,2000,20,2025-10-18,RC_15_200_heated_ITZ
200,20,control,ITZ_rubber_cement,49.20287753465955,0.22668329706677928,1.6316700413063328,0.0,0.11399999999999999,0.432,500,5,2025-10-18,RC_20_200_control_ITZ
200,20,control,ITZ_aggregate_cement,41.942239482661435,0.17791659413336458,2.000584685824905,0.0,0.11399999999999999,0.432,2000,15,2025-10-18,RC_20_200_control_ITZ
200,20,heated,ITZ_rubber_cement,49.46795545427082,0.23684208083260305,1.7473046901464762,0.0,0.11399999999999999,0.432,5000,15,2025-10-18,RC_20_200_heated_ITZ
200,20,heated,ITZ_aggregate_cement,41.026271544186926,0.19180553945545764,1.982959978318139,0.0,0.11399999999999999,0.432,5000,15,2025-10-18,RC_20_200_heated_ITZ
200,25,control,ITZ_rubber_cement,51.22868264778448,0.2485947951545607,1.682067216714879,0.0,0.11399999999999999,0.432,50000,5,2025-10-18,RC_25_200_control_ITZ
200,25,control,ITZ_aggregate_cement,45.62274353923728,0.20474978559372148,1.891733580229503,0.0,0.11399999999999999,0.432,20000,5,2025-10-18,RC_25_200_control_ITZ
200,25,heated,ITZ_rubber_cement,49.1354532460102,0.24349073642275065,1.778090975327638,0.0,0.11399999999999999,0.432,500,20,2025-10-18,RC_25_200_heated_ITZ
200,25,heated,ITZ_aggregate_cement,43.893346915262846,0.18576827149677075,2.003345381643611,0.0,0.11399999999999999,0.432,1000,10,2025-10-18,RC_25_200_heated_ITZ
300,0,control,ITZ_rubber_cement,35.53572558249721,0.24526557762371776,2.168670635928158,0.0,0.094,0.422,5000,5,2025-10-18,RC_0_300_control_ITZ
300,0,control,ITZ_aggregate_cement,30.220096424351244,0.22554464204990055,2.54317536712611,0.0,0.094,0.422,1000,15,2025-10-18,RC_0_300_control_ITZ
300,0,heated,ITZ_rubber_cement,40.33686902514101,0.25275319355359205,2.1527185454030797,0.0,0.094,0.422,1000,15,2025-10-18,RC_0_300_heated_ITZ
300,0,heated,ITZ_aggregate_cement,29.64918496460737,0.20938249431322828,2.2539364197994627,0.0,0.094,0.422,10000,15,2025-10-18,RC_0_300_heated_ITZ
300,5,control,ITZ_rubber_cement,42.359857675805216,0.257515021176911,1.9283516288659763,0.0,0.094,0.422,5000,15,2025-10-18,RC_5_300_control_ITZ
300,5,control,ITZ_aggregate_cement,35.05219123446772,0.20781493350848088,2.369643446631546,0.0,0.094,0.422,10000,5,2025-10-18,RC_5_300_control_ITZ
300,5,heated,ITZ_rubber_cement,40.54308855153788,0.25154493783585063,2.01029693674577,0.0,0.094,0.422,50000,15,2025-10-18,RC_5_300_heated_ITZ
300,5,heated,ITZ_aggregate_cement,33.89710249573902,0.2091879687721838,2.25965191864154,0.0,0.094,0.422,10000,10,2025-10-18,RC_5_300_heated_ITZ
300,10,control,ITZ_rubber_cement,47.043721770986345,0.2735992323560576,1.9835950579282722,0.0,0.094,0.422,500,20,2025-10-18,RC_10_300_control_ITZ
300,10,control,ITZ_aggregate_cement,39.68718123327255,0.23676538604464137,2.1890472668467624,0.0,0.094,0.422,10000,10,2025-10-18,RC_10_300_control_ITZ
300,10,heated,ITZ_rubber_cement,43.281003229650906,0.25932673231698206,1.9452305254885887,0.0,0.094,0.422,50000,20,2025-10-18,RC_10_300_heated_ITZ
300,10,heated,ITZ_aggregate_cement,42.5909184189134,0.2379899321105139,2.1891105900556522,0.0,0.094,0.422,500,5,2025-10-18,RC_10_300_heated_ITZ
300,15,control,ITZ_rubber_cement,51.130827999671105,0.2689703432222373,2.049449493008316,0.0,0.094,0.422,2000,10,2025-10-18,RC_15_300_control_ITZ
300,15,control,ITZ_aggregate_cement,44.26952496023609,0.2391133410288634,2.139143070961387,0.0,0.094,0.422,1000,20,2025-10-18,RC_15_300_control_ITZ
300,15,heated,ITZ_rubber_cement,53.180016907593696,0.2607605387040657,1.885149999373444,0.0,0.094,0.422,10000,10,2025-10-18,RC_15_300_heated_ITZ
300,15,heated,ITZ_aggregate_cement,43.157010041120635,0.22140745675030235,2.0958169509624014,0.0,0.094,0.422,1000,10,2025-10-18,RC_15_300_heated_ITZ
300,20,control,ITZ_rubber_cement,63.383332310774676,0.3072558100999161,1.6012196396842047,0.0,0.094,0.422,10000,5,2025-10-18,RC_20_300_control_ITZ
300,20,control,ITZ_aggregate_cement,46.88919534842788,0.24455354555293696,1.937677422412821,0.0,0.094,0.422,10000,20,2025-10-18,RC_20_300_control_ITZ
300,20,heated,ITZ_rubber_cement,56.685489486268295,0.2767521036563311,1.5459579667960932,0.0,0.094,0.422,500,15,2025-10-18,RC_20_300_heated_ITZ
300,20,heated,ITZ_aggregate_cement,46.93680459452079,0.23489084691504641,2.2033631604187347,0.0,0.094,0.422,500,20,2025-10-18,RC_20_300_heated_ITZ
300,25,control,ITZ_rubber_cement,63.385973330747724,0.2974973760083322,1.7391216581556121,0.0,0.094,0.422,50000,15,2025-10-18,RC_25_300_control_ITZ
300,25,control,ITZ_aggregate_cement,51.584694439661966,0.26905423108731463,2.016615448618271,0.0,0.094,0.422,2000,5,2025-10-18,RC_25_300_control_ITZ
300,25,heated,ITZ_rubber_cement,62.273330224426914,0.2922530421817216,1.7691602324180347,0.0,0.094,0.422,1000,15,2025-10-18,RC_25_300_heated_ITZ
300,25,heated,ITZ_aggregate_cement,51.69672579637094,0.265632443489565,2.0906711676854055,0.0,0.094,0.422,10000,20,2025-10-18,RC_25_300_heated_ITZ
400,0,control,ITZ_rubber_cement,44.976134431026686,0.32686794753171444,2.0591361642721577,1.2675481218394893,0.074,0.41200000000000003,50000,20,2025-10-18,RC_0_400_control_ITZ
400,0,control,ITZ_aggregate_cement,36.78643322584124,0.26891556859429755,2.66474688639082,1.0156744361823071,0.074,0.41200000000000003,5000,15,2025-10-18,RC_0_400_control_ITZ
400,0,heated,ITZ_rubber_cement,44.90929037144124,0.31040066502010105,2.1965828539061523,1.1409799300879309,0.074,0.41200000000000003,20000,10,2025-10-18,RC_0_400_heated_ITZ
400,0,heated,ITZ_aggregate_cement,34.03119561788358,0.25334039099420624,2.3876902063342964,0.9144473608183797,0.074,0.41200000000000003,2000,10,2025-10-18,RC_0_400_heated_ITZ
400,5,control,ITZ_rubber_cement,49.091099023284904,0.32496659489817054,2.051536542941235,1.2705627921351061,0.074,0.41200000000000003,50000,20,2025-10-18,RC_5_400_control_ITZ
400,5,control,ITZ_aggregate_cement,38.58471479990854,0.28742645761947555,2.4097849674141627,0.9811626924162011,0.074,0.41200000000000003,5000,5,2025-10-18,RC_5_400_control_ITZ
400,5,heated,ITZ_rubber_cement,53.000710384006744,0.31649063563454455,1.933755624954228,1.1310225132543723,0.074,0.41200000000000003,2000,5,2025-10-18,RC_5_400_heated_ITZ
400,5,heated,ITZ_aggregate_cement,45.1401890604151,0.2567074473870754,2.436583499855021,0.9873503201191719,0.074,0.41200000000000003,20000,20,2025-10-18,RC_5_400_heated_ITZ
400,10,control,ITZ_rubber_cement,61.72009248099969,0.34486370697227786,1.8548228056150662,1.1613046924454307,0.074,0.41200000000000003,10000,10,2025-10-18,RC_10_400_control_ITZ
400,10,control,ITZ_aggregate_cement,51.634887093840405,0.25649725031764903,2.253046054163308,1.0472046363482472,0.074,0.41200000000000003,1000,15,2025-10-18,RC_10_400_control_ITZ
400,10,heated,ITZ_rubber_cement,52.155180578661046,0.32419619337120514,2.113735164068031,1.1749723515511044,0.074,0.41200000000000003,10000,20,2025-10-18,RC_10_400_heated_ITZ
400,10,heated,ITZ_aggregate_cement,45.18188453595671,0.26813905873033095,2.3933193754183466,1.0223738883907456,0.074,0.41200000000000003,2000,10,2025-10-18,RC_10_400_heated_ITZ
400,15,control,ITZ_rubber_cement,63.6374287137954,0.3306273032600205,1.6935574960169517,1.1462915651237762,0.074,0.41200000000000003,20000,10,2025-10-18,RC_15_400_control_ITZ
400,15,control,ITZ_aggregate_cement,51.71810503008558,0.3135878506002892,2.289469213907281,0.9970562308917381,0.074,0.41200000000000003,2000,20,2025-10-18,RC_15_400_control_ITZ
400,15,heated,ITZ_rubber_cement,61.89641398367094,0.3515453199336023,1.9355390590562165,1.229644177759925,0.074,0.41200000000000003,1000,20,2025-10-18,RC_15_400_heated_ITZ
400,15,heated,ITZ_aggregate_cement,52.697783246587285,0.2857535833629296,2.114358503113049,0.9718855790959017,0.074,0.41200000000000003,10000,15,2025-10-18,RC_15_400_heated_ITZ
400,20,control,ITZ_rubber_cement,67.96945427733576,0.34853974599634135,1.629488351101288,1.1910871299091317,0.074,0.41200000000000003,500,20,2025-10-18,RC_20_400_control_ITZ
400,20,control,ITZ_aggregate_cement,58.95979312615727,0.3251164464941124,2.0543553435107484,1.0756508231367048,0.074,0.41200000000000003,2000,20,2025-10-18,RC_20_400_control_ITZ
400,20,heated,ITZ_rubber_cement,71.98195306583008,0.3451007129006682,1.7651124750760248,1.1593843065518101,0.074,0.41200000000000003,1000,10,2025-10-18,RC_20_400_heated_ITZ
400,20,heated,ITZ_aggregate_cement,58.17156133473152,0.29470241018219,2.1111379706285476,1.0212701630716678,0.074,0.41200000000000003,10000,15,2025-10-18,RC_20_400_heated_ITZ
400,25,control,ITZ_rubber_cement,77.36138167552593,0.3939428526110205,1.7650242032011128,1.055478978252626,0.074,0.41200000000000003,2000,10,2025-10-18,RC_25_400_control_ITZ
400,25,control,ITZ_aggregate_cement,58.92463032658752,0.29157292058222156,1.8586242717845183,1.0121654087185046,0.074,0.41200000000000003,20000,15,2025-10-18,RC_25_400_control_ITZ
400,25,heated,ITZ_rubber_cement,81.59997598601814,0.37163484325714546,1.6231249176886062,1.2270152935851353,0.074,0.41200000000000003,20000,10,2025-10-18,RC_25_400_heated_ITZ
400,25,heated,ITZ_aggregate_cement,63.626717815773816,0.30164584063744077,1.959836840786664,1.012119051594022,0.074,0.41200000000000003,50000,15,2025-10-18,RC_25_400_heated_ITZ
500,0,control,ITZ_rubber_cement,57.21732220523393,0.3409639116364346,2.0150093667428077,3.2930033010640427,0.05399999999999999,0.354,500,10,2025-10-18,RC_0_500_control_ITZ
500,0,control,ITZ_aggregate_cement,49.42976973293131,0.30694103662848354,2.2532406290370353,2.8488501083734006,0.05399999999999999,0.354,500,15,2025-10-18,RC_0_500_control_ITZ
500,0,heated,ITZ_rubber_cement,57.14702231173389,0.33906821473683707,1.8978554709722026,3.4885833523446323,0.05399999999999999,0.354,50000,5,2025-10-18,RC_0_500_heated_ITZ
500,0,heated,ITZ_aggregate_cement,43.254217804503384,0.30423802812953016,2.2700498324787928,2.923988812699678,0.05399999999999999,0.354,50000,15,2025-10-18,RC_0_500_heated_ITZ
500,5,control,ITZ_rubber_cement,60.77246752943677,0.3732070276951096,1.7710996164041775,3.8948274999700083,0.05399999999999999,0.354,50000,5,2025-10-18,RC_5_500_control_ITZ
500,5,control,ITZ_aggregate_cement,52.335578921465874,0.30309198163093776,2.0659891715219554,3.081305639944748,0.05399999999999999,0.354,5000,20,2025-10-18,RC_5_500_control_ITZ
500,5,heated,ITZ_rubber_cement,69.59067042062526,0.37103671817629674,1.9088814328981525,3.8218554014459745,0.05399999999999999,0.354,50000,10,2025-10-18,RC_5_500_heated_ITZ
500,5,heated,ITZ_aggregate_cement,52.915372565841466,0.30314312572251567,2.144440610174685,3.7116975822473752,0.05399999999999999,0.354,1000,15,2025-10-18,RC_5_500_heated_ITZ
500,10,control,ITZ_rubber_cement,72.80439588391103,0.42719122506851515,1.7307668893753239,4.48830979803279,0.05399999999999999,0.354,50000,10,2025-10-18,RC_10_500_control_ITZ
500,10,control,ITZ_aggregate_cement,59.84623017741826,0.3664769739664927,2.0506586666637596,4.11218648138043,0.05399999999999999,0.354,2000,10,2025-10-18,RC_10_500_control_ITZ
500,10,heated,ITZ_rubber_cement,72.8614490362981,0.38488113719562805,1.7905786804130448,4.4193439176585665,0.05399999999999999,0.354,2000,5,2025-10-18,RC_10_500_heated_ITZ
500,10,heated,ITZ_aggregate_cement,54.49032191225163,0.3129809055343268,2.103550977825938,3.9238532047146872,0.05399999999999999,0.354,20000,15,2025-10-18,RC_10_500_heated_ITZ
500,15,control,ITZ_rubber_cement,79.55973002712904,0.4146563211910627,1.6167540633100368,4.986513628738502,0.05399999999999999,0.354,500,15,2025-10-18,RC_15_500_control_ITZ
500,15,control,ITZ_aggregate_cement,61.741456287702924,0.3565130276113914,1.773805182874499,4.623849852322758,0.05399999999999999,0.354,1000,20,2025-10-18,RC_15_500_control_ITZ
500,15,heated,ITZ_rubber_cement,78.99998944818188,0.42678057207881254,1.6764560141294051,5.347585733832875,0.05399999999999999,0.354,20000,20,2025-10-18,RC_15_500_heated_ITZ
500,15,heated,ITZ_aggregate_cement,62.15846105430808,0.3599022399106529,1.89656105474514,4.226183538842035,0.05399999999999999,0.354,20000,5,2025-10-18,RC_15_500_heated_ITZ
500,20,control,ITZ_rubber_cement,80.40909990524925,0.46007126764932893,1.682351865226439,5.713939710638039,0.05399999999999999,0.354,20000,5,2025-10-18,RC_20_500_control_ITZ
500,20,control,ITZ_aggregate_cement,76.82805125863442,0.3586459154770983,1.9800759926808598,4.731830424689361,0.05399999999999999,0.354,20000,20,2025-10-18,RC_20_500_control_ITZ
500,20,heated,ITZ_rubber_cement,84.56979790988404,0.4557144738857398,1.5588564599935486,5.874296420075296,0.05399999999999999,0.354,1000,15,2025-10-18,RC_20_500_heated_ITZ
500,20,heated,ITZ_aggregate_cement,68.69067514721453,0.3553405754197457,2.0217283704430407,4.876473191855228,0.05399999999999999,0.354,50000,5,2025-10-18,RC_20_500_heated_ITZ
500,25,control,ITZ_rubber_cement,91.16656244760068,0.46300127283558934,1.5446880898519133,6.409950064696512,0.05399999999999999,0.354,20000,15,2025-10-18,RC_25_500_control_ITZ
500,25,control,ITZ_aggregate_cement,71.16486792553195,0.39946863293224644,1.7233424939957018,5.0205622644690315,0.05399999999999999,0.354,50000,20,2025-10-18,RC_25_500_control_ITZ
500,25,heated,ITZ_rubber_cement,98.46314524804045,0.47935055210458616,1.4995506658460334,6.693594319883877,0.05399999999999999,0.354,2000,20,2025-10-18,RC_25_500_heated_ITZ
500,25,heated,ITZ_aggregate_cement,80.79319516805336,0.39252473921742975,1.7799466332891094,5.504318791371145,0.05399999999999999,0.354,1000,20,2025-10-18,RC_25_500_heated_ITZ
600,0,control,ITZ_rubber_cement,72.55654043170179,0.45503362874501896,1.7747448723155836,5.587986069811857,0.03399999999999999,0.354,20000,5,2025-10-18,RC_0_600_control_ITZ
600,0,control,ITZ_aggregate_cement,55.90870552455186,0.32928839613740024,1.9710001530721932,4.886316318472359,0.03399999999999999,0.354,50000,20,2025-10-18,RC_0_600_control_ITZ
600,0,heated,ITZ_rubber_cement,67.12104977733199,0.4095843254222913,1.5498168549089923,6.472756834887445,0.03399999999999999,0.354,50000,10,2025-10-18,RC_0_600_heated_ITZ
600,0,heated,ITZ_aggregate_cement,56.30491897775378,0.35892482997308073,1.994609350694371,5.522811963650686,0.03399999999999999,0.354,20000,15,2025-10-18,RC_0_600_heated_ITZ
600,5,control,ITZ_rubber_cement,67.29644357828465,0.44640767463589903,1.6111162819204519,7.098912330629714,0.03399999999999999,0.354,1000,15,2025-10-18,RC_5_600_control_ITZ
600,5,control,ITZ_aggregate_cement,62.553297899376595,0.41225436242359675,1.680719765384738,5.729730561787022,0.03399999999999999,0.354,1000,15,2025-10-18,RC_5_600_control_ITZ
600,5,heated,ITZ_rubber_cement,71.97284685556367,0.44561024996116766,1.5240973716216182,6.940969198979319,0.03399999999999999,0.354,10000,15,2025-10-18,RC_5_600_heated_ITZ
600,5,heated,ITZ_aggregate_cement,62.1812046669843,0.3433656076334483,1.8437850048259936,5.565869667452556,0.03399999999999999,0.354,500,10,2025-10-18,RC_5_600_heated_ITZ
600,10,control,ITZ_rubber_cement,86.96521947617,0.4861329720457098,1.4471008337635525,7.814715509283101,0.03399999999999999,0.354,50000,15,2025-10-18,RC_10_600_control_ITZ
600,10,control,ITZ_aggregate_cement,68.0486119610179,0.416841640286087,1.8552479955027374,6.192524071855995,0.03399999999999999,0.354,5000,15,2025-10-18,RC_10_600_control_ITZ
600,10,heated,ITZ_rubber_cement,86.15288373566725,0.46242221524094473,1.4639180565720475,7.501771087699299,0.03399999999999999,0.354,500,10,2025-10-18,RC_10_600_heated_ITZ
600,10,heated,ITZ_aggregate_cement,62.943003121889426,0.3857366017579771,1.8848797921475116,6.48309349362598,0.03399999999999999,0.354,1000,15,2025-10-18,RC_10_600_heated_ITZ
600,15,control,ITZ_rubber_cement,88.13716285999072,0.47638116000738423,1.3785037600980794,7.916692789009034,0.03399999999999999,0.354,1000,20,2025-10-18,RC_15_600_control_ITZ
600,15,control,ITZ_aggregate_cement,70.88170729790798,0.4318272880546026,1.8016280046435207,6.270568019303478,0.03399999999999999,0.354,20000,15,2025-10-18,RC_15_600_control_ITZ
600,15,heated,ITZ_rubber_cement,87.01500763287163,0.49910321874761704,1.4430913522391002,8.196760394605239,0.03399999999999999,0.354,20000,15,2025-10-18,RC_15_600_heated_ITZ
600,15,heated,ITZ_aggregate_cement,80.15143159034957,0.41086176150998643,1.7826381765210046,6.896421883800196,0.03399999999999999,0.354,1000,5,2025-10-18,RC_15_600_heated_ITZ
600,20,control,ITZ_rubber_cement,94.49375609062925,0.44536985166599985,1.426262611412525,8.608022144470906,0.03399999999999999,0.354,1000,5,2025-10-18,RC_20_600_control_ITZ
600,20,control,ITZ_aggregate_cement,90.17904633979732,0.43566049730912204,1.6054874659036977,6.659418819393554,0.03399999999999999,0.354,1000,5,2025-10-18,RC_20_600_control_ITZ
600,20,heated,ITZ_rubber_cement,100.59026186696956,0.5573300958455687,1.4633524961177289,8.663107044850545,0.03399999999999999,0.354,1000,15,2025-10-18,RC_20_600_heated_ITZ
600,20,heated,ITZ_aggregate_cement,82.93515957093884,0.46800179426060046,1.7940407708100758,7.457772560691569,0.03399999999999999,0.354,50000,10,2025-10-18,RC_20_600_heated_ITZ
600,25,control,ITZ_rubber_cement,107.53543271681062,0.566275419728876,1.2172412584232657,9.235998517669094,0.03399999999999999,0.354,2000,5,2025-10-18,RC_25_600_control_ITZ
600,25,control,ITZ_aggregate_cement,88.82295223388876,0.44113628932941185,1.6785133814291922,8.260582176311058,0.03399999999999999,0.354,20000,10,2025-10-18,RC_25_600_control_ITZ
600,25,heated,ITZ_rubber_cement,117.71534439155202,0.5520599759510099,1.4221138989906938,8.609883828949222,0.03399999999999999,0.354,20000,5,2025-10-18,RC_25_600_heated_ITZ
600,25,heated,ITZ_aggregate_cement,87.63678335607332,0.522347782177504,1.622821799389427,7.2103269319554295,0.03399999999999999,0.354,10000,15,2025-10-18,RC_25_600_heated_ITZ
