material,gb_type,misorientation_deg,gb_energy_J_m2,gb_width_nm,grain_size_um,segregation_energy_eV,diffusivity_enhancement
Inconel-718,mixed,42.52,0.424,1.788,53.66,0.0316,41.42
Cr,asymmetric_tilt,31.16,0.3706,0.514,18.51,-0.3572,5251.17
Ti,asymmetric_tilt,54.1,0.7524,1.823,48.06,0.3285,2069.56
Al,tilt,48.95,0.5676,0.771,47.3,0.1289,11.21
Ni,mixed,20.34,0.5506,1.666,37.29,0.1315,338.42
Cr,tilt,42.1,0.3449,0.972,7.35,-0.3819,412.21
Al,asymmetric_tilt,34.79,0.2727,1.418,75.88,0.3434,912.29
Al,asymmetric_tilt,39.22,0.36,1.797,13.3,-0.2765,8282.47
Inconel-718,twist,58.88,0.9303,0.651,69.07,0.2917,695.62
Ni,asymmetric_tilt,50.69,0.8211,1.79,57.79,0.2622,8149.56
Ni,tilt,15.76,0.7944,0.599,98.06,-0.4965,28.98
Inconel-718,symmetric_tilt,14.68,0.8829,1.001,19.06,-0.0531,13.65
Steel-316,mixed,13.89,0.8315,1.475,49.68,-0.439,4291.51
Fe,twist,22.55,0.7553,1.016,62.69,0.1394,6184.67
