material,surface_orientation,surface_energy_J_m2,temperature_K,work_of_adhesion_J_m2,surface_stress_N_m,atomic_density_per_A2,surface_relaxation_percent
Steel-316,(210),2.1716,650.83,5.1362,2.0429,0.1031,-1.44
Fe,(112),2.0364,1063.52,4.705,1.9142,0.1976,-3.85
Fe,(111),1.2945,442.35,3.2348,1.3444,0.1934,-3.37
Cu,(111),1.7028,870.02,3.1707,1.6376,0.1137,-2.13
Cr,(111),1.4722,1226.37,2.5128,1.3978,0.1933,1.51
Al,(211),2.0035,204.01,3.2162,1.7641,0.1832,-3.39
Steel-316,(111),0.8896,627.83,1.5096,0.6901,0.1375,-3.48
Fe,(112),1.7975,88.89,3.5944,2.0863,0.1194,0.05
Cr,(110),1.9799,189.39,4.7433,2.2659,0.1402,-0.96
Al,(112),2.2223,508.99,4.0825,2.2431,0.1011,-0.42
Al,(110),2.6831,120.53,5.449,2.816,0.1958,-3.42
Cr,(211),1.7926,1475.44,4.1333,1.8563,0.1226,1.1
Al,(211),1.4298,1332.61,3.2004,1.6919,0.1367,-0.57
Ni,(111),0.7605,1307.19,1.3867,0.4859,0.1666,-3.99
Steel-316,(211),2.2194,1439.22,4.2147,2.3283,0.1016,1.71
Fe,(112),2.2907,1254.9,3.9069,2.0337,0.1909,1.42
Cu,(211),1.4853,846.38,2.8545,1.3828,0.1567,1.43
Ti,(100),2.0167,52.9,3.9881,1.9111,0.1075,-2.04
Fe,(110),2.309,910.57,5.2718,2.3637,0.1462,-4.94
Al,(111),1.4664,818.27,3.4568,1.3735,0.1428,1.79
Cu,(211),1.8691,931.43,3.1862,2.0031,0.1903,-0.61
Al,(210),2.1978,1349.85,5.3444,2.258,0.163,1.19
Ni,(211),1.8765,750.34,3.6088,1.7083,0.1779,-3.41
Steel-316,(112),1.6537,44.0,4.1102,1.9526,0.151,-3.9
Ni,(110),2.7755,28.34,4.6162,2.9916,0.142,1.19
Ti,(100),1.661,1371.92,3.634,1.8733,0.1617,-2.38
Cu,(111),1.7207,912.22,4.0258,1.6349,0.1673,-0.9
Steel-316,(211),2.2445,786.56,3.9601,2.3319,0.1127,-4.15
Ni,(110),1.992,1327.38,4.3891,1.7265,0.1302,-4.62
Cr,(110),1.6119,1188.44,3.6384,1.8405,0.1552,-3.24
Cu,(111),1.6024,725.6,3.3799,1.7147,0.1012,1.43
Inconel-718,(211),1.4726,889.99,2.5655,1.4526,0.1907,-3.06
Ni,(100),1.3974,778.65,2.7788,1.5248,0.1035,-3.58
Fe,(211),1.9889,1072.27,4.2087,1.7009,0.1129,-4.09
Steel-316,(110),1.944,442.12,3.1587,1.9791,0.1975,-2.67
Fe,(210),2.6156,303.89,5.1467,2.462,0.1048,-3.35
Cu,(210),1.8588,8.19,2.9384,2.0437,0.1292,-3.66
Al,(211),1.7184,327.53,2.6985,1.4957,0.1567,-2.93
Cu,(210),2.0467,459.83,3.0919,1.7815,0.1955,-4.48
Cr,(211),2.1438,1179.48,4.0128,1.9007,0.1497,-3.04
Al,(110),1.9073,860.76,3.0605,1.8767,0.1407,-3.46
Al,(110),1.8636,298.59,4.5388,1.6525,0.1566,-1.64
Al,(210),1.8129,287.56,4.015,1.7312,0.1626,-1.41
Fe,(100),1.6256,331.07,3.2973,1.7456,0.1549,-3.89
Inconel-718,(210),2.0556,555.13,4.1853,1.8465,0.1103,0.47
Fe,(112),2.3874,294.51,3.9538,2.4254,0.1244,-3.67
Inconel-718,(100),1.6249,514.22,3.7542,1.8407,0.1618,0.37
Inconel-718,(211),1.8377,1046.67,3.2406,1.7978,0.1818,-1.85
Inconel-718,(111),1.7807,448.71,3.1655,1.8665,0.1542,-1.06
Ni,(110),1.753,1333.79,3.1431,1.8135,0.1285,-1.15
Al,(112),2.0057,923.6,3.3436,1.9877,0.1785,-0.71
Fe,(210),1.7212,15.74,3.7972,1.7144,0.1482,0.19
Ni,(111),1.0342,761.37,1.6705,0.8003,0.1658,-0.84
Inconel-718,(112),2.3696,763.08,4.6355,2.6252,0.1356,-4.92
Al,(211),2.1669,217.36,4.4728,2.1449,0.1331,0.01
Ni,(110),1.9325,1264.23,3.5036,2.0667,0.1506,-2.92
Inconel-718,(100),2.3152,605.16,5.3426,2.2175,0.13,-1.89
Steel-316,(211),1.9893,750.06,4.3796,2.1098,0.1232,0.87
Steel-316,(112),2.2459,473.78,4.085,2.4515,0.1742,-3.33
Steel-316,(110),2.2118,951.9,3.9051,1.9867,0.1144,-2.13
Al,(111),1.0627,972.97,1.7239,1.0575,0.1678,1.57
Inconel-718,(211),2.217,58.9,3.9252,2.164,0.1871,-4.1
Al,(111),1.8099,872.66,4.3693,1.605,0.1815,-1.63
Al,(112),2.3075,728.57,5.0785,2.2791,0.1351,-0.22
Ni,(211),2.3072,796.95,4.8123,2.3028,0.1808,1.58
Ti,(100),1.769,1017.17,4.111,2.0313,0.109,-0.82
Fe,(111),1.2808,542.37,2.9133,1.3727,0.1298,-4.77
Cu,(210),1.6181,867.91,3.9453,1.335,0.1633,-1.6
Steel-316,(111),1.7342,815.57,3.8554,1.4716,0.111,-3.85
Cr,(110),2.435,746.7,4.7338,2.2542,0.1753,-1.57
Cu,(100),1.391,1019.25,3.1175,1.4495,0.1854,1.76
Ti,(100),1.6275,259.07,2.4828,1.6857,0.1933,-1.6
Fe,(112),2.4235,861.8,3.6391,2.2941,0.1908,0.28
Ti,(110),2.317,1414.46,4.0313,2.1085,0.1555,-0.6
Inconel-718,(100),1.8967,742.35,4.4626,1.9188,0.1123,1.24
Inconel-718,(210),2.4767,657.64,4.4315,2.7526,0.1561,-2.14
Fe,(112),2.0746,1213.68,5.1403,2.0219,0.1065,-0.96
Cu,(211),2.0555,996.12,4.4556,1.9643,0.1654,-1.78
Inconel-718,(110),2.1196,1409.66,3.5609,2.2634,0.1033,-2.02
Inconel-718,(110),2.365,1119.34,5.6064,2.1479,0.1478,-2.14
Steel-316,(111),1.8771,38.76,4.2701,1.9459,0.1152,-0.25
Al,(100),1.4546,1496.36,2.9084,1.6486,0.1833,-1.41
Steel-316,(100),2.0881,1312.78,4.0318,2.1011,0.1478,-2.93
Steel-316,(210),2.4691,979.88,5.0856,2.5243,0.1478,-3.16
Cu,(111),1.5208,173.31,2.5597,1.7817,0.1235,-3.17
Fe,(111),1.5805,1050.19,2.7961,1.3919,0.1497,-1.89
Inconel-718,(110),2.1946,1121.7,5.3734,2.493,0.1693,-0.1
Inconel-718,(210),2.4776,1105.09,5.2571,2.3159,0.1314,0.74
Ni,(100),1.9522,265.87,3.0359,1.6733,0.1909,-2.6
Ni,(112),1.6605,915.07,2.9593,1.9473,0.1918,-3.35
Cu,(110),2.5252,291.77,5.004,2.7473,0.1074,-1.1
Fe,(100),1.4243,1451.94,2.6493,1.4065,0.1945,-2.1
Cr,(210),1.6933,492.64,3.072,1.9315,0.1296,-1.37
Ni,(100),1.9932,1476.94,4.4524,1.9816,0.1953,0.67
Inconel-718,(111),1.484,1067.07,2.4004,1.3625,0.1076,-0.13
Cr,(112),1.871,935.18,3.745,1.7897,0.1895,0.93
Cr,(110),1.5543,1453.39,3.1455,1.5841,0.1937,-0.59
Ni,(111),0.7152,1481.55,1.5314,0.6823,0.1361,1.95
Ni,(210),1.4817,1473.67,2.5737,1.6708,0.1862,0.46
Fe,(100),1.3906,1028.16,2.5088,1.5541,0.1782,-4.18
Cu,(100),1.7332,304.88,4.1911,1.7879,0.1403,1.1
Cr,(112),1.6457,1433.76,3.7568,1.5344,0.1965,-4.67
Steel-316,(100),1.6557,1291.69,3.2724,1.9462,0.1282,-0.88
Al,(111),1.7959,293.94,3.7043,1.8308,0.1113,-2.04
Cr,(211),1.8865,1007.68,3.2038,1.69,0.1841,-3.96
Al,(211),1.5065,1172.82,2.2854,1.3793,0.155,-1.13
Al,(112),2.4414,743.11,4.8785,2.3231,0.1134,-2.88
Inconel-718,(100),1.8244,199.06,3.0582,2.0609,0.1855,-4.12
Cu,(111),1.0064,982.96,2.0107,0.7068,0.1622,-2.74
Ni,(211),2.1676,295.18,5.2126,2.3591,0.1808,-1.18
Cr,(100),2.1507,335.14,4.5347,2.2572,0.1272,0.36
Cr,(111),0.9969,824.6,2.2642,0.7825,0.119,1.15
Cr,(100),1.7663,1373.29,4.3583,1.6659,0.115,0.35
Fe,(100),2.0771,1251.43,3.333,1.8905,0.1044,-2.47
Al,(112),1.5607,712.54,3.2973,1.4131,0.1035,-2.65
Steel-316,(112),1.5357,1265.61,2.6747,1.654,0.1992,-3.08
Inconel-718,(110),2.1385,1179.83,4.0885,2.2844,0.161,1.35
Fe,(112),1.5431,439.64,2.8559,1.7401,0.1448,-1.11
Fe,(100),2.0067,1130.86,4.5688,1.9421,0.1157,1.63
Al,(112),2.0975,1338.53,4.951,1.8011,0.155,-2.95
Cu,(111),1.1987,641.49,2.0019,1.298,0.1318,-3.64
Cu,(112),2.3098,434.23,4.1652,2.1765,0.1436,-4.53
Fe,(111),1.6723,830.3,2.892,1.7273,0.1892,0.64
Inconel-718,(112),2.0009,1307.74,4.8941,2.2171,0.1278,-1.63
Cr,(111),1.0324,578.71,2.3196,1.1871,0.1661,-1.48
Al,(210),1.6849,119.58,3.668,1.4307,0.1858,-2.44
Inconel-718,(211),2.4529,554.85,4.5864,2.6728,0.1015,-1.12
Cr,(111),1.2643,363.21,2.1599,1.0078,0.1924,-0.12
Al,(100),1.4184,1431.66,2.8524,1.675,0.1702,-2.77
Cr,(110),2.2246,432.01,3.8292,1.9784,0.1926,-0.49
Cu,(100),1.6462,939.43,4.0031,1.5745,0.1642,1.45
Ti,(111),1.4221,356.24,2.7246,1.5639,0.1323,-0.46
Steel-316,(111),1.695,603.63,3.9493,1.7544,0.1861,0.21
Steel-316,(110),2.2651,956.28,3.7961,2.1539,0.1123,1.97
Cu,(112),2.1096,93.18,4.659,1.8982,0.1298,-2.47
Cu,(112),2.2135,354.71,4.679,2.3179,0.1714,0.28
Cu,(111),1.4805,493.54,3.1216,1.7692,0.1233,-2.58
Cr,(110),2.2668,741.49,4.2239,2.0179,0.1472,0.89
Steel-316,(112),1.6969,523.18,3.7425,1.584,0.1806,1.61
Al,(100),1.9254,807.61,3.8332,1.9806,0.1455,-1.76
Cu,(112),2.2283,396.62,4.0644,1.9954,0.1738,-3.11
Steel-316,(211),2.1668,1337.43,3.8273,1.9245,0.1995,0.02
Fe,(100),1.4152,1261.7,3.4617,1.3948,0.183,-2.95
Cu,(112),1.4514,888.05,2.6613,1.4052,0.1062,-3.22
Al,(112),1.6251,607.44,3.7026,1.6761,0.1647,-4.45
Cr,(211),2.162,1274.77,3.3397,2.1192,0.1565,-2.59
Ti,(111),0.9918,75.15,2.4066,0.8426,0.1464,-2.63
Ti,(110),2.492,260.22,5.735,2.6554,0.1575,1.95
Al,(211),1.9312,1380.73,4.2204,1.9177,0.1378,0.59
Ti,(100),1.8941,1125.89,4.151,1.8149,0.1232,-1.42
Fe,(210),1.8599,1261.53,4.3611,2.1377,0.1223,-2.15
Ni,(110),1.9514,726.94,4.1414,1.9138,0.1064,0.55
Al,(112),1.8128,573.43,4.4785,2.0757,0.186,-1.48
Cr,(110),2.4341,829.23,5.0056,2.3172,0.1304,1.61
Al,(112),1.3824,1311.96,3.0046,1.184,0.1305,-1.06
Inconel-718,(211),1.8189,133.61,3.9302,1.5516,0.1039,-0.92
Al,(210),1.5882,665.03,2.8877,1.6705,0.1738,1.63
Steel-316,(111),0.9983,538.59,2.3856,0.7427,0.1987,-2.75
Al,(111),0.939,826.05,1.6717,0.7885,0.1065,-4.23
Ti,(210),2.2386,96.99,4.7038,2.2439,0.1454,-1.35
Steel-316,(210),1.7834,108.75,3.0332,1.7496,0.17,-3.88
Fe,(211),1.992,452.0,4.9433,1.7667,0.1685,-4.41
Cu,(100),1.9939,205.59,3.5068,2.0236,0.1519,-2.56
Ni,(100),1.7577,1136.52,3.1941,1.8461,0.1667,1.22
Inconel-718,(211),1.7676,1134.57,3.1892,1.9279,0.1955,-1.32
Steel-316,(110),2.0797,628.11,5.1109,2.168,0.1768,-1.25
Inconel-718,(111),0.9049,1296.13,2.1599,0.9568,0.1444,1.57
Ti,(210),1.7209,1126.98,3.2547,2.019,0.1226,-3.06
Fe,(112),2.2828,17.54,4.3258,2.5665,0.1554,-0.18
Al,(112),1.73,800.86,3.9176,1.5732,0.1113,-3.34
Inconel-718,(112),2.1302,494.19,4.6584,2.3884,0.1054,-0.79
Inconel-718,(100),1.8063,937.22,3.8953,1.7011,0.1475,-1.88
Ni,(112),2.2543,277.02,5.5764,1.9815,0.1126,-1.31
Al,(112),2.1646,78.76,3.2794,2.4198,0.1014,1.5
Inconel-718,(210),2.2856,147.46,3.4811,2.0159,0.1943,0.58
Fe,(210),1.7792,842.33,4.2865,1.8564,0.1942,-1.28
