material,dislocation_type,slip_system,temperature_K,applied_stress_MPa,peierls_stress_MPa,dislocation_velocity_m_s,mobility_coefficient,stress_exponent,burgers_vector_A,dislocation_density_m2,line_tension_eV_A,core_energy_eV_A,interaction_energy_eV,simulation_time_ps,num_atoms
Fe,prismatic,<111>{110},698.52,829.82,67.62,11.21667222,3.3016e-06,1.589,3.422,34119219033717.21,3.544,1.191,0.483,94.74,500000
Inconel-718,edge,<100>{001},570.33,553.59,115.78,0.56303233,3.5642e-05,2.276,3.488,423078879513781.94,2.529,2.552,0.1456,234.67,50000
Fe,prismatic,<111>{110},1108.59,416.79,15.53,0.08637945,4.41715e-05,1.667,2.726,11397951812821.68,3.572,1.72,0.4049,256.78,1000000
Al,prismatic,<110>{111},847.67,163.56,44.21,6.11518982,8.522e-06,2.255,3.104,12034636641562.79,3.122,0.76,0.1401,267.29,1000000
Al,edge,<110>{001},787.67,883.31,45.14,12.32160119,9.8949e-06,2.824,3.263,1291951972729.35,1.544,1.574,-0.4512,176.54,100000
Al,edge,<110>{111},847.28,979.58,76.71,81.43886222,1.2122e-06,1.574,2.861,352257361710758.4,1.703,0.541,-0.2863,80.81,500000
Al,prismatic,<110>{001},878.79,925.75,42.97,0.1184409,0.0001127669,2.622,3.06,488555881593161.4,1.497,1.951,0.3239,306.62,50000
Cr,prismatic,<110>{001},1083.05,390.33,9.78,131.08721508,2.86e-06,1.165,3.291,199934701314298.7,1.195,2.772,-0.4185,308.97,100000
Al,prismatic,<110>{001},1068.3,385.86,45.32,11.71722679,3.23544e-05,1.729,2.671,1346480715050.34,3.704,0.612,-0.1514,309.72,1000000
Inconel-718,screw,<111>{110},928.25,822.85,8.59,4.60825347,8.39577e-05,2.333,2.681,25260119134081.4,3.877,1.589,0.27,238.77,100000
Cu,prismatic,<110>{001},844.98,196.93,15.64,0.16512912,0.0001104958,1.594,2.639,90318814173710.19,2.941,3.0,0.1566,130.29,100000
Steel-316,edge,<110>{111},726.28,775.94,116.74,1.27851039,5.45724e-05,2.375,2.859,232608031099481.3,1.278,2.596,-0.3376,209.91,50000
Cr,screw,<110>{001},852.86,972.23,52.89,22383.46667303,0.0004092978,2.543,2.841,467463884641575.6,3.794,0.907,0.3005,447.07,50000
Inconel-718,basal,<110>{111},1177.87,592.68,27.43,452.70198849,0.0003273889,2.391,3.399,848233092395457.4,1.012,1.102,0.0305,104.76,100000
Inconel-718,basal,<111>{110},496.39,651.98,73.34,2.08917253,4.9419e-06,2.088,3.479,1205401967306.94,4.735,0.774,-0.4882,390.85,100000
Cu,mixed,<111>{110},1168.16,68.93,26.36,0.03429119,6.54325e-05,1.514,2.638,4159568590523.48,2.585,1.728,-0.423,75.47,100000
Al,prismatic,<100>{001},594.94,211.25,98.59,0.05302615,1.7691e-05,2.69,3.409,27426957797944.38,4.135,2.705,0.0877,461.99,100000
Inconel-718,basal,<110>{001},1134.02,294.73,40.01,1.15133759,3.16322e-05,2.393,2.859,377811791409741.3,3.399,1.465,-0.2328,300.6,50000
Steel-316,prismatic,<110>{111},323.18,815.03,143.13,9.22875498,1.2541e-06,1.783,2.657,55501419402538.0,1.496,2.156,0.0414,255.46,100000
Ni,basal,<110>{001},780.53,142.76,52.43,0.00080108,2.07967e-05,2.257,2.653,2067583142487.45,1.118,0.974,-0.1793,166.96,1000000
Inconel-718,edge,<110>{111},1176.66,89.0,37.91,0.00123149,0.0001020578,1.148,3.227,2546184122761.77,1.58,1.404,0.4666,52.47,50000
Inconel-718,screw,<110>{111},756.44,685.0,86.49,894.50991352,2.72534e-05,2.347,2.529,354449733126915.1,3.11,1.213,0.2017,246.47,1000000
Ni,mixed,<110>{001},766.62,766.08,77.25,44.65662898,7.49195e-05,2.309,2.507,40287240733806.35,1.71,1.198,-0.4928,281.17,100000
Steel-316,mixed,<110>{001},1049.62,897.11,44.45,0.25873408,0.0003145566,1.487,2.59,89007394773006.95,3.128,1.13,-0.0238,375.37,50000
Cu,edge,<110>{001},1401.16,294.48,14.82,0.00984867,4.8125e-06,2.609,3.087,271133340925534.0,4.45,2.057,0.1199,163.32,1000000
Ni,prismatic,<100>{001},656.76,373.59,119.79,0.01843949,8.93357e-05,1.993,3.444,547657245799327.8,2.985,0.702,-0.1822,406.85,100000
Al,mixed,<110>{001},573.77,729.08,145.69,15.11437215,4.2205e-06,1.52,3.041,400919175481915.4,3.268,2.328,0.1425,126.94,100000
Inconel-718,basal,<100>{001},1076.93,218.15,17.9,0.24344704,5.35534e-05,2.659,2.758,804447616012686.9,3.7,2.415,0.017,486.64,500000
Cr,mixed,<110>{001},741.45,828.15,56.73,7057.65324841,1.99608e-05,1.845,2.765,2620361014762.66,4.576,1.534,0.0302,275.03,50000
Cu,prismatic,<110>{001},911.41,437.24,7.8,1086.34507536,1.4062e-06,2.754,2.575,7949766560533.56,3.854,2.958,0.1431,170.64,1000000
Ti,edge,<111>{110},387.7,265.08,167.62,0.00053769,0.0003311549,2.74,2.603,926773418874645.4,3.201,1.295,-0.3484,435.41,1000000
Cr,edge,<100>{001},662.46,699.98,65.31,0.19877444,0.0004860564,1.038,3.421,535532829055413.9,4.197,1.217,0.43,131.74,100000
Cu,edge,<110>{001},672.4,345.39,92.48,41.38458225,0.00015686,2.106,3.032,5680394996789.92,2.214,1.529,-0.4817,400.48,500000
Al,mixed,<110>{111},411.95,145.95,145.6,7.6e-07,3.12459e-05,2.205,3.271,245096161395576.5,2.817,1.239,-0.1763,202.1,1000000
Inconel-718,edge,<111>{110},1069.39,475.25,34.05,0.04254085,7.47577e-05,2.175,2.936,1540834579001.65,2.231,1.484,0.2798,82.33,50000
Steel-316,edge,<100>{001},1420.0,541.29,8.58,18.28526929,2.69913e-05,1.994,3.301,25073385779821.27,2.4,2.953,0.3773,369.29,100000
Cu,edge,<110>{001},623.16,694.45,111.44,0.27639675,3.2721e-06,2.412,3.258,114302333965024.83,1.285,1.394,0.4589,196.08,1000000
Al,basal,<110>{001},991.74,265.39,29.55,156.64083056,2.4237e-06,1.518,3.223,26103701790563.08,1.829,1.917,-0.2349,478.21,500000
Al,screw,<100>{001},944.65,308.34,51.3,0.03438225,1.00705e-05,1.039,3.305,4844553361868.48,1.141,1.544,0.3738,326.89,100000
Cr,edge,<110>{001},1337.0,497.22,6.34,176.65709477,0.0008296051,2.578,3.351,246771741676315.16,2.06,2.722,0.3672,186.1,500000
Steel-316,mixed,<110>{111},374.74,108.88,22.0,3.5223863,1.267e-06,1.246,3.43,30988963955216.85,4.464,2.412,0.4421,227.82,50000
Cr,basal,<111>{110},393.62,796.33,91.07,18266.93559029,2.4571e-05,1.26,3.194,34011853344686.46,2.962,2.089,0.2686,168.17,1000000
Steel-316,edge,<100>{001},1192.64,460.84,40.97,0.5891763,0.0001023791,2.071,2.732,108965445258131.55,4.462,2.699,-0.0982,393.11,1000000
Inconel-718,screw,<110>{111},1251.11,641.61,14.15,28.84630534,8.83078e-05,1.991,2.684,2243268918812.71,1.164,1.669,0.231,475.71,500000
Inconel-718,basal,<111>{110},351.53,167.53,181.67,0.0,2.47345e-05,1.696,2.937,76090441818104.64,1.782,0.988,-0.0023,411.75,50000
Ni,basal,<110>{001},491.89,343.15,95.68,664.36709744,0.0005181968,2.525,2.697,66211294285602.8,4.47,1.227,0.3733,498.46,100000
Ti,mixed,<110>{111},1468.53,839.16,0.79,160.63022677,0.0006865419,1.523,3.306,29574913954145.78,1.736,2.836,-0.0218,433.43,500000
Steel-316,mixed,<110>{001},842.35,404.81,101.73,0.03013015,0.0002199906,2.587,2.789,189075358502379.34,2.676,2.633,-0.2763,198.52,500000
Al,mixed,<110>{111},674.28,387.34,48.07,0.11956995,3.5009e-06,2.639,2.514,8408326795187.99,3.667,1.365,0.1614,181.42,1000000
Fe,basal,<111>{110},986.65,10.06,79.18,0.0,2.2927e-06,1.36,3.414,1026719305934.21,3.162,2.619,-0.1449,388.52,100000
Al,prismatic,<111>{110},629.32,205.96,138.49,0.00814477,6.3277e-06,1.654,2.55,1008917093934.35,2.198,2.501,0.07,69.66,500000
Ni,screw,<110>{001},712.66,921.21,43.05,7.68533691,4.90192e-05,2.295,2.971,8772157035792.88,3.805,2.163,0.472,448.28,100000
Inconel-718,mixed,<111>{110},805.79,523.49,34.54,0.52178303,0.0005363186,2.772,2.509,206111611401524.03,4.749,1.848,0.4647,243.7,100000
Al,screw,<110>{001},1177.47,472.52,42.09,0.00525084,0.0003009007,1.062,3.044,151029067148065.3,3.879,1.105,0.1002,212.93,1000000
Ti,basal,<110>{111},1090.57,978.88,18.02,461.3273262,4.01e-06,2.459,2.892,1246969094416.64,3.439,2.108,-0.4592,353.35,1000000
Ni,screw,<110>{111},505.7,864.77,130.82,2.91036775,1.5499e-06,2.157,3.227,4519549828453.35,4.091,1.657,-0.3926,81.48,1000000
Steel-316,edge,<110>{111},1347.12,345.41,7.43,0.335246,0.0002531633,2.999,3.064,191946372881911.97,2.413,1.218,0.1378,355.03,500000
Ti,basal,<110>{111},1437.48,320.3,7.08,0.00699659,0.0007173527,1.84,2.683,19899202591062.93,1.297,1.957,-0.0928,435.23,50000
Fe,prismatic,<110>{111},979.43,482.61,8.78,4.74743611,0.0001396816,1.929,3.467,202252698594767.28,1.575,1.72,0.1121,470.36,500000
Steel-316,screw,<100>{001},587.4,72.89,112.78,0.0,6.0509e-06,2.605,3.455,621093401834999.6,4.448,1.056,-0.3714,112.03,1000000
Cu,mixed,<110>{001},1137.89,667.78,34.43,0.01587748,2.0779e-05,2.613,3.459,3327143151408.12,1.383,0.831,-0.0182,375.88,100000
Ti,prismatic,<100>{001},509.94,288.53,130.25,2.18002327,1.7566e-06,1.145,2.873,168105304472847.62,3.155,0.569,0.2143,150.47,500000
Ni,prismatic,<110>{111},1205.92,217.78,11.4,0.06197413,3.99836e-05,2.806,3.083,11472495991441.59,4.048,0.505,-0.3114,81.16,1000000
Steel-316,prismatic,<110>{001},1041.0,218.56,30.61,0.00642743,1.49068e-05,1.021,3.376,2121621106540.47,1.53,2.505,0.2403,444.49,100000
Ni,screw,<110>{111},1436.73,341.65,10.02,0.23789,3.75376e-05,1.15,2.778,34274674753436.67,2.804,2.452,0.3308,281.47,1000000
Inconel-718,basal,<100>{001},507.11,110.53,125.75,0.0,0.0001414566,2.687,3.28,1349914300087.96,3.632,2.912,0.2267,353.38,100000
Inconel-718,basal,<111>{110},422.89,561.34,75.95,6.4217659,3.80691e-05,1.855,3.13,66775600497039.8,3.647,2.362,-0.2657,190.65,1000000
Ti,mixed,<111>{110},1129.73,449.94,28.12,0.63305324,0.0008800529,2.108,2.926,388411167816309.1,4.323,2.776,-0.4737,474.9,1000000
Ni,basal,<100>{001},639.97,952.11,139.2,0.5200691,2.4428e-06,1.981,3.114,37345409043024.74,4.549,2.788,0.4566,52.13,50000
Fe,edge,<110>{001},449.92,845.24,61.28,3.83133013,0.0003766169,2.339,2.797,197526164680217.75,4.457,1.38,0.1281,259.32,1000000
Fe,prismatic,<100>{001},655.16,899.36,85.79,0.97475463,2.0739e-06,2.052,2.708,36235744659084.92,3.29,1.644,-0.3494,128.44,50000
Cu,edge,<111>{110},348.16,298.93,94.11,0.02656556,0.0006999998,2.087,3.107,40961466463205.23,2.404,1.614,-0.1609,114.6,500000
Al,screw,<110>{001},1460.27,382.88,2.93,63.31753633,0.0001037889,2.794,2.934,74830888002965.7,1.558,1.034,-0.3258,213.21,500000
Fe,screw,<100>{001},1417.43,105.37,6.4,2.52484087,0.0003768073,1.766,2.96,1829074083364.02,2.195,2.958,0.1596,240.44,1000000
Steel-316,mixed,<100>{001},513.02,902.16,86.33,2.61550318,3.93257e-05,2.982,2.912,4075938981102.24,2.173,1.638,-0.38,461.01,1000000
Ni,prismatic,<110>{001},1257.5,317.53,20.58,0.00887534,0.0004960525,1.246,3.144,551330425241226.75,4.299,1.409,-0.4222,409.01,1000000
Ni,mixed,<100>{001},1259.89,755.23,27.32,0.13384876,2.1468e-06,1.666,3.274,737821896025094.6,1.022,2.219,0.4511,372.95,500000
Inconel-718,screw,<110>{001},484.01,960.84,61.82,0.04722946,0.000180135,1.12,2.688,27846449451450.25,3.331,0.802,-0.15,82.92,50000
Steel-316,edge,<110>{111},704.77,531.5,14.15,96.4301475,0.0002461396,1.515,3.286,495593028663191.9,3.45,2.477,-0.1849,404.85,50000
Fe,screw,<100>{001},1485.52,752.99,0.33,1.9086812,0.0002978183,2.652,3.409,421303451559934.06,1.65,2.346,-0.1992,486.91,1000000
Inconel-718,prismatic,<100>{001},1237.07,584.81,36.14,1.28562954,8.4586e-06,1.563,3.29,228336390337073.28,3.059,1.535,-0.0852,162.6,100000
Al,mixed,<111>{110},354.21,354.83,96.23,0.98425967,0.0004463669,1.242,2.515,548543756592663.1,1.364,1.882,0.3829,283.72,100000
Inconel-718,basal,<110>{111},1355.43,501.82,5.18,0.7380695,2.34591e-05,1.267,2.71,725593868220366.2,1.873,2.381,0.239,111.08,500000
Cr,basal,<110>{111},368.5,513.33,30.86,0.99555104,1.23651e-05,1.158,2.964,17926590213571.41,1.888,0.965,0.0563,249.98,500000
Cr,screw,<100>{001},1073.71,941.09,66.21,4147.43953421,0.0008069111,2.604,3.393,3477428169846.51,1.694,1.737,-0.3917,61.78,500000
Cr,edge,<110>{111},861.58,832.68,38.11,23738.85019901,2.6419e-05,2.537,3.378,962645141071695.4,1.519,2.399,-0.1664,398.92,1000000
Ti,prismatic,<110>{001},729.94,731.77,20.08,0.04576783,1.54029e-05,1.545,3.258,813832042562691.5,3.9,1.615,0.146,124.19,500000
Ti,mixed,<110>{001},1044.57,401.06,16.27,167.6736901,1.6248e-06,1.763,2.819,1131614426925.44,4.948,1.247,-0.4511,213.91,1000000
Ni,screw,<111>{110},867.35,162.28,50.04,231.28099065,1.00398e-05,1.846,2.503,34741157327530.52,2.194,2.899,0.4691,412.36,50000
Al,edge,<110>{111},1156.91,592.69,43.66,0.50706228,0.0005060445,1.845,3.482,334545532076602.56,1.605,1.842,-0.4905,83.53,1000000
Ni,mixed,<110>{001},509.59,388.84,58.06,0.00637224,0.0005544691,2.042,3.148,216714934707215.34,2.85,0.906,-0.1249,392.84,500000
Steel-316,basal,<110>{001},330.2,180.96,58.86,235.94333308,0.0008827288,1.089,2.538,1882423571775.02,3.491,1.901,0.1981,426.24,50000
Al,screw,<110>{001},476.3,410.16,18.22,0.77504577,1.54444e-05,1.259,3.141,2204305577658.02,4.293,0.63,-0.1897,276.47,1000000
Ti,edge,<111>{110},1106.36,391.32,25.38,0.06324158,4.52503e-05,1.158,3.312,10780841491313.41,4.47,1.899,-0.3816,104.12,100000
Fe,screw,<100>{001},628.98,940.52,24.96,351.97586612,2.0129e-05,2.563,3.359,79403643714997.05,2.175,2.969,-0.3272,108.37,500000
Al,edge,<111>{110},977.3,284.84,69.97,16.40746828,1.70152e-05,2.909,2.921,236028604679599.34,3.99,1.672,0.236,432.5,100000
Fe,basal,<110>{001},381.56,558.44,137.4,0.19006751,2.16075e-05,1.255,2.583,11421460225054.32,3.945,2.629,0.2327,111.21,500000
Steel-316,screw,<111>{110},959.95,125.51,39.56,0.40967484,0.0007182085,1.069,2.931,2609332261130.16,4.374,1.729,-0.2736,453.57,500000
Cr,edge,<111>{110},615.87,423.23,101.0,156.44185054,1.54972e-05,1.197,2.792,12018072507367.43,3.81,2.239,0.0979,321.91,50000
Ni,prismatic,<100>{001},1097.36,353.14,16.37,12.29273007,1.31615e-05,2.991,2.751,274009210571184.75,3.658,1.92,0.387,423.99,500000
Steel-316,screw,<100>{001},817.16,286.51,6.66,3.80297171,2.12594e-05,1.589,2.76,23865572559698.5,4.254,2.549,-0.1337,414.91,1000000
Cr,edge,<111>{110},881.09,788.81,44.48,75.5357626,2.2232e-06,1.349,3.191,4980796715402.74,1.16,2.458,-0.4814,340.14,100000
Ni,prismatic,<110>{001},778.51,964.93,19.79,261.68042532,7.23008e-05,2.047,3.109,3297054647092.55,4.73,0.628,0.0373,488.84,1000000
Cr,basal,<111>{110},1490.95,467.58,1.37,0.32815547,7.444e-06,2.437,3.18,2487837919042.84,3.391,1.989,0.4248,51.58,100000
Fe,basal,<111>{110},386.17,496.5,184.23,0.60253566,3.0115e-06,1.592,3.417,12785845564121.41,2.032,0.722,0.2005,121.9,50000
Ti,prismatic,<110>{111},1342.57,152.3,11.72,138.01983366,3.2109e-06,2.16,2.844,50743334529245.79,4.57,2.441,0.0143,417.26,50000
Inconel-718,mixed,<110>{001},427.86,603.68,23.68,4.66044788,3.65539e-05,2.525,2.752,86502510720183.17,1.29,1.041,0.2606,321.64,50000
Fe,mixed,<110>{001},1078.74,812.15,49.18,702.11307754,2.1641e-06,1.546,3.244,26960283971397.05,4.027,2.306,0.3826,454.81,50000
Steel-316,edge,<110>{111},346.96,258.72,62.76,0.14170758,0.0003465596,1.764,3.289,982407376380428.4,3.884,2.664,0.1676,182.14,100000
Inconel-718,prismatic,<100>{001},383.93,241.77,14.57,0.00533143,1.0469e-06,2.233,3.208,2921673043090.5,3.082,1.876,-0.2343,232.87,100000
Ti,edge,<110>{111},363.13,921.11,144.22,18503.70655366,8.9169e-06,2.433,3.289,19230282631824.66,2.086,2.624,0.0042,436.66,100000
Ni,mixed,<110>{111},1026.18,32.12,16.46,0.15763945,3.5959e-06,1.354,3.158,598074601809680.9,4.78,1.331,-0.1033,74.45,100000
Fe,screw,<111>{110},829.22,833.61,76.93,0.04336195,4.8467e-06,1.554,2.532,188991382468692.94,4.528,2.434,0.1817,410.25,500000
Cr,screw,<111>{110},1019.3,384.57,69.53,0.03791864,8.1207e-06,1.69,3.458,7314773476608.06,4.694,0.598,0.0969,266.2,50000
Al,screw,<110>{111},974.46,347.77,24.39,0.03914707,1.7011e-06,1.53,2.797,1443074526280.22,2.778,2.649,-0.4584,342.64,50000
Steel-316,prismatic,<110>{001},517.01,976.04,63.97,2172.49508335,1.2302e-06,2.174,3.486,891199103343150.0,1.54,2.207,0.0804,273.9,1000000
Fe,prismatic,<110>{001},1318.02,934.37,23.9,212823.99263669,1.0181e-06,2.402,3.218,4777136040605.51,1.727,1.025,-0.191,142.32,100000
Inconel-718,mixed,<100>{001},445.88,211.12,107.63,13.31528752,0.0002267677,1.667,3.271,33569139832073.57,4.09,1.227,-0.3266,454.36,1000000
Al,mixed,<110>{001},1294.24,141.31,17.24,6.9216795,1.1098e-05,2.275,2.89,322657520744291.3,1.823,0.542,0.3195,348.51,100000
Cu,basal,<111>{110},1068.09,69.57,7.69,0.31434473,5.4741e-06,2.788,2.958,252709862415153.38,2.79,2.104,0.0495,467.34,100000
Al,screw,<110>{001},1211.91,418.41,12.77,1.14630334,5.5557e-06,1.133,3.316,121712208008021.42,3.676,0.771,-0.1619,444.83,1000000
Cr,edge,<110>{001},1247.43,961.72,5.25,127.4134408,1.50271e-05,2.114,2.637,9281919892937.78,2.41,1.48,0.4948,85.45,1000000
Ni,mixed,<110>{111},471.44,746.21,50.53,1382.54956112,2.08933e-05,2.343,3.392,1513119274143.17,3.575,1.557,-0.1505,490.83,1000000
Cr,edge,<110>{111},927.15,966.49,69.34,581.93428809,0.0001852065,2.544,3.305,21470664262498.6,2.837,2.052,-0.3035,95.46,1000000
Inconel-718,prismatic,<110>{001},1318.61,800.47,8.44,39.46130309,1.02641e-05,1.65,3.141,446215903398381.25,4.096,2.29,0.4993,330.25,500000
Ti,edge,<100>{001},605.67,914.39,52.28,345.58116938,0.00023026,2.238,3.477,235140784379609.6,4.352,2.652,0.2081,148.48,500000
Cu,mixed,<111>{110},399.13,528.35,59.03,12.28860533,0.0003853331,2.418,3.186,3051904217948.77,1.064,0.771,-0.3748,153.56,50000
Ni,edge,<110>{001},856.49,68.18,106.87,0.0,1.5176e-06,1.334,2.965,135393096630869.77,3.419,1.612,-0.1882,341.94,500000
Ti,mixed,<110>{001},1150.95,606.3,18.77,93.52876584,0.0003734104,2.841,3.058,23331509540936.53,3.117,0.815,0.0079,135.66,50000
Cu,mixed,<110>{001},857.4,747.54,64.16,0.08333697,0.0004182566,2.118,3.274,95271060404088.12,3.949,1.959,-0.4986,276.79,100000
Ti,screw,<110>{001},1208.4,320.79,22.94,0.07282559,0.00010728,2.767,3.138,129799491840812.1,4.487,2.399,-0.3723,427.02,100000
Steel-316,prismatic,<110>{001},1107.98,896.27,48.18,232.20488614,7.77185e-05,1.92,3.245,1859045344803.63,4.675,2.937,-0.4219,310.68,1000000
Ti,screw,<110>{001},679.32,888.62,95.45,1.9804897,2.44541e-05,1.103,2.87,89786692392696.7,4.105,0.71,-0.486,317.06,1000000
Cr,basal,<110>{001},306.57,346.96,158.03,58.05356434,2.0404e-06,2.291,3.043,361493146527636.75,2.424,0.642,-0.394,169.07,50000
Cr,screw,<111>{110},1347.38,631.57,2.16,12.77112481,6.1345e-06,2.657,3.446,54354257409164.23,2.35,0.88,0.4914,251.37,500000
Ni,screw,<100>{001},1045.07,537.95,39.41,0.74758215,5.372e-06,2.962,2.734,1374942621342.51,3.909,2.419,0.3582,182.2,100000
Inconel-718,screw,<100>{001},1283.53,897.39,32.57,6.37230747,4.52377e-05,1.645,3.056,1714126900565.02,1.269,2.723,0.2318,154.16,50000
Steel-316,mixed,<100>{001},426.58,553.99,80.14,44.58532835,5.2643e-06,2.789,3.472,470279615192864.75,2.339,2.356,0.1018,410.31,50000
Steel-316,screw,<100>{001},701.04,33.83,101.47,0.0,9.54886e-05,1.39,3.01,2937107850524.1,1.826,2.122,0.0984,211.87,500000
Ti,edge,<111>{110},1102.07,688.34,54.69,0.42216672,2.7147e-06,2.854,3.471,5744830619955.72,4.063,2.157,-0.265,177.69,100000
Inconel-718,basal,<100>{001},1086.39,920.07,58.5,779.03967425,0.0002900476,2.983,2.773,650508206905722.5,1.246,2.135,-0.0739,438.64,500000
Steel-316,basal,<110>{111},1352.45,99.65,22.92,0.0080671,8.7639e-06,1.555,2.649,104937419641767.72,1.365,1.583,-0.2492,438.67,100000
Cr,edge,<110>{111},1183.33,492.17,34.48,0.11778752,0.000286981,2.802,3.445,5339302102781.12,3.758,0.654,0.2365,229.87,100000
Cu,mixed,<100>{001},991.76,842.6,66.31,390.908248,7.9901e-05,1.225,2.539,41126705415068.69,2.929,0.646,0.204,267.58,100000
Ni,prismatic,<110>{001},1420.71,121.13,9.35,15.25629644,2.7392e-06,2.834,3.03,740011954167119.8,3.756,1.941,0.2481,120.02,50000
Cr,mixed,<110>{111},1162.46,464.42,49.47,1.77486874,0.0008021336,1.831,3.264,101082726872826.72,3.185,2.685,-0.3704,298.37,100000
Ni,prismatic,<111>{110},1297.74,70.03,18.64,66.79245236,8.76494e-05,2.706,3.038,671028384551572.9,2.011,1.686,-0.1448,451.26,500000
Cr,mixed,<110>{111},1340.2,563.32,22.94,0.00907183,0.0001087857,2.182,2.603,633239712376011.0,4.026,0.658,-0.4464,54.73,500000
Fe,edge,<111>{110},710.29,32.42,46.23,0.0,1.22187e-05,1.713,2.705,52944388048620.5,4.808,0.729,-0.2743,154.54,1000000
Inconel-718,prismatic,<111>{110},1307.06,247.65,17.41,0.00478044,0.0002529234,2.574,2.704,926892134648394.8,4.992,2.502,-0.4471,300.48,1000000
Cr,edge,<100>{001},348.1,446.9,161.95,80.08652243,4.5101e-06,2.252,3.058,3381899257877.44,4.727,1.256,0.4509,316.47,500000
Fe,prismatic,<111>{110},931.12,70.34,43.16,0.00237849,0.0004227635,2.67,2.722,8920341081764.19,3.554,0.892,-0.1064,476.09,50000
Ni,mixed,<111>{110},591.21,663.16,35.48,42.13756026,1.98747e-05,1.534,3.009,166653028896739.62,2.401,1.666,0.2984,68.41,1000000
Cu,screw,<110>{111},1337.42,721.83,8.81,1429.33618836,0.0002875097,2.444,3.05,3984904936120.98,2.674,2.589,-0.4666,238.82,500000
Steel-316,prismatic,<111>{110},743.52,499.24,102.13,0.04998173,5.92548e-05,2.118,3.29,127495878288906.27,4.081,2.788,-0.0705,392.72,500000
Ni,screw,<110>{001},859.15,398.02,33.93,0.18031098,7.37995e-05,2.629,3.497,484988600445588.9,1.017,2.692,0.2368,136.55,1000000
Inconel-718,mixed,<110>{001},1222.78,100.44,15.76,0.05081532,0.0001295697,1.735,3.157,38073694601352.54,3.712,1.891,0.2229,442.11,1000000
Cr,edge,<100>{001},869.56,872.63,7.79,20.54100395,1.6996e-06,1.907,2.676,631614800323401.1,2.438,0.788,-0.0009,143.79,50000
Ni,edge,<111>{110},518.34,599.32,55.81,25.66242417,0.0004910876,1.388,2.686,105368426916787.89,4.084,2.674,-0.3425,391.25,100000
Fe,prismatic,<111>{110},374.19,964.47,112.24,30302.92523598,2.58618e-05,2.982,3.314,38157341513576.79,3.226,2.079,-0.3212,269.4,50000
