material,gb_type,temperature_K,misorientation_deg,applied_shear_stress_MPa,critical_shear_stress_MPa,sliding_displacement_nm,sliding_velocity_nm_ps,activation_energy_eV,simulation_time_ps,box_size_nm,num_atoms,timestep_fs
Al,twist,1064.69,33.09,247.79,35.24,168.5779,0.25384,0.4589,666.85,32.87,50000,2.0
Cr,asymmetric_tilt,1497.14,6.16,302.68,2.22,288.2471,0.312289,0.6857,436.76,15.62,500000,2.0
Ni,symmetric_tilt,1348.34,30.37,124.88,1.74,82.4006,0.370407,0.3127,848.72,43.59,100000,0.5
Ni,symmetric_tilt,963.47,51.65,66.56,31.6,28.3794,0.079944,1.4846,291.05,22.17,50000,0.5
Steel-316,symmetric_tilt,1321.97,38.9,15.87,2.34,7.8108,0.010292,0.7913,718.2,24.05,100000,1.0
Inconel-718,symmetric_tilt,1096.22,46.36,24.6,49.97,0.0319,9e-05,0.7085,982.4,30.69,500000,0.5
Ni,mixed,1341.55,49.0,155.01,9.67,70.5756,0.456395,0.4481,754.87,15.91,500000,0.5
Inconel-718,asymmetric_tilt,1240.56,11.57,21.68,28.08,0.0559,0.000179,1.1681,923.85,16.22,500000,2.0
Al,twist,1460.53,55.25,188.32,6.22,47.3566,0.082038,0.8422,122.25,36.73,500000,1.0
Inconel-718,asymmetric_tilt,876.3,30.78,231.04,44.12,138.2558,0.145479,0.3373,528.9,42.85,50000,0.5
Cr,twist,776.14,46.25,254.64,49.15,85.724,0.276606,1.4237,315.89,16.53,100000,2.0
Cr,tilt,1441.24,44.25,367.33,0.0,89.4201,0.123171,0.5302,955.29,26.92,10000,2.0
Ni,twist,1395.31,13.16,494.4,11.97,68.2909,0.202686,0.8115,999.8,23.69,50000,1.0
Cr,tilt,981.31,50.29,496.13,48.15,208.8399,0.208997,1.2198,243.83,47.47,10000,0.5
Ti,twist,482.96,49.57,142.34,91.86,27.4305,0.028232,0.9579,358.12,16.23,100000,1.0
Ti,symmetric_tilt,607.17,45.56,462.12,79.46,220.5631,0.306721,1.4368,600.52,12.19,50000,2.0
Ti,tilt,931.11,11.35,62.0,22.81,22.7266,0.054939,0.5992,607.26,13.91,10000,1.0
Inconel-718,symmetric_tilt,1399.16,19.98,289.46,9.25,265.1383,0.296762,0.5367,980.52,15.92,500000,0.5
Al,tilt,445.72,42.85,232.02,83.43,46.349,0.048049,1.0487,204.08,29.39,500000,2.0
Steel-316,asymmetric_tilt,410.18,56.3,465.53,97.48,274.5841,0.969954,1.2556,898.05,43.59,500000,1.0
Ni,asymmetric_tilt,337.65,40.95,407.48,103.93,201.2513,0.342122,0.6905,133.93,17.29,100000,0.5
Al,twist,1278.55,57.78,362.95,16.37,81.5398,0.344469,0.7365,961.43,45.03,10000,1.0
Ni,symmetric_tilt,479.95,35.82,40.82,90.1,0.0448,0.00011,0.6489,799.3,34.19,50000,2.0
Steel-316,mixed,578.18,59.43,407.97,80.67,179.3733,0.22903,0.8145,733.86,35.62,10000,2.0
Cu,tilt,732.16,35.9,58.57,65.7,0.0522,7.7e-05,0.6848,151.52,11.92,500000,2.0
Fe,asymmetric_tilt,740.67,9.64,380.17,66.17,269.4482,1.158416,1.2039,255.93,38.74,100000,2.0
Inconel-718,asymmetric_tilt,587.1,35.75,192.9,70.58,52.5601,0.058199,0.9992,642.31,24.33,500000,1.0
Fe,twist,596.71,16.8,359.94,69.2,103.4785,0.336404,0.3768,261.67,39.47,50000,2.0
Steel-316,symmetric_tilt,883.92,59.06,39.88,52.15,0.0133,1.8e-05,0.9899,501.77,29.98,100000,1.0
Inconel-718,mixed,660.9,6.97,63.16,75.47,0.0503,5.7e-05,1.4068,724.52,34.77,50000,2.0
Ni,tilt,1449.91,42.0,255.11,1.9,239.7704,0.339101,0.4834,471.27,39.29,500000,2.0
Cr,asymmetric_tilt,1325.48,46.1,118.19,26.61,87.6542,0.167192,0.9746,609.11,40.96,50000,2.0
Inconel-718,tilt,829.73,22.74,190.4,49.41,88.3124,0.190422,0.481,991.77,43.94,500000,0.5
Inconel-718,mixed,1188.26,47.86,29.86,21.24,6.7211,0.01051,0.9785,518.32,47.85,50000,2.0
Ti,mixed,543.89,25.84,85.29,75.66,1.125,0.001204,1.4344,313.53,36.48,100000,0.5
Inconel-718,mixed,1389.55,18.66,434.97,0.0,358.9066,0.44275,0.4013,889.57,35.31,10000,0.5
Ti,twist,1357.87,42.61,30.89,8.13,11.7263,0.048132,0.6089,422.1,46.24,50000,0.5
Cu,tilt,398.43,55.68,182.64,86.31,83.6485,0.284522,0.5582,745.33,20.27,10000,2.0
Cr,symmetric_tilt,335.42,59.59,267.55,88.63,178.8091,0.260975,0.4243,145.66,42.29,500000,1.0
Al,tilt,659.06,16.38,379.27,59.74,112.3947,0.280166,1.4689,327.5,25.89,100000,0.5
Cr,symmetric_tilt,599.46,22.5,71.85,82.05,0.0801,0.000131,1.3012,147.85,37.25,50000,0.5
Ni,asymmetric_tilt,776.12,47.1,22.68,75.93,0.0096,2.4e-05,0.6492,819.44,15.4,100000,2.0
Steel-316,tilt,933.02,44.11,481.87,63.28,58.9332,0.075847,1.0893,549.57,25.33,500000,1.0
Inconel-718,symmetric_tilt,474.95,16.43,211.86,79.43,128.5686,0.208362,1.4612,780.56,37.25,100000,1.0
Ti,asymmetric_tilt,340.46,53.93,238.09,106.78,63.3598,0.074005,0.8798,394.14,40.96,500000,1.0
Steel-316,tilt,993.6,32.45,381.6,33.81,82.3329,0.224377,0.5026,208.25,36.71,10000,1.0
Cr,twist,950.03,20.33,421.16,59.8,311.7468,0.473839,0.8466,131.55,48.66,50000,0.5
Ti,mixed,1066.05,33.38,182.31,51.22,20.1819,0.021185,0.5372,263.3,38.83,100000,2.0
Al,symmetric_tilt,930.5,52.43,399.83,48.69,232.0535,0.37303,1.443,404.54,19.78,50000,2.0
Cr,tilt,1052.61,43.24,27.38,31.43,0.0199,2.1e-05,1.4197,287.56,45.63,50000,2.0
Ti,twist,996.26,6.36,121.45,36.63,47.1277,0.053765,0.8678,659.36,11.34,100000,0.5
Inconel-718,twist,1457.77,9.73,35.83,10.25,5.8991,0.007988,1.3752,748.73,42.96,50000,2.0
Inconel-718,twist,858.21,30.82,400.95,63.04,337.3217,0.892064,0.8001,881.02,30.22,100000,0.5
Steel-316,mixed,964.89,38.4,206.54,44.65,157.7102,1.401396,1.1537,994.84,27.09,50000,0.5
Inconel-718,tilt,1008.2,58.88,162.84,41.25,14.1686,0.020322,0.5467,297.16,13.34,10000,1.0
Cu,tilt,449.59,37.33,407.85,84.28,245.0936,0.739074,0.7294,808.33,34.0,500000,0.5
Ni,symmetric_tilt,323.41,39.76,40.79,100.81,0.0311,5.9e-05,1.0562,948.97,33.26,10000,2.0
Ni,mixed,565.63,18.75,355.97,68.22,130.9104,1.13055,0.9852,733.95,30.74,500000,1.0
Steel-316,symmetric_tilt,968.76,11.07,289.39,50.44,224.0462,0.247213,1.2977,607.04,29.05,100000,1.0
Inconel-718,mixed,662.73,30.29,437.88,71.22,187.6214,0.238726,1.4919,988.83,48.57,100000,0.5
Inconel-718,symmetric_tilt,654.34,8.03,402.79,81.77,242.7552,0.32208,0.7758,875.64,48.51,100000,2.0
Ni,tilt,417.4,10.53,130.99,100.6,22.4509,0.118885,1.3852,171.33,10.91,10000,0.5
Ni,mixed,1187.49,34.81,159.26,24.1,85.8571,0.109103,0.3923,554.39,10.61,50000,2.0
Fe,twist,557.54,41.45,441.44,64.63,365.2463,1.948314,0.5829,933.43,49.36,100000,0.5
Fe,asymmetric_tilt,1414.29,55.56,310.42,0.0,129.3182,0.217257,0.4626,505.5,33.61,100000,1.0
Steel-316,tilt,1056.49,53.51,356.96,28.72,151.7588,0.948216,0.5443,880.91,32.57,50000,0.5
Fe,asymmetric_tilt,335.77,9.48,14.0,94.84,0.0094,1.8e-05,0.4452,406.34,15.46,50000,2.0
Ni,asymmetric_tilt,482.92,50.71,389.08,83.23,40.7734,0.075611,0.3274,539.26,33.0,100000,2.0
Cr,twist,697.99,22.38,478.23,70.48,96.0075,0.313625,1.1788,526.29,37.28,50000,1.0
Fe,mixed,1270.93,54.09,59.66,7.25,43.9425,0.214914,1.155,587.84,40.6,100000,1.0
Al,mixed,677.92,31.7,451.64,43.82,119.0249,0.166389,0.7724,874.91,27.86,10000,2.0
Cr,tilt,604.79,32.78,203.15,77.18,35.2442,0.222922,0.9754,504.75,14.62,10000,2.0
Fe,tilt,1180.79,42.97,44.28,26.16,9.4136,0.037704,0.545,340.79,18.27,50000,0.5
Cr,twist,304.46,13.99,410.97,101.21,45.4855,0.224213,0.5752,358.2,47.65,100000,1.0
Ni,mixed,349.32,50.28,269.66,87.33,114.4572,0.349741,0.9322,248.86,38.15,100000,1.0
Cr,twist,472.51,27.48,442.4,84.65,239.52,0.246728,0.5813,307.55,32.69,100000,0.5
Inconel-718,twist,1424.3,10.1,171.21,0.0,110.8941,0.506341,0.9666,521.65,34.21,100000,1.0
Ti,mixed,614.17,30.78,315.56,76.52,46.2173,0.357018,0.9302,713.48,49.89,100000,1.0
Ti,mixed,497.22,48.99,292.4,85.28,34.441,0.208471,0.8028,270.58,31.29,500000,0.5
Inconel-718,asymmetric_tilt,993.7,19.96,389.47,47.81,258.6393,0.326643,0.6672,818.49,13.59,10000,1.0
Inconel-718,mixed,1315.27,7.59,243.15,22.19,215.9649,0.290306,0.5181,233.18,27.57,500000,0.5
Al,twist,1334.09,30.06,149.88,26.62,91.6021,0.211801,1.2361,837.21,18.51,50000,0.5
Cr,asymmetric_tilt,710.32,6.72,133.72,67.4,26.972,0.035369,1.4704,602.72,35.41,10000,1.0
Fe,twist,1029.79,25.04,127.36,37.12,29.1419,0.103309,1.1907,472.88,38.36,500000,0.5
Steel-316,asymmetric_tilt,949.53,37.9,97.29,50.31,12.8265,0.01405,0.626,793.59,18.81,500000,2.0
Fe,tilt,1366.34,19.38,423.04,8.68,136.5465,0.459493,1.4952,770.68,28.91,500000,1.0
Al,symmetric_tilt,1394.82,30.26,250.17,14.7,55.3651,0.097842,1.286,599.26,16.75,50000,2.0
Cu,tilt,1217.02,49.11,341.0,22.65,252.7106,0.490578,0.602,849.65,23.78,100000,0.5
Al,tilt,1127.79,20.9,182.33,33.14,100.679,0.549135,0.7269,563.57,43.26,100000,0.5
Ni,symmetric_tilt,700.11,46.43,368.97,47.31,228.7651,0.560473,1.4417,679.66,39.75,500000,1.0
Ni,mixed,1106.04,34.77,21.01,40.57,0.0112,3.6e-05,0.6551,921.33,13.71,50000,2.0
Ni,asymmetric_tilt,581.48,48.59,196.41,64.8,119.9853,0.222702,1.4143,756.23,14.02,10000,0.5
Cr,twist,321.19,50.83,42.75,103.16,0.0367,4.1e-05,1.0206,993.99,22.24,50000,0.5
Inconel-718,twist,1005.42,40.13,147.75,47.92,43.7992,0.175221,1.1453,718.78,45.72,10000,2.0
Ni,tilt,529.91,44.1,105.2,83.55,18.5803,0.023829,0.5736,744.82,14.54,100000,1.0
Fe,twist,519.89,5.87,352.97,88.69,39.8083,0.136625,1.3252,767.02,12.46,100000,1.0
Cu,mixed,761.96,47.46,391.04,65.93,50.8272,0.055919,0.7834,538.22,33.84,100000,1.0
Cr,mixed,1433.4,22.65,257.52,0.0,78.7129,0.091394,0.5017,399.3,40.87,500000,2.0
Fe,asymmetric_tilt,941.61,38.97,452.53,43.61,217.3469,0.433676,0.3222,593.12,43.13,50000,2.0
Ni,asymmetric_tilt,603.13,41.32,243.44,80.78,125.9915,0.178605,1.3829,960.47,10.19,10000,2.0
Steel-316,twist,731.83,56.06,391.7,52.59,242.024,0.794305,0.5782,117.94,35.06,50000,1.0
Steel-316,symmetric_tilt,334.37,56.0,364.79,98.42,246.9788,0.458733,1.2842,201.5,41.77,500000,0.5
Cu,tilt,967.84,39.51,388.68,63.14,271.235,0.393741,1.2195,771.94,35.87,10000,1.0
Fe,asymmetric_tilt,1185.08,20.37,95.95,41.28,22.2078,0.048438,1.0015,636.88,21.7,50000,1.0
Inconel-718,asymmetric_tilt,850.25,56.67,273.64,53.64,140.3877,0.154411,0.7375,985.89,44.69,50000,0.5
Steel-316,symmetric_tilt,345.09,5.69,302.15,97.69,188.2802,0.201847,0.6199,147.3,33.52,50000,0.5
Cr,symmetric_tilt,1400.46,41.17,468.92,3.01,55.3432,0.088304,1.4656,290.97,22.09,500000,1.0
Ti,asymmetric_tilt,503.99,12.29,95.88,76.17,15.8718,0.016213,0.8136,180.53,36.05,100000,2.0
Ni,symmetric_tilt,1022.25,52.26,493.21,58.68,238.9713,0.897659,0.6261,870.23,38.52,500000,0.5
Cr,mixed,1079.74,25.5,258.42,19.42,158.5888,0.341025,0.7209,978.65,43.26,100000,1.0
Inconel-718,symmetric_tilt,1197.73,9.37,130.9,22.58,77.2643,0.284964,1.2624,717.38,35.97,10000,2.0
Cu,mixed,1143.02,36.12,197.95,37.0,45.5928,0.082628,0.7286,280.07,28.31,100000,1.0
Fe,mixed,571.13,6.54,385.41,68.34,308.0824,0.362541,0.8274,332.06,39.99,50000,2.0
Cu,mixed,850.68,54.07,190.32,55.22,22.511,0.037935,1.1886,317.34,23.27,10000,0.5
Fe,twist,722.84,42.2,185.24,61.28,61.2603,0.118424,1.0965,288.96,48.27,50000,1.0
Fe,mixed,908.31,50.97,427.46,44.34,325.5242,2.038708,1.4664,301.67,46.55,500000,2.0
Cu,asymmetric_tilt,962.52,35.82,262.73,42.96,77.5031,0.086808,0.6281,404.97,13.21,10000,1.0
Ti,symmetric_tilt,922.65,5.4,41.33,64.63,0.0436,0.000348,0.7792,502.34,13.34,10000,2.0
Fe,mixed,603.76,14.88,222.29,64.39,18.2627,0.026167,0.4654,573.46,39.22,50000,1.0
Al,twist,788.75,22.83,115.45,67.03,48.3966,0.307851,0.7022,576.25,11.87,10000,1.0
Steel-316,twist,1437.96,5.49,103.41,10.11,49.6723,0.485784,0.9282,549.87,46.24,500000,0.5
Ni,asymmetric_tilt,665.09,26.85,145.25,59.02,10.6179,0.018741,0.6115,172.8,33.0,10000,2.0
Cr,asymmetric_tilt,657.81,46.8,229.46,60.08,69.4915,0.124883,0.919,414.07,34.91,100000,2.0
Ni,twist,501.23,32.59,400.13,74.23,280.3439,2.142571,0.409,129.43,46.34,100000,0.5
Ti,twist,842.32,22.32,306.39,38.98,185.7019,0.625255,0.307,378.31,23.42,10000,0.5
Inconel-718,tilt,1381.51,30.47,305.5,18.73,182.3858,0.268578,1.1099,846.37,36.77,500000,2.0
Ti,mixed,606.2,30.77,98.11,85.71,5.5588,0.006375,0.4305,545.02,21.62,10000,2.0
Ni,twist,340.68,12.02,181.15,103.0,34.6425,0.055095,1.3228,416.68,30.78,100000,0.5
Cr,asymmetric_tilt,1040.37,13.74,306.46,31.38,195.5017,0.25988,0.9486,435.35,21.8,100000,2.0
Steel-316,twist,369.7,58.47,26.21,99.44,0.0225,2.9e-05,0.5096,390.66,27.71,100000,1.0
Fe,twist,488.69,14.74,77.72,82.13,0.076,0.000204,0.7056,723.09,29.73,100000,0.5
Inconel-718,tilt,899.49,27.48,243.81,57.45,169.2294,0.495114,0.5666,793.19,47.54,100000,2.0
Ni,symmetric_tilt,479.14,44.78,80.76,82.21,0.0958,0.000113,0.7179,307.05,30.91,50000,0.5
Fe,tilt,1184.28,45.13,310.77,44.06,39.8026,0.099172,0.3837,782.51,12.76,50000,0.5
Fe,mixed,571.69,49.54,20.68,86.68,0.0135,1.9e-05,0.4033,928.35,39.3,10000,2.0
Inconel-718,asymmetric_tilt,840.52,28.91,58.9,45.34,3.4113,0.015063,0.4663,522.65,13.56,500000,1.0
Cr,tilt,484.11,12.76,476.45,88.92,268.7298,1.598484,1.2882,445.67,13.34,500000,0.5
Cr,twist,900.74,20.11,74.88,49.53,10.3356,0.032134,0.9356,650.56,27.25,50000,0.5
Ni,tilt,830.9,16.01,365.68,46.3,258.9369,0.707186,0.597,424.96,42.89,50000,1.0
Ti,asymmetric_tilt,575.95,27.48,93.58,84.48,6.3633,0.006761,1.3319,672.35,40.21,500000,0.5
Ni,twist,1337.46,41.44,38.19,3.26,18.3291,0.027601,0.9113,163.97,21.85,50000,2.0
Fe,asymmetric_tilt,1001.27,28.79,276.79,26.97,107.8759,0.153143,1.3826,382.59,12.46,10000,1.0
Cu,asymmetric_tilt,635.26,28.02,77.34,57.51,17.3803,0.021691,0.5406,842.18,33.27,50000,1.0
Inconel-718,mixed,662.32,33.62,436.78,78.7,215.9343,0.748211,1.3724,397.3,30.58,10000,0.5
Al,asymmetric_tilt,431.72,53.69,254.46,89.59,77.0867,0.169951,0.8262,775.3,16.53,50000,2.0
Ti,asymmetric_tilt,356.44,58.55,82.57,99.34,0.013,9.5e-05,0.8257,500.69,10.04,10000,0.5
Cu,asymmetric_tilt,973.2,16.29,264.19,52.68,189.4883,0.373466,1.0619,479.33,40.95,500000,2.0
Cu,mixed,352.89,40.01,275.34,95.95,67.6081,0.224632,0.4996,191.47,16.65,500000,0.5
Inconel-718,symmetric_tilt,1387.43,23.82,40.83,0.0,35.5855,0.040633,0.5921,542.32,19.97,50000,1.0
Cu,mixed,309.03,14.15,428.29,94.47,77.0638,0.134777,1.3932,940.73,37.54,500000,1.0
Cr,twist,1398.54,31.57,475.24,0.97,63.4086,0.390637,0.9409,661.5,21.94,10000,0.5
Al,tilt,787.76,57.67,460.1,60.44,293.9444,1.260446,0.7209,700.22,14.71,500000,1.0
Steel-316,twist,498.65,26.11,108.13,75.96,25.295,0.217245,1.0291,157.06,36.91,10000,0.5
Steel-316,tilt,301.66,17.27,12.2,89.4,0.0085,2.4e-05,1.4531,955.01,28.52,100000,0.5
Ti,twist,1415.15,42.53,311.93,2.74,211.8978,0.312835,0.5883,209.96,24.76,100000,0.5
Steel-316,mixed,688.14,21.13,296.36,82.25,148.0811,0.2001,0.7707,800.26,18.49,10000,2.0
Cu,tilt,389.57,55.22,204.16,97.9,45.5193,0.124393,0.5656,682.06,38.03,500000,2.0
Ti,twist,1388.71,47.25,336.34,15.27,36.5228,0.042767,0.3909,995.64,10.31,10000,2.0
Steel-316,asymmetric_tilt,752.71,59.7,436.34,75.3,158.7998,0.756482,0.7743,369.75,49.72,10000,2.0
Cu,symmetric_tilt,601.39,14.67,487.15,62.81,133.8853,0.30772,0.67,255.04,30.37,50000,2.0
Cr,symmetric_tilt,687.81,15.97,359.3,47.58,42.4795,0.079989,0.7483,974.41,39.34,500000,1.0
Cu,mixed,650.45,43.36,391.09,66.78,204.0361,0.251868,0.7455,860.09,14.35,500000,2.0
Cr,tilt,408.65,7.36,103.49,69.92,7.8762,0.024675,1.0394,349.82,39.43,100000,1.0
Al,twist,300.41,22.52,492.08,82.15,363.8275,1.175841,0.7614,628.31,17.08,500000,1.0
Ti,asymmetric_tilt,501.68,53.47,89.27,91.66,0.0757,7.8e-05,0.9381,279.78,28.55,100000,1.0
Al,tilt,863.27,35.29,109.61,64.3,36.5649,0.044204,1.4701,200.47,27.58,50000,1.0
Al,symmetric_tilt,734.21,12.2,180.71,61.67,85.9102,0.378558,0.5183,392.45,18.56,10000,0.5
Inconel-718,twist,762.48,51.55,428.91,46.36,86.196,0.511667,0.5319,489.29,31.74,100000,2.0
Ni,symmetric_tilt,1180.06,10.48,12.17,28.77,0.011,3.1e-05,0.5592,989.11,10.56,100000,0.5
Fe,asymmetric_tilt,346.53,51.27,368.01,115.66,175.9127,0.802452,0.6793,756.54,10.25,500000,1.0
Ti,symmetric_tilt,621.67,41.27,192.01,77.55,40.535,0.138229,1.1333,990.56,47.55,50000,1.0
Inconel-718,symmetric_tilt,936.15,42.23,283.96,54.12,153.063,0.261144,0.5233,339.72,10.73,500000,0.5
Ti,mixed,982.47,27.06,84.46,46.49,20.4686,0.067196,1.0005,454.77,27.1,500000,2.0
Al,symmetric_tilt,673.71,35.05,302.39,77.7,137.0095,0.284141,0.5618,512.64,48.61,50000,1.0
Al,asymmetric_tilt,845.05,25.28,280.35,50.21,108.1128,0.31069,0.8297,515.68,35.59,500000,0.5
Fe,symmetric_tilt,530.87,49.66,94.11,88.52,3.1964,0.003593,0.5794,643.6,17.67,100000,1.0
Fe,asymmetric_tilt,732.86,8.64,394.06,54.66,216.0598,0.251106,0.4719,807.87,48.71,50000,2.0
Cr,mixed,572.97,50.21,28.51,87.73,0.0268,3.4e-05,1.2671,843.2,35.76,500000,2.0
Steel-316,asymmetric_tilt,445.3,36.67,121.44,90.37,3.2255,0.008531,0.8817,676.13,15.86,50000,1.0
Ti,tilt,528.23,57.57,296.45,73.64,193.3014,0.830877,1.2697,342.26,11.42,100000,2.0
Steel-316,tilt,1276.29,53.09,48.65,14.71,32.7884,0.138427,1.4369,330.15,11.0,10000,2.0
Inconel-718,twist,420.77,58.77,268.57,88.01,66.6521,0.091181,0.7578,391.93,39.96,50000,0.5
Ti,asymmetric_tilt,303.95,56.4,425.7,104.45,273.8341,0.462236,0.4061,355.77,47.96,50000,1.0
Cr,symmetric_tilt,1051.21,12.09,404.4,22.04,325.9196,0.373823,0.5876,394.71,17.28,10000,1.0
Ni,mixed,1101.95,59.86,347.66,38.13,248.3037,0.376536,0.5886,432.54,13.12,10000,1.0
Cr,twist,475.25,23.21,50.37,90.59,0.0377,6.8e-05,1.0535,504.48,37.2,100000,1.0
Cr,symmetric_tilt,533.8,26.32,305.38,98.38,171.148,0.290882,0.5542,197.94,22.31,100000,1.0
Fe,mixed,1382.83,29.62,462.49,10.05,280.5322,0.450294,1.0368,197.98,39.84,10000,1.0
Ni,mixed,1041.1,13.51,30.36,44.57,0.0366,7.2e-05,0.3959,215.87,49.39,50000,0.5
Ni,symmetric_tilt,1196.68,11.54,242.13,22.7,118.4013,0.228576,0.8939,455.25,13.22,500000,1.0
Cu,symmetric_tilt,326.95,19.48,51.61,87.05,0.0117,8.3e-05,0.8112,865.14,14.29,500000,0.5
Fe,tilt,817.88,11.79,31.69,64.13,0.023,6.5e-05,1.0818,224.68,28.83,10000,0.5
Ti,asymmetric_tilt,1062.74,6.13,167.89,58.49,101.5071,0.593971,1.1115,297.23,31.69,500000,0.5
Steel-316,symmetric_tilt,1331.47,28.57,291.54,0.0,101.5086,0.616056,0.9539,604.84,18.41,50000,0.5
Cu,twist,1447.25,50.19,404.47,0.0,214.3458,0.309299,0.625,405.55,31.64,100000,2.0
Cu,mixed,865.53,26.08,335.63,60.72,33.1118,0.038383,0.9993,501.79,17.86,50000,1.0
Steel-316,mixed,855.22,59.99,234.37,58.05,95.2239,0.445748,0.591,903.2,47.82,10000,1.0
Cr,mixed,459.03,12.59,271.09,77.31,102.7127,0.124115,0.8777,830.63,28.78,500000,0.5
Steel-316,asymmetric_tilt,550.23,29.63,375.22,64.37,292.6693,0.373161,0.9338,893.3,22.98,100000,0.5
Steel-316,twist,1399.18,50.45,475.24,0.0,326.5279,0.639003,1.4091,905.18,47.04,50000,2.0
Al,symmetric_tilt,1069.06,34.21,322.67,19.92,288.4609,0.523168,0.3475,313.92,12.58,500000,0.5
Ti,symmetric_tilt,946.86,9.11,185.1,52.79,62.9292,0.117152,1.0278,471.17,27.17,50000,1.0
Ti,mixed,1114.57,17.45,45.15,25.09,14.7034,0.043058,0.4258,272.75,37.34,500000,1.0
Steel-316,tilt,983.55,23.39,67.83,38.22,27.9667,0.061432,1.4549,367.91,15.37,500000,1.0
