simulation_id,material,parameters_temperature,parameters_pressure,parameters_crystal_structure,parameters_lattice_parameter,parameters_supercell_size,parameters_k_point_density,parameters_cutoff_energy,parameters_exchange_correlation,results_formation_energy,results_activation_barrier,results_surface_energy,results_bulk_modulus,results_elastic_constants,results_band_gap,results_magnetic_moment,metadata_convergence_criteria,metadata_total_energy,metadata_forces_converged,metadata_stress_converged
DFT_Ni_0024,Ni,613.0723480100568,0.1530454029038475,FCC,3.52,"[4, 4, 4]",0.0709122877956809,560.1898589364799,LDA,-0.14978841202728777,1.819245139566115,2.375579973433499,202.75916558167205,"[631.7673821683802, 238.7604021214515, 137.41001604740566]",0.20189030115127388,0.0,1e-06,-713.3164791640334,True,True
DFT_Ni_0025,Ni,454.20042388069226,8.11204176736003,FCC,3.52,"[4, 4, 4]",0.02311705058481869,523.6507768675785,PBE0,-0.09793290939977622,1.9425554503638582,2.2084997883197093,207.0709238588094,"[560.4756309938679, 188.34849258136276, 79.89534406486749]",0.04736247106194041,0.0,1e-06,-964.4056757698855,True,True
DFT_Ni_0026,Ni,682.7707563525136,8.448753109694545,FCC,3.52,"[4, 4, 4]",0.03419516350237783,550.1229503281717,PBE0,-0.22259433590573255,1.4824999176353115,2.2610679609487807,209.6836683164158,"[708.2007214323836, 229.39989182832284, 130.29583205707743]",0.033133386230673856,0.0,1e-06,-504.7474289996633,True,True
DFT_Ni_0027,Ni,795.1412122937118,3.720180857927832,FCC,3.52,"[4, 4, 4]",0.08611659728861934,464.00992020612233,PBE0,-0.22807365162114152,1.9107934778752438,2.331166973847921,197.06988083017148,"[641.3723763525521, 165.7849480810346, 130.26736175395828]",0.07037074897567544,0.0,1e-06,-950.0075564190684,True,True
DFT_Ni_0028,Ni,364.1823560968427,9.585414968831984,FCC,3.52,"[4, 4, 4]",0.06819527407208952,510.7406104691602,PBE,-0.19798390224364498,1.8694115002864484,2.1620829431849407,201.78424009442082,"[601.825723389331, 201.22131515575091, 67.25746467822493]",0.009618512444110473,0.0,1e-06,-623.81273528116,True,True
DFT_Ni_0029,Ni,1249.894852471018,7.896181427945539,FCC,3.52,"[4, 4, 4]",0.03143933456422687,552.3021263434945,PBE,-0.15142879016547336,1.3503492910293724,2.158843865122601,195.48558858991925,"[575.0268214161748, 225.80182073603115, 86.08520768648857]",0.012450597755245088,0.0,1e-06,-949.4386619386049,True,True
DFT_Ni_0030,Ni,400.9281673379969,7.009691314591199,FCC,3.52,"[4, 4, 4]",0.05010076684247326,416.70014333973376,PBE,-0.20495446898880432,1.6542611415546888,1.9810568268253121,190.61690817082297,"[631.4756109002653, 224.71816457270705, 132.36446214687004]",0.13998992301163418,0.0,1e-06,-811.0062049388728,True,True
DFT_Ni_0031,Ni,1146.1012371559918,2.4872415443028792,FCC,3.52,"[4, 4, 4]",0.07953693255546383,536.2078854193818,LDA,-0.2345056094571616,1.0481777029030677,2.083009830972437,190.053504496941,"[583.7442124080335, 208.37267520023337, 115.33927953520227]",0.17304217946449174,0.0,1e-06,-799.8885535639876,True,True
DFT_Ni_0032,Ni,873.2578690562732,0.8289132169335423,FCC,3.52,"[4, 4, 4]",0.07563288984853181,415.08690941795385,PBE0,-0.4491732311704142,1.8390203642487948,1.9287128243119924,203.9939555055276,"[518.8383862208515, 238.6438245500681, 136.19580678245268]",0.02916769319402769,0.0,1e-06,-685.3006809323688,True,True
DFT_Ni_0033,Ni,1134.8984267815406,4.545410647677732,FCC,3.52,"[4, 4, 4]",0.04826817824208422,516.7312223701745,PBE,-0.00995198601843686,2.1615726114302167,2.1370579408432238,206.508727509874,"[644.3346124340728, 188.1196360609461, 77.49208277785648]",0.062305859880409875,0.0,1e-06,-512.8025961669168,True,True
DFT_Ni_0034,Ni,1483.4528933755234,6.981617140197452,FCC,3.52,"[4, 4, 4]",0.0780575606710688,522.683039187158,LDA,-0.37314909365749216,1.6407569352309213,2.216657209538125,206.4701588000881,"[549.7509422903443, 240.40783921517476, 129.87280570615974]",0.2991738525033436,0.0,1e-06,-958.625789982347,True,True
DFT_Ni_0035,Ni,1351.9937831109512,5.5158787254407,FCC,3.52,"[4, 4, 4]",0.08633313765652116,513.8162938331495,PBE,-0.18613669540630395,1.2627108322629894,2.1374017541588097,210.18067506594986,"[732.539774926814, 199.81784046284267, 126.07295176128811]",0.049920910583130154,0.0,1e-06,-765.6534201025149,True,True
DFT_Ni_0036,Ni,797.7834028051982,2.7340707193070624,FCC,3.52,"[4, 4, 4]",0.038291424440277014,534.3401368811714,LDA,-0.14938823503287862,1.61849469772348,2.097492361660755,204.15233288231667,"[602.3604684957934, 173.86914467261067, 139.15439702615055]",0.09318477025886182,0.0,1e-06,-820.9186409835797,True,True
DFT_Ni_0037,Ni,436.2691106395548,6.715731955927996,FCC,3.52,"[4, 4, 4]",0.03072121827605126,405.7565352626678,PBE0,0.03096773047762766,1.692064798859598,2.287584671474113,200.45012320940072,"[611.7551018559583, 205.33613277036036, 130.42516602875233]",0.051664731398811704,0.0,1e-06,-607.6658680278452,True,True
DFT_Ni_0038,Ni,1067.2336283690909,8.05044667519362,FCC,3.52,"[4, 4, 4]",0.06379570455192893,490.18208948322086,PBE0,-0.12276232374397167,1.8405894419655802,2.1563082686637234,201.6023410405165,"[632.3548382504949, 206.0227230435858, 67.81919615036712]",0.12960772477159035,0.0,1e-06,-801.7286088393649,True,True
DFT_Ni_0039,Ni,1046.504040273448,8.623637087467452,FCC,3.52,"[4, 4, 4]",0.03921164950225545,415.1726656217328,PBE,-0.15171713017407593,1.830133066028403,2.11717173756904,188.90204535869995,"[657.3852713863306, 188.3442625013429, 81.51135424692059]",0.10034862739576596,0.0,1e-06,-769.940420508214,True,True
DFT_Ni_0040,Ni,1001.7193271389845,4.003004889102813,FCC,3.52,"[4, 4, 4]",0.03790792527250565,564.3581273688899,LDA,-0.2559396384165511,1.732177477591835,2.0622145516285317,211.15832106260922,"[712.5152401730636, 212.44520896850707, 145.53963534299254]",0.09211409641092068,0.0,1e-06,-860.7048304840207,True,True
DFT_Ni_0041,Ni,512.4125811320962,0.8870253375705561,FCC,3.52,"[4, 4, 4]",0.07023203115927262,416.35180638977437,LDA,-0.16248687532803174,1.3079352793827677,2.0854075810428285,192.01414738274102,"[576.6986064977943, 206.6375476568813, 60.62363902017418]",0.16064942438261198,0.0,1e-06,-921.5111586419032,True,True
DFT_Ni_0042,Ni,752.7431582904871,0.025950243836465603,FCC,3.52,"[4, 4, 4]",0.024987309000899315,429.54781838124535,PBE0,-0.12921835032787582,1.6213312085259328,2.2432973093016075,200.46003674239356,"[548.4820207601854, 221.3043050731985, 102.73703204732207]",0.1274810452766104,0.0,1e-06,-643.3252070577238,True,True
DFT_Ni_0043,Ni,1374.2482052246392,5.116774421156661,FCC,3.52,"[4, 4, 4]",0.04576633324665426,442.28960139930894,LDA,-0.2634313305678083,1.5934906288446267,2.327775197855944,183.6216862875768,"[503.57705847134906, 166.6729074654378, 82.79752758182023]",0.0020275360750314515,0.0,1e-06,-732.3322179922383,True,True
DFT_Ni_0044,Ni,579.8596938597615,3.4292686427826027,FCC,3.52,"[4, 4, 4]",0.0651566834018113,475.7545251902579,PBE,-0.4039461620817546,1.4180231843601674,2.115221051908821,214.4856153024887,"[661.5164241945372, 234.80362104350323, 112.19676182778014]",0.08831834626541177,0.0,1e-06,-818.4588518006824,True,True
DFT_Ni_0045,Ni,1075.1006895979215,5.707783046689119,FCC,3.52,"[4, 4, 4]",0.026418699652931376,504.90227791405096,PBE,-0.31316621694556646,1.7155580853119918,2.07409170026912,196.7524974415687,"[528.5887715262573, 179.83927253287087, 72.67042437833733]",0.22707514493559156,0.0,1e-06,-508.8106915456968,True,True
DFT_Ni_0046,Ni,434.4466826016628,3.9785559904574166,FCC,3.52,"[4, 4, 4]",0.08155943465535495,437.4087497115047,LDA,-0.2172899885663055,1.7988405174140725,2.2084403385561777,193.48296503467634,"[663.5258345951313, 197.87602617238883, 102.28381671443567]",0.032847503081065085,0.0,1e-06,-644.5237605816259,True,True
DFT_Ni_0047,Ni,539.4083128059838,7.362471836984882,FCC,3.52,"[4, 4, 4]",0.04953843852079169,490.85359444381993,PBE,0.06548103866888699,1.744998304584422,2.125094859027478,200.92338641592295,"[603.9965868300238, 235.64410026652723, 86.04682195538277]",0.09011142237768106,0.0,1e-06,-968.3125147636162,True,True
DFT_Ni_0048,Ni,1487.9522788679342,3.2235384497472297,FCC,3.52,"[4, 4, 4]",0.09436233153982607,566.1238815575458,LDA,-0.2202296792045782,1.7993355730519784,2.2790717288966515,205.14425432867557,"[635.0525011129566, 202.81186168665292, 95.33799519251527]",0.042904330170397485,0.0,1e-06,-937.8513882572277,True,True
DFT_Ni_0049,Ni,1177.040970244373,9.383404568210379,FCC,3.52,"[4, 4, 4]",0.08516597761851058,533.03944413924,LDA,-0.09306152407247925,2.0697862030495635,2.1360173927406803,200.75819640141987,"[661.5519221895468, 176.7978919683507, 73.36956768846302]",0.01794446565599507,0.0,1e-06,-546.066934768742,True,True
DFT_Ni_0050,Ni,679.4358987557935,5.883066757950567,FCC,3.52,"[4, 4, 4]",0.04842899614547167,478.2964220403004,LDA,-0.20842507794871928,2.127794498823375,2.2144622011072013,201.970336339861,"[630.9758396382849, 205.18417412180312, 96.0364647641607]",0.08615333378161123,0.0,1e-06,-728.2235694430058,True,True
DFT_Ni_0051,Ni,1387.7665331574563,6.242379959139921,FCC,3.52,"[4, 4, 4]",0.032133990378620095,462.3444135591096,PBE,-0.3225017286743148,1.877313126973002,2.189491247541015,197.231413907328,"[615.3763611455142, 199.87124529987724, 129.690903386764]",0.15539900136960721,0.0,1e-06,-610.7140304746245,True,True
DFT_Ni_0052,Ni,471.7535826581635,2.0454459316946325,FCC,3.52,"[4, 4, 4]",0.060183067797002415,507.9721274225673,PBE,-0.1560385482156184,2.124788972017523,2.1026012815711916,201.73685991382678,"[612.570213035395, 191.95839717229822, 97.39857366127445]",0.09262346897307248,0.0,1e-06,-885.3743023836793,True,True
DFT_Ni_0053,Ni,1166.7030820716795,7.200365365460744,FCC,3.52,"[4, 4, 4]",0.052068113341091196,492.40116072882654,LDA,0.011688720817294856,1.939277452035692,1.959574557400006,201.873095472788,"[574.469458983147, 176.16235366682824, 133.91861940200096]",0.08756090546365985,0.0,1e-06,-692.5248684236728,True,True
DFT_Ni_0054,Ni,1394.2228906115577,1.3911619414306187,FCC,3.52,"[4, 4, 4]",0.07210937687905969,554.2493337039476,PBE0,-0.18136398729277048,1.4709625889878004,2.225057958622975,210.43136389955686,"[547.5871600896083, 245.67866131274909, 129.63284428431027]",0.0023291764144210323,0.0,1e-06,-696.642476808572,True,True
DFT_Ni_0055,Ni,808.9568055628632,7.3644423562472285,FCC,3.52,"[4, 4, 4]",0.08422827588784092,400.9264046009206,PBE,-0.2654538956968344,1.5347242039293827,2.1565012397670142,207.29461012313965,"[640.8047362359838, 198.9201320732466, 66.72910006466877]",0.04082648863007412,0.0,1e-06,-942.8663499721562,True,True
DFT_Ni_0056,Ni,797.4055010443533,8.63518140612957,FCC,3.52,"[4, 4, 4]",0.06621055632732378,433.10266348559475,PBE,-0.157639024605037,1.8314765449252823,2.248061512529348,199.74338853320174,"[616.6214677222115, 162.41907291314422, 132.84928479889533]",0.02853201210659368,0.0,1e-06,-542.57704946595,True,True
DFT_Ni_0057,Ni,734.8726789399598,5.805883502780435,FCC,3.52,"[4, 4, 4]",0.07999683763193423,441.9811186191172,PBE0,-0.2686724198969622,1.7157879114812127,2.056770433403719,198.90309561300202,"[695.5391136615593, 199.07773335291668, 107.04049789452363]",0.006943205082825418,0.0,1e-06,-825.3065004753335,True,True
DFT_Ni_0058,Ni,861.8781941296552,6.249759870510523,FCC,3.52,"[4, 4, 4]",0.05976095590569992,553.0712562132481,PBE,-0.023287688543540186,1.5312153699365694,1.9574141660643345,204.67294840964053,"[657.830972784114, 206.93644538786748, 105.15734974630132]",0.06560208675699675,0.0,1e-06,-832.8185943447589,True,True
DFT_Ni_0059,Ni,390.60403656466707,7.5324622074745085,FCC,3.52,"[4, 4, 4]",0.06413780762074718,450.77771280866085,PBE0,-0.0900572017489287,1.5395789521868015,2.315079097341277,200.8336402077763,"[698.6864642480188, 228.13005362646095, 129.89869720654946]",0.05242224541790037,0.0,1e-06,-664.0536282006358,True,True
DFT_Ni_0060,Ni,323.652645305237,1.0410858198457384,FCC,3.52,"[4, 4, 4]",0.08641758916535933,479.43670592369097,PBE,-0.2111940310659736,1.7252979163614515,2.0074184222959395,204.7533228678159,"[532.2442627676193, 183.71878394872692, 120.58061857834021]",0.19358363374539297,0.0,1e-06,-929.4590756111432,True,True
DFT_Ni_0061,Ni,787.6707699282265,3.239900611067996,FCC,3.52,"[4, 4, 4]",0.09284992028322432,524.9522542086502,PBE0,-0.1230565384213809,1.4102232265111607,2.230364462153825,203.11188366843243,"[532.7171545014251, 233.69598980717373, 113.16789401424154]",0.12172138653302654,0.0,1e-06,-870.2882832843537,True,True
DFT_Ni_0062,Ni,755.6308898007203,5.902949425148077,FCC,3.52,"[4, 4, 4]",0.031209054061316202,573.6935951795825,PBE0,-0.061758983583138846,1.2311154070782215,2.295447719261785,185.53414875306095,"[544.7517362144004, 170.28070061586206, 126.04843540161802]",0.14422545037326362,0.0,1e-06,-552.7238865529544,True,True
DFT_Ni_0063,Ni,1259.8263071367783,4.252135044692334,FCC,3.52,"[4, 4, 4]",0.04178458612154952,403.67813530949337,LDA,0.10144461281719183,1.8709062810957262,2.07733364130485,197.21237977327152,"[657.6895283770298, 235.42442250283543, 100.63275868212449]",0.018835486366007393,0.0,1e-06,-735.1691606724594,True,True
DFT_Ni_0064,Ni,1278.0653140829486,4.980907535110058,FCC,3.52,"[4, 4, 4]",0.078574766276725,450.14613211231955,PBE,-0.16734791614642572,1.4073437487539309,2.36127753107206,199.86100826223242,"[520.9534531184063, 171.08250513461863, 81.03834674145929]",0.03099254910414207,0.0,1e-06,-667.4816627268723,True,True
DFT_Ni_0065,Ni,510.4455343481395,9.144119459249598,FCC,3.52,"[4, 4, 4]",0.039627928774505675,477.85912280839534,PBE0,-0.36476866032202526,1.1780225946616103,2.0771044992688372,200.1739403347389,"[533.7204479728861, 219.23319110761662, 66.68183634563772]",0.09242022189851157,0.0,1e-06,-822.1636417675254,True,True
DFT_Ni_0066,Ni,1162.8550862210946,2.9712171562317504,FCC,3.52,"[4, 4, 4]",0.06760623445602039,410.2851626968501,LDA,-0.26076320369706,2.317612623928143,2.2075537551027704,201.2322408246325,"[650.4977267488005, 178.28696627071113, 62.87969310511754]",0.03041693020055879,0.0,1e-06,-522.3818436382605,True,True
DFT_Ni_0067,Ni,485.60656905988344,6.233325509049907,FCC,3.52,"[4, 4, 4]",0.026221227526316566,400.46787812515566,PBE0,-0.3972583596045082,1.4314106551428114,2.0279768553000053,188.1296221119301,"[602.9414325598526, 195.52582971227372, 91.03077034861582]",0.007897114323758954,0.0,1e-06,-863.9274313850186,True,True
DFT_Ni_0068,Ni,1008.2768002429045,3.6097389694002677,FCC,3.52,"[4, 4, 4]",0.08793565212522556,449.9336017718372,PBE,-0.30392392039936394,1.4947200118277324,2.274199679103115,200.7973711259138,"[649.0222600787953, 225.42004015788243, 113.1519986085705]",0.11785538361415322,0.0,1e-06,-676.6675404414183,True,True
DFT_Ni_0069,Ni,1131.8102537483096,0.5159580665871,FCC,3.52,"[4, 4, 4]",0.02922256169978275,484.3525319461025,PBE,-0.18620698852819828,1.6269152696733238,2.0040504280521176,217.37318311306345,"[611.4392137936588, 184.37789712557426, 128.773931892273]",0.021393486643425993,0.0,1e-06,-762.8928916712681,True,True
DFT_Ni_0070,Ni,1334.4511811871762,8.445493985350703,FCC,3.52,"[4, 4, 4]",0.047189997101445294,544.9533543057523,PBE0,-0.040533555969466936,1.491627260214237,2.1612140906431145,196.9181647419664,"[537.588329968044, 167.03125574393954, 65.13684271692686]",0.11916779496882371,0.0,1e-06,-842.3548310846949,True,True
DFT_Ni_0071,Ni,947.3895508504047,7.907231648389636,FCC,3.52,"[4, 4, 4]",0.08997613381473596,505.7874268054424,PBE0,-0.029618137061992608,1.2202057865209268,2.1811558643514135,205.93087197082292,"[562.800727696938, 166.75464726574134, 133.4513495125467]",0.0021498864160261317,0.0,1e-06,-964.9851471262645,True,True
DFT_Ni_0072,Ni,311.3825203541977,0.5268383597722859,FCC,3.52,"[4, 4, 4]",0.02026770896343834,493.4621533075305,LDA,0.15306554171067807,1.5116478950266958,2.0709339493437446,189.85836750274237,"[492.055804822199, 177.43179285763568, 96.63936653585596]",0.13177830190389592,0.0,1e-06,-573.5890891540494,True,True
DFT_Ni_0073,Ni,1158.6639782810903,5.891085344708948,FCC,3.52,"[4, 4, 4]",0.09858644120640654,576.8397956263007,PBE0,-0.09632458213170787,1.5503454285600327,2.038763096719945,198.1658400910195,"[684.9435204106506, 221.7863618352983, 79.97835791677514]",0.08880780512023284,0.0,1e-06,-548.1380164123648,True,True
DFT_Ni_0074,Ni,1487.0218917760308,7.433528228936241,FCC,3.52,"[4, 4, 4]",0.02293855499412909,591.4540525966652,LDA,-0.16740540197185053,1.4129445794973274,2.094422601553574,203.98204027643538,"[679.391256202216, 173.0044107028439, 65.02501597593735]",0.04846554228450836,0.0,1e-06,-599.6151564350625,True,True
DFT_Ni_0075,Ni,1055.7335075953838,2.163240230365535,FCC,3.52,"[4, 4, 4]",0.057070459857249595,524.5874765870237,PBE,0.14186479150038497,1.8256186611065082,1.9517824927682388,201.18250261226365,"[606.6151234100698, 200.4732410117752, 140.5328807112503]",0.2277269728463229,0.0,1e-06,-731.5127885532931,True,True
DFT_Ni_0076,Ni,1011.5279218100438,5.8008620783781115,FCC,3.52,"[4, 4, 4]",0.04981508136098512,451.9507567520652,PBE,-0.22149201388984505,1.4737036205178509,2.183350962251239,202.22971193324685,"[638.0836768243166, 206.3436604964343, 67.70543653953044]",0.05250144999102649,0.0,1e-06,-975.6082091634134,True,True
DFT_Ni_0077,Ni,939.1230232809145,9.621219725920497,FCC,3.52,"[4, 4, 4]",0.06170082497443319,573.6321608103094,PBE,-0.14495163561316612,1.898481978439535,2.1676597720332107,205.75197990526993,"[650.6108067616585, 209.35501870469216, 132.87404266647957]",0.13239203769795993,0.0,1e-06,-921.329670148737,True,True
DFT_Ni_0078,Ni,492.4801263960865,3.3400887874523786,FCC,3.52,"[4, 4, 4]",0.08559575339264801,445.7250323049847,PBE0,-0.1129227302597802,1.4377601589748252,2.1727328291402155,198.94217037526244,"[688.6015757845825, 196.19438181592713, 129.63640638921035]",0.000515845272401674,0.0,1e-06,-919.6200519758459,True,True
DFT_Ni_0079,Ni,1281.5604289428748,8.32134177957742,FCC,3.52,"[4, 4, 4]",0.06319883037726844,555.9690790302287,LDA,-0.17633325888308884,1.5980675351689562,2.245404481185539,190.07071293567128,"[661.6715387194771, 200.09226935752068, 76.77363463114351]",0.10051375279415505,0.0,1e-06,-858.3285258672092,True,True
DFT_Ni_0080,Ni,322.11326248586096,4.322407838925123,FCC,3.52,"[4, 4, 4]",0.033310206954581784,554.1968585064271,PBE,-0.19096641427909788,1.9064701304122393,2.215004177078079,195.30736899799712,"[642.3282387714187, 169.82002884502944, 118.81360582757402]",0.2943099753200413,0.0,1e-06,-708.9147699118633,True,True
