material,defect_type,temperature_K,formation_energy_eV,lattice_parameter_A,defect_volume_A3,charge_state,convergence_tolerance,k_points,energy_cutoff_eV
Ni,substitutional,1373.95,1.1257,3.9269,20.838,1,2.58e-06,4x4x4,600
Ni,divacancy,782.7,3.4871,2.968,41.0,-2,9.67e-06,6x4x8,700
Steel-316,vacancy,1041.88,2.8095,2.8973,31.585,-2,7.6e-06,8x8x6,600
Cr,vacancy,738.41,2.3383,3.5528,46.851,-2,4.26e-06,6x4x4,600
Steel-316,interstitial,1330.15,2.1726,3.9735,22.1,1,4.53e-06,8x8x6,400
Ti,vacancy,521.77,2.0531,3.3271,31.708,-1,2.39e-06,6x4x8,500
Cu,divacancy,814.08,2.776,2.9157,14.979,2,4.94e-06,4x8x4,500
Ni,vacancy,1341.58,1.7252,3.056,16.677,0,1.41e-06,6x8x4,700
Steel-316,substitutional,572.24,1.6671,3.9676,13.595,1,7.4e-06,4x8x8,600
Cu,substitutional,997.82,2.1869,3.2185,28.094,-1,2e-06,6x8x8,400
Inconel-718,interstitial,1027.48,4.8825,2.8251,15.0,-2,7.66e-06,6x6x4,700
Al,interstitial,753.89,2.6111,3.1137,22.5,1,7.78e-06,6x6x6,500
Al,vacancy,343.02,1.2478,3.4196,25.753,2,4.76e-06,4x4x4,400
Ti,vacancy,542.85,1.7531,4.1294,45.293,1,3.6e-06,6x4x6,700
Inconel-718,divacancy,624.2,3.0138,3.3605,44.781,2,1.44e-06,4x6x4,500
Cu,divacancy,860.89,2.9746,2.9766,19.199,1,3.57e-06,4x6x4,700
Cr,substitutional,1267.41,0.4433,2.9976,45.94,1,1.4e-06,8x4x6,500
Ti,divacancy,1196.29,2.6434,3.8782,48.546,0,6.33e-06,6x8x8,700
Ti,divacancy,735.54,2.9771,3.6983,49.916,-2,2.37e-06,8x6x6,700
Cr,vacancy,637.48,1.1355,3.7369,10.474,-2,9.37e-06,8x8x4,700
Ti,interstitial,1499.8,4.4684,3.6489,18.583,-2,7.19e-06,8x4x8,400
Steel-316,substitutional,928.98,0.9809,4.0637,47.874,-1,6.74e-06,6x6x8,400
Cr,substitutional,735.03,2.3882,3.6134,39.779,1,7.42e-06,6x4x8,600
Ni,vacancy,658.25,2.7274,3.9188,26.88,2,1.44e-06,6x4x6,600
Cu,divacancy,526.52,3.0831,3.5778,20.633,-2,7.97e-06,4x4x8,500
Al,vacancy,989.84,2.1665,3.6819,11.811,2,3.62e-06,4x6x6,400
Cr,interstitial,413.17,3.2865,3.8639,22.339,2,2.75e-06,6x6x8,500
Ni,divacancy,697.82,1.1514,3.5007,14.688,1,9.98e-06,4x8x6,600
Ti,interstitial,793.83,3.2526,3.82,15.639,1,5.28e-06,8x8x4,500
Fe,substitutional,986.97,1.4823,3.984,10.006,2,7.84e-06,8x4x6,400
Fe,vacancy,1368.2,1.3752,3.6273,13.356,0,4.19e-06,4x8x6,600
Cu,divacancy,1495.53,4.0329,3.6544,48.439,1,2.32e-06,6x6x8,600
Ti,substitutional,469.77,1.6552,3.6079,30.577,-1,1.58e-06,4x4x8,600
Cu,vacancy,727.34,1.7674,2.9366,47.074,0,8.06e-06,8x8x6,400
Inconel-718,substitutional,1485.1,0.5159,2.8034,28.278,-2,3.99e-06,6x6x4,700
Al,interstitial,800.16,5.7953,3.3145,36.695,-1,7.96e-06,8x4x8,500
Steel-316,interstitial,1356.76,3.7373,3.9811,10.355,-1,8.01e-06,4x6x8,400
Fe,interstitial,1450.55,4.3346,3.9667,42.462,2,9.19e-06,8x4x6,700
Cr,divacancy,327.46,2.969,3.1293,16.731,1,1.67e-06,4x8x8,400
Ni,substitutional,1087.98,1.3882,3.4351,25.709,-2,8.47e-06,8x6x4,700
Cu,divacancy,1248.22,3.3437,4.0434,40.254,-2,6.07e-06,8x8x8,600
Ti,divacancy,1101.84,1.7816,3.2225,37.725,-1,6.66e-06,6x6x8,600
Inconel-718,vacancy,1438.02,1.3702,3.8058,48.171,-1,1.94e-06,6x6x4,400
Inconel-718,vacancy,858.59,1.9132,4.0086,29.907,-2,8.15e-06,4x4x6,500
Fe,divacancy,1320.68,1.9584,4.0167,13.804,-2,8.77e-06,8x4x6,400
Ni,vacancy,778.04,1.4281,3.3252,49.93,-1,1.58e-06,4x8x4,600
Fe,divacancy,992.57,1.3047,3.9443,18.697,2,1.03e-06,6x8x8,400
Cu,interstitial,959.51,2.2924,3.8998,23.856,-1,2.59e-06,6x4x4,600
Fe,vacancy,1327.95,2.5826,3.7988,40.607,-1,8.83e-06,4x4x6,500
Ti,vacancy,448.09,0.5901,3.5521,40.939,0,4.43e-06,8x8x4,700
Ni,substitutional,703.29,2.3377,2.871,43.376,0,3.87e-06,4x6x4,500
Al,interstitial,748.76,3.3156,3.0876,46.626,1,9.55e-06,4x4x6,400
Steel-316,divacancy,389.17,3.9003,3.3476,42.951,0,5.58e-06,8x4x4,400
Cu,substitutional,1145.76,2.0974,3.4472,45.293,1,4.3e-06,4x4x4,500
Fe,substitutional,1341.94,2.0292,3.0941,31.354,2,9.71e-06,6x8x6,500
Fe,vacancy,1036.42,2.0646,3.4913,49.306,0,4.36e-06,8x6x4,600
Cu,substitutional,815.61,1.0968,3.4249,37.67,-1,4.52e-06,4x6x8,600
Ni,vacancy,1014.78,1.9606,3.7287,31.509,0,1.54e-06,8x6x6,700
Ti,interstitial,317.14,3.2152,3.7835,31.442,0,8.47e-06,8x4x8,500
Al,divacancy,563.66,2.6661,3.8595,22.05,-1,6.12e-06,4x8x8,600
Al,vacancy,928.59,2.4374,4.0576,30.071,-2,3.22e-06,4x4x4,600
Inconel-718,interstitial,790.11,3.3927,4.0091,40.961,0,4.65e-06,8x4x6,400
Cu,interstitial,571.6,4.923,3.1871,15.884,0,1.25e-06,8x4x6,600
Ni,vacancy,980.0,2.4133,3.6208,34.973,1,3.84e-06,6x8x6,400
Inconel-718,substitutional,1079.51,2.0819,3.7925,35.765,0,5.75e-06,6x6x6,500
Cu,substitutional,1067.05,0.2389,3.0388,49.72,1,2.35e-06,4x8x8,500
Ni,divacancy,699.16,3.5374,3.3418,28.064,0,9.96e-06,4x8x4,600
Fe,substitutional,918.39,0.2453,3.8754,47.921,2,2.97e-06,4x8x8,500
Fe,interstitial,1086.75,3.8555,2.8354,30.183,1,2.85e-06,6x8x8,700
Ni,divacancy,1060.6,3.6523,2.8778,18.001,1,7.02e-06,4x8x4,500
Ni,divacancy,1282.58,2.9648,3.4373,44.266,0,1.09e-06,4x8x6,500
Inconel-718,interstitial,798.7,4.4177,3.6899,17.066,-1,7.66e-06,6x6x6,500
Cr,divacancy,1252.14,2.2104,2.8709,42.702,0,7.93e-06,8x6x6,500
Fe,interstitial,664.98,3.5473,3.8247,38.22,2,3.51e-06,6x8x6,500
Cr,interstitial,1397.68,5.4747,3.2163,27.708,2,2.14e-06,4x4x6,500
Fe,substitutional,393.39,1.3371,3.9634,36.766,2,2.34e-06,6x8x6,500
Cr,divacancy,379.2,2.231,3.9578,30.467,0,7.18e-06,8x6x4,500
Ti,interstitial,1234.75,4.9441,3.0303,33.317,-1,7.03e-06,4x8x8,500
Ni,vacancy,514.39,2.9079,3.0016,15.12,1,3.03e-06,4x4x6,700
Al,vacancy,336.82,2.9535,3.7522,18.93,-1,1.93e-06,4x4x6,500
Inconel-718,interstitial,803.54,5.1366,3.679,25.933,2,2.79e-06,6x8x4,700
Ti,substitutional,1461.67,0.8368,2.9842,49.534,-1,8.42e-06,6x6x6,600
Steel-316,interstitial,435.06,4.4554,3.942,47.569,1,7.97e-06,6x4x4,400
Inconel-718,interstitial,992.94,4.4584,3.7938,19.887,-1,9e-06,6x8x8,400
Cr,vacancy,1251.72,2.7046,3.7273,47.565,-1,5e-06,8x4x8,400
Ti,vacancy,1298.71,1.6902,3.7346,37.766,1,9.06e-06,8x8x6,500
Inconel-718,vacancy,1196.39,2.4973,3.4919,21.859,2,8.92e-06,8x4x4,700
Cr,substitutional,1268.28,2.3496,3.0673,21.658,-2,7.28e-06,4x6x4,400
Cr,substitutional,1282.45,1.3428,4.1208,22.279,2,2.86e-06,8x4x8,400
Steel-316,interstitial,383.2,4.3244,3.3895,19.641,-2,6.11e-06,8x4x8,600
Steel-316,vacancy,319.03,0.8623,3.8605,27.422,2,6.04e-06,8x4x4,700
Fe,substitutional,1188.84,2.1885,4.0266,18.007,-2,9.87e-06,4x8x8,600
Ti,divacancy,1380.11,3.5101,2.9293,26.301,-1,6.13e-06,8x6x4,500
Cu,interstitial,1433.15,4.8974,4.0891,37.951,-2,6.41e-06,8x8x8,700
Inconel-718,interstitial,430.34,5.3152,3.8073,31.01,2,1.49e-06,4x6x6,500
Steel-316,substitutional,833.33,0.646,2.873,44.25,0,9.29e-06,4x8x6,400
Ti,vacancy,913.71,1.5685,4.0737,42.539,-2,1.98e-06,8x8x6,400
Ti,vacancy,785.26,2.8961,3.8056,13.553,-2,6.87e-06,6x8x4,600
Al,vacancy,410.65,2.3651,4.0697,23.016,-2,3.28e-06,4x6x8,700
Inconel-718,substitutional,1421.93,1.8846,3.8864,11.166,2,4.99e-06,6x6x8,500
Fe,vacancy,902.46,0.6216,3.3175,41.393,-1,9.66e-06,8x8x6,500
Cr,substitutional,1047.0,2.0797,3.1256,42.667,-1,5.73e-06,4x4x4,400
Cu,divacancy,1005.28,1.3129,2.994,16.144,-2,2.86e-06,6x8x4,400
Cu,substitutional,671.72,1.4628,3.3986,14.442,2,4.35e-06,8x4x6,700
Inconel-718,interstitial,960.12,3.2695,3.098,36.746,2,2.05e-06,6x4x6,600
Ni,interstitial,1041.61,5.7819,3.8411,11.694,0,5.33e-06,8x6x8,400
Ti,interstitial,1111.0,2.6824,2.8483,10.906,-2,8.66e-06,6x8x6,600
Ni,vacancy,519.81,2.7941,2.8078,20.988,1,4.8e-06,4x4x4,600
Steel-316,interstitial,1421.68,3.7664,3.7799,16.621,-1,5.44e-06,8x6x4,400
Ti,interstitial,512.56,5.95,3.7112,36.001,-2,2.33e-06,6x4x4,600
Steel-316,vacancy,1285.87,0.6771,4.1575,35.245,1,2.79e-06,4x4x8,400
Al,interstitial,1336.16,2.7162,3.582,10.339,1,6e-06,8x6x8,400
Ti,substitutional,977.53,2.4199,3.6727,49.863,1,6.51e-06,8x4x4,400
Cr,substitutional,446.81,0.7872,3.6262,41.096,2,4.37e-06,6x4x8,600
Cr,vacancy,918.06,1.7593,3.4474,15.645,-2,4.06e-06,4x4x8,700
Inconel-718,interstitial,1056.97,2.2621,3.4463,41.453,2,9.06e-06,8x8x4,500
Ni,vacancy,435.3,1.24,3.099,10.075,1,4.31e-06,6x6x8,700
Al,vacancy,411.06,1.6016,3.5868,18.624,0,2.39e-06,6x8x6,700
Inconel-718,vacancy,485.74,0.9964,3.1594,37.87,2,8.04e-06,4x8x8,400
Cu,interstitial,1063.65,5.3933,2.9314,26.373,2,3.84e-06,6x8x4,500
Steel-316,substitutional,899.03,1.8103,3.393,26.46,0,8.51e-06,6x8x6,700
Ti,substitutional,1482.83,2.3079,3.5502,17.716,1,5.73e-06,4x6x4,500
Steel-316,divacancy,484.4,1.4132,4.0534,48.867,1,7.59e-06,8x4x8,500
Al,vacancy,1477.13,1.7209,3.8361,23.459,-2,7e-06,6x8x6,700
Ni,vacancy,1356.39,1.6578,2.9238,39.919,0,7e-06,4x8x4,600
Steel-316,vacancy,942.38,2.5277,3.632,28.255,-1,6.88e-06,6x8x6,500
Steel-316,substitutional,341.16,2.3177,3.0697,44.58,1,2e-06,4x8x8,400
Cu,divacancy,1414.11,1.1176,3.7302,18.793,-2,3.22e-06,6x4x4,700
Cu,substitutional,1452.86,1.4139,3.593,45.408,0,7.44e-06,4x6x6,500
Cr,substitutional,829.44,1.1208,4.1042,40.505,2,6.45e-06,8x6x4,600
Fe,divacancy,1317.33,2.6375,3.8568,13.994,-2,7.81e-06,4x8x6,600
Inconel-718,interstitial,1289.97,4.8347,3.7546,38.848,-2,9.62e-06,8x4x8,500
Steel-316,interstitial,988.1,5.6208,3.0264,29.994,0,7.39e-06,4x4x6,700
Ni,interstitial,1169.25,5.4685,3.368,12.837,-1,4.33e-06,6x6x4,500
Ti,divacancy,975.26,1.1215,2.9327,15.971,-2,8.14e-06,8x8x4,700
Steel-316,vacancy,967.18,1.2664,3.4778,24.103,2,6.47e-06,6x8x8,500
Ni,divacancy,1149.2,1.8096,3.7115,21.669,1,2.62e-06,8x4x6,500
Cr,divacancy,580.84,2.8774,3.9524,34.516,2,4.75e-06,4x8x8,700
Ti,interstitial,519.36,4.6169,3.0966,39.517,-1,6.66e-06,6x4x6,400
Fe,vacancy,1203.62,2.7301,3.3607,46.572,2,9.43e-06,8x4x4,500
Inconel-718,substitutional,628.4,0.3543,3.0654,40.551,0,7.72e-06,8x8x8,600
Al,vacancy,614.68,2.6955,3.6227,17.549,0,9.8e-06,4x4x8,700
Ni,divacancy,581.65,2.9084,3.268,15.597,-2,3.28e-06,4x8x4,700
Ti,vacancy,863.18,1.9559,2.9969,40.245,1,4.83e-06,8x6x4,400
Al,interstitial,1333.22,3.0554,4.1684,30.2,0,2.37e-06,6x4x8,600
Ti,divacancy,1108.62,4.1101,3.0219,15.377,-1,2.78e-06,6x4x8,500
Inconel-718,interstitial,372.09,5.18,3.5529,21.947,-2,9.78e-06,4x6x6,400
Inconel-718,divacancy,1009.37,3.0134,2.8136,34.635,0,1.97e-06,4x6x8,400
Cu,divacancy,948.26,3.8927,3.2157,25.903,2,4.62e-06,8x4x4,700
Ti,substitutional,647.28,1.5285,3.2933,29.119,-1,3.53e-06,8x6x6,400
Fe,vacancy,455.66,1.4577,3.7078,22.089,-2,6.46e-06,8x6x8,700
Ni,interstitial,557.3,4.5003,3.1148,12.676,2,4.24e-06,8x8x4,500
Al,divacancy,728.85,1.3566,3.999,38.882,-1,2.68e-06,8x6x8,600
Ni,vacancy,1230.87,1.6791,3.8693,12.911,-1,7.53e-06,8x8x6,600
Ni,divacancy,702.02,3.0405,3.6356,12.643,-1,5.93e-06,4x8x8,700
Ti,interstitial,1078.99,3.298,3.7046,44.385,-2,3.19e-06,8x4x6,400
Ni,vacancy,1108.27,1.812,3.3918,43.933,-1,8.87e-06,4x6x4,700
Ti,substitutional,1256.04,0.5956,3.6098,42.166,-1,2.89e-06,6x8x4,400
Inconel-718,interstitial,718.28,4.9296,3.628,38.84,0,2.32e-06,8x6x4,700
Fe,interstitial,1499.42,2.8923,2.8411,12.351,-2,5.2e-06,6x6x6,400
Al,substitutional,860.43,0.492,2.8696,15.567,2,2e-06,6x6x6,700
Fe,vacancy,1384.54,2.8446,3.4395,27.866,1,9.63e-06,6x6x4,600
Ni,vacancy,410.5,2.1746,3.6497,39.747,2,8.36e-06,8x6x4,400
Cr,vacancy,564.0,0.8169,2.8294,13.159,2,6.07e-06,8x8x4,500
Inconel-718,divacancy,1402.27,1.6028,3.8683,13.648,1,2.96e-06,6x8x4,500
Inconel-718,divacancy,873.08,2.8696,3.0313,45.007,0,3.33e-06,4x8x4,400
Steel-316,vacancy,419.07,2.2415,3.0858,41.364,0,6.29e-06,8x4x4,700
Ti,substitutional,1399.61,2.2777,2.9272,48.415,1,6.07e-06,6x4x8,500
Steel-316,vacancy,467.94,1.0221,3.6039,16.34,1,6.68e-06,8x4x8,700
Steel-316,vacancy,887.68,0.6354,3.8392,15.071,-1,4.08e-06,8x4x6,700
Cr,divacancy,798.15,4.2611,3.5635,46.388,1,4.82e-06,4x4x8,400
Cu,divacancy,1385.75,3.5676,3.7827,13.124,0,9.51e-06,6x6x8,600
Steel-316,divacancy,595.84,1.0739,3.6559,19.98,2,5.48e-06,6x8x6,700
Cu,vacancy,590.03,1.4303,3.3917,17.395,2,6.34e-06,6x6x6,600
Inconel-718,divacancy,1086.49,0.8586,3.993,49.655,-1,2.85e-06,8x8x6,600
Al,divacancy,1012.05,2.5551,2.8868,22.863,1,3.42e-06,4x4x6,600
Fe,vacancy,1089.6,2.2107,3.7409,45.564,2,4.29e-06,6x6x8,600
Inconel-718,divacancy,694.55,4.2235,3.7367,42.742,-2,5.11e-06,6x6x6,500
Fe,substitutional,554.18,2.0998,3.5963,15.933,-2,3.53e-06,6x6x8,500
Inconel-718,vacancy,340.01,2.6656,3.5279,27.77,2,5.92e-06,6x4x6,600
Inconel-718,vacancy,423.09,2.3559,3.3373,27.278,-2,8.73e-06,8x8x6,600
Inconel-718,divacancy,642.06,1.8262,3.7461,19.601,-2,1.15e-06,8x6x4,400
Steel-316,vacancy,1145.97,1.095,3.3644,34.607,0,5.06e-06,8x6x6,400
Fe,divacancy,343.1,2.5,3.6025,34.22,-2,6.93e-06,8x4x8,400
Fe,divacancy,898.35,2.4725,3.7098,45.554,-1,7.98e-06,8x6x6,500
Inconel-718,substitutional,884.07,2.3407,2.9177,21.432,2,6.07e-06,6x4x8,400
Cu,substitutional,336.54,2.4917,4.1871,11.927,2,9.69e-06,6x6x4,500
Al,substitutional,345.16,0.5039,3.7536,37.257,-2,5.77e-06,6x4x6,700
Al,interstitial,560.51,3.3703,3.344,49.924,1,4.85e-06,8x4x8,600
Ti,divacancy,335.49,1.5061,4.0598,39.632,1,2e-06,4x6x8,600
Inconel-718,interstitial,1053.0,5.1921,4.1857,20.834,2,4.51e-06,4x6x8,500
Ti,substitutional,1188.07,2.3243,3.6527,16.126,2,7.28e-06,4x8x8,500
Al,divacancy,992.11,3.2936,3.0257,25.601,0,2.23e-06,6x8x4,500
Cr,interstitial,993.41,5.8702,3.4095,25.041,-2,7.65e-06,6x6x4,600
Inconel-718,divacancy,330.95,3.489,3.7548,39.664,2,9.64e-06,6x4x8,700
Ti,substitutional,441.04,0.9949,3.1206,37.568,-2,6.38e-06,8x8x8,600
Ni,divacancy,713.27,2.1539,3.9931,24.459,-2,1.4e-06,6x6x8,400
Ti,substitutional,1282.36,1.0891,2.9488,13.727,-2,7.56e-06,4x8x4,400
Al,vacancy,676.69,0.9725,4.1555,17.912,0,7.49e-06,4x6x4,400
Inconel-718,vacancy,1209.02,2.5189,3.5317,36.09,-2,8.55e-06,6x8x8,400
Ni,interstitial,405.75,4.4435,2.8969,44.063,0,5.35e-06,6x8x8,500
Inconel-718,substitutional,481.6,1.0057,3.9951,29.747,2,5.98e-06,8x8x6,600
Cr,interstitial,305.99,5.1073,4.0739,34.174,0,8.91e-06,6x4x6,400
Cu,substitutional,346.51,1.5342,3.4084,28.918,2,5.55e-06,4x6x8,700
Cr,vacancy,423.17,0.5304,4.1635,21.7,1,2.16e-06,4x6x6,500
Cu,divacancy,901.25,1.5262,3.0185,44.266,-2,2.79e-06,6x4x6,700
Ti,vacancy,743.99,2.6112,3.8858,21.041,1,1.2e-06,8x8x4,600
Fe,divacancy,1235.41,1.5166,3.3287,39.536,2,5.34e-06,4x8x4,600
Ni,divacancy,1069.23,3.6023,3.9698,48.513,2,9.08e-06,8x8x4,500
Inconel-718,divacancy,1288.6,3.7108,2.8895,38.88,2,9.67e-06,4x4x6,400
Cu,divacancy,538.3,0.9409,3.6343,17.016,0,7.61e-06,6x4x8,500
Al,vacancy,1260.65,2.6474,3.1161,11.356,0,6.35e-06,4x4x4,600
Al,interstitial,744.5,2.0343,3.5961,13.878,0,8.66e-06,4x8x8,600
Steel-316,interstitial,833.15,5.1262,3.1598,30.914,0,2.7e-06,8x8x4,600
Ti,divacancy,665.95,2.0172,3.2083,38.155,0,5.66e-06,8x8x4,700
Al,divacancy,545.48,1.3505,3.783,19.215,0,2.85e-06,4x8x4,700
Al,divacancy,1134.72,1.564,3.3069,14.384,1,9.09e-06,4x6x8,500
Ni,substitutional,1208.74,1.3389,3.8999,44.889,2,2.34e-06,6x4x4,700
Al,substitutional,491.95,1.7879,3.1971,20.364,0,3.59e-06,8x6x6,400
Inconel-718,divacancy,334.08,2.0706,2.8377,17.445,2,8.18e-06,6x8x4,400
Ni,interstitial,516.66,3.2402,4.0376,11.416,-1,7.13e-06,6x8x8,700
Steel-316,vacancy,663.68,2.1636,2.925,46.749,2,4.5e-06,8x4x6,500
Cu,divacancy,333.49,3.4886,3.5096,19.545,1,6.34e-06,4x8x8,700
Ti,interstitial,836.2,4.087,3.9512,14.899,0,6.72e-06,8x4x6,500
Cu,vacancy,324.77,1.4814,3.1362,46.462,0,6.36e-06,6x4x8,500
Al,interstitial,1192.91,3.633,2.8098,34.252,1,3.89e-06,8x8x8,700
Cu,interstitial,628.27,2.3118,2.8052,18.685,-1,7.04e-06,6x4x8,500
Ti,interstitial,366.23,2.8258,3.9258,40.191,1,7.64e-06,6x4x6,500
Al,interstitial,1459.82,5.3614,3.899,35.464,-2,4.79e-06,8x4x6,600
Fe,divacancy,1417.25,2.8191,3.3802,18.608,1,3.23e-06,4x4x4,400
Al,substitutional,1336.92,2.0358,3.8409,46.986,0,3.67e-06,4x8x4,700
Inconel-718,substitutional,973.17,2.2959,3.9685,33.08,1,6.45e-06,4x4x6,700
Al,interstitial,453.63,4.3691,2.9591,38.162,-2,9e-06,4x8x8,600
Fe,vacancy,1043.23,2.8241,3.2909,47.442,2,6.5e-06,6x6x6,500
Ti,interstitial,437.91,2.2907,4.1571,48.72,0,4.77e-06,6x6x8,700
Cu,divacancy,557.3,3.8523,3.6127,45.925,-1,4.51e-06,8x4x6,500
