frequency,stokes_kirchhoff_attenuation,navier_stokes_attenuation,thermoacoustic_attenuation,multiphase_attenuation,interface_scattering_attenuation,mode_conversion_attenuation,wavelength
517.9474679231213,5.230053575876881e-10,2.3535241091445967e-09,3.1380321455261284e-10,0.0003536305904380763,0.0006706739488199319,0.00013835242980715943,2.8960465933248742
625.0551925273969,7.616780562478218e-10,3.427551253115198e-09,4.5700683374869304e-10,0.00046881209296409815,0.0009767349842636532,0.0001940553257930744,2.3997880794090887
754.3120063354615,1.1092686775626227e-09,4.991709049031803e-09,6.655612065375738e-10,0.0006215095199685921,0.0014224665072545737,0.00027218509657650876,1.988567048385164
910.2981779915218,1.6154817497081442e-09,7.26966787368665e-09,9.692890498248867e-10,0.0008239422344448156,0.002071606932136711,0.00038177115982563443,1.6478117129813374
1098.5411419875584,2.352704386618502e-09,1.0587169739783258e-08,1.4116226319711014e-09,0.0010923095847932024,0.003016981601598322,0.0005354783208478916,1.3654472669872826
1325.7113655901082,3.4263574514623484e-09,1.5418608531580565e-08,2.0558144708774087e-09,0.0014480872313033602,0.004393776562136974,0.0007510704376649035,1.1314680095031933
1599.8587196060573,4.989970457812234e-09,2.2454867060155055e-08,2.99398227468734e-09,0.0019197457009047778,0.006398869806748833,0.0010534633810028533,0.9375827887910965
1930.6977288832495,7.267135879011035e-09,3.2702111455549655e-08,4.360281527406621e-09,0.0025450286947322153,0.009318984300787345,0.0014776045487348859,0.776921201884682
2329.951810515372,1.0583482273192388e-08,4.762567022936575e-08,6.350089363915434e-09,0.0033739734663594595,0.01357168859830965,0.002072511718787606,0.6437901390193167
2811.768697974228,1.5413238295225115e-08,6.935957232851301e-08,9.247942977135068e-09,0.0044729149715521865,0.019765108027269218,0.0029069380086773253,0.5334720459334699
3393.221771895326,2.2447046124614968e-08,1.0101170756076736e-07,1.3468227674768981e-08,0.005929794215104894,0.028784884983161143,0.004077317638153684,0.4420577553827719
4094.915062380423,3.269072144798321e-08,1.4710824651592445e-07,1.9614432868789926e-08,0.007861195586575042,0.041920823420275165,0.005718910782677264,0.3663079641822979
4941.713361323833,4.760908240918763e-08,2.1424087084134435e-07,2.8565449445512578e-08,0.010421676336249342,0.06105132736371624,0.008021435522750291,0.30353844715877365
5963.623316594642,6.933541468185169e-08,3.120093660683325e-07,4.160124880911101e-08,0.013816134767467242,0.0889120076555782,0.011250993465493155,0.25152494052165125
7196.856730011514,1.0097652560883192e-07,4.543943652397436e-07,6.058591536529915e-08,0.018316206889755958,0.12948686698078005,0.015780822971343613,0.20842432415597084
8685.11373751352,1.4705700933378776e-07,6.617565420020449e-07,8.823420560027266e-08,0.024282003648249346,0.1885780015838652,0.022134434120566874,0.1727093098989672
10481.131341546852,2.1416625164914813e-07,9.637481324211665e-07,1.2849975098948887e-07,0.03219092821578466,0.2746352854968893,0.031046110505604463,0.14311432145249917
12648.552168552958,3.1190069452138526e-07,1.4035531253462337e-06,1.8714041671283116e-07,0.04267587940456107,0.3999646799015144,0.043545770010474466,0.11859064816361552
15264.179671752303,4.542361015977983e-07,2.044062457190092e-06,2.7254166095867895e-07,0.05657589836317932,0.5824879526288406,0.06107799189411573,0.09826928352893284
18420.699693267165,6.615260549880569e-07,2.9768672474462565e-06,3.969156329928341e-07,0.07500331147853792,0.8483054429738325,0.08566896607685102,0.08143013158985789
22229.96482526191,9.634124630092572e-07,4.335356083541657e-06,5.780474778055544e-07,0.09943274248399256,1.2354283403309547,0.12016065887365321,0.0674764900345418
26826.95795279727,1.4030642737092608e-06,6.3137892316916736e-06,8.418385642255565e-07,0.13181911682282382,1.799214182502882,0.1685392575883097,0.05591390580472407
32374.5754281764,2.043350518852863e-06,9.195077334837884e-06,1.2260103113117179e-06,0.17475410137406744,2.6202828353867074,0.2363958521423078,0.046332653947162274
39069.399370546125,2.975830417132745e-06,1.3391236877097352e-05,1.785498250279647e-06,0.23167349837508733,3.816044917938075,0.3315725944788084,0.03839321884049308
47148.663634573895,4.3338460972931655e-06,1.9502307437819245e-05,2.6003076583758996e-06,0.3071321899018751,5.557491206315477,0.4650690120536692,0.03181426331880289
56898.66029018293,6.311590165517613e-06,2.840215574482926e-05,3.786954099310568e-06,0.4071686348914958,8.0936438570441,0.6523132176003751,0.026362659372821895
68664.88450042998,9.191874728163401e-06,4.13634362767353e-05,5.515124836898041e-06,0.5397880869874654,11.787165908643473,0.9149449282315328,0.021845227162518667
82864.27728546843,1.338657276574294e-05,6.023957744584323e-05,8.031943659445764e-06,0.7156032019294257,17.166221125107498,1.283316356482984,0.018101889609589934
100000.0,1.949551486634935e-05,8.772981689857207e-05,1.169730891980961e-05,0.9486832980505138,25.0,1.800000000000001,0.015
