Specimen_ID,Mix_ID,Target_Temperature_C,Sensor_Depth_mm,Time_min,Temperature_C,Pore_Pressure_MPa,Steam_Pressure_MPa,Gas_Pressure_MPa,Pressure_Gradient_MPa_mm,Sensor_Status,Test_Date,Operator,Notes
PP-RC10-400-1,RC-10,400,10,40,400,0.95,0.79,0.16,0.095,Active,2024-04-09,Tech_A,Controlled pressure rise
PP-RC10-400-1,RC-10,400,10,50,400,1.15,0.96,0.19,0.115,Active,2024-04-09,Tech_A,Stable pressure
PP-RC10-400-1,RC-10,400,10,60,400,1.25,1.04,0.21,0.125,Active,2024-04-09,Tech_A,Lower than control
PP-RC20-600-1,RC-20,600,10,0,23,0.00,0.00,0.00,0.000,Active,2024-04-10,Tech_B,20% rubber mix
PP-RC20-600-1,RC-20,600,10,10,125,0.18,0.15,0.03,0.018,Active,2024-04-10,Tech_B,Moderate pressure rise
PP-RC20-600-1,RC-20,600,10,20,225,0.55,0.46,0.09,0.055,Active,2024-04-10,Tech_B,Controlled buildup
PP-RC20-600-1,RC-20,600,10,30,325,1.05,0.87,0.18,0.105,Active,2024-04-10,Tech_B,Significant pressure reduction
PP-RC20-600-1,RC-20,600,10,40,450,1.65,1.36,0.29,0.165,Active,2024-04-10,Tech_B,Much lower than control
PP-RC20-600-1,RC-20,600,10,50,550,2.15,1.77,0.38,0.215,Active,2024-04-10,Tech_B,Pressure plateau
PP-RC20-600-1,RC-20,600,10,60,600,2.45,2.02,0.43,0.245,Active,2024-04-10,Tech_B,Stable high pressure
PP-RC30-800-1,RC-30,800,10,0,23,0.00,0.00,0.00,0.000,Active,2024-04-11,Tech_A,30% rubber mix
PP-RC30-800-1,RC-30,800,10,10,125,0.15,0.12,0.03,0.015,Active,2024-04-11,Tech_A,Low initial pressure
PP-RC30-800-1,RC-30,800,10,20,225,0.45,0.37,0.08,0.045,Active,2024-04-11,Tech_A,Gradual increase
PP-RC30-800-1,RC-30,800,10,30,325,0.85,0.70,0.15,0.085,Active,2024-04-11,Tech_A,Moderate pressure
PP-RC30-800-1,RC-30,800,10,40,450,1.35,1.11,0.24,0.135,Active,2024-04-11,Tech_A,Controlled pressure
PP-RC30-800-1,RC-30,800,10,50,600,1.85,1.52,0.33,0.185,Active,2024-04-11,Tech_A,Steady rise
PP-RC30-800-1,RC-30,800,10,60,750,2.35,1.93,0.42,0.235,Active,2024-04-11,Tech_A,High but controlled
PP-RC30-800-1,RC-30,800,10,70,800,2.75,2.26,0.49,0.275,Active,2024-04-11,Tech_A,Peak pressure - no spalling
