Specimen_ID,Mix_ID,Peak_Temperature_C,Heating_Rate,Cooling_Method,Test_Type,Exposure_Duration_hours,Mass_Loss_pct,UPV_mps,Residual_Compressive_Strength_MPa,Residual_Elastic_Modulus_MPa,Strength_Retention_pct,Spalling_Occurred,Spalling_Depth_mm,Visual_Cracking_Rating,Color_Change,Test_Date
C-28-R-400-F-10-1,C,400,10_C_per_min,Furnace,Residual,2,4.4379299959307925,1875.2124455387077,26.054492148627077,16023.5690405568,38.5,True,10.961892879281754,Severe,Light gray to pink,2024-11-09
C-28-R-400-F-10-2,C,400,10_C_per_min,Furnace,Residual,2,3.975948132036901,1936.5418239702858,26.21038805394576,16782.44731831791,38.5,True,22.675171274403546,Severe,Light gray to pink,2024-09-13
C-28-R-400-F-10-3,C,400,10_C_per_min,Furnace,Residual,2,4.89730924258268,1855.4136321135738,28.080777987791382,16963.739885061117,38.5,True,22.482030883636753,Moderate,Light gray to pink,2024-01-25
C-28-R-400-Q-5-1,C,400,5_C_per_min,Quench,Residual,2,3.257018023093028,1871.0051637199876,27.091448788953578,11679.206170371974,46.75,False,0.0,Moderate,Light gray to pink,2024-07-19
C-28-R-400-Q-5-2,C,400,5_C_per_min,Quench,Residual,2,3.842492285492827,1967.6059187712192,25.515202007243115,12337.61518107082,46.75,False,0.0,Moderate,Light gray to pink,2024-01-20
C-28-R-400-Q-5-3,C,400,5_C_per_min,Quench,Residual,2,3.8614673778256323,1933.12537407305,31.147144516414265,14159.1944647816,46.75,False,0.0,Moderate,Light gray to pink,2024-04-22
C-28-R-400-Q-10-1,C,400,10_C_per_min,Quench,Residual,2,4.390088683831236,1581.4441813396356,20.910460429740876,14359.298059832652,32.725,True,17.576431311138315,Moderate,Light gray to pink,2024-04-24
C-28-R-400-Q-10-2,C,400,10_C_per_min,Quench,Residual,2,3.3986266639425247,1531.015129975205,26.32980849775849,13072.378601809047,32.725,True,10.24406144636089,Moderate,Light gray to pink,2024-04-04
C-28-R-400-Q-10-3,C,400,10_C_per_min,Quench,Residual,2,4.0370453362131,1508.0103741332991,22.20366124900971,14147.218013735888,32.725,True,15.758592329514522,Moderate,Light gray to pink,2024-10-13
C-28-R-600-F-5-1,C,600,5_C_per_min,Furnace,Residual,3,4.379747987130304,500.0,6.861790978970082,1663.237740723823,9.999999999999998,False,0.0,Critical,Pink to light red,2024-05-24
C-28-R-600-F-5-2,C,600,5_C_per_min,Furnace,Residual,3,4.498838935498811,500.0,6.106976802272729,1899.91250230204,9.999999999999998,False,0.0,Moderate,Pink to light red,2024-07-25
C-28-R-600-F-5-3,C,600,5_C_per_min,Furnace,Residual,3,5.058127660035338,500.0,5.782415460110267,1646.0195581817654,9.999999999999998,False,0.0,Severe,Pink to light red,2024-05-09
C-28-R-600-F-10-1,C,600,10_C_per_min,Furnace,Residual,3,5.668889378882268,500.0,4.712838377137537,1695.603567137434,6.999999999999998,True,27.27036281225914,Critical,Pink to light red,2024-07-18
C-28-R-600-F-10-2,C,600,10_C_per_min,Furnace,Residual,3,5.9632685470891795,500.0,4.79343658823449,1758.1907021150828,6.999999999999998,True,14.964528855143037,Severe,Pink to light red,2024-04-06
C-28-R-600-F-10-3,C,600,10_C_per_min,Furnace,Residual,3,5.820380061992799,500.0,4.233327095474394,1858.0452541184457,6.999999999999998,True,29.510826313655127,Severe,Pink to light red,2024-04-22
C-28-R-600-Q-5-1,C,600,5_C_per_min,Quench,Residual,3,4.9746502486943855,500.0,5.50180127829143,1505.363887022212,8.499999999999998,False,0.0,Severe,Pink to light red,2024-07-19
C-28-R-600-Q-5-2,C,600,5_C_per_min,Quench,Residual,3,4.977106460367235,500.0,5.540297675360056,1397.5972866676796,8.499999999999998,False,0.0,Moderate,Pink to light red,2024-08-19
C-28-R-600-Q-5-3,C,600,5_C_per_min,Quench,Residual,3,4.182617126202798,500.0,6.059723297559545,1184.8579470920001,8.499999999999998,False,0.0,Severe,Pink to light red,2024-04-01
C-28-R-600-Q-10-1,C,600,10_C_per_min,Quench,Residual,3,6.295209123857738,500.0,3.6443190305625572,1391.0702946368053,5.949999999999998,True,20.531569333185875,Critical,Pink to light red,2024-07-28
C-28-R-600-Q-10-2,C,600,10_C_per_min,Quench,Residual,3,6.335113554483472,500.0,4.190991390630124,1225.8857259596466,5.949999999999998,True,21.90097959400841,Severe,Pink to light red,2024-05-03
C-28-R-600-Q-10-3,C,600,10_C_per_min,Quench,Residual,3,7.455652834385292,500.0,3.8614503643791087,1492.5608657944408,5.949999999999998,True,22.06394804353959,Critical,Pink to light red,2024-04-20
C-28-R-800-F-5-1,C,800,5_C_per_min,Furnace,Residual,3,6.779584805099766,500.0,8.792105195818113,3095.6308517764824,15.0,False,0.0,Severe,Light red to buff/yellow,2024-07-01
C-28-R-800-F-5-2,C,800,5_C_per_min,Furnace,Residual,3,6.991377292292417,503.1340245864447,9.87558772084921,2761.208120627702,15.0,False,0.0,Critical,Light red to buff/yellow,2024-04-11
C-28-R-800-F-5-3,C,800,5_C_per_min,Furnace,Residual,3,5.403757328944702,523.2164276390697,9.082163611357133,2733.024259846208,15.0,False,0.0,Critical,Light red to buff/yellow,2024-06-09
C-28-R-800-F-10-1,C,800,10_C_per_min,Furnace,Residual,3,9.128556478223715,500.0,5.792066377558691,2887.6999341386204,10.5,True,18.50427008938467,Severe,Light red to buff/yellow,2024-09-08
C-28-R-800-F-10-2,C,800,10_C_per_min,Furnace,Residual,3,8.83366832168731,500.0,6.309029314334865,3275.614755832607,10.5,True,12.645524222506609,Critical,Light red to buff/yellow,2024-02-23
C-28-R-800-F-10-3,C,800,10_C_per_min,Furnace,Residual,3,9.440492654229308,500.0,7.249253695071234,3081.9528028459854,10.5,True,11.343507998314202,Critical,Light red to buff/yellow,2024-06-26
C-28-R-800-Q-5-1,C,800,5_C_per_min,Quench,Residual,3,6.741352242090904,500.0,7.813412339381307,2433.268113996346,12.75,False,0.0,Severe,Light red to buff/yellow,2024-11-08
C-28-R-800-Q-5-2,C,800,5_C_per_min,Quench,Residual,3,8.983576402751234,500.0,8.646538864382835,2197.269224937551,12.75,False,0.0,Critical,Light red to buff/yellow,2024-05-28
C-28-R-800-Q-5-3,C,800,5_C_per_min,Quench,Residual,3,7.301602056662516,500.0,7.906779575052771,2596.727786802109,12.75,False,0.0,Severe,Light red to buff/yellow,2024-05-04
C-28-R-800-Q-10-1,C,800,10_C_per_min,Quench,Residual,3,9.362941898805127,500.0,5.623484066051255,2561.2859097379387,8.924999999999999,True,28.986135941155315,Critical,Light red to buff/yellow,2024-08-22
C-28-R-800-Q-10-2,C,800,10_C_per_min,Quench,Residual,3,9.42451018164052,500.0,5.703746350267973,2227.88119843339,8.924999999999999,False,0.0,Critical,Light red to buff/yellow,2024-01-27
C-28-R-800-Q-10-3,C,800,10_C_per_min,Quench,Residual,3,8.829691285409655,500.0,4.952536205520432,2529.6937394778924,8.924999999999999,False,0.0,Critical,Light red to buff/yellow,2024-09-11
R5S-28-R-23-F-5-1,R5S,23,5_C_per_min,Furnace,Residual,2,0.0,4371.428592512115,56.8675855525691,30670.46842138957,100.39314423307262,False,0.0,Minor,No change,2024-01-17
R5S-28-R-23-F-5-2,R5S,23,5_C_per_min,Furnace,Residual,2,0.0,4620.793762122449,55.091004233447194,30947.50361397095,101.80094941528321,False,0.0,Minor,No change,2024-05-17
R5S-28-R-23-F-5-3,R5S,23,5_C_per_min,Furnace,Residual,2,0.0,4156.436641366703,64.94852139324051,31758.637881279257,100.63513346684287,False,0.0,None,No change,2024-10-09
R5S-28-R-23-Q-5-1,R5S,23,5_C_per_min,Quench,Residual,2,0.0,4543.0743394964575,65.60892691026345,31615.363873150545,101.77623735874646,False,0.0,Minor,No change,2024-07-18
R5S-28-R-23-Q-5-2,R5S,23,5_C_per_min,Quench,Residual,2,0.0,4628.14395645625,60.768491645783385,29808.850510507014,100.98025819248089,False,0.0,None,No change,2024-08-03
R5S-28-R-23-Q-5-3,R5S,23,5_C_per_min,Quench,Residual,2,0.0,4805.467863732272,65.592692378388,30658.063827589325,100.24270877601407,False,0.0,None,No change,2024-07-15
R5S-28-R-200-F-5-1,R5S,200,5_C_per_min,Furnace,Residual,2,2.007391334780465,4688.113736510893,61.35134972995437,33207.71496158249,100.0,False,0.0,None,No change,2024-10-12
R5S-28-R-200-F-5-2,R5S,200,5_C_per_min,Furnace,Residual,2,1.6950346895445585,4817.103174041756,60.90054924738388,32613.441000352326,100.0,False,0.0,None,No change,2024-09-16
R5S-28-R-200-F-5-3,R5S,200,5_C_per_min,Furnace,Residual,2,2.069848521049365,4382.356493890515,58.34596627874818,33326.88464123267,100.0,False,0.0,None,No change,2024-03-13
R5S-28-R-200-Q-5-1,R5S,200,5_C_per_min,Quench,Residual,2,1.7688108217373748,3568.338092355158,45.89565995104217,23171.337243735576,85.0,False,0.0,None,No change,2024-01-21
R5S-28-R-200-Q-5-2,R5S,200,5_C_per_min,Quench,Residual,2,2.2711171593995685,3525.560700778124,51.28423876896138,24867.643926915065,85.0,False,0.0,None,No change,2024-10-05
R5S-28-R-200-Q-5-3,R5S,200,5_C_per_min,Quench,Residual,2,1.9565241980895907,3836.0009050551807,55.476592711353824,24208.16548372492,85.0,False,0.0,None,No change,2024-09-07
R5S-28-R-400-F-5-1,R5S,400,5_C_per_min,Furnace,Residual,2,4.064221614343588,2329.201627465393,31.267048776537045,13151.38485938998,51.0,False,0.0,Moderate,Light gray to pink,2024-02-25
R5S-28-R-400-F-5-2,R5S,400,5_C_per_min,Furnace,Residual,2,3.6982320847139256,2197.854915371559,29.317944627901653,12348.2136516504,51.0,False,0.0,Moderate,Light gray to pink,2024-07-17
R5S-28-R-400-F-5-3,R5S,400,5_C_per_min,Furnace,Residual,2,3.2788921540867513,2092.9212839654933,37.03158722284158,13133.88673625629,51.0,False,0.0,Moderate,Light gray to pink,2024-02-17
R5S-28-R-400-Q-5-1,R5S,400,5_C_per_min,Quench,Residual,2,4.03858593506471,1650.5113629762304,26.94872533833656,9988.278403989358,43.35,False,0.0,Moderate,Light gray to pink,2024-09-04
R5S-28-R-400-Q-5-2,R5S,400,5_C_per_min,Quench,Residual,2,4.187478531594328,1760.630570338612,24.465003283694305,10320.145968571971,43.35,False,0.0,Moderate,Light gray to pink,2024-09-03
R5S-28-R-400-Q-5-3,R5S,400,5_C_per_min,Quench,Residual,2,3.975433218711277,1719.6538505275735,27.3681184411931,10883.57647265988,43.35,False,0.0,Moderate,Light gray to pink,2024-06-08
R5S-28-R-600-F-5-1,R5S,600,5_C_per_min,Furnace,Residual,3,6.251507639194475,500.0,5.3426363629243685,1347.8837329736436,9.000000000000002,False,0.0,Moderate,Pink to light red,2024-12-05
R5S-28-R-600-F-5-2,R5S,600,5_C_per_min,Furnace,Residual,3,6.0146864136829485,500.0,5.464055036416112,1422.5045036203378,9.000000000000002,False,0.0,Severe,Pink to light red,2024-08-27
R5S-28-R-600-F-5-3,R5S,600,5_C_per_min,Furnace,Residual,3,6.577731603042847,500.0,5.623552380886505,1390.9551556068097,9.000000000000002,False,0.0,Severe,Pink to light red,2024-11-27
R5S-28-R-600-Q-5-1,R5S,600,5_C_per_min,Quench,Residual,3,6.724629519027328,500.0,4.4564295845128,1010.6292068186017,7.650000000000001,False,0.0,Moderate,Pink to light red,2024-05-11
R5S-28-R-600-Q-5-2,R5S,600,5_C_per_min,Quench,Residual,3,6.164317245679764,500.0,4.613013044724602,1107.4965269594854,7.650000000000001,False,0.0,Critical,Pink to light red,2024-02-04
R5S-28-R-600-Q-5-3,R5S,600,5_C_per_min,Quench,Residual,3,6.007769137123669,500.0,5.208757677255097,1093.8030660462875,7.650000000000001,False,0.0,Moderate,Pink to light red,2024-11-17
R5S-28-R-800-F-5-1,R5S,800,5_C_per_min,Furnace,Residual,3,7.725254107936619,500.0,7.798670076941279,2401.350009466826,13.999999999999998,False,0.0,Severe,Light red to buff/yellow,2024-07-10
R5S-28-R-800-F-5-2,R5S,800,5_C_per_min,Furnace,Residual,3,6.963518196302554,500.0,9.274245565094317,2345.56571179831,13.999999999999998,False,0.0,Critical,Light red to buff/yellow,2024-06-04
R5S-28-R-800-F-5-3,R5S,800,5_C_per_min,Furnace,Residual,3,8.494003068245831,500.0,8.821762630194202,2290.124922540572,13.999999999999998,False,0.0,Critical,Light red to buff/yellow,2024-06-26
R5S-28-R-800-Q-5-1,R5S,800,5_C_per_min,Quench,Residual,3,7.208279684427204,500.0,8.36348585205497,1818.9470272902718,11.899999999999999,False,0.0,Severe,Light red to buff/yellow,2024-01-06
R5S-28-R-800-Q-5-2,R5S,800,5_C_per_min,Quench,Residual,3,8.591810141556634,500.0,7.854434840266329,1851.2569079206114,11.899999999999999,False,0.0,Critical,Light red to buff/yellow,2024-03-13
R5S-28-R-800-Q-5-3,R5S,800,5_C_per_min,Quench,Residual,3,8.218476392512057,500.0,7.251006169629997,2036.6008597421642,11.899999999999999,False,0.0,Critical,Light red to buff/yellow,2024-04-22
R10S-28-R-23-F-5-1,R10S,23,5_C_per_min,Furnace,Residual,2,0.0,4218.213482243522,41.82067659262461,26831.115068919164,98.52534050563752,False,0.0,Minor,No change,2024-03-17
R10S-28-R-23-F-5-2,R10S,23,5_C_per_min,Furnace,Residual,2,0.0,4524.8557686748045,53.917182136830405,27953.342421096044,100.60666730150353,False,0.0,None,No change,2024-01-21
R10S-28-R-23-F-5-3,R10S,23,5_C_per_min,Furnace,Residual,2,0.0,4371.519291493726,55.505809091227434,23668.19170877625,98.61463215264446,False,0.0,Minor,No change,2024-04-14
R10S-28-R-23-Q-5-1,R10S,23,5_C_per_min,Quench,Residual,2,0.0,4563.226780520719,44.055746553005314,29289.200474195233,99.84838916306265,False,0.0,None,No change,2024-06-22
R10S-28-R-23-Q-5-2,R10S,23,5_C_per_min,Quench,Residual,2,0.0,4378.040255939841,43.707395837036074,31370.034896089655,99.3037018558083,False,0.0,None,No change,2024-06-11
R10S-28-R-23-Q-5-3,R10S,23,5_C_per_min,Quench,Residual,2,0.0,4410.75574987694,51.68760534333096,29426.4576195541,100.77992754450618,False,0.0,None,No change,2024-01-12
R10S-28-R-200-F-5-1,R10S,200,5_C_per_min,Furnace,Residual,2,2.0786655337861304,4900.865645345707,59.375493338022586,28278.733692839178,100.0,False,0.0,None,No change,2024-12-01
R10S-28-R-200-F-5-2,R10S,200,5_C_per_min,Furnace,Residual,2,1.9218357389929257,4480.618849766243,46.313286558503535,28381.12277851559,100.0,False,0.0,None,No change,2024-06-07
R10S-28-R-200-F-5-3,R10S,200,5_C_per_min,Furnace,Residual,2,2.1703043406185314,4640.244706497286,50.58347331725664,26511.69390460883,100.0,False,0.0,None,No change,2024-07-12
R10S-28-R-200-Q-5-1,R10S,200,5_C_per_min,Quench,Residual,2,2.566152681968301,3777.2045144043996,43.26723049252661,21568.308763559526,85.0,False,0.0,Minor,No change,2024-02-28
R10S-28-R-200-Q-5-2,R10S,200,5_C_per_min,Quench,Residual,2,2.19738237381031,3887.084819204264,40.37166323790631,24133.91653537681,85.0,False,0.0,Minor,No change,2024-10-03
R10S-28-R-200-Q-5-3,R10S,200,5_C_per_min,Quench,Residual,2,2.5488237636025075,3910.2656642897173,48.04298910388162,22028.065624781666,85.0,False,0.0,None,No change,2024-03-26
R10S-28-R-400-F-5-1,R10S,400,5_C_per_min,Furnace,Residual,2,4.968461142666943,2113.4461837031463,24.682313033595126,10365.327590015297,51.0,False,0.0,Moderate,Light gray to pink,2024-03-12
R10S-28-R-400-F-5-2,R10S,400,5_C_per_min,Furnace,Residual,2,4.717861634739054,2086.9732053838766,28.91092547787632,12109.155919858284,51.0,False,0.0,Moderate,Light gray to pink,2024-03-22
R10S-28-R-400-F-5-3,R10S,400,5_C_per_min,Furnace,Residual,2,5.138453169634452,2165.092185758681,27.617538483510547,11721.831856895406,51.0,False,0.0,Moderate,Light gray to pink,2024-04-28
R10S-28-R-400-Q-5-1,R10S,400,5_C_per_min,Quench,Residual,2,5.115512374548904,1863.0181530566447,18.892811673471016,10573.99238708526,43.35,False,0.0,Severe,Light gray to pink,2024-02-04
R10S-28-R-400-Q-5-2,R10S,400,5_C_per_min,Quench,Residual,2,5.583857590993008,1726.0295526848467,18.769926934800488,9115.763703990417,43.35,False,0.0,Moderate,Light gray to pink,2024-02-08
R10S-28-R-400-Q-5-3,R10S,400,5_C_per_min,Quench,Residual,2,4.923752568619117,1829.4443446763469,20.74486768762041,9792.808996469586,43.35,False,0.0,Moderate,Light gray to pink,2024-10-12
R10S-28-R-600-F-5-1,R10S,600,5_C_per_min,Furnace,Residual,3,6.553893268117013,500.0,4.565146130025162,1064.940124944375,9.000000000000002,False,0.0,Severe,Pink to light red,2024-06-28
R10S-28-R-600-F-5-2,R10S,600,5_C_per_min,Furnace,Residual,3,8.327242899563915,500.0,5.0598018083413105,1115.3509049885797,9.000000000000002,False,0.0,Moderate,Pink to light red,2024-01-27
R10S-28-R-600-F-5-3,R10S,600,5_C_per_min,Furnace,Residual,3,8.260319663621642,500.0,4.16904505922931,1116.803211857858,9.000000000000002,False,0.0,Severe,Pink to light red,2024-07-15
R10S-28-R-600-Q-5-1,R10S,600,5_C_per_min,Quench,Residual,3,6.267067725921827,500.0,3.9420985775353956,972.2525786322781,7.650000000000001,False,0.0,Severe,Pink to light red,2024-12-09
R10S-28-R-600-Q-5-2,R10S,600,5_C_per_min,Quench,Residual,3,8.91883921763691,500.0,3.3356181888027034,964.6130396914976,7.650000000000001,False,0.0,Moderate,Pink to light red,2024-04-28
R10S-28-R-600-Q-5-3,R10S,600,5_C_per_min,Quench,Residual,3,8.05119094320557,500.0,3.712037249866342,1113.4085557820129,7.650000000000001,False,0.0,Severe,Pink to light red,2024-06-12
R10S-28-R-800-F-5-1,R10S,800,5_C_per_min,Furnace,Residual,3,8.236898853279776,500.0,6.207129254376242,2001.3685173205783,13.0,False,0.0,Severe,Light red to buff/yellow,2024-11-05
R10S-28-R-800-F-5-2,R10S,800,5_C_per_min,Furnace,Residual,3,8.571759279445127,500.0,6.573534889215992,1888.933055190311,13.0,False,0.0,Critical,Light red to buff/yellow,2024-11-11
R10S-28-R-800-F-5-3,R10S,800,5_C_per_min,Furnace,Residual,3,9.539149852670107,500.0,6.509729084802023,2043.9890708246176,13.0,False,0.0,Critical,Light red to buff/yellow,2024-06-20
R10S-28-R-800-Q-5-1,R10S,800,5_C_per_min,Quench,Residual,3,10.960394010994282,500.0,5.180856857012467,1645.2814054115718,11.05,False,0.0,Severe,Light red to buff/yellow,2024-06-05
R10S-28-R-800-Q-5-2,R10S,800,5_C_per_min,Quench,Residual,3,11.0311960459331,500.0,5.458159776518558,1594.2885482828692,11.05,False,0.0,Critical,Light red to buff/yellow,2024-01-12
R10S-28-R-800-Q-5-3,R10S,800,5_C_per_min,Quench,Residual,3,10.526787410060805,500.0,5.590741394414621,1571.9825676443047,11.05,False,0.0,Critical,Light red to buff/yellow,2024-05-16
R15S-28-R-23-F-5-1,R15S,23,5_C_per_min,Furnace,Residual,2,0.0,4605.805779593427,43.905414852461,25293.938213516994,100.60493190816598,False,0.0,Minor,No change,2024-09-21
R15S-28-R-23-F-5-2,R15S,23,5_C_per_min,Furnace,Residual,2,0.0,4303.13986911172,44.65310220005357,26940.367652660636,100.26806504394668,False,0.0,None,No change,2024-06-02
R15S-28-R-23-F-5-3,R15S,23,5_C_per_min,Furnace,Residual,2,0.0,4582.931483016404,42.03186049556739,28844.435465359096,101.04914053910645,False,0.0,None,No change,2024-09-21
R15S-28-R-23-Q-5-1,R15S,23,5_C_per_min,Quench,Residual,2,0.0,4810.217575039251,37.984885971201614,23477.675410091477,99.29834331960107,False,0.0,None,No change,2024-01-17
R15S-28-R-23-Q-5-2,R15S,23,5_C_per_min,Quench,Residual,2,0.0,4253.073538379371,42.656857136119946,25844.594752100627,99.7776778110048,False,0.0,Minor,No change,2024-09-03
R15S-28-R-23-Q-5-3,R15S,23,5_C_per_min,Quench,Residual,2,0.0,4388.58823298175,37.11396749610964,26614.176015449673,100.16945465991896,False,0.0,None,No change,2024-02-12
R15S-28-R-200-F-5-1,R15S,200,5_C_per_min,Furnace,Residual,2,2.185033488729593,4485.916546222607,45.19681854091033,26729.49677697824,100.0,False,0.0,None,No change,2024-05-13
R15S-28-R-200-F-5-2,R15S,200,5_C_per_min,Furnace,Residual,2,1.796398088930248,4477.873583971182,40.03969306094873,25843.342978493823,100.0,False,0.0,None,No change,2024-11-15
R15S-28-R-200-F-5-3,R15S,200,5_C_per_min,Furnace,Residual,2,2.2174813903941786,4392.132331765929,50.981004871749235,27829.88517766367,100.0,False,0.0,None,No change,2024-04-26
R15S-28-R-200-Q-5-1,R15S,200,5_C_per_min,Quench,Residual,2,2.148201642696613,3813.034388091957,35.82928864443209,20827.9128349333,85.0,False,0.0,None,No change,2024-07-24
R15S-28-R-200-Q-5-2,R15S,200,5_C_per_min,Quench,Residual,2,2.344532687244317,3858.523448834256,34.57605613414205,21695.413472667693,85.0,False,0.0,None,No change,2024-06-01
R15S-28-R-200-Q-5-3,R15S,200,5_C_per_min,Quench,Residual,2,2.4376235384226517,4128.343885158056,37.600428012539936,18155.964264857168,85.0,False,0.0,None,No change,2024-10-09
R15S-28-R-400-F-5-1,R15S,400,5_C_per_min,Furnace,Residual,2,5.853163717233651,2048.2026550878604,19.889263897260346,11267.69112528259,51.0,False,0.0,Severe,Light gray to pink,2024-01-26
R15S-28-R-400-F-5-2,R15S,400,5_C_per_min,Furnace,Residual,2,5.827521132666846,2121.981951044378,20.2406414230726,10258.282680376442,51.0,False,0.0,Moderate,Light gray to pink,2024-09-18
R15S-28-R-400-F-5-3,R15S,400,5_C_per_min,Furnace,Residual,2,4.827541033903586,2048.5582250933503,20.74396493103697,11237.878485553661,51.0,False,0.0,Moderate,Light gray to pink,2024-12-02
R15S-28-R-400-F-10-1,R15S,400,10_C_per_min,Furnace,Residual,2,5.924360418750995,1822.934921836951,22.11840592598487,9710.22891115328,43.35,False,0.0,Moderate,Light gray to pink,2024-11-10
R15S-28-R-400-F-10-2,R15S,400,10_C_per_min,Furnace,Residual,2,6.685529967854867,1764.4326568374852,19.556344657243873,10065.14597339667,43.35,False,0.0,Moderate,Light gray to pink,2024-07-09
R15S-28-R-400-F-10-3,R15S,400,10_C_per_min,Furnace,Residual,2,6.029881688336093,1893.1469878324563,19.312136894366763,12024.059284364717,43.35,False,0.0,Severe,Light gray to pink,2024-03-09
R15S-28-R-400-Q-5-1,R15S,400,5_C_per_min,Quench,Residual,2,5.6433548343021505,1693.7992116401342,16.84471619904212,8389.073629354363,43.35,False,0.0,Moderate,Light gray to pink,2024-02-28
R15S-28-R-400-Q-5-2,R15S,400,5_C_per_min,Quench,Residual,2,6.61312221693584,1719.9795136657547,17.55248052942487,9131.83348215316,43.35,False,0.0,Moderate,Light gray to pink,2024-06-12
R15S-28-R-400-Q-5-3,R15S,400,5_C_per_min,Quench,Residual,2,6.411651241515737,1877.1924293306708,16.738581359762218,8114.5253911677655,43.35,False,0.0,Severe,Light gray to pink,2024-04-08
R15S-28-R-400-Q-10-1,R15S,400,10_C_per_min,Quench,Residual,2,6.970424939642881,1606.988897838812,14.664441483084174,8847.945365573703,36.8475,True,4.534301443565258,Moderate,Light gray to pink,2024-09-23
R15S-28-R-400-Q-10-2,R15S,400,10_C_per_min,Quench,Residual,2,7.646626479890704,1625.2192948463382,14.77678076653126,9412.980639976082,36.8475,True,5.1117787366990814,Moderate,Light gray to pink,2024-08-22
R15S-28-R-400-Q-10-3,R15S,400,10_C_per_min,Quench,Residual,2,8.49325376810188,1608.1998890043274,17.22435752343812,8837.575358667638,36.8475,False,0.0,Severe,Light gray to pink,2024-01-21
R15S-28-R-600-F-5-1,R15S,600,5_C_per_min,Furnace,Residual,3,7.299789128492396,500.0,3.9894230141532794,1188.931202735733,9.000000000000002,False,0.0,Severe,Pink to light red,2024-05-02
R15S-28-R-600-F-5-2,R15S,600,5_C_per_min,Furnace,Residual,3,7.481679313290179,500.0,3.8616295306151347,1197.594892198485,9.000000000000002,False,0.0,Severe,Pink to light red,2024-04-18
R15S-28-R-600-F-5-3,R15S,600,5_C_per_min,Furnace,Residual,3,8.380442361359217,500.0,4.091457762264676,1150.9433666786697,9.000000000000002,False,0.0,Critical,Pink to light red,2024-10-12
R15S-28-R-600-F-10-1,R15S,600,10_C_per_min,Furnace,Residual,3,9.935655601006568,500.0,3.145278093143772,1229.1783172532098,7.650000000000001,False,0.0,Moderate,Pink to light red,2024-05-03
