firm_id,country,country_name,segment,founding_year,initial_funding_stage,regulatory_strictness,mobile_penetration,base_scale
FIRM_060,SN,Senegal,payments_gateway,2013,seed,0.55,0.55,2.010223852732274
FIRM_061,CI,Cote d'Ivoire,digital_lending,2011,series_a,0.55,0.55,0.09319978066144144
FIRM_062,KE,Kenya,savings_wallet,2015,series_b,0.5,0.75,0.5904485915549051
FIRM_063,CI,Cote d'Ivoire,payments_gateway,2022,pre_seed,0.55,0.55,0.12591116623654364
FIRM_064,KE,Kenya,wealth_investing,2023,series_a,0.5,0.75,0.28361589858164077
FIRM_065,KE,Kenya,digital_lending,2016,series_a,0.5,0.75,0.773352778960249
FIRM_066,KE,Kenya,payments_gateway,2022,series_a,0.5,0.75,2.7677815027013435
FIRM_067,TZ,Tanzania,mobile_money,2016,series_a,0.6,0.55,3.459685025721782
FIRM_068,ZM,Zambia,mobile_money,2010,series_c_plus,0.6,0.5,20.366268476076442
FIRM_069,TZ,Tanzania,payments_gateway,2023,seed,0.6,0.55,6.9087252865807605
FIRM_070,NG,Nigeria,wealth_investing,2017,seed,0.55,0.55,1.5201682430498031
FIRM_071,MZ,Mozambique,mobile_money,2012,series_c_plus,0.6,0.45,22.537671868668934
FIRM_072,BW,Botswana,mobile_money,2021,seed,0.5,0.55,12.851243191487347
FIRM_073,NG,Nigeria,payments_gateway,2013,series_a,0.55,0.55,2.5061990078580827
FIRM_074,NG,Nigeria,digital_lending,2022,seed,0.55,0.55,1.3000557842778504
FIRM_075,SN,Senegal,savings_wallet,2010,series_b,0.55,0.55,2.3700814970510287
FIRM_076,KE,Kenya,payments_gateway,2011,series_c_plus,0.5,0.75,5.248591496696033
FIRM_077,BW,Botswana,mobile_money,2019,series_a,0.5,0.55,1.7187108697953506
FIRM_078,GH,Ghana,mobile_money,2022,pre_seed,0.55,0.6,4.182733780528092
FIRM_079,KE,Kenya,mobile_money,2014,series_a,0.5,0.75,2.545697350997033
FIRM_080,NG,Nigeria,payments_gateway,2011,series_b,0.55,0.55,2.5251941443058197
FIRM_081,CM,Cameroon,payments_gateway,2016,series_b,0.6,0.5,4.393034399854209
FIRM_082,NG,Nigeria,mobile_money,2024,bootstrapped,0.55,0.55,0.46093262926986217
FIRM_083,MZ,Mozambique,savings_wallet,2015,series_a,0.6,0.45,1.2162234019307978
FIRM_084,ET,Ethiopia,mobile_money,2014,series_a,0.7,0.35,0.628534574903433
FIRM_085,NG,Nigeria,mobile_money,2022,series_a,0.55,0.55,17.34993866637295
FIRM_086,NG,Nigeria,digital_lending,2021,series_a,0.55,0.55,1.4409928191494044
FIRM_087,ZA,South Africa,payments_gateway,2015,series_b,0.65,0.8,3.0386831843304147
FIRM_088,ZM,Zambia,payments_gateway,2010,series_a,0.6,0.5,5.514909464032604
FIRM_089,ZM,Zambia,mobile_money,2022,seed,0.6,0.5,13.571156430598212
FIRM_090,BW,Botswana,payments_gateway,2015,series_b,0.5,0.55,0.48730620902302074
FIRM_091,SN,Senegal,payments_gateway,2011,series_c_plus,0.55,0.55,5.853911250384366
FIRM_092,NG,Nigeria,payments_gateway,2011,series_b,0.55,0.55,0.9107471721791552
FIRM_093,CM,Cameroon,digital_lending,2024,pre_seed,0.6,0.5,1.219913390464866
FIRM_094,KE,Kenya,digital_lending,2023,seed,0.5,0.75,0.09883065033218742
FIRM_095,GH,Ghana,wealth_investing,2010,series_a,0.55,0.6,1.1800438976074852
FIRM_096,GH,Ghana,savings_wallet,2011,seed,0.55,0.6,0.05225008325965103
FIRM_097,KE,Kenya,payments_gateway,2014,series_c_plus,0.5,0.75,0.5659734268248828
FIRM_098,SN,Senegal,savings_wallet,2015,series_c_plus,0.55,0.55,1.0451588219357788
FIRM_099,ZA,South Africa,mobile_money,2024,pre_seed,0.65,0.8,15.940576881013449
FIRM_100,NG,Nigeria,digital_lending,2023,pre_seed,0.55,0.55,0.0998179395188855
FIRM_101,KE,Kenya,payments_gateway,2014,series_a,0.5,0.75,1.5664091548530528
FIRM_102,ET,Ethiopia,savings_wallet,2015,series_a,0.7,0.35,2.12414193752517
FIRM_103,ZA,South Africa,payments_gateway,2022,seed,0.65,0.8,0.11898768019005287
FIRM_104,NG,Nigeria,savings_wallet,2024,pre_seed,0.55,0.55,1.5735983412077899
FIRM_105,CI,Cote d'Ivoire,mobile_money,2018,series_b,0.55,0.55,1.242663691573865
FIRM_106,NG,Nigeria,mobile_money,2010,series_b,0.55,0.55,1.8267325896462243
FIRM_107,GH,Ghana,digital_lending,2024,seed,0.55,0.6,1.0865705630887161
FIRM_108,MZ,Mozambique,payments_gateway,2017,series_a,0.6,0.45,0.09248584616842138
FIRM_109,ZA,South Africa,mobile_money,2011,series_b,0.65,0.8,15.184175132676616
FIRM_110,ET,Ethiopia,payments_gateway,2011,series_b,0.7,0.35,5.306400109930247
FIRM_111,KE,Kenya,mobile_money,2017,series_a,0.5,0.75,0.6164426474779977
FIRM_112,ET,Ethiopia,payments_gateway,2021,seed,0.7,0.35,4.634871937937712
FIRM_113,ET,Ethiopia,wealth_investing,2011,seed,0.7,0.35,0.026111221566591878
FIRM_114,NG,Nigeria,payments_gateway,2011,series_a,0.55,0.55,0.8199760491673135
FIRM_115,KE,Kenya,payments_gateway,2016,series_a,0.5,0.75,1.2360317564105048
FIRM_116,TZ,Tanzania,mobile_money,2012,series_a,0.6,0.55,5.453483093229236
FIRM_117,NG,Nigeria,mobile_money,2015,seed,0.55,0.55,3.493249766207629
FIRM_118,NG,Nigeria,mobile_money,2015,series_a,0.55,0.55,1.5304085261198523
FIRM_119,ZM,Zambia,digital_lending,2013,series_b,0.6,0.5,1.3115926343012045
FIRM_120,GH,Ghana,savings_wallet,2022,series_a,0.55,0.6,0.08073850388931769
FIRM_121,RW,Rwanda,mobile_money,2022,series_a,0.5,0.65,0.3549817140728809
FIRM_122,GH,Ghana,mobile_money,2017,seed,0.55,0.6,3.4709238804539972
FIRM_123,RW,Rwanda,digital_lending,2012,seed,0.5,0.65,0.8090558384466908
FIRM_124,KE,Kenya,wealth_investing,2018,series_b,0.5,0.75,1.167090879135111
FIRM_125,GH,Ghana,digital_lending,2011,series_c_plus,0.55,0.6,0.828175727102165
FIRM_126,ZA,South Africa,insuretech,2024,bootstrapped,0.65,0.8,0.14734545210308028
FIRM_127,ZA,South Africa,payments_gateway,2018,series_a,0.65,0.8,3.8876846509732736
FIRM_128,TZ,Tanzania,insuretech,2016,series_a,0.6,0.55,0.27422767248989754
FIRM_129,NG,Nigeria,payments_gateway,2013,series_a,0.55,0.55,1.5152471892461319
FIRM_130,TZ,Tanzania,insuretech,2021,pre_seed,0.6,0.55,0.8085820545317735
FIRM_131,GH,Ghana,digital_lending,2024,bootstrapped,0.55,0.6,1.0829531243519093
FIRM_132,ZA,South Africa,mobile_money,2021,series_a,0.65,0.8,0.27593444231594116
FIRM_133,GH,Ghana,savings_wallet,2017,series_c_plus,0.55,0.6,0.7791105155901923
FIRM_134,UG,Uganda,insuretech,2022,seed,0.6,0.55,0.9010993616920661
FIRM_135,NG,Nigeria,wealth_investing,2015,seed,0.55,0.55,0.9904416147467227
FIRM_136,ZA,South Africa,digital_lending,2024,seed,0.65,0.8,1.3912015775877695
FIRM_137,KE,Kenya,digital_lending,2023,pre_seed,0.5,0.75,0.23099198272236365
FIRM_138,ZM,Zambia,digital_lending,2022,series_a,0.6,0.5,0.3228982596519416
FIRM_139,KE,Kenya,mobile_money,2014,series_a,0.5,0.75,0.5451443880198679
FIRM_140,ZA,South Africa,mobile_money,2019,series_c_plus,0.65,0.8,8.515853056299393
FIRM_141,ET,Ethiopia,savings_wallet,2024,bootstrapped,0.7,0.35,1.3807149382095685
FIRM_142,ET,Ethiopia,wealth_investing,2015,series_c_plus,0.7,0.35,0.5086148124013921
FIRM_143,ZA,South Africa,payments_gateway,2016,seed,0.65,0.8,3.8189081105369187
FIRM_144,ET,Ethiopia,payments_gateway,2018,series_b,0.7,0.35,4.681283521064192
FIRM_145,NG,Nigeria,payments_gateway,2018,seed,0.55,0.55,7.987287119634505
FIRM_146,CI,Cote d'Ivoire,savings_wallet,2016,series_a,0.55,0.55,1.1138453748763981
FIRM_147,ZA,South Africa,mobile_money,2024,bootstrapped,0.65,0.8,6.613643208064919
FIRM_148,NG,Nigeria,payments_gateway,2011,seed,0.55,0.55,1.8156165913333902
FIRM_149,GH,Ghana,wealth_investing,2017,series_a,0.55,0.6,0.46073409348672717
FIRM_150,TZ,Tanzania,savings_wallet,2019,series_a,0.6,0.55,2.3815813239532786
