country_code,country_name,year,digital_lending_regulation_dummy,open_banking_initiative_dummy,fintech_regulatory_sandbox_dummy,bank_npl_ratio,domestic_credit_private,regulatory_quality,bank_roa,bank_zscore
KEN,Kenya,2013,0,0,0,7.77,32.45,-0.413,2.6,16.62
KEN,Kenya,2014,0,0,0,7.0,30.45,-0.286,1.25,12.78
KEN,Kenya,2015,0,0,0,4.88,34.4,0.01,1.74,12.64
KEN,Kenya,2016,0,0,0,5.63,43.87,-0.546,1.34,14.49
KEN,Kenya,2017,0,0,0,7.85,32.56,-0.263,2.15,11.48
KEN,Kenya,2018,0,0,0,8.12,35.22,-0.564,1.89,13.28
KEN,Kenya,2019,0,0,1,8.84,43.45,-0.231,1.65,9.76
KEN,Kenya,2020,0,1,1,6.64,44.47,-0.443,1.62,11.23
KEN,Kenya,2021,1,1,1,11.93,37.84,-0.169,1.74,13.15
KEN,Kenya,2022,1,1,1,6.45,50.39,-0.464,1.89,15.42
KEN,Kenya,2023,1,1,1,10.53,49.51,0.079,1.71,14.24
GHA,Ghana,2010,0,0,0,5.51,30.55,-0.463,1.12,9.76
GHA,Ghana,2011,0,0,0,6.05,37.18,-0.135,1.67,10.37
GHA,Ghana,2012,0,0,0,6.43,35.28,0.244,2.23,8.95
GHA,Ghana,2013,0,0,0,7.85,32.05,-0.204,1.07,8.45
GHA,Ghana,2014,0,0,0,6.35,40.57,-0.315,1.86,9.96
GHA,Ghana,2015,0,0,0,5.31,36.77,-0.129,0.74,13.17
GHA,Ghana,2016,0,0,0,7.63,40.67,-0.223,0.88,10.9
GHA,Ghana,2017,0,0,0,5.63,40.89,-0.529,1.58,6.9
GHA,Ghana,2018,0,0,0,8.32,46.82,-0.089,1.78,11.8
GHA,Ghana,2019,0,0,0,5.04,44.78,-0.197,1.03,10.49
GHA,Ghana,2020,0,0,1,9.03,45.85,-0.073,3.43,10.9
GHA,Ghana,2021,1,1,1,10.11,42.22,-0.148,1.83,12.06
GHA,Ghana,2022,1,1,1,6.85,42.17,-0.284,1.38,13.41
GHA,Ghana,2023,1,1,1,13.23,48.83,-0.623,0.57,10.03
ETH,Ethiopia,2010,0,0,0,10.06,15.32,-1.016,1.34,3.0
ETH,Ethiopia,2011,0,0,0,9.77,12.15,-0.757,1.14,4.27
ETH,Ethiopia,2012,0,0,0,11.49,27.32,-0.673,0.47,5.17
ETH,Ethiopia,2013,0,0,0,7.55,14.09,-0.63,0.89,8.57
ETH,Ethiopia,2014,0,0,0,10.21,20.72,-0.627,0.74,4.2
ETH,Ethiopia,2015,0,0,0,9.6,16.63,-0.931,0.63,4.6
ETH,Ethiopia,2016,0,0,0,15.73,13.5,-0.616,1.0,3.0
ETH,Ethiopia,2017,0,0,0,16.64,13.0,-0.897,1.32,3.0
ETH,Ethiopia,2018,0,0,0,15.13,23.62,-0.645,0.45,6.4
ETH,Ethiopia,2019,0,0,0,10.95,5.99,-1.005,0.77,8.73
ETH,Ethiopia,2020,0,0,0,12.49,31.16,-1.086,0.18,4.24
ETH,Ethiopia,2021,1,0,1,12.32,31.01,-1.087,0.87,7.71
ETH,Ethiopia,2022,1,0,1,15.73,19.69,-0.708,0.81,5.98
ETH,Ethiopia,2023,1,1,1,14.0,25.75,-0.877,0.5,3.57
TZA,Tanzania,2010,0,0,0,6.23,22.93,-1.048,1.13,8.7
TZA,Tanzania,2011,0,0,0,10.47,15.04,-0.682,0.1,9.9
TZA,Tanzania,2012,0,0,0,6.96,15.56,-0.899,0.49,7.63
TZA,Tanzania,2013,0,0,0,5.42,19.19,-0.939,1.22,12.06
TZA,Tanzania,2014,0,0,0,8.6,22.26,-0.674,0.95,3.0
TZA,Tanzania,2015,0,0,0,5.34,22.74,-0.678,0.52,10.68
TZA,Tanzania,2016,0,0,0,7.16,26.19,-0.918,0.86,8.49
TZA,Tanzania,2017,0,0,0,8.49,19.51,-0.58,0.7,7.93
TZA,Tanzania,2018,0,0,0,9.25,27.93,-0.796,1.21,8.59
TZA,Tanzania,2019,0,0,0,9.16,23.82,-0.826,0.64,3.84
TZA,Tanzania,2020,1,0,1,8.19,18.91,-0.382,1.1,9.2
TZA,Tanzania,2021,1,0,1,6.19,29.59,-0.642,0.19,9.86
TZA,Tanzania,2022,1,1,1,9.65,24.54,-0.979,1.11,11.34
TZA,Tanzania,2023,1,1,1,8.75,30.28,-0.829,0.46,7.3
UGA,Uganda,2010,0,0,0,9.35,17.06,-0.913,0.64,4.12
UGA,Uganda,2011,0,0,0,9.56,17.02,-0.901,0.92,5.14
UGA,Uganda,2012,0,0,0,10.46,9.36,-1.081,0.92,7.9
UGA,Uganda,2013,0,0,0,10.16,18.95,-0.505,0.69,7.74
UGA,Uganda,2014,0,0,0,13.52,18.1,-1.001,0.72,3.92
UGA,Uganda,2015,0,0,0,11.96,20.61,-0.965,0.66,6.94
UGA,Uganda,2016,0,0,0,13.24,19.26,-0.72,1.57,6.95
UGA,Uganda,2017,0,0,0,13.78,21.72,-0.797,0.6,7.99
UGA,Uganda,2018,0,0,0,12.8,21.52,-0.7,0.41,4.61
UGA,Uganda,2019,0,0,1,15.7,32.97,-0.953,1.28,4.92
UGA,Uganda,2020,0,0,1,14.74,33.95,-0.962,0.89,4.86
UGA,Uganda,2021,0,1,1,11.52,13.18,-0.905,0.5,3.3
UGA,Uganda,2022,1,1,1,11.88,26.31,-0.425,0.88,8.63
UGA,Uganda,2023,1,1,1,15.5,20.91,-0.702,0.51,6.74
RWA,Rwanda,2010,0,0,0,0.5,40.9,-0.394,2.42,13.71
RWA,Rwanda,2011,0,0,0,0.5,35.23,-0.052,2.18,14.01
RWA,Rwanda,2012,0,0,0,0.5,36.63,-0.291,1.2,11.06
RWA,Rwanda,2013,0,0,0,1.7,32.06,-0.328,1.81,12.91
RWA,Rwanda,2014,0,0,0,3.04,41.76,-0.525,1.76,12.4
RWA,Rwanda,2015,0,0,0,0.5,40.66,-0.45,2.14,13.08
RWA,Rwanda,2016,0,0,0,6.3,45.7,-0.286,1.56,12.43
RWA,Rwanda,2017,0,0,0,7.52,39.36,-0.106,2.38,14.18
RWA,Rwanda,2018,0,0,1,4.89,36.58,-0.163,2.18,17.27
RWA,Rwanda,2019,1,0,1,5.92,36.28,-0.708,0.62,12.08
RWA,Rwanda,2020,1,1,1,3.46,50.51,-0.285,1.86,14.99
RWA,Rwanda,2021,1,1,1,7.46,35.28,-0.311,0.81,12.57
RWA,Rwanda,2022,1,1,1,5.17,34.26,-0.318,1.48,11.03
RWA,Rwanda,2023,1,1,1,1.99,47.23,-0.488,1.83,15.15
BWA,Botswana,2010,0,0,0,0.97,64.69,0.391,1.67,19.9
BWA,Botswana,2011,0,0,0,0.5,63.15,0.041,2.45,22.88
BWA,Botswana,2012,0,0,0,2.19,63.83,-0.04,1.68,18.44
BWA,Botswana,2013,0,0,0,6.53,63.9,0.243,2.22,18.75
BWA,Botswana,2014,0,0,0,2.58,71.27,0.352,2.09,19.68
BWA,Botswana,2015,0,0,0,1.94,67.62,-0.26,1.91,17.17
BWA,Botswana,2016,0,0,0,0.5,78.02,0.15,2.88,22.01
BWA,Botswana,2017,0,0,0,4.55,85.99,0.424,2.36,20.48
BWA,Botswana,2018,0,0,0,3.34,63.37,0.241,1.72,20.05
BWA,Botswana,2019,0,0,1,2.29,68.97,-0.016,1.49,17.65
BWA,Botswana,2020,1,0,1,7.37,72.96,0.496,2.64,20.88
BWA,Botswana,2021,1,1,1,4.35,81.42,0.308,1.77,17.37
BWA,Botswana,2022,1,1,1,2.33,70.22,-0.077,2.1,19.89
BWA,Botswana,2023,1,1,1,6.45,68.41,0.313,3.15,22.23
ZMB,Zambia,2010,0,0,0,9.7,12.04,-0.973,0.56,3.0
ZMB,Zambia,2011,0,0,0,11.3,17.15,-0.81,0.38,3.0
ZMB,Zambia,2012,0,0,0,10.92,13.72,-0.649,0.35,5.09
ZMB,Zambia,2013,0,0,0,12.6,17.9,-0.65,0.31,3.17
ZMB,Zambia,2014,0,0,0,8.46,14.89,-0.686,1.07,3.0
ZMB,Zambia,2015,0,0,0,10.47,10.86,-0.79,0.1,4.87
ZMB,Zambia,2016,0,0,0,12.72,22.99,-1.132,0.35,3.0
ZMB,Zambia,2017,0,0,0,12.27,17.34,-0.791,0.19,5.52
ZMB,Zambia,2018,0,0,0,10.88,26.43,-0.915,0.61,3.0
ZMB,Zambia,2019,0,0,0,14.47,24.85,-0.512,0.24,8.18
ZMB,Zambia,2020,0,0,1,8.06,25.89,-0.841,0.4,4.04
ZMB,Zambia,2021,1,0,1,13.94,24.23,-0.831,0.5,3.55
ZMB,Zambia,2022,1,1,1,15.74,26.29,-0.882,0.93,6.05
ZMB,Zambia,2023,1,1,1,12.62,27.37,-0.884,0.58,3.0
