epd_reference,material_id,epd_publisher,manufacturer,product_name,publication_date,expiry_date,verification_body,pcr_reference,geographic_scope,technology_scope,declaration_type,lca_methodology,functional_unit_description,reference_service_life_years,data_quality_rating,uncertainty_level,url,notes
EPD-GSHP-2022-234,MAT011,IBU (Institut Bauen und Umwelt),Carrier Corporation,Ground Source Heat Pump System,2022-10-25,2027-10-25,TÜV Rheinland,PCR-HVAC-2021-v3.2,North America & Europe,Closed-loop ground heat exchanger,Product-specific,ISO 14025 / EN 15804,1 complete GSHP system with COP 4.2 @ B0/W35,25,A-,±14%,https://epd-online.com/GSHP-2022-234,Includes ground loop piping (HDPE)
EPD-VRF-2023-189,MAT012,EPD Japan,Daikin Industries,Variable Refrigerant Flow Multi-Split System,2023-08-30,2028-08-30,JCI (Japan Climate Initiative),PCR-HVAC-2021-v3.2,Asia-Pacific,R-410A refrigerant; inverter-driven,Product-specific,ISO 14025 / ISO 21930,1 complete VRF system with COP 3.8,20,A,±13%,https://epd-japan.com/VRF-2023-189,Multi-zone capability
EPD-BOIL-2023-078,MAT013,The EPD Hub,Navien Inc.,Condensing Gas Boiler,2023-03-22,2028-03-22,Bureau Veritas,PCR-BOIL-2021-v2.8,North America,Stainless steel heat exchanger; natural gas,Product-specific,ISO 14025 / ISO 21930,1 boiler unit with 95% AFUE rating,20,A,±11%,https://theepdhub.com/BOIL-2023-078,Condensing technology
EPD-CHP-2022-145,MAT014,EPD Norway,Generic Industry Average,Combined Heat & Power Unit (100kW),2022-12-10,2027-12-10,DNV GL,PCR-CHP-2020-v1.5,Europe,Natural gas reciprocating engine,Industry-wide,ISO 14025 / EN 15804,1 CHP unit with 85% total efficiency,20,B,±18%,https://epd-norge.no/CHP-2022-145,Complex system with high maintenance
EPD-ERV-2023-234,MAT015,UL Environment,Panasonic Corporation,Energy Recovery Ventilator,2023-09-05,2028-09-05,UL Environment,PCR-VENT-2021-v2.0,North America,Aluminum heat exchanger core,Product-specific,ISO 14025 / ISO 21930,1 ERV unit with 80% sensible effectiveness,18,A,±10%,https://spot.ul.com/ERV-2023-234,Suitable for cold climates
EPD-DOAS-2023-167,MAT016,IBU (Institut Bauen und Umwelt),Generic Industry Average,Dedicated Outdoor Air System,2023-07-14,2028-07-14,TÜV SÜD,PCR-HVAC-2021-v3.2,Europe & North America,DOAS with integrated ERV,Industry-wide,ISO 14025 / EN 15804,1 complete DOAS unit,20,B+,±15%,https://epd-online.com/DOAS-2023-167,Includes enthalpy wheel
EPD-CO2-2023-089,MAT017,The EPD Hub,Generic Industry Average,CO2 Sensor System for DCV,2023-02-18,2028-02-18,SCS Global Services,PCR-CTRL-2022-v1.2,Global,NDIR sensor technology,Industry-wide,ISO 14025 / ISO 21930,1 complete CO2 sensing system with controller,15,B,±14%,https://theepdhub.com/CO2-2023-089,Includes wiring and control interface
EPD-THERM-2023-045,MAT018,UL Environment,ecobee Inc.,Smart Wi-Fi Thermostat,2023-01-25,2028-01-25,UL Environment,PCR-CTRL-2022-v1.2,North America,IoT-enabled with occupancy sensing,Product-specific,ISO 14025 / ISO 21930,1 thermostat unit with cloud connectivity,10,A-,±12%,https://spot.ul.com/THERM-2023-045,Includes cloud service infrastructure
EPD-PV-2023-234,MAT019,EPD Italy,LONGi Solar,Monocrystalline Solar PV Module (400W),2023-10-12,2028-10-12,RINA,PCR-PV-2022-v4.0,Global,Monocrystalline silicon PERC technology,Product-specific,ISO 14025 / EN 15804,1 kWp of installed PV capacity,30,A+,±8%,https://epd-italy.com/PV-2023-234,Tier 1 module with 25-year performance warranty
EPD-PV-2022-189,MAT020,EPD Norway,Generic Industry Average,Polycrystalline Solar PV Module (340W),2022-11-28,2027-11-28,DNV GL,PCR-PV-2022-v4.0,Global,Polycrystalline silicon technology,Industry-wide,ISO 14025 / EN 15804,1 kWp of installed PV capacity,30,A,±10%,https://epd-norge.no/PV-2022-189,Industry average EPD
EPD-INV-2023-123,MAT021,The EPD Hub,SMA Solar Technology,String Inverter for PV Systems,2023-05-30,2028-05-30,Bureau Veritas,PCR-INV-2022-v2.5,Global,Transformer-less string inverter,Product-specific,ISO 14025 / ISO 21930,1 kW of inverter rated capacity,15,A,±11%,https://theepdhub.com/INV-2023-123,98.5% peak efficiency
EPD-BAT-2023-167,MAT022,EPD Norway,BYD Company,Lithium Iron Phosphate Battery Storage,2023-08-18,2028-08-18,DNV GL,PCR-BAT-2023-v1.8,Global,LiFePO4 chemistry; residential scale,Product-specific,ISO 14025 / EN 15804,1 kWh of usable storage capacity,15,B+,±16%,https://epd-norge.no/BAT-2023-167,6000 cycle life @ 80% DoD
EPD-ST-2023-089,MAT023,EPD Australasia,Generic Industry Average,Flat Plate Solar Thermal Collector,2023-04-05,2028-04-05,Global GreenTag,PCR-ST-2021-v2.0,Global,Selective coating; aluminum frame,Industry-wide,ISO 14025 / ISO 21930,1 m² of solar thermal collector,25,A,±12%,https://epd-australasia.com/ST-2023-089,Suitable for domestic hot water
EPD-BIPV-2023-234,MAT024,IBU (Institut Bauen und Umwelt),Onyx Solar,Building-Integrated PV Module,2023-09-20,2028-09-20,TÜV Rheinland,PCR-BIPV-2023-v1.2,Europe,Frameless monocrystalline BIPV,Product-specific,ISO 14025 / EN 15804,1 kWp of BIPV installed capacity,35,A,±13%,https://epd-online.com/BIPV-2023-234,Dual function: envelope + power generation
EPD-LED-2023-156,MAT025,UL Environment,Philips Lighting,High-Efficiency LED Fixture (140 lm/W),2023-06-08,2028-06-08,UL Environment,PCR-LIGHT-2022-v3.0,Global,LED with advanced optics and driver,Product-specific,ISO 14025 / ISO 21930,1 complete LED fixture,15,A,±10%,https://spot.ul.com/LED-2023-156,L70 @ 50,000 hours
EPD-OCC-2023-078,MAT026,The EPD Hub,Generic Industry Average,PIR Occupancy Sensor,2023-02-14,2028-02-14,SCS Global Services,PCR-CTRL-2022-v1.2,Global,Passive infrared technology,Industry-wide,ISO 14025 / ISO 21930,1 occupancy sensor unit,12,B+,±13%,https://theepdhub.com/OCC-2023-078,Wall or ceiling mount
EPD-CIRC-2023-189,MAT027,IBU (Institut Bauen und Umwelt),Ketra (Lutron),Circadian Tunable White LED System,2023-07-22,2028-07-22,TÜV SÜD,PCR-LIGHT-2022-v3.0,North America & Europe,Tunable CCT 2700-6500K,Product-specific,ISO 14025 / EN 15804,1 complete tunable LED fixture,15,A-,±12%,https://epd-online.com/CIRC-2023-189,Human-centric lighting
EPD-SEAL-2023-045,MAT028,UL Environment,Generic Industry Average,Air Sealing Materials (Foam & Caulk),2023-01-30,2028-01-30,UL Environment,PCR-SEAL-2022-v1.5,North America,Polyurethane-based sealants,Industry-wide,ISO 14025 / ISO 21930,1 kg of air sealing material,20,B,±15%,https://spot.ul.com/SEAL-2023-045,Various formulations averaged
EPD-COOL-2023-123,MAT030,EPD Australasia,GAF Materials,High-Albedo Elastomeric Roof Coating,2023-03-10,2028-03-10,Global GreenTag,PCR-COAT-2021-v2.0,Global,Acrylic elastomeric; albedo >0.70,Product-specific,ISO 14025 / ISO 21930,1 m² of applied coating,15,A,±11%,https://epd-australasia.com/COOL-2023-123,CRRC rated product
EPD-GR-2023-167,MAT031,IBU (Institut Bauen und Umwelt),Generic Industry Average,Green Roof Growing Medium,2023-06-15,2028-06-15,DEKRA,PCR-GR-2022-v1.8,Europe & North America,Engineered soil with compost,Industry-wide,ISO 14025 / EN 15804,1 m³ of growing medium,40,B+,±17%,https://epd-online.com/GR-2023-167,High organic content; biogenic carbon
EPD-DRAIN-2023-089,MAT032,EPD Norway,ZinCo GmbH,Green Roof Drainage Layer (Recycled HDPE),2023-04-28,2028-04-28,DNV GL,PCR-GR-2022-v1.8,Europe,Recycled HDPE drainage board,Product-specific,ISO 14025 / EN 15804,1 m² of drainage layer,50,A,±10%,https://epd-norge.no/DRAIN-2023-089,85% recycled content
EPD-MEM-2023-134,MAT033,The EPD Hub,Firestone Building Products,EPDM Waterproofing Membrane,2023-05-12,2028-05-12,Bureau Veritas,PCR-MEM-2021-v2.5,North America,EPDM synthetic rubber,Product-specific,ISO 14025 / ISO 21930,1 m² of membrane,40,A,±9%,https://theepdhub.com/MEM-2023-134,Root-resistant formulation
EPD-VEG-2022-089,MAT034,EPD Australasia,Generic Industry Average,Sedum Vegetation Mat for Green Roofs,2022-09-08,2027-09-08,Global GreenTag,PCR-GR-2022-v1.8,Global,Pre-grown sedum species mix,Industry-wide,ISO 14025 / ISO 21930,1 m² of vegetation mat,10,C+,±22%,https://epd-australasia.com/VEG-2022-089,Living system; high variability
EPD-HPWH-2023-178,MAT035,UL Environment,A.O. Smith,Hybrid Electric Heat Pump Water Heater,2023-08-02,2028-08-02,UL Environment,PCR-WH-2022-v2.5,North America,Integrated heat pump with tank,Product-specific,ISO 14025 / ISO 21930,1 complete HPWH unit with COP 3.0,15,A,±11%,https://spot.ul.com/HPWH-2023-178,EnergyStar certified
EPD-CTWH-2023-145,MAT036,The EPD Hub,Rinnai Corporation,Condensing Tank Water Heater (Gas),2023-07-18,2028-07-18,Bureau Veritas,PCR-WH-2022-v2.5,North America & Asia,Stainless steel heat exchanger,Product-specific,ISO 14025 / ISO 21930,1 complete water heater with 96% efficiency,15,A,±10%,https://theepdhub.com/CTWH-2023-145,Ultra-low NOx burner
EPD-TLWH-2023-156,MAT037,UL Environment,Navien Inc.,Tankless Condensing Water Heater,2023-09-12,2028-09-12,UL Environment,PCR-WH-2022-v2.5,Global,On-demand; stainless steel HX,Product-specific,ISO 14025 / ISO 21930,1 tankless water heater with 98% efficiency,20,A,±10%,https://spot.ul.com/TLWH-2023-156,Suitable for hard water with maintenance
EPD-SPS-2023-089,MAT038,The EPD Hub,Generic Industry Average,Smart Power Strip with ZigBee,2023-04-20,2028-04-20,SCS Global Services,PCR-CTRL-2022-v1.2,Global,IoT-enabled power monitoring,Industry-wide,ISO 14025 / ISO 21930,1 smart power strip unit,8,B,±14%,https://theepdhub.com/SPS-2023-089,Eliminates phantom loads
EPD-REF-2023-234,MAT039,UL Environment,Generic Industry Average,ENERGY STAR Refrigerator (Top Freezer),2023-10-05,2028-10-05,UL Environment,PCR-APP-2022-v3.5,North America,Variable speed compressor,Industry-wide,ISO 14025 / ISO 21930,1 refrigerator unit meeting ENERGY STAR criteria,12,B+,±15%,https://spot.ul.com/REF-2023-234,Average of certified models
EPD-BMS-2023-189,MAT040,IBU (Institut Bauen und Umwelt),Johnson Controls,Comprehensive Building Management System,2023-08-25,2028-08-25,TÜV Rheinland,PCR-BAS-2022-v2.0,Global,Integrated HVAC and lighting controls,Product-specific,ISO 14025 / EN 15804,1 complete BMS for 10,000 m² building,15,B,±17%,https://epd-online.com/BMS-2023-189,Includes servers and network infrastructure
EPD-IOT-2023-145,MAT041,EPD Norway,Generic Industry Average,IoT Sensor Node (LoRaWAN),2023-06-28,2028-06-28,DNV GL,PCR-IOT-2023-v1.0,Global,LoRaWAN long-range connectivity,Industry-wide,ISO 14025 / EN 15804,1 sensor node with battery,10,B+,±15%,https://epd-norge.no/IOT-2023-145,Battery replacement required
EPD-AI-2023-234,MAT042,The EPD Hub,Generic Industry Average,AI-Based Predictive Control Software (SaaS),2023-09-18,2028-09-18,Bureau Veritas,PCR-SW-2023-v1.0,Global,Cloud-based machine learning,Industry-wide,ISO 14025 / ISO 21930,1 software license per building,10,C,±25%,https://theepdhub.com/AI-2023-234,Data center emissions; high uncertainty
EPD-SHADE-2023-156,MAT043,IBU (Institut Bauen und Umwelt),Hunter Douglas,Aluminum Fixed External Louvers,2023-07-05,2028-07-05,TÜV SÜD,PCR-SHADE-2022-v1.5,Global,Extruded aluminum with powder coating,Product-specific,ISO 14025 / EN 15804,1 m² of shading device,30,A,±11%,https://epd-online.com/SHADE-2023-156,High recycled aluminum content
EPD-DYN-2023-189,MAT044,UL Environment,Warema Renkhoff,Automated External Venetian Blinds,2023-08-15,2028-08-15,UL Environment,PCR-SHADE-2022-v1.5,Europe & North America,Motorized with solar tracking,Product-specific,ISO 14025 / EN 15804,1 m² of dynamic shading system,20,A-,±13%,https://spot.ul.com/DYN-2023-189,Includes motor and control system
EPD-PCM-2023-123,MAT045,The EPD Hub,Generic Industry Average,Phase Change Material Panel (Paraffin-Based),2023-03-28,2028-03-28,SCS Global Services,PCR-PCM-2022-v1.2,Global,Microencapsulated paraffin; 23°C transition,Industry-wide,ISO 14025 / ISO 21930,1 m² of PCM panel,25,B,±16%,https://theepdhub.com/PCM-2023-123,Thermal energy storage
EPD-DH-2023-167,MAT046,EPD Norway,Generic Industry Average,District Heating Connection Package,2023-05-22,2028-05-22,DNV GL,PCR-DH-2022-v2.0,Europe,Plate heat exchanger with piping,Industry-wide,ISO 14025 / EN 15804,1 complete district heating connection,30,B+,±15%,https://epd-norge.no/DH-2023-167,Includes substation equipment
EPD-DC-2023-178,MAT047,EPD Norway,Generic Industry Average,District Cooling Connection Package,2023-06-10,2028-06-10,DNV GL,PCR-DC-2022-v2.0,Europe & Middle East,Heat exchanger with control valves,Industry-wide,ISO 14025 / EN 15804,1 complete district cooling connection,30,B+,±15%,https://epd-norge.no/DC-2023-178,Includes chilled water connections
EPD-REGEN-2023-145,MAT048,UL Environment,Generic Industry Average,Elevator Regenerative Drive System,2023-07-30,2028-07-30,UL Environment,PCR-ELEV-2022-v1.5,Global,IGBT-based regenerative braking,Industry-wide,ISO 14025 / ISO 21930,1 regenerative drive system,20,B+,±14%,https://spot.ul.com/REGEN-2023-145,Energy recovery to grid
EPD-ELEV-2023-234,MAT049,IBU (Institut Bauen und Umwelt),Otis Elevator Company,Complete Elevator Modernization Package,2023-10-18,2028-10-18,DEKRA,PCR-ELEV-2022-v1.5,Global,Energy-efficient motors and controls,Product-specific,ISO 14025 / EN 15804,1 complete elevator modernization,25,A-,±13%,https://epd-online.com/ELEV-2023-234,Includes machine room-less technology
