sample_id,sand_content_percent,fines_content_percent,d10_mm,d30_mm,d50_mm,d60_mm,d90_mm,cu,cc,relative_density_percent,void_ratio,porosity,friction_angle_deg,dilation_angle_deg,critical_state_phi_deg,mean_effective_stress_kpa,cyclic_stress_ratio,n1_60,qc1n,b_pt,ru_peak,liquefaction_triggered,k0,material,dataset,liquid_limit,plastic_limit,plasticity_index,preconsolidation_stress_kpa,vertical_effective_stress_kpa,ocr,natural_water_content_percent,su_kpa,sensitivity,pore_pressure_ratio,clay_mineral,log10_k_m_per_s,case_id,case_type,magnitude_mw,peak_ground_acc_g,groundwater_depth_m,pore_pressure_ratio_peak,uplift_displacement_m,structural_damage_index,notes,groundwater_level_m,rainfall_event_mm,slope_angle_deg,depth_to_slip_surface_m,factor_of_safety,slip_surface_formed
SAND_00011,94.14,3.77,0.1649,0.2705,0.338,0.4857,0.4932,2.946,0.914,48.8,0.755,0.43,33.34,1.74,31.6,30.0,0.181,22.7,130.7,0.618,0.428,0,0.45,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00012,100.0,0.0,0.1615,0.2577,0.2714,0.3023,0.3893,1.872,1.36,74.7,0.583,0.368,37.46,3.15,34.31,212.0,0.214,29.8,129.8,0.44,0.408,0,0.392,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00013,90.45,11.63,0.218,0.3412,0.3574,0.4305,0.6807,1.975,1.24,66.5,0.662,0.398,35.36,1.91,33.45,166.0,0.294,25.7,123.0,0.649,0.675,0,0.421,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00014,88.99,15.46,0.1645,0.4326,0.3998,0.5633,0.784,3.424,2.019,52.9,0.779,0.438,33.47,3.67,29.79,166.6,0.252,20.4,81.9,0.464,0.683,0,0.449,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00015,88.61,9.09,0.1564,0.2743,0.2766,0.4403,0.4167,2.814,1.092,20.0,0.795,0.443,30.53,0.0,31.56,30.0,0.095,2.2,50.0,0.59,0.517,0,0.492,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00016,88.13,11.46,0.2094,0.316,0.3525,0.5253,0.4641,2.508,0.908,48.4,0.804,0.446,34.11,0.0,34.23,215.5,0.295,16.3,90.3,0.478,0.717,0,0.439,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00017,95.12,2.14,0.559,0.728,0.9085,1.0613,1.3539,1.898,0.893,20.0,0.942,0.485,30.94,0.0,32.19,118.6,0.305,11.1,50.0,0.725,0.853,1,0.486,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00018,85.6,13.15,0.2206,0.4215,0.4124,0.6535,0.5715,2.962,1.233,56.3,0.781,0.439,34.23,2.14,32.09,196.2,0.187,21.4,80.2,0.622,0.569,0,0.438,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00019,87.94,15.35,0.1635,0.2268,0.2795,0.3157,0.5138,1.931,0.997,54.2,0.725,0.42,34.01,1.46,32.55,69.5,0.179,20.8,90.4,0.632,0.5,0,0.441,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00020,91.49,6.37,0.1624,0.3291,0.3089,0.4457,0.4592,2.746,1.497,46.5,0.756,0.43,33.22,0.0,33.48,175.8,0.275,22.0,74.4,0.759,0.736,0,0.452,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00021,85.3,19.52,0.1802,0.439,0.4576,0.6166,0.8458,3.422,1.734,41.2,0.852,0.46,33.05,1.92,31.13,140.8,0.27,17.3,61.0,0.655,0.769,0,0.455,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00022,100.0,0.29,0.2326,0.4867,0.5979,0.7008,0.9658,3.013,1.454,76.5,0.643,0.391,37.65,6.91,30.73,112.9,0.15,27.4,107.9,0.25,0.361,0,0.389,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00023,85.79,13.77,0.2327,0.5223,0.6364,0.9721,1.3269,4.178,1.206,57.8,0.814,0.449,34.17,2.66,31.52,237.4,0.212,20.4,91.7,0.702,0.603,0,0.438,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00024,87.16,7.16,0.1308,0.2982,0.3065,0.4014,0.5455,3.069,1.694,45.7,0.766,0.434,32.21,0.0,32.54,146.4,0.273,10.5,53.4,0.466,0.675,0,0.467,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00025,93.61,9.24,0.1677,0.3122,0.324,0.3621,0.448,2.159,1.605,74.5,0.714,0.417,37.8,5.78,32.02,30.2,0.15,27.7,127.1,0.43,0.354,0,0.387,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00026,100.0,1.31,0.2028,0.3556,0.4163,0.6524,0.6245,3.216,0.956,69.1,0.714,0.417,35.77,3.64,32.13,60.1,0.105,31.2,152.1,0.687,0.396,0,0.415,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00027,96.89,5.59,0.2481,0.4825,0.5726,0.8714,1.1856,3.512,1.077,66.5,0.726,0.421,36.19,3.81,32.38,140.2,0.263,31.6,148.6,0.695,0.652,0,0.409,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00028,91.36,6.79,0.1502,0.186,0.2238,0.2948,0.3165,1.963,0.781,61.3,0.746,0.427,35.57,4.32,31.25,106.8,0.284,21.3,89.1,0.762,0.743,0,0.418,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00029,85.01,13.86,0.109,0.2696,0.293,0.4254,0.4022,3.903,1.568,54.0,0.706,0.414,32.88,2.12,30.76,122.5,0.313,20.9,112.6,0.592,0.776,0,0.457,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00030,89.6,11.3,0.1453,0.1796,0.1985,0.2424,0.2631,1.668,0.916,68.0,0.804,0.446,35.48,3.89,31.59,157.6,0.081,25.9,115.7,0.718,0.31,0,0.42,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00031,98.33,4.17,0.2489,0.384,0.4799,0.7357,0.9183,2.956,0.805,80.5,0.69,0.408,37.47,4.18,33.29,146.2,0.105,23.7,112.2,0.714,0.22,0,0.392,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00032,94.25,6.37,0.3537,0.3955,0.4824,0.5314,1.0529,1.502,0.832,67.0,0.779,0.438,34.89,2.1,32.79,163.8,0.143,27.0,113.4,0.215,0.374,0,0.428,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00033,91.69,10.94,0.0947,0.2238,0.2273,0.3353,0.4236,3.541,1.578,47.3,0.752,0.429,31.04,0.0,32.67,185.6,0.238,14.6,58.0,0.579,0.716,0,0.484,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00034,88.19,11.44,0.22,0.3367,0.3142,0.3714,0.4656,1.688,1.387,34.4,0.777,0.437,34.69,2.5,32.19,136.1,0.15,9.6,50.0,0.4,0.526,0,0.431,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00035,100.0,4.84,0.0698,0.1326,0.1614,0.2007,0.2737,2.876,1.255,70.3,0.73,0.422,36.14,3.58,32.57,182.6,0.219,25.8,99.4,0.379,0.513,0,0.41,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00036,82.28,20.48,0.1244,0.3336,0.3537,0.4194,0.7361,3.372,2.133,66.3,0.741,0.426,35.03,1.63,33.41,154.6,0.296,25.7,122.6,0.532,0.77,0,0.426,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00037,93.85,5.63,0.0888,0.1913,0.2366,0.3093,0.4858,3.482,1.332,89.9,0.638,0.39,38.1,5.61,32.49,183.8,0.145,36.8,171.5,0.613,0.409,0,0.383,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00038,97.67,0.63,0.1775,0.3764,0.4517,0.5535,0.7188,3.118,1.442,65.0,0.712,0.416,36.61,1.94,34.67,172.3,0.169,23.5,95.5,0.54,0.457,0,0.404,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00039,97.62,4.65,0.1862,0.4349,0.523,0.8214,0.7301,4.412,1.236,52.3,0.681,0.405,34.15,0.89,33.26,230.5,0.33,20.9,83.7,0.484,0.869,0,0.439,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00040,83.65,16.7,0.0866,0.1724,0.1625,0.2252,0.2491,2.602,1.525,31.6,0.814,0.449,32.52,0.13,32.39,109.8,0.075,11.6,50.9,0.478,0.32,0,0.462,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00041,82.76,19.85,0.1167,0.205,0.2195,0.2771,0.4629,2.374,1.299,54.9,0.856,0.461,35.01,1.87,33.13,277.4,0.218,15.7,66.5,0.82,0.465,0,0.426,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00042,100.0,0.64,0.1269,0.3472,0.3549,0.5269,0.7073,4.153,1.803,62.1,0.663,0.399,35.43,3.22,32.21,99.7,0.154,22.4,87.8,0.708,0.448,0,0.42,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00043,92.32,9.58,0.1793,0.292,0.2843,0.3748,0.5448,2.09,1.269,89.4,0.622,0.384,36.92,4.23,32.69,106.8,0.314,33.7,143.8,0.739,0.62,0,0.399,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00044,87.89,9.65,0.1809,0.2651,0.2577,0.4015,0.3967,2.22,0.968,68.8,0.71,0.415,36.5,5.14,31.36,200.9,0.294,24.3,93.7,0.403,0.615,0,0.405,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00045,81.49,20.55,0.2487,0.3503,0.3402,0.4829,0.4895,1.941,1.022,42.9,0.717,0.418,32.11,0.0,32.32,157.2,0.111,14.9,74.2,0.524,0.413,0,0.468,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00046,92.65,7.61,0.2117,0.3544,0.3537,0.4458,0.5304,2.106,1.331,47.9,0.837,0.456,33.61,1.01,32.6,108.3,0.199,21.1,76.2,0.51,0.65,0,0.447,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00047,100.0,0.7,0.2715,0.5487,0.5585,0.7793,0.941,2.871,1.423,92.9,0.626,0.385,38.04,5.96,32.08,101.7,0.174,37.6,156.7,0.65,0.295,0,0.384,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00048,83.52,16.35,0.1381,0.3646,0.3596,0.4093,0.4521,2.965,2.353,56.0,0.848,0.459,35.57,2.75,32.81,175.2,0.225,24.3,123.5,0.574,0.628,0,0.418,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00049,95.25,4.7,0.1677,0.3579,0.3396,0.495,0.5139,2.951,1.542,50.4,0.699,0.411,34.89,0.87,34.02,198.3,0.277,18.4,79.7,0.646,0.615,0,0.428,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00050,81.36,17.02,0.1901,0.3016,0.3016,0.373,0.565,1.962,1.283,75.1,0.649,0.393,34.75,2.0,32.75,105.0,0.242,26.1,138.0,0.491,0.534,0,0.43,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00051,88.24,12.35,0.0658,0.1808,0.1717,0.2532,0.247,3.849,1.963,52.5,0.738,0.425,34.96,3.41,31.55,174.8,0.418,14.0,50.0,0.666,0.915,1,0.427,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00052,93.54,7.32,0.1539,0.23,0.2665,0.3778,0.5804,2.455,0.91,55.6,0.717,0.418,35.38,1.77,33.61,178.6,0.366,24.3,110.5,0.736,0.741,0,0.421,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00053,75.78,16.55,0.2144,0.417,0.4183,0.5132,0.6068,2.393,1.58,55.5,0.787,0.44,32.89,0.0,35.1,30.0,0.104,18.7,104.8,0.676,0.443,0,0.457,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00054,96.01,5.66,0.2314,0.4278,0.4379,0.6018,0.6525,2.601,1.314,71.4,0.705,0.414,35.5,0.0,36.0,166.3,0.26,28.8,127.7,0.455,0.582,0,0.419,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00055,79.84,17.96,0.2374,0.3083,0.3353,0.4417,0.6845,1.86,0.906,95.3,0.589,0.371,40.07,7.58,32.48,152.9,0.189,31.3,136.9,0.2,0.321,0,0.356,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00056,95.35,4.2,0.262,0.475,0.5336,0.7078,0.8654,2.701,1.216,78.9,0.7,0.412,38.68,6.36,32.32,91.5,0.154,31.5,151.7,0.796,0.361,0,0.375,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00057,84.12,17.3,0.3229,0.4007,0.4332,0.6001,0.6686,1.858,0.829,69.0,0.684,0.406,35.5,1.93,33.56,39.2,0.129,24.7,120.4,0.718,0.325,0,0.419,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00058,100.0,0.0,0.1466,0.3631,0.339,0.4335,0.5943,2.957,2.074,47.0,0.774,0.436,34.75,1.71,33.04,155.3,0.172,11.5,77.3,0.39,0.499,0,0.43,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00059,98.18,4.3,0.3159,0.5121,0.6226,0.9799,1.2266,3.102,0.847,76.5,0.677,0.404,38.1,4.85,33.24,204.4,0.245,25.7,100.2,0.704,0.504,0,0.383,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00060,89.69,13.08,0.1966,0.2619,0.3067,0.4799,0.5945,2.441,0.727,52.9,0.731,0.422,36.25,6.08,30.17,145.4,0.2,21.9,94.2,0.491,0.602,0,0.409,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00061,95.26,6.71,0.2138,0.3332,0.3304,0.4943,0.5872,2.312,1.05,78.6,0.677,0.404,37.64,4.16,33.48,101.4,0.232,33.3,172.1,0.837,0.56,0,0.389,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00062,76.12,25.0,0.1919,0.3295,0.332,0.5228,0.4008,2.725,1.083,94.2,0.564,0.361,38.02,7.24,30.79,251.2,0.278,36.1,178.7,0.672,0.582,0,0.384,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00063,93.55,5.21,0.0868,0.1573,0.1833,0.2855,0.3197,3.289,0.998,54.2,0.787,0.44,33.62,0.24,33.38,89.9,0.207,26.1,112.1,0.442,0.559,0,0.446,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00064,99.73,6.47,0.2398,0.4435,0.4083,0.5938,0.644,2.476,1.381,57.6,0.8,0.445,37.49,4.22,33.26,103.4,0.333,19.8,76.7,0.701,0.788,0,0.391,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00065,87.34,12.7,0.1968,0.2369,0.2723,0.3203,0.423,1.628,0.891,79.1,0.654,0.395,36.55,4.91,31.65,132.4,0.234,30.2,146.7,0.519,0.543,0,0.404,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00066,88.34,12.91,0.2917,0.442,0.4694,0.5233,0.7322,1.794,1.28,73.9,0.656,0.396,36.83,5.05,31.78,154.8,0.207,29.6,145.4,0.582,0.523,0,0.401,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00067,88.88,13.21,0.1702,0.2993,0.2933,0.3332,0.3978,1.958,1.579,79.5,0.76,0.432,35.31,1.87,33.44,107.8,0.106,28.6,151.9,0.505,0.28,0,0.422,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00068,85.45,14.7,0.1027,0.2196,0.2717,0.3703,0.5811,3.607,1.269,52.2,0.722,0.419,35.95,5.83,30.13,125.8,0.283,18.9,98.5,0.605,0.757,0,0.413,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00069,78.09,20.16,0.1882,0.3546,0.3279,0.3843,0.4015,2.042,1.739,42.9,0.702,0.413,33.28,0.62,32.66,145.2,0.312,17.9,95.0,0.567,0.753,0,0.451,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00070,83.09,18.93,0.0953,0.1693,0.1662,0.2428,0.2378,2.549,1.239,68.1,0.716,0.417,34.24,2.74,31.51,59.8,0.299,26.6,99.7,0.459,0.73,0,0.437,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00071,90.63,8.65,0.1786,0.4574,0.4196,0.4709,0.6899,2.636,2.487,46.5,0.793,0.442,31.99,0.0,34.52,138.3,0.222,16.2,67.4,0.726,0.604,0,0.47,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00072,99.08,1.51,0.2206,0.2962,0.3179,0.4223,0.4292,1.915,0.942,82.0,0.675,0.403,36.73,3.13,33.6,115.4,0.244,30.4,114.0,0.54,0.5,0,0.402,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00073,74.38,25.0,0.2459,0.525,0.5772,0.7167,0.9317,2.915,1.564,39.9,0.769,0.435,32.18,0.31,31.86,177.5,0.226,18.6,74.1,0.518,0.638,0,0.467,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00074,88.35,11.27,0.0822,0.2138,0.2064,0.2741,0.3209,3.333,2.029,49.0,0.775,0.437,32.12,0.47,31.64,61.8,0.278,17.4,80.0,0.62,0.68,0,0.468,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00075,100.0,0.0,0.1116,0.2678,0.3086,0.3617,0.5142,3.241,1.776,71.0,0.828,0.453,36.95,3.18,33.77,57.4,0.286,26.4,105.0,0.476,0.661,0,0.399,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00076,91.3,8.3,0.1374,0.2856,0.2688,0.4029,0.3994,2.932,1.473,62.9,0.684,0.406,36.03,3.12,32.9,104.3,0.279,19.4,88.0,0.563,0.71,0,0.412,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00077,94.35,5.7,0.2094,0.2657,0.3095,0.3649,0.5618,1.743,0.924,68.5,0.722,0.419,36.94,5.7,31.24,98.0,0.223,23.3,101.3,0.41,0.592,0,0.399,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00078,93.22,8.73,0.1823,0.4047,0.4268,0.5676,0.5489,3.113,1.583,59.7,0.798,0.444,32.85,0.0,33.42,184.9,0.34,26.5,121.0,0.671,0.836,0,0.458,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00079,83.76,15.82,0.0531,0.1377,0.1395,0.1881,0.3005,3.545,1.9,41.7,0.698,0.411,31.19,0.0,32.1,274.4,0.14,15.7,85.0,0.698,0.562,0,0.482,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00080,94.54,2.12,0.0987,0.1702,0.1629,0.1873,0.336,1.898,1.567,54.8,0.748,0.428,32.23,1.01,31.22,168.2,0.169,23.2,112.4,0.587,0.483,0,0.467,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00081,99.5,0.67,0.2687,0.3401,0.3989,0.4461,0.8057,1.661,0.965,57.3,0.738,0.425,35.79,3.33,32.46,30.0,0.104,22.7,121.1,0.285,0.332,0,0.415,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00082,92.26,8.92,0.0907,0.1858,0.1803,0.2574,0.2956,2.838,1.479,47.2,0.751,0.429,34.65,1.6,33.05,119.6,0.31,18.9,100.6,0.584,0.882,0,0.431,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00083,92.57,7.42,0.2536,0.4058,0.4181,0.5635,0.9075,2.222,1.152,56.6,0.729,0.422,34.55,2.77,31.78,163.9,0.22,22.4,86.2,0.379,0.639,0,0.433,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00084,100.0,0.0,0.2756,0.3928,0.4232,0.5372,0.8812,1.949,1.042,68.9,0.768,0.434,35.29,2.94,32.34,66.9,0.161,22.9,99.5,0.553,0.392,0,0.422,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00085,86.67,11.24,0.3287,0.3951,0.4434,0.555,0.5595,1.689,0.856,87.2,0.573,0.364,39.2,6.56,32.64,218.2,0.351,35.0,130.7,0.379,0.739,0,0.368,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00086,99.4,1.67,0.1846,0.4568,0.4635,0.6822,0.7904,3.695,1.657,50.9,0.799,0.444,33.2,1.9,31.31,238.1,0.05,22.1,114.0,0.904,0.249,0,0.452,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00087,86.51,12.11,0.1178,0.3207,0.2962,0.3968,0.6286,3.37,2.201,100.0,0.467,0.318,38.83,6.9,31.93,78.4,0.216,40.2,208.0,0.506,0.387,0,0.373,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00088,77.74,19.35,0.3643,0.6394,0.6786,1.0568,0.8524,2.901,1.062,58.3,0.811,0.448,32.01,0.0,32.34,66.2,0.213,24.6,74.8,0.43,0.526,0,0.47,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00089,86.28,12.45,0.1677,0.3972,0.3646,0.4094,0.728,2.441,2.298,95.4,0.549,0.355,40.35,5.93,34.43,135.8,0.052,36.9,171.2,0.732,0.054,0,0.352,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00090,100.0,1.85,0.1578,0.2353,0.2597,0.4153,0.5528,2.632,0.845,70.5,0.724,0.42,35.26,1.73,33.53,128.6,0.194,30.4,129.6,0.2,0.451,0,0.423,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00091,96.3,2.08,0.1892,0.434,0.4559,0.587,0.7415,3.103,1.696,79.3,0.656,0.396,36.54,3.57,32.97,111.3,0.095,32.0,148.0,0.449,0.285,0,0.405,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00092,95.31,0.0,0.0571,0.1503,0.1417,0.1621,0.2983,2.839,2.44,52.0,0.74,0.425,34.36,0.08,34.27,134.1,0.316,15.1,50.0,0.465,0.74,0,0.436,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00093,99.34,2.09,0.1224,0.294,0.3095,0.4594,0.4015,3.754,1.537,90.7,0.6,0.375,40.13,5.8,34.33,157.4,0.388,39.0,180.9,0.507,0.721,0,0.356,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00094,94.03,4.78,0.2943,0.4226,0.4042,0.5976,0.6882,2.031,1.015,42.4,0.797,0.444,34.51,3.38,31.13,94.3,0.341,18.2,96.4,0.68,0.917,0,0.433,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAND_00095,92.32,8.22,0.1813,0.3265,0.3716,0.4342,0.6779,2.395,1.354,50.1,0.85,0.459,34.65,2.78,31.86,157.8,0.136,24.9,123.0,0.52,0.484,0,0.432,sand,sandy_soils,,,,,,,,,,,,,,,,,,,,,,,,,,,
