as_of,country,firm,type,details
2020-05-01,Uganda,Wave,regulatory_sanction,Reported regulatory action impacting operations
2020-10-01,Uganda,SafeBoda,funding_round,Raised USD 29m
2021-06-01,Uganda,SafeBoda,regulatory_sanction,Reported regulatory action impacting operations
2022-01-01,Uganda,SafeBoda,funding_round,Raised USD 21m
2022-05-01,Uganda,SafeBoda,funding_round,Raised USD 35m
2023-05-01,Uganda,SafeBoda,regulatory_sanction,Reported regulatory action impacting operations
2023-04-01,Tanzania,Tigo Pesa,regulatory_sanction,Reported regulatory action impacting operations
2024-03-01,Tanzania,Tigo Pesa,regulatory_sanction,Reported regulatory action impacting operations
2019-12-01,Tanzania,Vodacom M-Pesa,regulatory_sanction,Reported regulatory action impacting operations
2021-12-01,Tanzania,Vodacom M-Pesa,regulatory_sanction,Reported regulatory action impacting operations
2023-09-01,Tanzania,Vodacom M-Pesa,regulatory_sanction,Reported regulatory action impacting operations
2019-05-01,Tanzania,Airtel Money,regulatory_sanction,Reported regulatory action impacting operations
2022-04-01,Tanzania,Airtel Money,funding_round,Raised USD 43m
2019-11-01,Tanzania,Nala,funding_round,Raised USD 27m
2021-07-01,Tanzania,Nala,regulatory_sanction,Reported regulatory action impacting operations
2020-01-01,Tanzania,Selcom,funding_round,Raised USD 2m
2020-05-01,Tanzania,Selcom,funding_round,Raised USD 23m
2024-02-01,Tanzania,Selcom,funding_round,Raised USD 19m
2024-06-01,Tanzania,Selcom,regulatory_sanction,Reported regulatory action impacting operations
2020-11-01,Rwanda,MTN MoMo,regulatory_sanction,Reported regulatory action impacting operations
2024-01-01,Rwanda,Airtel Money,regulatory_sanction,Reported regulatory action impacting operations
2020-10-01,Rwanda,BK App,regulatory_sanction,Reported regulatory action impacting operations
2024-04-01,Rwanda,BK App,funding_round,Raised USD 4m
2019-09-01,Rwanda,YegoMoto,funding_round,Raised USD 14m
2020-09-01,Rwanda,YegoMoto,funding_round,Raised USD 7m
2019-10-01,Rwanda,Wave,regulatory_sanction,Reported regulatory action impacting operations
2020-11-01,Rwanda,Wave,regulatory_sanction,Reported regulatory action impacting operations
2021-09-01,Rwanda,Wave,funding_round,Raised USD 23m
2023-01-01,Rwanda,Wave,funding_round,Raised USD 5m
2024-09-01,Rwanda,Wave,funding_round,Raised USD 38m
2024-11-01,Rwanda,Wave,funding_round,Raised USD 11m
2019-02-01,Ethiopia,Telebirr,regulatory_sanction,Reported regulatory action impacting operations
2022-05-01,Ethiopia,Telebirr,regulatory_sanction,Reported regulatory action impacting operations
2023-10-01,Ethiopia,Telebirr,funding_round,Raised USD 8m
2019-10-01,Ethiopia,HelloCash,regulatory_sanction,Reported regulatory action impacting operations
2024-12-01,Ethiopia,Amole,funding_round,Raised USD 4m
2022-07-01,Ethiopia,Chapa,regulatory_sanction,Reported regulatory action impacting operations
2024-08-01,Ethiopia,Chapa,regulatory_sanction,Reported regulatory action impacting operations
2024-10-01,Ethiopia,Chapa,regulatory_sanction,Reported regulatory action impacting operations
2019-09-01,Ethiopia,ArifPay,funding_round,Raised USD 22m
2021-06-01,Ethiopia,ArifPay,regulatory_sanction,Reported regulatory action impacting operations
2022-04-01,Ethiopia,ArifPay,regulatory_sanction,Reported regulatory action impacting operations
2023-05-01,Côte d'Ivoire,Orange Money,funding_round,Raised USD 11m
2023-06-01,Côte d'Ivoire,Orange Money,regulatory_sanction,Reported regulatory action impacting operations
2023-03-01,Côte d'Ivoire,MTN MoMo,funding_round,Raised USD 28m
2024-12-01,Côte d'Ivoire,MTN MoMo,funding_round,Raised USD 1m
2021-01-01,Côte d'Ivoire,Wave,funding_round,Raised USD 35m
2024-06-01,Côte d'Ivoire,Wave,funding_round,Raised USD 47m
2020-06-01,Côte d'Ivoire,Moov Money,funding_round,Raised USD 32m
2021-05-01,Côte d'Ivoire,Moov Money,regulatory_sanction,Reported regulatory action impacting operations
2021-03-01,Côte d'Ivoire,Coris Pay,funding_round,Raised USD 13m
2021-11-01,Senegal,Wave,funding_round,Raised USD 43m
2023-04-01,Senegal,Wave,regulatory_sanction,Reported regulatory action impacting operations
2024-04-01,Senegal,Wave,regulatory_sanction,Reported regulatory action impacting operations
2022-02-01,Senegal,Free Money,funding_round,Raised USD 19m
2022-07-01,Senegal,Free Money,funding_round,Raised USD 13m
2024-03-01,Senegal,Free Money,regulatory_sanction,Reported regulatory action impacting operations
2024-11-01,Senegal,Free Money,funding_round,Raised USD 30m
2019-02-01,Senegal,Wari,funding_round,Raised USD 17m
