as_of,country,firm,vertical,revenue_usd,revenue_growth_pct,net_income_usd,burn_rate_usd,funding_stage,funding_total_usd,active_users,tx_volume_usd,tx_count,agents,cac_usd,churn_rate_pct,regulatory_sanction,distress_label
2022-04-01,Nigeria,Flutterwave,Lending,4544206.24,2.33,-790728.58,790728.58,Series B,85401372.97,820501,274692961.51,357238,11634,1.6,0.441,0,0
2022-05-01,Nigeria,Flutterwave,Lending,5648465.71,24.3,1880313.05,-0.0,Series B,85401372.97,841223,299407642.48,360961,11773,0.93,0.435,0,0
2022-06-01,Nigeria,Flutterwave,Lending,5696946.91,0.86,268772.69,-0.0,Series C,96068910.1,809853,296272986.08,342149,11871,3.15,0.795,0,0
2022-07-01,Nigeria,Flutterwave,Lending,4594362.79,-19.35,801421.73,-0.0,Series C,96068910.1,777150,270716564.56,331212,12191,2.32,0.2,0,0
2022-08-01,Nigeria,Flutterwave,Lending,4504351.12,-1.96,-42514.36,42514.36,Series C,96068910.1,806926,265878613.58,336851,12340,1.44,1.726,0,0
2022-09-01,Nigeria,Flutterwave,Lending,3701500.98,-17.82,437012.66,-0.0,Series C,96068910.1,815595,252151911.82,336781,12231,2.25,0.858,0,0
2022-10-01,Nigeria,Flutterwave,Lending,4519432.87,22.1,864179.06,-0.0,Series C,96068910.1,892864,255568153.67,364243,12313,2.11,0.879,0,0
2022-11-01,Nigeria,Flutterwave,Lending,4317754.03,-4.46,880859.36,-0.0,Series C,104852340.23,868408,236492201.59,349797,12247,0.76,0.312,0,0
2022-12-01,Nigeria,Flutterwave,Lending,4006198.18,-7.22,518076.66,-0.0,Series C,104852340.23,830569,236737912.72,343571,12125,2.41,0.555,0,0
2023-01-01,Nigeria,Flutterwave,Lending,4028142.04,0.55,151832.54,-0.0,Series C,104852340.23,865849,252586802.7,352950,11893,0.96,1.184,0,0
2023-02-01,Nigeria,Flutterwave,Lending,4417312.81,9.66,557758.21,-0.0,Series C,104852340.23,902352,283573632.9,350509,12044,2.01,0.364,0,0
2023-03-01,Nigeria,Flutterwave,Lending,5776095.0,30.76,478208.95,-0.0,Series C,104852340.23,918715,302735861.86,355383,12169,2.38,0.827,0,0
2023-04-01,Nigeria,Flutterwave,Lending,6062350.87,4.96,458228.27,-0.0,Series C,104852340.23,973097,360433016.01,376109,12197,1.85,0.95,0,0
2023-05-01,Nigeria,Flutterwave,Lending,6971661.83,15.0,862089.56,-0.0,Series C,104852340.23,1010295,379328919.88,384234,12194,2.18,0.347,0,0
2023-06-01,Nigeria,Flutterwave,Lending,5126391.81,-26.47,232.39,-0.0,Series C,104852340.23,992455,365849398.68,375116,12491,2.36,0.498,0,1
2023-07-01,Nigeria,Flutterwave,Lending,7606250.51,48.37,2868192.52,-0.0,Series C,110753624.37,1045855,359504273.65,395659,12492,2.7,1.243,0,0
2023-08-01,Nigeria,Flutterwave,Lending,7350619.23,-3.36,877936.05,-0.0,Series C,110753624.37,1123551,349715556.31,417092,12515,2.56,1.325,0,0
2023-09-01,Nigeria,Flutterwave,Lending,8157381.03,10.98,2128418.76,-0.0,Growth,122782363.04,1114695,312606477.86,401418,12591,1.7,0.617,0,0
2023-10-01,Nigeria,Flutterwave,Lending,7549763.92,-7.45,634544.37,-0.0,Growth,122782363.04,1147416,302394671.17,417379,12689,1.41,0.268,0,0
2023-11-01,Nigeria,Flutterwave,Lending,8259055.02,9.39,1494412.85,-0.0,Growth,122782363.04,1144240,286600658.21,413477,12647,1.32,1.756,0,0
2023-12-01,Nigeria,Flutterwave,Lending,8307808.42,0.59,3102579.7,-0.0,Growth,122782363.04,1110205,282170501.67,402723,12656,1.93,1.583,0,0
2024-01-01,Nigeria,Flutterwave,Lending,8560568.13,3.04,1861738.43,-0.0,Growth,122782363.04,1229815,325740071.78,428406,12675,1.77,1.456,0,0
2024-02-01,Nigeria,Flutterwave,Lending,8526811.21,-0.39,2412451.74,-0.0,Growth,122782363.04,1171983,347652245.51,405818,12696,1.49,1.003,0,0
2024-03-01,Nigeria,Flutterwave,Lending,7933071.85,-6.96,2234520.06,-0.0,Growth,122782363.04,1192462,387104514.78,407947,12873,1.55,0.823,0,0
2024-04-01,Nigeria,Flutterwave,Lending,8857892.27,11.66,1895960.47,-0.0,Growth,122782363.04,1211839,416485807.89,396813,12860,2.17,0.762,0,0
2024-05-01,Nigeria,Flutterwave,Lending,8051973.78,-9.1,922212.61,-0.0,Growth,122782363.04,1225401,424747042.27,390300,13065,1.52,0.246,0,0
2024-06-01,Nigeria,Flutterwave,Lending,10180285.95,26.43,1809058.22,-0.0,Growth,122782363.04,1241597,438585976.68,394963,12912,1.08,0.671,0,0
2024-07-01,Nigeria,Flutterwave,Lending,9534954.07,-6.34,1941261.31,-0.0,Growth,122782363.04,1305423,431188869.23,406378,12824,0.92,1.423,0,0
2024-08-01,Nigeria,Flutterwave,Lending,6807240.34,-28.61,760426.26,-0.0,Growth,122782363.04,1342667,395878223.66,402497,12671,1.94,0.854,0,1
2024-09-01,Nigeria,Flutterwave,Lending,6114670.79,-10.17,1451830.99,-0.0,Growth,122782363.04,1337663,366321574.48,393047,12680,0.75,0.615,0,0
2024-10-01,Nigeria,Flutterwave,Lending,7127133.35,16.56,1530437.28,-0.0,Growth,122782363.04,1423062,349962261.53,408324,12838,1.92,0.448,0,0
2024-11-01,Nigeria,Flutterwave,Lending,10005368.02,40.38,2181591.98,-0.0,Growth,122782363.04,1474510,341642422.41,417946,13079,1.52,0.876,0,0
2024-12-01,Nigeria,Flutterwave,Lending,7724905.74,-22.79,1048036.14,-0.0,Growth,122782363.04,1430995,341844820.77,410473,13116,1.49,0.2,0,0
2019-01-01,Nigeria,Paystack,Payments/Mobile Money,7578048.94,-1.46,2817712.98,-0.0,Growth,306321473.44,1570687,433225098.92,14222061,75547,0.5,0.2,0,0
2019-02-01,Nigeria,Paystack,Payments/Mobile Money,5579649.55,-26.37,1514040.62,-0.0,Growth,306321473.44,1587600,474156856.79,14311930,75627,0.5,0.271,0,1
2019-03-01,Nigeria,Paystack,Payments/Mobile Money,9758605.66,74.9,3869944.28,-0.0,Growth,306321473.44,1701548,560363952.99,15332329,76985,0.5,0.2,0,0
2019-04-01,Nigeria,Paystack,Payments/Mobile Money,8573194.23,-12.15,3099832.64,-0.0,Growth,306321473.44,1682170,593453020.32,14838779,78113,0.5,0.498,0,0
2019-05-01,Nigeria,Paystack,Payments/Mobile Money,9993808.93,16.57,4374040.45,-0.0,Growth,306321473.44,1702654,621295930.39,14412102,78911,0.5,0.2,0,0
2019-06-01,Nigeria,Paystack,Payments/Mobile Money,8239355.05,-17.56,3551260.31,-0.0,Growth,306321473.44,1658179,616077117.31,14032842,78974,0.5,0.2,0,0
2019-07-01,Nigeria,Paystack,Payments/Mobile Money,6832933.08,-17.07,3266217.3,-0.0,Growth,306321473.44,1660414,619655022.25,14066383,79849,0.5,0.2,0,0
2019-08-01,Nigeria,Paystack,Payments/Mobile Money,6677161.09,-2.28,2524573.52,-0.0,Growth,306321473.44,1432780,500357457.47,12050545,79970,0.5,0.2,1,1
2019-09-01,Nigeria,Paystack,Payments/Mobile Money,6313304.79,-5.45,2642904.17,-0.0,Growth,306321473.44,1475424,471797249.7,12262518,79940,0.5,0.35,0,0
2019-10-01,Nigeria,Paystack,Payments/Mobile Money,5186096.37,-17.85,1135840.42,-0.0,Growth,306321473.44,1466197,432779319.37,12067176,79324,0.5,0.2,0,0
2019-11-01,Nigeria,Paystack,Payments/Mobile Money,5566521.48,7.34,2222692.38,-0.0,Growth,306321473.44,1412669,409423265.83,11485522,80353,0.5,0.345,0,0
2019-12-01,Nigeria,Paystack,Payments/Mobile Money,4732371.86,-14.99,1001299.46,-0.0,Growth,306321473.44,1486150,412629095.56,11932209,81502,0.5,0.309,0,0
2020-01-01,Nigeria,Paystack,Payments/Mobile Money,6433461.1,35.95,1797293.68,-0.0,Growth,306321473.44,1516722,433562245.03,12067409,80874,0.5,0.208,0,0
2020-02-01,Nigeria,Paystack,Payments/Mobile Money,8467366.0,31.61,4608938.75,-0.0,Growth,306321473.44,1589852,483253065.06,12550288,80768,0.5,0.431,0,0
2020-03-01,Nigeria,Paystack,Payments/Mobile Money,6976573.49,-17.61,3590205.63,-0.0,Growth,306321473.44,1600786,534790896.51,12425048,80072,0.5,0.36,0,0
2020-04-01,Nigeria,Paystack,Payments/Mobile Money,6613830.92,-5.2,2473772.71,-0.0,Growth,306321473.44,1634805,594414103.33,12566629,80151,0.5,0.2,0,0
2020-05-01,Nigeria,Paystack,Payments/Mobile Money,8653571.58,30.84,1698308.63,-0.0,Growth,306321473.44,1689190,670355672.05,12915234,80318,0.5,0.249,0,0
2020-06-01,Nigeria,Paystack,Payments/Mobile Money,10171695.82,17.54,4365736.62,-0.0,Growth,306321473.44,1723340,691734275.21,12689127,80021,0.5,0.2,0,0
2020-07-01,Nigeria,Paystack,Payments/Mobile Money,11533543.19,13.39,5579509.68,-0.0,Growth,306321473.44,1747132,658404939.86,12740457,80340,0.5,0.357,0,0
2020-08-01,Nigeria,Paystack,Payments/Mobile Money,11990785.18,3.96,5533086.25,-0.0,Growth,306321473.44,1778493,637784737.91,12768309,82049,0.5,0.2,0,0
2020-09-01,Nigeria,Paystack,Payments/Mobile Money,8610828.91,-28.19,2771905.6,-0.0,Growth,306321473.44,1686020,543960526.52,11845221,83286,0.5,0.241,0,1
2020-10-01,Nigeria,Paystack,Payments/Mobile Money,9268737.04,7.64,4717989.27,-0.0,Growth,306321473.44,1665250,518820581.54,11788690,84608,0.5,0.2,0,0
2020-11-01,Nigeria,Paystack,Payments/Mobile Money,8653054.68,-6.64,3656038.42,-0.0,Growth,306321473.44,1677253,492402165.19,11826024,84074,0.5,0.2,0,0
2020-12-01,Nigeria,Paystack,Payments/Mobile Money,7855048.13,-9.22,3435267.92,-0.0,Growth,306321473.44,1731159,497905649.11,11967544,84380,0.5,0.2,0,0
2021-01-01,Nigeria,Paystack,Payments/Mobile Money,6982677.74,-11.11,3287343.29,-0.0,Growth,306321473.44,1703602,500273986.22,11930360,85474,0.5,0.2,0,0
2021-02-01,Nigeria,Paystack,Payments/Mobile Money,6028219.99,-13.67,3084145.08,-0.0,Growth,306321473.44,1779810,551721947.82,12257828,84914,0.5,0.2,0,0
2021-03-01,Nigeria,Paystack,Payments/Mobile Money,8793064.75,45.87,3880140.47,-0.0,Growth,306321473.44,1944667,640552733.07,13360836,85922,0.5,0.2,0,0
2021-04-01,Nigeria,Paystack,Payments/Mobile Money,10577723.85,20.3,2839093.35,-0.0,Growth,306321473.44,2016643,740361468.73,13784799,84469,0.5,0.422,0,0
2021-05-01,Nigeria,Paystack,Payments/Mobile Money,10686744.55,1.03,4902325.82,-0.0,Growth,306321473.44,1991381,775929246.72,13555703,84750,0.5,0.2,0,0
2021-06-01,Nigeria,Paystack,Payments/Mobile Money,7597788.43,-28.9,3119733.5,-0.0,Growth,306321473.44,2049628,788342339.52,13874728,84344,0.5,0.276,0,1
2021-07-01,Nigeria,Paystack,Payments/Mobile Money,9343316.42,22.97,3047952.09,-0.0,Growth,306321473.44,2073599,785360993.93,13692675,85451,0.5,0.364,0,0
2021-08-01,Nigeria,Paystack,Payments/Mobile Money,11849250.08,26.82,5009351.94,-0.0,Growth,306321473.44,2157612,748178043.38,13918800,83245,0.52,0.459,0,0
2021-09-01,Nigeria,Paystack,Payments/Mobile Money,13225322.29,11.61,6044174.24,-0.0,Growth,306321473.44,2301912,715260257.71,14356984,83192,0.5,0.2,0,0
2021-10-01,Nigeria,Paystack,Payments/Mobile Money,11442465.2,-13.48,4021106.44,-0.0,Growth,306321473.44,2275815,653569197.27,14418931,84718,0.5,0.2,0,0
2021-11-01,Nigeria,Paystack,Payments/Mobile Money,10060321.24,-12.08,3460677.43,-0.0,Growth,306321473.44,2475607,653895673.11,15564415,85207,0.5,0.511,0,0
2021-12-01,Nigeria,Paystack,Payments/Mobile Money,10366506.96,3.04,4343099.65,-0.0,Growth,306321473.44,2476244,623340877.67,14863378,85995,0.5,0.56,0,0
2022-01-01,Nigeria,Paystack,Payments/Mobile Money,12284943.72,18.51,8368491.11,-0.0,Growth,306321473.44,2506813,666603600.29,15035424,87716,0.5,0.2,0,0
2022-02-01,Nigeria,Paystack,Payments/Mobile Money,9395187.46,-23.52,3177403.77,-0.0,Growth,306321473.44,2418188,712952511.97,14723241,87354,0.5,0.2,0,0
2022-03-01,Nigeria,Paystack,Payments/Mobile Money,8987890.26,-4.34,3733226.14,-0.0,Growth,306321473.44,2291926,725388245.4,14066755,88030,0.5,0.471,0,0
2022-04-01,Nigeria,Paystack,Payments/Mobile Money,11275172.97,25.45,5965285.3,-0.0,Growth,306321473.44,2213802,740190768.69,13378546,88469,0.5,0.2,0,0
2022-05-01,Nigeria,Paystack,Payments/Mobile Money,10345189.83,-8.25,5492682.44,-0.0,Growth,306321473.44,2325695,800860158.02,13734382,89648,0.5,0.2,0,0
2022-06-01,Nigeria,Paystack,Payments/Mobile Money,10405047.68,0.58,2689707.6,-0.0,Growth,306321473.44,2413010,827017063.61,13818284,88477,0.5,0.226,0,0
2022-07-01,Nigeria,Paystack,Payments/Mobile Money,13658739.8,31.27,7036904.95,-0.0,Growth,306321473.44,2424625,815113928.45,13611426,88742,0.5,0.2,0,0
2022-08-01,Nigeria,Paystack,Payments/Mobile Money,13214879.53,-3.25,4874298.65,-0.0,Growth,306321473.44,2416464,758409899.32,13168879,89778,0.5,0.2,0,0
2022-09-01,Nigeria,Paystack,Payments/Mobile Money,11889827.23,-10.03,4139685.27,-0.0,Growth,306321473.44,2566182,766633947.95,13970877,92639,0.5,0.406,0,0
2022-10-01,Nigeria,Paystack,Payments/Mobile Money,8270449.09,-30.44,2395175.29,-0.0,Growth,306321473.44,2549621,727226112.7,14326250,93506,0.5,0.33,0,1
2022-11-01,Nigeria,Paystack,Payments/Mobile Money,8576136.04,3.7,3668420.71,-0.0,Growth,306321473.44,2689303,703132564.4,14343229,93605,0.5,0.374,0,0
2022-12-01,Nigeria,Paystack,Payments/Mobile Money,8891080.68,3.67,4835495.69,-0.0,Growth,306321473.44,2632165,692288074.53,14183050,93347,0.5,0.2,0,0
2023-01-01,Nigeria,Paystack,Payments/Mobile Money,11140986.29,25.31,5322440.01,-0.0,Growth,306321473.44,2582696,720901227.03,13788186,92765,0.5,0.477,0,0
2023-02-01,Nigeria,Paystack,Payments/Mobile Money,11830411.1,6.19,7469719.04,-0.0,Growth,306321473.44,2655801,820539203.81,14229416,95004,0.5,0.2,0,0
2023-03-01,Nigeria,Paystack,Payments/Mobile Money,14976782.41,26.6,8295835.62,-0.0,Growth,306321473.44,2663111,916871479.83,14198174,95815,0.5,0.474,0,0
2023-04-01,Nigeria,Paystack,Payments/Mobile Money,14275262.68,-4.68,3897626.6,-0.0,Growth,306321473.44,2647270,1016579066.8,13963710,94277,0.5,0.2,0,0
2023-05-01,Nigeria,Paystack,Payments/Mobile Money,20282121.16,42.08,9326299.06,-0.0,Growth,306321473.44,2667000,1067523641.18,13988880,96050,0.5,0.2,0,0
2023-06-01,Nigeria,Paystack,Payments/Mobile Money,18892754.14,-6.85,13120501.53,-0.0,Growth,306321473.44,2653480,1072905765.7,13658887,97850,0.5,0.432,0,0
2023-07-01,Nigeria,Paystack,Payments/Mobile Money,17881841.97,-5.35,9293882.11,-0.0,Growth,306321473.44,2802842,1086794600.89,14534674,97700,0.5,0.2,0,0
2023-08-01,Nigeria,Paystack,Payments/Mobile Money,17431386.54,-2.52,8513788.85,-0.0,Growth,306321473.44,2815704,989588057.25,14530869,98482,0.5,0.238,0,0
2023-09-01,Nigeria,Paystack,Payments/Mobile Money,11188390.26,-35.81,4976809.91,-0.0,Growth,306321473.44,2363953,763706043.66,12229418,100549,0.5,0.2,1,1
2023-10-01,Nigeria,Paystack,Payments/Mobile Money,9842029.16,-12.03,3436540.04,-0.0,Growth,306321473.44,2477950,743007576.1,13049146,100313,0.5,0.2,0,0
2023-11-01,Nigeria,Paystack,Payments/Mobile Money,12047485.01,22.41,6021008.23,-0.0,Growth,306321473.44,2564048,711620825.01,13258578,98858,0.5,0.2,0,0
2023-12-01,Nigeria,Paystack,Payments/Mobile Money,12827105.37,6.47,5730044.57,-0.0,Growth,306321473.44,2649439,753635956.83,14008913,98297,0.5,0.31,0,0
2024-01-01,Nigeria,Paystack,Payments/Mobile Money,13480134.65,5.09,5421144.91,-0.0,Growth,306321473.44,2741391,795137252.43,14739626,97381,0.5,0.247,0,0
2024-02-01,Nigeria,Paystack,Payments/Mobile Money,12231497.09,-9.26,5011671.43,-0.0,Growth,306321473.44,2728643,822214500.73,14372376,98735,0.5,0.2,0,0
2024-03-01,Nigeria,Paystack,Payments/Mobile Money,11569964.64,-5.41,4220457.56,-0.0,Growth,306321473.44,2625462,849943117.91,13911905,99028,0.5,0.2,0,0
2024-04-01,Nigeria,Paystack,Payments/Mobile Money,12905780.87,11.55,7016141.57,-0.0,Growth,306321473.44,2779089,945261429.06,14502292,99735,0.5,0.2,0,0
2024-05-01,Nigeria,Paystack,Payments/Mobile Money,12842712.43,-0.49,7427775.42,-0.0,Growth,306321473.44,2888004,975781988.6,14647064,99305,0.5,0.427,0,0
2024-06-01,Nigeria,Paystack,Payments/Mobile Money,12077790.77,-5.96,6870662.68,-0.0,Growth,306321473.44,2845369,964735114.85,14221707,101820,0.5,0.2,0,0
2024-07-01,Nigeria,Paystack,Payments/Mobile Money,8368848.46,-30.71,4108832.98,-0.0,Growth,306321473.44,2788529,919037910.11,14174672,100838,0.5,0.2,0,1
2024-08-01,Nigeria,Paystack,Payments/Mobile Money,7769776.41,-7.16,4594236.55,-0.0,Growth,306321473.44,2760429,842933526.53,14143020,103150,0.5,0.2,0,0
2024-09-01,Nigeria,Paystack,Payments/Mobile Money,6943347.11,-10.64,4825883.17,-0.0,Growth,306321473.44,2868683,805121244.88,14713867,103274,0.55,0.2,0,0
2024-10-01,Nigeria,Paystack,Payments/Mobile Money,7449610.32,7.29,2904765.81,-0.0,Growth,306321473.44,3115819,852628514.09,16087074,104036,0.5,0.2,0,0
2024-11-01,Nigeria,Paystack,Payments/Mobile Money,10067140.08,35.14,5350490.95,-0.0,Growth,306321473.44,3269918,862237343.88,16855941,104503,0.5,0.2,0,0
2024-12-01,Nigeria,Paystack,Payments/Mobile Money,15822638.15,57.17,9452604.61,-0.0,Growth,306321473.44,3371561,901701220.85,17323131,105021,0.5,0.366,0,0
2019-01-01,Nigeria,OPay,Insurtech,621055.38,-32.29,-1554608.95,1554608.95,Growth,867802628.94,157697,8628032.33,115121,973,0.5,0.229,0,1
2019-02-01,Nigeria,OPay,Insurtech,524423.27,-15.56,-1028462.6,1028462.6,Growth,867802628.94,161564,9343618.43,117644,987,0.5,0.246,0,0
2019-03-01,Nigeria,OPay,Insurtech,519382.62,-0.96,-992551.29,992551.29,Growth,867802628.94,177483,10856126.23,128390,1004,0.5,0.272,0,0
2019-04-01,Nigeria,OPay,Insurtech,423488.64,-18.46,-296860.02,296860.02,Growth,867802628.94,188598,12286325.06,131891,1036,0.5,0.402,0,0
2019-05-01,Nigeria,OPay,Insurtech,370893.83,-12.42,-352286.32,352286.32,Growth,867802628.94,191218,13110741.75,130389,1064,0.5,0.428,0,0
2019-06-01,Nigeria,OPay,Insurtech,350059.36,-5.62,-118167.42,118167.42,Growth,867802628.94,186414,12759750.29,123837,1056,0.5,0.244,0,0
2019-07-01,Nigeria,OPay,Insurtech,275518.07,-21.29,-872741.85,872741.85,Growth,867802628.94,191443,12969132.14,124428,1065,0.5,0.403,0,0
2019-08-01,Nigeria,OPay,Insurtech,289739.77,5.16,-722828.81,722828.81,Growth,867802628.94,196013,12302813.23,125243,1069,0.5,0.213,0,0
2019-09-01,Nigeria,OPay,Insurtech,248417.32,-14.26,-1041787.41,1041787.41,Growth,867802628.94,190023,11090106.51,120633,1080,0.5,0.2,0,0
2019-10-01,Nigeria,OPay,Insurtech,225559.63,-9.2,-539466.82,539466.82,Growth,867802628.94,193861,10893168.91,120214,1069,0.5,0.293,0,0
2019-11-01,Nigeria,OPay,Insurtech,206299.86,-8.54,-84781.33,84781.33,Growth,867802628.94,196888,10535205.94,120092,1092,0.5,0.392,0,0
2019-12-01,Nigeria,OPay,Insurtech,199951.4,-3.08,-805527.92,805527.92,Growth,867802628.94,210645,11294320.84,125254,1084,0.5,0.2,0,0
2020-01-01,Nigeria,OPay,Insurtech,263548.62,31.81,-295230.49,295230.49,Growth,867802628.94,229091,12513893.63,135287,1085,0.5,0.219,0,0
2020-02-01,Nigeria,OPay,Insurtech,254113.7,-3.58,-328457.72,328457.72,Growth,867802628.94,212826,13054133.33,128588,1087,0.5,0.2,0,0
2020-03-01,Nigeria,OPay,Insurtech,330336.97,30.0,-1469967.46,1469967.46,Growth,867802628.94,214192,13897707.45,123441,1084,0.5,0.2,0,0
2020-04-01,Nigeria,OPay,Insurtech,339137.21,2.66,-168212.08,168212.08,Growth,867802628.94,222434,15586784.7,127249,1099,0.5,0.283,0,0
2020-05-01,Nigeria,OPay,Insurtech,393158.52,15.93,-493946.62,493946.62,Growth,867802628.94,227257,16684734.03,125768,1097,0.5,0.222,0,0
