building_id,component,material,mass_kg
B00022,roof,metal,31118.42335606108
B00022,windows,glass,31118.423356061077
B00022,envelope_insulation,insulation_eps,77941.28292188878
B00023,walls,wood,2040289.0938485542
B00023,roof,bitumen,8334.514272257165
B00023,windows,glass,106265.05697127886
B00023,envelope_insulation,insulation_mineral_wool,293869.1985524135
B00024,walls,concrete,7069538.050820051
B00024,roof,tile,84970.40926466408
B00024,windows,glass,92051.27670338607
B00024,envelope_insulation,insulation_mineral_wool,288384.47792864154
B00025,walls,wood,728227.8363158631
B00025,roof,metal,75857.06628290241
B00025,windows,glass,37928.533141451204
B00025,envelope_insulation,insulation_eps,94414.59819524217
B00026,walls,brick,2339410.499478523
B00026,roof,membrane,4587.0794107422025
B00026,windows,glass,43003.86947570815
B00026,envelope_insulation,insulation_eps,75782.74019184177
B00027,walls,concrete,13244232.610646196
B00027,roof,membrane,22993.45939348298
B00027,windows,glass,172450.94545112233
B00027,envelope_insulation,insulation_mineral_wool,537599.8438914607
B00028,walls,brick,11918712.210951801
B00028,roof,metal,51551.52340377077
B00028,windows,glass,219093.97446602574
B00028,envelope_insulation,insulation_mineral_wool,585777.1873795044
B00029,walls,aerated_concrete,9730144.006118232
B00029,roof,bitumen,22523.48149564406
B00029,windows,glass,253389.16682599566
B00029,envelope_insulation,insulation_mineral_wool,730785.727327804
B00030,walls,brick,14501592.05761276
B00030,roof,metal,82022.57951138438
B00030,windows,glass,266573.38341199927
B00030,envelope_insulation,insulation_eps,560538.7729924567
B00031,walls,steel,2102165.1992031815
B00031,roof,bitumen,15641.11011311891
B00031,windows,glass,187693.3213574269
B00031,envelope_insulation,insulation_eps,350894.16401890764
B00032,walls,wood,300585.791444909
B00032,roof,tile,26838.01709329545
B00032,windows,glass,15655.509971089012
B00032,envelope_insulation,insulation_eps,34906.70854484842
B00033,walls,steel,2759063.359400291
B00033,roof,tile,197075.95424287792
B00033,windows,glass,246344.9428035974
B00033,envelope_insulation,insulation_mineral_wool,654017.5061454743
B00034,walls,brick,21538807.992660154
B00034,roof,tile,250063.56028630212
B00034,windows,glass,395933.9704533117
B00034,envelope_insulation,insulation_eps,934683.0420000476
B00035,walls,brick,14977843.162806518
B00035,roof,bitumen,28238.769160645774
B00035,windows,glass,275327.9993162963
B00035,envelope_insulation,insulation_mineral_wool,799268.7959751228
B00036,walls,concrete,15187044.554170791
B00036,roof,tile,263663.967954354
B00036,windows,glass,197747.9759657655
B00036,envelope_insulation,insulation_mineral_wool,597687.1856115911
B00037,walls,concrete,14315808.986971673
B00037,roof,tile,149123.01028095494
B00037,windows,glass,186403.76285119363
B00037,envelope_insulation,insulation_eps,452290.6695736735
B00038,walls,wood,2391037.4014446884
B00038,roof,metal,45284.79926978577
B00038,windows,glass,124533.19799191086
B00038,envelope_insulation,insulation_eps,235055.32658978688
B00039,walls,steel,108598.86582083252
B00039,roof,membrane,10342.749125793574
B00039,windows,glass,9696.327305431476
B00039,envelope_insulation,insulation_mineral_wool,48578.121757893794
B00040,walls,steel,730314.0795542718
B00040,roof,bitumen,21735.538081972376
B00040,windows,glass,65206.614245917124
B00040,envelope_insulation,insulation_mineral_wool,198615.28033354663
B00041,walls,concrete,2124374.109493622
B00041,roof,membrane,7376.298991297299
B00041,windows,glass,27661.12121736487
B00041,envelope_insulation,insulation_mineral_wool,72459.77850018324
B00042,walls,brick,866111.1224503805
B00042,roof,metal,63684.641356645625
B00042,windows,glass,15921.160339161406
B00042,envelope_insulation,insulation_mineral_wool,82740.61549600367
B00043,walls,brick,2563460.7467741556
B00043,roof,metal,26927.108684602477
B00043,windows,glass,47122.44019805433
B00043,envelope_insulation,insulation_mineral_wool,121366.32058367284
B00044,walls,concrete,535400.836184517
B00044,roof,bitumen,4647.576702990598
B00044,windows,glass,6971.365054485897
B00044,envelope_insulation,insulation_mineral_wool,29039.054824176543
B00045,walls,steel,178106.2328793763
B00045,roof,tile,11225.182744498507
B00045,windows,glass,15902.342221372885
B00045,envelope_insulation,insulation_mineral_wool,41837.591440728385
B00046,walls,aerated_concrete,8566434.653778007
B00046,roof,membrane,16996.894154321446
B00046,windows,glass,223084.23577546896
B00046,envelope_insulation,insulation_mineral_wool,697882.0325893565
B00047,walls,wood,647839.241087443
B00047,roof,tile,202449.76283982594
B00047,windows,glass,33741.62713997099
B00047,envelope_insulation,insulation_eps,105139.41976902352
B00048,walls,steel,1484215.6426100826
B00048,roof,membrane,9423.591381651318
B00048,windows,glass,132519.25380447166
B00048,envelope_insulation,insulation_mineral_wool,345963.66514467483
B00049,walls,concrete,7096504.566476352
B00049,roof,membrane,4928.128171164133
B00049,windows,glass,92402.4032093275
B00049,envelope_insulation,insulation_mineral_wool,284273.4384557012
B00050,walls,concrete,3670319.9375306363
B00050,roof,bitumen,4248.0554832530515
B00050,windows,glass,47790.62418659683
B00050,envelope_insulation,insulation_eps,83331.54989275264
B00051,walls,concrete,5145245.656906446
B00051,roof,bitumen,29775.727181171565
B00051,windows,glass,66995.38615763602
B00051,envelope_insulation,insulation_mineral_wool,195652.7604698755
B00052,walls,concrete,2769885.4411497023
B00052,roof,membrane,2024.770059319958
B00052,windows,glass,36066.216681636746
B00052,envelope_insulation,insulation_mineral_wool,95799.34368889873
B00053,walls,brick,8095726.296045721
B00053,roof,tile,198424.66411876772
B00053,windows,glass,148818.49808907576
B00053,envelope_insulation,insulation_mineral_wool,376748.0823081412
B00054,walls,steel,780429.8002529993
B00054,roof,tile,46454.15477696424
B00054,windows,glass,69681.23216544636
B00054,envelope_insulation,insulation_mineral_wool,180591.26063122984
B00055,walls,brick,3768399.954933518
B00055,roof,bitumen,13194.677713352652
B00055,windows,glass,69272.05799510144
B00055,envelope_insulation,insulation_mineral_wool,203714.06482137018
B00056,walls,concrete,10412778.24480156
B00056,roof,bitumen,10633.96471078591
B00056,windows,glass,135583.05006252034
B00056,envelope_insulation,insulation_eps,293888.23321821814
B00057,walls,concrete,16065964.783035742
B00057,roof,metal,64366.84608588038
B00057,windows,glass,209192.2497791112
B00057,envelope_insulation,insulation_mineral_wool,596665.7594960599
B00058,walls,brick,4855655.552524828
B00058,roof,tile,153014.35564679082
B00058,windows,glass,89258.37412729465
B00058,envelope_insulation,insulation_eps,157564.2533952759
B00059,walls,concrete,6456184.29980123
B00059,roof,membrane,14944.871064354698
B00059,windows,glass,84064.89973699518
B00059,envelope_insulation,insulation_eps,204407.72515909493
B00060,walls,wood,120068.5734864002
B00060,roof,bitumen,4169.047690500007
B00060,windows,glass,6253.57153575001
B00060,envelope_insulation,insulation_eps,19036.409285954112
B00061,walls,wood,1876267.1620520325
B00061,roof,tile,195444.49604708675
B00061,windows,glass,97722.24802354336
B00061,envelope_insulation,insulation_mineral_wool,273401.67915134627
B00062,walls,wood,353748.20817700867
B00062,roof,tile,110546.31505531521
B00062,windows,glass,18424.385842552536
B00062,envelope_insulation,insulation_mineral_wool,70408.34947809808
B00063,walls,wood,3112840.4736500178
B00063,roof,membrane,9607.532326080302
B00063,windows,glass,162127.1080026051
B00063,envelope_insulation,insulation_mineral_wool,359106.9315961008
B00064,walls,wood,3562330.084287667
B00064,roof,membrane,17991.566082260946
B00064,windows,glass,185538.025223316
B00064,envelope_insulation,insulation_mineral_wool,441940.5870689038
B00065,walls,wood,1064943.7049068627
B00065,roof,membrane,7395.4423951865465
B00065,windows,glass,55465.8179638991
B00065,envelope_insulation,insulation_mineral_wool,128723.8953500468
B00066,walls,aerated_concrete,979271.1902528973
B00066,roof,membrane,13600.988753512464
B00066,windows,glass,25501.853912835868
B00066,envelope_insulation,insulation_mineral_wool,79585.37800734244
B00067,walls,aerated_concrete,3192601.438891917
B00067,roof,membrane,4926.85407236407
B00067,windows,glass,83140.66247114367
B00067,envelope_insulation,insulation_mineral_wool,210544.51395099916
B00068,walls,brick,12098798.408119297
B00068,roof,tile,177923.50600175437
B00068,windows,glass,222404.38250219295
B00068,envelope_insulation,insulation_mineral_wool,690973.4816666627
B00069,walls,aerated_concrete,8341828.443625871
B00069,roof,bitumen,28964.682095923166
B00069,windows,glass,217235.11571942372
B00069,envelope_insulation,insulation_eps,388328.19027382036
B00070,walls,brick,18535833.464104503
B00070,roof,membrane,20191.539721246736
B00070,windows,glass,340732.2327960387
B00070,envelope_insulation,insulation_mineral_wool,856945.1594277185
B00071,walls,brick,1104707.7773205256
B00071,roof,metal,13538.08550637899
B00071,windows,glass,20307.128259568482
B00071,envelope_insulation,insulation_mineral_wool,50274.474884311356
B00072,walls,brick,3399856.2515470535
B00072,roof,bitumen,6409.98539130289
B00072,windows,glass,62497.35756520319
B00072,envelope_insulation,insulation_eps,152872.0139353036
B00073,walls,aerated_concrete,646866.5625587613
B00073,roof,membrane,8984.25781331613
B00073,windows,glass,16845.483399967743
B00073,envelope_insulation,insulation_mineral_wool,60697.91769938965
B00074,walls,brick,138141.45711838352
B00074,roof,bitumen,338.5820027411361
B00074,windows,glass,2539.365020558521
B00074,envelope_insulation,insulation_mineral_wool,5921.867273222872
B00075,walls,brick,2049570.8164464862
B00075,roof,membrane,5741.094723939737
B00075,windows,glass,37675.934125854525
B00075,envelope_insulation,insulation_mineral_wool,97776.42249216833
B00076,walls,steel,2273552.888452327
B00076,roof,metal,81198.31744472595
B00076,windows,glass,202995.79361181488
B00076,envelope_insulation,insulation_eps,365050.77114441013
B00077,walls,wood,1714872.1735618254
B00077,roof,membrane,6351.378420599353
B00077,windows,glass,89316.2590396784
B00077,envelope_insulation,insulation_mineral_wool,284890.9565232573
B00078,walls,brick,4917459.01030111
B00078,roof,metal,30131.489033707785
B00078,windows,glass,90394.46710112334
B00078,envelope_insulation,insulation_mineral_wool,212496.44698725024
B00079,walls,aerated_concrete,685233.434557532
B00079,roof,tile,214135.44829922874
B00079,windows,glass,17844.620691602395
B00079,envelope_insulation,insulation_mineral_wool,67906.53409912871
B00080,walls,brick,3373566.776889018
B00080,roof,membrane,11024.728029049078
B00080,windows,glass,62014.09516340106
B00080,envelope_insulation,insulation_mineral_wool,215411.80984665858
B00081,walls,brick,5315874.549129558
B00081,roof,bitumen,11844.640260983862
B00081,windows,glass,97718.28215311686
B00081,envelope_insulation,insulation_eps,217672.23850894245
B00082,walls,concrete,8631259.748763647
B00082,roof,metal,37462.06488178666
B00082,windows,glass,112386.19464535998
B00082,envelope_insulation,insulation_mineral_wool,291282.4537134701
B00083,walls,steel,357333.6508932819
B00083,roof,metal,10634.93008610958
B00083,windows,glass,31904.79025832874
B00083,envelope_insulation,insulation_mineral_wool,96849.54330174791
B00084,walls,concrete,7291442.16763747
B00084,roof,membrane,7233.573579005428
B00084,windows,glass,94940.65322444623
B00084,envelope_insulation,insulation_mineral_wool,286259.57204103644
B00085,walls,wood,4430095.582930216
B00085,roof,metal,57683.53623607052
B00085,windows,glass,230734.14494428207
B00085,envelope_insulation,insulation_mineral_wool,552598.33153617
B00086,walls,concrete,1909385.0124023464
B00086,roof,metal,9944.713606262221
B00086,windows,glass,24861.78401565555
B00086,envelope_insulation,insulation_eps,61743.208194715386
B00087,walls,steel,1753579.247367708
B00087,roof,bitumen,20875.943421044143
B00087,windows,glass,156569.57565783107
B00087,envelope_insulation,insulation_eps,365536.31569097267
B00088,walls,steel,82524.24726059109
B00088,roof,tile,88418.83635063331
B00088,windows,glass,7368.236362552776
B00088,envelope_insulation,insulation_eps,28424.749080653568
B00089,walls,brick,2398201.8002268802
B00089,roof,metal,44084.5919159353
B00089,windows,glass,44084.5919159353
B00089,envelope_insulation,insulation_mineral_wool,137330.48306137157
B00090,walls,steel,1343820.6680276338
B00090,roof,membrane,7110.162264696476
B00090,windows,glass,119983.98821675303
B00090,envelope_insulation,insulation_mineral_wool,260828.91611343916
B00091,walls,steel,37535.84390652553
B00091,roof,bitumen,1489.5176153383147
B00091,windows,glass,3351.414634511208
B00091,envelope_insulation,insulation_mineral_wool,9995.569092194803
B00092,walls,steel,464552.81474215497
B00092,roof,metal,8295.585977538482
B00092,windows,glass,41477.92988769241
B00092,envelope_insulation,insulation_mineral_wool,119125.58540683855
B00093,walls,aerated_concrete,379282.2940895374
B00093,roof,bitumen,1316.952410033116
B00093,windows,glass,9877.14307524837
B00093,envelope_insulation,insulation_eps,20110.786101960104
B00094,walls,steel,527049.0849493422
B00094,roof,metal,37646.3632106673
B00094,windows,glass,47057.95401333413
B00094,envelope_insulation,insulation_eps,125987.41794957012
B00095,walls,brick,17121575.32727937
B00095,roof,tile,198779.899310519
B00095,windows,glass,314734.8405749884
B00095,envelope_insulation,insulation_eps,596640.0842730062
B00096,walls,aerated_concrete,764206.7928655489
B00096,roof,bitumen,26534.958085609338
B00096,windows,glass,19901.218564207004
B00096,envelope_insulation,insulation_mineral_wool,83197.67903098284
B00097,walls,steel,653627.368955646
B00097,roof,membrane,15562.556403705854
B00097,windows,glass,58359.58651389695
B00097,envelope_insulation,insulation_mineral_wool,159178.3774757723
B00098,walls,concrete,20349672.934298117
B00098,roof,membrane,14131.717315484804
B00098,windows,glass,264969.6996653401
B00098,envelope_insulation,insulation_eps,614795.0633808284
B00099,walls,wood,1876031.509487926
B00099,roof,membrane,20844.794549865845
B00099,windows,glass,97709.97445249614
B00099,envelope_insulation,insulation_eps,217073.2794815495
B00100,walls,steel,1041685.141841096
B00100,roof,membrane,14172.586963824435
B00100,windows,glass,93007.60195009786
B00100,envelope_insulation,insulation_eps,223785.0166506743
B00101,walls,wood,306229.7789847276
B00101,roof,tile,27341.94455220782
B00101,windows,glass,15949.467655454564
B00101,envelope_insulation,insulation_mineral_wool,48626.38236788899
B00102,walls,aerated_concrete,173038.4579774805
B00102,roof,bitumen,1201.6559581769477
B00102,windows,glass,4506.209843163554
B00102,envelope_insulation,insulation_eps,11233.726016114702
B00103,walls,concrete,9035904.887231344
B00103,roof,metal,23531.002310498294
B00103,windows,glass,117655.01155249146
B00103,envelope_insulation,insulation_eps,233242.3769541274
B00104,walls,aerated_concrete,1474411.0329820965
B00104,roof,membrane,13651.954009093488
B00104,windows,glass,38396.12065057543
B00104,envelope_insulation,insulation_mineral_wool,140123.9069562728
B00105,walls,steel,261173.2721387307
B00105,roof,bitumen,15546.028103495875
B00105,windows,glass,23319.042155243813
B00105,envelope_insulation,insulation_mineral_wool,94746.69984704342
B00106,walls,concrete,2666992.459156165
B00106,roof,bitumen,11575.488103976411
B00106,windows,glass,34726.46431192923
B00106,envelope_insulation,insulation_eps,77208.6719964508
B00107,walls,wood,3549800.2370113456
B00107,roof,tile,170663.4729332378
B00107,windows,glass,184885.4290110076
B00107,envelope_insulation,insulation_mineral_wool,593658.0369872084
B00108,walls,wood,212683.05396005
B00108,roof,tile,9494.779194645089
B00108,windows,glass,11077.242393752604
B00108,envelope_insulation,insulation_eps,19559.78451911927
B00109,walls,concrete,5294889.664635623
B00109,roof,metal,39396.50048091982
B00109,windows,glass,68943.87584160968
B00109,envelope_insulation,insulation_mineral_wool,169947.60752209867
B00110,walls,concrete,21615266.168501355
B00110,roof,tile,225159.02258855576
B00110,windows,glass,281448.77823569474
B00110,envelope_insulation,insulation_eps,640334.6997427766
B00111,walls,concrete,26392326.78280867
B00111,roof,metal,68730.01766356424
B00111,windows,glass,343650.0883178212
B00111,envelope_insulation,insulation_mineral_wool,1036085.947281596
B00112,walls,wood,2914217.9058071095
B00112,roof,metal,43366.33788403437
B00112,windows,glass,151782.1825941203
B00112,envelope_insulation,insulation_eps,328192.1127100033
B00113,walls,steel,1747503.4197462506
B00113,roof,bitumen,26004.515174795397
B00113,windows,glass,156027.0910487724
B00113,envelope_insulation,insulation_mineral_wool,449620.92106626456
B00114,walls,brick,10024341.39655678
B00114,roof,metal,73708.39262174103
B00114,windows,glass,184270.98155435256
B00114,envelope_insulation,insulation_mineral_wool,411747.39651740436
B00115,walls,steel,1373325.8102780788
B00115,roof,metal,25814.394930039074
B00115,windows,glass,122618.3759176856
B00115,envelope_insulation,insulation_eps,260466.2417513808
B00116,walls,wood,7129458.834467227
B00116,roof,tile,262112.45714953044
B00116,windows,glass,371325.9809618347
B00116,envelope_insulation,insulation_mineral_wool,1170155.2048768045
B00117,walls,wood,2218310.214007121
B00117,roof,bitumen,12837.443368096767
B00117,windows,glass,115536.9903128709
B00117,envelope_insulation,insulation_mineral_wool,363349.69150032895
B00118,walls,aerated_concrete,11778990.31698881
B00118,roof,bitumen,20449.635966994465
B00118,windows,glass,306744.539504917
B00118,envelope_insulation,insulation_eps,542580.1308716787
B00119,walls,concrete,2750454.8993228297
B00119,roof,membrane,2247.1036759173444
B00119,windows,glass,35813.214834932674
B00119,envelope_insulation,insulation_mineral_wool,88211.37855278587
B00120,walls,steel,421706.76494468877
B00120,roof,tile,56478.58459080653
B00120,windows,glass,37652.389727204354
B00120,envelope_insulation,insulation_mineral_wool,110110.58418811121
B00121,walls,concrete,4592650.613690637
B00121,roof,tile,89700.20729864525
B00121,windows,glass,59800.138199096844
B00121,envelope_insulation,insulation_mineral_wool,163559.17019485444
B00122,walls,concrete,5802281.676795722
B00122,roof,tile,181321.3023998663
B00122,windows,glass,75550.54266661097
B00122,envelope_insulation,insulation_mineral_wool,262651.4900336876
B00123,walls,aerated_concrete,7821168.557245726
B00123,roof,metal,45261.39211369054
B00123,windows,glass,203676.26451160744
B00123,envelope_insulation,insulation_mineral_wool,536420.5259290413
B00124,walls,steel,1657020.1061378387
B00124,roof,membrane,7890.571933989709
B00124,windows,glass,147948.22376230703
B00124,envelope_insulation,insulation_mineral_wool,458331.2523435651
B00125,walls,brick,5818909.202714591
B00125,roof,bitumen,12965.483963267807
B00125,windows,glass,106965.2426969594
B00125,envelope_insulation,insulation_mineral_wool,343796.0039566918
B00126,walls,brick,9979969.481944185
B00126,roof,bitumen,20383.924595474233
B00126,windows,glass,183455.3213592681
B00126,envelope_insulation,insulation_mineral_wool,508653.663038589
B00127,walls,concrete,17559782.270607226
B00127,roof,tile,144406.10419907258
B00127,windows,glass,228642.99831519826
B00127,envelope_insulation,insulation_mineral_wool,493370.0743783693
B00128,walls,concrete,15172412.433277968
B00128,roof,membrane,12395.761791893765
B00128,windows,glass,197557.45355830688
B00128,envelope_insulation,insulation_mineral_wool,463289.2049631166
B00129,walls,aerated_concrete,4843080.327988851
B00129,roof,bitumen,9342.361743805654
B00129,windows,glass,126121.88354137632
B00129,envelope_insulation,insulation_mineral_wool,378246.08143499313
B00130,walls,brick,4662833.64092772
B00130,roof,bitumen,22857.02765160647
B00130,windows,glass,85713.85369352426
B00130,envelope_insulation,insulation_mineral_wool,253284.39966294574
B00131,walls,aerated_concrete,3278419.987275769
B00131,roof,bitumen,18972.33788932737
B00131,windows,glass,85375.52050197315
B00131,envelope_insulation,insulation_eps,190905.12900676212
B00132,walls,steel,1294526.589802469
B00132,roof,tile,231165.4624647266
B00132,windows,glass,115582.7312323633
B00132,envelope_insulation,insulation_mineral_wool,339461.1916458283
B00133,walls,concrete,24040778.473860476
B00133,roof,tile,234773.2272837937
B00133,windows,glass,313030.96971172496
B00133,envelope_insulation,insulation_mineral_wool,938964.4245699977
B00134,walls,wood,2039851.9309053258
B00134,roof,metal,35414.096022661906
B00134,windows,glass,106242.28806798572
B00134,envelope_insulation,insulation_mineral_wool,297883.0562274898
B00135,walls,steel,724529.2007164042
B00135,roof,metal,32345.05360341091
B00135,windows,glass,64690.10720682181
B00135,envelope_insulation,insulation_mineral_wool,166540.42661629218
B00136,walls,brick,3507267.8910408076
B00136,roof,bitumen,6612.496023832593
B00136,windows,glass,64471.83623236779
B00136,envelope_insulation,insulation_eps,132127.3584355003
B00137,walls,wood,1580621.8496429543
B00137,roof,metal,82324.05466890386
B00137,windows,glass,82324.05466890386
B00137,envelope_insulation,insulation_mineral_wool,281139.2411449612
B00138,walls,wood,1769891.1909683158
B00138,roof,membrane,16387.881397854777
B00138,windows,glass,92181.83286293312
B00138,envelope_insulation,insulation_eps,196995.15130527568
B00139,walls,wood,529151.9285513423
B00139,roof,metal,55119.992557431506
B00139,windows,glass,27559.99627871575
B00139,envelope_insulation,insulation_eps,75129.7020390741
B00140,walls,wood,89976.42540293776
B00140,roof,bitumen,328.8612039581059
B00140,windows,glass,4686.272156403008
B00140,envelope_insulation,insulation_mineral_wool,13488.465455688452
B00141,walls,steel,1453304.3425853464
B00141,roof,membrane,6920.49686945403
B00141,windows,glass,129759.31630226308
B00141,envelope_insulation,insulation_mineral_wool,350631.8788040027
B00142,walls,wood,2134074.35927732
B00142,roof,metal,63514.11783563452
B00142,windows,glass,111149.70621236041
B00142,envelope_insulation,insulation_mineral_wool,374650.1083188143
B00143,walls,aerated_concrete,3393707.801594741
B00143,roof,membrane,5891.853822213092
B00143,windows,glass,88377.80733319638
B00143,envelope_insulation,insulation_eps,205411.2940654941
B00144,walls,concrete,4031139.117621086
B00144,roof,bitumen,13997.010825073216
B00144,windows,glass,52488.790594024555
B00144,envelope_insulation,insulation_eps,106268.52701141825
B00145,walls,brick,5445772.200564802
B00145,roof,bitumen,8898.320589158173
B00145,windows,glass,100106.10662802945
B00145,envelope_insulation,insulation_mineral_wool,318472.0251615367
B00146,walls,wood,2843702.945694384
B00146,roof,tile,98739.68561438833
B00146,windows,glass,148109.5284215825
B00146,envelope_insulation,insulation_eps,254349.41868505202
B00147,walls,wood,1440317.0467265944
B00147,roof,tile,90019.81542041215
B00147,windows,glass,75016.51285034347
B00147,envelope_insulation,insulation_mineral_wool,203228.96028713245
B00148,walls,brick,19499341.4561903
B00148,roof,metal,89610.94419205101
B00148,windows,glass,358443.77676820406
B00148,envelope_insulation,insulation_mineral_wool,865252.745752258
B00149,walls,wood,6817392.602388348
B00149,roof,bitumen,23671.50209162621
B00149,windows,glass,355072.53137439315
B00149,envelope_insulation,insulation_mineral_wool,1011046.6475398578
B00150,walls,aerated_concrete,9387325.555452311
B00150,roof,tile,154396.8018988867
B00150,windows,glass,244461.6030065706
B00150,envelope_insulation,insulation_eps,567762.1582305017
