rubber_content,temperature,specimen_condition,pore_connectivity,crack_connectivity,overall_connectivity,pore_percolates,crack_percolates,euler_number,coordination_number,mean_throat_diameter_um,constrictivity,formation_factor,tortuosity_factor,effective_diffusivity_ratio,permeability_enhancement_factor,critical_path_length_mm,connectivity_density_per_mm3,specimen_id,analysis_algorithm,voxel_resolution_um
20,300,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_300_before,burning_algorithm,10
20,300,after_heating,0.9749999999999999,0.35,0.98,True,True,-590.0,6.92,20.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_20_300_after_,burning_algorithm,10
20,400,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_400_before,burning_algorithm,10
20,400,after_heating,1.0499999999999998,0.5,0.98,True,True,-590.0,6.92,22.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_20_400_after_,burning_algorithm,10
20,500,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_500_before,burning_algorithm,10
20,500,after_heating,1.15,0.7,0.98,True,True,-590.0,6.92,24.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_20_500_after_,burning_algorithm,10
20,600,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_600_before,burning_algorithm,10
20,600,after_heating,1.2499999999999998,0.9,0.98,True,True,-590.0,6.92,26.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_20_600_after_,burning_algorithm,10
20,700,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_700_before,burning_algorithm,10
20,700,after_heating,0.95,0.9500000000000001,0.98,True,True,-590.0,6.92,28.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_20_700_after_,burning_algorithm,10
20,800,before_heating,0.7999999999999999,0.1,0.7999999999999999,True,False,-499.99999999999994,6.199999999999999,20.0,0.26,1.3975424859373689,1.25,0.6692093136584147,0.5119999999999999,25.000000000000004,799.9999999999999,CON_20_800_before,burning_algorithm,10
20,800,after_heating,0.95,0.99,0.98,True,True,-590.0,6.92,30.0,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_20_800_after_,burning_algorithm,10
25,20,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_20_before,burning_algorithm,10
25,100,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_100_before,burning_algorithm,10
25,100,after_heating,0.875,0.15,0.95,True,False,-575.0,6.8,22.5,0.21500000000000002,1.0799772127212148,1.0526315789473684,0.9118060920344372,0.8573749999999999,21.05263157894737,950.0,CON_25_100_after_,burning_algorithm,10
25,200,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_200_before,burning_algorithm,10
25,200,after_heating,0.875,0.15,0.95,True,False,-575.0,6.8,22.5,0.21500000000000002,1.0799772127212148,1.0526315789473684,0.9118060920344372,0.8573749999999999,21.05263157894737,950.0,CON_25_200_after_,burning_algorithm,10
25,300,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_300_before,burning_algorithm,10
25,300,after_heating,0.9999999999999999,0.35,0.98,True,True,-590.0,6.92,22.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_25_300_after_,burning_algorithm,10
25,400,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_400_before,burning_algorithm,10
25,400,after_heating,1.075,0.5,0.98,True,True,-590.0,6.92,24.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_25_400_after_,burning_algorithm,10
25,500,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_500_before,burning_algorithm,10
25,500,after_heating,1.175,0.7,0.98,True,True,-590.0,6.92,26.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_25_500_after_,burning_algorithm,10
25,600,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_600_before,burning_algorithm,10
25,600,after_heating,1.275,0.9,0.98,True,True,-590.0,6.92,28.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_25_600_after_,burning_algorithm,10
25,700,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_700_before,burning_algorithm,10
25,700,after_heating,0.95,0.9500000000000001,0.98,True,True,-590.0,6.92,30.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_25_700_after_,burning_algorithm,10
25,800,before_heating,0.825,0.1,0.825,True,False,-512.5,6.3,22.5,0.25250000000000006,1.3345015334864978,1.2121212121212122,0.7073219041291797,0.561515625,24.242424242424242,825.0,CON_25_800_before,burning_algorithm,10
25,800,after_heating,0.95,0.99,0.98,True,True,-590.0,6.92,32.5,0.20600000000000002,1.0307679026042966,1.0204081632653061,0.9642883863244941,0.9411919999999999,20.408163265306122,980.0,CON_25_800_after_,burning_algorithm,10
