rubber_content,temperature,specimen_condition,crack_volume_fraction,crack_density_per_mm3,mean_crack_length_um,std_crack_length_um,max_crack_length_um,mean_crack_width_um,std_crack_width_um,mean_crack_aperture_um,crack_connectivity,preferred_orientation_deg,orientation_strength,fractal_dimension,total_crack_surface_area_mm2_per_mm3,crack_network_percolation,branching_frequency,crack_tortuosity,specimen_id,analysis_method,segmentation_threshold
0,600,after_heating,0.07500000000000001,140.0,550.0,429.68993776050337,2929.583513262667,10.0,4.536619191053736,14.5,0.8999999999999999,37.71713341192172,0.8999999999999999,1.95,1957322.9094304938,1,4.5,1.72,CRK_0_600_after_,3D_skeletonization,0.31740969775791517
0,700,before_heating,0.001,5.0,50.0,43.12419070764724,359.92556027607367,0.5,0.22514796194544978,0.525,0.1,53.779016200143225,0.2,1.55,333.4819134289258,0,0.5,1.08,CRK_0_700_before,3D_skeletonization,0.3633484569514658
0,700,after_heating,0.15000000000000002,200.0,800.0,597.2572087005228,5984.02581059049,16.0,7.167360609329768,23.6,0.9500000000000001,65.60340615456883,1.0,1.975,6527878.5099894935,1,4.75,1.7600000000000002,CRK_0_700_after_,3D_skeletonization,0.338074451447949
0,800,before_heating,0.001,5.0,50.0,39.35760941465521,331.31528686047136,0.5,0.22785445432903073,0.525,0.1,5.030833977031952,0.2,1.55,342.12854762238214,0,0.5,1.08,CRK_0_800_before,3D_skeletonization,0.33937879397831533
0,800,after_heating,0.2,250.0,1000.0,766.8033038764337,5801.345327474575,20.0,9.108300169217665,30.0,1.0,63.25565908862163,1.1,2.0,13154782.505310431,1,5.0,1.8,CRK_0_800_after_,3D_skeletonization,0.2649641572789579
5,20,before_heating,0.0015,7.5,50.0,38.122627169477326,350.29149701860007,0.5,0.22535378474578147,0.525,0.1,80.67983319477203,0.2,1.55,485.9881003160841,0,0.5,1.08,CRK_5_20_before,3D_skeletonization,0.2790097865358351
5,100,before_heating,0.0015,7.5,50.0,40.257260017713676,288.073283592265,0.5,0.22820396325868295,0.525,0.1,150.50854826188285,0.2,1.55,500.18791799469955,0,0.5,1.08,CRK_5_100_before,3D_skeletonization,0.32381397111938764
5,100,after_heating,0.003,13.0,75.0,59.2432134304699,450.55449453577825,0.8,0.3725989268568776,0.86,0.15,10.239649467510564,0.2,1.575,2009.2961499895937,0,0.75,1.12,CRK_5_100_after_,3D_skeletonization,0.2775753951627804
5,200,before_heating,0.0015,7.5,50.0,37.36165122407904,305.3777793083753,0.5,0.22979936496725265,0.525,0.1,17.876718919859528,0.2,1.55,486.6119674652108,0,0.5,1.08,CRK_5_200_before,3D_skeletonization,0.2557271229590557
5,200,after_heating,0.003,13.0,75.0,61.276868396960126,577.3829037139793,0.8,0.35509819382882957,0.86,0.15,56.897682751927555,0.2,1.575,2099.480117453115,0,0.75,1.12,CRK_5_200_after_,3D_skeletonization,0.21983213793528958
5,300,before_heating,0.0015,7.5,50.0,39.27117488278687,295.4635688321419,0.5,0.22551720721395452,0.525,0.1,5.880348584835369,0.2,1.55,494.5573330011992,0,0.5,1.08,CRK_5_300_before,3D_skeletonization,0.3631529209925187
5,300,after_heating,0.0125,45.0,150.0,117.66484543384769,807.7417020014309,2.5,1.132076145464857,3.0,0.4,55.682094457002236,0.6,1.7,45196.52281496584,0,2.0,1.32,CRK_5_300_after_,3D_skeletonization,0.2980733680233639
5,400,before_heating,0.0015,7.5,50.0,39.338847913344274,356.86356695969874,0.5,0.22025644435190214,0.525,0.1,137.8878985693612,0.2,1.55,478.84431112976756,0,0.5,1.08,CRK_5_400_before,3D_skeletonization,0.22839040046252795
5,400,after_heating,0.018125,61.25,200.0,150.83083435672842,1346.2976814251012,3.5,1.5420843693381736,4.375,0.5,50.40795589488774,0.7,1.75,106627.737919443,0,2.5,1.4,CRK_5_400_after_,3D_skeletonization,0.25641562491224135
5,500,before_heating,0.0015,7.5,50.0,38.63845627736601,347.7399505457946,0.5,0.22702222549586248,0.525,0.1,6.3886070615553265,0.2,1.55,491.73565287022865,0,0.5,1.08,CRK_5_500_before,3D_skeletonization,0.2604677859127903
5,500,after_heating,0.05625,127.5,400.0,320.84034898455684,2137.282474346502,7.0,3.0645464563906435,9.625,0.75,26.55114694416988,0.8,1.875,922806.3531657183,1,3.75,1.6,CRK_5_500_after_,3D_skeletonization,0.24564393111545368
5,600,before_heating,0.0015,7.5,50.0,38.08997672825876,392.43355561005916,0.5,0.22178235226913526,0.525,0.1,105.59995160056945,0.2,1.55,481.9802435446172,0,0.5,1.08,CRK_5_600_before,3D_skeletonization,0.3628120726637475
5,600,after_heating,0.08125000000000002,167.5,550.0,467.0549335530439,4756.775099020003,10.0,4.441807650147944,14.5,0.8999999999999999,32.157713950008606,0.8999999999999999,1.95,2462858.3492444055,1,4.5,1.72,CRK_5_600_after_,3D_skeletonization,0.20398252483507107
5,700,before_heating,0.0015,7.5,50.0,36.18198625551616,387.1420853467499,0.5,0.2230049094584974,0.525,0.1,32.65150206582829,0.2,1.55,471.6108706308987,0,0.5,1.08,CRK_5_700_before,3D_skeletonization,0.33423717202656855
5,700,after_heating,0.16125000000000003,252.5,800.0,616.9450341983384,6507.856321875678,16.0,7.358676877210625,23.6,0.9500000000000001,51.417085647320796,1.0,1.975,8455205.227374408,1,4.75,1.7600000000000002,CRK_5_700_after_,3D_skeletonization,0.21379860456990496
5,800,before_heating,0.0015,7.5,50.0,41.50182496402237,395.30270570336,0.5,0.22892375751630337,0.525,0.1,6.770841809734307,0.2,1.55,487.7997517150448,0,0.5,1.08,CRK_5_800_before,3D_skeletonization,0.27454130765195756
5,800,after_heating,0.21125000000000002,302.5,1000.0,864.7497084076133,11312.490313911656,20.0,8.714291920915793,30.0,1.0,51.51200637250881,1.1,2.0,15671455.115035161,1,5.0,1.8,CRK_5_800_after_,3D_skeletonization,0.21607195470972634
10,20,before_heating,0.002,10.0,50.0,38.62704093474851,454.9171639649974,0.5,0.23411410097470992,0.525,0.1,79.30859181681625,0.2,1.55,651.78238339961,0,0.5,1.08,CRK_10_20_before,3D_skeletonization,0.21396006128638312
10,100,before_heating,0.002,10.0,50.0,43.48088691230468,462.539041500928,0.5,0.2276322999421163,0.525,0.1,170.64051497190394,0.2,1.55,648.6291682648821,0,0.5,1.08,CRK_10_100_before,3D_skeletonization,0.39731508340784505
10,100,after_heating,0.004,18.0,75.0,57.191430976535585,569.2122031158134,0.8,0.3623166389441695,0.86,0.15,116.88225992181289,0.2,1.575,2798.0906911433235,0,0.75,1.12,CRK_10_100_after_,3D_skeletonization,0.28495794564902244
10,200,before_heating,0.002,10.0,50.0,37.43611285381878,306.1486960688891,0.5,0.2302869648867568,0.525,0.1,156.5184010490853,0.2,1.55,658.112527359263,0,0.5,1.08,CRK_10_200_before,3D_skeletonization,0.2526354411017884
10,200,after_heating,0.004,18.0,75.0,59.20396031061773,523.2461424739273,0.8,0.3748774035320651,0.86,0.15,108.04800747384208,0.2,1.575,2853.8600157089104,0,0.75,1.12,CRK_10_200_after_,3D_skeletonization,0.367528767142438
10,300,before_heating,0.002,10.0,50.0,37.64083888171418,288.45721115556364,0.5,0.21419897407263452,0.525,0.1,7.354172998868506,0.2,1.55,627.5364360638905,0,0.5,1.08,CRK_10_300_before,3D_skeletonization,0.27402419625282526
10,300,after_heating,0.015,55.0,150.0,119.18059228861034,1112.3616671991915,2.5,1.0999980998489853,3.0,0.4,51.539591153127276,0.6,1.7,53059.48805533513,0,2.0,1.32,CRK_10_300_after_,3D_skeletonization,0.2995509690504806
10,400,before_heating,0.002,10.0,50.0,40.95673762143031,350.0095657833814,0.5,0.23610063722433217,0.525,0.1,80.36044966881877,0.2,1.55,652.6726314376473,0,0.5,1.08,CRK_10_400_before,3D_skeletonization,0.20851384320082111
10,400,after_heating,0.02125,72.5,200.0,147.76118856511988,1251.8303561991686,3.5,1.6762975846150956,4.375,0.5,38.44569773959287,0.7,1.75,130050.13892560065,0,2.5,1.4,CRK_10_400_after_,3D_skeletonization,0.30920518322026747
10,500,before_heating,0.002,10.0,50.0,36.29576159773455,240.0052105996881,0.5,0.23110435878849742,0.525,0.1,19.173528334862166,0.2,1.55,641.2460571232707,0,0.5,1.08,CRK_10_500_before,3D_skeletonization,0.34921443298056953
10,500,after_heating,0.0625,155.0,400.0,302.902160653514,2984.114335228719,7.0,3.1143072910480694,9.625,0.75,42.26361755403178,0.8,1.875,1082914.9461444188,1,3.75,1.6,CRK_10_500_after_,3D_skeletonization,0.257465902794081
10,600,before_heating,0.002,10.0,50.0,38.85583577327419,361.6991103150877,0.5,0.22024960469386626,0.525,0.1,6.689013822208114,0.2,1.55,652.8619762331768,0,0.5,1.08,CRK_10_600_before,3D_skeletonization,0.2746044826426693
10,600,after_heating,0.08750000000000001,195.0,550.0,410.75620446048777,3436.853749726762,10.0,4.801625408247222,14.5,0.8999999999999999,42.79840288092564,0.8999999999999999,1.95,2869832.3789676903,1,4.5,1.72,CRK_10_600_after_,3D_skeletonization,0.29628336750231177
10,700,before_heating,0.002,10.0,50.0,41.65653352634816,612.2459655555562,0.5,0.23011993182508744,0.525,0.1,178.65896790764486,0.2,1.55,671.9811631104584,0,0.5,1.08,CRK_10_700_before,3D_skeletonization,0.27036151219539467
10,700,after_heating,0.17250000000000001,305.0,800.0,646.2504148216558,8711.329219684018,16.0,7.270560927978365,23.6,0.9500000000000001,53.43318537299254,1.0,1.975,9494825.864442233,1,4.75,1.7600000000000002,CRK_10_700_after_,3D_skeletonization,0.31982284189319626
10,800,before_heating,0.002,10.0,50.0,43.37742873186976,541.7396127666881,0.5,0.23315396063363472,0.525,0.1,60.730024230326535,0.2,1.55,656.2668353021052,0,0.5,1.08,CRK_10_800_before,3D_skeletonization,0.3399940840352108
10,800,after_heating,0.2225,355.0,1000.0,785.8949020824834,7403.594965776274,20.0,9.008955359387823,30.0,1.0,49.53038185783835,1.1,2.0,18327539.241136853,1,5.0,1.8,CRK_10_800_after_,3D_skeletonization,0.390654727666214
15,20,before_heating,0.0025,12.5,50.0,39.39526327590504,333.50132004640085,0.5,0.22163036562182079,0.525,0.1,111.93156397709411,0.2,1.55,818.2348859379192,0,0.5,1.08,CRK_15_20_before,3D_skeletonization,0.3377035093620663
15,100,before_heating,0.0025,12.5,50.0,40.34672685700156,514.370040778096,0.5,0.22539142228663805,0.525,0.1,85.75112793505063,0.2,1.55,792.1677594472984,0,0.5,1.08,CRK_15_100_before,3D_skeletonization,0.20338780496510434
15,100,after_heating,0.005,23.0,75.0,72.740600406906,856.9901838928091,0.8,0.36692784311461607,0.86,0.15,82.28081336454892,0.2,1.575,3763.3198718266754,0,0.75,1.12,CRK_15_100_after_,3D_skeletonization,0.35474559455129023
15,200,before_heating,0.0025,12.5,50.0,38.96471752589828,314.447922341941,0.5,0.21866140254176233,0.525,0.1,171.55318536788303,0.2,1.55,824.6329019192802,0,0.5,1.08,CRK_15_200_before,3D_skeletonization,0.23641382162828056
15,200,after_heating,0.005,23.0,75.0,71.18145548290325,1306.6649561501306,0.8,0.3779697658974482,0.86,0.15,118.96502396723695,0.2,1.575,3710.0081667252457,0,0.75,1.12,CRK_15_200_after_,3D_skeletonization,0.33601587555126616
15,300,before_heating,0.0025,12.5,50.0,38.5372871900576,281.39206268807294,0.5,0.2348208646062915,0.525,0.1,167.7199779572701,0.2,1.55,822.6306646616514,0,0.5,1.08,CRK_15_300_before,3D_skeletonization,0.2083040804968858
15,300,after_heating,0.0175,65.0,150.0,120.03382806278478,1347.1114407075088,2.5,1.1917633086906425,3.0,0.4,39.25487688106588,0.6,1.7,62938.16759798258,0,2.0,1.32,CRK_15_300_after_,3D_skeletonization,0.29265074897849297
15,400,before_heating,0.0025,12.5,50.0,37.06684919187139,361.66703208878175,0.5,0.21951309501896396,0.525,0.1,53.712529932835075,0.2,1.55,790.7417793900709,0,0.5,1.08,CRK_15_400_before,3D_skeletonization,0.2352448732648472
15,400,after_heating,0.024375,83.75,200.0,173.3175303993533,2475.7264002860898,3.5,1.5810694958789826,4.375,0.5,38.855310899848426,0.7,1.75,149873.24323677385,0,2.5,1.4,CRK_15_400_after_,3D_skeletonization,0.34715025716208603
15,500,before_heating,0.0025,12.5,50.0,40.73037730217249,324.3406476649781,0.5,0.22189030079875124,0.525,0.1,85.34504410965668,0.2,1.55,791.2077870631689,0,0.5,1.08,CRK_15_500_before,3D_skeletonization,0.23941130398647428
15,500,after_heating,0.06875,182.5,400.0,290.7368602574923,2814.070491213487,7.0,2.978294967601563,9.625,0.75,63.946859966997266,0.8,1.875,1285258.8778913543,1,3.75,1.6,CRK_15_500_after_,3D_skeletonization,0.3901679181700604
15,600,before_heating,0.0025,12.5,50.0,43.86608277715335,390.4774051433448,0.5,0.2343214012275846,0.525,0.1,103.41848435147013,0.2,1.55,841.3308906976375,0,0.5,1.08,CRK_15_600_before,3D_skeletonization,0.2721756146031231
15,600,after_heating,0.09375000000000001,222.5,550.0,429.0947327051938,3775.229222762859,10.0,4.73808870024195,14.5,0.8999999999999999,51.21303730774165,0.8999999999999999,1.95,3195963.224114528,1,4.5,1.72,CRK_15_600_after_,3D_skeletonization,0.20605643326640938
15,700,before_heating,0.0025,12.5,50.0,40.753083806532146,318.6475367740973,0.5,0.2175605633128004,0.525,0.1,165.3976156656478,0.2,1.55,824.9760380774583,0,0.5,1.08,CRK_15_700_before,3D_skeletonization,0.25292103471229055
15,700,after_heating,0.18375000000000002,357.5,800.0,618.6161923355952,5274.24633773424,16.0,6.8838783066226,23.6,0.9500000000000001,54.898059688025356,1.0,1.975,11705071.407172691,1,4.75,1.7600000000000002,CRK_15_700_after_,3D_skeletonization,0.35177639506406544
15,800,before_heating,0.0025,12.5,50.0,39.08749426578345,346.49550081011864,0.5,0.22651247215957387,0.525,0.1,158.04822058775193,0.2,1.55,812.1940599109731,0,0.5,1.08,CRK_15_800_before,3D_skeletonization,0.3700230269398921
15,800,after_heating,0.23375,407.5,1000.0,802.167954881175,9241.087520291434,20.0,9.270077124492815,30.0,1.0,53.04897779179839,1.1,2.0,21218068.06069814,1,5.0,1.8,CRK_15_800_after_,3D_skeletonization,0.24617960305139658
20,20,before_heating,0.003,15.0,50.0,39.004052169321,362.38229999888324,0.5,0.2425193213261705,0.525,0.1,99.20974130935917,0.2,1.55,984.8123011077262,0,0.5,1.08,CRK_20_20_before,3D_skeletonization,0.20313287673002856
20,100,before_heating,0.003,15.0,50.0,38.67434013064408,437.34249660597936,0.5,0.22015264446332297,0.525,0.1,7.594512728476426,0.2,1.55,944.4765616923249,0,0.5,1.08,CRK_20_100_before,3D_skeletonization,0.22480158700876995
20,100,after_heating,0.006,28.0,75.0,57.14569689160479,500.1370805011846,0.8,0.3465081409116601,0.86,0.15,39.64992916673299,0.2,1.575,4274.684033917111,0,0.75,1.12,CRK_20_100_after_,3D_skeletonization,0.3287556119179105
20,200,before_heating,0.003,15.0,50.0,38.68437993375809,329.32186401527554,0.5,0.2377032531786496,0.525,0.1,136.3413314997645,0.2,1.55,1004.6942555930207,0,0.5,1.08,CRK_20_200_before,3D_skeletonization,0.26955764861834
20,200,after_heating,0.006,28.0,75.0,58.63953095740785,461.60019902030285,0.8,0.3423336981877115,0.86,0.15,137.28824383307884,0.2,1.575,4381.116936721433,0,0.75,1.12,CRK_20_200_after_,3D_skeletonization,0.2876968853838774
20,300,before_heating,0.003,15.0,50.0,41.77765008861919,400.3707878104087,0.5,0.21888418579084676,0.525,0.1,88.5436265089826,0.2,1.55,959.7650134701934,0,0.5,1.08,CRK_20_300_before,3D_skeletonization,0.34344735018291817
20,300,after_heating,0.02,75.0,150.0,120.27488879558653,1249.943912430519,2.5,1.15345198618185,3.0,0.4,36.08253787296216,0.6,1.7,74214.45455047225,0,2.0,1.32,CRK_20_300_after_,3D_skeletonization,0.3932654262001904
20,400,before_heating,0.003,15.0,50.0,39.32362607336667,272.9057128791283,0.5,0.2166350498754385,0.525,0.1,173.09443343380948,0.2,1.55,1014.5350514225611,0,0.5,1.08,CRK_20_400_before,3D_skeletonization,0.27354373314538966
20,400,after_heating,0.027500000000000004,95.0,200.0,173.98723040938714,2649.805423349831,3.5,1.5905524308492507,4.375,0.5,64.15462090750376,0.7,1.75,169277.39442647758,0,2.5,1.4,CRK_20_400_after_,3D_skeletonization,0.27320839103990713
20,500,before_heating,0.003,15.0,50.0,35.941812131352364,410.3532463907591,0.5,0.22643089160145385,0.525,0.1,9.899286804758304,0.2,1.55,926.9078915522114,0,0.5,1.08,CRK_20_500_before,3D_skeletonization,0.3726513879602274
20,500,after_heating,0.07500000000000001,210.0,400.0,333.285735001501,4513.557301366554,7.0,3.146179155845673,9.625,0.75,43.07610201857795,0.8,1.875,1511522.2354202713,1,3.75,1.6,CRK_20_500_after_,3D_skeletonization,0.38930368511999836
20,600,before_heating,0.003,15.0,50.0,41.01193872138543,302.9654422097912,0.5,0.21220165355307624,0.525,0.1,36.14537697829828,0.2,1.55,978.2449155146569,0,0.5,1.08,CRK_20_600_before,3D_skeletonization,0.3205563114464054
20,600,after_heating,0.10000000000000002,250.0,550.0,474.53345945053866,4824.669873291819,10.0,4.35847529759933,14.5,0.8999999999999999,62.99214328721945,0.8999999999999999,1.95,3514147.466071225,1,4.5,1.72,CRK_20_600_after_,3D_skeletonization,0.3997499028679936
20,700,before_heating,0.003,15.0,50.0,40.70556516309913,594.9588905734763,0.5,0.22456745999464858,0.525,0.1,2.7813331483370707,0.2,1.55,946.8091778964802,0,0.5,1.08,CRK_20_700_before,3D_skeletonization,0.2270279297401679
20,700,after_heating,0.19500000000000003,410.0,800.0,592.2136529102036,6050.678548388783,16.0,7.333020673759774,23.6,0.9500000000000001,80.87692191135383,1.0,1.975,13510473.782782812,1,4.75,1.7600000000000002,CRK_20_700_after_,3D_skeletonization,0.22341122719872333
20,800,before_heating,0.003,15.0,50.0,39.846025133643515,539.2416843679451,0.5,0.21954615812746475,0.525,0.1,144.7017951403934,0.2,1.55,956.6541356144947,0,0.5,1.08,CRK_20_800_before,3D_skeletonization,0.366226634179175
20,800,after_heating,0.24500000000000002,460.0,1000.0,844.1798889277364,7390.628403664922,20.0,8.999586888545878,30.0,1.0,50.7643555460521,1.1,2.0,23915603.775059048,1,5.0,1.8,CRK_20_800_after_,3D_skeletonization,0.357830734010101
25,20,before_heating,0.0035,17.5,50.0,38.114319347240084,411.2445378311935,0.5,0.21363107348209326,0.525,0.1,79.36440655943362,0.2,1.55,1138.013397668275,0,0.5,1.08,CRK_25_20_before,3D_skeletonization,0.39586682754179864
25,100,before_heating,0.0035,17.5,50.0,42.86644513836033,381.0673654470231,0.5,0.23066864437673434,0.525,0.1,107.86482506178712,0.2,1.55,1141.0967277712857,0,0.5,1.08,CRK_25_100_before,3D_skeletonization,0.31132641170573716
25,100,after_heating,0.007,33.0,75.0,57.68663947549384,475.0870150425367,0.8,0.34971279911236985,0.86,0.15,45.995147379395014,0.2,1.575,5203.565624615126,0,0.75,1.12,CRK_25_100_after_,3D_skeletonization,0.2464155906051769
25,200,before_heating,0.0035,17.5,50.0,37.67401696841306,308.8761194280521,0.5,0.23313262607727658,0.525,0.1,154.37771830136256,0.2,1.55,1095.2284858979235,0,0.5,1.08,CRK_25_200_before,3D_skeletonization,0.22117835931407331
25,200,after_heating,0.007,33.0,75.0,63.98934378241829,734.9688224630014,0.8,0.3634834790354986,0.86,0.15,69.63562179217007,0.2,1.575,5294.788760129941,0,0.75,1.12,CRK_25_200_after_,3D_skeletonization,0.3973213815416964
25,300,before_heating,0.0035,17.5,50.0,39.71879619224948,404.4583940272135,0.5,0.22913628485437132,0.525,0.1,24.347551291481235,0.2,1.55,1148.6838139355286,0,0.5,1.08,CRK_25_300_before,3D_skeletonization,0.34387645059805827
25,300,after_heating,0.0225,85.0,150.0,122.76012513937454,1491.2031315219285,2.5,1.1559115100961448,3.0,0.4,40.46906452084786,0.6,1.7,83587.37165987701,0,2.0,1.32,CRK_25_300_after_,3D_skeletonization,0.2496773162431959
25,400,before_heating,0.0035,17.5,50.0,37.29290379151392,282.23053057448925,0.5,0.22293431643131117,0.525,0.1,83.2568763143268,0.2,1.55,1124.1854284230074,0,0.5,1.08,CRK_25_400_before,3D_skeletonization,0.3178014897555874
25,400,after_heating,0.030625,106.25,200.0,153.56600563001746,1389.7963248660014,3.5,1.5305369754153535,4.375,0.5,16.600947425850283,0.7,1.75,189758.38390591764,0,2.5,1.4,CRK_25_400_after_,3D_skeletonization,0.2206180084043014
25,500,before_heating,0.0035,17.5,50.0,38.01443813750383,271.68910031517004,0.5,0.24101480208997367,0.525,0.1,13.804293905427441,0.2,1.55,1163.32244950138,0,0.5,1.08,CRK_25_500_before,3D_skeletonization,0.3671055198714548
25,500,after_heating,0.08125000000000002,237.5,400.0,334.5004166312736,4463.816035120998,7.0,2.970732326191536,9.625,0.75,29.770675384215224,0.8,1.875,1663205.467052154,1,3.75,1.6,CRK_25_500_after_,3D_skeletonization,0.38797803133772424
25,600,before_heating,0.0035,17.5,50.0,38.52616410490305,289.27430942820905,0.5,0.22608572180820258,0.525,0.1,153.69954293245377,0.2,1.55,1147.4358046495456,0,0.5,1.08,CRK_25_600_before,3D_skeletonization,0.39316280426521044
25,600,after_heating,0.10625000000000001,277.5,550.0,445.4634660007204,4611.54439554229,10.0,4.57955144901822,14.5,0.8999999999999999,45.7898197974981,0.8999999999999999,1.95,4017311.4360685027,1,4.5,1.72,CRK_25_600_after_,3D_skeletonization,0.37118934653004365
25,700,before_heating,0.0035,17.5,50.0,38.27647483714614,299.0045235049506,0.5,0.22861164329785125,0.525,0.1,60.649540028584155,0.2,1.55,1149.6234927754424,0,0.5,1.08,CRK_25_700_before,3D_skeletonization,0.36647449042036107
25,700,after_heating,0.20625000000000002,462.5,800.0,648.4416400176167,6360.469527742934,16.0,6.814110640996348,23.6,0.9500000000000001,40.09805215560222,1.0,1.975,15185030.496648975,1,4.75,1.7600000000000002,CRK_25_700_after_,3D_skeletonization,0.3836419569891823
25,800,before_heating,0.0035,17.5,50.0,38.412106539322565,339.752471593681,0.5,0.23936815730631752,0.525,0.1,90.0509679171811,0.2,1.55,1159.7968339391687,0,0.5,1.08,CRK_25_800_before,3D_skeletonization,0.21275405632197697
25,800,after_heating,0.25625,512.5,1000.0,871.7716097480478,8654.615094039962,20.0,8.931751734184509,30.0,1.0,49.54462655158681,1.1,2.0,26711449.997436717,1,5.0,1.8,CRK_25_800_after_,3D_skeletonization,0.37848636591075124
