Temperature_C,Temperature_K,Oxygen_Pressure_atm,Environment,Electronic_Conductivity_S_per_cm,Ionic_Conductivity_S_per_cm,Mixed_Conductivity_S_per_cm,Ionic_Transference_Number,Electronic_Transference_Number,Oxide_Thickness_um_1000h,Activation_Energy_Electronic_kJ_per_mol,Activation_Energy_Ionic_kJ_per_mol,Oxygen_Vacancy_Concentration_per_cm3,Interstitial_Concentration_per_cm3,Measurement_Method,Sample_Type,Material
600,873.15,1e-20,Ultra_Low,2048.55108,1e-12,4.5261e-05,0.0,1.0,0.01,-2.49,-0.0,1.0203078493318666e+22,1636.7,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
625,898.15,1e-20,Ultra_Low,1893.280953,1e-12,4.3512e-05,0.0,1.0,0.01,20.56,-0.0,1.2359280148537607e+22,2224.28,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
650,923.15,1e-20,Ultra_Low,1948.064754,1e-12,4.4137e-05,0.0,1.0,0.01,-7.87,-0.0,1.4816494362318206e+22,2972.99,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
675,948.15,1e-20,Ultra_Low,1752.263443,1e-12,4.186e-05,0.0,1.0,0.01,30.84,-0.0,1.7593198361332966e+22,3913.38,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
700,973.15,1e-20,Ultra_Low,1670.630443,1e-12,4.0873e-05,0.0,1.0,0.01,14.64,-0.0,2.070671751433817e+22,5079.0,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
725,998.15,1e-20,Ultra_Low,1549.186273,1e-12,3.936e-05,0.0,1.0,0.01,24.38,-0.0,2.4173127195536635e+22,6506.28,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
750,1023.15,1e-20,Ultra_Low,1581.999775,1e-12,3.9774e-05,0.0,1.0,0.01,-7.12,-0.0,2.800718017094081e+22,8234.38,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
775,1048.15,1e-20,Ultra_Low,1481.860142,1e-12,3.8495e-05,0.0,1.0,0.01,23.32,-0.0,3.2222257351196997e+22,10305.04,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
800,1073.15,1e-20,Ultra_Low,1475.409539,1e-12,3.8411e-05,0.0,1.0,0.01,1.63,-0.0,3.6830339558931067e+22,12762.31,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
825,1098.15,1e-20,Ultra_Low,1486.550941,1e-12,3.8556e-05,0.0,1.0,0.01,-2.95,-0.0,4.1841997881414e+22,15652.36,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
850,1123.15,1e-20,Ultra_Low,1386.798115,1e-12,3.724e-05,0.0,1.0,0.01,28.49,-0.0,4.726640019271864e+22,19023.22,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
875,1148.15,1e-20,Ultra_Low,1359.471537,1e-12,3.6871e-05,0.0,1.0,0.01,8.54,-0.0,5.311133150987697e+22,22924.48,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
900,1173.15,1e-20,Ultra_Low,1240.882427,1e-12,3.5226e-05,0.0,1.0,0.01,40.89,-0.0,5.938322597505531e+22,27407.04,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
925,1198.15,1e-20,Ultra_Low,1273.490756,1e-12,3.5686e-05,0.0,1.0,0.01,-12.13,-0.0,6.608720841431059e+22,32522.79,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
950,1223.15,1e-20,Ultra_Low,1220.577093,1e-12,3.4937e-05,0.0,1.0,0.01,20.69,-0.0,7.322714360023703e+22,38324.4,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
975,1248.15,1e-20,Ultra_Low,1159.064726,1e-12,3.4045e-05,0.0,1.0,0.01,26.26,-0.0,8.080569153080655e+22,44864.94,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1000,1273.15,1e-20,Ultra_Low,1160.768336,1e-12,3.407e-05,0.0,1.0,0.01,-0.78,-0.0,8.882436722243056e+22,52197.7,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1025,1298.15,1e-20,Ultra_Low,1097.919403,1e-12,3.3135e-05,0.0,1.0,0.01,30.6,-0.0,9.728360369624142e+22,60375.88,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1050,1323.15,1e-20,Ultra_Low,1061.113426,1e-12,3.2575e-05,0.0,1.0,0.01,19.48,-0.0,1.0618281700895526e+23,69452.32,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1075,1348.15,1e-20,Ultra_Low,1070.929692,1e-12,3.2725e-05,0.0,1.0,0.01,-5.46,-0.0,1.1552047234091179e+23,79479.35,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1100,1373.15,1e-20,Ultra_Low,1034.336481,1e-12,3.2161e-05,0.0,1.0,0.01,21.41,-0.0,1.252941503024598e+23,90508.48,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1125,1398.15,1e-20,Ultra_Low,992.601913,1e-12,3.1506e-05,0.0,1.0,0.01,26.3,-0.0,1.3550061275505359e+23,102590.23,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1150,1423.15,1e-20,Ultra_Low,958.536343,1e-12,3.096e-05,0.0,1.0,0.01,23.11,-0.0,1.4613586756508688e+23,115773.97,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1175,1448.15,1e-20,Ultra_Low,887.79434,1e-12,2.9796e-05,0.0,1.0,0.01,52.55,-0.0,1.571952318168888e+23,130107.7,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1200,1473.15,1e-20,Ultra_Low,955.338933,1e-12,3.0909e-05,0.0,1.0,0.01,-52.03,-0.0,1.686733931070164e+23,145637.94,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
200,473.15,1e-15,Very_Low,4694.867512,1e-12,6.8519e-05,0.0,1.0,0.01,,,1.697926915910822e+18,46.54,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
225,498.15,1e-15,Very_Low,4442.030626,1e-12,6.6649e-05,0.0,1.0,0.01,4.34,-0.0,3.213276151626687e+18,129.16,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
250,523.15,1e-15,Very_Low,4233.209268,1e-12,6.5063e-05,0.0,1.0,0.01,4.18,-0.0,5.721370717443166e+18,325.09,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
275,548.15,1e-15,Very_Low,3833.803999,1e-12,6.1918e-05,0.0,1.0,0.01,9.46,-0.0,9.66490957920331e+18,752.17,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
300,573.15,1e-15,Very_Low,4080.330991,1e-12,6.3877e-05,0.0,1.0,0.01,-6.51,-0.0,1.5596666716106756e+19,1617.52,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
325,598.15,1e-15,Very_Low,3696.427584,1e-12,6.0798e-05,0.0,1.0,0.01,11.27,-0.0,2.4182028112852e+19,3262.78,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
350,623.15,1e-15,Very_Low,3558.673981,1e-12,5.9655e-05,0.0,1.0,0.01,4.71,-0.0,3.6196913684276593e+19,6221.2,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
375,648.15,1e-15,Very_Low,3189.888677,1e-12,5.6479e-05,0.0,1.0,0.01,14.7,-0.0,5.252143778660658e+19,11285.96,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
400,673.15,1e-15,Very_Low,2778.755703,1e-12,5.2714e-05,0.0,1.0,0.01,20.03,-0.0,7.412992654497509e+19,19587.98,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
425,698.15,1e-15,Very_Low,2852.097515,1e-12,5.3405e-05,0.0,1.0,0.01,-4.07,-0.0,1.020780637334868e+20,32680.74,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
450,723.15,1e-15,Very_Low,2703.046785,1e-12,5.1991e-05,0.0,1.0,0.01,9.01,-0.0,1.3748799360540533e+20,52628.82,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
475,748.15,1e-15,Very_Low,2776.091211,1e-12,5.2689e-05,0.0,1.0,0.01,-4.8,-0.0,1.815321902759227e+20,82096.73,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
500,773.15,1e-15,Very_Low,2496.399636,1e-12,4.9964e-05,0.0,1.0,0.01,20.43,-0.0,2.3541683184663337e+20,124434.27,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
525,798.15,1e-15,Very_Low,2437.877881,1e-12,4.9375e-05,0.0,1.0,0.01,4.87,-0.0,3.003653142196017e+20,183755.2,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
550,823.15,1e-15,Very_Low,2245.616483,1e-12,4.7388e-05,0.0,1.0,0.01,17.95,-0.0,3.776024215038744e+20,265005.95,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
575,848.15,1e-15,Very_Low,2077.836583,1e-12,4.5583e-05,0.0,1.0,0.01,18.03,-0.0,4.683395498373302e+20,374022.16,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
600,873.15,1e-15,Very_Low,1931.799545,1e-12,4.3952e-05,0.0,1.0,0.01,17.95,-0.0,5.737612680953969e+20,517571.04,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
625,898.15,1e-15,Very_Low,1957.156947,1e-12,4.424e-05,0.0,1.0,0.01,-3.4,-0.0,6.950133977127412e+20,703378.49,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
650,923.15,1e-15,Very_Low,1987.203392,1e-12,4.4578e-05,0.0,1.0,0.01,-4.2,-0.0,8.331927074381357e+20,940140.44,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
675,948.15,1e-15,Very_Low,1835.457452,1e-12,4.2842e-05,0.0,1.0,0.01,23.13,-0.0,9.893382480848658e+20,1237518.44,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
700,973.15,1e-15,Very_Low,1752.930044,1e-12,4.1868e-05,0.0,1.0,0.01,14.12,-0.0,1.164424296735514e+21,1606120.09,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
725,998.15,1e-15,Very_Low,1686.726612,1e-12,4.107e-05,0.0,1.0,0.01,12.44,-0.0,1.3593548381132937e+21,2057465.4,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
750,1023.15,1e-15,Very_Low,1467.458972,1e-12,3.8307e-05,0.0,1.0,0.01,47.3,-0.0,1.574959481217172e+21,2603940.26,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
775,1048.15,1e-15,Very_Low,1547.64377,1e-12,3.934e-05,0.0,1.0,0.01,-18.98,-0.0,1.8119906899496592e+21,3258738.71,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
800,1073.15,1e-15,Very_Low,1506.533242,1e-12,3.8814e-05,0.0,1.0,0.01,10.07,-0.0,2.0711221954779837e+21,4035795.55,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
825,1098.15,1e-15,Very_Low,1432.028079,1e-12,3.7842e-05,0.0,1.0,0.01,19.88,-0.0,2.3529484537246127e+21,4949711.21,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
850,1123.15,1e-15,Very_Low,1419.171647,1e-12,3.7672e-05,0.0,1.0,0.01,3.7,-0.0,2.6579850121350773e+21,6015670.56,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
875,1148.15,1e-15,Very_Low,1243.620792,1e-12,3.5265e-05,0.0,1.0,0.011,56.64,-0.0,2.986669654388816e+21,7249357.26,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
900,1173.15,1e-15,Very_Low,1326.378241,1e-12,3.6419e-05,0.0,1.0,0.017,-28.86,-0.0,3.3393641988890564e+21,8666865.54,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
925,1198.15,1e-15,Very_Low,1288.659533,1e-12,3.5898e-05,0.0,1.0,0.015,13.49,-0.0,3.716356835783421e+21,10284610.57,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
950,1223.15,1e-15,Very_Low,1254.242814,1e-12,3.5415e-05,0.0,1.0,0.017,13.19,-0.0,4.1178648972061285e+21,12119239.0,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
975,1248.15,1e-15,Very_Low,1132.836384,1e-12,3.3658e-05,0.0,1.0,0.016,51.69,-0.0,4.5440379658356334e+21,14187540.75,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1000,1273.15,1e-15,Very_Low,1148.515249,1e-12,3.389e-05,0.0,1.0,0.016,-7.26,-0.0,4.99496123730558e+21,16506363.15,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1025,1298.15,1e-15,Very_Low,1149.070176,1e-12,3.3898e-05,0.0,1.0,0.021,-0.27,-0.0,5.470659062183714e+21,19092528.16,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1050,1323.15,1e-15,Very_Low,1138.395667,1e-12,3.374e-05,0.0,1.0,0.021,5.33,-0.0,5.971098602926025e+21,21962753.57,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1075,1348.15,1e-15,Very_Low,1012.179101,1e-12,3.1815e-05,0.0,1.0,0.025,69.72,-0.0,6.496193550280341e+21,25133578.62,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1100,1373.15,1e-15,Very_Low,1032.238362,1e-12,3.2128e-05,0.0,1.0,0.027,-12.08,-0.0,7.045807851968404e+21,28621294.5,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1125,1398.15,1e-15,Very_Low,1100.464943,1e-12,3.3173e-05,0.0,1.0,0.026,-40.87,-0.0,7.619759414078117e+21,32441880.08,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1150,1423.15,1e-15,Very_Low,976.868069,1e-12,3.1255e-05,0.0,1.0,0.038,78.84,-0.0,8.217823742439232e+21,36610943.02,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1175,1448.15,1e-15,Very_Low,905.52811,1e-12,3.0092e-05,0.0,1.0,0.04,51.98,-0.0,8.839737497351339e+21,41143666.36,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1200,1473.15,1e-15,Very_Low,958.772434,1e-12,3.0964e-05,0.0,1.0,0.041,-40.54,-0.0,9.48520194041523e+21,46054760.73,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
200,473.15,1e-10,Low,4928.853098,1e-12,7.0206e-05,0.0,1.0,0.01,,,9.548144719696538e+16,14718.73,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
225,498.15,1e-10,Low,4768.127829,1e-12,6.9052e-05,0.0,1.0,0.01,2.6,-0.0,1.8069579693082957e+17,40842.93,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
250,523.15,1e-10,Low,4803.303094,1e-12,6.9306e-05,0.0,1.0,0.01,-0.64,-0.0,3.217363191152248e+17,102801.66,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
275,548.15,1e-10,Low,3950.83011,1e-12,6.2856e-05,0.0,1.0,0.01,18.64,-0.0,5.4349780606140864e+17,237857.29,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
300,573.15,1e-10,Low,3870.895733,1e-12,6.2217e-05,0.0,1.0,0.01,2.14,-0.0,8.770650229687683e+17,511506.16,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
325,598.15,1e-10,Low,3541.377414,1e-12,5.9509e-05,0.0,1.0,0.01,10.15,-0.0,1.3598553734771466e+18,1031782.97,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
350,623.15,1e-10,Low,3298.174326,1e-12,5.743e-05,0.0,1.0,0.01,8.82,-0.0,2.0355020409016778e+18,1967317.56,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
375,648.15,1e-10,Low,2923.796833,1e-12,5.4072e-05,0.0,1.0,0.01,16.19,-0.0,2.953497492582282e+18,3568934.44,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
400,673.15,1e-10,Low,3189.588665,1e-12,5.6476e-05,0.0,1.0,0.01,-12.63,-0.0,4.1686321129564524e+18,6194264.01,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
425,698.15,1e-10,Low,2818.259084,1e-12,5.3087e-05,0.0,1.0,0.01,19.35,-0.0,5.740271363275387e+18,10334557.3,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
450,723.15,1e-10,Low,2698.612011,1e-12,5.1948e-05,0.0,1.0,0.01,7.29,-0.0,7.731518052182586e+18,16642694.41,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
475,748.15,1e-10,Low,2490.291755,1e-12,4.9903e-05,0.0,1.0,0.01,14.46,-0.0,1.0208305244446894e+19,25961264.16,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
500,773.15,1e-10,Low,2608.727719,1e-12,5.1076e-05,0.0,1.0,0.01,-8.94,-0.0,1.3238461319274936e+19,39349572.4,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
525,798.15,1e-10,Low,2079.467201,1e-12,4.5601e-05,0.0,1.0,0.01,46.55,-0.0,1.689078288394664e+19,58108497.64,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
550,823.15,1e-10,Low,2231.118304,1e-12,4.7235e-05,0.0,1.0,0.01,-15.38,-0.0,2.1234144610357346e+19,83802241.12,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
575,848.15,1e-10,Low,2051.792064,1e-12,4.5297e-05,0.0,1.0,0.01,19.46,-0.0,2.633666830945758e+19,118276192.29,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
600,873.15,1e-10,Low,2049.900123,1e-12,4.5276e-05,0.0,1.0,0.01,0.23,-0.0,3.226496718436606e+19,163670332.38,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
625,898.15,1e-10,Low,1960.111358,1e-12,4.4273e-05,0.0,1.0,0.034,11.68,-0.0,3.9083475509482996e+19,222427808.25,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
650,923.15,1e-10,Low,1775.776692,1e-12,4.214e-05,0.0,1.0,0.043,27.24,-0.0,4.6853869123969606e+19,297298512.44,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
675,948.15,1e-10,Low,1834.096161,1e-12,4.2826e-05,0.0,1.0,0.05,-9.41,-0.0,5.563457814895417e+19,391337691.66,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
700,973.15,1e-10,Low,1820.984153,1e-12,4.2673e-05,0.0,1.0,0.063,2.2,-0.0,6.548039021100891e+19,507899767.56,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
725,998.15,1e-10,Low,1631.079988,1e-12,4.0387e-05,0.0,1.0,0.08,35.58,-0.0,7.64421401068542e+19,650627685.75,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
750,1023.15,1e-10,Low,1653.242693,1e-12,4.066e-05,0.0,1.0,0.098,-4.58,-0.0,8.85664801788769e+19,823438211.28,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
775,1048.15,1e-10,Low,1532.860288,1e-12,3.9152e-05,0.0,1.0,0.099,26.97,-0.0,1.0189572458188659e+20,1030503661.2,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
800,1073.15,1e-10,Low,1502.013991,1e-12,3.8756e-05,0.0,1.0,0.121,7.61,-0.0,1.1646776000362344e+20,1276230609.3,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
825,1098.15,1e-10,Low,1470.362746,1e-12,3.8345e-05,0.0,1.0,0.169,8.35,-0.0,1.323160151572081e+20,1565236119.07,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
850,1123.15,1e-10,Low,1311.025914,1e-12,3.6208e-05,0.0,1.0,0.181,47.05,-0.0,1.4946948140601252e+20,1902322060.74,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
875,1148.15,1e-10,Low,1388.491284,1e-12,3.7262e-05,0.0,1.0,0.198,-24.62,-0.0,1.6795277713548086e+20,2292448051.46,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
900,1173.15,1e-10,Low,1292.366058,1e-12,3.5949e-05,0.0,1.0,0.215,32.14,-0.0,1.8778624888964802e+20,2740703528.34,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
925,1198.15,1e-10,Low,1210.475526,2e-12,4.8094e-05,0.0,1.0,0.239,30.6,-302.73,2.0898610279146612e+20,3252279424.58,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
950,1223.15,1e-10,Low,1164.545373,3e-12,6.3436e-05,0.0,1.0,0.285,18.85,-288.76,2.3156456032497146e+20,3832439873.76,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
975,1248.15,1e-10,Low,1145.156271,7e-12,8.6467e-05,0.0,1.0,0.316,8.53,-323.06,2.5553003314232676e+20,4486494317.91,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1000,1273.15,1e-10,Low,1157.84276,1.3e-11,0.000123137,0.0,1.0,0.329,-5.82,-367.89,2.8088731214608456e+20,5219770344.58,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1025,1298.15,1e-10,Low,1123.839918,2.2e-11,0.000158315,0.0,1.0,0.331,16.38,-292.64,3.076377666692982e+20,6037587527.52,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1050,1323.15,1e-10,Low,1040.831275,4.7e-11,0.000221409,0.0,1.0,0.441,43.83,-427.07,3.3577955012116624e+20,6945232496.8,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1075,1348.15,1e-10,Low,1127.158354,9.4e-11,0.000325962,0.0,1.0,0.466,-47.27,-411.65,3.653078089757645e+20,7947935418.47,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1100,1373.15,1e-10,Low,1020.215172,1.38e-10,0.000375115,0.0,1.0,0.521,61.38,-234.32,3.962148924512478e+20,9050848020.62,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1125,1398.15,1e-10,Low,979.574363,2.74e-10,0.000517857,0.0,1.0,0.526,25.96,-437.76,4.2849056065443253e+20,10259023264.24,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1150,1423.15,1e-10,Low,992.977464,5.19e-10,0.000717934,0.0,1.0,0.621,-8.99,-423.38,4.6212218935039905e+20,11577396722.32,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1175,1448.15,1e-10,Low,961.829661,8.02e-10,0.00087817,0.0,1.0,0.658,21.85,-298.02,4.9709496985953704e+20,13010769699.83,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
1200,1473.15,1e-10,Low,929.2883,1.23e-09,0.001069083,0.0,1.0,0.753,24.42,-303.57,5.33392102887117e+20,14563794100.71,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
200,473.15,1e-05,Reduced,4848.761779,1e-12,6.9633e-05,0.0,1.0,0.01,,,5369316354783386.0,4654471.64,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
225,498.15,1e-05,Reduced,5007.581857,1e-12,7.0764e-05,0.0,1.0,0.01,-2.53,-0.0,1.0161271390240892e+16,12915668.25,Four_Point_Probe,Sintered_Pellet,Superalloy_A_Oxidized
