material,character,temperature_K,tau_GPa,solute_at_pct,mean_velocity_nm_ps,mobility_nm_ps_per_GPa,run_id
Fe,screw,500,0.2,1.0,0.113975,0.575064,dl_Fe_screw_500K_1.0at_0.20GPa_2c59f335_047
Fe,screw,500,0.4,1.0,0.23042,0.57499,dl_Fe_screw_500K_1.0at_0.40GPa_2c59f335_048
Fe,screw,700,0.05,0.0,0.092824,1.859819,dl_Fe_screw_700K_0.0at_0.05GPa_2c59f335_049
Fe,screw,700,0.1,0.0,0.170661,1.720441,dl_Fe_screw_700K_0.0at_0.10GPa_2c59f335_050
Fe,screw,700,0.2,0.0,0.326171,1.632306,dl_Fe_screw_700K_0.0at_0.20GPa_2c59f335_051
Fe,screw,700,0.4,0.0,0.745433,1.861337,dl_Fe_screw_700K_0.0at_0.40GPa_2c59f335_052
Fe,screw,700,0.05,0.5,0.055647,1.066198,dl_Fe_screw_700K_0.5at_0.05GPa_2c59f335_053
Fe,screw,700,0.1,0.5,0.093384,0.939044,dl_Fe_screw_700K_0.5at_0.10GPa_2c59f335_054
Fe,screw,700,0.2,0.5,0.195885,0.990467,dl_Fe_screw_700K_0.5at_0.20GPa_2c59f335_055
Fe,screw,700,0.4,0.5,0.424706,1.056698,dl_Fe_screw_700K_0.5at_0.40GPa_2c59f335_056
Fe,screw,700,0.05,1.0,0.037437,0.736602,dl_Fe_screw_700K_1.0at_0.05GPa_2c59f335_057
Fe,screw,700,0.1,1.0,0.079959,0.763532,dl_Fe_screw_700K_1.0at_0.10GPa_2c59f335_058
Fe,screw,700,0.2,1.0,0.148212,0.7281,dl_Fe_screw_700K_1.0at_0.20GPa_2c59f335_059
Fe,screw,700,0.4,1.0,0.285749,0.711753,dl_Fe_screw_700K_1.0at_0.40GPa_2c59f335_060
Fe,screw,900,0.05,0.0,0.10817,2.139545,dl_Fe_screw_900K_0.0at_0.05GPa_2c59f335_061
Fe,screw,900,0.1,0.0,0.215573,2.14956,dl_Fe_screw_900K_0.0at_0.10GPa_2c59f335_062
Fe,screw,900,0.2,0.0,0.441932,2.209119,dl_Fe_screw_900K_0.0at_0.20GPa_2c59f335_063
Fe,screw,900,0.4,0.0,0.857018,2.142245,dl_Fe_screw_900K_0.0at_0.40GPa_2c59f335_064
Fe,screw,900,0.05,0.5,0.058429,1.166593,dl_Fe_screw_900K_0.5at_0.05GPa_2c59f335_065
Fe,screw,900,0.1,0.5,0.12779,1.284139,dl_Fe_screw_900K_0.5at_0.10GPa_2c59f335_066
Fe,screw,900,0.2,0.5,0.247974,1.238089,dl_Fe_screw_900K_0.5at_0.20GPa_2c59f335_067
Fe,screw,900,0.4,0.5,0.498064,1.247556,dl_Fe_screw_900K_0.5at_0.40GPa_2c59f335_068
Fe,screw,900,0.05,1.0,0.04293,0.875457,dl_Fe_screw_900K_1.0at_0.05GPa_2c59f335_069
Fe,screw,900,0.1,1.0,0.088872,0.873552,dl_Fe_screw_900K_1.0at_0.10GPa_2c59f335_070
Fe,screw,900,0.2,1.0,0.162789,0.818869,dl_Fe_screw_900K_1.0at_0.20GPa_2c59f335_071
Fe,screw,900,0.4,1.0,0.327842,0.815249,dl_Fe_screw_900K_1.0at_0.40GPa_2c59f335_072
Fe,mixed,500,0.05,0.0,0.095162,1.894793,dl_Fe_mixed_500K_0.0at_0.05GPa_2c59f335_073
Fe,mixed,500,0.1,0.0,0.179532,1.809669,dl_Fe_mixed_500K_0.0at_0.10GPa_2c59f335_074
Fe,mixed,500,0.2,0.0,0.406853,2.030644,dl_Fe_mixed_500K_0.0at_0.20GPa_2c59f335_075
Fe,mixed,500,0.4,0.0,0.799527,1.999243,dl_Fe_mixed_500K_0.0at_0.40GPa_2c59f335_076
Fe,mixed,500,0.05,0.5,0.054292,1.088404,dl_Fe_mixed_500K_0.5at_0.05GPa_2c59f335_077
Fe,mixed,500,0.1,0.5,0.10341,1.035844,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
Fe,mixed,500,0.2,0.5,0.22043,1.103509,dl_Fe_mixed_500K_0.5at_0.20GPa_2c59f335_079
Fe,mixed,500,0.4,0.5,0.460442,1.154534,dl_Fe_mixed_500K_0.5at_0.40GPa_2c59f335_080
Fe,mixed,500,0.05,1.0,0.039973,0.777962,dl_Fe_mixed_500K_1.0at_0.05GPa_2c59f335_081
Fe,mixed,500,0.1,1.0,0.073873,0.742287,dl_Fe_mixed_500K_1.0at_0.10GPa_2c59f335_082
Fe,mixed,500,0.2,1.0,0.151788,0.76514,dl_Fe_mixed_500K_1.0at_0.20GPa_2c59f335_083
Fe,mixed,500,0.4,1.0,0.32735,0.816537,dl_Fe_mixed_500K_1.0at_0.40GPa_2c59f335_084
Fe,mixed,700,0.05,0.0,0.130375,2.578604,dl_Fe_mixed_700K_0.0at_0.05GPa_2c59f335_085
Fe,mixed,700,0.1,0.0,0.233398,2.347433,dl_Fe_mixed_700K_0.0at_0.10GPa_2c59f335_086
Fe,mixed,700,0.2,0.0,0.390769,1.947886,dl_Fe_mixed_700K_0.0at_0.20GPa_2c59f335_087
Fe,mixed,700,0.4,0.0,0.924585,2.312542,dl_Fe_mixed_700K_0.0at_0.40GPa_2c59f335_088
Fe,mixed,700,0.05,0.5,0.065012,1.314051,dl_Fe_mixed_700K_0.5at_0.05GPa_2c59f335_089
Fe,mixed,700,0.1,0.5,0.144278,1.438306,dl_Fe_mixed_700K_0.5at_0.10GPa_2c59f335_090
Fe,mixed,700,0.2,0.5,0.268384,1.346512,dl_Fe_mixed_700K_0.5at_0.20GPa_2c59f335_091
Fe,mixed,700,0.4,0.5,0.499186,1.244494,dl_Fe_mixed_700K_0.5at_0.40GPa_2c59f335_092
Fe,mixed,700,0.05,1.0,0.04515,0.87027,dl_Fe_mixed_700K_1.0at_0.05GPa_2c59f335_093
Fe,mixed,700,0.1,1.0,0.0961,0.963296,dl_Fe_mixed_700K_1.0at_0.10GPa_2c59f335_094
Fe,mixed,700,0.2,1.0,0.186839,0.93573,dl_Fe_mixed_700K_1.0at_0.20GPa_2c59f335_095
Fe,mixed,700,0.4,1.0,0.384888,0.960579,dl_Fe_mixed_700K_1.0at_0.40GPa_2c59f335_096
Fe,mixed,900,0.05,0.0,0.149069,2.985468,dl_Fe_mixed_900K_0.0at_0.05GPa_2c59f335_097
Fe,mixed,900,0.1,0.0,0.291689,2.909594,dl_Fe_mixed_900K_0.0at_0.10GPa_2c59f335_098
Fe,mixed,900,0.2,0.0,0.528476,2.648049,dl_Fe_mixed_900K_0.0at_0.20GPa_2c59f335_099
Fe,mixed,900,0.4,0.0,1.229861,3.072242,dl_Fe_mixed_900K_0.0at_0.40GPa_2c59f335_100
Fe,mixed,900,0.05,0.5,0.086093,1.707882,dl_Fe_mixed_900K_0.5at_0.05GPa_2c59f335_101
Fe,mixed,900,0.1,0.5,0.157928,1.57609,dl_Fe_mixed_900K_0.5at_0.10GPa_2c59f335_102
Fe,mixed,900,0.2,0.5,0.305773,1.529661,dl_Fe_mixed_900K_0.5at_0.20GPa_2c59f335_103
Fe,mixed,900,0.4,0.5,0.610549,1.525251,dl_Fe_mixed_900K_0.5at_0.40GPa_2c59f335_104
Fe,mixed,900,0.05,1.0,0.055017,1.061516,dl_Fe_mixed_900K_1.0at_0.05GPa_2c59f335_105
Fe,mixed,900,0.1,1.0,0.115462,1.147302,dl_Fe_mixed_900K_1.0at_0.10GPa_2c59f335_106
Fe,mixed,900,0.2,1.0,0.219715,1.101476,dl_Fe_mixed_900K_1.0at_0.20GPa_2c59f335_107
Fe,mixed,900,0.4,1.0,0.384863,0.960552,dl_Fe_mixed_900K_1.0at_0.40GPa_2c59f335_108
Ni,edge,500,0.05,0.0,0.147537,2.932006,dl_Ni_edge_500K_0.0at_0.05GPa_2c59f335_109
Ni,edge,500,0.1,0.0,0.322047,3.226496,dl_Ni_edge_500K_0.0at_0.10GPa_2c59f335_110
Ni,edge,500,0.2,0.0,0.607554,3.048607,dl_Ni_edge_500K_0.0at_0.20GPa_2c59f335_111
Ni,edge,500,0.4,0.0,1.33683,3.337773,dl_Ni_edge_500K_0.0at_0.40GPa_2c59f335_112
Ni,edge,500,0.05,0.5,0.086483,1.683034,dl_Ni_edge_500K_0.5at_0.05GPa_2c59f335_113
Ni,edge,500,0.1,0.5,0.181339,1.804095,dl_Ni_edge_500K_0.5at_0.10GPa_2c59f335_114
Ni,edge,500,0.2,0.5,0.347223,1.745391,dl_Ni_edge_500K_0.5at_0.20GPa_2c59f335_115
Ni,edge,500,0.4,0.5,0.629587,1.576252,dl_Ni_edge_500K_0.5at_0.40GPa_2c59f335_116
Ni,edge,500,0.05,1.0,0.060226,1.22844,dl_Ni_edge_500K_1.0at_0.05GPa_2c59f335_117
Ni,edge,500,0.1,1.0,0.119272,1.204027,dl_Ni_edge_500K_1.0at_0.10GPa_2c59f335_118
Ni,edge,500,0.2,1.0,0.241772,1.198583,dl_Ni_edge_500K_1.0at_0.20GPa_2c59f335_119
Ni,edge,500,0.4,1.0,0.483684,1.20587,dl_Ni_edge_500K_1.0at_0.40GPa_2c59f335_120
Ni,edge,700,0.05,0.0,0.196686,3.913667,dl_Ni_edge_700K_0.0at_0.05GPa_2c59f335_121
Ni,edge,700,0.1,0.0,0.38747,3.890532,dl_Ni_edge_700K_0.0at_0.10GPa_2c59f335_122
Ni,edge,700,0.2,0.0,0.728236,3.642776,dl_Ni_edge_700K_0.0at_0.20GPa_2c59f335_123
Ni,edge,700,0.4,0.0,1.618716,4.047516,dl_Ni_edge_700K_0.0at_0.40GPa_2c59f335_124
Ni,edge,700,0.05,0.5,0.10927,2.230653,dl_Ni_edge_700K_0.5at_0.05GPa_2c59f335_125
Ni,edge,700,0.1,0.5,0.193945,1.918385,dl_Ni_edge_700K_0.5at_0.10GPa_2c59f335_126
Ni,edge,700,0.2,0.5,0.451718,2.260477,dl_Ni_edge_700K_0.5at_0.20GPa_2c59f335_127
Ni,edge,700,0.4,0.5,0.810801,2.027188,dl_Ni_edge_700K_0.5at_0.40GPa_2c59f335_128
Ni,edge,700,0.05,1.0,0.078613,1.520422,dl_Ni_edge_700K_1.0at_0.05GPa_2c59f335_129
Ni,edge,700,0.1,1.0,0.153097,1.531055,dl_Ni_edge_700K_1.0at_0.10GPa_2c59f335_130
Ni,edge,700,0.2,1.0,0.296753,1.481272,dl_Ni_edge_700K_1.0at_0.20GPa_2c59f335_131
Ni,edge,700,0.4,1.0,0.59616,1.49516,dl_Ni_edge_700K_1.0at_0.40GPa_2c59f335_132
Ni,edge,900,0.05,0.0,0.209827,4.197736,dl_Ni_edge_900K_0.0at_0.05GPa_2c59f335_133
Ni,edge,900,0.1,0.0,0.432707,4.328289,dl_Ni_edge_900K_0.0at_0.10GPa_2c59f335_134
Ni,edge,900,0.2,0.0,0.88166,4.413881,dl_Ni_edge_900K_0.0at_0.20GPa_2c59f335_135
Ni,edge,900,0.4,0.0,1.718383,4.294717,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
Ni,edge,900,0.05,0.5,0.135226,2.715989,dl_Ni_edge_900K_0.5at_0.05GPa_2c59f335_137
Ni,edge,900,0.1,0.5,0.277264,2.774533,dl_Ni_edge_900K_0.5at_0.10GPa_2c59f335_138
Ni,edge,900,0.2,0.5,0.479849,2.399931,dl_Ni_edge_900K_0.5at_0.20GPa_2c59f335_139
Ni,edge,900,0.4,0.5,1.009274,2.521779,dl_Ni_edge_900K_0.5at_0.40GPa_2c59f335_140
Ni,edge,900,0.05,1.0,0.082626,1.646744,dl_Ni_edge_900K_1.0at_0.05GPa_2c59f335_141
Ni,edge,900,0.1,1.0,0.171857,1.713832,dl_Ni_edge_900K_1.0at_0.10GPa_2c59f335_142
Ni,edge,900,0.2,1.0,0.362697,1.805783,dl_Ni_edge_900K_1.0at_0.20GPa_2c59f335_143
Ni,edge,900,0.4,1.0,0.695215,1.739738,dl_Ni_edge_900K_1.0at_0.40GPa_2c59f335_144
Ni,screw,500,0.05,0.0,0.097098,1.976167,dl_Ni_screw_500K_0.0at_0.05GPa_2c59f335_145
Ni,screw,500,0.1,0.0,0.177439,1.770059,dl_Ni_screw_500K_0.0at_0.10GPa_2c59f335_146
Ni,screw,500,0.2,0.0,0.387701,1.937592,dl_Ni_screw_500K_0.0at_0.20GPa_2c59f335_147
Ni,screw,500,0.4,0.0,0.738825,1.847235,dl_Ni_screw_500K_0.0at_0.40GPa_2c59f335_148
Ni,screw,500,0.05,0.5,0.057712,1.087885,dl_Ni_screw_500K_0.5at_0.05GPa_2c59f335_149
Ni,screw,500,0.1,0.5,0.112233,1.113516,dl_Ni_screw_500K_0.5at_0.10GPa_2c59f335_150
Ni,screw,500,0.2,0.5,0.207045,1.03351,dl_Ni_screw_500K_0.5at_0.20GPa_2c59f335_151
Ni,screw,500,0.4,0.5,0.419621,1.046492,dl_Ni_screw_500K_0.5at_0.40GPa_2c59f335_152
Ni,screw,500,0.05,1.0,0.037419,0.712944,dl_Ni_screw_500K_1.0at_0.05GPa_2c59f335_153
Ni,screw,500,0.1,1.0,0.069765,0.667619,dl_Ni_screw_500K_1.0at_0.10GPa_2c59f335_154
Ni,screw,500,0.2,1.0,0.144283,0.724276,dl_Ni_screw_500K_1.0at_0.20GPa_2c59f335_155
Ni,screw,500,0.4,1.0,0.279167,0.693386,dl_Ni_screw_500K_1.0at_0.40GPa_2c59f335_156
Ni,screw,700,0.05,0.0,0.103208,2.082784,dl_Ni_screw_700K_0.0at_0.05GPa_2c59f335_157
Ni,screw,700,0.1,0.0,0.216966,2.159298,dl_Ni_screw_700K_0.0at_0.10GPa_2c59f335_158
Ni,screw,700,0.2,0.0,0.438914,2.197963,dl_Ni_screw_700K_0.0at_0.20GPa_2c59f335_159
Ni,screw,700,0.4,0.0,0.968146,2.423266,dl_Ni_screw_700K_0.0at_0.40GPa_2c59f335_160
Ni,screw,700,0.05,0.5,0.063275,1.271944,dl_Ni_screw_700K_0.5at_0.05GPa_2c59f335_161
Ni,screw,700,0.1,0.5,0.139722,1.383059,dl_Ni_screw_700K_0.5at_0.10GPa_2c59f335_162
Ni,screw,700,0.2,0.5,0.251901,1.250551,dl_Ni_screw_700K_0.5at_0.20GPa_2c59f335_163
Ni,screw,700,0.4,0.5,0.577439,1.441731,dl_Ni_screw_700K_0.5at_0.40GPa_2c59f335_164
Ni,screw,700,0.05,1.0,0.049095,0.933464,dl_Ni_screw_700K_1.0at_0.05GPa_2c59f335_165
Ni,screw,700,0.1,1.0,0.097048,0.968002,dl_Ni_screw_700K_1.0at_0.10GPa_2c59f335_166
Ni,screw,700,0.2,1.0,0.18116,0.905983,dl_Ni_screw_700K_1.0at_0.20GPa_2c59f335_167
Ni,screw,700,0.4,1.0,0.323994,0.810317,dl_Ni_screw_700K_1.0at_0.40GPa_2c59f335_168
Ni,screw,900,0.05,0.0,0.138902,2.776906,dl_Ni_screw_900K_0.0at_0.05GPa_2c59f335_169
Ni,screw,900,0.1,0.0,0.264287,2.633351,dl_Ni_screw_900K_0.0at_0.10GPa_2c59f335_170
Ni,screw,900,0.2,0.0,0.595434,2.975104,dl_Ni_screw_900K_0.0at_0.20GPa_2c59f335_171
Ni,screw,900,0.4,0.0,1.015307,2.535136,dl_Ni_screw_900K_0.0at_0.40GPa_2c59f335_172
Ni,screw,900,0.05,0.5,0.078531,1.56687,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
Ni,screw,900,0.1,0.5,0.139935,1.408324,dl_Ni_screw_900K_0.5at_0.10GPa_2c59f335_174
Ni,screw,900,0.2,0.5,0.301659,1.511141,dl_Ni_screw_900K_0.5at_0.20GPa_2c59f335_175
Ni,screw,900,0.4,0.5,0.614231,1.541683,dl_Ni_screw_900K_0.5at_0.40GPa_2c59f335_176
Ni,screw,900,0.05,1.0,0.054973,1.085626,dl_Ni_screw_900K_1.0at_0.05GPa_2c59f335_177
Ni,screw,900,0.1,1.0,0.120925,1.198267,dl_Ni_screw_900K_1.0at_0.10GPa_2c59f335_178
Ni,screw,900,0.2,1.0,0.230194,1.144686,dl_Ni_screw_900K_1.0at_0.20GPa_2c59f335_179
Ni,screw,900,0.4,1.0,0.4254,1.066322,dl_Ni_screw_900K_1.0at_0.40GPa_2c59f335_180
Ni,mixed,500,0.05,0.0,0.122686,2.418871,dl_Ni_mixed_500K_0.0at_0.05GPa_2c59f335_181
Ni,mixed,500,0.1,0.0,0.238814,2.377657,dl_Ni_mixed_500K_0.0at_0.10GPa_2c59f335_182
Ni,mixed,500,0.2,0.0,0.499429,2.499861,dl_Ni_mixed_500K_0.0at_0.20GPa_2c59f335_183
Ni,mixed,500,0.4,0.0,0.98839,2.468709,dl_Ni_mixed_500K_0.0at_0.40GPa_2c59f335_184
Ni,mixed,500,0.05,0.5,0.068995,1.39507,dl_Ni_mixed_500K_0.5at_0.05GPa_2c59f335_185
Ni,mixed,500,0.1,0.5,0.133334,1.317263,dl_Ni_mixed_500K_0.5at_0.10GPa_2c59f335_186
Ni,mixed,500,0.2,0.5,0.270558,1.351397,dl_Ni_mixed_500K_0.5at_0.20GPa_2c59f335_187
Ni,mixed,500,0.4,0.5,0.547713,1.373666,dl_Ni_mixed_500K_0.5at_0.40GPa_2c59f335_188
Ni,mixed,500,0.05,1.0,0.046687,0.906107,dl_Ni_mixed_500K_1.0at_0.05GPa_2c59f335_189
Ni,mixed,500,0.1,1.0,0.092643,0.940373,dl_Ni_mixed_500K_1.0at_0.10GPa_2c59f335_190
Ni,mixed,500,0.2,1.0,0.185149,0.919553,dl_Ni_mixed_500K_1.0at_0.20GPa_2c59f335_191
Ni,mixed,500,0.4,1.0,0.364146,0.907489,dl_Ni_mixed_500K_1.0at_0.40GPa_2c59f335_192
Ni,mixed,700,0.05,0.0,0.137171,2.728659,dl_Ni_mixed_700K_0.0at_0.05GPa_2c59f335_193
Ni,mixed,700,0.1,0.0,0.29794,2.970819,dl_Ni_mixed_700K_0.0at_0.10GPa_2c59f335_194
Ni,mixed,700,0.2,0.0,0.575044,2.876836,dl_Ni_mixed_700K_0.0at_0.20GPa_2c59f335_195
Ni,mixed,700,0.4,0.0,1.225905,3.067479,dl_Ni_mixed_700K_0.0at_0.40GPa_2c59f335_196
Ni,mixed,700,0.05,0.5,0.086921,1.717256,dl_Ni_mixed_700K_0.5at_0.05GPa_2c59f335_197
Ni,mixed,700,0.1,0.5,0.174588,1.736404,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
Ni,mixed,700,0.2,0.5,0.310555,1.556769,dl_Ni_mixed_700K_0.5at_0.20GPa_2c59f335_199
Ni,mixed,700,0.4,0.5,0.691602,1.725028,dl_Ni_mixed_700K_0.5at_0.40GPa_2c59f335_200
Ni,mixed,700,0.05,1.0,0.059598,1.172972,dl_Ni_mixed_700K_1.0at_0.05GPa_2c59f335_201
Ni,mixed,700,0.1,1.0,0.115867,1.156289,dl_Ni_mixed_700K_1.0at_0.10GPa_2c59f335_202
Ni,mixed,700,0.2,1.0,0.223026,1.123597,dl_Ni_mixed_700K_1.0at_0.20GPa_2c59f335_203
Ni,mixed,700,0.4,1.0,0.460224,1.1478,dl_Ni_mixed_700K_1.0at_0.40GPa_2c59f335_204
Ni,mixed,900,0.05,0.0,0.160758,3.219722,dl_Ni_mixed_900K_0.0at_0.05GPa_2c59f335_205
Ni,mixed,900,0.1,0.0,0.369683,3.69104,dl_Ni_mixed_900K_0.0at_0.10GPa_2c59f335_206
Ni,mixed,900,0.2,0.0,0.745179,3.72421,dl_Ni_mixed_900K_0.0at_0.20GPa_2c59f335_207
Ni,mixed,900,0.4,0.0,1.504331,3.761875,dl_Ni_mixed_900K_0.0at_0.40GPa_2c59f335_208
Ni,mixed,900,0.05,0.5,0.092382,1.834331,dl_Ni_mixed_900K_0.5at_0.05GPa_2c59f335_209
Ni,mixed,900,0.1,0.5,0.208093,2.069349,dl_Ni_mixed_900K_0.5at_0.10GPa_2c59f335_210
Ni,mixed,900,0.2,0.5,0.430139,2.153779,dl_Ni_mixed_900K_0.5at_0.20GPa_2c59f335_211
Ni,mixed,900,0.4,0.5,0.784029,1.960146,dl_Ni_mixed_900K_0.5at_0.40GPa_2c59f335_212
Ni,mixed,900,0.05,1.0,0.072832,1.458029,dl_Ni_mixed_900K_1.0at_0.05GPa_2c59f335_213
Ni,mixed,900,0.1,1.0,0.133621,1.34354,dl_Ni_mixed_900K_1.0at_0.10GPa_2c59f335_214
Ni,mixed,900,0.2,1.0,0.265249,1.32467,dl_Ni_mixed_900K_1.0at_0.20GPa_2c59f335_215
Ni,mixed,900,0.4,1.0,0.576961,1.442594,dl_Ni_mixed_900K_1.0at_0.40GPa_2c59f335_216
Al,edge,500,0.05,0.0,0.141361,2.862488,dl_Al_edge_500K_0.0at_0.05GPa_2c59f335_217
Al,edge,500,0.1,0.0,0.311304,3.118832,dl_Al_edge_500K_0.0at_0.10GPa_2c59f335_218
Al,edge,500,0.2,0.0,0.60786,3.033373,dl_Al_edge_500K_0.0at_0.20GPa_2c59f335_219
Al,edge,500,0.4,0.0,1.301442,3.255792,dl_Al_edge_500K_0.0at_0.40GPa_2c59f335_220
Al,edge,500,0.05,0.5,0.083609,1.691505,dl_Al_edge_500K_0.5at_0.05GPa_2c59f335_221
Al,edge,500,0.1,0.5,0.180084,1.799692,dl_Al_edge_500K_0.5at_0.10GPa_2c59f335_222
Al,edge,500,0.2,0.5,0.340926,1.701312,dl_Al_edge_500K_0.5at_0.20GPa_2c59f335_223
Al,edge,500,0.4,0.5,0.707918,1.769084,dl_Al_edge_500K_0.5at_0.40GPa_2c59f335_224
Al,edge,500,0.05,1.0,0.057413,1.175771,dl_Al_edge_500K_1.0at_0.05GPa_2c59f335_225
Al,edge,500,0.1,1.0,0.115375,1.164781,dl_Al_edge_500K_1.0at_0.10GPa_2c59f335_226
Al,edge,500,0.2,1.0,0.234461,1.180221,dl_Al_edge_500K_1.0at_0.20GPa_2c59f335_227
Al,edge,500,0.4,1.0,0.489044,1.220427,dl_Al_edge_500K_1.0at_0.40GPa_2c59f335_228
Al,edge,700,0.05,0.0,0.186516,3.752429,dl_Al_edge_700K_0.0at_0.05GPa_2c59f335_229
