layer,temperature_C,time_min,ramp_rate_C_per_min,dL_over_L0,axial_strain_rate_per_min,relative_density
anode,1100,120,4.5,0.04898,0.00012,0.7164
anode,1100,180,4.5,0.05311,4e-05,0.7164
anode,1200,0,4.5,0.0,0.00167,0.7869
anode,1200,5,4.5,0.00744,0.00153,0.7869
anode,1200,15,4.5,0.02245,0.00123,0.7869
anode,1200,30,4.5,0.03706,0.00095,0.7869
anode,1200,60,4.5,0.0587,0.00053,0.7869
anode,1200,90,4.5,0.07153,0.00028,0.7869
anode,1200,120,4.5,0.07719,0.00017,0.7869
anode,1200,180,4.5,0.08296,5e-05,0.7869
anode,1300,0,4.5,0.0,0.00224,0.8537
anode,1300,5,4.5,0.01122,0.00203,0.8537
anode,1300,15,4.5,0.02869,0.00168,0.8537
anode,1300,30,4.5,0.05155,0.00124,0.8537
anode,1300,60,4.5,0.07912,0.0007,0.8537
anode,1300,90,4.5,0.09476,0.0004,0.8537
anode,1300,120,4.5,0.10386,0.00022,0.8537
anode,1300,180,4.5,0.11248,5e-05,0.8537
anode,1400,0,4.5,0.00033,0.00265,0.903
anode,1400,5,4.5,0.01313,0.00241,0.903
anode,1400,15,4.5,0.03451,0.00199,0.903
anode,1400,30,4.5,0.05962,0.0015,0.903
anode,1400,60,4.5,0.09441,0.00082,0.903
anode,1400,90,4.5,0.11219,0.00047,0.903
anode,1400,120,4.5,0.1227,0.00027,0.903
anode,1400,180,4.5,0.1321,9e-05,0.903
electrolyte,600,0,3.8,0.00028,0.0,0.6203
electrolyte,600,5,3.8,0.0,1e-05,0.6203
electrolyte,600,15,3.8,0.0,1e-05,0.6203
electrolyte,600,30,3.8,0.00035,0.0,0.6203
electrolyte,600,60,3.8,0.00128,0.0,0.6203
electrolyte,600,90,3.8,0.00097,0.0,0.6203
electrolyte,600,120,3.8,0.00013,1e-05,0.6203
electrolyte,600,180,3.8,0.00147,0.0,0.6203
electrolyte,700,0,3.8,0.00119,0.0,0.621
electrolyte,700,5,3.8,0.0,2e-05,0.621
electrolyte,700,15,3.8,0.0,2e-05,0.621
electrolyte,700,30,3.8,0.00082,0.0,0.621
electrolyte,700,60,3.8,0.00111,0.0,0.621
electrolyte,700,90,3.8,0.0006,1e-05,0.621
electrolyte,700,120,3.8,0.00065,1e-05,0.621
electrolyte,700,180,3.8,0.0015,0.0,0.621
electrolyte,800,0,3.8,1e-05,5e-05,0.6228
electrolyte,800,5,3.8,0.00011,5e-05,0.6228
electrolyte,800,15,3.8,0.0011,3e-05,0.6228
electrolyte,800,30,3.8,0.00056,4e-05,0.6228
electrolyte,800,60,3.8,0.00132,3e-05,0.6228
electrolyte,800,90,3.8,0.00229,1e-05,0.6228
electrolyte,800,120,3.8,0.00208,1e-05,0.6228
electrolyte,800,180,3.8,0.00287,0.0,0.6228
electrolyte,900,0,3.8,0.0,0.00013,0.6279
electrolyte,900,5,3.8,0.00059,0.00012,0.6279
electrolyte,900,15,3.8,0.00129,0.0001,0.6279
electrolyte,900,30,3.8,0.00251,8e-05,0.6279
electrolyte,900,60,3.8,0.0043,4e-05,0.6279
electrolyte,900,90,3.8,0.00508,2e-05,0.6279
electrolyte,900,120,3.8,0.00489,3e-05,0.6279
electrolyte,900,180,3.8,0.00465,3e-05,0.6279
electrolyte,1000,0,3.8,0.0,0.0003,0.6417
electrolyte,1000,5,3.8,0.00226,0.00025,0.6417
electrolyte,1000,15,3.8,0.00503,0.0002,0.6417
electrolyte,1000,30,3.8,0.00699,0.00015,0.6417
electrolyte,1000,60,3.8,0.009,0.00011,0.6417
electrolyte,1000,90,3.8,0.01353,2e-05,0.6417
electrolyte,1000,120,3.8,0.01294,3e-05,0.6417
electrolyte,1000,180,3.8,0.01453,0.0,0.6417
electrolyte,1100,0,3.8,0.00022,0.00065,0.6759
electrolyte,1100,5,3.8,0.00334,0.00058,0.6759
electrolyte,1100,15,3.8,0.00805,0.00048,0.6759
electrolyte,1100,30,3.8,0.01422,0.00035,0.6759
electrolyte,1100,60,3.8,0.02293,0.00017,0.6759
electrolyte,1100,90,3.8,0.02647,0.0001,0.6759
electrolyte,1100,120,3.8,0.02695,9e-05,0.6759
electrolyte,1100,180,3.8,0.03057,1e-05,0.6759
electrolyte,1200,0,3.8,0.00025,0.00122,0.7449
electrolyte,1200,5,3.8,0.00659,0.00108,0.7449
electrolyte,1200,15,3.8,0.01635,0.00088,0.7449
electrolyte,1200,30,3.8,0.02717,0.00065,0.7449
electrolyte,1200,60,3.8,0.04199,0.00034,0.7449
electrolyte,1200,90,3.8,0.04925,0.00019,0.7449
electrolyte,1200,120,3.8,0.05309,0.00011,0.7449
electrolyte,1200,180,3.8,0.05586,5e-05,0.7449
electrolyte,1300,0,3.8,4e-05,0.00189,0.8398
electrolyte,1300,5,3.8,0.00959,0.00169,0.8398
electrolyte,1300,15,3.8,0.02398,0.00138,0.8398
electrolyte,1300,30,3.8,0.04197,0.00101,0.8398
electrolyte,1300,60,3.8,0.06386,0.00055,0.8398
electrolyte,1300,90,3.8,0.07557,0.0003,0.8398
electrolyte,1300,120,3.8,0.08287,0.00015,0.8398
electrolyte,1300,180,3.8,0.08856,3e-05,0.8398
electrolyte,1400,0,3.8,0.00022,0.00241,0.9194
electrolyte,1400,5,3.8,0.011,0.00219,0.9194
electrolyte,1400,15,3.8,0.03052,0.00178,0.9194
electrolyte,1400,30,3.8,0.05386,0.00129,0.9194
electrolyte,1400,60,3.8,0.08297,0.00068,0.9194
electrolyte,1400,90,3.8,0.09791,0.00036,0.9194
electrolyte,1400,120,3.8,0.10644,0.00018,0.9194
electrolyte,1400,180,3.8,0.1126,5e-05,0.9194
cathode,600,0,5.0,0.00014,7e-05,0.5602
cathode,600,5,5.0,0.00066,6e-05,0.5602
cathode,600,15,5.0,0.00016,6e-05,0.5602
cathode,600,30,5.0,0.00112,5e-05,0.5602
cathode,600,60,5.0,0.00264,2e-05,0.5602
cathode,600,90,5.0,0.00308,1e-05,0.5602
cathode,600,120,5.0,0.00313,1e-05,0.5602
cathode,600,180,5.0,0.00278,2e-05,0.5602
cathode,700,0,5.0,0.00017,0.00013,0.5696
cathode,700,5,5.0,0.00086,0.00012,0.5696
cathode,700,15,5.0,0.00178,0.0001,0.5696
cathode,700,30,5.0,0.00232,9e-05,0.5696
cathode,700,60,5.0,0.00464,5e-05,0.5696
cathode,700,90,5.0,0.00606,3e-05,0.5696
cathode,700,120,5.0,0.0065,2e-05,0.5696
cathode,700,180,5.0,0.00753,0.0,0.5696
cathode,800,0,5.0,0.0,0.00026,0.5869
cathode,800,5,5.0,0.00141,0.00024,0.5869
cathode,800,15,5.0,0.00282,0.00021,0.5869
cathode,800,30,5.0,0.00565,0.00016,0.5869
cathode,800,60,5.0,0.00934,0.0001,0.5869
cathode,800,90,5.0,0.01213,4e-05,0.5869
cathode,800,120,5.0,0.01248,4e-05,0.5869
cathode,800,180,5.0,0.01424,1e-05,0.5869
cathode,900,0,5.0,0.0,0.00049,0.6166
cathode,900,5,5.0,0.00122,0.00047,0.6166
cathode,900,15,5.0,0.00705,0.00037,0.6166
cathode,900,30,5.0,0.01055,0.0003,0.6166
cathode,900,60,5.0,0.01816,0.00017,0.6166
cathode,900,90,5.0,0.02245,9e-05,0.6166
cathode,900,120,5.0,0.02457,5e-05,0.6166
cathode,900,180,5.0,0.02682,1e-05,0.6166
cathode,1000,0,5.0,0.00087,0.00086,0.6626
cathode,1000,5,5.0,0.00318,0.00081,0.6626
cathode,1000,15,5.0,0.01229,0.00065,0.6626
cathode,1000,30,5.0,0.02042,0.0005,0.6626
cathode,1000,60,5.0,0.03151,0.0003,0.6626
cathode,1000,90,5.0,0.04029,0.00015,0.6626
cathode,1000,120,5.0,0.04311,0.0001,0.6626
cathode,1000,180,5.0,0.04658,3e-05,0.6626
cathode,1100,0,5.0,0.00046,0.00139,0.7229
cathode,1100,5,5.0,0.00558,0.00129,0.7229
cathode,1100,15,5.0,0.01845,0.00106,0.7229
cathode,1100,30,5.0,0.03176,0.00082,0.7229
cathode,1100,60,5.0,0.0518,0.00046,0.7229
cathode,1100,90,5.0,0.06266,0.00027,0.7229
cathode,1100,120,5.0,0.06776,0.00017,0.7229
cathode,1100,180,5.0,0.07442,5e-05,0.7229
cathode,1200,0,5.0,0.0,0.00198,0.7875
cathode,1200,5,5.0,0.00951,0.0018,0.7875
cathode,1200,15,5.0,0.0266,0.0015,0.7875
cathode,1200,30,5.0,0.04643,0.00114,0.7875
cathode,1200,60,5.0,0.0717,0.00068,0.7875
cathode,1200,90,5.0,0.08793,0.00039,0.7875
cathode,1200,120,5.0,0.09746,0.00022,0.7875
cathode,1200,180,5.0,0.10577,7e-05,0.7875
cathode,1300,0,5.0,0.0,0.00249,0.8428
cathode,1300,5,5.0,0.0123,0.00226,0.8428
cathode,1300,15,5.0,0.03313,0.00189,0.8428
cathode,1300,30,5.0,0.05868,0.00143,0.8428
cathode,1300,60,5.0,0.09127,0.00084,0.8428
cathode,1300,90,5.0,0.11129,0.00048,0.8428
cathode,1300,120,5.0,0.1228,0.00027,0.8428
cathode,1300,180,5.0,0.13236,0.0001,0.8428
cathode,1400,0,5.0,0.00051,0.00284,0.8821
cathode,1400,5,5.0,0.01397,0.00259,0.8821
cathode,1400,15,5.0,0.03753,0.00217,0.8821
cathode,1400,30,5.0,0.06613,0.00166,0.8821
cathode,1400,60,5.0,0.1042,0.00097,0.8821
cathode,1400,90,5.0,0.12605,0.00058,0.8821
cathode,1400,120,5.0,0.14014,0.00032,0.8821
cathode,1400,180,5.0,0.15058,0.00014,0.8821
interconnect,600,0,6.0,0.00026,2e-05,0.7049
interconnect,600,5,6.0,0.00068,1e-05,0.7049
interconnect,600,15,6.0,0.00069,1e-05,0.7049
interconnect,600,30,6.0,0.00061,1e-05,0.7049
interconnect,600,60,6.0,0.00022,2e-05,0.7049
interconnect,600,90,6.0,0.00102,0.0,0.7049
interconnect,600,120,6.0,0.00166,0.0,0.7049
interconnect,600,180,6.0,0.00131,0.0,0.7049
interconnect,700,0,6.0,0.00014,4e-05,0.712
interconnect,700,5,6.0,0.0,4e-05,0.712
interconnect,700,15,6.0,0.00033,4e-05,0.712
interconnect,700,30,6.0,0.00118,3e-05,0.712
interconnect,700,60,6.0,0.00202,1e-05,0.712
interconnect,700,90,6.0,0.00203,1e-05,0.712
interconnect,700,120,6.0,0.00276,0.0,0.712
interconnect,700,180,6.0,0.00181,2e-05,0.712
interconnect,800,0,6.0,0.0,0.0001,0.7282
interconnect,800,5,6.0,0.00094,8e-05,0.7282
interconnect,800,15,6.0,0.00088,8e-05,0.7282
interconnect,800,30,6.0,0.00202,6e-05,0.7282
interconnect,800,60,6.0,0.00461,3e-05,0.7282
interconnect,800,90,6.0,0.00552,1e-05,0.7282
interconnect,800,120,6.0,0.00479,2e-05,0.7282
interconnect,800,180,6.0,0.00558,1e-05,0.7282
interconnect,900,0,6.0,0.0,0.00019,0.7616
interconnect,900,5,6.0,0.00134,0.00017,0.7616
interconnect,900,15,6.0,0.0029,0.00015,0.7616
interconnect,900,30,6.0,0.00471,0.00012,0.7616
interconnect,900,60,6.0,0.00734,8e-05,0.7616
interconnect,900,90,6.0,0.00879,6e-05,0.7616
interconnect,900,120,6.0,0.01037,3e-05,0.7616
interconnect,900,180,6.0,0.0113,2e-05,0.7616
interconnect,1000,0,6.0,0.0,0.00033,0.8166
interconnect,1000,5,6.0,0.00122,0.00031,0.8166
interconnect,1000,15,6.0,0.00338,0.00028,0.8166
interconnect,1000,30,6.0,0.00777,0.00022,0.8166
interconnect,1000,60,6.0,0.01388,0.00012,0.8166
interconnect,1000,90,6.0,0.01652,9e-05,0.8166
interconnect,1000,120,6.0,0.01928,4e-05,0.8166
interconnect,1000,180,6.0,0.02088,2e-05,0.8166
interconnect,1100,0,6.0,0.00021,0.00049,0.8809
interconnect,1100,5,6.0,0.00234,0.00046,0.8809
interconnect,1100,15,6.0,0.0069,0.00039,0.8809
interconnect,1100,30,6.0,0.0122,0.00031,0.8809
interconnect,1100,60,6.0,0.01979,0.0002,0.8809
interconnect,1100,90,6.0,0.02222,0.00016,0.8809
interconnect,1100,120,6.0,0.02863,6e-05,0.8809
interconnect,1100,180,6.0,0.03018,4e-05,0.8809
interconnect,1200,0,6.0,0.0,0.00062,0.9318
interconnect,1200,5,6.0,0.00386,0.00057,0.9318
interconnect,1200,15,6.0,0.00868,0.00049,0.9318
interconnect,1200,30,6.0,0.01499,0.0004,0.9318
interconnect,1200,60,6.0,0.02471,0.00025,0.9318
interconnect,1200,90,6.0,0.03137,0.00015,0.9318
interconnect,1200,120,6.0,0.03575,9e-05,0.9318
interconnect,1200,180,6.0,0.03938,3e-05,0.9318
interconnect,1300,0,6.0,0.0,0.0007,0.9611
interconnect,1300,5,6.0,0.00275,0.00066,0.9611
interconnect,1300,15,6.0,0.00953,0.00056,0.9611
interconnect,1300,30,6.0,0.01596,0.00046,0.9611
interconnect,1300,60,6.0,0.02787,0.00029,0.9611
interconnect,1300,90,6.0,0.03473,0.00018,0.9611
interconnect,1300,120,6.0,0.03985,0.00011,0.9611
interconnect,1300,180,6.0,0.04419,4e-05,0.9611
interconnect,1400,0,6.0,0.00083,0.00073,0.975
interconnect,1400,5,6.0,0.00434,0.00068,0.975
interconnect,1400,15,6.0,0.0103,0.00059,0.975
interconnect,1400,30,6.0,0.01751,0.00048,0.975
interconnect,1400,60,6.0,0.02865,0.00032,0.975
interconnect,1400,90,6.0,0.03725,0.00019,0.975
interconnect,1400,120,6.0,0.04148,0.00012,0.975
interconnect,1400,180,6.0,0.04634,5e-05,0.975
