layer_a,layer_b,temperature_C,time_min,bilayer_dL_over_L0,shrinkage_mismatch,interfacial_stress_MPa,layer_a_creep_rate_per_s,layer_b_creep_rate_per_s
cathode,electrolyte,600,15,0.00072,0.00078,0.092,0.0,0.0
cathode,electrolyte,600,30,0.00127,0.00137,0.162,0.0,0.0
cathode,electrolyte,600,60,0.002,0.00218,0.258,0.0,0.0
cathode,electrolyte,600,90,0.00243,0.00266,0.314,0.0,0.0
cathode,electrolyte,600,120,0.00268,0.00294,0.347,0.0,0.0
cathode,electrolyte,600,180,0.00291,0.00321,0.378,0.0,0.0
cathode,electrolyte,700,0,0.0,0.0,0.0,6e-08,0.0
cathode,electrolyte,700,5,0.00053,0.00054,0.064,6e-08,0.0
cathode,electrolyte,700,15,0.00144,0.00149,0.176,6e-08,0.0
cathode,electrolyte,700,30,0.00254,0.00264,0.312,6e-08,0.0
cathode,electrolyte,700,60,0.00402,0.00421,0.496,6e-08,0.0
cathode,electrolyte,700,90,0.00488,0.00513,0.605,6e-08,0.0
cathode,electrolyte,700,120,0.00538,0.00568,0.67,6e-08,0.0
cathode,electrolyte,700,180,0.00584,0.00619,0.73,6e-08,0.0
cathode,electrolyte,800,0,0.0,0.0,0.0,8.9e-07,3e-08
cathode,electrolyte,800,5,0.00104,0.00101,0.119,9.4e-07,3e-08
cathode,electrolyte,800,15,0.00285,0.00277,0.327,8.9e-07,3e-08
cathode,electrolyte,800,30,0.00502,0.00491,0.58,9.5e-07,3e-08
cathode,electrolyte,800,60,0.00793,0.00783,0.925,9.3e-07,3e-08
cathode,electrolyte,800,90,0.00962,0.00957,1.129,9.4e-07,3e-08
cathode,electrolyte,800,120,0.01061,0.0106,1.251,9.3e-07,3e-08
cathode,electrolyte,800,180,0.01151,0.01156,1.365,9.2e-07,3e-08
cathode,electrolyte,900,0,0.0,0.0,0.0,8.91e-06,4.5e-07
cathode,electrolyte,900,5,0.00198,0.00175,0.207,9.24e-06,4.5e-07
cathode,electrolyte,900,15,0.00544,0.00484,0.571,9.19e-06,4.3e-07
cathode,electrolyte,900,30,0.00958,0.00859,1.014,8.89e-06,4.2e-07
cathode,electrolyte,900,60,0.01513,0.01374,1.621,9.42e-06,4.1e-07
cathode,electrolyte,900,90,0.01835,0.01682,1.985,9.02e-06,4.5e-07
cathode,electrolyte,900,120,0.02021,0.01865,2.201,9.64e-06,4.3e-07
cathode,electrolyte,900,180,0.02192,0.02039,2.406,9.05e-06,4.6e-07
cathode,electrolyte,1000,0,0.0,0.0,0.0,6.625e-05,3.7e-06
cathode,electrolyte,1000,5,0.00357,0.00274,0.323,6.103e-05,3.56e-06
cathode,electrolyte,1000,15,0.00979,0.00758,0.894,6.058e-05,3.89e-06
cathode,electrolyte,1000,30,0.01724,0.01349,1.592,5.942e-05,3.67e-06
cathode,electrolyte,1000,60,0.02721,0.02169,2.559,6.589e-05,3.78e-06
cathode,electrolyte,1000,90,0.03298,0.02664,3.144,5.963e-05,3.65e-06
cathode,electrolyte,1000,120,0.03632,0.02963,3.496,5.998e-05,3.66e-06
cathode,electrolyte,1000,180,0.03938,0.03249,3.833,6.068e-05,3.87e-06
cathode,electrolyte,1100,0,0.0,0.0,0.0,0.00030897,2.47e-05
cathode,electrolyte,1100,5,0.00588,0.00357,0.421,0.00030674,2.322e-05
cathode,electrolyte,1100,15,0.01614,0.00993,1.172,0.00031763,2.395e-05
cathode,electrolyte,1100,30,0.02839,0.0178,2.1,0.00030749,2.399e-05
cathode,electrolyte,1100,60,0.04478,0.0289,3.41,0.00032168,2.428e-05
cathode,electrolyte,1100,90,0.05424,0.03576,4.219,0.00033402,2.475e-05
cathode,electrolyte,1100,120,0.05971,0.03996,4.715,0.00031872,2.667e-05
cathode,electrolyte,1100,180,0.0647,0.04407,5.2,0.00033534,2.439e-05
cathode,electrolyte,1200,0,0.0,0.0,0.0,0.00132998,0.00012041
cathode,electrolyte,1200,5,0.00864,0.00364,0.43,0.00135723,0.0001241
cathode,electrolyte,1200,15,0.02371,0.01023,1.208,0.00131796,0.00012352
cathode,electrolyte,1200,30,0.0417,0.01858,2.192,0.00135084,0.00012006
cathode,electrolyte,1200,60,0.0657,0.03077,3.63,0.0013007,0.00012046
cathode,electrolyte,1200,90,0.07953,0.0386,4.555,0.0012854,0.00012298
cathode,electrolyte,1200,120,0.0875,0.04355,5.139,0.00129149,0.00011223
cathode,electrolyte,1200,180,0.09476,0.04855,5.729,0.0012863,0.00011868
cathode,electrolyte,1300,0,0.0,0.0,0.0,0.00421641,0.0005039
cathode,electrolyte,1300,5,0.01124,0.00292,0.345,0.00469009,0.00050167
cathode,electrolyte,1300,15,0.03083,0.00837,0.988,0.00461928,0.00048353
cathode,electrolyte,1300,30,0.05418,0.01558,1.839,0.00447564,0.0004989
cathode,electrolyte,1300,60,0.08529,0.02677,3.159,0.00422183,0.00046334
cathode,electrolyte,1300,90,0.10317,0.03441,4.06,0.00437972,0.00050224
cathode,electrolyte,1300,120,0.11346,0.03946,4.657,0.00428199,0.00049955
cathode,electrolyte,1300,180,0.1228,0.04479,5.286,0.00443559,0.00046359
cathode,electrolyte,1400,0,0.0,0.0,0.0,0.01327154,0.00176158
cathode,electrolyte,1400,5,0.01314,0.00213,0.252,0.01305691,0.00164863
cathode,electrolyte,1400,15,0.03603,0.0063,0.744,0.01289128,0.00169098
cathode,electrolyte,1400,30,0.06331,0.01216,1.435,0.01302244,0.00169172
cathode,electrolyte,1400,60,0.0996,0.02194,2.589,0.01299744,0.00175523
cathode,electrolyte,1400,90,0.12044,0.02908,3.432,0.01318991,0.00166452
cathode,electrolyte,1400,120,0.13241,0.03401,4.013,0.01323609,0.00169276
cathode,electrolyte,1400,180,0.14327,0.03942,4.651,0.01322681,0.00178124
electrolyte,interconnect,600,0,0.0,0.0,0.0,0.0,1e-08
electrolyte,interconnect,600,5,6e-05,-5e-05,-0.007,0.0,1e-08
electrolyte,interconnect,600,15,0.00016,-0.00015,-0.02,0.0,1e-08
electrolyte,interconnect,600,30,0.00027,-0.00028,-0.037,0.0,1e-08
electrolyte,interconnect,600,60,0.00043,-0.00048,-0.063,0.0,1e-08
electrolyte,interconnect,600,90,0.00053,-0.00062,-0.081,0.0,1e-08
electrolyte,interconnect,600,120,0.00058,-0.00071,-0.094,0.0,1e-08
electrolyte,interconnect,600,180,0.00064,-0.00082,-0.108,0.0,1e-08
electrolyte,interconnect,700,0,0.0,0.0,0.0,0.0,1.3e-07
electrolyte,interconnect,700,5,0.00013,-0.00011,-0.014,0.0,1.3e-07
electrolyte,interconnect,700,15,0.00037,-0.00031,-0.041,0.0,1.2e-07
electrolyte,interconnect,700,30,0.00065,-0.00058,-0.077,0.0,1.2e-07
electrolyte,interconnect,700,60,0.00102,-0.001,-0.133,0.0,1.2e-07
electrolyte,interconnect,700,90,0.00124,-0.0013,-0.172,0.0,1.3e-07
electrolyte,interconnect,700,120,0.00137,-0.0015,-0.198,0.0,1.3e-07
electrolyte,interconnect,700,180,0.0015,-0.00173,-0.229,0.0,1.3e-07
electrolyte,interconnect,800,0,0.0,0.0,0.0,3e-08,1.49e-06
electrolyte,interconnect,800,5,0.00031,-0.0002,-0.027,3e-08,1.39e-06
electrolyte,interconnect,800,15,0.00085,-0.00059,-0.078,3e-08,1.57e-06
electrolyte,interconnect,800,30,0.0015,-0.00111,-0.146,3e-08,1.63e-06
electrolyte,interconnect,800,60,0.00237,-0.00194,-0.256,3e-08,1.69e-06
electrolyte,interconnect,800,90,0.00287,-0.00254,-0.335,3e-08,1.65e-06
electrolyte,interconnect,800,120,0.00317,-0.00295,-0.39,3e-08,1.57e-06
electrolyte,interconnect,800,180,0.00345,-0.00343,-0.453,4e-08,1.49e-06
electrolyte,interconnect,900,0,0.0,0.0,0.0,4.1e-07,1.294e-05
electrolyte,interconnect,900,5,0.0007,-0.0003,-0.04,4.5e-07,1.369e-05
electrolyte,interconnect,900,15,0.00191,-0.00089,-0.117,4.5e-07,1.377e-05
electrolyte,interconnect,900,30,0.00336,-0.00171,-0.226,4.4e-07,1.36e-05
electrolyte,interconnect,900,60,0.00528,-0.0031,-0.409,4.3e-07,1.295e-05
electrolyte,interconnect,900,90,0.00639,-0.00415,-0.548,4.2e-07,1.343e-05
electrolyte,interconnect,900,120,0.00703,-0.0049,-0.647,4.1e-07,1.311e-05
electrolyte,interconnect,900,180,0.00764,-0.00579,-0.764,4.2e-07,1.378e-05
electrolyte,interconnect,1000,0,0.0,0.0,0.0,3.69e-06,8.85e-05
electrolyte,interconnect,1000,5,0.00148,-0.00017,-0.023,3.8e-06,8.023e-05
electrolyte,interconnect,1000,15,0.00405,-0.00059,-0.078,3.84e-06,7.848e-05
electrolyte,interconnect,1000,30,0.00709,-0.00133,-0.176,3.68e-06,7.835e-05
electrolyte,interconnect,1000,60,0.0111,-0.00288,-0.381,3.54e-06,7.581e-05
electrolyte,interconnect,1000,90,0.01339,-0.00425,-0.561,3.71e-06,7.937e-05
electrolyte,interconnect,1000,120,0.0147,-0.00532,-0.702,3.97e-06,7.561e-05
electrolyte,interconnect,1000,180,0.01591,-0.00667,-0.881,3.64e-06,7.996e-05
electrolyte,interconnect,1100,0,0.0,0.0,0.0,2.579e-05,0.0003562
electrolyte,interconnect,1100,5,0.00289,0.00071,0.094,2.22e-05,0.00037861
electrolyte,interconnect,1100,15,0.0079,0.00175,0.231,2.415e-05,0.00036128
electrolyte,interconnect,1100,30,0.01379,0.00258,0.34,2.38e-05,0.00034016
electrolyte,interconnect,1100,60,0.02148,0.00269,0.356,2.39e-05,0.00032782
electrolyte,interconnect,1100,90,0.0258,0.00196,0.258,2.338e-05,0.00037193
electrolyte,interconnect,1100,120,0.02824,0.00106,0.139,2.394e-05,0.0003739
electrolyte,interconnect,1100,180,0.03044,-0.00038,-0.051,2.476e-05,0.00034961
electrolyte,interconnect,1200,0,0.0,0.0,0.0,0.00011753,0.00138136
electrolyte,interconnect,1200,5,0.00502,0.0028,0.369,0.00011677,0.00135366
electrolyte,interconnect,1200,15,0.01367,0.00735,0.97,0.00012066,0.00140795
electrolyte,interconnect,1200,30,0.02381,0.01214,1.602,0.0001253,0.00131591
electrolyte,interconnect,1200,60,0.03694,0.01702,2.247,0.00011607,0.00130326
electrolyte,interconnect,1200,90,0.04421,0.01861,2.456,0.00012236,0.00137295
electrolyte,interconnect,1200,120,0.04827,0.01881,2.483,0.00012707,0.00133663
electrolyte,interconnect,1200,180,0.05183,0.01809,2.388,0.00011605,0.00137552
electrolyte,interconnect,1300,0,0.0,0.0,0.0,0.00048126,0.00407245
electrolyte,interconnect,1300,5,0.0074,0.00557,0.735,0.00050355,0.00421583
electrolyte,interconnect,1300,15,0.02014,0.01484,1.959,0.00047191,0.00415952
electrolyte,interconnect,1300,30,0.03502,0.02502,3.303,0.00049649,0.0042009
electrolyte,interconnect,1300,60,0.05417,0.03656,4.826,0.00047418,0.00425619
electrolyte,interconnect,1300,90,0.06469,0.04157,5.487,0.00050636,0.00395242
electrolyte,interconnect,1300,120,0.0705,0.04351,5.743,0.0004685,0.00414824
electrolyte,interconnect,1300,180,0.07552,0.04408,5.819,0.00049857,0.00439107
electrolyte,interconnect,1400,0,0.0,0.0,0.0,0.00163457,0.01237621
electrolyte,interconnect,1400,5,0.00927,0.00789,1.041,0.00167407,0.01130632
electrolyte,interconnect,1400,15,0.02521,0.0211,2.786,0.00157538,0.01165324
electrolyte,interconnect,1400,30,0.04379,0.03582,4.728,0.00169583,0.01209557
electrolyte,interconnect,1400,60,0.06765,0.053,6.996,0.00159611,0.0122837
electrolyte,interconnect,1400,90,0.08069,0.06095,8.045,0.00163378,0.01169133
electrolyte,interconnect,1400,120,0.08785,0.06441,8.503,0.00173002,0.01161611
electrolyte,interconnect,1400,180,0.09399,0.06618,8.735,0.00168076,0.01135667
