layer,temperature_C,relative_density,youngs_modulus_GPa,poissons_ratio
anode,1400,0.75,46.041,0.3265
anode,1400,0.85,62.563,0.3375
anode,1400,0.92,75.949,0.34
anode,1400,0.965,85.375,0.34
electrolyte,25,0.62,47.703,0.2677
electrolyte,25,0.65,55.098,0.2702
electrolyte,25,0.75,85.249,0.2787
electrolyte,25,0.85,124.877,0.2873
electrolyte,25,0.92,158.967,0.2932
electrolyte,25,0.97,186.813,0.2974
electrolyte,200,0.62,46.117,0.2714
electrolyte,200,0.65,53.266,0.2739
electrolyte,200,0.75,82.415,0.2824
electrolyte,200,0.85,120.725,0.2909
electrolyte,200,0.92,153.681,0.2969
electrolyte,200,0.97,180.602,0.3011
electrolyte,400,0.62,44.304,0.2756
electrolyte,400,0.65,51.173,0.2781
electrolyte,400,0.75,79.175,0.2866
electrolyte,400,0.85,115.979,0.2951
electrolyte,400,0.92,147.641,0.3011
electrolyte,400,0.97,173.503,0.3053
electrolyte,600,0.62,42.492,0.2798
electrolyte,600,0.65,49.079,0.2823
electrolyte,600,0.75,75.936,0.2908
electrolyte,600,0.85,111.234,0.2993
electrolyte,600,0.92,141.6,0.3053
electrolyte,600,0.97,166.404,0.3095
electrolyte,750,0.62,41.132,0.2829
electrolyte,750,0.65,47.509,0.2855
electrolyte,750,0.75,73.506,0.294
electrolyte,750,0.85,107.675,0.3025
electrolyte,750,0.92,137.069,0.3084
electrolyte,750,0.97,161.08,0.3127
electrolyte,900,0.62,39.773,0.2861
electrolyte,900,0.65,45.938,0.2886
electrolyte,900,0.75,71.077,0.2971
electrolyte,900,0.85,104.116,0.3056
electrolyte,900,0.92,132.539,0.3116
electrolyte,900,0.97,155.756,0.3158
electrolyte,1000,0.62,38.866,0.2882
electrolyte,1000,0.65,44.891,0.2907
electrolyte,1000,0.75,69.457,0.2992
electrolyte,1000,0.85,101.743,0.3077
electrolyte,1000,0.92,129.518,0.3137
electrolyte,1000,0.97,152.206,0.3179
electrolyte,1100,0.62,37.96,0.2903
electrolyte,1100,0.65,43.845,0.2928
electrolyte,1100,0.75,67.837,0.3013
electrolyte,1100,0.85,99.371,0.3098
electrolyte,1100,0.92,126.498,0.3158
electrolyte,1100,0.97,148.657,0.32
electrolyte,1200,0.62,37.054,0.2924
electrolyte,1200,0.65,42.798,0.2949
electrolyte,1200,0.75,66.217,0.3034
electrolyte,1200,0.85,96.998,0.3119
electrolyte,1200,0.92,123.478,0.3179
electrolyte,1200,0.97,145.107,0.3221
electrolyte,1300,0.62,36.147,0.2945
electrolyte,1300,0.65,41.751,0.297
electrolyte,1300,0.75,64.598,0.3055
electrolyte,1300,0.85,94.625,0.314
electrolyte,1300,0.92,120.457,0.32
electrolyte,1300,0.97,141.558,0.3242
electrolyte,1350,0.62,35.694,0.2955
electrolyte,1350,0.65,41.227,0.2981
electrolyte,1350,0.75,63.788,0.3066
electrolyte,1350,0.85,93.439,0.3151
electrolyte,1350,0.92,118.947,0.321
electrolyte,1350,0.97,139.783,0.3253
electrolyte,1400,0.62,35.241,0.2966
electrolyte,1400,0.65,40.704,0.2991
electrolyte,1400,0.75,62.978,0.3076
electrolyte,1400,0.85,92.253,0.3161
electrolyte,1400,0.92,117.437,0.3221
electrolyte,1400,0.97,138.008,0.3263
cathode,25,0.55,31.984,0.2373
cathode,25,0.65,46.811,0.2468
cathode,25,0.75,64.871,0.2563
cathode,25,0.85,86.295,0.2658
cathode,25,0.92,103.359,0.2724
cathode,25,0.935,107.241,0.2738
cathode,200,0.55,30.249,0.2439
cathode,200,0.65,44.272,0.2534
cathode,200,0.75,61.352,0.2629
cathode,200,0.85,81.613,0.2724
cathode,200,0.92,97.751,0.2791
cathode,200,0.935,101.423,0.2805
cathode,400,0.55,28.266,0.2515
cathode,400,0.65,41.37,0.261
cathode,400,0.75,57.33,0.2705
cathode,400,0.85,76.263,0.28
cathode,400,0.92,91.343,0.2867
cathode,400,0.935,94.774,0.2881
cathode,600,0.55,26.283,0.2591
cathode,600,0.65,38.467,0.2686
cathode,600,0.75,53.308,0.2781
cathode,600,0.85,70.913,0.2876
cathode,600,0.92,84.935,0.2943
cathode,600,0.935,88.125,0.2957
cathode,750,0.55,24.796,0.2648
cathode,750,0.65,36.291,0.2743
cathode,750,0.75,50.291,0.2838
cathode,750,0.85,66.9,0.2933
cathode,750,0.92,80.129,0.3
cathode,750,0.935,83.139,0.3014
cathode,900,0.55,23.309,0.2705
cathode,900,0.65,34.114,0.28
cathode,900,0.75,47.275,0.2895
cathode,900,0.85,62.887,0.299
cathode,900,0.92,75.323,0.3057
cathode,900,0.935,78.152,0.3071
cathode,1000,0.55,22.317,0.2743
cathode,1000,0.65,32.663,0.2838
cathode,1000,0.75,45.264,0.2933
cathode,1000,0.85,60.212,0.3028
cathode,1000,0.92,72.118,0.3095
cathode,1000,0.935,74.827,0.3109
cathode,1100,0.55,21.326,0.2781
cathode,1100,0.65,31.212,0.2876
cathode,1100,0.75,43.253,0.2971
cathode,1100,0.85,57.537,0.3066
cathode,1100,0.92,68.914,0.3133
cathode,1100,0.935,71.503,0.3147
cathode,1200,0.55,20.334,0.2819
cathode,1200,0.65,29.76,0.2914
cathode,1200,0.75,41.242,0.3009
cathode,1200,0.85,54.862,0.3104
cathode,1200,0.92,65.71,0.3171
cathode,1200,0.935,68.178,0.3185
cathode,1300,0.55,19.343,0.2857
cathode,1300,0.65,28.309,0.2952
cathode,1300,0.75,39.231,0.3047
cathode,1300,0.85,52.187,0.3142
cathode,1300,0.92,62.506,0.3209
cathode,1300,0.935,64.854,0.3223
cathode,1350,0.55,18.847,0.2876
cathode,1350,0.65,27.584,0.2971
cathode,1350,0.75,38.225,0.3066
cathode,1350,0.85,50.849,0.3161
cathode,1350,0.92,60.904,0.3228
cathode,1350,0.935,63.192,0.3242
cathode,1400,0.55,18.351,0.2895
cathode,1400,0.65,26.858,0.299
cathode,1400,0.75,37.22,0.3085
cathode,1400,0.85,49.512,0.318
cathode,1400,0.92,59.302,0.3247
cathode,1400,0.935,61.529,0.3261
interconnect,25,0.7,83.55,0.269
interconnect,25,0.7,83.55,0.269
interconnect,25,0.75,100.312,0.2725
interconnect,25,0.85,139.765,0.2795
interconnect,25,0.92,172.376,0.2844
interconnect,25,0.97,198.328,0.2879
interconnect,200,0.7,81.503,0.2716
interconnect,200,0.7,81.503,0.2716
interconnect,200,0.75,97.854,0.2751
interconnect,200,0.85,136.341,0.2821
interconnect,200,0.92,168.153,0.287
interconnect,200,0.97,193.469,0.2905
interconnect,400,0.7,79.164,0.2746
interconnect,400,0.7,79.164,0.2746
interconnect,400,0.75,95.045,0.2781
interconnect,400,0.85,132.427,0.2851
interconnect,400,0.92,163.326,0.29
interconnect,400,0.97,187.916,0.2935
interconnect,600,0.7,76.825,0.2776
interconnect,600,0.7,76.825,0.2776
interconnect,600,0.75,92.236,0.2811
interconnect,600,0.85,128.514,0.2881
interconnect,600,0.92,158.5,0.293
interconnect,600,0.97,182.362,0.2965
interconnect,750,0.7,75.07,0.2799
interconnect,750,0.7,75.07,0.2799
interconnect,750,0.75,90.13,0.2834
interconnect,750,0.85,125.579,0.2904
interconnect,750,0.92,154.88,0.2953
interconnect,750,0.97,178.198,0.2988
interconnect,900,0.7,73.315,0.2821
interconnect,900,0.7,73.315,0.2821
interconnect,900,0.75,88.023,0.2856
interconnect,900,0.85,122.644,0.2926
interconnect,900,0.92,151.26,0.2975
interconnect,900,0.97,174.033,0.301
interconnect,1000,0.7,72.146,0.2836
interconnect,1000,0.7,72.146,0.2836
interconnect,1000,0.75,86.619,0.2871
interconnect,1000,0.85,120.687,0.2941
interconnect,1000,0.92,148.846,0.299
interconnect,1000,0.97,171.256,0.3025
interconnect,1100,0.7,70.976,0.2851
interconnect,1100,0.7,70.976,0.2851
interconnect,1100,0.75,85.215,0.2886
interconnect,1100,0.85,118.73,0.2956
interconnect,1100,0.92,146.433,0.3005
interconnect,1100,0.97,168.479,0.304
interconnect,1200,0.7,69.806,0.2866
interconnect,1200,0.7,69.806,0.2866
interconnect,1200,0.75,83.81,0.2901
interconnect,1200,0.85,116.774,0.2971
interconnect,1200,0.92,144.02,0.302
interconnect,1200,0.97,165.703,0.3055
interconnect,1300,0.7,68.637,0.2881
interconnect,1300,0.7,68.637,0.2881
interconnect,1300,0.75,82.406,0.2916
interconnect,1300,0.85,114.817,0.2986
interconnect,1300,0.92,141.607,0.3035
interconnect,1300,0.97,162.926,0.307
interconnect,1350,0.7,68.052,0.2889
interconnect,1350,0.7,68.052,0.2889
interconnect,1350,0.75,81.704,0.2924
interconnect,1350,0.85,113.839,0.2994
interconnect,1350,0.92,140.4,0.3043
interconnect,1350,0.97,161.538,0.3078
interconnect,1400,0.7,67.467,0.2896
interconnect,1400,0.7,67.467,0.2896
interconnect,1400,0.75,81.002,0.2931
interconnect,1400,0.85,112.86,0.3001
interconnect,1400,0.92,139.193,0.305
interconnect,1400,0.97,160.15,0.3085
