Sample_ID,Mix_ID,Temperature_C,Rubber_Content_%,Validation
C-45-Control-400C-Furnace,C-45-Control,400,0,True
C-45-Control-500C-ISO834,C-45-Control,500,0,False
C-45-Control-600C-ISO834,C-45-Control,600,0,False
C-45-Control-700C-ISO834,C-45-Control,700,0,False
C-45-Control-800C-ISO834,C-45-Control,800,0,False
C-55-Control-25C-Furnace,C-55-Control,25,0,True
C-55-Control-100C-Furnace,C-55-Control,100,0,True
C-55-Control-200C-Furnace,C-55-Control,200,0,True
C-55-Control-300C-Furnace,C-55-Control,300,0,False
C-55-Control-400C-Furnace,C-55-Control,400,0,True
C-55-Control-500C-ISO834,C-55-Control,500,0,False
C-55-Control-600C-ISO834,C-55-Control,600,0,False
C-55-Control-700C-ISO834,C-55-Control,700,0,False
C-55-Control-800C-ISO834,C-55-Control,800,0,False
