flow_condition,sensor_spacing_m,true_velocity_m_s,true_time_delay_s,measured_time_delay_s,estimated_velocity_m_s,velocity_error_m_s,relative_error_percent,correlation_peak_value,peak_to_sidelobe_ratio,correlation_width_s,signal_attenuation,sampling_rate_Hz,signal_duration_s,measurement_quality
stratified_wavy,0.5,1.0,0.5,-0.5,0,1.0,100.0,1.0,1.0220789374793278,0.93002,0.8947348173010519,100000,1.0,Poor
slug_flow,0.5,1.0,0.5,-0.5,0,1.0,100.0,1.0,1.034737552786611,0.97999,0.8808421081043869,100000,1.0,Poor
stratified_smooth,0.5,1.5,0.3333333333333333,-0.33333,0,1.5,100.0,1.0,1.0052202532467407,0.99001,0.8018114638582425,100000,1.0,Poor
stratified_wavy,0.5,1.5,0.3333333333333333,-0.33333,0,1.5,100.0,1.0,1.0219160794309163,0.90802,0.8721538441540629,100000,1.0,Poor
slug_flow,0.5,1.5,0.3333333333333333,-0.33333,0,1.5,100.0,1.0,1.0347724694334617,0.97002,0.8328362744791712,100000,1.0,Poor
stratified_smooth,0.5,2.0,0.25,-0.25,0,2.0,100.0,1.0,1.0057876047271856,0.98802,0.8049779405659149,100000,1.0,Poor
stratified_wavy,0.5,2.0,0.25,-0.25,0,2.0,100.0,1.0,1.0225695908847565,0.90802,0.8745452675090001,100000,1.0,Poor
slug_flow,0.5,2.0,0.25,-0.25,0,2.0,100.0,1.0,1.036961346765529,0.97001,0.8418195939331921,100000,1.0,Poor
stratified_smooth,0.5,3.0,0.16666666666666666,-0.16666,0,3.0,100.0,1.0,1.0053400016775262,0.99,0.8804217577184131,100000,1.0,Poor
stratified_wavy,0.5,3.0,0.16666666666666666,-0.16666,0,3.0,100.0,1.0,1.0230704211973132,0.91401,0.8399445925350784,100000,1.0,Poor
slug_flow,0.5,3.0,0.16666666666666666,-0.16666,0,3.0,100.0,1.0,1.0372040186253924,0.96002,0.8897948230420668,100000,1.0,Poor
stratified_smooth,0.5,5.0,0.1,-0.1,0,5.0,100.0,1.0,1.0054699231910589,0.98801,0.8746242847345653,100000,1.0,Poor
stratified_wavy,0.5,5.0,0.1,-0.1,0,5.0,100.0,1.0,1.0230585028405046,0.904,0.8713558579232077,100000,1.0,Poor
slug_flow,0.5,5.0,0.1,-0.1,0,5.0,100.0,1.0,1.0365907415670892,0.96002,0.8852157793648243,100000,1.0,Poor
stratified_smooth,1.0,0.5,2.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.8426942753230987,100000,1.0,Poor
stratified_wavy,1.0,0.5,2.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.814759238594777,100000,1.0,Poor
slug_flow,1.0,0.5,2.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.8487414224067144,100000,1.0,Poor
stratified_smooth,1.0,1.0,1.0,-0.99999,0,1.0,100.0,0.0,100.0,0.0,0.8837819372474134,100000,1.0,Poor
stratified_wavy,1.0,1.0,1.0,-0.99999,0,1.0,100.0,0.0,100.0,0.0,0.8425957941679475,100000,1.0,Poor
slug_flow,1.0,1.0,1.0,-0.99999,0,1.0,100.0,0.0,100.0,0.0,0.8408437733385611,100000,1.0,Poor
stratified_smooth,1.0,1.5,0.6666666666666666,-0.66666,0,1.5,100.0,1.0,1.00170711867324,0.99601,0.8873659411105914,100000,1.0,Poor
stratified_wavy,1.0,1.5,0.6666666666666666,-0.66666,0,1.5,100.0,1.0,1.020359913931153,0.95401,0.8382464170000652,100000,1.0,Poor
slug_flow,1.0,1.5,0.6666666666666666,-0.66666,0,1.5,100.0,1.0,1.035236650507037,0.98004,0.834398517104678,100000,1.0,Poor
stratified_smooth,1.0,2.0,0.5,-0.5,0,2.0,100.0,1.0,1.004679577120812,0.99201,0.8500567294496695,100000,1.0,Poor
stratified_wavy,1.0,2.0,0.5,-0.5,0,2.0,100.0,1.0,1.022019335412888,0.93002,0.815077345006407,100000,1.0,Poor
slug_flow,1.0,2.0,0.5,-0.5,0,2.0,100.0,1.0,1.0369814128075465,0.98,0.892613296755906,100000,1.0,Poor
stratified_smooth,1.0,3.0,0.3333333333333333,-0.33333,0,3.0,100.0,1.0,1.005546009290528,0.992,0.8238641280005768,100000,1.0,Poor
stratified_wavy,1.0,3.0,0.3333333333333333,-0.33333,0,3.0,100.0,1.0,1.022486355206586,0.90802,0.8708057184002598,100000,1.0,Poor
slug_flow,1.0,3.0,0.3333333333333333,-0.33333,0,3.0,100.0,1.0,1.036526516625738,0.97002,0.8476080186039437,100000,1.0,Poor
stratified_smooth,1.0,5.0,0.2,-0.2,0,5.0,100.0,1.0,1.005729641939711,0.99,0.8931320564268268,100000,1.0,Poor
stratified_wavy,1.0,5.0,0.2,-0.2,0,5.0,100.0,1.0,1.0235510813988304,0.974,0.8236907973841685,100000,1.0,Poor
slug_flow,1.0,5.0,0.2,-0.2,0,5.0,100.0,1.0,1.0373832081604883,0.96004,0.8276200163101511,100000,1.0,Poor
stratified_smooth,2.0,0.5,4.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.860962392656745,100000,1.0,Poor
stratified_wavy,2.0,0.5,4.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.8837199241974103,100000,1.0,Poor
slug_flow,2.0,0.5,4.0,-0.99999,0,0.5,100.0,0.0,100.0,0.0,0.8460226127868291,100000,1.0,Poor
stratified_smooth,2.0,1.0,2.0,-0.99999,0,1.0,100.0,0.0,100.0,0.0,0.8071042516861797,100000,1.0,Poor
stratified_wavy,2.0,1.0,2.0,-0.99999,0,1.0,100.0,0.0,100.0,0.0,0.8289276844808603,100000,1.0,Poor
slug_flow,2.0,1.0,2.0,-0.99999,0,1.0,100.0,0.0,100.0,0.0,0.8673379703791766,100000,1.0,Poor
stratified_smooth,2.0,1.5,1.3333333333333333,-0.99999,0,1.5,100.0,0.0,100.0,0.0,0.8879367928947437,100000,1.0,Poor
stratified_wavy,2.0,1.5,1.3333333333333333,-0.99999,0,1.5,100.0,0.0,100.0,0.0,0.8159431097049136,100000,1.0,Poor
slug_flow,2.0,1.5,1.3333333333333333,-0.99999,0,1.5,100.0,0.0,100.0,0.0,0.8626470424485284,100000,1.0,Poor
stratified_smooth,2.0,2.0,1.0,-0.99999,0,2.0,100.0,0.0,100.0,0.0,0.8437376504149644,100000,1.0,Poor
stratified_wavy,2.0,2.0,1.0,-0.99999,0,2.0,100.0,0.0,100.0,0.0,0.8503875877466779,100000,1.0,Poor
slug_flow,2.0,2.0,1.0,-0.99999,0,2.0,100.0,0.0,100.0,0.0,0.8869482113404389,100000,1.0,Poor
stratified_smooth,2.0,3.0,0.6666666666666666,-0.66666,0,3.0,100.0,1.0,1.002802213359015,0.99402,0.8979974771461504,100000,1.0,Poor
stratified_wavy,2.0,3.0,0.6666666666666666,-0.66666,0,3.0,100.0,1.0,1.0203459113638524,0.95601,0.8343793865994867,100000,1.0,Poor
slug_flow,2.0,3.0,0.6666666666666666,-0.66666,0,3.0,100.0,1.0,1.037030631068242,0.98004,0.8325862356453679,100000,1.0,Poor
stratified_smooth,2.0,5.0,0.4,-0.4,0,5.0,100.0,1.0,1.004955021671562,0.99002,0.864651632601715,100000,1.0,Poor
stratified_wavy,2.0,5.0,0.4,-0.4,0,5.0,100.0,1.0,1.023524779414428,0.92601,0.8770597910833441,100000,1.0,Poor
slug_flow,2.0,5.0,0.4,-0.4,0,5.0,100.0,1.0,1.0373185761583734,0.96005,0.8661292291636006,100000,1.0,Poor
