material,gb_sigma,gb_plane,temperature_K,strain_rate_s^-1,peak_shear_stress_GPa,yield_like_shear_GPa,run_id
Fe,17,(410),800,1000000.0,2.51174,1.68724,gbs_Fe_S17_800K_1000000s-1_021
Fe,17,(410),800,10000000.0,2.62831,1.70586,gbs_Fe_S17_800K_10000000s-1_022
Fe,17,(410),1000,1000000.0,1.52472,0.94579,gbs_Fe_S17_1000K_1000000s-1_023
Fe,17,(410),1000,10000000.0,1.75292,1.11693,gbs_Fe_S17_1000K_10000000s-1_024
Ni,5,(210),600,1000000.0,1.69909,1.18237,gbs_Ni_S5_600K_1000000s-1_025
Ni,5,(210),600,10000000.0,1.59798,1.02404,gbs_Ni_S5_600K_10000000s-1_026
Ni,5,(210),800,1000000.0,1.34307,0.83862,gbs_Ni_S5_800K_1000000s-1_027
Ni,5,(210),800,10000000.0,1.66317,1.08226,gbs_Ni_S5_800K_10000000s-1_028
Ni,5,(210),1000,1000000.0,1.2731,0.8145,gbs_Ni_S5_1000K_1000000s-1_029
Ni,5,(210),1000,10000000.0,1.82637,1.18955,gbs_Ni_S5_1000K_10000000s-1_030
Ni,11,(113),600,1000000.0,1.51558,0.95493,gbs_Ni_S11_600K_1000000s-1_031
Ni,11,(113),600,10000000.0,1.74188,1.17945,gbs_Ni_S11_600K_10000000s-1_032
Ni,11,(113),800,1000000.0,1.59964,0.98687,gbs_Ni_S11_800K_1000000s-1_033
Ni,11,(113),800,10000000.0,2.08904,1.3418,gbs_Ni_S11_800K_10000000s-1_034
Ni,11,(113),1000,1000000.0,1.44428,0.93167,gbs_Ni_S11_1000K_1000000s-1_035
Ni,11,(113),1000,10000000.0,1.34287,0.88828,gbs_Ni_S11_1000K_10000000s-1_036
Ni,13,(510),600,1000000.0,1.96601,1.2378,gbs_Ni_S13_600K_1000000s-1_037
Ni,13,(510),600,10000000.0,1.85439,1.19842,gbs_Ni_S13_600K_10000000s-1_038
Ni,13,(510),800,1000000.0,2.03454,1.34623,gbs_Ni_S13_800K_1000000s-1_039
Ni,13,(510),800,10000000.0,1.44852,0.99193,gbs_Ni_S13_800K_10000000s-1_040
Ni,13,(510),1000,1000000.0,1.64393,1.00287,gbs_Ni_S13_1000K_1000000s-1_041
Ni,13,(510),1000,10000000.0,1.78365,1.19242,gbs_Ni_S13_1000K_10000000s-1_042
Ni,17,(410),600,1000000.0,2.34829,1.56166,gbs_Ni_S17_600K_1000000s-1_043
Ni,17,(410),600,10000000.0,1.75326,1.2135,gbs_Ni_S17_600K_10000000s-1_044
Ni,17,(410),800,1000000.0,1.85348,1.11021,gbs_Ni_S17_800K_1000000s-1_045
Ni,17,(410),800,10000000.0,1.3627,0.77499,gbs_Ni_S17_800K_10000000s-1_046
Ni,17,(410),1000,1000000.0,1.15261,0.74532,gbs_Ni_S17_1000K_1000000s-1_047
Ni,17,(410),1000,10000000.0,1.33674,0.82738,gbs_Ni_S17_1000K_10000000s-1_048
Al,5,(210),600,1000000.0,1.97499,1.24447,gbs_Al_S5_600K_1000000s-1_049
Al,5,(210),600,10000000.0,2.45763,1.55836,gbs_Al_S5_600K_10000000s-1_050
Al,5,(210),800,1000000.0,1.70509,1.16324,gbs_Al_S5_800K_1000000s-1_051
Al,5,(210),800,10000000.0,1.62625,1.04964,gbs_Al_S5_800K_10000000s-1_052
Al,5,(210),1000,1000000.0,1.37156,0.90446,gbs_Al_S5_1000K_1000000s-1_053
Al,5,(210),1000,10000000.0,1.7765,1.10676,gbs_Al_S5_1000K_10000000s-1_054
Al,11,(113),600,1000000.0,1.8039,1.19459,gbs_Al_S11_600K_1000000s-1_055
Al,11,(113),600,10000000.0,1.8824,1.2151,gbs_Al_S11_600K_10000000s-1_056
Al,11,(113),800,1000000.0,1.78209,1.10236,gbs_Al_S11_800K_1000000s-1_057
Al,11,(113),800,10000000.0,1.76459,1.07454,gbs_Al_S11_800K_10000000s-1_058
Al,11,(113),1000,1000000.0,1.47653,0.93927,gbs_Al_S11_1000K_1000000s-1_059
Al,11,(113),1000,10000000.0,1.71811,1.07274,gbs_Al_S11_1000K_10000000s-1_060
Al,13,(510),600,1000000.0,1.73488,1.05409,gbs_Al_S13_600K_1000000s-1_061
Al,13,(510),600,10000000.0,1.8223,1.15482,gbs_Al_S13_600K_10000000s-1_062
Al,13,(510),800,1000000.0,1.38738,0.88975,gbs_Al_S13_800K_1000000s-1_063
Al,13,(510),800,10000000.0,2.09316,1.37148,gbs_Al_S13_800K_10000000s-1_064
Al,13,(510),1000,1000000.0,1.53749,0.95493,gbs_Al_S13_1000K_1000000s-1_065
Al,13,(510),1000,10000000.0,1.70674,1.05507,gbs_Al_S13_1000K_10000000s-1_066
Al,17,(410),600,1000000.0,2.28329,1.4745,gbs_Al_S17_600K_1000000s-1_067
Al,17,(410),600,10000000.0,2.47174,1.59363,gbs_Al_S17_600K_10000000s-1_068
Al,17,(410),800,1000000.0,1.38014,0.80794,gbs_Al_S17_800K_1000000s-1_069
Al,17,(410),800,10000000.0,1.98532,1.23898,gbs_Al_S17_800K_10000000s-1_070
Al,17,(410),1000,1000000.0,1.23615,0.78976,gbs_Al_S17_1000K_1000000s-1_071
Al,17,(410),1000,10000000.0,1.14317,0.68914,gbs_Al_S17_1000K_10000000s-1_072
Ti,5,(210),600,1000000.0,2.13662,1.46672,gbs_Ti_S5_600K_1000000s-1_073
Ti,5,(210),600,10000000.0,1.90966,1.27919,gbs_Ti_S5_600K_10000000s-1_074
Ti,5,(210),800,1000000.0,1.80858,1.14517,gbs_Ti_S5_800K_1000000s-1_075
Ti,5,(210),800,10000000.0,1.71802,1.1677,gbs_Ti_S5_800K_10000000s-1_076
Ti,5,(210),1000,1000000.0,1.49294,0.95988,gbs_Ti_S5_1000K_1000000s-1_077
Ti,5,(210),1000,10000000.0,1.39321,0.89058,gbs_Ti_S5_1000K_10000000s-1_078
Ti,11,(113),600,1000000.0,2.25618,1.35627,gbs_Ti_S11_600K_1000000s-1_079
Ti,11,(113),600,10000000.0,1.71315,1.14946,gbs_Ti_S11_600K_10000000s-1_080
Ti,11,(113),800,1000000.0,2.22608,1.44335,gbs_Ti_S11_800K_1000000s-1_081
Ti,11,(113),800,10000000.0,1.47344,0.93892,gbs_Ti_S11_800K_10000000s-1_082
Ti,11,(113),1000,1000000.0,1.50175,1.0105,gbs_Ti_S11_1000K_1000000s-1_083
Ti,11,(113),1000,10000000.0,1.73499,1.13294,gbs_Ti_S11_1000K_10000000s-1_084
Ti,13,(510),600,1000000.0,2.66509,1.78162,gbs_Ti_S13_600K_1000000s-1_085
Ti,13,(510),600,10000000.0,2.64435,1.75049,gbs_Ti_S13_600K_10000000s-1_086
Ti,13,(510),800,1000000.0,2.02881,1.30454,gbs_Ti_S13_800K_1000000s-1_087
Ti,13,(510),800,10000000.0,1.99088,1.28905,gbs_Ti_S13_800K_10000000s-1_088
Ti,13,(510),1000,1000000.0,1.73015,1.0934,gbs_Ti_S13_1000K_1000000s-1_089
Ti,13,(510),1000,10000000.0,1.47223,0.94801,gbs_Ti_S13_1000K_10000000s-1_090
Ti,17,(410),600,1000000.0,2.34699,1.49613,gbs_Ti_S17_600K_1000000s-1_091
Ti,17,(410),600,10000000.0,1.74684,1.02841,gbs_Ti_S17_600K_10000000s-1_092
Ti,17,(410),800,1000000.0,2.31957,1.42597,gbs_Ti_S17_800K_1000000s-1_093
Ti,17,(410),800,10000000.0,1.79318,1.20739,gbs_Ti_S17_800K_10000000s-1_094
Ti,17,(410),1000,1000000.0,1.70988,1.05819,gbs_Ti_S17_1000K_1000000s-1_095
Ti,17,(410),1000,10000000.0,1.41285,0.96975,gbs_Ti_S17_1000K_10000000s-1_096
Cu,5,(210),600,1000000.0,2.01608,1.24209,gbs_Cu_S5_600K_1000000s-1_097
Cu,5,(210),600,10000000.0,2.50975,1.56602,gbs_Cu_S5_600K_10000000s-1_098
Cu,5,(210),800,1000000.0,1.40786,0.88897,gbs_Cu_S5_800K_1000000s-1_099
Cu,5,(210),800,10000000.0,2.12529,1.4029,gbs_Cu_S5_800K_10000000s-1_100
Cu,5,(210),1000,1000000.0,1.25219,0.7993,gbs_Cu_S5_1000K_1000000s-1_101
Cu,5,(210),1000,10000000.0,1.39766,0.8549,gbs_Cu_S5_1000K_10000000s-1_102
Cu,11,(113),600,1000000.0,1.892,1.21377,gbs_Cu_S11_600K_1000000s-1_103
Cu,11,(113),600,10000000.0,1.95608,1.27406,gbs_Cu_S11_600K_10000000s-1_104
Cu,11,(113),800,1000000.0,1.73521,1.11853,gbs_Cu_S11_800K_1000000s-1_105
Cu,11,(113),800,10000000.0,1.5586,1.01254,gbs_Cu_S11_800K_10000000s-1_106
Cu,11,(113),1000,1000000.0,1.38907,0.84378,gbs_Cu_S11_1000K_1000000s-1_107
Cu,11,(113),1000,10000000.0,1.81132,1.21731,gbs_Cu_S11_1000K_10000000s-1_108
Cu,13,(510),600,1000000.0,1.52219,1.04932,gbs_Cu_S13_600K_1000000s-1_109
Cu,13,(510),600,10000000.0,2.31026,1.44921,gbs_Cu_S13_600K_10000000s-1_110
Cu,13,(510),800,1000000.0,1.54095,0.9515,gbs_Cu_S13_800K_1000000s-1_111
Cu,13,(510),800,10000000.0,1.67441,1.06062,gbs_Cu_S13_800K_10000000s-1_112
Cu,13,(510),1000,1000000.0,1.10233,0.68778,gbs_Cu_S13_1000K_1000000s-1_113
Cu,13,(510),1000,10000000.0,1.31413,0.81701,gbs_Cu_S13_1000K_10000000s-1_114
Cu,17,(410),600,1000000.0,1.5612,1.01758,gbs_Cu_S17_600K_1000000s-1_115
Cu,17,(410),600,10000000.0,2.41234,1.6159,gbs_Cu_S17_600K_10000000s-1_116
Cu,17,(410),800,1000000.0,1.2962,0.75154,gbs_Cu_S17_800K_1000000s-1_117
Cu,17,(410),800,10000000.0,1.76896,1.11774,gbs_Cu_S17_800K_10000000s-1_118
Cu,17,(410),1000,1000000.0,1.09948,0.73884,gbs_Cu_S17_1000K_1000000s-1_119
Cu,17,(410),1000,10000000.0,1.69764,1.05091,gbs_Cu_S17_1000K_10000000s-1_120
