Mix_ID,Temperature_C,Data_Type,Property_Type,Tensile_Strength_Mean_MPa,Tensile_Strength_Std_MPa,Rubber_Content_Percent,Particle_Size
C,500,Validation,Mechanical,1.064,0.16,0.0,small
C,510,Validation,Mechanical,1.022,0.153,0.0,small
C,520,Validation,Mechanical,0.981,0.147,0.0,small
C,530,Calibration,Mechanical,0.942,0.141,0.0,small
C,540,Calibration,Mechanical,0.905,0.136,0.0,small
C,550,Calibration,Mechanical,0.869,0.13,0.0,small
C,560,Calibration,Mechanical,0.834,0.125,0.0,small
C,570,Validation,Mechanical,0.801,0.12,0.0,small
C,580,Validation,Mechanical,0.769,0.115,0.0,small
C,590,Validation,Mechanical,0.738,0.111,0.0,small
C,600,Validation,Mechanical,0.709,0.106,0.0,small
C,610,Calibration,Mechanical,0.681,0.102,0.0,small
C,620,Validation,Mechanical,0.654,0.098,0.0,small
C,630,Validation,Mechanical,0.628,0.094,0.0,small
C,640,Validation,Mechanical,0.603,0.09,0.0,small
C,650,Calibration,Mechanical,0.579,0.087,0.0,small
C,660,Calibration,Mechanical,0.556,0.083,0.0,small
C,670,Calibration,Mechanical,0.534,0.08,0.0,small
C,680,Validation,Mechanical,0.512,0.077,0.0,small
C,690,Calibration,Mechanical,0.492,0.074,0.0,small
C,700,Calibration,Mechanical,0.472,0.071,0.0,small
C,710,Calibration,Mechanical,0.454,0.068,0.0,small
C,720,Calibration,Mechanical,0.436,0.065,0.0,small
C,730,Calibration,Mechanical,0.418,0.063,0.0,small
C,740,Calibration,Mechanical,0.402,0.06,0.0,small
C,750,Calibration,Mechanical,0.386,0.058,0.0,small
C,760,Calibration,Mechanical,0.37,0.056,0.0,small
C,770,Validation,Mechanical,0.355,0.053,0.0,small
C,780,Calibration,Mechanical,0.341,0.051,0.0,small
C,790,Validation,Mechanical,0.328,0.049,0.0,small
C,800,Calibration,Mechanical,0.315,0.047,0.0,small
R5S,20,Calibration,Mechanical,4.011,0.602,10.0,small
R5S,30,Validation,Mechanical,4.026,0.604,10.0,small
R5S,40,Calibration,Mechanical,4.042,0.606,10.0,small
R5S,50,Calibration,Mechanical,4.057,0.609,10.0,small
R5S,60,Calibration,Mechanical,4.073,0.611,10.0,small
R5S,70,Validation,Mechanical,4.088,0.613,10.0,small
R5S,80,Calibration,Mechanical,4.104,0.616,10.0,small
R5S,90,Validation,Mechanical,4.119,0.618,10.0,small
R5S,100,Calibration,Mechanical,4.134,0.62,10.0,small
R5S,110,Calibration,Mechanical,4.15,0.622,10.0,small
R5S,120,Calibration,Mechanical,4.165,0.625,10.0,small
R5S,130,Calibration,Mechanical,4.181,0.627,10.0,small
R5S,140,Calibration,Mechanical,4.196,0.629,10.0,small
R5S,150,Calibration,Mechanical,4.212,0.632,10.0,small
R5S,160,Calibration,Mechanical,4.03,0.605,10.0,small
R5S,170,Validation,Mechanical,3.857,0.579,10.0,small
R5S,180,Calibration,Mechanical,3.691,0.554,10.0,small
R5S,190,Calibration,Mechanical,3.532,0.53,10.0,small
R5S,200,Validation,Mechanical,3.38,0.507,10.0,small
R5S,210,Calibration,Mechanical,3.234,0.485,10.0,small
R5S,220,Calibration,Mechanical,3.095,0.464,10.0,small
R5S,230,Validation,Mechanical,2.962,0.444,10.0,small
R5S,240,Validation,Mechanical,2.834,0.425,10.0,small
R5S,250,Calibration,Mechanical,2.712,0.407,10.0,small
R5S,260,Validation,Mechanical,2.596,0.389,10.0,small
R5S,270,Calibration,Mechanical,2.484,0.373,10.0,small
R5S,280,Calibration,Mechanical,2.377,0.357,10.0,small
R5S,290,Calibration,Mechanical,2.275,0.341,10.0,small
R5S,300,Validation,Mechanical,2.177,0.327,10.0,small
R5S,310,Calibration,Mechanical,2.083,0.312,10.0,small
R5S,320,Calibration,Mechanical,1.993,0.299,10.0,small
R5S,330,Calibration,Mechanical,1.908,0.286,10.0,small
R5S,340,Calibration,Mechanical,1.825,0.274,10.0,small
R5S,350,Calibration,Mechanical,1.747,0.262,10.0,small
R5S,360,Calibration,Mechanical,1.672,0.251,10.0,small
R5S,370,Calibration,Mechanical,1.6,0.24,10.0,small
R5S,380,Calibration,Mechanical,1.531,0.23,10.0,small
R5S,390,Calibration,Mechanical,1.465,0.22,10.0,small
R5S,400,Calibration,Mechanical,1.402,0.21,10.0,small
R5S,410,Calibration,Mechanical,1.342,0.201,10.0,small
R5S,420,Calibration,Mechanical,1.284,0.193,10.0,small
R5S,430,Validation,Mechanical,1.229,0.184,10.0,small
R5S,440,Calibration,Mechanical,1.176,0.176,10.0,small
R5S,450,Calibration,Mechanical,1.125,0.169,10.0,small
R5S,460,Calibration,Mechanical,1.077,0.161,10.0,small
R5S,470,Calibration,Mechanical,1.03,0.155,10.0,small
R5S,480,Calibration,Mechanical,0.986,0.148,10.0,small
R5S,490,Calibration,Mechanical,0.943,0.142,10.0,small
R5S,500,Calibration,Mechanical,0.903,0.135,10.0,small
R5S,510,Calibration,Mechanical,0.864,0.13,10.0,small
R5S,520,Calibration,Mechanical,0.827,0.124,10.0,small
R5S,530,Calibration,Mechanical,0.791,0.119,10.0,small
R5S,540,Calibration,Mechanical,0.757,0.114,10.0,small
R5S,550,Calibration,Mechanical,0.725,0.109,10.0,small
R5S,560,Calibration,Mechanical,0.693,0.104,10.0,small
R5S,570,Calibration,Mechanical,0.664,0.1,10.0,small
R5S,580,Calibration,Mechanical,0.635,0.095,10.0,small
R5S,590,Calibration,Mechanical,0.608,0.091,10.0,small
R5S,600,Validation,Mechanical,0.581,0.087,10.0,small
R5S,610,Calibration,Mechanical,0.556,0.083,10.0,small
R5S,620,Calibration,Mechanical,0.533,0.08,10.0,small
R5S,630,Validation,Mechanical,0.51,0.076,10.0,small
R5S,640,Validation,Mechanical,0.488,0.073,10.0,small
R5S,650,Calibration,Mechanical,0.467,0.07,10.0,small
R5S,660,Calibration,Mechanical,0.447,0.067,10.0,small
R5S,670,Validation,Mechanical,0.427,0.064,10.0,small
R5S,680,Validation,Mechanical,0.409,0.061,10.0,small
R5S,690,Calibration,Mechanical,0.391,0.059,10.0,small
R5S,700,Calibration,Mechanical,0.374,0.056,10.0,small
R5S,710,Calibration,Mechanical,0.358,0.054,10.0,small
R5S,720,Calibration,Mechanical,0.343,0.051,10.0,small
R5S,730,Calibration,Mechanical,0.328,0.049,10.0,small
R5S,740,Calibration,Mechanical,0.314,0.047,10.0,small
R5S,750,Calibration,Mechanical,0.301,0.045,10.0,small
R5S,760,Validation,Mechanical,0.288,0.043,10.0,small
R5S,770,Calibration,Mechanical,0.275,0.041,10.0,small
R5S,780,Calibration,Mechanical,0.263,0.04,10.0,small
R5S,790,Validation,Mechanical,0.252,0.038,10.0,small
R5S,800,Validation,Mechanical,0.241,0.036,10.0,small
R10S,20,Calibration,Mechanical,4.011,0.602,10.0,small
R10S,30,Calibration,Mechanical,4.026,0.604,10.0,small
R10S,40,Calibration,Mechanical,4.042,0.606,10.0,small
R10S,50,Calibration,Mechanical,4.057,0.609,10.0,small
R10S,60,Calibration,Mechanical,4.073,0.611,10.0,small
R10S,70,Calibration,Mechanical,4.088,0.613,10.0,small
R10S,80,Calibration,Mechanical,4.104,0.616,10.0,small
R10S,90,Calibration,Mechanical,4.119,0.618,10.0,small
R10S,100,Calibration,Mechanical,4.134,0.62,10.0,small
R10S,110,Calibration,Mechanical,4.15,0.622,10.0,small
R10S,120,Calibration,Mechanical,4.165,0.625,10.0,small
R10S,130,Calibration,Mechanical,4.181,0.627,10.0,small
R10S,140,Calibration,Mechanical,4.196,0.629,10.0,small
R10S,150,Validation,Mechanical,4.212,0.632,10.0,small
R10S,160,Calibration,Mechanical,4.017,0.602,10.0,small
R10S,170,Calibration,Mechanical,3.831,0.575,10.0,small
R10S,180,Validation,Mechanical,3.653,0.548,10.0,small
R10S,190,Calibration,Mechanical,3.484,0.523,10.0,small
R10S,200,Calibration,Mechanical,3.323,0.498,10.0,small
R10S,210,Calibration,Mechanical,3.169,0.475,10.0,small
R10S,220,Calibration,Mechanical,3.023,0.453,10.0,small
R10S,230,Validation,Mechanical,2.883,0.432,10.0,small
R10S,240,Calibration,Mechanical,2.749,0.412,10.0,small
R10S,250,Calibration,Mechanical,2.622,0.393,10.0,small
R10S,260,Calibration,Mechanical,2.501,0.375,10.0,small
R10S,270,Calibration,Mechanical,2.385,0.358,10.0,small
R10S,280,Calibration,Mechanical,2.275,0.341,10.0,small
R10S,290,Calibration,Mechanical,2.169,0.325,10.0,small
R10S,300,Calibration,Mechanical,2.069,0.31,10.0,small
R10S,310,Validation,Mechanical,1.973,0.296,10.0,small
R10S,320,Calibration,Mechanical,1.882,0.282,10.0,small
R10S,330,Calibration,Mechanical,1.795,0.269,10.0,small
R10S,340,Calibration,Mechanical,1.712,0.257,10.0,small
R10S,350,Calibration,Mechanical,1.633,0.245,10.0,small
R10S,360,Calibration,Mechanical,1.557,0.234,10.0,small
R10S,370,Calibration,Mechanical,1.485,0.223,10.0,small
R10S,380,Calibration,Mechanical,1.416,0.212,10.0,small
R10S,390,Calibration,Mechanical,1.351,0.203,10.0,small
R10S,400,Calibration,Mechanical,1.288,0.193,10.0,small
R10S,410,Validation,Mechanical,1.229,0.184,10.0,small
R10S,420,Calibration,Mechanical,1.172,0.176,10.0,small
R10S,430,Calibration,Mechanical,1.117,0.168,10.0,small
R10S,440,Calibration,Mechanical,1.066,0.16,10.0,small
R10S,450,Validation,Mechanical,1.016,0.152,10.0,small
R10S,460,Calibration,Mechanical,0.969,0.145,10.0,small
R10S,470,Calibration,Mechanical,0.925,0.139,10.0,small
R10S,480,Validation,Mechanical,0.882,0.132,10.0,small
R10S,490,Validation,Mechanical,0.841,0.126,10.0,small
R10S,500,Validation,Mechanical,0.802,0.12,10.0,small
R10S,510,Calibration,Mechanical,0.765,0.115,10.0,small
R10S,520,Calibration,Mechanical,0.729,0.109,10.0,small
R10S,530,Calibration,Mechanical,0.696,0.104,10.0,small
R10S,540,Validation,Mechanical,0.664,0.1,10.0,small
R10S,550,Calibration,Mechanical,0.633,0.095,10.0,small
R10S,560,Calibration,Mechanical,0.604,0.091,10.0,small
R10S,570,Calibration,Mechanical,0.576,0.086,10.0,small
R10S,580,Validation,Mechanical,0.549,0.082,10.0,small
R10S,590,Calibration,Mechanical,0.524,0.079,10.0,small
R10S,600,Calibration,Mechanical,0.499,0.075,10.0,small
R10S,610,Calibration,Mechanical,0.476,0.071,10.0,small
R10S,620,Calibration,Mechanical,0.454,0.068,10.0,small
R10S,630,Calibration,Mechanical,0.433,0.065,10.0,small
R10S,640,Calibration,Mechanical,0.413,0.062,10.0,small
R10S,650,Calibration,Mechanical,0.394,0.059,10.0,small
R10S,660,Calibration,Mechanical,0.376,0.056,10.0,small
R10S,670,Calibration,Mechanical,0.358,0.054,10.0,small
R10S,680,Calibration,Mechanical,0.342,0.051,10.0,small
R10S,690,Calibration,Mechanical,0.326,0.049,10.0,small
R10S,700,Calibration,Mechanical,0.311,0.047,10.0,small
R10S,710,Calibration,Mechanical,0.297,0.044,10.0,small
R10S,720,Calibration,Mechanical,0.283,0.042,10.0,small
R10S,730,Calibration,Mechanical,0.27,0.04,10.0,small
R10S,740,Calibration,Mechanical,0.257,0.039,10.0,small
R10S,750,Validation,Mechanical,0.245,0.037,10.0,small
R10S,760,Calibration,Mechanical,0.234,0.035,10.0,small
R10S,770,Validation,Mechanical,0.223,0.033,10.0,small
R10S,780,Calibration,Mechanical,0.213,0.032,10.0,small
R10S,790,Calibration,Mechanical,0.203,0.03,10.0,small
R10S,800,Validation,Mechanical,0.194,0.029,10.0,small
R15S,20,Calibration,Mechanical,3.916,0.587,15.0,small
R15S,30,Calibration,Mechanical,3.932,0.59,15.0,small
R15S,40,Calibration,Mechanical,3.947,0.592,15.0,small
R15S,50,Calibration,Mechanical,3.962,0.594,15.0,small
R15S,60,Validation,Mechanical,3.977,0.597,15.0,small
R15S,70,Validation,Mechanical,3.992,0.599,15.0,small
R15S,80,Validation,Mechanical,4.007,0.601,15.0,small
R15S,90,Calibration,Mechanical,4.022,0.603,15.0,small
R15S,100,Validation,Mechanical,4.037,0.606,15.0,small
R15S,110,Validation,Mechanical,4.052,0.608,15.0,small
R15S,120,Calibration,Mechanical,4.067,0.61,15.0,small
R15S,130,Calibration,Mechanical,4.082,0.612,15.0,small
R15S,140,Validation,Mechanical,4.097,0.615,15.0,small
R15S,150,Calibration,Mechanical,4.112,0.617,15.0,small
R15S,160,Validation,Mechanical,3.909,0.586,15.0,small
R15S,170,Calibration,Mechanical,3.715,0.557,15.0,small
R15S,180,Validation,Mechanical,3.531,0.53,15.0,small
R15S,190,Calibration,Mechanical,3.357,0.503,15.0,small
R15S,200,Calibration,Mechanical,3.19,0.479,15.0,small
R15S,210,Calibration,Mechanical,3.032,0.455,15.0,small
R15S,220,Validation,Mechanical,2.882,0.432,15.0,small
R15S,230,Calibration,Mechanical,2.74,0.411,15.0,small
R15S,240,Calibration,Mechanical,2.604,0.391,15.0,small
R15S,250,Calibration,Mechanical,2.475,0.371,15.0,small
R15S,260,Validation,Mechanical,2.353,0.353,15.0,small
R15S,270,Calibration,Mechanical,2.236,0.335,15.0,small
R15S,280,Validation,Mechanical,2.125,0.319,15.0,small
R15S,290,Calibration,Mechanical,2.02,0.303,15.0,small
R15S,300,Calibration,Mechanical,1.92,0.288,15.0,small
R15S,310,Calibration,Mechanical,1.825,0.274,15.0,small
R15S,320,Calibration,Mechanical,1.735,0.26,15.0,small
R15S,330,Validation,Mechanical,1.649,0.247,15.0,small
R15S,340,Calibration,Mechanical,1.567,0.235,15.0,small
R15S,350,Calibration,Mechanical,1.49,0.223,15.0,small
R15S,360,Validation,Mechanical,1.416,0.212,15.0,small
R15S,370,Calibration,Mechanical,1.346,0.202,15.0,small
R15S,380,Calibration,Mechanical,1.279,0.192,15.0,small
R15S,390,Validation,Mechanical,1.216,0.182,15.0,small
R15S,400,Calibration,Mechanical,1.156,0.173,15.0,small
R15S,410,Calibration,Mechanical,1.099,0.165,15.0,small
R15S,420,Validation,Mechanical,1.044,0.157,15.0,small
R15S,430,Calibration,Mechanical,0.992,0.149,15.0,small
R15S,440,Calibration,Mechanical,0.943,0.142,15.0,small
R15S,450,Calibration,Mechanical,0.897,0.134,15.0,small
R15S,460,Validation,Mechanical,0.852,0.128,15.0,small
R15S,470,Calibration,Mechanical,0.81,0.122,15.0,small
R15S,480,Calibration,Mechanical,0.77,0.115,15.0,small
R15S,490,Validation,Mechanical,0.732,0.11,15.0,small
R15S,500,Validation,Mechanical,0.696,0.104,15.0,small
R15S,510,Calibration,Mechanical,0.661,0.099,15.0,small
R15S,520,Calibration,Mechanical,0.628,0.094,15.0,small
R15S,530,Calibration,Mechanical,0.597,0.09,15.0,small
R15S,540,Validation,Mechanical,0.568,0.085,15.0,small
R15S,550,Calibration,Mechanical,0.54,0.081,15.0,small
R15S,560,Calibration,Mechanical,0.513,0.077,15.0,small
R15S,570,Validation,Mechanical,0.488,0.073,15.0,small
R15S,580,Validation,Mechanical,0.463,0.07,15.0,small
R15S,590,Calibration,Mechanical,0.44,0.066,15.0,small
R15S,600,Validation,Mechanical,0.419,0.063,15.0,small
R15S,610,Calibration,Mechanical,0.398,0.06,15.0,small
R15S,620,Validation,Mechanical,0.378,0.057,15.0,small
R15S,630,Calibration,Mechanical,0.36,0.054,15.0,small
R15S,640,Calibration,Mechanical,0.342,0.051,15.0,small
R15S,650,Validation,Mechanical,0.325,0.049,15.0,small
R15S,660,Calibration,Mechanical,0.309,0.046,15.0,small
R15S,670,Calibration,Mechanical,0.293,0.044,15.0,small
R15S,680,Validation,Mechanical,0.279,0.042,15.0,small
R15S,690,Validation,Mechanical,0.265,0.04,15.0,small
R15S,700,Calibration,Mechanical,0.252,0.038,15.0,small
R15S,710,Calibration,Mechanical,0.24,0.036,15.0,small
R15S,720,Calibration,Mechanical,0.228,0.034,15.0,small
R15S,730,Calibration,Mechanical,0.216,0.032,15.0,small
R15S,740,Calibration,Mechanical,0.206,0.031,15.0,small
R15S,750,Calibration,Mechanical,0.196,0.029,15.0,small
R15S,760,Validation,Mechanical,0.186,0.028,15.0,small
R15S,770,Calibration,Mechanical,0.177,0.026,15.0,small
R15S,780,Calibration,Mechanical,0.168,0.025,15.0,small
R15S,790,Calibration,Mechanical,0.16,0.024,15.0,small
R15S,800,Validation,Mechanical,0.152,0.023,15.0,small
R20S,20,Calibration,Mechanical,3.822,0.573,20.0,small
R20S,30,Calibration,Mechanical,3.837,0.576,20.0,small
R20S,40,Calibration,Mechanical,3.851,0.578,20.0,small
R20S,50,Calibration,Mechanical,3.866,0.58,20.0,small
R20S,60,Calibration,Mechanical,3.881,0.582,20.0,small
R20S,70,Validation,Mechanical,3.896,0.584,20.0,small
R20S,80,Validation,Mechanical,3.91,0.587,20.0,small
R20S,90,Calibration,Mechanical,3.925,0.589,20.0,small
R20S,100,Calibration,Mechanical,3.94,0.591,20.0,small
R20S,110,Validation,Mechanical,3.954,0.593,20.0,small
R20S,120,Validation,Mechanical,3.969,0.595,20.0,small
R20S,130,Calibration,Mechanical,3.984,0.598,20.0,small
R20S,140,Calibration,Mechanical,3.998,0.6,20.0,small
R20S,150,Calibration,Mechanical,4.013,0.602,20.0,small
R20S,160,Calibration,Mechanical,3.802,0.57,20.0,small
R20S,170,Validation,Mechanical,3.601,0.54,20.0,small
R20S,180,Validation,Mechanical,3.411,0.512,20.0,small
R20S,190,Validation,Mechanical,3.232,0.485,20.0,small
R20S,200,Calibration,Mechanical,3.061,0.459,20.0,small
R20S,210,Calibration,Mechanical,2.9,0.435,20.0,small
R20S,220,Validation,Mechanical,2.747,0.412,20.0,small
R20S,230,Validation,Mechanical,2.602,0.39,20.0,small
R20S,240,Calibration,Mechanical,2.465,0.37,20.0,small
R20S,250,Validation,Mechanical,2.335,0.35,20.0,small
R20S,260,Validation,Mechanical,2.212,0.332,20.0,small
R20S,270,Calibration,Mechanical,2.095,0.314,20.0,small
R20S,280,Calibration,Mechanical,1.985,0.298,20.0,small
R20S,290,Calibration,Mechanical,1.88,0.282,20.0,small
R20S,300,Calibration,Mechanical,1.781,0.267,20.0,small
R20S,310,Calibration,Mechanical,1.687,0.253,20.0,small
R20S,320,Validation,Mechanical,1.598,0.24,20.0,small
R20S,330,Calibration,Mechanical,1.514,0.227,20.0,small
R20S,340,Calibration,Mechanical,1.434,0.215,20.0,small
R20S,350,Calibration,Mechanical,1.359,0.204,20.0,small
R20S,360,Calibration,Mechanical,1.287,0.193,20.0,small
R20S,370,Validation,Mechanical,1.219,0.183,20.0,small
R20S,380,Calibration,Mechanical,1.155,0.173,20.0,small
R20S,390,Calibration,Mechanical,1.094,0.164,20.0,small
R20S,400,Validation,Mechanical,1.036,0.155,20.0,small
R20S,410,Calibration,Mechanical,0.982,0.147,20.0,small
R20S,420,Calibration,Mechanical,0.93,0.139,20.0,small
R20S,430,Calibration,Mechanical,0.881,0.132,20.0,small
R20S,440,Calibration,Mechanical,0.835,0.125,20.0,small
R20S,450,Calibration,Mechanical,0.791,0.119,20.0,small
R20S,460,Calibration,Mechanical,0.749,0.112,20.0,small
R20S,470,Calibration,Mechanical,0.709,0.106,20.0,small
R20S,480,Validation,Mechanical,0.672,0.101,20.0,small
R20S,490,Calibration,Mechanical,0.637,0.095,20.0,small
R20S,500,Calibration,Mechanical,0.603,0.09,20.0,small
R20S,510,Calibration,Mechanical,0.571,0.086,20.0,small
R20S,520,Calibration,Mechanical,0.541,0.081,20.0,small
R20S,530,Calibration,Mechanical,0.513,0.077,20.0,small
R20S,540,Calibration,Mechanical,0.486,0.073,20.0,small
R20S,550,Validation,Mechanical,0.46,0.069,20.0,small
R20S,560,Calibration,Mechanical,0.436,0.065,20.0,small
R20S,570,Calibration,Mechanical,0.413,0.062,20.0,small
R20S,580,Calibration,Mechanical,0.391,0.059,20.0,small
R20S,590,Validation,Mechanical,0.37,0.056,20.0,small
R20S,600,Calibration,Mechanical,0.351,0.053,20.0,small
R20S,610,Calibration,Mechanical,0.332,0.05,20.0,small
R20S,620,Calibration,Mechanical,0.315,0.047,20.0,small
R20S,630,Validation,Mechanical,0.298,0.045,20.0,small
R20S,640,Calibration,Mechanical,0.283,0.042,20.0,small
R20S,650,Validation,Mechanical,0.268,0.04,20.0,small
R20S,660,Calibration,Mechanical,0.254,0.038,20.0,small
R20S,670,Calibration,Mechanical,0.24,0.036,20.0,small
R20S,680,Calibration,Mechanical,0.228,0.034,20.0,small
R20S,690,Calibration,Mechanical,0.216,0.032,20.0,small
R20S,700,Calibration,Mechanical,0.204,0.031,20.0,small
R20S,710,Calibration,Mechanical,0.193,0.029,20.0,small
R20S,720,Validation,Mechanical,0.183,0.027,20.0,small
R20S,730,Calibration,Mechanical,0.174,0.026,20.0,small
R20S,740,Calibration,Mechanical,0.164,0.025,20.0,small
R20S,750,Calibration,Mechanical,0.156,0.023,20.0,small
R20S,760,Calibration,Mechanical,0.148,0.022,20.0,small
R20S,770,Calibration,Mechanical,0.14,0.021,20.0,small
R20S,780,Calibration,Mechanical,0.132,0.02,20.0,small
R20S,790,Calibration,Mechanical,0.125,0.019,20.0,small
R20S,800,Validation,Mechanical,0.119,0.018,20.0,small
R10L,20,Validation,Mechanical,3.983,0.597,10.0,large
R10L,30,Calibration,Mechanical,3.998,0.6,10.0,large
R10L,40,Calibration,Mechanical,4.013,0.602,10.0,large
R10L,50,Calibration,Mechanical,4.029,0.604,10.0,large
R10L,60,Calibration,Mechanical,4.044,0.607,10.0,large
R10L,70,Calibration,Mechanical,4.059,0.609,10.0,large
R10L,80,Calibration,Mechanical,4.075,0.611,10.0,large
R10L,90,Validation,Mechanical,4.09,0.613,10.0,large
R10L,100,Calibration,Mechanical,4.105,0.616,10.0,large
R10L,110,Calibration,Mechanical,4.121,0.618,10.0,large
R10L,120,Calibration,Mechanical,4.136,0.62,10.0,large
R10L,130,Calibration,Mechanical,4.151,0.623,10.0,large
R10L,140,Calibration,Mechanical,4.166,0.625,10.0,large
R10L,150,Calibration,Mechanical,4.182,0.627,10.0,large
R10L,160,Calibration,Mechanical,3.988,0.598,10.0,large
R10L,170,Validation,Mechanical,3.804,0.571,10.0,large
R10L,180,Calibration,Mechanical,3.628,0.544,10.0,large
R10L,190,Calibration,Mechanical,3.46,0.519,10.0,large
R10L,200,Calibration,Mechanical,3.3,0.495,10.0,large
R10L,210,Calibration,Mechanical,3.147,0.472,10.0,large
R10L,220,Calibration,Mechanical,3.001,0.45,10.0,large
R10L,230,Validation,Mechanical,2.862,0.429,10.0,large
R10L,240,Validation,Mechanical,2.73,0.409,10.0,large
R10L,250,Validation,Mechanical,2.604,0.391,10.0,large
R10L,260,Calibration,Mechanical,2.483,0.372,10.0,large
R10L,270,Calibration,Mechanical,2.368,0.355,10.0,large
R10L,280,Calibration,Mechanical,2.259,0.339,10.0,large
R10L,290,Calibration,Mechanical,2.154,0.323,10.0,large
R10L,300,Validation,Mechanical,2.054,0.308,10.0,large
R10L,310,Calibration,Mechanical,1.959,0.294,10.0,large
R10L,320,Calibration,Mechanical,1.869,0.28,10.0,large
R10L,330,Calibration,Mechanical,1.782,0.267,10.0,large
R10L,340,Calibration,Mechanical,1.7,0.255,10.0,large
R10L,350,Calibration,Mechanical,1.621,0.243,10.0,large
R10L,360,Calibration,Mechanical,1.546,0.232,10.0,large
R10L,370,Calibration,Mechanical,1.474,0.221,10.0,large
R10L,380,Validation,Mechanical,1.406,0.211,10.0,large
R10L,390,Validation,Mechanical,1.341,0.201,10.0,large
R10L,400,Calibration,Mechanical,1.279,0.192,10.0,large
R10L,410,Calibration,Mechanical,1.22,0.183,10.0,large
R10L,420,Calibration,Mechanical,1.163,0.175,10.0,large
R10L,430,Calibration,Mechanical,1.11,0.166,10.0,large
R10L,440,Calibration,Mechanical,1.058,0.159,10.0,large
R10L,450,Calibration,Mechanical,1.009,0.151,10.0,large
R10L,460,Calibration,Mechanical,0.963,0.144,10.0,large
R10L,470,Calibration,Mechanical,0.918,0.138,10.0,large
R10L,480,Calibration,Mechanical,0.876,0.131,10.0,large
R10L,490,Calibration,Mechanical,0.835,0.125,10.0,large
R10L,500,Validation,Mechanical,0.796,0.119,10.0,large
R10L,510,Validation,Mechanical,0.759,0.114,10.0,large
R10L,520,Calibration,Mechanical,0.724,0.109,10.0,large
R10L,530,Validation,Mechanical,0.691,0.104,10.0,large
R10L,540,Calibration,Mechanical,0.659,0.099,10.0,large
R10L,550,Validation,Mechanical,0.628,0.094,10.0,large
R10L,560,Validation,Mechanical,0.599,0.09,10.0,large
R10L,570,Calibration,Mechanical,0.572,0.086,10.0,large
R10L,580,Calibration,Mechanical,0.545,0.082,10.0,large
R10L,590,Calibration,Mechanical,0.52,0.078,10.0,large
R10L,600,Calibration,Mechanical,0.496,0.074,10.0,large
R10L,610,Calibration,Mechanical,0.473,0.071,10.0,large
