Mix_ID,Temperature_C,Data_Type,Property_Type,Fracture_Toughness_Mean_MPa_m05,Fracture_Toughness_Std_MPa_m05,Fracture_Energy_Mean_J_m2,Fracture_Energy_Std_J_m2,Rubber_Content_Percent,Particle_Size
R5S,270,Calibration,Mechanical,1.2505,0.2251,123.8,24.8,10.0,small
R5S,280,Calibration,Mechanical,1.2513,0.2252,121.1,24.2,10.0,small
R5S,290,Validation,Mechanical,1.2521,0.2254,118.5,23.7,10.0,small
R5S,300,Calibration,Mechanical,1.253,0.2255,115.9,23.2,10.0,small
R5S,310,Calibration,Mechanical,1.2331,0.222,113.4,22.7,10.0,small
R5S,320,Validation,Mechanical,1.2135,0.2184,111.0,22.2,10.0,small
R5S,330,Calibration,Mechanical,1.1942,0.215,108.6,21.7,10.0,small
R5S,340,Validation,Mechanical,1.1753,0.2116,106.2,21.2,10.0,small
R5S,350,Calibration,Mechanical,1.1566,0.2082,103.9,20.8,10.0,small
R5S,360,Calibration,Mechanical,1.1383,0.2049,101.7,20.3,10.0,small
R5S,370,Calibration,Mechanical,1.1202,0.2016,99.5,19.9,10.0,small
R5S,380,Calibration,Mechanical,1.1024,0.1984,97.4,19.5,10.0,small
R5S,390,Validation,Mechanical,1.0849,0.1953,95.3,19.1,10.0,small
R5S,400,Calibration,Mechanical,1.0677,0.1922,93.2,18.6,10.0,small
R5S,410,Calibration,Mechanical,1.0508,0.1891,91.2,18.2,10.0,small
R5S,420,Calibration,Mechanical,1.0341,0.1861,89.2,17.8,10.0,small
R5S,430,Calibration,Mechanical,1.0177,0.1832,87.3,17.5,10.0,small
R5S,440,Validation,Mechanical,1.0015,0.1803,85.4,17.1,10.0,small
R5S,450,Calibration,Mechanical,0.9856,0.1774,83.6,16.7,10.0,small
R5S,460,Calibration,Mechanical,0.97,0.1746,81.8,16.4,10.0,small
R5S,470,Validation,Mechanical,0.9546,0.1718,80.0,16.0,10.0,small
R5S,480,Calibration,Mechanical,0.9394,0.1691,78.3,15.7,10.0,small
R5S,490,Validation,Mechanical,0.9245,0.1664,76.6,15.3,10.0,small
R5S,500,Calibration,Mechanical,0.9098,0.1638,74.9,15.0,10.0,small
R5S,510,Calibration,Mechanical,0.8954,0.1612,73.3,14.7,10.0,small
R5S,520,Calibration,Mechanical,0.8812,0.1586,71.7,14.3,10.0,small
R5S,530,Validation,Mechanical,0.8672,0.1561,70.2,14.0,10.0,small
R5S,540,Validation,Mechanical,0.8534,0.1536,68.7,13.7,10.0,small
R5S,550,Calibration,Mechanical,0.8399,0.1512,67.2,13.4,10.0,small
R5S,560,Calibration,Mechanical,0.8266,0.1488,65.7,13.1,10.0,small
R5S,570,Calibration,Mechanical,0.8134,0.1464,64.3,12.9,10.0,small
R5S,580,Calibration,Mechanical,0.8005,0.1441,62.9,12.6,10.0,small
R5S,590,Calibration,Mechanical,0.7878,0.1418,61.6,12.3,10.0,small
R5S,600,Validation,Mechanical,0.7753,0.1396,60.2,12.0,10.0,small
R5S,610,Calibration,Mechanical,0.763,0.1373,58.9,11.8,10.0,small
R5S,620,Calibration,Mechanical,0.7509,0.1352,57.7,11.5,10.0,small
R5S,630,Calibration,Mechanical,0.739,0.133,56.4,11.3,10.0,small
R5S,640,Calibration,Mechanical,0.7272,0.1309,55.2,11.0,10.0,small
R5S,650,Calibration,Mechanical,0.7157,0.1288,54.0,10.8,10.0,small
R5S,660,Calibration,Mechanical,0.7043,0.1268,52.8,10.6,10.0,small
R5S,670,Validation,Mechanical,0.6932,0.1248,51.7,10.3,10.0,small
R5S,680,Calibration,Mechanical,0.6822,0.1228,50.6,10.1,10.0,small
R5S,690,Calibration,Mechanical,0.6713,0.1208,49.5,9.9,10.0,small
R5S,700,Calibration,Mechanical,0.6607,0.1189,48.4,9.7,10.0,small
R5S,710,Validation,Mechanical,0.6502,0.117,47.4,9.5,10.0,small
R5S,720,Validation,Mechanical,0.6399,0.1152,46.4,9.3,10.0,small
R5S,730,Calibration,Mechanical,0.6297,0.1133,45.4,9.1,10.0,small
R5S,740,Validation,Mechanical,0.6197,0.1115,44.4,8.9,10.0,small
R5S,750,Calibration,Mechanical,0.6099,0.1098,43.4,8.7,10.0,small
R5S,760,Calibration,Mechanical,0.6002,0.108,42.5,8.5,10.0,small
R5S,770,Calibration,Mechanical,0.5907,0.1063,41.6,8.3,10.0,small
R5S,780,Calibration,Mechanical,0.5813,0.1046,40.7,8.1,10.0,small
R5S,790,Calibration,Mechanical,0.5721,0.103,39.8,8.0,10.0,small
R5S,800,Validation,Mechanical,0.563,0.1013,38.9,7.8,10.0,small
R10S,20,Validation,Mechanical,1.23,0.2214,125.4,25.1,10.0,small
R10S,30,Calibration,Mechanical,1.2309,0.2216,125.6,25.1,10.0,small
R10S,40,Calibration,Mechanical,1.2317,0.2217,125.8,25.2,10.0,small
R10S,50,Calibration,Mechanical,1.2326,0.2219,125.9,25.2,10.0,small
R10S,60,Calibration,Mechanical,1.2334,0.222,126.1,25.2,10.0,small
R10S,70,Calibration,Mechanical,1.2343,0.2222,126.3,25.3,10.0,small
R10S,80,Calibration,Mechanical,1.2351,0.2223,126.5,25.3,10.0,small
R10S,90,Calibration,Mechanical,1.236,0.2225,126.6,25.3,10.0,small
R10S,100,Validation,Mechanical,1.2368,0.2226,126.8,25.4,10.0,small
R10S,110,Calibration,Mechanical,1.2377,0.2228,127.0,25.4,10.0,small
R10S,120,Calibration,Mechanical,1.2385,0.2229,127.2,25.4,10.0,small
R10S,130,Validation,Mechanical,1.2394,0.2231,127.3,25.5,10.0,small
R10S,140,Calibration,Mechanical,1.2402,0.2232,127.5,25.5,10.0,small
R10S,150,Calibration,Mechanical,1.2411,0.2234,127.7,25.5,10.0,small
R10S,160,Calibration,Mechanical,1.2419,0.2235,127.9,25.6,10.0,small
R10S,170,Calibration,Mechanical,1.2428,0.2237,128.1,25.6,10.0,small
R10S,180,Validation,Mechanical,1.2436,0.2239,128.2,25.6,10.0,small
R10S,190,Calibration,Mechanical,1.2445,0.224,128.4,25.7,10.0,small
R10S,200,Calibration,Mechanical,1.2453,0.2242,128.6,25.7,10.0,small
R10S,210,Validation,Mechanical,1.2462,0.2243,128.8,25.8,10.0,small
R10S,220,Validation,Mechanical,1.247,0.2245,128.9,25.8,10.0,small
R10S,230,Validation,Mechanical,1.2479,0.2246,129.1,25.8,10.0,small
R10S,240,Calibration,Mechanical,1.2487,0.2248,129.3,25.9,10.0,small
R10S,250,Calibration,Mechanical,1.2496,0.2249,129.5,25.9,10.0,small
R10S,260,Validation,Mechanical,1.2504,0.2251,126.7,25.3,10.0,small
R10S,270,Validation,Mechanical,1.2513,0.2252,123.9,24.8,10.0,small
R10S,280,Calibration,Mechanical,1.2521,0.2254,121.3,24.3,10.0,small
R10S,290,Calibration,Mechanical,1.253,0.2255,118.6,23.7,10.0,small
R10S,300,Calibration,Mechanical,1.2538,0.2257,116.1,23.2,10.0,small
R10S,310,Validation,Mechanical,1.2339,0.2221,113.6,22.7,10.0,small
R10S,320,Calibration,Mechanical,1.2144,0.2186,111.1,22.2,10.0,small
R10S,330,Calibration,Mechanical,1.1951,0.2151,108.7,21.7,10.0,small
R10S,340,Calibration,Mechanical,1.1761,0.2117,106.4,21.3,10.0,small
R10S,350,Calibration,Mechanical,1.1574,0.2083,104.1,20.8,10.0,small
R10S,360,Validation,Mechanical,1.1391,0.205,101.8,20.4,10.0,small
R10S,370,Calibration,Mechanical,1.121,0.2018,99.6,19.9,10.0,small
R10S,380,Validation,Mechanical,1.1032,0.1986,97.5,19.5,10.0,small
R10S,390,Validation,Mechanical,1.0857,0.1954,95.4,19.1,10.0,small
R10S,400,Calibration,Mechanical,1.0685,0.1923,93.3,18.7,10.0,small
R10S,410,Calibration,Mechanical,1.0515,0.1893,91.3,18.3,10.0,small
R10S,420,Calibration,Mechanical,1.0348,0.1863,89.3,17.9,10.0,small
R10S,430,Validation,Mechanical,1.0184,0.1833,87.4,17.5,10.0,small
R10S,440,Calibration,Mechanical,1.0022,0.1804,85.5,17.1,10.0,small
R10S,450,Calibration,Mechanical,0.9863,0.1775,83.7,16.7,10.0,small
R10S,460,Validation,Mechanical,0.9707,0.1747,81.9,16.4,10.0,small
R10S,470,Calibration,Mechanical,0.9552,0.1719,80.1,16.0,10.0,small
R10S,480,Validation,Mechanical,0.9401,0.1692,78.4,15.7,10.0,small
R10S,490,Calibration,Mechanical,0.9252,0.1665,76.7,15.3,10.0,small
R10S,500,Calibration,Mechanical,0.9105,0.1639,75.0,15.0,10.0,small
R10S,510,Calibration,Mechanical,0.896,0.1613,73.4,14.7,10.0,small
R10S,520,Validation,Mechanical,0.8818,0.1587,71.8,14.4,10.0,small
R10S,530,Calibration,Mechanical,0.8678,0.1562,70.3,14.1,10.0,small
R10S,540,Validation,Mechanical,0.854,0.1537,68.8,13.8,10.0,small
R10S,550,Validation,Mechanical,0.8405,0.1513,67.3,13.5,10.0,small
R10S,560,Calibration,Mechanical,0.8271,0.1489,65.8,13.2,10.0,small
R10S,570,Validation,Mechanical,0.814,0.1465,64.4,12.9,10.0,small
R10S,580,Calibration,Mechanical,0.8011,0.1442,63.0,12.6,10.0,small
R10S,590,Calibration,Mechanical,0.7884,0.1419,61.7,12.3,10.0,small
R10S,600,Calibration,Mechanical,0.7759,0.1397,60.3,12.1,10.0,small
R10S,610,Validation,Mechanical,0.7635,0.1374,59.0,11.8,10.0,small
R10S,620,Calibration,Mechanical,0.7514,0.1353,57.8,11.6,10.0,small
R10S,630,Calibration,Mechanical,0.7395,0.1331,56.5,11.3,10.0,small
R10S,640,Calibration,Mechanical,0.7278,0.131,55.3,11.1,10.0,small
R10S,650,Calibration,Mechanical,0.7162,0.1289,54.1,10.8,10.0,small
R10S,660,Calibration,Mechanical,0.7048,0.1269,52.9,10.6,10.0,small
R10S,670,Validation,Mechanical,0.6937,0.1249,51.8,10.4,10.0,small
R10S,680,Validation,Mechanical,0.6826,0.1229,50.7,10.1,10.0,small
R10S,690,Calibration,Mechanical,0.6718,0.1209,49.6,9.9,10.0,small
R10S,700,Validation,Mechanical,0.6611,0.119,48.5,9.7,10.0,small
R10S,710,Calibration,Mechanical,0.6506,0.1171,47.5,9.5,10.0,small
R10S,720,Validation,Mechanical,0.6403,0.1153,46.4,9.3,10.0,small
R10S,730,Calibration,Mechanical,0.6302,0.1134,45.4,9.1,10.0,small
R10S,740,Calibration,Mechanical,0.6202,0.1116,44.4,8.9,10.0,small
R10S,750,Calibration,Mechanical,0.6103,0.1099,43.5,8.7,10.0,small
R10S,760,Validation,Mechanical,0.6006,0.1081,42.6,8.5,10.0,small
R10S,770,Calibration,Mechanical,0.5911,0.1064,41.6,8.3,10.0,small
R10S,780,Calibration,Mechanical,0.5817,0.1047,40.7,8.1,10.0,small
R10S,790,Calibration,Mechanical,0.5725,0.103,39.9,8.0,10.0,small
R10S,800,Calibration,Mechanical,0.5634,0.1014,39.0,7.8,10.0,small
R15S,20,Calibration,Mechanical,1.245,0.2241,128.1,25.6,15.0,small
R15S,30,Validation,Mechanical,1.2459,0.2243,128.3,25.7,15.0,small
R15S,40,Validation,Mechanical,1.2468,0.2244,128.5,25.7,15.0,small
R15S,50,Calibration,Mechanical,1.2477,0.2246,128.7,25.7,15.0,small
R15S,60,Validation,Mechanical,1.2486,0.2247,128.9,25.8,15.0,small
R15S,70,Calibration,Mechanical,1.2495,0.2249,129.0,25.8,15.0,small
R15S,80,Validation,Mechanical,1.2504,0.2251,129.2,25.8,15.0,small
R15S,90,Validation,Mechanical,1.2513,0.2252,129.4,25.9,15.0,small
R15S,100,Calibration,Mechanical,1.2522,0.2254,129.6,25.9,15.0,small
R15S,110,Validation,Mechanical,1.253,0.2255,129.8,26.0,15.0,small
R15S,120,Calibration,Mechanical,1.2539,0.2257,130.0,26.0,15.0,small
R15S,130,Calibration,Mechanical,1.2548,0.2259,130.2,26.0,15.0,small
R15S,140,Validation,Mechanical,1.2557,0.226,130.4,26.1,15.0,small
R15S,150,Calibration,Mechanical,1.2566,0.2262,130.6,26.1,15.0,small
R15S,160,Calibration,Mechanical,1.2575,0.2264,130.7,26.1,15.0,small
R15S,170,Calibration,Mechanical,1.2584,0.2265,130.9,26.2,15.0,small
R15S,180,Validation,Mechanical,1.2593,0.2267,131.1,26.2,15.0,small
R15S,190,Calibration,Mechanical,1.2602,0.2268,131.3,26.3,15.0,small
R15S,200,Calibration,Mechanical,1.2611,0.227,131.5,26.3,15.0,small
R15S,210,Validation,Mechanical,1.262,0.2272,131.7,26.3,15.0,small
R15S,220,Validation,Mechanical,1.2629,0.2273,131.9,26.4,15.0,small
R15S,230,Calibration,Mechanical,1.2638,0.2275,132.1,26.4,15.0,small
R15S,240,Calibration,Mechanical,1.2647,0.2276,132.3,26.5,15.0,small
R15S,250,Calibration,Mechanical,1.2656,0.2278,132.4,26.5,15.0,small
R15S,260,Calibration,Mechanical,1.2665,0.228,129.6,25.9,15.0,small
R15S,270,Calibration,Mechanical,1.2673,0.2281,126.8,25.4,15.0,small
R15S,280,Validation,Mechanical,1.2682,0.2283,124.1,24.8,15.0,small
R15S,290,Calibration,Mechanical,1.2691,0.2284,121.4,24.3,15.0,small
R15S,300,Calibration,Mechanical,1.27,0.2286,118.8,23.8,15.0,small
R15S,310,Calibration,Mechanical,1.2499,0.225,116.2,23.2,15.0,small
R15S,320,Validation,Mechanical,1.23,0.2214,113.7,22.7,15.0,small
R15S,330,Calibration,Mechanical,1.2105,0.2179,111.2,22.2,15.0,small
R15S,340,Validation,Mechanical,1.1913,0.2144,108.8,21.8,15.0,small
R15S,350,Calibration,Mechanical,1.1724,0.211,106.5,21.3,15.0,small
R15S,360,Calibration,Mechanical,1.1538,0.2077,104.2,20.8,15.0,small
R15S,370,Calibration,Mechanical,1.1355,0.2044,101.9,20.4,15.0,small
R15S,380,Calibration,Mechanical,1.1174,0.2011,99.7,19.9,15.0,small
R15S,390,Calibration,Mechanical,1.0997,0.1979,97.6,19.5,15.0,small
R15S,400,Calibration,Mechanical,1.0822,0.1948,95.5,19.1,15.0,small
R15S,410,Calibration,Mechanical,1.0651,0.1917,93.4,18.7,15.0,small
R15S,420,Validation,Mechanical,1.0482,0.1887,91.4,18.3,15.0,small
R15S,430,Calibration,Mechanical,1.0315,0.1857,89.4,17.9,15.0,small
R15S,440,Validation,Mechanical,1.0152,0.1827,87.5,17.5,15.0,small
R15S,450,Calibration,Mechanical,0.999,0.1798,85.6,17.1,15.0,small
R15S,460,Calibration,Mechanical,0.9832,0.177,83.8,16.8,15.0,small
R15S,470,Calibration,Mechanical,0.9676,0.1742,82.0,16.4,15.0,small
R15S,480,Calibration,Mechanical,0.9522,0.1714,80.2,16.0,15.0,small
R15S,490,Calibration,Mechanical,0.9371,0.1687,78.5,15.7,15.0,small
R15S,500,Calibration,Mechanical,0.9222,0.166,76.8,15.4,15.0,small
R15S,510,Calibration,Mechanical,0.9076,0.1634,75.1,15.0,15.0,small
R15S,520,Calibration,Mechanical,0.8932,0.1608,73.5,14.7,15.0,small
R15S,530,Calibration,Mechanical,0.879,0.1582,71.9,14.4,15.0,small
R15S,540,Validation,Mechanical,0.8651,0.1557,70.3,14.1,15.0,small
R15S,550,Validation,Mechanical,0.8513,0.1532,68.8,13.8,15.0,small
R15S,560,Validation,Mechanical,0.8378,0.1508,67.3,13.5,15.0,small
R15S,570,Validation,Mechanical,0.8245,0.1484,65.9,13.2,15.0,small
R15S,580,Calibration,Mechanical,0.8114,0.1461,64.5,12.9,15.0,small
R15S,590,Calibration,Mechanical,0.7985,0.1437,63.1,12.6,15.0,small
R15S,600,Validation,Mechanical,0.7859,0.1415,61.7,12.3,15.0,small
R15S,610,Calibration,Mechanical,0.7734,0.1392,60.4,12.1,15.0,small
R15S,620,Calibration,Mechanical,0.7611,0.137,59.1,11.8,15.0,small
R15S,630,Calibration,Mechanical,0.749,0.1348,57.8,11.6,15.0,small
R15S,640,Calibration,Mechanical,0.7372,0.1327,56.6,11.3,15.0,small
R15S,650,Calibration,Mechanical,0.7255,0.1306,55.3,11.1,15.0,small
R15S,660,Validation,Mechanical,0.7139,0.1285,54.1,10.8,15.0,small
R15S,670,Calibration,Mechanical,0.7026,0.1265,53.0,10.6,15.0,small
R15S,680,Calibration,Mechanical,0.6915,0.1245,51.8,10.4,15.0,small
R15S,690,Validation,Mechanical,0.6805,0.1225,50.7,10.1,15.0,small
R15S,700,Calibration,Mechanical,0.6697,0.1205,49.6,9.9,15.0,small
R15S,710,Calibration,Mechanical,0.659,0.1186,48.5,9.7,15.0,small
R15S,720,Calibration,Mechanical,0.6486,0.1167,47.5,9.5,15.0,small
R15S,730,Validation,Mechanical,0.6383,0.1149,46.5,9.3,15.0,small
R15S,740,Validation,Mechanical,0.6282,0.1131,45.5,9.1,15.0,small
R15S,750,Calibration,Mechanical,0.6182,0.1113,44.5,8.9,15.0,small
R15S,760,Validation,Mechanical,0.6084,0.1095,43.5,8.7,15.0,small
R15S,770,Calibration,Mechanical,0.5987,0.1078,42.6,8.5,15.0,small
R15S,780,Validation,Mechanical,0.5892,0.1061,41.7,8.3,15.0,small
R15S,790,Validation,Mechanical,0.5799,0.1044,40.8,8.2,15.0,small
R15S,800,Validation,Mechanical,0.5707,0.1027,39.9,8.0,15.0,small
R20S,20,Calibration,Mechanical,1.26,0.2268,130.8,26.2,20.0,small
R20S,30,Validation,Mechanical,1.2609,0.227,131.0,26.2,20.0,small
R20S,40,Validation,Mechanical,1.2619,0.2271,131.2,26.2,20.0,small
R20S,50,Calibration,Mechanical,1.2628,0.2273,131.4,26.3,20.0,small
R20S,60,Validation,Mechanical,1.2637,0.2275,131.6,26.3,20.0,small
R20S,70,Calibration,Mechanical,1.2647,0.2276,131.8,26.4,20.0,small
R20S,80,Validation,Mechanical,1.2656,0.2278,132.0,26.4,20.0,small
R20S,90,Calibration,Mechanical,1.2666,0.228,132.2,26.4,20.0,small
R20S,100,Validation,Mechanical,1.2675,0.2281,132.4,26.5,20.0,small
R20S,110,Calibration,Mechanical,1.2684,0.2283,132.6,26.5,20.0,small
R20S,120,Calibration,Mechanical,1.2694,0.2285,132.8,26.6,20.0,small
R20S,130,Calibration,Mechanical,1.2703,0.2287,133.0,26.6,20.0,small
R20S,140,Calibration,Mechanical,1.2712,0.2288,133.2,26.6,20.0,small
R20S,150,Calibration,Mechanical,1.2722,0.229,133.4,26.7,20.0,small
R20S,160,Calibration,Mechanical,1.2731,0.2292,133.6,26.7,20.0,small
R20S,170,Calibration,Mechanical,1.2741,0.2293,133.8,26.8,20.0,small
R20S,180,Calibration,Mechanical,1.275,0.2295,134.0,26.8,20.0,small
R20S,190,Calibration,Mechanical,1.2759,0.2297,134.2,26.8,20.0,small
R20S,200,Validation,Mechanical,1.2769,0.2298,134.4,26.9,20.0,small
R20S,210,Calibration,Mechanical,1.2778,0.23,134.6,26.9,20.0,small
R20S,220,Validation,Mechanical,1.2787,0.2302,134.8,27.0,20.0,small
R20S,230,Validation,Mechanical,1.2797,0.2303,135.0,27.0,20.0,small
R20S,240,Calibration,Mechanical,1.2806,0.2305,135.2,27.0,20.0,small
R20S,250,Calibration,Mechanical,1.2815,0.2307,135.4,27.1,20.0,small
R20S,260,Validation,Mechanical,1.2825,0.2308,132.5,26.5,20.0,small
R20S,270,Calibration,Mechanical,1.2834,0.231,129.6,25.9,20.0,small
R20S,280,Calibration,Mechanical,1.2844,0.2312,126.8,25.4,20.0,small
