Mix_ID,Temperature_C,Data_Type,Property_Type,Elastic_Modulus_Mean_MPa,Elastic_Modulus_Std_MPa,Rubber_Content_Percent,Particle_Size
R5S,790,Validation,Mechanical,11417.0,1142.0,10.0,small
R5S,800,Calibration,Mechanical,11279.0,1128.0,10.0,small
R10S,20,Calibration,Mechanical,29280.0,2928.0,10.0,small
R10S,30,Validation,Mechanical,28904.0,2890.0,10.0,small
R10S,40,Calibration,Mechanical,28533.0,2853.0,10.0,small
R10S,50,Calibration,Mechanical,28167.0,2817.0,10.0,small
R10S,60,Validation,Mechanical,27805.0,2780.0,10.0,small
R10S,70,Calibration,Mechanical,27448.0,2745.0,10.0,small
R10S,80,Calibration,Mechanical,27095.0,2710.0,10.0,small
R10S,90,Calibration,Mechanical,26748.0,2675.0,10.0,small
R10S,100,Calibration,Mechanical,26404.0,2640.0,10.0,small
R10S,110,Calibration,Mechanical,26065.0,2607.0,10.0,small
R10S,120,Calibration,Mechanical,25730.0,2573.0,10.0,small
R10S,130,Validation,Mechanical,25400.0,2540.0,10.0,small
R10S,140,Calibration,Mechanical,25074.0,2507.0,10.0,small
R10S,150,Calibration,Mechanical,24752.0,2475.0,10.0,small
R10S,160,Validation,Mechanical,24434.0,2443.0,10.0,small
R10S,170,Validation,Mechanical,24120.0,2412.0,10.0,small
R10S,180,Validation,Mechanical,23811.0,2381.0,10.0,small
R10S,190,Validation,Mechanical,23505.0,2350.0,10.0,small
R10S,200,Calibration,Mechanical,23203.0,2320.0,10.0,small
R10S,210,Calibration,Mechanical,22905.0,2291.0,10.0,small
R10S,220,Calibration,Mechanical,22611.0,2261.0,10.0,small
R10S,230,Calibration,Mechanical,22321.0,2232.0,10.0,small
R10S,240,Calibration,Mechanical,22034.0,2203.0,10.0,small
R10S,250,Calibration,Mechanical,21751.0,2175.0,10.0,small
R10S,260,Validation,Mechanical,21472.0,2147.0,10.0,small
R10S,270,Calibration,Mechanical,21196.0,2120.0,10.0,small
R10S,280,Calibration,Mechanical,20924.0,2092.0,10.0,small
R10S,290,Calibration,Mechanical,20655.0,2066.0,10.0,small
R10S,300,Calibration,Mechanical,20390.0,2039.0,10.0,small
R10S,310,Calibration,Mechanical,20128.0,2013.0,10.0,small
R10S,320,Validation,Mechanical,19870.0,1987.0,10.0,small
R10S,330,Calibration,Mechanical,19615.0,1961.0,10.0,small
R10S,340,Calibration,Mechanical,19363.0,1936.0,10.0,small
R10S,350,Calibration,Mechanical,19114.0,1911.0,10.0,small
R10S,360,Validation,Mechanical,18869.0,1887.0,10.0,small
R10S,370,Calibration,Mechanical,18627.0,1863.0,10.0,small
R10S,380,Calibration,Mechanical,18388.0,1839.0,10.0,small
R10S,390,Calibration,Mechanical,18151.0,1815.0,10.0,small
R10S,400,Calibration,Mechanical,17918.0,1792.0,10.0,small
R10S,410,Validation,Mechanical,17688.0,1769.0,10.0,small
R10S,420,Validation,Mechanical,17461.0,1746.0,10.0,small
R10S,430,Calibration,Mechanical,17237.0,1724.0,10.0,small
R10S,440,Validation,Mechanical,17016.0,1702.0,10.0,small
R10S,450,Validation,Mechanical,16797.0,1680.0,10.0,small
R10S,460,Validation,Mechanical,16582.0,1658.0,10.0,small
R10S,470,Validation,Mechanical,16369.0,1637.0,10.0,small
R10S,480,Calibration,Mechanical,16158.0,1616.0,10.0,small
R10S,490,Calibration,Mechanical,15951.0,1595.0,10.0,small
R10S,500,Calibration,Mechanical,15746.0,1575.0,10.0,small
R10S,510,Validation,Mechanical,15544.0,1554.0,10.0,small
R10S,520,Calibration,Mechanical,15344.0,1534.0,10.0,small
R10S,530,Validation,Mechanical,15147.0,1515.0,10.0,small
R10S,540,Validation,Mechanical,14953.0,1495.0,10.0,small
R10S,550,Calibration,Mechanical,14761.0,1476.0,10.0,small
R10S,560,Validation,Mechanical,14571.0,1457.0,10.0,small
R10S,570,Calibration,Mechanical,14384.0,1438.0,10.0,small
R10S,580,Calibration,Mechanical,14200.0,1420.0,10.0,small
R10S,590,Validation,Mechanical,14017.0,1402.0,10.0,small
R10S,600,Calibration,Mechanical,13837.0,1384.0,10.0,small
R10S,610,Validation,Mechanical,13660.0,1366.0,10.0,small
R10S,620,Validation,Mechanical,13484.0,1348.0,10.0,small
R10S,630,Calibration,Mechanical,13311.0,1331.0,10.0,small
R10S,640,Calibration,Mechanical,13140.0,1314.0,10.0,small
R10S,650,Calibration,Mechanical,12971.0,1297.0,10.0,small
R10S,660,Calibration,Mechanical,12805.0,1280.0,10.0,small
R10S,670,Validation,Mechanical,12640.0,1264.0,10.0,small
R10S,680,Calibration,Mechanical,12478.0,1248.0,10.0,small
R10S,690,Calibration,Mechanical,12318.0,1232.0,10.0,small
R10S,700,Calibration,Mechanical,12160.0,1216.0,10.0,small
R10S,710,Calibration,Mechanical,12004.0,1200.0,10.0,small
R10S,720,Validation,Mechanical,11850.0,1185.0,10.0,small
R10S,730,Calibration,Mechanical,11697.0,1170.0,10.0,small
R10S,740,Validation,Mechanical,11547.0,1155.0,10.0,small
R10S,750,Calibration,Mechanical,11399.0,1140.0,10.0,small
R10S,760,Validation,Mechanical,11253.0,1125.0,10.0,small
R10S,770,Calibration,Mechanical,11108.0,1111.0,10.0,small
R10S,780,Calibration,Mechanical,10965.0,1097.0,10.0,small
R10S,790,Validation,Mechanical,10825.0,1082.0,10.0,small
R10S,800,Calibration,Mechanical,10686.0,1069.0,10.0,small
R15S,20,Validation,Mechanical,27920.0,2792.0,15.0,small
R15S,30,Calibration,Mechanical,27542.0,2754.0,15.0,small
R15S,40,Calibration,Mechanical,27170.0,2717.0,15.0,small
R15S,50,Calibration,Mechanical,26803.0,2680.0,15.0,small
R15S,60,Validation,Mechanical,26440.0,2644.0,15.0,small
R15S,70,Calibration,Mechanical,26083.0,2608.0,15.0,small
R15S,80,Calibration,Mechanical,25730.0,2573.0,15.0,small
R15S,90,Calibration,Mechanical,25382.0,2538.0,15.0,small
R15S,100,Calibration,Mechanical,25039.0,2504.0,15.0,small
R15S,110,Calibration,Mechanical,24700.0,2470.0,15.0,small
R15S,120,Validation,Mechanical,24366.0,2437.0,15.0,small
R15S,130,Validation,Mechanical,24037.0,2404.0,15.0,small
R15S,140,Validation,Mechanical,23711.0,2371.0,15.0,small
R15S,150,Validation,Mechanical,23391.0,2339.0,15.0,small
R15S,160,Calibration,Mechanical,23074.0,2307.0,15.0,small
R15S,170,Validation,Mechanical,22762.0,2276.0,15.0,small
R15S,180,Calibration,Mechanical,22455.0,2245.0,15.0,small
R15S,190,Calibration,Mechanical,22151.0,2215.0,15.0,small
R15S,200,Calibration,Mechanical,21851.0,2185.0,15.0,small
R15S,210,Calibration,Mechanical,21556.0,2156.0,15.0,small
R15S,220,Validation,Mechanical,21264.0,2126.0,15.0,small
R15S,230,Calibration,Mechanical,20977.0,2098.0,15.0,small
R15S,240,Calibration,Mechanical,20693.0,2069.0,15.0,small
R15S,250,Calibration,Mechanical,20413.0,2041.0,15.0,small
R15S,260,Validation,Mechanical,20137.0,2014.0,15.0,small
R15S,270,Calibration,Mechanical,19865.0,1986.0,15.0,small
R15S,280,Calibration,Mechanical,19596.0,1960.0,15.0,small
R15S,290,Calibration,Mechanical,19331.0,1933.0,15.0,small
R15S,300,Validation,Mechanical,19070.0,1907.0,15.0,small
R15S,310,Calibration,Mechanical,18812.0,1881.0,15.0,small
R15S,320,Calibration,Mechanical,18558.0,1856.0,15.0,small
R15S,330,Calibration,Mechanical,18307.0,1831.0,15.0,small
R15S,340,Calibration,Mechanical,18059.0,1806.0,15.0,small
R15S,350,Calibration,Mechanical,17815.0,1781.0,15.0,small
R15S,360,Calibration,Mechanical,17574.0,1757.0,15.0,small
R15S,370,Validation,Mechanical,17336.0,1734.0,15.0,small
R15S,380,Calibration,Mechanical,17102.0,1710.0,15.0,small
R15S,390,Calibration,Mechanical,16871.0,1687.0,15.0,small
R15S,400,Validation,Mechanical,16642.0,1664.0,15.0,small
R15S,410,Calibration,Mechanical,16417.0,1642.0,15.0,small
R15S,420,Calibration,Mechanical,16195.0,1620.0,15.0,small
R15S,430,Calibration,Mechanical,15976.0,1598.0,15.0,small
R15S,440,Calibration,Mechanical,15760.0,1576.0,15.0,small
R15S,450,Validation,Mechanical,15547.0,1555.0,15.0,small
R15S,460,Calibration,Mechanical,15337.0,1534.0,15.0,small
R15S,470,Validation,Mechanical,15130.0,1513.0,15.0,small
R15S,480,Calibration,Mechanical,14925.0,1492.0,15.0,small
R15S,490,Calibration,Mechanical,14723.0,1472.0,15.0,small
R15S,500,Calibration,Mechanical,14524.0,1452.0,15.0,small
R15S,510,Calibration,Mechanical,14328.0,1433.0,15.0,small
R15S,520,Calibration,Mechanical,14134.0,1413.0,15.0,small
R15S,530,Validation,Mechanical,13943.0,1394.0,15.0,small
R15S,540,Calibration,Mechanical,13754.0,1375.0,15.0,small
R15S,550,Validation,Mechanical,13568.0,1357.0,15.0,small
R15S,560,Calibration,Mechanical,13385.0,1338.0,15.0,small
R15S,570,Validation,Mechanical,13204.0,1320.0,15.0,small
R15S,580,Validation,Mechanical,13025.0,1303.0,15.0,small
R15S,590,Validation,Mechanical,12849.0,1285.0,15.0,small
R15S,600,Validation,Mechanical,12675.0,1268.0,15.0,small
R15S,610,Validation,Mechanical,12504.0,1250.0,15.0,small
R15S,620,Calibration,Mechanical,12335.0,1233.0,15.0,small
R15S,630,Calibration,Mechanical,12168.0,1217.0,15.0,small
R15S,640,Calibration,Mechanical,12003.0,1200.0,15.0,small
R15S,650,Validation,Mechanical,11841.0,1184.0,15.0,small
R15S,660,Calibration,Mechanical,11681.0,1168.0,15.0,small
R15S,670,Validation,Mechanical,11523.0,1152.0,15.0,small
R15S,680,Calibration,Mechanical,11367.0,1137.0,15.0,small
R15S,690,Calibration,Mechanical,11213.0,1121.0,15.0,small
R15S,700,Calibration,Mechanical,11062.0,1106.0,15.0,small
R15S,710,Calibration,Mechanical,10912.0,1091.0,15.0,small
R15S,720,Calibration,Mechanical,10765.0,1076.0,15.0,small
R15S,730,Calibration,Mechanical,10619.0,1062.0,15.0,small
R15S,740,Calibration,Mechanical,10475.0,1048.0,15.0,small
R15S,750,Calibration,Mechanical,10334.0,1033.0,15.0,small
R15S,760,Calibration,Mechanical,10194.0,1019.0,15.0,small
R15S,770,Calibration,Mechanical,10056.0,1006.0,15.0,small
R15S,780,Validation,Mechanical,9920.0,992.0,15.0,small
R15S,790,Calibration,Mechanical,9786.0,979.0,15.0,small
R15S,800,Calibration,Mechanical,9654.0,965.0,15.0,small
R20S,20,Calibration,Mechanical,26560.0,2656.0,20.0,small
R20S,30,Calibration,Mechanical,26183.0,2618.0,20.0,small
R20S,40,Calibration,Mechanical,25811.0,2581.0,20.0,small
R20S,50,Calibration,Mechanical,25444.0,2544.0,20.0,small
R20S,60,Calibration,Mechanical,25083.0,2508.0,20.0,small
R20S,70,Calibration,Mechanical,24726.0,2473.0,20.0,small
R20S,80,Calibration,Mechanical,24375.0,2438.0,20.0,small
R20S,90,Validation,Mechanical,24029.0,2403.0,20.0,small
R20S,100,Validation,Mechanical,23687.0,2369.0,20.0,small
R20S,110,Calibration,Mechanical,23351.0,2335.0,20.0,small
R20S,120,Calibration,Mechanical,23019.0,2302.0,20.0,small
R20S,130,Calibration,Mechanical,22692.0,2269.0,20.0,small
R20S,140,Calibration,Mechanical,22370.0,2237.0,20.0,small
R20S,150,Validation,Mechanical,22052.0,2205.0,20.0,small
R20S,160,Calibration,Mechanical,21739.0,2174.0,20.0,small
R20S,170,Calibration,Mechanical,21430.0,2143.0,20.0,small
R20S,180,Calibration,Mechanical,21126.0,2113.0,20.0,small
R20S,190,Validation,Mechanical,20825.0,2083.0,20.0,small
R20S,200,Calibration,Mechanical,20530.0,2053.0,20.0,small
R20S,210,Calibration,Mechanical,20238.0,2024.0,20.0,small
R20S,220,Calibration,Mechanical,19950.0,1995.0,20.0,small
R20S,230,Calibration,Mechanical,19667.0,1967.0,20.0,small
R20S,240,Calibration,Mechanical,19388.0,1939.0,20.0,small
R20S,250,Calibration,Mechanical,19112.0,1911.0,20.0,small
R20S,260,Calibration,Mechanical,18841.0,1884.0,20.0,small
R20S,270,Calibration,Mechanical,18573.0,1857.0,20.0,small
R20S,280,Calibration,Mechanical,18309.0,1831.0,20.0,small
R20S,290,Calibration,Mechanical,18049.0,1805.0,20.0,small
R20S,300,Calibration,Mechanical,17793.0,1779.0,20.0,small
R20S,310,Calibration,Mechanical,17540.0,1754.0,20.0,small
R20S,320,Validation,Mechanical,17291.0,1729.0,20.0,small
R20S,330,Calibration,Mechanical,17045.0,1705.0,20.0,small
R20S,340,Calibration,Mechanical,16803.0,1680.0,20.0,small
R20S,350,Calibration,Mechanical,16564.0,1656.0,20.0,small
R20S,360,Calibration,Mechanical,16329.0,1633.0,20.0,small
R20S,370,Validation,Mechanical,16097.0,1610.0,20.0,small
R20S,380,Calibration,Mechanical,15868.0,1587.0,20.0,small
R20S,390,Validation,Mechanical,15643.0,1564.0,20.0,small
R20S,400,Calibration,Mechanical,15421.0,1542.0,20.0,small
R20S,410,Calibration,Mechanical,15202.0,1520.0,20.0,small
R20S,420,Validation,Mechanical,14986.0,1499.0,20.0,small
R20S,430,Validation,Mechanical,14773.0,1477.0,20.0,small
R20S,440,Validation,Mechanical,14563.0,1456.0,20.0,small
R20S,450,Validation,Mechanical,14356.0,1436.0,20.0,small
R20S,460,Calibration,Mechanical,14152.0,1415.0,20.0,small
R20S,470,Validation,Mechanical,13951.0,1395.0,20.0,small
R20S,480,Calibration,Mechanical,13753.0,1375.0,20.0,small
R20S,490,Validation,Mechanical,13558.0,1356.0,20.0,small
R20S,500,Calibration,Mechanical,13365.0,1336.0,20.0,small
R20S,510,Validation,Mechanical,13175.0,1318.0,20.0,small
R20S,520,Calibration,Mechanical,12988.0,1299.0,20.0,small
R20S,530,Calibration,Mechanical,12803.0,1280.0,20.0,small
R20S,540,Calibration,Mechanical,12622.0,1262.0,20.0,small
R20S,550,Validation,Mechanical,12442.0,1244.0,20.0,small
R20S,560,Calibration,Mechanical,12266.0,1227.0,20.0,small
R20S,570,Calibration,Mechanical,12091.0,1209.0,20.0,small
R20S,580,Calibration,Mechanical,11919.0,1192.0,20.0,small
R20S,590,Calibration,Mechanical,11750.0,1175.0,20.0,small
R20S,600,Validation,Mechanical,11583.0,1158.0,20.0,small
R20S,610,Calibration,Mechanical,11419.0,1142.0,20.0,small
R20S,620,Validation,Mechanical,11256.0,1126.0,20.0,small
R20S,630,Calibration,Mechanical,11097.0,1110.0,20.0,small
R20S,640,Calibration,Mechanical,10939.0,1094.0,20.0,small
R20S,650,Validation,Mechanical,10784.0,1078.0,20.0,small
R20S,660,Calibration,Mechanical,10630.0,1063.0,20.0,small
R20S,670,Calibration,Mechanical,10479.0,1048.0,20.0,small
R20S,680,Calibration,Mechanical,10330.0,1033.0,20.0,small
R20S,690,Validation,Mechanical,10184.0,1018.0,20.0,small
R20S,700,Calibration,Mechanical,10039.0,1004.0,20.0,small
R20S,710,Validation,Mechanical,9896.0,990.0,20.0,small
R20S,720,Validation,Mechanical,9756.0,976.0,20.0,small
R20S,730,Calibration,Mechanical,9617.0,962.0,20.0,small
R20S,740,Calibration,Mechanical,9481.0,948.0,20.0,small
R20S,750,Calibration,Mechanical,9346.0,935.0,20.0,small
R20S,760,Calibration,Mechanical,9213.0,921.0,20.0,small
R20S,770,Calibration,Mechanical,9082.0,908.0,20.0,small
R20S,780,Calibration,Mechanical,8953.0,895.0,20.0,small
R20S,790,Calibration,Mechanical,8826.0,883.0,20.0,small
R20S,800,Validation,Mechanical,8701.0,870.0,20.0,small
R10L,20,Validation,Mechanical,28872.0,2887.0,10.0,large
R10L,30,Validation,Mechanical,28501.0,2850.0,10.0,large
R10L,40,Calibration,Mechanical,28135.0,2814.0,10.0,large
R10L,50,Calibration,Mechanical,27774.0,2777.0,10.0,large
R10L,60,Calibration,Mechanical,27417.0,2742.0,10.0,large
R10L,70,Validation,Mechanical,27065.0,2707.0,10.0,large
R10L,80,Calibration,Mechanical,26718.0,2672.0,10.0,large
R10L,90,Validation,Mechanical,26375.0,2637.0,10.0,large
R10L,100,Calibration,Mechanical,26036.0,2604.0,10.0,large
R10L,110,Calibration,Mechanical,25702.0,2570.0,10.0,large
R10L,120,Validation,Mechanical,25372.0,2537.0,10.0,large
R10L,130,Calibration,Mechanical,25046.0,2505.0,10.0,large
R10L,140,Validation,Mechanical,24725.0,2472.0,10.0,large
R10L,150,Validation,Mechanical,24407.0,2441.0,10.0,large
R10L,160,Calibration,Mechanical,24094.0,2409.0,10.0,large
R10L,170,Calibration,Mechanical,23784.0,2378.0,10.0,large
R10L,180,Calibration,Mechanical,23479.0,2348.0,10.0,large
R10L,190,Validation,Mechanical,23177.0,2318.0,10.0,large
R10L,200,Calibration,Mechanical,22880.0,2288.0,10.0,large
R10L,210,Calibration,Mechanical,22586.0,2259.0,10.0,large
R10L,220,Calibration,Mechanical,22296.0,2230.0,10.0,large
R10L,230,Validation,Mechanical,22010.0,2201.0,10.0,large
R10L,240,Calibration,Mechanical,21727.0,2173.0,10.0,large
R10L,250,Validation,Mechanical,21448.0,2145.0,10.0,large
R10L,260,Validation,Mechanical,21173.0,2117.0,10.0,large
R10L,270,Calibration,Mechanical,20901.0,2090.0,10.0,large
R10L,280,Calibration,Mechanical,20633.0,2063.0,10.0,large
R10L,290,Validation,Mechanical,20368.0,2037.0,10.0,large
R10L,300,Calibration,Mechanical,20106.0,2011.0,10.0,large
R10L,310,Validation,Mechanical,19848.0,1985.0,10.0,large
R10L,320,Calibration,Mechanical,19593.0,1959.0,10.0,large
R10L,330,Calibration,Mechanical,19342.0,1934.0,10.0,large
R10L,340,Validation,Mechanical,19093.0,1909.0,10.0,large
