Mix_ID,Temperature_C,Data_Type,Property_Type,Compressive_Strength_Mean_MPa,Compressive_Strength_Std_MPa,Rubber_Content_Percent,Particle_Size
C,390,Calibration,Mechanical,29.27,3.51,0.0,small
C,400,Calibration,Mechanical,28.4,3.41,0.0,small
C,410,Calibration,Mechanical,27.56,3.31,0.0,small
C,420,Calibration,Mechanical,26.75,3.21,0.0,small
C,430,Calibration,Mechanical,25.96,3.11,0.0,small
C,440,Calibration,Mechanical,25.19,3.02,0.0,small
C,450,Validation,Mechanical,24.44,2.93,0.0,small
C,460,Calibration,Mechanical,23.72,2.85,0.0,small
C,470,Calibration,Mechanical,23.02,2.76,0.0,small
C,480,Calibration,Mechanical,22.34,2.68,0.0,small
C,490,Calibration,Mechanical,21.68,2.6,0.0,small
C,500,Calibration,Mechanical,21.04,2.52,0.0,small
C,510,Calibration,Mechanical,20.42,2.45,0.0,small
C,520,Validation,Mechanical,19.81,2.38,0.0,small
C,530,Validation,Mechanical,19.23,2.31,0.0,small
C,540,Validation,Mechanical,18.66,2.24,0.0,small
C,550,Validation,Mechanical,18.11,2.17,0.0,small
C,560,Calibration,Mechanical,17.57,2.11,0.0,small
C,570,Validation,Mechanical,17.05,2.05,0.0,small
C,580,Calibration,Mechanical,16.55,1.99,0.0,small
C,590,Calibration,Mechanical,16.06,1.93,0.0,small
C,600,Calibration,Mechanical,15.59,1.87,0.0,small
C,610,Calibration,Mechanical,15.13,1.82,0.0,small
C,620,Calibration,Mechanical,14.68,1.76,0.0,small
C,630,Calibration,Mechanical,14.25,1.71,0.0,small
C,640,Validation,Mechanical,13.82,1.66,0.0,small
C,650,Calibration,Mechanical,13.42,1.61,0.0,small
C,660,Calibration,Mechanical,13.02,1.56,0.0,small
C,670,Calibration,Mechanical,12.63,1.52,0.0,small
C,680,Calibration,Mechanical,12.26,1.47,0.0,small
C,690,Validation,Mechanical,11.9,1.43,0.0,small
C,700,Calibration,Mechanical,11.55,1.39,0.0,small
C,710,Validation,Mechanical,11.21,1.34,0.0,small
C,720,Validation,Mechanical,10.87,1.3,0.0,small
C,730,Calibration,Mechanical,10.55,1.27,0.0,small
C,740,Calibration,Mechanical,10.24,1.23,0.0,small
C,750,Validation,Mechanical,9.94,1.19,0.0,small
C,760,Validation,Mechanical,9.64,1.16,0.0,small
C,770,Validation,Mechanical,9.36,1.12,0.0,small
C,780,Validation,Mechanical,9.08,1.09,0.0,small
C,790,Calibration,Mechanical,8.81,1.06,0.0,small
C,800,Calibration,Mechanical,8.55,1.03,0.0,small
R5S,20,Calibration,Mechanical,42.08,5.05,10.0,small
R5S,30,Validation,Mechanical,42.43,5.09,10.0,small
R5S,40,Calibration,Mechanical,42.78,5.13,10.0,small
R5S,50,Calibration,Mechanical,43.13,5.18,10.0,small
R5S,60,Calibration,Mechanical,43.48,5.22,10.0,small
R5S,70,Calibration,Mechanical,43.83,5.26,10.0,small
R5S,80,Calibration,Mechanical,44.18,5.3,10.0,small
R5S,90,Validation,Mechanical,44.53,5.34,10.0,small
R5S,100,Calibration,Mechanical,44.88,5.39,10.0,small
R5S,110,Validation,Mechanical,45.23,5.43,10.0,small
R5S,120,Calibration,Mechanical,45.58,5.47,10.0,small
R5S,130,Calibration,Mechanical,45.93,5.51,10.0,small
R5S,140,Validation,Mechanical,46.28,5.55,10.0,small
R5S,150,Validation,Mechanical,46.63,5.6,10.0,small
R5S,160,Calibration,Mechanical,46.98,5.64,10.0,small
R5S,170,Validation,Mechanical,47.33,5.68,10.0,small
R5S,180,Calibration,Mechanical,47.68,5.72,10.0,small
R5S,190,Calibration,Mechanical,48.04,5.76,10.0,small
R5S,200,Calibration,Mechanical,48.39,5.81,10.0,small
R5S,210,Calibration,Mechanical,46.85,5.62,10.0,small
R5S,220,Calibration,Mechanical,45.36,5.44,10.0,small
R5S,230,Calibration,Mechanical,43.92,5.27,10.0,small
R5S,240,Calibration,Mechanical,42.53,5.1,10.0,small
R5S,250,Calibration,Mechanical,41.18,4.94,10.0,small
R5S,260,Calibration,Mechanical,39.87,4.78,10.0,small
R5S,270,Validation,Mechanical,38.61,4.63,10.0,small
R5S,280,Calibration,Mechanical,37.38,4.49,10.0,small
R5S,290,Calibration,Mechanical,36.2,4.34,10.0,small
R5S,300,Validation,Mechanical,35.05,4.21,10.0,small
R5S,310,Calibration,Mechanical,33.94,4.07,10.0,small
R5S,320,Calibration,Mechanical,32.86,3.94,10.0,small
R5S,330,Calibration,Mechanical,31.82,3.82,10.0,small
R5S,340,Calibration,Mechanical,30.81,3.7,10.0,small
R5S,350,Validation,Mechanical,29.83,3.58,10.0,small
R5S,360,Validation,Mechanical,28.88,3.47,10.0,small
R5S,370,Calibration,Mechanical,27.97,3.36,10.0,small
R5S,380,Validation,Mechanical,27.08,3.25,10.0,small
R5S,390,Validation,Mechanical,26.22,3.15,10.0,small
R5S,400,Calibration,Mechanical,25.39,3.05,10.0,small
R5S,410,Validation,Mechanical,24.58,2.95,10.0,small
R5S,420,Calibration,Mechanical,23.8,2.86,10.0,small
R5S,430,Validation,Mechanical,23.05,2.77,10.0,small
R5S,440,Validation,Mechanical,22.31,2.68,10.0,small
R5S,450,Calibration,Mechanical,21.61,2.59,10.0,small
R5S,460,Calibration,Mechanical,20.92,2.51,10.0,small
R5S,470,Calibration,Mechanical,20.26,2.43,10.0,small
R5S,480,Calibration,Mechanical,19.61,2.35,10.0,small
R5S,490,Validation,Mechanical,18.99,2.28,10.0,small
R5S,500,Validation,Mechanical,18.39,2.21,10.0,small
R5S,510,Calibration,Mechanical,17.8,2.14,10.0,small
R5S,520,Calibration,Mechanical,17.24,2.07,10.0,small
R5S,530,Calibration,Mechanical,16.69,2.0,10.0,small
R5S,540,Calibration,Mechanical,16.16,1.94,10.0,small
R5S,550,Calibration,Mechanical,15.65,1.88,10.0,small
R5S,560,Calibration,Mechanical,15.15,1.82,10.0,small
R5S,570,Validation,Mechanical,14.67,1.76,10.0,small
R5S,580,Calibration,Mechanical,14.21,1.7,10.0,small
R5S,590,Calibration,Mechanical,13.76,1.65,10.0,small
R5S,600,Validation,Mechanical,13.32,1.6,10.0,small
R5S,610,Calibration,Mechanical,12.9,1.55,10.0,small
R5S,620,Validation,Mechanical,12.49,1.5,10.0,small
R5S,630,Validation,Mechanical,12.09,1.45,10.0,small
R5S,640,Calibration,Mechanical,11.71,1.4,10.0,small
R5S,650,Calibration,Mechanical,11.34,1.36,10.0,small
R5S,660,Calibration,Mechanical,10.98,1.32,10.0,small
R5S,670,Calibration,Mechanical,10.63,1.28,10.0,small
R5S,680,Calibration,Mechanical,10.29,1.23,10.0,small
R5S,690,Calibration,Mechanical,9.96,1.2,10.0,small
R5S,700,Calibration,Mechanical,9.65,1.16,10.0,small
R5S,710,Calibration,Mechanical,9.34,1.12,10.0,small
R5S,720,Calibration,Mechanical,9.05,1.09,10.0,small
R5S,730,Validation,Mechanical,8.76,1.05,10.0,small
R5S,740,Calibration,Mechanical,8.48,1.02,10.0,small
R5S,750,Calibration,Mechanical,8.21,0.99,10.0,small
R5S,760,Calibration,Mechanical,7.95,0.95,10.0,small
R5S,770,Validation,Mechanical,7.7,0.92,10.0,small
R5S,780,Calibration,Mechanical,7.45,0.89,10.0,small
R5S,790,Calibration,Mechanical,7.22,0.87,10.0,small
R5S,800,Validation,Mechanical,6.99,0.84,10.0,small
R10S,20,Calibration,Mechanical,42.08,5.05,10.0,small
R10S,30,Validation,Mechanical,42.43,5.09,10.0,small
R10S,40,Calibration,Mechanical,42.78,5.13,10.0,small
R10S,50,Calibration,Mechanical,43.13,5.18,10.0,small
R10S,60,Calibration,Mechanical,43.48,5.22,10.0,small
R10S,70,Calibration,Mechanical,43.83,5.26,10.0,small
R10S,80,Calibration,Mechanical,44.18,5.3,10.0,small
R10S,90,Validation,Mechanical,44.53,5.34,10.0,small
R10S,100,Calibration,Mechanical,44.88,5.39,10.0,small
R10S,110,Calibration,Mechanical,45.23,5.43,10.0,small
R10S,120,Calibration,Mechanical,45.58,5.47,10.0,small
R10S,130,Calibration,Mechanical,45.93,5.51,10.0,small
R10S,140,Calibration,Mechanical,46.28,5.55,10.0,small
R10S,150,Calibration,Mechanical,46.63,5.6,10.0,small
R10S,160,Calibration,Mechanical,46.98,5.64,10.0,small
R10S,170,Calibration,Mechanical,47.33,5.68,10.0,small
R10S,180,Calibration,Mechanical,47.68,5.72,10.0,small
R10S,190,Calibration,Mechanical,48.04,5.76,10.0,small
R10S,200,Calibration,Mechanical,48.39,5.81,10.0,small
R10S,210,Calibration,Mechanical,46.75,5.61,10.0,small
R10S,220,Validation,Mechanical,45.16,5.42,10.0,small
R10S,230,Calibration,Mechanical,43.63,5.24,10.0,small
R10S,240,Calibration,Mechanical,42.15,5.06,10.0,small
R10S,250,Calibration,Mechanical,40.72,4.89,10.0,small
R10S,260,Validation,Mechanical,39.34,4.72,10.0,small
R10S,270,Validation,Mechanical,38.0,4.56,10.0,small
R10S,280,Calibration,Mechanical,36.72,4.41,10.0,small
R10S,290,Calibration,Mechanical,35.47,4.26,10.0,small
R10S,300,Validation,Mechanical,34.27,4.11,10.0,small
R10S,310,Calibration,Mechanical,33.11,3.97,10.0,small
R10S,320,Calibration,Mechanical,31.98,3.84,10.0,small
R10S,330,Calibration,Mechanical,30.9,3.71,10.0,small
R10S,340,Calibration,Mechanical,29.85,3.58,10.0,small
R10S,350,Validation,Mechanical,28.84,3.46,10.0,small
R10S,360,Validation,Mechanical,27.86,3.34,10.0,small
R10S,370,Calibration,Mechanical,26.92,3.23,10.0,small
R10S,380,Calibration,Mechanical,26.0,3.12,10.0,small
R10S,390,Calibration,Mechanical,25.12,3.01,10.0,small
R10S,400,Validation,Mechanical,24.27,2.91,10.0,small
R10S,410,Validation,Mechanical,23.45,2.81,10.0,small
R10S,420,Validation,Mechanical,22.65,2.72,10.0,small
R10S,430,Validation,Mechanical,21.88,2.63,10.0,small
R10S,440,Calibration,Mechanical,21.14,2.54,10.0,small
R10S,450,Calibration,Mechanical,20.42,2.45,10.0,small
R10S,460,Calibration,Mechanical,19.73,2.37,10.0,small
R10S,470,Validation,Mechanical,19.06,2.29,10.0,small
R10S,480,Calibration,Mechanical,18.42,2.21,10.0,small
R10S,490,Calibration,Mechanical,17.79,2.13,10.0,small
R10S,500,Calibration,Mechanical,17.19,2.06,10.0,small
R10S,510,Calibration,Mechanical,16.61,1.99,10.0,small
R10S,520,Calibration,Mechanical,16.04,1.93,10.0,small
R10S,530,Calibration,Mechanical,15.5,1.86,10.0,small
R10S,540,Calibration,Mechanical,14.97,1.8,10.0,small
R10S,550,Calibration,Mechanical,14.46,1.74,10.0,small
R10S,560,Calibration,Mechanical,13.97,1.68,10.0,small
R10S,570,Calibration,Mechanical,13.5,1.62,10.0,small
R10S,580,Validation,Mechanical,13.04,1.57,10.0,small
R10S,590,Calibration,Mechanical,12.6,1.51,10.0,small
R10S,600,Calibration,Mechanical,12.17,1.46,10.0,small
R10S,610,Validation,Mechanical,11.76,1.41,10.0,small
R10S,620,Calibration,Mechanical,11.36,1.36,10.0,small
R10S,630,Validation,Mechanical,10.98,1.32,10.0,small
R10S,640,Calibration,Mechanical,10.6,1.27,10.0,small
R10S,650,Calibration,Mechanical,10.24,1.23,10.0,small
R10S,660,Calibration,Mechanical,9.9,1.19,10.0,small
R10S,670,Calibration,Mechanical,9.56,1.15,10.0,small
R10S,680,Calibration,Mechanical,9.24,1.11,10.0,small
R10S,690,Calibration,Mechanical,8.92,1.07,10.0,small
R10S,700,Validation,Mechanical,8.62,1.03,10.0,small
R10S,710,Calibration,Mechanical,8.33,1.0,10.0,small
R10S,720,Validation,Mechanical,8.05,0.97,10.0,small
R10S,730,Calibration,Mechanical,7.77,0.93,10.0,small
R10S,740,Validation,Mechanical,7.51,0.9,10.0,small
R10S,750,Calibration,Mechanical,7.26,0.87,10.0,small
R10S,760,Calibration,Mechanical,7.01,0.84,10.0,small
R10S,770,Calibration,Mechanical,6.77,0.81,10.0,small
R10S,780,Calibration,Mechanical,6.54,0.79,10.0,small
R10S,790,Validation,Mechanical,6.32,0.76,10.0,small
R10S,800,Calibration,Mechanical,6.11,0.73,10.0,small
R15S,20,Calibration,Mechanical,40.61,4.87,15.0,small
R15S,30,Calibration,Mechanical,40.95,4.91,15.0,small
R15S,40,Calibration,Mechanical,41.29,4.95,15.0,small
R15S,50,Validation,Mechanical,41.63,5.0,15.0,small
R15S,60,Validation,Mechanical,41.97,5.04,15.0,small
R15S,70,Validation,Mechanical,42.3,5.08,15.0,small
R15S,80,Calibration,Mechanical,42.64,5.12,15.0,small
R15S,90,Calibration,Mechanical,42.98,5.16,15.0,small
R15S,100,Validation,Mechanical,43.32,5.2,15.0,small
R15S,110,Calibration,Mechanical,43.66,5.24,15.0,small
R15S,120,Validation,Mechanical,44.0,5.28,15.0,small
R15S,130,Validation,Mechanical,44.34,5.32,15.0,small
R15S,140,Validation,Mechanical,44.67,5.36,15.0,small
R15S,150,Calibration,Mechanical,45.01,5.4,15.0,small
R15S,160,Calibration,Mechanical,45.35,5.44,15.0,small
R15S,170,Validation,Mechanical,45.69,5.48,15.0,small
R15S,180,Calibration,Mechanical,46.03,5.52,15.0,small
R15S,190,Calibration,Mechanical,46.37,5.56,15.0,small
R15S,200,Calibration,Mechanical,46.7,5.6,15.0,small
R15S,210,Validation,Mechanical,45.02,5.4,15.0,small
R15S,220,Calibration,Mechanical,43.39,5.21,15.0,small
R15S,230,Calibration,Mechanical,41.83,5.02,15.0,small
R15S,240,Calibration,Mechanical,40.32,4.84,15.0,small
R15S,250,Calibration,Mechanical,38.86,4.66,15.0,small
R15S,260,Validation,Mechanical,37.46,4.5,15.0,small
R15S,270,Calibration,Mechanical,36.11,4.33,15.0,small
R15S,280,Calibration,Mechanical,34.81,4.18,15.0,small
R15S,290,Validation,Mechanical,33.55,4.03,15.0,small
R15S,300,Validation,Mechanical,32.34,3.88,15.0,small
R15S,310,Calibration,Mechanical,31.17,3.74,15.0,small
R15S,320,Validation,Mechanical,30.05,3.61,15.0,small
R15S,330,Calibration,Mechanical,28.96,3.48,15.0,small
R15S,340,Calibration,Mechanical,27.92,3.35,15.0,small
R15S,350,Validation,Mechanical,26.91,3.23,15.0,small
R15S,360,Validation,Mechanical,25.94,3.11,15.0,small
R15S,370,Validation,Mechanical,25.01,3.0,15.0,small
R15S,380,Validation,Mechanical,24.1,2.89,15.0,small
R15S,390,Calibration,Mechanical,23.23,2.79,15.0,small
R15S,400,Calibration,Mechanical,22.4,2.69,15.0,small
R15S,410,Validation,Mechanical,21.59,2.59,15.0,small
R15S,420,Calibration,Mechanical,20.81,2.5,15.0,small
R15S,430,Validation,Mechanical,20.06,2.41,15.0,small
R15S,440,Validation,Mechanical,19.33,2.32,15.0,small
R15S,450,Validation,Mechanical,18.64,2.24,15.0,small
R15S,460,Calibration,Mechanical,17.96,2.16,15.0,small
R15S,470,Calibration,Mechanical,17.32,2.08,15.0,small
R15S,480,Calibration,Mechanical,16.69,2.0,15.0,small
R15S,490,Calibration,Mechanical,16.09,1.93,15.0,small
R15S,500,Calibration,Mechanical,15.51,1.86,15.0,small
R15S,510,Calibration,Mechanical,14.95,1.79,15.0,small
R15S,520,Calibration,Mechanical,14.41,1.73,15.0,small
R15S,530,Calibration,Mechanical,13.89,1.67,15.0,small
R15S,540,Calibration,Mechanical,13.39,1.61,15.0,small
R15S,550,Calibration,Mechanical,12.9,1.55,15.0,small
R15S,560,Calibration,Mechanical,12.44,1.49,15.0,small
R15S,570,Validation,Mechanical,11.99,1.44,15.0,small
R15S,580,Calibration,Mechanical,11.56,1.39,15.0,small
R15S,590,Calibration,Mechanical,11.14,1.34,15.0,small
R15S,600,Calibration,Mechanical,10.74,1.29,15.0,small
R15S,610,Validation,Mechanical,10.35,1.24,15.0,small
R15S,620,Calibration,Mechanical,9.98,1.2,15.0,small
R15S,630,Calibration,Mechanical,9.62,1.15,15.0,small
R15S,640,Calibration,Mechanical,9.27,1.11,15.0,small
R15S,650,Calibration,Mechanical,8.94,1.07,15.0,small
R15S,660,Calibration,Mechanical,8.61,1.03,15.0,small
R15S,670,Calibration,Mechanical,8.3,1.0,15.0,small
R15S,680,Calibration,Mechanical,8.0,0.96,15.0,small
R15S,690,Validation,Mechanical,7.71,0.93,15.0,small
R15S,700,Validation,Mechanical,7.44,0.89,15.0,small
R15S,710,Calibration,Mechanical,7.17,0.86,15.0,small
R15S,720,Calibration,Mechanical,6.91,0.83,15.0,small
R15S,730,Validation,Mechanical,6.66,0.8,15.0,small
R15S,740,Calibration,Mechanical,6.42,0.77,15.0,small
R15S,750,Calibration,Mechanical,6.19,0.74,15.0,small
R15S,760,Calibration,Mechanical,5.96,0.72,15.0,small
R15S,770,Calibration,Mechanical,5.75,0.69,15.0,small
R15S,780,Validation,Mechanical,5.54,0.67,15.0,small
R15S,790,Validation,Mechanical,5.34,0.64,15.0,small
R15S,800,Calibration,Mechanical,5.15,0.62,15.0,small
R20S,20,Calibration,Mechanical,39.15,4.7,20.0,small
R20S,30,Calibration,Mechanical,39.48,4.74,20.0,small
R20S,40,Calibration,Mechanical,39.8,4.78,20.0,small
R20S,50,Calibration,Mechanical,40.13,4.82,20.0,small
R20S,60,Calibration,Mechanical,40.46,4.85,20.0,small
R20S,70,Validation,Mechanical,40.78,4.89,20.0,small
R20S,80,Calibration,Mechanical,41.11,4.93,20.0,small
R20S,90,Calibration,Mechanical,41.43,4.97,20.0,small
R20S,100,Validation,Mechanical,41.76,5.01,20.0,small
R20S,110,Validation,Mechanical,42.09,5.05,20.0,small
R20S,120,Calibration,Mechanical,42.41,5.09,20.0,small
R20S,130,Calibration,Mechanical,42.74,5.13,20.0,small
R20S,140,Calibration,Mechanical,43.07,5.17,20.0,small
R20S,150,Calibration,Mechanical,43.39,5.21,20.0,small
R20S,160,Calibration,Mechanical,43.72,5.25,20.0,small
R20S,170,Validation,Mechanical,44.04,5.29,20.0,small
R20S,180,Calibration,Mechanical,44.37,5.32,20.0,small
R20S,190,Calibration,Mechanical,44.7,5.36,20.0,small
R20S,200,Calibration,Mechanical,45.02,5.4,20.0,small
R20S,210,Calibration,Mechanical,43.3,5.2,20.0,small
R20S,220,Validation,Mechanical,41.64,5.0,20.0,small
R20S,230,Validation,Mechanical,40.05,4.81,20.0,small
R20S,240,Calibration,Mechanical,38.52,4.62,20.0,small
R20S,250,Calibration,Mechanical,37.05,4.45,20.0,small
R20S,260,Calibration,Mechanical,35.63,4.28,20.0,small
R20S,270,Calibration,Mechanical,34.27,4.11,20.0,small
R20S,280,Calibration,Mechanical,32.96,3.95,20.0,small
R20S,290,Calibration,Mechanical,31.7,3.8,20.0,small
R20S,300,Calibration,Mechanical,30.48,3.66,20.0,small
R20S,310,Calibration,Mechanical,29.32,3.52,20.0,small
R20S,320,Calibration,Mechanical,28.2,3.38,20.0,small
R20S,330,Calibration,Mechanical,27.12,3.25,20.0,small
R20S,340,Calibration,Mechanical,26.08,3.13,20.0,small
R20S,350,Calibration,Mechanical,25.08,3.01,20.0,small
R20S,360,Calibration,Mechanical,24.12,2.89,20.0,small
R20S,370,Validation,Mechanical,23.2,2.78,20.0,small
R20S,380,Calibration,Mechanical,22.31,2.68,20.0,small
R20S,390,Calibration,Mechanical,21.46,2.58,20.0,small
R20S,400,Calibration,Mechanical,20.64,2.48,20.0,small
R20S,410,Calibration,Mechanical,19.85,2.38,20.0,small
R20S,420,Calibration,Mechanical,19.09,2.29,20.0,small
R20S,430,Calibration,Mechanical,18.36,2.2,20.0,small
R20S,440,Validation,Mechanical,17.66,2.12,20.0,small
R20S,450,Calibration,Mechanical,16.98,2.04,20.0,small
R20S,460,Calibration,Mechanical,16.33,1.96,20.0,small
R20S,470,Calibration,Mechanical,15.71,1.88,20.0,small
R20S,480,Calibration,Mechanical,15.11,1.81,20.0,small
R20S,490,Calibration,Mechanical,14.53,1.74,20.0,small
R20S,500,Validation,Mechanical,13.97,1.68,20.0,small
R20S,510,Calibration,Mechanical,13.44,1.61,20.0,small
R20S,520,Validation,Mechanical,12.92,1.55,20.0,small
R20S,530,Validation,Mechanical,12.43,1.49,20.0,small
R20S,540,Calibration,Mechanical,11.96,1.43,20.0,small
R20S,550,Calibration,Mechanical,11.5,1.38,20.0,small
R20S,560,Calibration,Mechanical,11.06,1.33,20.0,small
R20S,570,Calibration,Mechanical,10.64,1.28,20.0,small
R20S,580,Calibration,Mechanical,10.23,1.23,20.0,small
R20S,590,Calibration,Mechanical,9.84,1.18,20.0,small
R20S,600,Calibration,Mechanical,9.46,1.14,20.0,small
R20S,610,Calibration,Mechanical,9.1,1.09,20.0,small
R20S,620,Validation,Mechanical,8.75,1.05,20.0,small
R20S,630,Calibration,Mechanical,8.42,1.01,20.0,small
R20S,640,Validation,Mechanical,8.09,0.97,20.0,small
R20S,650,Calibration,Mechanical,7.78,0.93,20.0,small
R20S,660,Calibration,Mechanical,7.49,0.9,20.0,small
R20S,670,Calibration,Mechanical,7.2,0.86,20.0,small
R20S,680,Calibration,Mechanical,6.93,0.83,20.0,small
R20S,690,Validation,Mechanical,6.66,0.8,20.0,small
R20S,700,Validation,Mechanical,6.41,0.77,20.0,small
R20S,710,Validation,Mechanical,6.16,0.74,20.0,small
R20S,720,Calibration,Mechanical,5.92,0.71,20.0,small
R20S,730,Calibration,Mechanical,5.7,0.68,20.0,small
R20S,740,Validation,Mechanical,5.48,0.66,20.0,small
R20S,750,Validation,Mechanical,5.27,0.63,20.0,small
R20S,760,Validation,Mechanical,5.07,0.61,20.0,small
R20S,770,Calibration,Mechanical,4.88,0.59,20.0,small
R20S,780,Calibration,Mechanical,4.69,0.56,20.0,small
R20S,790,Validation,Mechanical,4.51,0.54,20.0,small
R20S,800,Calibration,Mechanical,4.34,0.52,20.0,small
R10L,20,Validation,Mechanical,41.64,5.0,10.0,large
R10L,30,Validation,Mechanical,41.98,5.04,10.0,large
R10L,40,Calibration,Mechanical,42.33,5.08,10.0,large
R10L,50,Validation,Mechanical,42.68,5.12,10.0,large
R10L,60,Validation,Mechanical,43.02,5.16,10.0,large
R10L,70,Calibration,Mechanical,43.37,5.2,10.0,large
R10L,80,Validation,Mechanical,43.72,5.25,10.0,large
R10L,90,Calibration,Mechanical,44.07,5.29,10.0,large
R10L,100,Validation,Mechanical,44.41,5.33,10.0,large
R10L,110,Calibration,Mechanical,44.76,5.37,10.0,large
R10L,120,Validation,Mechanical,45.11,5.41,10.0,large
R10L,130,Calibration,Mechanical,45.45,5.45,10.0,large
R10L,140,Calibration,Mechanical,45.8,5.5,10.0,large
R10L,150,Validation,Mechanical,46.15,5.54,10.0,large
R10L,160,Calibration,Mechanical,46.49,5.58,10.0,large
R10L,170,Calibration,Mechanical,46.84,5.62,10.0,large
R10L,180,Validation,Mechanical,47.19,5.66,10.0,large
R10L,190,Validation,Mechanical,47.53,5.7,10.0,large
R10L,200,Calibration,Mechanical,47.88,5.75,10.0,large
R10L,210,Calibration,Mechanical,46.26,5.55,10.0,large
R10L,220,Calibration,Mechanical,44.69,5.36,10.0,large
R10L,230,Calibration,Mechanical,43.17,5.18,10.0,large
R10L,240,Calibration,Mechanical,41.71,5.01,10.0,large
R10L,250,Calibration,Mechanical,40.3,4.84,10.0,large
R10L,260,Validation,Mechanical,38.93,4.67,10.0,large
R10L,270,Validation,Mechanical,37.61,4.51,10.0,large
R10L,280,Validation,Mechanical,36.33,4.36,10.0,large
R10L,290,Calibration,Mechanical,35.1,4.21,10.0,large
R10L,300,Calibration,Mechanical,33.91,4.07,10.0,large
R10L,310,Calibration,Mechanical,32.76,3.93,10.0,large
R10L,320,Calibration,Mechanical,31.65,3.8,10.0,large
R10L,330,Calibration,Mechanical,30.58,3.67,10.0,large
R10L,340,Validation,Mechanical,29.54,3.54,10.0,large
R10L,350,Calibration,Mechanical,28.54,3.42,10.0,large
R10L,360,Calibration,Mechanical,27.57,3.31,10.0,large
R10L,370,Calibration,Mechanical,26.64,3.2,10.0,large
R10L,380,Validation,Mechanical,25.73,3.09,10.0,large
R10L,390,Calibration,Mechanical,24.86,2.98,10.0,large
R10L,400,Calibration,Mechanical,24.02,2.88,10.0,large
R10L,410,Calibration,Mechanical,23.2,2.78,10.0,large
R10L,420,Validation,Mechanical,22.42,2.69,10.0,large
R10L,430,Calibration,Mechanical,21.65,2.6,10.0,large
R10L,440,Validation,Mechanical,20.92,2.51,10.0,large
R10L,450,Validation,Mechanical,20.21,2.43,10.0,large
R10L,460,Calibration,Mechanical,19.53,2.34,10.0,large
R10L,470,Calibration,Mechanical,18.86,2.26,10.0,large
R10L,480,Validation,Mechanical,18.22,2.19,10.0,large
R10L,490,Calibration,Mechanical,17.61,2.11,10.0,large
R10L,500,Calibration,Mechanical,17.01,2.04,10.0,large
R10L,510,Validation,Mechanical,16.43,1.97,10.0,large
R10L,520,Validation,Mechanical,15.87,1.9,10.0,large
R10L,530,Validation,Mechanical,15.34,1.84,10.0,large
R10L,540,Validation,Mechanical,14.82,1.78,10.0,large
R10L,550,Calibration,Mechanical,14.31,1.72,10.0,large
R10L,560,Calibration,Mechanical,13.83,1.66,10.0,large
R10L,570,Validation,Mechanical,13.36,1.6,10.0,large
R10L,580,Calibration,Mechanical,12.91,1.55,10.0,large
R10L,590,Calibration,Mechanical,12.47,1.5,10.0,large
R10L,600,Validation,Mechanical,12.05,1.45,10.0,large
R10L,610,Calibration,Mechanical,11.64,1.4,10.0,large
R10L,620,Calibration,Mechanical,11.24,1.35,10.0,large
