Mix_ID,Temperature_C,Data_Type,Property_Type,Poissons_Ratio_Mean,Poissons_Ratio_Std,Rubber_Content_Percent,Particle_Size
C,800,Calibration,Mechanical,0.225,0.018,0.0,small
R5S,20,Calibration,Mechanical,0.1863,0.0149,10.0,small
R5S,30,Calibration,Mechanical,0.1869,0.015,10.0,small
R5S,40,Calibration,Mechanical,0.1875,0.015,10.0,small
R5S,50,Calibration,Mechanical,0.188,0.015,10.0,small
R5S,60,Calibration,Mechanical,0.1886,0.0151,10.0,small
R5S,70,Calibration,Mechanical,0.1892,0.0151,10.0,small
R5S,80,Calibration,Mechanical,0.1898,0.0152,10.0,small
R5S,90,Calibration,Mechanical,0.1904,0.0152,10.0,small
R5S,100,Validation,Mechanical,0.191,0.0153,10.0,small
R5S,110,Validation,Mechanical,0.1915,0.0153,10.0,small
R5S,120,Validation,Mechanical,0.1921,0.0154,10.0,small
R5S,130,Validation,Mechanical,0.1927,0.0154,10.0,small
R5S,140,Calibration,Mechanical,0.1933,0.0155,10.0,small
R5S,150,Calibration,Mechanical,0.1939,0.0155,10.0,small
R5S,160,Calibration,Mechanical,0.1945,0.0156,10.0,small
R5S,170,Calibration,Mechanical,0.195,0.0156,10.0,small
R5S,180,Validation,Mechanical,0.1956,0.0156,10.0,small
R5S,190,Calibration,Mechanical,0.1962,0.0157,10.0,small
R5S,200,Validation,Mechanical,0.1968,0.0157,10.0,small
R5S,210,Calibration,Mechanical,0.1974,0.0158,10.0,small
R5S,220,Validation,Mechanical,0.1979,0.0158,10.0,small
R5S,230,Calibration,Mechanical,0.1985,0.0159,10.0,small
R5S,240,Calibration,Mechanical,0.1991,0.0159,10.0,small
R5S,250,Calibration,Mechanical,0.1997,0.016,10.0,small
R5S,260,Calibration,Mechanical,0.2003,0.016,10.0,small
R5S,270,Calibration,Mechanical,0.2009,0.0161,10.0,small
R5S,280,Calibration,Mechanical,0.2014,0.0161,10.0,small
R5S,290,Validation,Mechanical,0.202,0.0162,10.0,small
R5S,300,Calibration,Mechanical,0.2026,0.0162,10.0,small
R5S,310,Calibration,Mechanical,0.2032,0.0163,10.0,small
R5S,320,Calibration,Mechanical,0.2038,0.0163,10.0,small
R5S,330,Validation,Mechanical,0.2043,0.0163,10.0,small
R5S,340,Calibration,Mechanical,0.2049,0.0164,10.0,small
R5S,350,Calibration,Mechanical,0.2055,0.0164,10.0,small
R5S,360,Calibration,Mechanical,0.2061,0.0165,10.0,small
R5S,370,Calibration,Mechanical,0.2067,0.0165,10.0,small
R5S,380,Calibration,Mechanical,0.2073,0.0166,10.0,small
R5S,390,Calibration,Mechanical,0.2078,0.0166,10.0,small
R5S,400,Calibration,Mechanical,0.2084,0.0167,10.0,small
R5S,410,Validation,Mechanical,0.209,0.0167,10.0,small
R5S,420,Calibration,Mechanical,0.2096,0.0168,10.0,small
R5S,430,Calibration,Mechanical,0.2102,0.0168,10.0,small
R5S,440,Calibration,Mechanical,0.2108,0.0169,10.0,small
R5S,450,Validation,Mechanical,0.2113,0.0169,10.0,small
R5S,460,Calibration,Mechanical,0.2119,0.017,10.0,small
R5S,470,Validation,Mechanical,0.2125,0.017,10.0,small
R5S,480,Calibration,Mechanical,0.2131,0.017,10.0,small
R5S,490,Calibration,Mechanical,0.2137,0.0171,10.0,small
R5S,500,Calibration,Mechanical,0.2142,0.0171,10.0,small
R5S,510,Validation,Mechanical,0.2148,0.0172,10.0,small
R5S,520,Calibration,Mechanical,0.2154,0.0172,10.0,small
R5S,530,Validation,Mechanical,0.216,0.0173,10.0,small
R5S,540,Validation,Mechanical,0.2166,0.0173,10.0,small
R5S,550,Calibration,Mechanical,0.2172,0.0174,10.0,small
R5S,560,Calibration,Mechanical,0.2177,0.0174,10.0,small
R5S,570,Calibration,Mechanical,0.2183,0.0175,10.0,small
R5S,580,Calibration,Mechanical,0.2189,0.0175,10.0,small
R5S,590,Validation,Mechanical,0.2195,0.0176,10.0,small
R5S,600,Validation,Mechanical,0.2201,0.0176,10.0,small
R5S,610,Calibration,Mechanical,0.2206,0.0177,10.0,small
R5S,620,Calibration,Mechanical,0.2212,0.0177,10.0,small
R5S,630,Validation,Mechanical,0.2218,0.0177,10.0,small
R5S,640,Calibration,Mechanical,0.2224,0.0178,10.0,small
R5S,650,Validation,Mechanical,0.223,0.0178,10.0,small
R5S,660,Calibration,Mechanical,0.2236,0.0179,10.0,small
R5S,670,Calibration,Mechanical,0.2241,0.0179,10.0,small
R5S,680,Calibration,Mechanical,0.2247,0.018,10.0,small
R5S,690,Calibration,Mechanical,0.2253,0.018,10.0,small
R5S,700,Calibration,Mechanical,0.2259,0.0181,10.0,small
R5S,710,Calibration,Mechanical,0.2265,0.0181,10.0,small
R5S,720,Calibration,Mechanical,0.2271,0.0182,10.0,small
R5S,730,Validation,Mechanical,0.2276,0.0182,10.0,small
R5S,740,Validation,Mechanical,0.2282,0.0183,10.0,small
R5S,750,Calibration,Mechanical,0.2288,0.0183,10.0,small
R5S,760,Calibration,Mechanical,0.2294,0.0184,10.0,small
R5S,770,Calibration,Mechanical,0.23,0.0184,10.0,small
R5S,780,Calibration,Mechanical,0.2305,0.0184,10.0,small
R5S,790,Calibration,Mechanical,0.2311,0.0185,10.0,small
R5S,800,Calibration,Mechanical,0.2317,0.0185,10.0,small
R10S,20,Calibration,Mechanical,0.1863,0.0149,10.0,small
R10S,30,Calibration,Mechanical,0.1869,0.0149,10.0,small
R10S,40,Calibration,Mechanical,0.1874,0.015,10.0,small
R10S,50,Calibration,Mechanical,0.188,0.015,10.0,small
R10S,60,Validation,Mechanical,0.1886,0.0151,10.0,small
R10S,70,Calibration,Mechanical,0.1891,0.0151,10.0,small
R10S,80,Calibration,Mechanical,0.1897,0.0152,10.0,small
R10S,90,Calibration,Mechanical,0.1903,0.0152,10.0,small
R10S,100,Calibration,Mechanical,0.1908,0.0153,10.0,small
R10S,110,Validation,Mechanical,0.1914,0.0153,10.0,small
R10S,120,Calibration,Mechanical,0.192,0.0154,10.0,small
R10S,130,Validation,Mechanical,0.1925,0.0154,10.0,small
R10S,140,Calibration,Mechanical,0.1931,0.0154,10.0,small
R10S,150,Calibration,Mechanical,0.1937,0.0155,10.0,small
R10S,160,Validation,Mechanical,0.1942,0.0155,10.0,small
R10S,170,Calibration,Mechanical,0.1948,0.0156,10.0,small
R10S,180,Calibration,Mechanical,0.1954,0.0156,10.0,small
R10S,190,Calibration,Mechanical,0.1959,0.0157,10.0,small
R10S,200,Calibration,Mechanical,0.1965,0.0157,10.0,small
R10S,210,Validation,Mechanical,0.1971,0.0158,10.0,small
R10S,220,Calibration,Mechanical,0.1976,0.0158,10.0,small
R10S,230,Calibration,Mechanical,0.1982,0.0159,10.0,small
R10S,240,Calibration,Mechanical,0.1988,0.0159,10.0,small
R10S,250,Calibration,Mechanical,0.1993,0.0159,10.0,small
R10S,260,Calibration,Mechanical,0.1999,0.016,10.0,small
R10S,270,Calibration,Mechanical,0.2005,0.016,10.0,small
R10S,280,Calibration,Mechanical,0.201,0.0161,10.0,small
R10S,290,Validation,Mechanical,0.2016,0.0161,10.0,small
R10S,300,Calibration,Mechanical,0.2022,0.0162,10.0,small
R10S,310,Calibration,Mechanical,0.2028,0.0162,10.0,small
R10S,320,Validation,Mechanical,0.2033,0.0163,10.0,small
R10S,330,Calibration,Mechanical,0.2039,0.0163,10.0,small
R10S,340,Calibration,Mechanical,0.2045,0.0164,10.0,small
R10S,350,Calibration,Mechanical,0.205,0.0164,10.0,small
R10S,360,Calibration,Mechanical,0.2056,0.0164,10.0,small
R10S,370,Calibration,Mechanical,0.2062,0.0165,10.0,small
R10S,380,Validation,Mechanical,0.2067,0.0165,10.0,small
R10S,390,Calibration,Mechanical,0.2073,0.0166,10.0,small
R10S,400,Calibration,Mechanical,0.2079,0.0166,10.0,small
R10S,410,Validation,Mechanical,0.2084,0.0167,10.0,small
R10S,420,Calibration,Mechanical,0.209,0.0167,10.0,small
R10S,430,Calibration,Mechanical,0.2096,0.0168,10.0,small
R10S,440,Calibration,Mechanical,0.2101,0.0168,10.0,small
R10S,450,Validation,Mechanical,0.2107,0.0169,10.0,small
R10S,460,Calibration,Mechanical,0.2113,0.0169,10.0,small
R10S,470,Calibration,Mechanical,0.2118,0.0169,10.0,small
R10S,480,Calibration,Mechanical,0.2124,0.017,10.0,small
R10S,490,Calibration,Mechanical,0.213,0.017,10.0,small
R10S,500,Calibration,Mechanical,0.2135,0.0171,10.0,small
R10S,510,Calibration,Mechanical,0.2141,0.0171,10.0,small
R10S,520,Validation,Mechanical,0.2147,0.0172,10.0,small
R10S,530,Calibration,Mechanical,0.2152,0.0172,10.0,small
R10S,540,Calibration,Mechanical,0.2158,0.0173,10.0,small
R10S,550,Validation,Mechanical,0.2164,0.0173,10.0,small
R10S,560,Validation,Mechanical,0.2169,0.0174,10.0,small
R10S,570,Calibration,Mechanical,0.2175,0.0174,10.0,small
R10S,580,Calibration,Mechanical,0.2181,0.0174,10.0,small
R10S,590,Calibration,Mechanical,0.2186,0.0175,10.0,small
R10S,600,Validation,Mechanical,0.2192,0.0175,10.0,small
R10S,610,Validation,Mechanical,0.2198,0.0176,10.0,small
R10S,620,Calibration,Mechanical,0.2203,0.0176,10.0,small
R10S,630,Validation,Mechanical,0.2209,0.0177,10.0,small
R10S,640,Calibration,Mechanical,0.2215,0.0177,10.0,small
R10S,650,Calibration,Mechanical,0.222,0.0178,10.0,small
R10S,660,Calibration,Mechanical,0.2226,0.0178,10.0,small
R10S,670,Validation,Mechanical,0.2232,0.0179,10.0,small
R10S,680,Calibration,Mechanical,0.2237,0.0179,10.0,small
R10S,690,Validation,Mechanical,0.2243,0.0179,10.0,small
R10S,700,Validation,Mechanical,0.2249,0.018,10.0,small
R10S,710,Validation,Mechanical,0.2254,0.018,10.0,small
R10S,720,Calibration,Mechanical,0.226,0.0181,10.0,small
R10S,730,Calibration,Mechanical,0.2266,0.0181,10.0,small
R10S,740,Calibration,Mechanical,0.2271,0.0182,10.0,small
R10S,750,Calibration,Mechanical,0.2277,0.0182,10.0,small
R10S,760,Calibration,Mechanical,0.2283,0.0183,10.0,small
R10S,770,Validation,Mechanical,0.2288,0.0183,10.0,small
R10S,780,Calibration,Mechanical,0.2294,0.0184,10.0,small
R10S,790,Calibration,Mechanical,0.23,0.0184,10.0,small
R10S,800,Calibration,Mechanical,0.2305,0.0184,10.0,small
R15S,20,Calibration,Mechanical,0.1894,0.0152,15.0,small
R15S,30,Calibration,Mechanical,0.19,0.0152,15.0,small
R15S,40,Calibration,Mechanical,0.1906,0.0152,15.0,small
R15S,50,Validation,Mechanical,0.1911,0.0153,15.0,small
R15S,60,Calibration,Mechanical,0.1917,0.0153,15.0,small
R15S,70,Validation,Mechanical,0.1923,0.0154,15.0,small
R15S,80,Validation,Mechanical,0.1928,0.0154,15.0,small
R15S,90,Calibration,Mechanical,0.1934,0.0155,15.0,small
R15S,100,Validation,Mechanical,0.1939,0.0155,15.0,small
R15S,110,Calibration,Mechanical,0.1945,0.0156,15.0,small
R15S,120,Validation,Mechanical,0.1951,0.0156,15.0,small
R15S,130,Calibration,Mechanical,0.1956,0.0157,15.0,small
R15S,140,Validation,Mechanical,0.1962,0.0157,15.0,small
R15S,150,Validation,Mechanical,0.1968,0.0157,15.0,small
R15S,160,Validation,Mechanical,0.1973,0.0158,15.0,small
R15S,170,Validation,Mechanical,0.1979,0.0158,15.0,small
R15S,180,Calibration,Mechanical,0.1984,0.0159,15.0,small
R15S,190,Calibration,Mechanical,0.199,0.0159,15.0,small
R15S,200,Calibration,Mechanical,0.1996,0.016,15.0,small
R15S,210,Calibration,Mechanical,0.2001,0.016,15.0,small
R15S,220,Calibration,Mechanical,0.2007,0.0161,15.0,small
R15S,230,Calibration,Mechanical,0.2012,0.0161,15.0,small
R15S,240,Validation,Mechanical,0.2018,0.0161,15.0,small
R15S,250,Calibration,Mechanical,0.2024,0.0162,15.0,small
R15S,260,Validation,Mechanical,0.2029,0.0162,15.0,small
R15S,270,Calibration,Mechanical,0.2035,0.0163,15.0,small
R15S,280,Validation,Mechanical,0.2041,0.0163,15.0,small
R15S,290,Validation,Mechanical,0.2046,0.0164,15.0,small
R15S,300,Calibration,Mechanical,0.2052,0.0164,15.0,small
R15S,310,Calibration,Mechanical,0.2057,0.0165,15.0,small
R15S,320,Validation,Mechanical,0.2063,0.0165,15.0,small
R15S,330,Calibration,Mechanical,0.2069,0.0165,15.0,small
R15S,340,Calibration,Mechanical,0.2074,0.0166,15.0,small
R15S,350,Calibration,Mechanical,0.208,0.0166,15.0,small
R15S,360,Calibration,Mechanical,0.2085,0.0167,15.0,small
R15S,370,Calibration,Mechanical,0.2091,0.0167,15.0,small
R15S,380,Calibration,Mechanical,0.2097,0.0168,15.0,small
R15S,390,Calibration,Mechanical,0.2102,0.0168,15.0,small
R15S,400,Calibration,Mechanical,0.2108,0.0169,15.0,small
R15S,410,Validation,Mechanical,0.2114,0.0169,15.0,small
R15S,420,Calibration,Mechanical,0.2119,0.017,15.0,small
R15S,430,Validation,Mechanical,0.2125,0.017,15.0,small
R15S,440,Calibration,Mechanical,0.213,0.017,15.0,small
R15S,450,Calibration,Mechanical,0.2136,0.0171,15.0,small
R15S,460,Calibration,Mechanical,0.2142,0.0171,15.0,small
R15S,470,Calibration,Mechanical,0.2147,0.0172,15.0,small
R15S,480,Calibration,Mechanical,0.2153,0.0172,15.0,small
R15S,490,Calibration,Mechanical,0.2158,0.0173,15.0,small
R15S,500,Calibration,Mechanical,0.2164,0.0173,15.0,small
R15S,510,Calibration,Mechanical,0.217,0.0174,15.0,small
R15S,520,Calibration,Mechanical,0.2175,0.0174,15.0,small
R15S,530,Calibration,Mechanical,0.2181,0.0174,15.0,small
R15S,540,Calibration,Mechanical,0.2187,0.0175,15.0,small
R15S,550,Validation,Mechanical,0.2192,0.0175,15.0,small
R15S,560,Calibration,Mechanical,0.2198,0.0176,15.0,small
R15S,570,Calibration,Mechanical,0.2203,0.0176,15.0,small
R15S,580,Validation,Mechanical,0.2209,0.0177,15.0,small
R15S,590,Calibration,Mechanical,0.2215,0.0177,15.0,small
R15S,600,Calibration,Mechanical,0.222,0.0178,15.0,small
R15S,610,Validation,Mechanical,0.2226,0.0178,15.0,small
R15S,620,Calibration,Mechanical,0.2232,0.0179,15.0,small
R15S,630,Calibration,Mechanical,0.2237,0.0179,15.0,small
R15S,640,Calibration,Mechanical,0.2243,0.0179,15.0,small
R15S,650,Calibration,Mechanical,0.2248,0.018,15.0,small
R15S,660,Calibration,Mechanical,0.2254,0.018,15.0,small
R15S,670,Calibration,Mechanical,0.226,0.0181,15.0,small
R15S,680,Calibration,Mechanical,0.2265,0.0181,15.0,small
R15S,690,Calibration,Mechanical,0.2271,0.0182,15.0,small
R15S,700,Validation,Mechanical,0.2276,0.0182,15.0,small
R15S,710,Validation,Mechanical,0.2282,0.0183,15.0,small
R15S,720,Calibration,Mechanical,0.2288,0.0183,15.0,small
R15S,730,Calibration,Mechanical,0.2293,0.0183,15.0,small
R15S,740,Calibration,Mechanical,0.2299,0.0184,15.0,small
R15S,750,Calibration,Mechanical,0.2305,0.0184,15.0,small
R15S,760,Calibration,Mechanical,0.231,0.0185,15.0,small
R15S,770,Calibration,Mechanical,0.2316,0.0185,15.0,small
R15S,780,Validation,Mechanical,0.2321,0.0186,15.0,small
R15S,790,Calibration,Mechanical,0.2327,0.0186,15.0,small
R15S,800,Calibration,Mechanical,0.2333,0.0187,15.0,small
R20S,20,Calibration,Mechanical,0.1926,0.0154,20.0,small
R20S,30,Calibration,Mechanical,0.1932,0.0155,20.0,small
R20S,40,Validation,Mechanical,0.1937,0.0155,20.0,small
R20S,50,Validation,Mechanical,0.1943,0.0155,20.0,small
R20S,60,Validation,Mechanical,0.1948,0.0156,20.0,small
R20S,70,Calibration,Mechanical,0.1954,0.0156,20.0,small
R20S,80,Calibration,Mechanical,0.1959,0.0157,20.0,small
R20S,90,Calibration,Mechanical,0.1965,0.0157,20.0,small
R20S,100,Calibration,Mechanical,0.197,0.0158,20.0,small
R20S,110,Calibration,Mechanical,0.1976,0.0158,20.0,small
R20S,120,Validation,Mechanical,0.1982,0.0159,20.0,small
R20S,130,Calibration,Mechanical,0.1987,0.0159,20.0,small
R20S,140,Calibration,Mechanical,0.1993,0.0159,20.0,small
R20S,150,Calibration,Mechanical,0.1998,0.016,20.0,small
R20S,160,Calibration,Mechanical,0.2004,0.016,20.0,small
R20S,170,Calibration,Mechanical,0.2009,0.0161,20.0,small
R20S,180,Validation,Mechanical,0.2015,0.0161,20.0,small
R20S,190,Validation,Mechanical,0.202,0.0162,20.0,small
R20S,200,Validation,Mechanical,0.2026,0.0162,20.0,small
R20S,210,Calibration,Mechanical,0.2032,0.0163,20.0,small
R20S,220,Calibration,Mechanical,0.2037,0.0163,20.0,small
R20S,230,Calibration,Mechanical,0.2043,0.0163,20.0,small
R20S,240,Calibration,Mechanical,0.2048,0.0164,20.0,small
R20S,250,Validation,Mechanical,0.2054,0.0164,20.0,small
R20S,260,Calibration,Mechanical,0.2059,0.0165,20.0,small
R20S,270,Calibration,Mechanical,0.2065,0.0165,20.0,small
R20S,280,Calibration,Mechanical,0.207,0.0166,20.0,small
R20S,290,Calibration,Mechanical,0.2076,0.0166,20.0,small
R20S,300,Validation,Mechanical,0.2082,0.0167,20.0,small
R20S,310,Calibration,Mechanical,0.2087,0.0167,20.0,small
R20S,320,Calibration,Mechanical,0.2093,0.0167,20.0,small
R20S,330,Calibration,Mechanical,0.2098,0.0168,20.0,small
R20S,340,Calibration,Mechanical,0.2104,0.0168,20.0,small
R20S,350,Validation,Mechanical,0.2109,0.0169,20.0,small
R20S,360,Validation,Mechanical,0.2115,0.0169,20.0,small
R20S,370,Validation,Mechanical,0.212,0.017,20.0,small
R20S,380,Validation,Mechanical,0.2126,0.017,20.0,small
R20S,390,Calibration,Mechanical,0.2132,0.0171,20.0,small
R20S,400,Calibration,Mechanical,0.2137,0.0171,20.0,small
R20S,410,Calibration,Mechanical,0.2143,0.0171,20.0,small
R20S,420,Calibration,Mechanical,0.2148,0.0172,20.0,small
R20S,430,Validation,Mechanical,0.2154,0.0172,20.0,small
R20S,440,Calibration,Mechanical,0.2159,0.0173,20.0,small
R20S,450,Validation,Mechanical,0.2165,0.0173,20.0,small
R20S,460,Calibration,Mechanical,0.217,0.0174,20.0,small
R20S,470,Calibration,Mechanical,0.2176,0.0174,20.0,small
R20S,480,Calibration,Mechanical,0.2182,0.0175,20.0,small
R20S,490,Validation,Mechanical,0.2187,0.0175,20.0,small
R20S,500,Calibration,Mechanical,0.2193,0.0175,20.0,small
R20S,510,Calibration,Mechanical,0.2198,0.0176,20.0,small
R20S,520,Calibration,Mechanical,0.2204,0.0176,20.0,small
R20S,530,Calibration,Mechanical,0.2209,0.0177,20.0,small
R20S,540,Calibration,Mechanical,0.2215,0.0177,20.0,small
R20S,550,Validation,Mechanical,0.222,0.0178,20.0,small
R20S,560,Calibration,Mechanical,0.2226,0.0178,20.0,small
R20S,570,Calibration,Mechanical,0.2232,0.0179,20.0,small
R20S,580,Calibration,Mechanical,0.2237,0.0179,20.0,small
R20S,590,Calibration,Mechanical,0.2243,0.0179,20.0,small
R20S,600,Validation,Mechanical,0.2248,0.018,20.0,small
R20S,610,Calibration,Mechanical,0.2254,0.018,20.0,small
R20S,620,Calibration,Mechanical,0.2259,0.0181,20.0,small
R20S,630,Calibration,Mechanical,0.2265,0.0181,20.0,small
R20S,640,Validation,Mechanical,0.227,0.0182,20.0,small
R20S,650,Validation,Mechanical,0.2276,0.0182,20.0,small
R20S,660,Calibration,Mechanical,0.2282,0.0183,20.0,small
R20S,670,Calibration,Mechanical,0.2287,0.0183,20.0,small
R20S,680,Calibration,Mechanical,0.2293,0.0183,20.0,small
R20S,690,Validation,Mechanical,0.2298,0.0184,20.0,small
R20S,700,Calibration,Mechanical,0.2304,0.0184,20.0,small
R20S,710,Calibration,Mechanical,0.2309,0.0185,20.0,small
R20S,720,Calibration,Mechanical,0.2315,0.0185,20.0,small
R20S,730,Calibration,Mechanical,0.232,0.0186,20.0,small
R20S,740,Calibration,Mechanical,0.2326,0.0186,20.0,small
R20S,750,Validation,Mechanical,0.2332,0.0187,20.0,small
R20S,760,Calibration,Mechanical,0.2337,0.0187,20.0,small
R20S,770,Calibration,Mechanical,0.2343,0.0187,20.0,small
R20S,780,Calibration,Mechanical,0.2348,0.0188,20.0,small
R20S,790,Validation,Mechanical,0.2354,0.0188,20.0,small
R20S,800,Calibration,Mechanical,0.2359,0.0189,20.0,small
R10L,20,Validation,Mechanical,0.1855,0.0148,10.0,large
R10L,30,Calibration,Mechanical,0.186,0.0149,10.0,large
R10L,40,Calibration,Mechanical,0.1866,0.0149,10.0,large
R10L,50,Calibration,Mechanical,0.1872,0.015,10.0,large
R10L,60,Calibration,Mechanical,0.1877,0.015,10.0,large
R10L,70,Calibration,Mechanical,0.1883,0.0151,10.0,large
R10L,80,Validation,Mechanical,0.1889,0.0151,10.0,large
R10L,90,Calibration,Mechanical,0.1894,0.0152,10.0,large
R10L,100,Calibration,Mechanical,0.19,0.0152,10.0,large
R10L,110,Calibration,Mechanical,0.1906,0.0152,10.0,large
R10L,120,Validation,Mechanical,0.1911,0.0153,10.0,large
R10L,130,Validation,Mechanical,0.1917,0.0153,10.0,large
R10L,140,Calibration,Mechanical,0.1923,0.0154,10.0,large
R10L,150,Validation,Mechanical,0.1928,0.0154,10.0,large
R10L,160,Calibration,Mechanical,0.1934,0.0155,10.0,large
R10L,170,Calibration,Mechanical,0.1939,0.0155,10.0,large
R10L,180,Validation,Mechanical,0.1945,0.0156,10.0,large
R10L,190,Validation,Mechanical,0.1951,0.0156,10.0,large
R10L,200,Calibration,Mechanical,0.1956,0.0157,10.0,large
R10L,210,Calibration,Mechanical,0.1962,0.0157,10.0,large
R10L,220,Calibration,Mechanical,0.1968,0.0157,10.0,large
R10L,230,Validation,Mechanical,0.1973,0.0158,10.0,large
R10L,240,Calibration,Mechanical,0.1979,0.0158,10.0,large
R10L,250,Calibration,Mechanical,0.1985,0.0159,10.0,large
R10L,260,Calibration,Mechanical,0.199,0.0159,10.0,large
R10L,270,Calibration,Mechanical,0.1996,0.016,10.0,large
R10L,280,Calibration,Mechanical,0.2002,0.016,10.0,large
R10L,290,Validation,Mechanical,0.2007,0.0161,10.0,large
R10L,300,Calibration,Mechanical,0.2013,0.0161,10.0,large
R10L,310,Calibration,Mechanical,0.2019,0.0161,10.0,large
R10L,320,Calibration,Mechanical,0.2024,0.0162,10.0,large
R10L,330,Validation,Mechanical,0.203,0.0162,10.0,large
R10L,340,Calibration,Mechanical,0.2036,0.0163,10.0,large
R10L,350,Calibration,Mechanical,0.2041,0.0163,10.0,large
R10L,360,Validation,Mechanical,0.2047,0.0164,10.0,large
R10L,370,Validation,Mechanical,0.2052,0.0164,10.0,large
