Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_W_mK,Thermal_Conductivity_Std,Specific_Heat_J_kgK,Specific_Heat_Std,Density_kg_m3,Density_Std,Compressive_Strength_MPa,Compressive_Strength_Std,Tensile_Strength_MPa,Tensile_Strength_Std,Elastic_Modulus_MPa,Elastic_Modulus_Std,Poisson_Ratio,Poisson_Ratio_Std,Fracture_Energy_N_m,Fracture_Energy_Std,Gas_Permeability_m2,Gas_Permeability_Std,Moisture_Diffusivity_m2_s,Moisture_Diffusivity_Std,Porosity,Porosity_Std,Thermal_Strain,Thermal_Strain_Std,Creep_Coefficient,Creep_Coefficient_Std,Shrinkage_Strain,Shrinkage_Strain_Std
C,780,Validation,Thermal,0.8441,0.0675,906.72,90.67,2119.66,63.59,,,,,,,,,,,,,,,,,,,,,,
C,800,Validation,Thermal,0.8314,0.0665,901.38,90.14,2119.6,63.59,,,,,,,,,,,,,,,,,,,,,,
R5S,20,Calibration,Thermal,2.1975,0.1758,926.02,92.6,2370.11,71.1,,,,,,,,,,,,,,,,,,,,,,
R5S,40,Calibration,Thermal,2.1827,0.1746,961.67,96.17,2359.7,70.79,,,,,,,,,,,,,,,,,,,,,,
R5S,60,Calibration,Thermal,2.1661,0.1733,1196.72,119.67,2350.59,70.52,,,,,,,,,,,,,,,,,,,,,,
R5S,80,Calibration,Thermal,2.1477,0.1718,1913.57,191.36,2342.62,70.28,,,,,,,,,,,,,,,,,,,,,,
R5S,100,Calibration,Thermal,2.1272,0.1702,2460.0,246.0,2335.64,70.07,,,,,,,,,,,,,,,,,,,,,,
R5S,120,Calibration,Thermal,2.1045,0.1684,1929.57,192.96,2329.53,69.89,,,,,,,,,,,,,,,,,,,,,,
R5S,140,Calibration,Thermal,2.0795,0.1664,1228.72,122.87,2324.19,69.73,,,,,,,,,,,,,,,,,,,,,,
R5S,160,Calibration,Thermal,2.0521,0.1642,1009.68,100.97,2319.51,69.59,,,,,,,,,,,,,,,,,,,,,,
R5S,180,Calibration,Thermal,2.0221,0.1618,990.03,99.0,2315.42,69.46,,,,,,,,,,,,,,,,,,,,,,
R5S,200,Calibration,Thermal,1.9895,0.1592,995.07,99.51,2311.84,69.36,,,,,,,,,,,,,,,,,,,,,,
R5S,220,Calibration,Thermal,1.9542,0.1563,1001.01,100.1,2308.7,69.26,,,,,,,,,,,,,,,,,,,,,,
R5S,240,Calibration,Thermal,1.9164,0.1533,1007.01,100.7,2305.96,69.18,,,,,,,,,,,,,,,,,,,,,,
R5S,260,Calibration,Thermal,1.876,0.1501,1014.04,101.4,2303.56,69.11,,,,,,,,,,,,,,,,,,,,,,
R5S,280,Calibration,Thermal,1.8332,0.1467,1024.55,102.45,2301.45,69.04,,,,,,,,,,,,,,,,,,,,,,
R5S,300,Calibration,Thermal,1.7882,0.1431,1043.78,104.38,2299.61,68.99,,,,,,,,,,,,,,,,,,,,,,
R5S,320,Calibration,Thermal,1.7412,0.1393,1080.85,108.09,2298.01,68.94,,,,,,,,,,,,,,,,,,,,,,
R5S,340,Calibration,Thermal,1.6926,0.1354,1147.98,114.8,2296.6,68.9,,,,,,,,,,,,,,,,,,,,,,
R5S,360,Calibration,Thermal,1.6427,0.1314,1255.85,125.59,2295.36,68.86,,,,,,,,,,,,,,,,,,,,,,
R5S,380,Calibration,Thermal,1.5918,0.1273,1404.83,140.48,2294.28,68.83,,,,,,,,,,,,,,,,,,,,,,
R5S,400,Calibration,Thermal,1.5406,0.1232,1576.31,157.63,2293.34,68.8,,,,,,,,,,,,,,,,,,,,,,
R5S,420,Calibration,Thermal,1.4893,0.1191,1731.85,173.19,2292.51,68.78,,,,,,,,,,,,,,,,,,,,,,
R5S,440,Calibration,Thermal,1.4385,0.1151,1825.8,182.58,2291.79,68.75,,,,,,,,,,,,,,,,,,,,,,
R5S,460,Calibration,Thermal,1.3885,0.1111,1826.8,182.68,2291.16,68.73,,,,,,,,,,,,,,,,,,,,,,
R5S,480,Calibration,Thermal,1.3399,0.1072,1734.85,173.49,2290.6,68.72,,,,,,,,,,,,,,,,,,,,,,
R5S,500,Calibration,Thermal,1.2929,0.1034,1581.31,158.13,2290.12,68.7,,,,,,,,,,,,,,,,,,,,,,
R5S,520,Calibration,Thermal,1.2479,0.0998,1411.83,141.18,2289.69,68.69,,,,,,,,,,,,,,,,,,,,,,
R5S,540,Calibration,Thermal,1.2051,0.0964,1264.85,126.49,2289.32,68.68,,,,,,,,,,,,,,,,,,,,,,
R5S,560,Calibration,Thermal,1.1647,0.0932,1158.98,115.9,2289.0,68.67,,,,,,,,,,,,,,,,,,,,,,
R5S,580,Calibration,Thermal,1.1269,0.0902,1093.85,109.39,2288.71,68.66,,,,,,,,,,,,,,,,,,,,,,
R5S,600,Calibration,Thermal,1.0917,0.0873,1058.78,105.88,2288.47,68.65,,,,,,,,,,,,,,,,,,,,,,
R5S,620,Calibration,Thermal,1.0591,0.0847,1041.55,104.15,2288.25,68.65,,,,,,,,,,,,,,,,,,,,,,
R5S,640,Calibration,Thermal,1.0291,0.0823,1033.04,103.3,2288.06,68.64,,,,,,,,,,,,,,,,,,,,,,
R5S,660,Calibration,Thermal,1.0016,0.0801,1028.01,102.8,2287.89,68.64,,,,,,,,,,,,,,,,,,,,,,
R5S,680,Calibration,Thermal,0.9766,0.0781,1024.01,102.4,2287.74,68.63,,,,,,,,,,,,,,,,,,,,,,
R5S,700,Calibration,Thermal,0.9539,0.0763,1020.05,102.0,2287.62,68.63,,,,,,,,,,,,,,,,,,,,,,
R5S,720,Calibration,Thermal,0.9334,0.0747,1015.81,101.58,2287.5,68.63,,,,,,,,,,,,,,,,,,,,,,
R5S,740,Calibration,Thermal,0.915,0.0732,1011.2,101.12,2287.41,68.62,,,,,,,,,,,,,,,,,,,,,,
R5S,760,Calibration,Thermal,0.8984,0.0719,1006.2,100.62,2287.32,68.62,,,,,,,,,,,,,,,,,,,,,,
R5S,780,Calibration,Thermal,0.8836,0.0707,1000.8,100.08,2287.25,68.62,,,,,,,,,,,,,,,,,,,,,,
R5S,800,Calibration,Thermal,0.8704,0.0696,995.0,99.5,2287.18,68.62,,,,,,,,,,,,,,,,,,,,,,
R5S,20,Validation,Thermal,2.2608,0.1809,952.68,95.27,2438.34,73.15,,,,,,,,,,,,,,,,,,,,,,
R5S,40,Validation,Thermal,2.2455,0.1796,989.36,98.94,2427.63,72.83,,,,,,,,,,,,,,,,,,,,,,
R5S,60,Validation,Thermal,2.2285,0.1783,1231.17,123.12,2418.26,72.55,,,,,,,,,,,,,,,,,,,,,,
R5S,80,Validation,Thermal,2.2095,0.1768,1968.66,196.87,2410.05,72.3,,,,,,,,,,,,,,,,,,,,,,
R5S,100,Validation,Thermal,2.1884,0.1751,2530.82,253.08,2402.88,72.09,,,,,,,,,,,,,,,,,,,,,,
R5S,120,Validation,Thermal,2.1651,0.1732,1985.12,198.51,2396.59,71.9,,,,,,,,,,,,,,,,,,,,,,
R5S,140,Validation,Thermal,2.1394,0.1711,1264.09,126.41,2391.1,71.73,,,,,,,,,,,,,,,,,,,,,,
R5S,160,Validation,Thermal,2.1111,0.1689,1038.74,103.87,2386.29,71.59,,,,,,,,,,,,,,,,,,,,,,
R5S,180,Validation,Thermal,2.0803,0.1664,1018.53,101.85,2382.07,71.46,,,,,,,,,,,,,,,,,,,,,,
R5S,200,Validation,Thermal,2.0467,0.1637,1023.71,102.37,2378.39,71.35,,,,,,,,,,,,,,,,,,,,,,
R5S,220,Validation,Thermal,2.0105,0.1608,1029.82,102.98,2375.16,71.25,,,,,,,,,,,,,,,,,,,,,,
R5S,240,Validation,Thermal,1.9716,0.1577,1036.0,103.6,2372.34,71.17,,,,,,,,,,,,,,,,,,,,,,
R5S,260,Validation,Thermal,1.93,0.1544,1043.23,104.32,2369.87,71.1,,,,,,,,,,,,,,,,,,,,,,
R5S,280,Validation,Thermal,1.886,0.1509,1054.04,105.4,2367.71,71.03,,,,,,,,,,,,,,,,,,,,,,
R5S,300,Validation,Thermal,1.8397,0.1472,1073.83,107.38,2365.82,70.97,,,,,,,,,,,,,,,,,,,,,,
R5S,320,Validation,Thermal,1.7914,0.1433,1111.97,111.2,2364.16,70.92,,,,,,,,,,,,,,,,,,,,,,
R5S,340,Validation,Thermal,1.7413,0.1393,1181.03,118.1,2362.71,70.88,,,,,,,,,,,,,,,,,,,,,,
R5S,360,Validation,Thermal,1.6899,0.1352,1292.0,129.2,2361.44,70.84,,,,,,,,,,,,,,,,,,,,,,
R5S,380,Validation,Thermal,1.6377,0.131,1445.28,144.53,2360.33,70.81,,,,,,,,,,,,,,,,,,,,,,
R5S,400,Validation,Thermal,1.5849,0.1268,1621.69,162.17,2359.36,70.78,,,,,,,,,,,,,,,,,,,,,,
R5S,420,Validation,Thermal,1.5322,0.1226,1781.71,178.17,2358.51,70.76,,,,,,,,,,,,,,,,,,,,,,
R5S,440,Validation,Thermal,1.4799,0.1184,1878.36,187.84,2357.77,70.73,,,,,,,,,,,,,,,,,,,,,,
R5S,460,Validation,Thermal,1.4285,0.1143,1879.39,187.94,2357.12,70.71,,,,,,,,,,,,,,,,,,,,,,
R5S,480,Validation,Thermal,1.3785,0.1103,1784.79,178.48,2356.55,70.7,,,,,,,,,,,,,,,,,,,,,,
R5S,500,Validation,Thermal,1.3301,0.1064,1626.83,162.68,2356.05,70.68,,,,,,,,,,,,,,,,,,,,,,
R5S,520,Validation,Thermal,1.2838,0.1027,1452.48,145.25,2355.61,70.67,,,,,,,,,,,,,,,,,,,,,,
R5S,540,Validation,Thermal,1.2398,0.0992,1301.26,130.13,2355.23,70.66,,,,,,,,,,,,,,,,,,,,,,
R5S,560,Validation,Thermal,1.1983,0.0959,1192.35,119.23,2354.89,70.65,,,,,,,,,,,,,,,,,,,,,,
R5S,580,Validation,Thermal,1.1593,0.0927,1125.34,112.53,2354.6,70.64,,,,,,,,,,,,,,,,,,,,,,
R5S,600,Validation,Thermal,1.1231,0.0898,1089.26,108.93,2354.35,70.63,,,,,,,,,,,,,,,,,,,,,,
R5S,620,Validation,Thermal,1.0895,0.0872,1071.53,107.15,2354.12,70.62,,,,,,,,,,,,,,,,,,,,,,
R5S,640,Validation,Thermal,1.0587,0.0847,1062.78,106.28,2353.93,70.62,,,,,,,,,,,,,,,,,,,,,,
R5S,660,Validation,Thermal,1.0304,0.0824,1057.61,105.76,2353.75,70.61,,,,,,,,,,,,,,,,,,,,,,
R5S,680,Validation,Thermal,1.0047,0.0804,1053.48,105.35,2353.6,70.61,,,,,,,,,,,,,,,,,,,,,,
R5S,700,Validation,Thermal,0.9814,0.0785,1049.41,104.94,2353.47,70.6,,,,,,,,,,,,,,,,,,,,,,
R5S,720,Validation,Thermal,0.9603,0.0768,1045.05,104.51,2353.36,70.6,,,,,,,,,,,,,,,,,,,,,,
R5S,740,Validation,Thermal,0.9413,0.0753,1040.31,104.03,2353.26,70.6,,,,,,,,,,,,,,,,,,,,,,
R5S,760,Validation,Thermal,0.9243,0.0739,1035.17,103.52,2353.17,70.6,,,,,,,,,,,,,,,,,,,,,,
R5S,780,Validation,Thermal,0.909,0.0727,1029.61,102.96,2353.09,70.59,,,,,,,,,,,,,,,,,,,,,,
R5S,800,Validation,Thermal,0.8954,0.0716,1023.64,102.36,2353.02,70.59,,,,,,,,,,,,,,,,,,,,,,
R10S,20,Calibration,Thermal,2.1143,0.1691,941.02,94.1,2352.2,70.57,,,,,,,,,,,,,,,,,,,,,,
R10S,40,Calibration,Thermal,2.1001,0.168,976.67,97.67,2341.87,70.26,,,,,,,,,,,,,,,,,,,,,,
R10S,60,Calibration,Thermal,2.0841,0.1667,1211.72,121.17,2332.83,69.98,,,,,,,,,,,,,,,,,,,,,,
R10S,80,Calibration,Thermal,2.0664,0.1653,1928.57,192.86,2324.91,69.75,,,,,,,,,,,,,,,,,,,,,,
R10S,100,Calibration,Thermal,2.0467,0.1637,2475.0,247.5,2317.99,69.54,,,,,,,,,,,,,,,,,,,,,,
R10S,120,Calibration,Thermal,2.0248,0.162,1944.57,194.46,2311.93,69.36,,,,,,,,,,,,,,,,,,,,,,
R10S,140,Calibration,Thermal,2.0008,0.1601,1243.72,124.37,2306.62,69.2,,,,,,,,,,,,,,,,,,,,,,
R10S,160,Calibration,Thermal,1.9744,0.1579,1024.68,102.47,2301.98,69.06,,,,,,,,,,,,,,,,,,,,,,
R10S,180,Calibration,Thermal,1.9455,0.1556,1005.03,100.5,2297.92,68.94,,,,,,,,,,,,,,,,,,,,,,
R10S,200,Calibration,Thermal,1.9142,0.1531,1010.07,101.01,2294.37,68.83,,,,,,,,,,,,,,,,,,,,,,
R10S,220,Calibration,Thermal,1.8803,0.1504,1016.01,101.6,2291.25,68.74,,,,,,,,,,,,,,,,,,,,,,
R10S,240,Calibration,Thermal,1.8439,0.1475,1022.01,102.2,2288.53,68.66,,,,,,,,,,,,,,,,,,,,,,
R10S,260,Calibration,Thermal,1.805,0.1444,1029.04,102.9,2286.15,68.58,,,,,,,,,,,,,,,,,,,,,,
R10S,280,Calibration,Thermal,1.7638,0.1411,1039.55,103.95,2284.06,68.52,,,,,,,,,,,,,,,,,,,,,,
R10S,300,Calibration,Thermal,1.7205,0.1376,1058.78,105.88,2282.24,68.47,,,,,,,,,,,,,,,,,,,,,,
R10S,320,Calibration,Thermal,1.6753,0.134,1095.85,109.59,2280.64,68.42,,,,,,,,,,,,,,,,,,,,,,
R10S,340,Calibration,Thermal,1.6285,0.1303,1162.98,116.3,2279.24,68.38,,,,,,,,,,,,,,,,,,,,,,
R10S,360,Calibration,Thermal,1.5805,0.1264,1270.85,127.09,2278.02,68.34,,,,,,,,,,,,,,,,,,,,,,
R10S,380,Calibration,Thermal,1.5316,0.1225,1419.83,141.98,2276.95,68.31,,,,,,,,,,,,,,,,,,,,,,
R10S,400,Calibration,Thermal,1.4822,0.1186,1591.31,159.13,2276.01,68.28,,,,,,,,,,,,,,,,,,,,,,
R10S,420,Calibration,Thermal,1.4329,0.1146,1746.85,174.69,2275.19,68.26,,,,,,,,,,,,,,,,,,,,,,
R10S,440,Calibration,Thermal,1.384,0.1107,1840.8,184.08,2274.47,68.23,,,,,,,,,,,,,,,,,,,,,,
R10S,460,Calibration,Thermal,1.336,0.1069,1841.8,184.18,2273.84,68.22,,,,,,,,,,,,,,,,,,,,,,
R10S,480,Calibration,Thermal,1.2892,0.1031,1749.85,174.99,2273.29,68.2,,,,,,,,,,,,,,,,,,,,,,
R10S,500,Calibration,Thermal,1.244,0.0995,1596.31,159.63,2272.81,68.18,,,,,,,,,,,,,,,,,,,,,,
R10S,520,Calibration,Thermal,1.2007,0.0961,1426.83,142.68,2272.39,68.17,,,,,,,,,,,,,,,,,,,,,,
R10S,540,Calibration,Thermal,1.1595,0.0928,1279.85,127.99,2272.02,68.16,,,,,,,,,,,,,,,,,,,,,,
R10S,560,Calibration,Thermal,1.1206,0.0897,1173.98,117.4,2271.7,68.15,,,,,,,,,,,,,,,,,,,,,,
R10S,580,Calibration,Thermal,1.0842,0.0867,1108.85,110.89,2271.42,68.14,,,,,,,,,,,,,,,,,,,,,,
R10S,600,Calibration,Thermal,1.0503,0.084,1073.78,107.38,2271.17,68.14,,,,,,,,,,,,,,,,,,,,,,
R10S,620,Calibration,Thermal,1.019,0.0815,1056.55,105.65,2270.96,68.13,,,,,,,,,,,,,,,,,,,,,,
R10S,640,Calibration,Thermal,0.9901,0.0792,1048.04,104.8,2270.77,68.12,,,,,,,,,,,,,,,,,,,,,,
R10S,660,Calibration,Thermal,0.9637,0.0771,1043.01,104.3,2270.6,68.12,,,,,,,,,,,,,,,,,,,,,,
R10S,680,Calibration,Thermal,0.9396,0.0752,1039.01,103.9,2270.46,68.11,,,,,,,,,,,,,,,,,,,,,,
R10S,700,Calibration,Thermal,0.9178,0.0734,1035.05,103.5,2270.33,68.11,,,,,,,,,,,,,,,,,,,,,,
R10S,720,Calibration,Thermal,0.8981,0.0718,1030.81,103.08,2270.22,68.11,,,,,,,,,,,,,,,,,,,,,,
R10S,740,Calibration,Thermal,0.8803,0.0704,1026.2,102.62,2270.12,68.1,,,,,,,,,,,,,,,,,,,,,,
R10S,760,Calibration,Thermal,0.8644,0.0692,1021.2,102.12,2270.04,68.1,,,,,,,,,,,,,,,,,,,,,,
R10S,780,Calibration,Thermal,0.8501,0.068,1015.8,101.58,2269.96,68.1,,,,,,,,,,,,,,,,,,,,,,
R10S,800,Calibration,Thermal,0.8374,0.067,1010.0,101.0,2269.9,68.1,,,,,,,,,,,,,,,,,,,,,,
R10S,20,Validation,Thermal,2.1865,0.1749,973.12,97.31,2432.43,72.97,,,,,,,,,,,,,,,,,,,,,,
R10S,40,Validation,Thermal,2.1717,0.1737,1009.99,101.0,2421.75,72.65,,,,,,,,,,,,,,,,,,,,,,
R10S,60,Validation,Thermal,2.1552,0.1724,1253.05,125.31,2412.4,72.37,,,,,,,,,,,,,,,,,,,,,,
R10S,80,Validation,Thermal,2.1369,0.171,1994.36,199.44,2404.22,72.13,,,,,,,,,,,,,,,,,,,,,,
R10S,100,Validation,Thermal,2.1165,0.1693,2559.43,255.94,2397.06,71.91,,,,,,,,,,,,,,,,,,,,,,
R10S,120,Validation,Thermal,2.0939,0.1675,2010.9,201.09,2390.79,71.72,,,,,,,,,,,,,,,,,,,,,,
