layer,x_index,y_index,thickness_um
anode,5,62,77.5
anode,5,63,77.5
anode,5,65,77.5
anode,5,67,80.0
anode,5,69,80.0
anode,5,71,75.0
anode,5,73,70.0
anode,5,75,70.0
anode,5,77,77.5
anode,5,79,70.0
anode,5,81,65.0
anode,5,83,65.0
anode,5,85,77.5
anode,5,87,85.0
anode,5,89,85.0
anode,5,91,60.0
anode,5,93,45.0
anode,5,95,0.0
anode,7,0,0.0
anode,7,1,92.5
anode,7,3,92.5
anode,7,5,92.5
anode,7,7,92.5
anode,7,9,82.5
anode,7,11,80.0
anode,7,13,60.0
anode,7,15,55.0
anode,7,17,57.5
anode,7,19,60.0
anode,7,21,65.0
anode,7,23,65.0
anode,7,25,62.5
anode,7,27,62.5
anode,7,29,65.0
anode,7,31,82.5
anode,7,32,92.5
anode,7,34,92.5
anode,7,36,92.5
anode,7,38,87.5
anode,7,40,87.5
anode,7,42,87.5
anode,7,44,75.0
anode,7,46,72.5
anode,7,48,72.5
anode,7,50,62.5
anode,7,52,70.0
anode,7,54,70.0
anode,7,56,75.0
anode,7,58,77.5
anode,7,60,72.5
anode,7,62,57.5
anode,7,63,55.0
anode,7,65,55.0
anode,7,67,75.0
anode,7,69,80.0
anode,7,71,80.0
anode,7,73,72.5
anode,7,75,72.5
anode,7,77,85.0
anode,7,79,82.5
anode,7,81,82.5
anode,7,83,92.5
anode,7,85,90.0
anode,7,87,92.5
anode,7,89,85.0
anode,7,91,75.0
anode,7,93,67.5
anode,7,95,0.0
anode,9,0,0.0
anode,9,1,92.5
anode,9,3,92.5
anode,9,5,92.5
anode,9,7,92.5
anode,9,9,85.0
anode,9,11,80.0
anode,9,13,60.0
anode,9,15,42.5
anode,9,17,40.0
anode,9,19,52.5
anode,9,21,62.5
anode,9,23,65.0
anode,9,25,62.5
anode,9,27,62.5
anode,9,29,65.0
anode,9,31,82.5
anode,9,32,85.0
anode,9,34,87.5
anode,9,36,87.5
anode,9,38,87.5
anode,9,40,85.0
anode,9,42,87.5
anode,9,44,92.5
anode,9,46,77.5
anode,9,48,75.0
anode,9,50,60.0
anode,9,52,60.0
anode,9,54,75.0
anode,9,56,82.5
anode,9,58,72.5
anode,9,60,67.5
anode,9,62,50.0
anode,9,63,55.0
anode,9,65,55.0
anode,9,67,62.5
anode,9,69,92.5
anode,9,71,92.5
anode,9,73,85.0
anode,9,75,85.0
anode,9,77,92.5
anode,9,79,80.0
anode,9,81,80.0
anode,9,83,90.0
anode,9,85,90.0
anode,9,87,92.5
anode,9,89,92.5
anode,9,91,75.0
anode,9,93,67.5
anode,9,95,0.0
anode,11,0,0.0
anode,11,1,92.5
anode,11,3,92.5
anode,11,5,92.5
anode,11,7,92.5
anode,11,9,87.5
anode,11,11,82.5
anode,11,13,80.0
anode,11,15,60.0
anode,11,17,45.0
anode,11,19,47.5
anode,11,21,65.0
anode,11,23,80.0
anode,11,25,67.5
anode,11,27,70.0
anode,11,29,80.0
anode,11,31,82.5
anode,11,32,82.5
anode,11,34,87.5
anode,11,36,87.5
anode,11,38,87.5
anode,11,40,87.5
anode,11,42,92.5
anode,11,44,92.5
anode,11,46,92.5
anode,11,48,67.5
anode,11,50,60.0
anode,11,52,60.0
anode,11,54,70.0
anode,11,56,75.0
anode,11,58,80.0
anode,11,60,72.5
anode,11,62,50.0
anode,11,63,57.5
anode,11,65,57.5
anode,11,67,67.5
anode,11,69,87.5
anode,11,71,77.5
anode,11,73,77.5
anode,11,75,90.0
anode,11,77,92.5
anode,11,79,77.5
anode,11,81,77.5
anode,11,83,75.0
anode,11,85,90.0
anode,11,87,92.5
anode,11,89,92.5
anode,11,91,85.0
anode,11,93,67.5
anode,11,95,0.0
anode,13,0,0.0
anode,13,1,80.0
anode,13,3,92.5
anode,13,5,92.5
anode,13,7,92.5
anode,13,9,92.5
anode,13,11,92.5
anode,13,13,92.5
anode,13,15,85.0
anode,13,17,62.5
anode,13,19,62.5
anode,13,21,65.0
anode,13,23,75.0
anode,13,25,77.5
anode,13,27,92.5
anode,13,29,92.5
anode,13,31,90.0
anode,13,32,80.0
anode,13,34,82.5
anode,13,36,92.5
anode,13,38,92.5
anode,13,40,92.5
anode,13,42,92.5
anode,13,44,92.5
anode,13,46,85.0
anode,13,48,67.5
anode,13,50,52.5
anode,13,52,50.0
anode,13,54,47.5
anode,13,56,60.0
anode,13,58,65.0
anode,13,60,67.5
anode,13,62,57.5
anode,13,63,65.0
anode,13,65,67.5
anode,13,67,67.5
anode,13,69,85.0
anode,13,71,75.0
anode,13,73,75.0
anode,13,75,87.5
anode,13,77,87.5
anode,13,79,77.5
anode,13,81,77.5
anode,13,83,77.5
anode,13,85,92.5
anode,13,87,85.0
anode,13,89,92.5
anode,13,91,85.0
anode,13,93,77.5
anode,13,95,0.0
anode,15,0,0.0
anode,15,1,75.0
anode,15,3,92.5
anode,15,5,92.5
anode,15,7,92.5
anode,15,9,92.5
anode,15,11,92.5
anode,15,13,92.5
anode,15,15,85.0
anode,15,17,75.0
anode,15,19,62.5
anode,15,21,62.5
anode,15,23,72.5
anode,15,25,75.0
anode,15,27,92.5
anode,15,29,92.5
anode,15,31,75.0
anode,15,32,70.0
anode,15,34,80.0
anode,15,36,82.5
anode,15,38,92.5
anode,15,40,80.0
anode,15,42,80.0
anode,15,44,70.0
anode,15,46,75.0
anode,15,48,72.5
anode,15,50,55.0
anode,15,52,47.5
anode,15,54,37.5
anode,15,56,47.5
anode,15,58,52.5
anode,15,60,60.0
anode,15,62,62.5
anode,15,63,62.5
anode,15,65,60.0
anode,15,67,60.0
anode,15,69,77.5
anode,15,71,87.5
anode,15,73,87.5
anode,15,75,87.5
anode,15,77,87.5
anode,15,79,92.5
anode,15,81,92.5
anode,15,83,92.5
anode,15,85,85.0
anode,15,87,57.5
anode,15,89,67.5
anode,15,91,85.0
anode,15,93,77.5
anode,15,95,0.0
anode,17,0,0.0
anode,17,1,72.5
anode,17,3,92.5
anode,17,5,92.5
anode,17,7,92.5
anode,17,9,92.5
anode,17,11,92.5
anode,17,13,92.5
anode,17,15,92.5
anode,17,17,75.0
anode,17,19,62.5
anode,17,21,62.5
anode,17,23,72.5
anode,17,25,82.5
anode,17,27,92.5
anode,17,29,80.0
anode,17,31,60.0
anode,17,32,60.0
anode,17,34,60.0
anode,17,36,57.5
anode,17,38,72.5
anode,17,40,72.5
anode,17,42,65.0
anode,17,44,65.0
anode,17,46,67.5
anode,17,48,67.5
anode,17,50,65.0
anode,17,52,60.0
anode,17,54,45.0
anode,17,56,50.0
anode,17,58,57.5
anode,17,60,57.5
anode,17,62,60.0
anode,17,63,60.0
anode,17,65,72.5
anode,17,67,80.0
anode,17,69,85.0
anode,17,71,92.5
anode,17,73,92.5
anode,17,75,92.5
anode,17,77,92.5
anode,17,79,92.5
anode,17,81,92.5
anode,17,83,70.0
anode,17,85,55.0
anode,17,87,45.0
anode,17,89,55.0
anode,17,91,60.0
anode,17,93,70.0
anode,17,95,0.0
anode,19,0,0.0
anode,19,1,85.0
anode,19,3,85.0
anode,19,5,92.5
anode,19,7,92.5
anode,19,9,82.5
anode,19,11,92.5
anode,19,13,92.5
anode,19,15,77.5
anode,19,17,77.5
anode,19,19,75.0
anode,19,21,75.0
anode,19,23,92.5
anode,19,25,92.5
anode,19,27,80.0
anode,19,29,77.5
anode,19,31,47.5
anode,19,32,42.5
anode,19,34,50.0
anode,19,36,52.5
anode,19,38,70.0
anode,19,40,70.0
anode,19,42,70.0
anode,19,44,65.0
anode,19,46,67.5
anode,19,48,82.5
anode,19,50,90.0
anode,19,52,87.5
anode,19,54,87.5
anode,19,56,75.0
anode,19,58,75.0
anode,19,60,70.0
anode,19,62,72.5
anode,19,63,72.5
anode,19,65,57.5
anode,19,67,62.5
anode,19,69,75.0
anode,19,71,85.0
anode,19,73,92.5
anode,19,75,92.5
anode,19,77,92.5
anode,19,79,92.5
anode,19,81,90.0
anode,19,83,60.0
anode,19,85,50.0
anode,19,87,40.0
anode,19,89,47.5
anode,19,91,47.5
anode,19,93,52.5
anode,19,95,0.0
anode,21,0,0.0
anode,21,1,82.5
anode,21,3,80.0
anode,21,5,80.0
anode,21,7,67.5
anode,21,9,67.5
anode,21,11,82.5
anode,21,13,75.0
anode,21,15,75.0
anode,21,17,75.0
anode,21,19,80.0
anode,21,21,77.5
anode,21,23,80.0
anode,21,25,77.5
anode,21,27,67.5
anode,21,29,65.0
anode,21,31,42.5
anode,21,32,37.5
anode,21,34,40.0
anode,21,36,50.0
anode,21,38,55.0
anode,21,40,70.0
anode,21,42,82.5
anode,21,44,82.5
anode,21,46,85.0
anode,21,48,82.5
anode,21,50,82.5
anode,21,52,82.5
anode,21,54,82.5
anode,21,56,82.5
anode,21,58,75.0
anode,21,60,75.0
anode,21,62,72.5
anode,21,63,62.5
anode,21,65,57.5
anode,21,67,57.5
anode,21,69,75.0
anode,21,71,85.0
anode,21,73,92.5
anode,21,75,92.5
anode,21,77,92.5
anode,21,79,92.5
anode,21,81,82.5
anode,21,83,65.0
anode,21,85,62.5
anode,21,87,40.0
anode,21,89,40.0
anode,21,91,37.5
anode,21,93,45.0
anode,21,95,0.0
anode,23,0,0.0
anode,23,1,77.5
anode,23,3,75.0
anode,23,5,72.5
anode,23,7,72.5
anode,23,9,72.5
anode,23,11,72.5
anode,23,13,60.0
anode,23,15,65.0
anode,23,17,65.0
anode,23,19,77.5
anode,23,21,70.0
anode,23,23,72.5
anode,23,25,70.0
anode,23,27,70.0
anode,23,29,57.5
anode,23,31,35.0
anode,23,32,35.0
anode,23,34,32.5
anode,23,36,45.0
anode,23,38,67.5
anode,23,40,80.0
anode,23,42,92.5
anode,23,44,92.5
anode,23,46,92.5
anode,23,48,82.5
anode,23,50,70.0
anode,23,52,70.0
anode,23,54,72.5
anode,23,56,80.0
anode,23,58,80.0
anode,23,60,82.5
anode,23,62,72.5
anode,23,63,72.5
anode,23,65,67.5
anode,23,67,70.0
anode,23,69,77.5
anode,23,71,92.5
anode,23,73,92.5
anode,23,75,92.5
anode,23,77,92.5
anode,23,79,85.0
anode,23,81,85.0
anode,23,83,70.0
anode,23,85,50.0
anode,23,87,32.5
anode,23,89,35.0
anode,23,91,60.0
anode,23,93,40.0
anode,23,95,0.0
anode,25,0,0.0
anode,25,1,75.0
anode,25,3,75.0
anode,25,5,72.5
anode,25,7,72.5
anode,25,9,72.5
anode,25,11,72.5
anode,25,13,62.5
anode,25,15,67.5
anode,25,17,67.5
anode,25,19,77.5
anode,25,21,77.5
anode,25,23,80.0
anode,25,25,72.5
anode,25,27,72.5
anode,25,29,62.5
anode,25,31,55.0
anode,25,32,52.5
anode,25,34,67.5
anode,25,36,70.0
anode,25,38,82.5
anode,25,40,92.5
anode,25,42,92.5
anode,25,44,92.5
anode,25,46,85.0
anode,25,48,80.0
anode,25,50,72.5
anode,25,52,72.5
anode,25,54,77.5
anode,25,56,90.0
anode,25,58,82.5
anode,25,60,77.5
anode,25,62,77.5
anode,25,63,75.0
anode,25,65,80.0
anode,25,67,82.5
anode,25,69,85.0
anode,25,71,85.0
anode,25,73,82.5
anode,25,75,92.5
anode,25,77,92.5
anode,25,79,72.5
anode,25,81,75.0
anode,25,83,60.0
anode,25,85,35.0
anode,25,87,32.5
anode,25,89,32.5
anode,25,91,37.5
anode,25,93,55.0
anode,25,95,0.0
anode,27,0,0.0
anode,27,1,75.0
anode,27,3,72.5
anode,27,5,72.5
anode,27,7,62.5
anode,27,9,60.0
anode,27,11,65.0
anode,27,13,75.0
anode,27,15,90.0
anode,27,17,72.5
anode,27,19,67.5
anode,27,21,77.5
anode,27,23,87.5
anode,27,25,87.5
anode,27,27,85.0
anode,27,29,77.5
anode,27,31,72.5
anode,27,32,70.0
anode,27,34,70.0
anode,27,36,70.0
anode,27,38,92.5
anode,27,40,92.5
anode,27,42,92.5
anode,27,44,92.5
anode,27,46,87.5
anode,27,48,72.5
anode,27,50,72.5
anode,27,52,72.5
anode,27,54,75.0
anode,27,56,92.5
anode,27,58,92.5
anode,27,60,82.5
anode,27,62,80.0
anode,27,63,80.0
anode,27,65,80.0
anode,27,67,82.5
anode,27,69,92.5
anode,27,71,82.5
anode,27,73,82.5
anode,27,75,92.5
anode,27,77,70.0
anode,27,79,62.5
anode,27,81,65.0
anode,27,83,60.0
anode,27,85,27.5
anode,27,87,20.0
anode,27,89,32.5
anode,27,91,40.0
anode,27,93,62.5
anode,27,95,0.0
anode,29,0,0.0
anode,29,1,72.5
anode,29,3,72.5
anode,29,5,72.5
anode,29,7,65.0
anode,29,9,65.0
anode,29,11,75.0
anode,29,13,92.5
anode,29,15,90.0
anode,29,17,72.5
anode,29,19,62.5
anode,29,21,65.0
anode,29,23,77.5
anode,29,25,80.0
anode,29,27,75.0
anode,29,29,77.5
anode,29,31,72.5
anode,29,32,70.0
anode,29,34,70.0
anode,29,36,92.5
anode,29,38,92.5
anode,29,40,92.5
anode,29,42,92.5
anode,29,44,87.5
anode,29,46,87.5
anode,29,48,75.0
anode,29,50,67.5
anode,29,52,62.5
anode,29,54,72.5
anode,29,56,80.0
anode,29,58,80.0
anode,29,60,80.0
anode,29,62,77.5
anode,29,63,77.5
anode,29,65,77.5
anode,29,67,85.0
anode,29,69,85.0
anode,29,71,75.0
anode,29,73,67.5
anode,29,75,72.5
anode,29,77,72.5
anode,29,79,62.5
anode,29,81,62.5
anode,29,83,67.5
anode,29,85,40.0
anode,29,87,30.0
anode,29,89,35.0
anode,29,91,57.5
anode,29,93,67.5
anode,29,95,0.0
anode,31,0,0.0
anode,31,1,92.5
anode,31,3,92.5
anode,31,5,92.5
anode,31,7,85.0
anode,31,9,85.0
anode,31,11,92.5
anode,31,13,92.5
anode,31,15,90.0
anode,31,17,82.5
anode,31,19,72.5
anode,31,21,70.0
anode,31,23,77.5
anode,31,25,77.5
anode,31,27,77.5
anode,31,29,65.0
anode,31,31,52.5
anode,31,32,65.0
anode,31,34,82.5
anode,31,36,85.0
anode,31,38,92.5
anode,31,40,92.5
anode,31,42,92.5
anode,31,44,87.5
anode,31,46,87.5
anode,31,48,85.0
anode,31,50,75.0
anode,31,52,65.0
anode,31,54,60.0
anode,31,56,60.0
anode,31,58,55.0
anode,31,60,52.5
anode,31,62,57.5
anode,31,63,77.5
anode,31,65,77.5
anode,31,67,82.5
anode,31,69,82.5
anode,31,71,82.5
anode,31,73,67.5
anode,31,75,67.5
anode,31,77,77.5
anode,31,79,77.5
anode,31,81,75.0
anode,31,83,72.5
anode,31,85,72.5
anode,31,87,62.5
anode,31,89,62.5
anode,31,91,72.5
anode,31,93,92.5
anode,31,95,0.0
anode,32,0,0.0
anode,32,1,92.5
anode,32,3,92.5
anode,32,5,92.5
anode,32,7,92.5
anode,32,9,92.5
anode,32,11,92.5
anode,32,13,92.5
anode,32,15,90.0
anode,32,17,82.5
anode,32,19,72.5
anode,32,21,72.5
anode,32,23,77.5
anode,32,25,75.0
anode,32,27,75.0
anode,32,29,65.0
anode,32,31,60.0
anode,32,32,80.0
anode,32,34,80.0
anode,32,36,82.5
anode,32,38,85.0
anode,32,40,92.5
anode,32,42,92.5
anode,32,44,92.5
anode,32,46,92.5
anode,32,48,85.0
anode,32,50,77.5
anode,32,52,75.0
anode,32,54,60.0
anode,32,56,57.5
anode,32,58,50.0
anode,32,60,50.0
anode,32,62,50.0
anode,32,63,72.5
anode,32,65,80.0
anode,32,67,85.0
anode,32,69,82.5
anode,32,71,82.5
anode,32,73,65.0
anode,32,75,65.0
anode,32,77,85.0
anode,32,79,72.5
anode,32,81,77.5
anode,32,83,75.0
anode,32,85,72.5
anode,32,87,72.5
anode,32,89,75.0
anode,32,91,82.5
anode,32,93,92.5
anode,32,95,0.0
anode,34,0,0.0
anode,34,1,92.5
anode,34,3,92.5
anode,34,5,92.5
anode,34,7,92.5
anode,34,9,92.5
anode,34,11,92.5
anode,34,13,92.5
anode,34,15,90.0
anode,34,17,80.0
anode,34,19,77.5
anode,34,21,82.5
anode,34,23,72.5
anode,34,25,75.0
anode,34,27,75.0
anode,34,29,70.0
anode,34,31,67.5
anode,34,32,72.5
anode,34,34,80.0
anode,34,36,80.0
anode,34,38,80.0
anode,34,40,85.0
anode,34,42,92.5
anode,34,44,92.5
anode,34,46,92.5
anode,34,48,92.5
anode,34,50,85.0
anode,34,52,77.5
anode,34,54,70.0
anode,34,56,57.5
anode,34,58,60.0
anode,34,60,57.5
anode,34,62,67.5
anode,34,63,75.0
anode,34,65,67.5
anode,34,67,92.5
anode,34,69,92.5
anode,34,71,82.5
anode,34,73,80.0
anode,34,75,80.0
anode,34,77,80.0
anode,34,79,80.0
anode,34,81,80.0
anode,34,83,80.0
anode,34,85,67.5
anode,34,87,77.5
anode,34,89,85.0
anode,34,91,92.5
anode,34,93,92.5
anode,34,95,0.0
anode,36,0,0.0
anode,36,1,85.0
anode,36,3,82.5
anode,36,5,80.0
anode,36,7,80.0
anode,36,9,92.5
anode,36,11,92.5
anode,36,13,92.5
anode,36,15,92.5
anode,36,17,72.5
anode,36,19,67.5
anode,36,21,72.5
anode,36,23,87.5
anode,36,25,85.0
anode,36,27,82.5
anode,36,29,75.0
anode,36,31,80.0
anode,36,32,80.0
anode,36,34,80.0
anode,36,36,80.0
anode,36,38,80.0
anode,36,40,82.5
anode,36,42,92.5
anode,36,44,92.5
anode,36,46,92.5
anode,36,48,92.5
anode,36,50,92.5
anode,36,52,80.0
anode,36,54,75.0
anode,36,56,62.5
anode,36,58,57.5
anode,36,60,65.0
anode,36,62,65.0
anode,36,63,75.0
anode,36,65,75.0
anode,36,67,90.0
anode,36,69,92.5
anode,36,71,92.5
anode,36,73,82.5
anode,36,75,82.5
anode,36,77,72.5
anode,36,79,77.5
anode,36,81,77.5
anode,36,83,82.5
anode,36,85,85.0
anode,36,87,92.5
anode,36,89,85.0
anode,36,91,85.0
anode,36,93,85.0
anode,36,95,0.0
anode,38,0,0.0
anode,38,1,82.5
anode,38,3,80.0
anode,38,5,77.5
anode,38,7,77.5
anode,38,9,82.5
anode,38,11,85.0
anode,38,13,92.5
anode,38,15,82.5
anode,38,17,72.5
anode,38,19,70.0
anode,38,21,72.5
anode,38,23,82.5
anode,38,25,92.5
anode,38,27,85.0
anode,38,29,85.0
anode,38,31,82.5
anode,38,32,82.5
anode,38,34,80.0
anode,38,36,80.0
anode,38,38,80.0
anode,38,40,80.0
anode,38,42,82.5
anode,38,44,92.5
anode,38,46,92.5
anode,38,48,87.5
anode,38,50,87.5
anode,38,52,80.0
anode,38,54,80.0
anode,38,56,65.0
anode,38,58,65.0
anode,38,60,75.0
anode,38,62,65.0
anode,38,63,70.0
anode,38,65,77.5
anode,38,67,90.0
anode,38,69,92.5
anode,38,71,92.5
anode,38,73,82.5
anode,38,75,80.0
anode,38,77,70.0
anode,38,79,72.5
anode,38,81,80.0
anode,38,83,92.5
anode,38,85,92.5
anode,38,87,92.5
anode,38,89,85.0
anode,38,91,85.0
anode,38,93,75.0
anode,38,95,0.0
anode,40,0,0.0
anode,40,1,82.5
anode,40,3,80.0
anode,40,5,80.0
anode,40,7,80.0
anode,40,9,82.5
anode,40,11,85.0
anode,40,13,80.0
anode,40,15,80.0
anode,40,17,72.5
anode,40,19,72.5
anode,40,21,80.0
anode,40,23,80.0
anode,40,25,80.0
anode,40,27,85.0
anode,40,29,85.0
anode,40,31,90.0
anode,40,32,75.0
anode,40,34,60.0
anode,40,36,50.0
anode,40,38,60.0
anode,40,40,77.5
anode,40,42,75.0
anode,40,44,87.5
anode,40,46,87.5
anode,40,48,85.0
anode,40,50,85.0
anode,40,52,87.5
anode,40,54,82.5
anode,40,56,85.0
anode,40,58,82.5
anode,40,60,80.0
anode,40,62,80.0
anode,40,63,82.5
anode,40,65,92.5
anode,40,67,90.0
anode,40,69,80.0
anode,40,71,77.5
anode,40,73,72.5
anode,40,75,77.5
anode,40,77,67.5
anode,40,79,62.5
anode,40,81,77.5
anode,40,83,92.5
anode,40,85,92.5
anode,40,87,92.5
anode,40,89,92.5
anode,40,91,92.5
anode,40,93,92.5
anode,40,95,0.0
anode,42,0,0.0
anode,42,1,82.5
anode,42,3,80.0
anode,42,5,80.0
anode,42,7,80.0
anode,42,9,82.5
anode,42,11,82.5
anode,42,13,80.0
anode,42,15,80.0
anode,42,17,80.0
anode,42,19,85.0
anode,42,21,80.0
anode,42,23,80.0
anode,42,25,77.5
anode,42,27,82.5
anode,42,29,85.0
anode,42,31,90.0
anode,42,32,72.5
anode,42,34,52.5
anode,42,36,50.0
anode,42,38,50.0
anode,42,40,70.0
anode,42,42,75.0
anode,42,44,87.5
anode,42,46,85.0
anode,42,48,85.0
anode,42,50,85.0
anode,42,52,87.5
anode,42,54,90.0
anode,42,56,92.5
anode,42,58,92.5
anode,42,60,92.5
anode,42,62,92.5
anode,42,63,92.5
anode,42,65,92.5
anode,42,67,90.0
anode,42,69,72.5
anode,42,71,72.5
anode,42,73,72.5
anode,42,75,57.5
anode,42,77,65.0
anode,42,79,60.0
anode,42,81,70.0
anode,42,83,92.5
anode,42,85,92.5
anode,42,87,92.5
anode,42,89,92.5
anode,42,91,92.5
anode,42,93,92.5
anode,42,95,0.0
anode,44,0,0.0
anode,44,1,82.5
anode,44,3,82.5
anode,44,5,80.0
anode,44,7,82.5
anode,44,9,82.5
anode,44,11,82.5
anode,44,13,77.5
anode,44,15,80.0
anode,44,17,75.0
anode,44,19,80.0
anode,44,21,85.0
anode,44,23,80.0
anode,44,25,80.0
anode,44,27,80.0
anode,44,29,90.0
anode,44,31,90.0
anode,44,32,77.5
anode,44,34,60.0
anode,44,36,52.5
anode,44,38,52.5
anode,44,40,75.0
anode,44,42,80.0
anode,44,44,90.0
anode,44,46,87.5
anode,44,48,87.5
anode,44,50,87.5
anode,44,52,82.5
anode,44,54,92.5
anode,44,56,92.5
anode,44,58,92.5
anode,44,60,92.5
anode,44,62,92.5
anode,44,63,92.5
anode,44,65,92.5
anode,44,67,90.0
anode,44,69,72.5
anode,44,71,65.0
anode,44,73,65.0
anode,44,75,57.5
anode,44,77,67.5
anode,44,79,70.0
anode,44,81,77.5
anode,44,83,92.5
anode,44,85,92.5
anode,44,87,92.5
anode,44,89,85.0
anode,44,91,80.0
anode,44,93,80.0
anode,44,95,0.0
anode,46,0,0.0
anode,46,1,85.0
anode,46,3,85.0
anode,46,5,85.0
anode,46,7,85.0
anode,46,9,82.5
anode,46,11,77.5
anode,46,13,77.5
anode,46,15,72.5
anode,46,17,72.5
anode,46,19,60.0
anode,46,21,60.0
anode,46,23,80.0
anode,46,25,90.0
anode,46,27,90.0
anode,46,29,90.0
anode,46,31,90.0
anode,46,32,90.0
anode,46,34,57.5
anode,46,36,47.5
anode,46,38,62.5
anode,46,40,77.5
anode,46,42,82.5
anode,46,44,92.5
anode,46,46,92.5
anode,46,48,85.0
anode,46,50,85.0
anode,46,52,85.0
anode,46,54,85.0
anode,46,56,92.5
anode,46,58,92.5
anode,46,60,92.5
anode,46,62,92.5
anode,46,63,92.5
anode,46,65,92.5
anode,46,67,92.5
anode,46,69,70.0
anode,46,71,62.5
anode,46,73,65.0
anode,46,75,70.0
anode,46,77,70.0
anode,46,79,80.0
anode,46,81,92.5
anode,46,83,92.5
anode,46,85,92.5
anode,46,87,92.5
anode,46,89,80.0
anode,46,91,77.5
anode,46,93,77.5
anode,46,95,0.0
anode,48,0,0.0
anode,48,1,85.0
anode,48,3,85.0
anode,48,5,85.0
anode,48,7,80.0
anode,48,9,57.5
anode,48,11,52.5
anode,48,13,47.5
anode,48,15,40.0
anode,48,17,30.0
anode,48,19,27.5
anode,48,21,30.0
anode,48,23,30.0
anode,48,25,47.5
anode,48,27,67.5
anode,48,29,72.5
anode,48,31,77.5
anode,48,32,65.0
anode,48,34,65.0
