temperature_C,frequency_Hz,sound_speed_m_per_s,density_kg_per_m3,viscosity_Pa_s,attenuation_dB_per_m,acoustic_impedance_Pa_s_per_m,medium
12.0,100000,1455.0247440770047,999.4995644724918,0.0028875200012468956,2.1439742141047917,1454296.598001665,water
13.0,100,1458.7559351182952,999.3791028008112,0.0017641129791355623,1.2999795658974828e-06,1457850.1976438803,water
13.0,1000,1458.7559351182952,999.3791028008112,0.0017641129791355623,0.00012999795658974827,1457850.1976438803,water
13.0,10000,1458.7559351182952,999.3791028008112,0.0017641129791355623,0.01299979565897483,1457850.1976438803,water
13.0,100000,1458.7559351182952,999.3791028008112,0.0017641129791355623,1.2999795658974826,1457850.1976438803,water
14.0,100,1462.3941234414337,999.2462574223248,0.0011147141481400052,8.154286871356728e-07,1461291.854725254,water
14.0,1000,1462.3941234414337,999.2462574223248,0.0011147141481400052,8.154286871356727e-05,1461291.854725254,water
14.0,10000,1462.3941234414337,999.2462574223248,0.0011147141481400052,0.008154286871356728,1461291.854725254,water
14.0,100000,1462.3941234414337,999.2462574223248,0.0011147141481400052,0.8154286871356726,1461291.854725254,water
15.0,100,1465.9408705475,999.1013351263766,0.0007285114054922397,5.291341106631696e-07,1464623.4809803301,water
15.0,1000,1465.9408705475,999.1013351263766,0.0007285114054922397,5.291341106631695e-05,1464623.4809803301,water
15.0,10000,1465.9408705475,999.1013351263766,0.0007285114054922397,0.005291341106631695,1464623.4809803301,water
15.0,100000,1465.9408705475,999.1013351263766,0.0007285114054922397,0.5291341106631694,1464623.4809803301,water
16.0,100,1469.3977077515265,998.9446279634528,0.0004924304742664894,3.5520063582826305e-07,1467846.946500199,water
16.0,1000,1469.3977077515265,998.9446279634528,0.0004924304742664894,3.55200635828263e-05,1467846.946500199,water
16.0,10000,1469.3977077515265,998.9446279634528,0.0004924304742664894,0.00355200635828263,1467846.946500199,water
16.0,100000,1469.3977077515265,998.9446279634528,0.0004924304742664894,0.355200635828263,1467846.946500199,water
17.0,100,1472.7661365600648,998.7764141197857,0.0003442620985470035,2.466651910322049e-07,1470964.0807105121,water
17.0,1000,1472.7661365600648,998.7764141197857,0.0003442620985470035,2.466651910322049e-05,1470964.0807105121,water
17.0,10000,1472.7661365600648,998.7764141197857,0.0003442620985470035,0.002466651910322049,1470964.0807105121,water
17.0,100000,1472.7661365600648,998.7764141197857,0.0003442620985470035,0.24666519103220488,1470964.0807105121,water
18.0,100,1476.0476290487552,998.5969587304128,0.00024892540708497493,1.7720100273863304e-07,1473976.6733093234,water
18.0,1000,1476.0476290487552,998.5969587304128,0.00024892540708497493,1.7720100273863302e-05,1473976.6733093234,water
18.0,10000,1476.0476290487552,998.5969587304128,0.00024892540708497493,0.0017720100273863303,1473976.6733093234,water
18.0,100000,1476.0476290487552,998.5969587304128,0.00024892540708497493,0.17720100273863298,1473976.6733093234,water
19.0,100,1479.2436282398937,998.4065146356793,0.00018615939733604357,1.3168816289154364e-07,1476886.4751680288,water
19.0,1000,1479.2436282398937,998.4065146356793,0.00018615939733604357,1.3168816289154362e-05,1476886.4751680288,water
19.0,10000,1479.2436282398937,998.4065146356793,0.00018615939733604357,0.001316881628915436,1476886.4751680288,water
19.0,100000,1479.2436282398937,998.4065146356793,0.00018615939733604357,0.13168816289154361,1476886.4751680288,water
20.0,100,1482.35554848,998.2053230857241,0.00014399135767725833,1.012389653339738e-07,1479695.199198394,water
20.0,1000,1482.35554848,998.2053230857241,0.00014399135767725833,1.012389653339738e-05,1479695.199198394,water
20.0,10000,1482.35554848,998.2053230857241,0.00014399135767725833,0.001012389653339738,1479695.199198394,water
20.0,100000,1482.35554848,998.2053230857241,0.00014399135767725833,0.1012389653339738,1479695.199198394,water
21.0,100,1485.3847758173865,997.9936143970747,0.00011519234330018412,8.051322966703232e-08,1482404.521188382,water
21.0,1000,1485.3847758173865,997.9936143970747,0.00011519234330018412,8.05132296670323e-06,1482404.521188382,water
21.0,10000,1485.3847758173865,997.9936143970747,0.00011519234330018412,0.0008051322966703231,1482404.521188382,water
21.0,100000,1485.3847758173865,997.9936143970747,0.00011519234330018412,0.08051322966703231,1482404.521188382,water
22.0,100,1488.3326683797247,997.7716085651057,9.531176751129568e-05,6.623745548881576e-08,1485016.080609234,water
22.0,1000,1488.3326683797247,997.7716085651057,9.531176751129568e-05,6.623745548881574e-06,1485016.080609234,water
22.0,10000,1488.3326683797247,997.7716085651057,9.531176751129568e-05,0.0006623745548881576,1485016.080609234,water
22.0,100000,1488.3326683797247,997.7716085651057,9.531176751129568e-05,0.06623745548881575,1485016.080609234,water
23.0,100,1491.2005567516148,997.5395158357844,8.156524740794524e-05,5.637092749675224e-08,1487531.481396058,water
23.0,1000,1491.2005567516148,997.5395158357844,8.156524740794524e-05,5.637092749675223e-06,1487531.481396058,water
23.0,10000,1491.2005567516148,997.5395158357844,8.156524740794524e-05,0.0005637092749675224,1487531.481396058,water
23.0,100000,1491.2005567516148,997.5395158357844,8.156524740794524e-05,0.05637092749675223,1487531.481396058,water
24.0,100,1493.9897443521536,997.2975372398264,7.219373589261757e-05,4.962725154162813e-08,1489952.2927039606,water
24.0,1000,1493.9897443521536,997.2975372398264,7.219373589261757e-05,4.962725154162813e-06,1489952.2927039606,water
24.0,10000,1493.9897443521536,997.2975372398264,7.219373589261757e-05,0.0004962725154162813,1489952.2927039606,water
24.0,100000,1493.9897443521536,997.2975372398264,7.219373589261757e-05,0.04962725154162813,1489952.2927039606,water
25.0,100,1496.7015078125,997.0458650921132,6.608906365424928e-05,4.519570614463052e-08,1492280.0496415843,water
25.0,1000,1496.7015078125,997.0458650921132,6.608906365424928e-05,4.519570614463051e-06,1492280.0496415843,water
25.0,10000,1496.7015078125,997.0458650921132,6.608906365424928e-05,0.00045195706144630514,1492280.0496415843,water
25.0,100000,1496.7015078125,997.0458650921132,6.608906365424928e-05,0.04519570614463051,1492280.0496415843,water
26.0,100,1499.3370973534463,996.7846834589789,6.25742143336926e-05,4.25779249486571e-08,1494516.253983759,water
26.0,1000,1499.3370973534463,996.7846834589789,6.25742143336926e-05,4.257792494865709e-06,1494516.253983759,water
26.0,10000,1499.3370973534463,996.7846834589789,6.25742143336926e-05,0.000425779249486571,1494516.253983759,water
26.0,100000,1499.3370973534463,996.7846834589789,6.25742143336926e-05,0.042577924948657093,1494516.253983759,water
27.0,100,1501.897737162985,996.5141685957523,6.12769211380479e-05,4.14935575660798e-08,1496662.3748648136,water
27.0,1000,1501.897737162985,996.5141685957523,6.12769211380479e-05,4.149355756607979e-06,1496662.3748648136,water
27.0,10000,1501.897737162985,996.5141685957523,6.12769211380479e-05,0.00041493557566079785,1496662.3748648136,water
27.0,100000,1501.897737162985,996.5141685957523,6.12769211380479e-05,0.04149355756607978,1496662.3748648136,water
28.0,100,1504.3846257738753,996.234489356741,6.206320378277431e-05,4.182965293319905e-08,1498719.8494539687,water
28.0,1000,1504.3846257738753,996.234489356741,6.206320378277431e-05,4.182965293319904e-06,1498719.8494539687,water
28.0,10000,1504.3846257738753,996.234489356741,6.206320378277431e-05,0.00041829652933199037,1498719.8494539687,water
28.0,100000,1504.3846257738753,996.234489356741,6.206320378277431e-05,0.041829652933199034,1498719.8494539687,water
29.0,100,1506.7989364412135,995.9458075796597,6.501404228029045e-05,4.362082240424713e-08,1500690.0836141168,water
29.0,1000,1506.7989364412135,995.9458075796597,6.501404228029045e-05,4.362082240424712e-06,1500690.0836141168,water
29.0,10000,1506.7989364412135,995.9458075796597,6.501404228029045e-05,0.00043620822404247126,1500690.0836141168,water
29.0,100000,1506.7989364412135,995.9458075796597,6.501404228029045e-05,0.04362082240424712,1500690.0836141168,water
30.0,100,1509.1418175200004,995.6482784463432,7.043943634255894e-05,4.705524809975067e-08,1502574.4525451737,water
30.0,1000,1509.1418175200004,995.6482784463432,7.043943634255894e-05,4.705524809975066e-06,1502574.4525451737,water
30.0,10000,1509.1418175200004,995.6482784463432,7.043943634255894e-05,0.00047055248099750664,1502574.4525451737,water
30.0,100000,1509.1418175200004,995.6482784463432,7.043943634255894e-05,0.04705524809975066,1502574.4525451737,water
31.0,100,1511.4143928427065,995.3420508214336,7.893330707245996e-05,5.250801352217617e-08,1504374.3014130916,water
31.0,1000,1511.4143928427065,995.3420508214336,7.893330707245996e-05,5.250801352217616e-06,1504374.3014130916,water
31.0,10000,1511.4143928427065,995.3420508214336,7.893330707245996e-05,0.0005250801352217618,1504374.3014130916,water
31.0,100000,1511.4143928427065,995.3420508214336,7.893330707245996e-05,0.05250801352217616,1504374.3014130916,water
32.0,100,1513.6177620968447,995.0272675705955,9.148301088415379e-05,6.061011718231272e-08,1506090.9459655432,water
32.0,1000,1513.6177620968447,995.0272675705955,9.148301088415379e-05,6.061011718231271e-06,1506090.9459655432,water
32.0,10000,1513.6177620968447,995.0272675705955,9.148301088415379e-05,0.0006061011718231272,1506090.9459655432,water
32.0,100000,1513.6177620968447,995.0272675705955,9.148301088415379e-05,0.060610117182312705,1506090.9459655432,water
33.0,100,1515.7530012025352,994.7040658596857,0.00010966204097460527,7.237114164376206e-08,1507725.6731351828,water
33.0,1000,1515.7530012025352,994.7040658596857,0.00010966204097460527,7.237114164376206e-06,1507725.6731351828,water
33.0,10000,1515.7530012025352,994.7040658596857,0.00010966204097460527,0.0007237114164376206,1507725.6731351828,water
33.0,100000,1515.7530012025352,994.7040658596857,0.00010966204097460527,0.07237114164376206,1507725.6731351828,water
34.0,100,1517.8211626900734,994.3725774361988,0.0001359589880285911,8.938924634360107e-08,1509279.7416313363,water
34.0,1000,1517.8211626900734,994.3725774361988,0.0001359589880285911,8.938924634360107e-06,1509279.7416313363,water
34.0,10000,1517.8211626900734,994.3725774361988,0.0001359589880285911,0.0008938924634360107,1509279.7416313363,water
34.0,100000,1517.8211626900734,994.3725774361988,0.0001359589880285911,0.08938924634360107,1509279.7416313363,water
35.0,100,1519.8232760775,994.0329288941964,0.00017433927929063066,1.1420983480112602e-07,1510754.38252089,water
35.0,1000,1519.8232760775,994.0329288941964,0.00017433927929063066,1.14209834801126e-05,1510754.38252089,water
35.0,10000,1519.8232760775,994.0329288941964,0.00017433927929063066,0.0011420983480112602,1510754.38252089,water
35.0,100000,1519.8232760775,994.0329288941964,0.00017433927929063066,0.11420983480112601,1510754.38252089,water
36.0,100,1521.7603482481663,993.6852419238453,0.0002312162180573312,1.5094508107716492e-07,1512150.7997990942,water
36.0,1000,1521.7603482481663,993.6852419238453,0.0002312162180573312,1.5094508107716488e-05,1512150.7997990942,water
36.0,10000,1521.7603482481663,993.6852419238453,0.0002312162180573312,0.0015094508107716489,1512150.7997990942,water
36.0,100000,1521.7603482481663,993.6852419238453,0.0002312162180573312,0.15094508107716484,1512150.7997990942,water
37.0,100,1523.6333638283047,993.3296335465927,0.0003171590178333134,2.0636239186268894e-07,1513470.1709509324,water
37.0,1000,1523.6333638283047,993.3296335465927,0.0003171590178333134,2.0636239186268892e-05,1513470.1709509324,water
37.0,10000,1523.6333638283047,993.3296335465927,0.0003171590178333134,0.002063623918626889,1513470.1709509324,water
37.0,100000,1523.6333638283047,993.3296335465927,0.0003171590178333134,0.2063623918626889,1513470.1709509324,water
38.0,100,1525.443285564595,992.9662163369378,0.00044995756649699527,2.918348765859656e-07,1514713.6475036629,water
38.0,1000,1525.443285564595,992.9662163369378,0.00044995756649699527,2.9183487658596557e-05,1514713.6475036629,water
38.0,10000,1525.443285564595,992.9662163369378,0.00044995756649699527,0.0029183487658596555,1514713.6475036629,water
38.0,100000,1525.443285564595,992.9662163369378,0.00044995756649699527,0.2918348765859656,1514713.6475036629,water
39.0,100,1527.1910547017337,992.5950986316791,0.000660239918368183,4.269114864059315e-07,1515882.3555710854,water
39.0,1000,1527.1910547017337,992.5950986316791,0.000660239918368183,4.269114864059314e-05,1515882.3555710854,water
39.0,10000,1527.1910547017337,992.5950986316791,0.000660239918368183,0.004269114864059314,1515882.3555710854,water
39.0,100000,1527.1910547017337,992.5950986316791,0.000660239918368183,0.4269114864059314,1515882.3555710854,water
40.0,100,1528.87759136,992.2163847274593,0.001002,6.459984619449797e-07,1516977.396390045,water
40.0,1000,1528.87759136,992.2163847274593,0.001002,6.459984619449796e-05,1516977.396390045,water
40.0,10000,1528.87759136,992.2163847274593,0.001002,0.0064599846194497955,1516977.396390045,water
40.0,100000,1528.87759136,992.2163847274593,0.001002,0.6459984619449795,1516977.396390045,water
