sample_id,phase,npz,fuel_utilization,inlet_temperature_K,average_current_Apcm2,anode_inlet_h2_fraction,cathode_inlet_o2_fraction,anode_flow_sccm,cathode_flow_sccm,anode_thickness_um,electrolyte_thickness_um,cathode_thickness_um,anode_porosity,cathode_porosity,cycles,has_mf,has_hf,fidelity
14,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000014.npz,0.7260001850692455,1048.0086073193695,1.2389801274263703,0.40758900329032977,0.20557309799396245,564.4884660766132,2722.971348520127,398.6533748960422,8.932185498251867,34.58353218795247,0.4033051569792657,0.3583586163485285,771.0,True,False,MFHF
23,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000023.npz,0.7532911198521844,1024.63480013951,0.9313085816649864,0.7786231254435432,0.1878354783513846,495.36958509668153,543.5410324021312,567.8214529777777,11.572518248931118,60.77011055437487,0.26666784133329025,0.35165671848070557,2248.0,True,True,MFHF
5,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000005.npz,0.8806473268874875,1058.8737563593377,1.3734251352105118,0.7018522776590637,0.23016319839554422,756.702249589415,1813.5211726405598,333.52051750339353,14.108095736547426,35.586741915136066,0.3541880302837611,0.34241020261031574,1023.0,True,False,MFHF
16,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000016.npz,0.8108735495622995,1003.7551791955078,0.7211807107905976,0.7277814024961688,0.19341525904546045,764.5339651251194,924.6853101591969,571.2872366675604,8.644987543515029,40.71649806915594,0.43663896202732266,0.44586228999317123,1829.0,True,True,MFHF
10,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000010.npz,0.8352081943795604,996.65687668298,0.5927414883729382,0.797690489683822,0.20102212391541247,290.2394825300261,1442.0477750209477,449.31326786732063,19.175021948153613,68.12217784605282,0.4090751095297392,0.414821659871779,2833.0,True,True,MFHF
21,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000021.npz,0.8517946387947534,1089.8194046173753,0.4327519568890674,0.677797927403201,0.23701256358364625,710.6112970668062,1749.1746476574403,844.9045932700511,15.741272242501724,69.05915040581786,0.413527387153371,0.40169676512333463,2280.0,True,False,MFHF
2,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000002.npz,0.6691368828265309,1115.9962339372814,0.6475486000277267,0.4187630835444429,0.23061666322516255,448.1541451074578,2423.472554263649,633.2434599014789,13.855942121587143,40.094563936126356,0.34086908847498637,0.3793622100208978,1108.0,True,False,MFHF
28,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000028.npz,0.7831131022769778,984.6541932790844,1.1085110425750915,0.6084279605883072,0.180585668414829,1154.8456502860495,1661.476402969128,680.33727299316,12.365357796109855,77.27846625381974,0.3014119982450008,0.32869082995127713,985.0,True,False,MFHF
18,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000018.npz,0.7572278872914251,1057.6195098352532,1.4942705533320697,0.608573533586082,0.21216745893107958,732.1734520567593,678.8467951405512,303.1914368800662,14.798659640037302,58.80296507809253,0.35214056990422865,0.356920603603634,2238.0,True,False,MFHF
15,MFHF,/workspace/data/sofc_mf_dataset_demo/mf_hf/sample_000015.npz,0.7373316913142346,1004.0006133651498,0.7870206866168974,0.5055786495689615,0.23143645798379492,899.348374313201,1425.3449245799038,696.9507659427936,16.9640896281035,52.32229958106177,0.37046213354809326,0.26327064788046917,1226.0,True,False,MFHF
