rubber_id,temperature_C,mass_percent,dtg_percent_per_C
CR_1_4mm,430,47.416,-0.186
CR_1_4mm,435,46.365,-0.2103
CR_1_4mm,440,45.066,-0.2598
CR_1_4mm,445,43.651,-0.2829
CR_1_4mm,450,41.824,-0.3655
CR_1_4mm,455,39.879,-0.3889
CR_1_4mm,460,37.89,-0.3979
CR_1_4mm,465,35.638,-0.4503
CR_1_4mm,470,33.107,-0.5062
CR_1_4mm,475,30.775,-0.4664
CR_1_4mm,480,28.591,-0.4368
CR_1_4mm,485,26.549,-0.4083
CR_1_4mm,490,24.41,-0.4279
CR_1_4mm,495,22.598,-0.3624
CR_1_4mm,500,21.185,-0.2826
CR_1_4mm,505,19.764,-0.2841
CR_1_4mm,510,18.765,-0.1998
CR_1_4mm,515,17.742,-0.2046
CR_1_4mm,520,17.047,-0.1389
CR_1_4mm,525,16.656,-0.0782
CR_1_4mm,530,16.026,-0.1261
CR_1_4mm,535,15.824,-0.0404
CR_1_4mm,540,15.35,-0.0948
CR_1_4mm,545,15.088,-0.0525
CR_1_4mm,550,15.017,-0.0143
CR_1_4mm,555,14.832,-0.037
CR_1_4mm,560,14.761,-0.0141
CR_1_4mm,565,14.529,-0.0465
CR_1_4mm,570,14.543,0.0029
CR_1_4mm,575,14.637,0.0188
CR_1_4mm,580,14.415,-0.0443
CR_1_4mm,585,14.307,-0.0218
CR_1_4mm,590,14.427,0.024
CR_1_4mm,595,14.242,-0.0369
CR_1_4mm,600,14.355,0.0225
CR_1_4mm,605,14.351,-0.0008
CR_1_4mm,610,14.257,-0.0188
CR_1_4mm,615,14.368,0.0223
CR_1_4mm,620,14.188,-0.0359
CR_1_4mm,625,14.388,0.0399
CR_1_4mm,630,14.228,-0.032
CR_1_4mm,635,14.459,0.0462
CR_1_4mm,640,14.195,-0.0528
CR_1_4mm,645,14.232,0.0074
CR_1_4mm,650,14.254,0.0044
CR_1_4mm,655,14.314,0.012
CR_1_4mm,660,14.27,-0.0089
CR_1_4mm,665,14.275,0.0011
CR_1_4mm,670,14.187,-0.0177
CR_1_4mm,675,14.174,-0.0027
CR_1_4mm,680,14.218,0.0088
CR_1_4mm,685,14.432,0.0429
CR_1_4mm,690,14.35,-0.0165
CR_1_4mm,695,14.238,-0.0223
CR_1_4mm,700,14.215,-0.0046
CR_1_4mm,705,14.367,0.0304
CR_1_4mm,710,14.342,-0.005
CR_1_4mm,715,14.259,-0.0165
CR_1_4mm,720,14.234,-0.0051
CR_1_4mm,725,14.391,0.0314
CR_1_4mm,730,14.403,0.0023
CR_1_4mm,735,14.424,0.0044
CR_1_4mm,740,14.378,-0.0094
CR_1_4mm,745,14.316,-0.0124
CR_1_4mm,750,14.4,0.0168
CR_1_4mm,755,14.451,0.0102
CR_1_4mm,760,14.213,-0.0475
CR_1_4mm,765,14.321,0.0215
CR_1_4mm,770,14.405,0.0168
CR_1_4mm,775,14.364,-0.0081
CR_1_4mm,780,14.209,-0.0311
CR_1_4mm,785,14.198,-0.0021
CR_1_4mm,790,14.318,0.0239
CR_1_4mm,795,14.201,-0.0233
CR_1_4mm,800,14.407,0.0412
