mix_id,pore_diameter_um,dV_dlogD_mm3_per_g,cumulative_intrusion_mm3_per_g,total_porosity_pct_estimate
CTRL_0,0.16221,0.069612,1.437739,11.51
CTRL_0,0.17191,0.06752,1.505259,11.51
CTRL_0,0.18218,0.064234,1.569493,11.51
CTRL_0,0.19307,0.057496,1.626988,11.51
CTRL_0,0.20461,0.053183,1.680171,11.51
CTRL_0,0.21684,0.04575,1.725921,11.51
CTRL_0,0.2298,0.040095,1.766016,11.51
CTRL_0,0.24353,0.03689,1.802906,11.51
CTRL_0,0.25809,0.030646,1.833552,11.51
CTRL_0,0.27351,0.027981,1.861533,11.51
CTRL_0,0.28986,0.023528,1.885061,11.51
CTRL_0,0.30718,0.019364,1.904425,11.51
CTRL_0,0.32554,0.016678,1.921102,11.51
CTRL_0,0.345,0.012955,1.934057,11.51
CTRL_0,0.36562,0.010997,1.945054,11.51
CTRL_0,0.38747,0.008953,1.954007,11.51
CTRL_0,0.41062,0.006634,1.960641,11.51
CTRL_0,0.43517,0.005225,1.965866,11.51
CTRL_0,0.46117,0.004031,1.969897,11.51
CTRL_0,0.48874,0.003121,1.973017,11.51
CTRL_0,0.51795,0.002403,1.975421,11.51
CTRL_0,0.5489,0.00184,1.977261,11.51
CTRL_0,0.58171,0.001324,1.978586,11.51
CTRL_0,0.61648,0.001019,1.979604,11.51
CTRL_0,0.65332,0.000745,1.980349,11.51
CTRL_0,0.69237,0.000503,1.980853,11.51
CTRL_0,0.73375,0.000368,1.981221,11.51
CTRL_0,0.7776,0.000252,1.981473,11.51
CTRL_0,0.82407,0.000183,1.981656,11.51
CTRL_0,0.87333,0.000127,1.981783,11.51
CTRL_0,0.92552,8.4e-05,1.981868,11.51
CTRL_0,0.98084,5.5e-05,1.981923,11.51
CTRL_0,1.03946,3.8e-05,1.98196,11.51
CTRL_0,1.10158,2.4e-05,1.981985,11.51
CTRL_0,1.16742,1.6e-05,1.982,11.51
CTRL_0,1.23719,1e-05,1.982011,11.51
CTRL_0,1.31113,7e-06,1.982017,11.51
CTRL_0,1.3895,4e-06,1.982021,11.51
CTRL_0,1.47254,2e-06,1.982024,11.51
CTRL_0,1.56055,2e-06,1.982025,11.51
CTRL_0,1.65382,1e-06,1.982026,11.51
CTRL_0,1.75266,1e-06,1.982027,11.51
CTRL_0,1.85741,0.0,1.982027,11.51
CTRL_0,1.96842,0.0,1.982028,11.51
CTRL_0,2.08606,0.0,1.982028,11.51
CTRL_0,2.21074,0.0,1.982028,11.51
CTRL_0,2.34287,0.0,1.982028,11.51
CTRL_0,2.48289,0.0,1.982028,11.51
CTRL_0,2.63129,0.0,1.982028,11.51
CTRL_0,2.78855,0.0,1.982028,11.51
CTRL_0,2.95521,0.0,1.982028,11.51
CTRL_0,3.13183,0.0,1.982028,11.51
CTRL_0,3.31901,0.0,1.982028,11.51
CTRL_0,3.51737,0.0,1.982028,11.51
CTRL_0,3.72759,0.0,1.982028,11.51
CTRL_0,3.95038,0.0,1.982028,11.51
CTRL_0,4.18648,0.0,1.982028,11.51
CTRL_0,4.43669,0.0,1.982028,11.51
CTRL_0,4.70185,0.0,1.982028,11.51
CTRL_0,4.98286,0.0,1.982028,11.51
CTRL_0,5.28067,0.0,1.982028,11.51
CTRL_0,5.59628,0.0,1.982028,11.51
CTRL_0,5.93074,0.0,1.982028,11.51
CTRL_0,6.2852,0.0,1.982028,11.51
CTRL_0,6.66085,0.0,1.982028,11.51
CTRL_0,7.05894,0.0,1.982028,11.51
CTRL_0,7.48083,0.0,1.982028,11.51
CTRL_0,7.92793,0.0,1.982028,11.51
CTRL_0,8.40175,0.0,1.982028,11.51
CTRL_0,8.90389,0.0,1.982028,11.51
CTRL_0,9.43604,0.0,1.982028,11.51
CTRL_0,10.0,0.0,1.982028,11.51
RUB_5,0.01,3e-06,3e-06,12.12
RUB_5,0.0106,5e-06,8e-06,12.12
RUB_5,0.01123,8e-06,1.6e-05,12.12
RUB_5,0.0119,1.2e-05,2.8e-05,12.12
RUB_5,0.01261,1.8e-05,4.6e-05,12.12
RUB_5,0.01337,2.9e-05,7.5e-05,12.12
RUB_5,0.01417,4.3e-05,0.000118,12.12
RUB_5,0.01501,6.6e-05,0.000184,12.12
RUB_5,0.01591,9.1e-05,0.000276,12.12
RUB_5,0.01686,0.000145,0.000421,12.12
RUB_5,0.01787,0.000203,0.000624,12.12
RUB_5,0.01894,0.000301,0.000925,12.12
RUB_5,0.02007,0.000396,0.001321,12.12
RUB_5,0.02127,0.0006,0.001921,12.12
RUB_5,0.02254,0.00078,0.002701,12.12
RUB_5,0.02389,0.001139,0.00384,12.12
RUB_5,0.02531,0.001499,0.005339,12.12
RUB_5,0.02683,0.001927,0.007266,12.12
RUB_5,0.02843,0.00269,0.009957,12.12
RUB_5,0.03013,0.003521,0.013477,12.12
RUB_5,0.03193,0.004514,0.017991,12.12
RUB_5,0.03384,0.006172,0.024163,12.12
RUB_5,0.03586,0.007815,0.031978,12.12
RUB_5,0.038,0.009374,0.041353,12.12
RUB_5,0.04028,0.01195,0.053303,12.12
RUB_5,0.04268,0.014805,0.068108,12.12
RUB_5,0.04523,0.017103,0.085211,12.12
RUB_5,0.04794,0.020552,0.105763,12.12
RUB_5,0.0508,0.025693,0.131457,12.12
RUB_5,0.05384,0.030739,0.162196,12.12
RUB_5,0.05706,0.035795,0.19799,12.12
RUB_5,0.06047,0.038853,0.236843,12.12
RUB_5,0.06408,0.043892,0.280735,12.12
RUB_5,0.06791,0.050764,0.331499,12.12
RUB_5,0.07197,0.05499,0.386489,12.12
RUB_5,0.07627,0.060705,0.447194,12.12
RUB_5,0.08083,0.065583,0.512777,12.12
RUB_5,0.08566,0.070562,0.583339,12.12
RUB_5,0.09078,0.079629,0.662968,12.12
RUB_5,0.0962,0.080399,0.743366,12.12
RUB_5,0.10195,0.085996,0.829362,12.12
RUB_5,0.10805,0.084582,0.913944,12.12
RUB_5,0.1145,0.083632,0.997576,12.12
RUB_5,0.12135,0.086446,1.084022,12.12
RUB_5,0.1286,0.08484,1.168862,12.12
RUB_5,0.13629,0.088081,1.256943,12.12
RUB_5,0.14443,0.082467,1.33941,12.12
RUB_5,0.15306,0.079235,1.418645,12.12
RUB_5,0.16221,0.075289,1.493934,12.12
RUB_5,0.17191,0.074254,1.568188,12.12
RUB_5,0.18218,0.065963,1.634152,12.12
RUB_5,0.19307,0.064534,1.698685,12.12
RUB_5,0.20461,0.057188,1.755873,12.12
RUB_5,0.21684,0.050348,1.806221,12.12
RUB_5,0.2298,0.044551,1.850773,12.12
RUB_5,0.24353,0.039736,1.890509,12.12
RUB_5,0.25809,0.033908,1.924417,12.12
RUB_5,0.27351,0.029976,1.954393,12.12
RUB_5,0.28986,0.025946,1.980339,12.12
RUB_5,0.30718,0.020964,2.001302,12.12
RUB_5,0.32554,0.018153,2.019456,12.12
RUB_5,0.345,0.014828,2.034284,12.12
RUB_5,0.36562,0.011663,2.045947,12.12
RUB_5,0.38747,0.00917,2.055116,12.12
RUB_5,0.41062,0.007781,2.062897,12.12
RUB_5,0.43517,0.006254,2.069151,12.12
RUB_5,0.46117,0.004491,2.073643,12.12
RUB_5,0.48874,0.003651,2.077294,12.12
RUB_5,0.51795,0.002615,2.079909,12.12
RUB_5,0.5489,0.001981,2.08189,12.12
RUB_5,0.58171,0.00145,2.083339,12.12
RUB_5,0.61648,0.001134,2.084473,12.12
RUB_5,0.65332,0.000843,2.085316,12.12
RUB_5,0.69237,0.000566,2.085881,12.12
RUB_5,0.73375,0.000405,2.086287,12.12
RUB_5,0.7776,0.000306,2.086593,12.12
RUB_5,0.82407,0.000206,2.0868,12.12
RUB_5,0.87333,0.000149,2.086948,12.12
RUB_5,0.92552,9.4e-05,2.087043,12.12
RUB_5,0.98084,6.7e-05,2.08711,12.12
RUB_5,1.03946,4.3e-05,2.087153,12.12
RUB_5,1.10158,2.9e-05,2.087182,12.12
RUB_5,1.16742,1.9e-05,2.0872,12.12
RUB_5,1.23719,1.2e-05,2.087212,12.12
RUB_5,1.31113,7e-06,2.08722,12.12
RUB_5,1.3895,5e-06,2.087224,12.12
RUB_5,1.47254,3e-06,2.087227,12.12
RUB_5,1.56055,2e-06,2.087229,12.12
RUB_5,1.65382,1e-06,2.08723,12.12
RUB_5,1.75266,1e-06,2.087231,12.12
RUB_5,1.85741,0.0,2.087231,12.12
RUB_5,1.96842,0.0,2.087232,12.12
RUB_5,2.08606,0.0,2.087232,12.12
RUB_5,2.21074,0.0,2.087232,12.12
RUB_5,2.34287,0.0,2.087232,12.12
RUB_5,2.48289,0.0,2.087232,12.12
RUB_5,2.63129,0.0,2.087232,12.12
RUB_5,2.78855,0.0,2.087232,12.12
RUB_5,2.95521,0.0,2.087232,12.12
RUB_5,3.13183,0.0,2.087232,12.12
RUB_5,3.31901,0.0,2.087232,12.12
RUB_5,3.51737,0.0,2.087232,12.12
RUB_5,3.72759,0.0,2.087232,12.12
RUB_5,3.95038,0.0,2.087232,12.12
RUB_5,4.18648,0.0,2.087232,12.12
RUB_5,4.43669,0.0,2.087232,12.12
RUB_5,4.70185,0.0,2.087232,12.12
RUB_5,4.98286,0.0,2.087232,12.12
RUB_5,5.28067,0.0,2.087232,12.12
RUB_5,5.59628,0.0,2.087232,12.12
RUB_5,5.93074,0.0,2.087232,12.12
RUB_5,6.2852,0.0,2.087232,12.12
RUB_5,6.66085,0.0,2.087232,12.12
RUB_5,7.05894,0.0,2.087232,12.12
RUB_5,7.48083,0.0,2.087232,12.12
RUB_5,7.92793,0.0,2.087232,12.12
RUB_5,8.40175,0.0,2.087232,12.12
RUB_5,8.90389,0.0,2.087232,12.12
RUB_5,9.43604,0.0,2.087232,12.12
RUB_5,10.0,0.0,2.087232,12.12
RUB_10,0.01,3e-06,3e-06,13.57
RUB_10,0.0106,5e-06,8e-06,13.57
RUB_10,0.01123,8e-06,1.6e-05,13.57
RUB_10,0.0119,1.3e-05,2.8e-05,13.57
RUB_10,0.01261,1.9e-05,4.7e-05,13.57
RUB_10,0.01337,2.8e-05,7.6e-05,13.57
RUB_10,0.01417,4.5e-05,0.00012,13.57
RUB_10,0.01501,6.3e-05,0.000184,13.57
RUB_10,0.01591,0.000102,0.000286,13.57
RUB_10,0.01686,0.000148,0.000433,13.57
RUB_10,0.01787,0.000209,0.000643,13.57
RUB_10,0.01894,0.000297,0.000939,13.57
RUB_10,0.02007,0.000446,0.001385,13.57
RUB_10,0.02127,0.000594,0.001979,13.57
RUB_10,0.02254,0.000885,0.002865,13.57
RUB_10,0.02389,0.001129,0.003994,13.57
RUB_10,0.02531,0.001582,0.005576,13.57
RUB_10,0.02683,0.002101,0.007677,13.57
RUB_10,0.02843,0.002727,0.010404,13.57
RUB_10,0.03013,0.003795,0.014199,13.57
RUB_10,0.03193,0.004836,0.019034,13.57
RUB_10,0.03384,0.006592,0.025627,13.57
RUB_10,0.03586,0.007983,0.033609,13.57
RUB_10,0.038,0.010506,0.044115,13.57
RUB_10,0.04028,0.012583,0.056698,13.57
RUB_10,0.04268,0.015686,0.072383,13.57
RUB_10,0.04523,0.018518,0.090902,13.57
RUB_10,0.04794,0.022599,0.113501,13.57
RUB_10,0.0508,0.027965,0.141466,13.57
RUB_10,0.05384,0.031093,0.172559,13.57
RUB_10,0.05706,0.0367,0.209259,13.57
RUB_10,0.06047,0.041513,0.250772,13.57
RUB_10,0.06408,0.049404,0.300176,13.57
RUB_10,0.06791,0.054889,0.355065,13.57
RUB_10,0.07197,0.058815,0.41388,13.57
RUB_10,0.07627,0.067663,0.481544,13.57
RUB_10,0.08083,0.073238,0.554782,13.57
RUB_10,0.08566,0.080737,0.635519,13.57
RUB_10,0.09078,0.086216,0.721735,13.57
RUB_10,0.0962,0.086707,0.808442,13.57
RUB_10,0.10195,0.0902,0.898642,13.57
RUB_10,0.10805,0.09349,0.992131,13.57
RUB_10,0.1145,0.098204,1.090335,13.57
RUB_10,0.12135,0.097893,1.188228,13.57
RUB_10,0.1286,0.102667,1.290895,13.57
RUB_10,0.13629,0.098207,1.389101,13.57
RUB_10,0.14443,0.090535,1.479636,13.57
RUB_10,0.15306,0.087822,1.567458,13.57
RUB_10,0.16221,0.091366,1.658824,13.57
RUB_10,0.17191,0.083451,1.742275,13.57
RUB_10,0.18218,0.075833,1.818108,13.57
RUB_10,0.19307,0.074042,1.89215,13.57
RUB_10,0.20461,0.064891,1.957041,13.57
RUB_10,0.21684,0.057676,2.014717,13.57
RUB_10,0.2298,0.05053,2.065247,13.57
RUB_10,0.24353,0.043915,2.109161,13.57
RUB_10,0.25809,0.038532,2.147693,13.57
RUB_10,0.27351,0.033862,2.181555,13.57
RUB_10,0.28986,0.029569,2.211124,13.57
RUB_10,0.30718,0.023857,2.234981,13.57
RUB_10,0.32554,0.021666,2.256647,13.57
RUB_10,0.345,0.016539,2.273186,13.57
RUB_10,0.36562,0.014568,2.287755,13.57
RUB_10,0.38747,0.011642,2.299397,13.57
RUB_10,0.41062,0.008755,2.308152,13.57
RUB_10,0.43517,0.006833,2.314984,13.57
RUB_10,0.46117,0.00578,2.320764,13.57
RUB_10,0.48874,0.004377,2.325141,13.57
RUB_10,0.51795,0.003343,2.328484,13.57
RUB_10,0.5489,0.00249,2.330973,13.57
RUB_10,0.58171,0.001772,2.332746,13.57
RUB_10,0.61648,0.001339,2.334084,13.57
RUB_10,0.65332,0.000989,2.335074,13.57
RUB_10,0.69237,0.000687,2.335761,13.57
RUB_10,0.73375,0.000491,2.336252,13.57
RUB_10,0.7776,0.000356,2.336608,13.57
RUB_10,0.82407,0.000253,2.336861,13.57
RUB_10,0.87333,0.000172,2.337033,13.57
RUB_10,0.92552,0.000121,2.337154,13.57
RUB_10,0.98084,8.3e-05,2.337237,13.57
RUB_10,1.03946,5.2e-05,2.337289,13.57
RUB_10,1.10158,3.5e-05,2.337324,13.57
RUB_10,1.16742,2.4e-05,2.337348,13.57
RUB_10,1.23719,1.5e-05,2.337363,13.57
RUB_10,1.31113,1e-05,2.337373,13.57
RUB_10,1.3895,6e-06,2.337379,13.57
RUB_10,1.47254,4e-06,2.337383,13.57
RUB_10,1.56055,2e-06,2.337385,13.57
RUB_10,1.65382,1e-06,2.337386,13.57
RUB_10,1.75266,1e-06,2.337387,13.57
RUB_10,1.85741,0.0,2.337388,13.57
RUB_10,1.96842,0.0,2.337388,13.57
RUB_10,2.08606,0.0,2.337388,13.57
RUB_10,2.21074,0.0,2.337388,13.57
RUB_10,2.34287,0.0,2.337388,13.57
RUB_10,2.48289,0.0,2.337388,13.57
RUB_10,2.63129,0.0,2.337389,13.57
RUB_10,2.78855,0.0,2.337389,13.57
RUB_10,2.95521,0.0,2.337389,13.57
RUB_10,3.13183,0.0,2.337389,13.57
RUB_10,3.31901,0.0,2.337389,13.57
RUB_10,3.51737,0.0,2.337389,13.57
RUB_10,3.72759,0.0,2.337389,13.57
RUB_10,3.95038,0.0,2.337389,13.57
RUB_10,4.18648,0.0,2.337389,13.57
RUB_10,4.43669,0.0,2.337389,13.57
RUB_10,4.70185,0.0,2.337389,13.57
RUB_10,4.98286,0.0,2.337389,13.57
RUB_10,5.28067,0.0,2.337389,13.57
RUB_10,5.59628,0.0,2.337389,13.57
RUB_10,5.93074,0.0,2.337389,13.57
RUB_10,6.2852,0.0,2.337389,13.57
RUB_10,6.66085,0.0,2.337389,13.57
RUB_10,7.05894,0.0,2.337389,13.57
RUB_10,7.48083,0.0,2.337389,13.57
RUB_10,7.92793,0.0,2.337389,13.57
RUB_10,8.40175,0.0,2.337389,13.57
RUB_10,8.90389,0.0,2.337389,13.57
RUB_10,9.43604,0.0,2.337389,13.57
RUB_10,10.0,0.0,2.337389,13.57
RUB_15,0.01,3e-06,3e-06,14.48
RUB_15,0.0106,5e-06,7e-06,14.48
RUB_15,0.01123,7e-06,1.4e-05,14.48
RUB_15,0.0119,1.2e-05,2.6e-05,14.48
RUB_15,0.01261,1.8e-05,4.4e-05,14.48
RUB_15,0.01337,2.8e-05,7.2e-05,14.48
RUB_15,0.01417,4.4e-05,0.000116,14.48
RUB_15,0.01501,6.6e-05,0.000181,14.48
RUB_15,0.01591,9.4e-05,0.000276,14.48
RUB_15,0.01686,0.000142,0.000418,14.48
RUB_15,0.01787,0.000206,0.000623,14.48
RUB_15,0.01894,0.000311,0.000935,14.48
RUB_15,0.02007,0.000442,0.001377,14.48
RUB_15,0.02127,0.000618,0.001995,14.48
RUB_15,0.02254,0.000834,0.002829,14.48
RUB_15,0.02389,0.00112,0.003949,14.48
RUB_15,0.02531,0.001516,0.005465,14.48
RUB_15,0.02683,0.002093,0.007558,14.48
RUB_15,0.02843,0.002865,0.010424,14.48
RUB_15,0.03013,0.003839,0.014262,14.48
RUB_15,0.03193,0.004865,0.019128,14.48
RUB_15,0.03384,0.006558,0.025685,14.48
RUB_15,0.03586,0.008182,0.033867,14.48
RUB_15,0.038,0.009853,0.043721,14.48
RUB_15,0.04028,0.013227,0.056947,14.48
RUB_15,0.04268,0.016211,0.073158,14.48
RUB_15,0.04523,0.019402,0.09256,14.48
RUB_15,0.04794,0.023755,0.116315,14.48
RUB_15,0.0508,0.027753,0.144068,14.48
RUB_15,0.05384,0.032512,0.17658,14.48
RUB_15,0.05706,0.036983,0.213564,14.48
RUB_15,0.06047,0.043895,0.257459,14.48
RUB_15,0.06408,0.052124,0.309583,14.48
RUB_15,0.06791,0.058702,0.368286,14.48
RUB_15,0.07197,0.066826,0.435111,14.48
RUB_15,0.07627,0.068312,0.503423,14.48
RUB_15,0.08083,0.073048,0.576471,14.48
RUB_15,0.08566,0.086209,0.662679,14.48
RUB_15,0.09078,0.086088,0.748767,14.48
RUB_15,0.0962,0.09163,0.840398,14.48
RUB_15,0.10195,0.097344,0.937742,14.48
RUB_15,0.10805,0.103387,1.041129,14.48
RUB_15,0.1145,0.105372,1.146501,14.48
RUB_15,0.12135,0.099844,1.246345,14.48
RUB_15,0.1286,0.105967,1.352312,14.48
RUB_15,0.13629,0.101951,1.454263,14.48
RUB_15,0.14443,0.101155,1.555418,14.48
RUB_15,0.15306,0.099228,1.654646,14.48
RUB_15,0.16221,0.088705,1.743351,14.48
RUB_15,0.17191,0.091863,1.835214,14.48
RUB_15,0.18218,0.083343,1.918557,14.48
RUB_15,0.19307,0.076893,1.99545,14.48
RUB_15,0.20461,0.070467,2.065917,14.48
RUB_15,0.21684,0.063112,2.12903,14.48
RUB_15,0.2298,0.05827,2.1873,14.48
RUB_15,0.24353,0.051521,2.238821,14.48
RUB_15,0.25809,0.043679,2.282499,14.48
RUB_15,0.27351,0.0388,2.321299,14.48
RUB_15,0.28986,0.032777,2.354076,14.48
RUB_15,0.30718,0.027899,2.381975,14.48
RUB_15,0.32554,0.023389,2.405364,14.48
RUB_15,0.345,0.019149,2.424513,14.48
RUB_15,0.36562,0.014673,2.439186,14.48
RUB_15,0.38747,0.012008,2.451195,14.48
RUB_15,0.41062,0.010074,2.461268,14.48
RUB_15,0.43517,0.007991,2.46926,14.48
RUB_15,0.46117,0.00596,2.47522,14.48
RUB_15,0.48874,0.004821,2.480041,14.48
RUB_15,0.51795,0.003702,2.483744,14.48
RUB_15,0.5489,0.002667,2.48641,14.48
RUB_15,0.58171,0.002069,2.488479,14.48
RUB_15,0.61648,0.001577,2.490056,14.48
RUB_15,0.65332,0.001145,2.491201,14.48
RUB_15,0.69237,0.000845,2.492046,14.48
RUB_15,0.73375,0.000592,2.492638,14.48
RUB_15,0.7776,0.000424,2.493063,14.48
RUB_15,0.82407,0.000279,2.493342,14.48
RUB_15,0.87333,0.000196,2.493538,14.48
RUB_15,0.92552,0.000132,2.49367,14.48
RUB_15,0.98084,9.4e-05,2.493764,14.48
RUB_15,1.03946,6.1e-05,2.493825,14.48
RUB_15,1.10158,4.1e-05,2.493866,14.48
RUB_15,1.16742,2.8e-05,2.493893,14.48
RUB_15,1.23719,1.7e-05,2.493911,14.48
RUB_15,1.31113,1e-05,2.493921,14.48
RUB_15,1.3895,7e-06,2.493928,14.48
RUB_15,1.47254,4e-06,2.493933,14.48
RUB_15,1.56055,3e-06,2.493935,14.48
RUB_15,1.65382,2e-06,2.493937,14.48
RUB_15,1.75266,1e-06,2.493938,14.48
RUB_15,1.85741,1e-06,2.493938,14.48
RUB_15,1.96842,0.0,2.493939,14.48
RUB_15,2.08606,0.0,2.493939,14.48
RUB_15,2.21074,0.0,2.493939,14.48
RUB_15,2.34287,0.0,2.493939,14.48
RUB_15,2.48289,0.0,2.493939,14.48
RUB_15,2.63129,0.0,2.493939,14.48
RUB_15,2.78855,0.0,2.493939,14.48
RUB_15,2.95521,0.0,2.493939,14.48
RUB_15,3.13183,0.0,2.493939,14.48
RUB_15,3.31901,0.0,2.493939,14.48
RUB_15,3.51737,0.0,2.493939,14.48
RUB_15,3.72759,0.0,2.493939,14.48
RUB_15,3.95038,0.0,2.493939,14.48
RUB_15,4.18648,0.0,2.493939,14.48
RUB_15,4.43669,0.0,2.493939,14.48
RUB_15,4.70185,0.0,2.493939,14.48
RUB_15,4.98286,0.0,2.493939,14.48
RUB_15,5.28067,0.0,2.493939,14.48
RUB_15,5.59628,0.0,2.493939,14.48
RUB_15,5.93074,0.0,2.493939,14.48
RUB_15,6.2852,0.0,2.493939,14.48
RUB_15,6.66085,0.0,2.493939,14.48
RUB_15,7.05894,0.0,2.493939,14.48
RUB_15,7.48083,0.0,2.493939,14.48
RUB_15,7.92793,0.0,2.493939,14.48
RUB_15,8.40175,0.0,2.493939,14.48
RUB_15,8.90389,0.0,2.493939,14.48
RUB_15,9.43604,0.0,2.493939,14.48
RUB_15,10.0,0.0,2.493939,14.48
