T_C,stress_ratio,damage_index,intrinsic_permeability_m2
650.0,0.6,0.566,4.1421e-17
660.0,0.0,0.3578,1.8009e-17
660.0,0.2,0.4298,2.4020e-17
660.0,0.4,0.5018,3.2037e-17
660.0,0.6,0.5738,4.2730e-17
670.0,0.0,0.3656,1.8578e-17
670.0,0.2,0.4376,2.4779e-17
670.0,0.4,0.5096,3.3049e-17
670.0,0.6,0.5816,4.4080e-17
680.0,0.0,0.3733,1.9166e-17
680.0,0.2,0.4453,2.5562e-17
680.0,0.4,0.5173,3.4094e-17
680.0,0.6,0.5893,4.5473e-17
690.0,0.0,0.3811,1.9771e-17
690.0,0.2,0.4531,2.6370e-17
690.0,0.4,0.5251,3.5171e-17
690.0,0.6,0.5971,4.6910e-17
700.0,0.0,0.3889,2.0396e-17
700.0,0.2,0.4609,2.7203e-17
700.0,0.4,0.5329,3.6282e-17
700.0,0.6,0.6049,4.8392e-17
710.0,0.0,0.3967,2.1040e-17
710.0,0.2,0.4687,2.8063e-17
710.0,0.4,0.5407,3.7429e-17
710.0,0.6,0.6127,4.9921e-17
720.0,0.0,0.4044,2.1705e-17
720.0,0.2,0.4764,2.8950e-17
720.0,0.4,0.5484,3.8612e-17
720.0,0.6,0.6204,5.1499e-17
730.0,0.0,0.4122,2.2391e-17
730.0,0.2,0.4842,2.9864e-17
730.0,0.4,0.5562,3.9832e-17
730.0,0.6,0.6282,5.3126e-17
740.0,0.0,0.42,2.3099e-17
740.0,0.2,0.492,3.0808e-17
740.0,0.4,0.564,4.1091e-17
740.0,0.6,0.636,5.4805e-17
750.0,0.0,0.4278,2.3829e-17
750.0,0.2,0.4998,3.1782e-17
750.0,0.4,0.5718,4.2389e-17
750.0,0.6,0.6438,5.6537e-17
760.0,0.0,0.4356,2.4582e-17
760.0,0.2,0.5076,3.2786e-17
760.0,0.4,0.5796,4.3729e-17
760.0,0.6,0.6516,5.8323e-17
770.0,0.0,0.4433,2.5358e-17
770.0,0.2,0.5153,3.3822e-17
770.0,0.4,0.5873,4.5110e-17
770.0,0.6,0.6593,6.0166e-17
780.0,0.0,0.4511,2.6160e-17
780.0,0.2,0.5231,3.4891e-17
780.0,0.4,0.5951,4.6536e-17
780.0,0.6,0.6671,6.2068e-17
790.0,0.0,0.4589,2.6986e-17
790.0,0.2,0.5309,3.5993e-17
790.0,0.4,0.6029,4.8006e-17
790.0,0.6,0.6749,6.4029e-17
800.0,0.0,0.4667,2.7839e-17
800.0,0.2,0.5387,3.7131e-17
800.0,0.4,0.6107,4.9523e-17
800.0,0.6,0.6827,6.6052e-17
810.0,0.0,0.4744,2.8719e-17
810.0,0.2,0.5464,3.8304e-17
810.0,0.4,0.6184,5.1088e-17
810.0,0.6,0.6904,6.8139e-17
820.0,0.0,0.4822,2.9626e-17
820.0,0.2,0.5542,3.9515e-17
820.0,0.4,0.6262,5.2703e-17
820.0,0.6,0.6982,7.0293e-17
830.0,0.0,0.49,3.0563e-17
830.0,0.2,0.562,4.0763e-17
830.0,0.4,0.634,5.4368e-17
830.0,0.6,0.706,7.2514e-17
840.0,0.0,0.4978,3.1528e-17
840.0,0.2,0.5698,4.2051e-17
840.0,0.4,0.6418,5.6086e-17
840.0,0.6,0.7138,7.4805e-17
850.0,0.0,0.5056,3.2525e-17
850.0,0.2,0.5776,4.3380e-17
850.0,0.4,0.6496,5.7859e-17
850.0,0.6,0.7216,7.7169e-17
860.0,0.0,0.5133,3.3553e-17
860.0,0.2,0.5853,4.4751e-17
860.0,0.4,0.6573,5.9687e-17
860.0,0.6,0.7293,7.9608e-17
870.0,0.0,0.5211,3.4613e-17
870.0,0.2,0.5931,4.6165e-17
870.0,0.4,0.6651,6.1573e-17
870.0,0.6,0.7371,8.2123e-17
880.0,0.0,0.5289,3.5707e-17
880.0,0.2,0.6009,4.7624e-17
880.0,0.4,0.6729,6.3519e-17
880.0,0.6,0.7449,8.4719e-17
890.0,0.0,0.5367,3.6835e-17
890.0,0.2,0.6087,4.9129e-17
890.0,0.4,0.6807,6.5526e-17
890.0,0.6,0.7527,8.7396e-17
900.0,0.0,0.5444,3.7999e-17
900.0,0.2,0.6164,5.0681e-17
900.0,0.4,0.6884,6.7597e-17
900.0,0.6,0.7604,9.0157e-17
910.0,0.0,0.5522,3.9200e-17
910.0,0.2,0.6242,5.2283e-17
910.0,0.4,0.6962,6.9733e-17
910.0,0.6,0.7682,9.3006e-17
920.0,0.0,0.56,4.0438e-17
920.0,0.2,0.632,5.3935e-17
920.0,0.4,0.704,7.1936e-17
920.0,0.6,0.776,9.5945e-17
930.0,0.0,0.5678,4.1716e-17
930.0,0.2,0.6398,5.5639e-17
930.0,0.4,0.7118,7.4209e-17
930.0,0.6,0.7838,9.8977e-17
940.0,0.0,0.5756,4.3034e-17
940.0,0.2,0.6476,5.7398e-17
940.0,0.4,0.7196,7.6554e-17
940.0,0.6,0.7916,1.0210e-16
950.0,0.0,0.5833,4.4394e-17
950.0,0.2,0.6553,5.9211e-17
950.0,0.4,0.7273,7.8974e-17
950.0,0.6,0.7993,1.0533e-16
960.0,0.0,0.5911,4.5797e-17
960.0,0.2,0.6631,6.1082e-17
960.0,0.4,0.7351,8.1469e-17
960.0,0.6,0.8071,1.0866e-16
970.0,0.0,0.5989,4.7244e-17
970.0,0.2,0.6709,6.3013e-17
970.0,0.4,0.7429,8.4044e-17
970.0,0.6,0.8149,1.1209e-16
980.0,0.0,0.6067,4.8737e-17
980.0,0.2,0.6787,6.5004e-17
980.0,0.4,0.7507,8.6699e-17
980.0,0.6,0.8227,1.1564e-16
990.0,0.0,0.6144,5.0277e-17
990.0,0.2,0.6864,6.7058e-17
990.0,0.4,0.7584,8.9439e-17
990.0,0.6,0.8304,1.1929e-16
1000.0,0.0,0.6222,5.1866e-17
1000.0,0.2,0.6942,6.9177e-17
1000.0,0.4,0.7662,9.2265e-17
1000.0,0.6,0.8382,1.2306e-16
1010.0,0.0,0.63,5.3505e-17
1010.0,0.2,0.702,7.1363e-17
1010.0,0.4,0.774,9.5181e-17
1010.0,0.6,0.846,1.2695e-16
1020.0,0.0,0.6378,5.5196e-17
1020.0,0.2,0.7098,7.3618e-17
1020.0,0.4,0.7818,9.8189e-17
1020.0,0.6,0.8538,1.3096e-16
1030.0,0.0,0.6456,5.6940e-17
1030.0,0.2,0.7176,7.5944e-17
1030.0,0.4,0.7896,1.0129e-16
1030.0,0.6,0.8616,1.3510e-16
1040.0,0.0,0.6533,5.8740e-17
1040.0,0.2,0.7253,7.8344e-17
1040.0,0.4,0.7973,1.0449e-16
1040.0,0.6,0.8693,1.3937e-16
1050.0,0.0,0.6611,6.0596e-17
1050.0,0.2,0.7331,8.0820e-17
1050.0,0.4,0.8051,1.0779e-16
1050.0,0.6,0.8771,1.4377e-16
1060.0,0.0,0.6689,6.2511e-17
1060.0,0.2,0.7409,8.3374e-17
1060.0,0.4,0.8129,1.1120e-16
1060.0,0.6,0.8849,1.4831e-16
1070.0,0.0,0.6767,6.4486e-17
1070.0,0.2,0.7487,8.6008e-17
1070.0,0.4,0.8207,1.1471e-16
1070.0,0.6,0.8927,1.5300e-16
1080.0,0.0,0.6844,6.6524e-17
1080.0,0.2,0.7564,8.8726e-17
1080.0,0.4,0.8284,1.1834e-16
1080.0,0.6,0.9004,1.5784e-16
1090.0,0.0,0.6922,6.8626e-17
1090.0,0.2,0.7642,9.1530e-17
1090.0,0.4,0.8362,1.2208e-16
1090.0,0.6,0.9082,1.6282e-16
1100.0,0.0,0.7,7.0794e-17
1100.0,0.2,0.772,9.4422e-17
1100.0,0.4,0.844,1.2594e-16
1100.0,0.6,0.916,1.6797e-16
1110.0,0.0,0.7,7.0794e-17
1110.0,0.2,0.772,9.4422e-17
1110.0,0.4,0.844,1.2594e-16
1110.0,0.6,0.916,1.6797e-16
1120.0,0.0,0.7,7.0794e-17
1120.0,0.2,0.772,9.4422e-17
1120.0,0.4,0.844,1.2594e-16
1120.0,0.6,0.916,1.6797e-16
1130.0,0.0,0.7,7.0794e-17
1130.0,0.2,0.772,9.4422e-17
1130.0,0.4,0.844,1.2594e-16
1130.0,0.6,0.916,1.6797e-16
1140.0,0.0,0.7,7.0794e-17
1140.0,0.2,0.772,9.4422e-17
1140.0,0.4,0.844,1.2594e-16
1140.0,0.6,0.916,1.6797e-16
1150.0,0.0,0.7,7.0794e-17
1150.0,0.2,0.772,9.4422e-17
1150.0,0.4,0.844,1.2594e-16
1150.0,0.6,0.916,1.6797e-16
1160.0,0.0,0.7,7.0794e-17
1160.0,0.2,0.772,9.4422e-17
1160.0,0.4,0.844,1.2594e-16
1160.0,0.6,0.916,1.6797e-16
1170.0,0.0,0.7,7.0794e-17
1170.0,0.2,0.772,9.4422e-17
1170.0,0.4,0.844,1.2594e-16
1170.0,0.6,0.916,1.6797e-16
1180.0,0.0,0.7,7.0794e-17
1180.0,0.2,0.772,9.4422e-17
1180.0,0.4,0.844,1.2594e-16
1180.0,0.6,0.916,1.6797e-16
1190.0,0.0,0.7,7.0794e-17
1190.0,0.2,0.772,9.4422e-17
1190.0,0.4,0.844,1.2594e-16
1190.0,0.6,0.916,1.6797e-16
1200.0,0.0,0.7,7.0794e-17
1200.0,0.2,0.772,9.4422e-17
1200.0,0.4,0.844,1.2594e-16
1200.0,0.6,0.916,1.6797e-16
