T_C,k_W_mK,cp_J_kgK,rho_kg_m3,fc_MPa,ft_MPa,E_GPa,nu,alpha_1_K,eps_tts,porosity
830.0,0.3422,1154.9,1725.9,14.150,0.484,4.144,0.3070,1.713151e-05,-1.835065e-03,0.3004
840.0,0.3341,1155.5,1722.0,13.800,0.472,4.032,0.3060,1.715651e-05,-1.840387e-03,0.3008
850.0,0.3261,1156.1,1718.1,13.450,0.460,3.920,0.3050,1.718089e-05,-1.845559e-03,0.3011
860.0,0.3181,1156.7,1714.3,13.100,0.448,3.808,0.3040,1.720467e-05,-1.850585e-03,0.3015
870.0,0.3101,1157.3,1710.4,12.750,0.436,3.696,0.3030,1.722786e-05,-1.855469e-03,0.3019
880.0,0.3023,1157.8,1706.6,12.400,0.424,3.584,0.3020,1.725048e-05,-1.860217e-03,0.3023
890.0,0.2944,1158.4,1702.7,12.050,0.412,3.472,0.3010,1.727254e-05,-1.864830e-03,0.3026
900.0,0.2867,1158.9,1698.8,11.700,0.400,3.360,0.3000,1.729406e-05,-1.869313e-03,0.3030
910.0,0.2789,1159.4,1695.0,11.350,0.388,3.248,0.2990,1.731505e-05,-1.873670e-03,0.3033
920.0,0.2713,1159.9,1691.1,11.000,0.376,3.136,0.2980,1.733551e-05,-1.877905e-03,0.3037
930.0,0.2637,1160.4,1687.3,10.650,0.364,3.024,0.2970,1.735547e-05,-1.882020e-03,0.3040
940.0,0.2561,1160.9,1683.4,10.300,0.352,2.912,0.2960,1.737494e-05,-1.886019e-03,0.3043
950.0,0.2500,1161.4,1679.5,9.950,0.340,2.800,0.2950,1.739393e-05,-1.889905e-03,0.3046
960.0,0.2500,1161.9,1675.7,9.600,0.328,2.688,0.2940,1.741245e-05,-1.893682e-03,0.3049
970.0,0.2500,1162.3,1671.8,9.250,0.316,2.576,0.2930,1.743051e-05,-1.897353e-03,0.3052
980.0,0.2500,1162.7,1668.0,8.900,0.304,2.464,0.2920,1.744813e-05,-1.900920e-03,0.3055
990.0,0.2500,1163.2,1664.1,8.550,0.292,2.352,0.2910,1.746531e-05,-1.904387e-03,0.3058
1000.0,0.2500,1163.6,1660.2,8.200,0.280,2.240,0.2900,1.748207e-05,-1.907756e-03,0.3061
1010.0,0.2500,1164.0,1656.4,8.000,0.274,2.184,0.2890,1.749841e-05,-1.911031e-03,0.3064
1020.0,0.2500,1164.4,1652.5,7.800,0.268,2.128,0.2880,1.751435e-05,-1.914213e-03,0.3067
1030.0,0.2500,1164.8,1648.6,7.600,0.262,2.072,0.2870,1.752990e-05,-1.917305e-03,0.3069
1040.0,0.2500,1165.1,1644.8,7.400,0.256,2.016,0.2860,1.754506e-05,-1.920310e-03,0.3072
1050.0,0.2500,1165.5,1640.9,7.200,0.250,1.960,0.2850,1.755985e-05,-1.923231e-03,0.3075
1060.0,0.2500,1165.9,1637.1,7.000,0.244,1.904,0.2840,1.757427e-05,-1.926069e-03,0.3077
1070.0,0.2500,1166.2,1633.2,6.800,0.238,1.848,0.2830,1.758834e-05,-1.928828e-03,0.3080
1080.0,0.2500,1166.6,1629.3,6.600,0.232,1.792,0.2820,1.760205e-05,-1.931509e-03,0.3082
1090.0,0.2500,1166.9,1625.5,6.400,0.226,1.736,0.2810,1.761544e-05,-1.934114e-03,0.3084
1100.0,0.2500,1167.2,1621.6,6.200,0.220,1.680,0.2800,1.762849e-05,-1.936646e-03,0.3087
1110.0,0.2500,1167.5,1617.8,6.000,0.214,1.624,0.2790,1.764121e-05,-1.939106e-03,0.3089
1120.0,0.2500,1167.8,1613.9,5.800,0.208,1.568,0.2780,1.765363e-05,-1.941497e-03,0.3091
1130.0,0.2500,1168.1,1610.0,5.600,0.202,1.512,0.2770,1.766573e-05,-1.943821e-03,0.3093
1140.0,0.2500,1168.4,1606.2,5.400,0.196,1.456,0.2760,1.767754e-05,-1.946080e-03,0.3095
1150.0,0.2500,1168.7,1602.3,5.200,0.190,1.400,0.2750,1.768906e-05,-1.948274e-03,0.3098
1160.0,0.2500,1169.0,1598.5,5.000,0.184,1.344,0.2740,1.770029e-05,-1.950407e-03,0.3100
1170.0,0.2500,1169.3,1594.6,4.800,0.178,1.288,0.2730,1.771125e-05,-1.952480e-03,0.3102
1180.0,0.2500,1169.5,1590.7,4.600,0.172,1.232,0.2720,1.772193e-05,-1.954495e-03,0.3104
1190.0,0.2500,1169.8,1586.9,4.400,0.166,1.176,0.2710,1.773235e-05,-1.956453e-03,0.3106
1200.0,0.2500,1170.0,1583.0,4.200,0.160,1.120,0.2700,1.774252e-05,-1.958355e-03,0.3107
