T_C,stress_ratio,damage_index,intrinsic_permeability_m2
190.0,0.6,0.216,5.0229e-19
200.0,0.0,0.0,2.2705e-19
200.0,0.2,0.072,3.0283e-19
200.0,0.4,0.144,4.0390e-19
200.0,0.6,0.216,5.3871e-19
210.0,0.0,0.0078,2.5121e-19
210.0,0.2,0.0798,3.3505e-19
210.0,0.4,0.1518,4.4688e-19
210.0,0.6,0.2238,5.9603e-19
220.0,0.0,0.0156,2.7794e-19
220.0,0.2,0.0876,3.7070e-19
220.0,0.4,0.1596,4.9443e-19
220.0,0.6,0.2316,6.5944e-19
230.0,0.0,0.0233,3.0751e-19
230.0,0.2,0.0953,4.1014e-19
230.0,0.4,0.1673,5.4703e-19
230.0,0.6,0.2393,7.2961e-19
240.0,0.0,0.0311,3.4023e-19
240.0,0.2,0.1031,4.5378e-19
240.0,0.4,0.1751,6.0524e-19
240.0,0.6,0.2471,8.0724e-19
250.0,0.0,0.0389,3.7643e-19
250.0,0.2,0.1109,5.0206e-19
250.0,0.4,0.1829,6.6963e-19
250.0,0.6,0.2549,8.9313e-19
260.0,0.0,0.0467,4.1648e-19
260.0,0.2,0.1187,5.5548e-19
260.0,0.4,0.1907,7.4088e-19
260.0,0.6,0.2627,9.8816e-19
270.0,0.0,0.0544,4.6079e-19
270.0,0.2,0.1264,6.1459e-19
270.0,0.4,0.1984,8.1971e-19
270.0,0.6,0.2704,1.0933e-18
280.0,0.0,0.0622,5.0982e-19
280.0,0.2,0.1342,6.7998e-19
280.0,0.4,0.2062,9.0693e-19
280.0,0.6,0.2782,1.2096e-18
290.0,0.0,0.07,5.6407e-19
290.0,0.2,0.142,7.5233e-19
290.0,0.4,0.214,1.0034e-18
290.0,0.6,0.286,1.3383e-18
300.0,0.0,0.0778,6.2408e-19
300.0,0.2,0.1498,8.3238e-19
300.0,0.4,0.2218,1.1102e-18
300.0,0.6,0.2938,1.4807e-18
310.0,0.0,0.0856,6.9049e-19
310.0,0.2,0.1576,9.2094e-19
310.0,0.4,0.2296,1.2283e-18
310.0,0.6,0.3016,1.6383e-18
320.0,0.0,0.0933,7.6395e-19
320.0,0.2,0.1653,1.0189e-18
320.0,0.4,0.2373,1.3590e-18
320.0,0.6,0.3093,1.8126e-18
330.0,0.0,0.1011,8.4524e-19
330.0,0.2,0.1731,1.1273e-18
330.0,0.4,0.2451,1.5036e-18
330.0,0.6,0.3171,2.0054e-18
340.0,0.0,0.1089,9.3517e-19
340.0,0.2,0.1809,1.2473e-18
340.0,0.4,0.2529,1.6636e-18
340.0,0.6,0.3249,2.2188e-18
350.0,0.0,0.1167,1.0347e-18
350.0,0.2,0.1887,1.3800e-18
350.0,0.4,0.2607,1.8406e-18
350.0,0.6,0.3327,2.4549e-18
360.0,0.0,0.1244,1.1448e-18
360.0,0.2,0.1964,1.5268e-18
360.0,0.4,0.2684,2.0364e-18
360.0,0.6,0.3404,2.7161e-18
370.0,0.0,0.1322,1.2666e-18
370.0,0.2,0.2042,1.6893e-18
370.0,0.4,0.2762,2.2531e-18
370.0,0.6,0.3482,3.0051e-18
380.0,0.0,0.14,1.4013e-18
380.0,0.2,0.212,1.8690e-18
380.0,0.4,0.284,2.4928e-18
380.0,0.6,0.356,3.3248e-18
390.0,0.0,0.1478,1.5504e-18
390.0,0.2,0.2198,2.0679e-18
390.0,0.4,0.2918,2.7581e-18
390.0,0.6,0.3638,3.6786e-18
400.0,0.0,0.1556,1.7154e-18
400.0,0.2,0.2276,2.2879e-18
400.0,0.4,0.2996,3.0515e-18
400.0,0.6,0.3716,4.0700e-18
410.0,0.0,0.1633,1.8979e-18
410.0,0.2,0.2353,2.5313e-18
410.0,0.4,0.3073,3.3762e-18
410.0,0.6,0.3793,4.5030e-18
420.0,0.0,0.1711,2.0998e-18
420.0,0.2,0.2431,2.8007e-18
420.0,0.4,0.3151,3.7354e-18
420.0,0.6,0.3871,4.9822e-18
430.0,0.0,0.1789,2.3233e-18
430.0,0.2,0.2509,3.0987e-18
430.0,0.4,0.3229,4.1329e-18
430.0,0.6,0.3949,5.5123e-18
440.0,0.0,0.1867,2.5705e-18
440.0,0.2,0.2587,3.4284e-18
440.0,0.4,0.3307,4.5726e-18
440.0,0.6,0.4027,6.0988e-18
450.0,0.0,0.1944,2.8440e-18
450.0,0.2,0.2664,3.7931e-18
450.0,0.4,0.3384,5.0591e-18
450.0,0.6,0.4104,6.7477e-18
460.0,0.0,0.2022,3.1466e-18
460.0,0.2,0.2742,4.1967e-18
460.0,0.4,0.3462,5.5974e-18
460.0,0.6,0.4182,7.4656e-18
470.0,0.0,0.21,3.4813e-18
470.0,0.2,0.282,4.6433e-18
470.0,0.4,0.354,6.1930e-18
470.0,0.6,0.426,8.2600e-18
480.0,0.0,0.2178,3.8518e-18
480.0,0.2,0.2898,5.1373e-18
480.0,0.4,0.3618,6.8519e-18
480.0,0.6,0.4338,9.1388e-18
490.0,0.0,0.2256,4.2616e-18
490.0,0.2,0.2976,5.6839e-18
490.0,0.4,0.3696,7.5810e-18
490.0,0.6,0.4416,1.0111e-17
500.0,0.0,0.2333,4.7150e-18
500.0,0.2,0.3053,6.2887e-18
500.0,0.4,0.3773,8.3876e-18
500.0,0.6,0.4493,1.1187e-17
510.0,0.0,0.2411,5.2167e-18
510.0,0.2,0.3131,6.9578e-18
510.0,0.4,0.3851,9.2800e-18
510.0,0.6,0.4571,1.2377e-17
520.0,0.0,0.2489,5.7717e-18
520.0,0.2,0.3209,7.6981e-18
520.0,0.4,0.3929,1.0267e-17
520.0,0.6,0.4649,1.3694e-17
530.0,0.0,0.2567,6.3859e-18
530.0,0.2,0.3287,8.5172e-18
530.0,0.4,0.4007,1.1360e-17
530.0,0.6,0.4727,1.5151e-17
540.0,0.0,0.2644,7.0653e-18
540.0,0.2,0.3364,9.4234e-18
540.0,0.4,0.4084,1.2569e-17
540.0,0.6,0.4804,1.6763e-17
550.0,0.0,0.2722,7.8171e-18
550.0,0.2,0.3442,1.0426e-17
550.0,0.4,0.4162,1.3906e-17
550.0,0.6,0.4882,1.8547e-17
560.0,0.0,0.28,8.6488e-18
560.0,0.2,0.352,1.1535e-17
560.0,0.4,0.424,1.5385e-17
560.0,0.6,0.496,2.0520e-17
570.0,0.0,0.2878,9.5690e-18
570.0,0.2,0.3598,1.2763e-17
570.0,0.4,0.4318,1.7022e-17
570.0,0.6,0.5038,2.2704e-17
580.0,0.0,0.2956,1.0587e-17
580.0,0.2,0.3676,1.4121e-17
580.0,0.4,0.4396,1.8834e-17
580.0,0.6,0.5116,2.5119e-17
590.0,0.0,0.3033,1.1714e-17
590.0,0.2,0.3753,1.5623e-17
590.0,0.4,0.4473,2.0837e-17
590.0,0.6,0.5193,2.7792e-17
600.0,0.0,0.3111,1.2960e-17
600.0,0.2,0.3831,1.7285e-17
600.0,0.4,0.4551,2.3055e-17
600.0,0.6,0.5271,3.0749e-17
610.0,0.0,0.3189,1.4339e-17
610.0,0.2,0.3909,1.9125e-17
610.0,0.4,0.4629,2.5508e-17
610.0,0.6,0.5349,3.4021e-17
620.0,0.0,0.3267,1.5865e-17
620.0,0.2,0.3987,2.1159e-17
620.0,0.4,0.4707,2.8222e-17
620.0,0.6,0.5427,3.7641e-17
630.0,0.0,0.3344,1.7552e-17
630.0,0.2,0.4064,2.3411e-17
630.0,0.4,0.4784,3.1224e-17
630.0,0.6,0.5504,4.1646e-17
640.0,0.0,0.3422,1.9420e-17
640.0,0.2,0.4142,2.5902e-17
640.0,0.4,0.4862,3.4547e-17
640.0,0.6,0.5582,4.6077e-17
650.0,0.0,0.35,2.1486e-17
650.0,0.2,0.422,2.8658e-17
650.0,0.4,0.494,3.8222e-17
650.0,0.6,0.566,5.0979e-17
660.0,0.0,0.3578,2.2165e-17
660.0,0.2,0.4298,2.9563e-17
660.0,0.4,0.5018,3.9430e-17
660.0,0.6,0.5738,5.2590e-17
670.0,0.0,0.3656,2.2866e-17
670.0,0.2,0.4376,3.0497e-17
670.0,0.4,0.5096,4.0676e-17
670.0,0.6,0.5816,5.4252e-17
680.0,0.0,0.3733,2.3588e-17
680.0,0.2,0.4453,3.1461e-17
680.0,0.4,0.5173,4.1961e-17
680.0,0.6,0.5893,5.5966e-17
690.0,0.0,0.3811,2.4334e-17
690.0,0.2,0.4531,3.2455e-17
690.0,0.4,0.5251,4.3287e-17
690.0,0.6,0.5971,5.7735e-17
700.0,0.0,0.3889,2.5103e-17
700.0,0.2,0.4609,3.3481e-17
700.0,0.4,0.5329,4.4655e-17
700.0,0.6,0.6049,5.9559e-17
710.0,0.0,0.3967,2.5896e-17
710.0,0.2,0.4687,3.4539e-17
710.0,0.4,0.5407,4.6066e-17
710.0,0.6,0.6127,6.1441e-17
720.0,0.0,0.4044,2.6714e-17
720.0,0.2,0.4764,3.5630e-17
720.0,0.4,0.5484,4.7522e-17
720.0,0.6,0.6204,6.3383e-17
730.0,0.0,0.4122,2.7558e-17
730.0,0.2,0.4842,3.6756e-17
730.0,0.4,0.5562,4.9024e-17
730.0,0.6,0.6282,6.5386e-17
740.0,0.0,0.42,2.8429e-17
740.0,0.2,0.492,3.7918e-17
740.0,0.4,0.564,5.0573e-17
740.0,0.6,0.636,6.7452e-17
750.0,0.0,0.4278,2.9328e-17
750.0,0.2,0.4998,3.9116e-17
750.0,0.4,0.5718,5.2171e-17
750.0,0.6,0.6438,6.9584e-17
760.0,0.0,0.4356,3.0254e-17
760.0,0.2,0.5076,4.0352e-17
760.0,0.4,0.5796,5.3820e-17
760.0,0.6,0.6516,7.1783e-17
770.0,0.0,0.4433,3.1210e-17
770.0,0.2,0.5153,4.1627e-17
770.0,0.4,0.5873,5.5520e-17
770.0,0.6,0.6593,7.4051e-17
780.0,0.0,0.4511,3.2197e-17
780.0,0.2,0.5231,4.2943e-17
780.0,0.4,0.5951,5.7275e-17
780.0,0.6,0.6671,7.6391e-17
790.0,0.0,0.4589,3.3214e-17
790.0,0.2,0.5309,4.4300e-17
790.0,0.4,0.6029,5.9085e-17
790.0,0.6,0.6749,7.8805e-17
800.0,0.0,0.4667,3.4264e-17
800.0,0.2,0.5387,4.5699e-17
800.0,0.4,0.6107,6.0952e-17
800.0,0.6,0.6827,8.1295e-17
810.0,0.0,0.4744,3.5346e-17
810.0,0.2,0.5464,4.7144e-17
810.0,0.4,0.6184,6.2878e-17
810.0,0.6,0.6904,8.3864e-17
820.0,0.0,0.4822,3.6463e-17
820.0,0.2,0.5542,4.8633e-17
820.0,0.4,0.6262,6.4865e-17
820.0,0.6,0.6982,8.6514e-17
830.0,0.0,0.49,3.7616e-17
830.0,0.2,0.562,5.0170e-17
830.0,0.4,0.634,6.6915e-17
830.0,0.6,0.706,8.9248e-17
840.0,0.0,0.4978,3.8804e-17
840.0,0.2,0.5698,5.1755e-17
840.0,0.4,0.6418,6.9029e-17
840.0,0.6,0.7138,9.2068e-17
850.0,0.0,0.5056,4.0030e-17
850.0,0.2,0.5776,5.3391e-17
850.0,0.4,0.6496,7.1211e-17
850.0,0.6,0.7216,9.4978e-17
860.0,0.0,0.5133,4.1295e-17
860.0,0.2,0.5853,5.5078e-17
860.0,0.4,0.6573,7.3461e-17
860.0,0.6,0.7293,9.7979e-17
870.0,0.0,0.5211,4.2600e-17
870.0,0.2,0.5931,5.6819e-17
870.0,0.4,0.6651,7.5782e-17
870.0,0.6,0.7371,1.0108e-16
880.0,0.0,0.5289,4.3947e-17
880.0,0.2,0.6009,5.8614e-17
880.0,0.4,0.6729,7.8177e-17
880.0,0.6,0.7449,1.0427e-16
890.0,0.0,0.5367,4.5335e-17
890.0,0.2,0.6087,6.0466e-17
890.0,0.4,0.6807,8.0647e-17
890.0,0.6,0.7527,1.0756e-16
900.0,0.0,0.5444,4.6768e-17
900.0,0.2,0.6164,6.2377e-17
900.0,0.4,0.6884,8.3196e-17
900.0,0.6,0.7604,1.1096e-16
910.0,0.0,0.5522,4.8246e-17
910.0,0.2,0.6242,6.4348e-17
910.0,0.4,0.6962,8.5825e-17
910.0,0.6,0.7682,1.1447e-16
920.0,0.0,0.56,4.9770e-17
920.0,0.2,0.632,6.6382e-17
920.0,0.4,0.704,8.8537e-17
920.0,0.6,0.776,1.1809e-16
930.0,0.0,0.5678,5.1343e-17
930.0,0.2,0.6398,6.8479e-17
930.0,0.4,0.7118,9.1335e-17
930.0,0.6,0.7838,1.2182e-16
940.0,0.0,0.5756,5.2966e-17
940.0,0.2,0.6476,7.0643e-17
940.0,0.4,0.7196,9.4221e-17
940.0,0.6,0.7916,1.2567e-16
950.0,0.0,0.5833,5.4639e-17
950.0,0.2,0.6553,7.2875e-17
950.0,0.4,0.7273,9.7198e-17
950.0,0.6,0.7993,1.2964e-16
960.0,0.0,0.5911,5.6366e-17
960.0,0.2,0.6631,7.5178e-17
960.0,0.4,0.7351,1.0027e-16
960.0,0.6,0.8071,1.3374e-16
970.0,0.0,0.5989,5.8147e-17
970.0,0.2,0.6709,7.7554e-17
970.0,0.4,0.7429,1.0344e-16
970.0,0.6,0.8149,1.3796e-16
980.0,0.0,0.6067,5.9984e-17
980.0,0.2,0.6787,8.0005e-17
980.0,0.4,0.7507,1.0671e-16
980.0,0.6,0.8227,1.4232e-16
990.0,0.0,0.6144,6.1880e-17
990.0,0.2,0.6864,8.2533e-17
990.0,0.4,0.7584,1.1008e-16
990.0,0.6,0.8304,1.4682e-16
1000.0,0.0,0.6222,6.3835e-17
1000.0,0.2,0.6942,8.5141e-17
1000.0,0.4,0.7662,1.1356e-16
1000.0,0.6,0.8382,1.5146e-16
1010.0,0.0,0.63,6.5853e-17
1010.0,0.2,0.702,8.7831e-17
1010.0,0.4,0.774,1.1715e-16
1010.0,0.6,0.846,1.5624e-16
1020.0,0.0,0.6378,6.7934e-17
1020.0,0.2,0.7098,9.0607e-17
1020.0,0.4,0.7818,1.2085e-16
1020.0,0.6,0.8538,1.6118e-16
1030.0,0.0,0.6456,7.0080e-17
1030.0,0.2,0.7176,9.3470e-17
1030.0,0.4,0.7896,1.2467e-16
1030.0,0.6,0.8616,1.6627e-16
1040.0,0.0,0.6533,7.2295e-17
1040.0,0.2,0.7253,9.6424e-17
1040.0,0.4,0.7973,1.2861e-16
1040.0,0.6,0.8693,1.7153e-16
1050.0,0.0,0.6611,7.4579e-17
1050.0,0.2,0.7331,9.9471e-17
1050.0,0.4,0.8051,1.3267e-16
1050.0,0.6,0.8771,1.7695e-16
1060.0,0.0,0.6689,7.6936e-17
1060.0,0.2,0.7409,1.0261e-16
1060.0,0.4,0.8129,1.3686e-16
1060.0,0.6,0.8849,1.8254e-16
1070.0,0.0,0.6767,7.9367e-17
1070.0,0.2,0.7487,1.0586e-16
1070.0,0.4,0.8207,1.4119e-16
1070.0,0.6,0.8927,1.8831e-16
1080.0,0.0,0.6844,8.1875e-17
1080.0,0.2,0.7564,1.0920e-16
1080.0,0.4,0.8284,1.4565e-16
1080.0,0.6,0.9004,1.9426e-16
1090.0,0.0,0.6922,8.4462e-17
1090.0,0.2,0.7642,1.1265e-16
1090.0,0.4,0.8362,1.5025e-16
1090.0,0.6,0.9082,2.0040e-16
1100.0,0.0,0.7,8.7132e-17
1100.0,0.2,0.772,1.1621e-16
1100.0,0.4,0.844,1.5500e-16
1100.0,0.6,0.916,2.0673e-16
1110.0,0.0,0.7,8.7132e-17
1110.0,0.2,0.772,1.1621e-16
1110.0,0.4,0.844,1.5500e-16
1110.0,0.6,0.916,2.0673e-16
1120.0,0.0,0.7,8.7132e-17
1120.0,0.2,0.772,1.1621e-16
1120.0,0.4,0.844,1.5500e-16
1120.0,0.6,0.916,2.0673e-16
1130.0,0.0,0.7,8.7132e-17
1130.0,0.2,0.772,1.1621e-16
1130.0,0.4,0.844,1.5500e-16
1130.0,0.6,0.916,2.0673e-16
1140.0,0.0,0.7,8.7132e-17
1140.0,0.2,0.772,1.1621e-16
1140.0,0.4,0.844,1.5500e-16
1140.0,0.6,0.916,2.0673e-16
1150.0,0.0,0.7,8.7132e-17
1150.0,0.2,0.772,1.1621e-16
1150.0,0.4,0.844,1.5500e-16
1150.0,0.6,0.916,2.0673e-16
1160.0,0.0,0.7,8.7132e-17
1160.0,0.2,0.772,1.1621e-16
1160.0,0.4,0.844,1.5500e-16
1160.0,0.6,0.916,2.0673e-16
1170.0,0.0,0.7,8.7132e-17
1170.0,0.2,0.772,1.1621e-16
1170.0,0.4,0.844,1.5500e-16
1170.0,0.6,0.916,2.0673e-16
1180.0,0.0,0.7,8.7132e-17
1180.0,0.2,0.772,1.1621e-16
1180.0,0.4,0.844,1.5500e-16
1180.0,0.6,0.916,2.0673e-16
1190.0,0.0,0.7,8.7132e-17
1190.0,0.2,0.772,1.1621e-16
1190.0,0.4,0.844,1.5500e-16
1190.0,0.6,0.916,2.0673e-16
1200.0,0.0,0.7,8.7132e-17
1200.0,0.2,0.772,1.1621e-16
1200.0,0.4,0.844,1.5500e-16
1200.0,0.6,0.916,2.0673e-16
