T_C,k_W_mK,cp_J_kgK,rho_kg_m3,fc_MPa,ft_MPa,E_GPa,nu,alpha_1_K,eps_tts,porosity
340.0,1.4765,1014.5,2259.1,59.150,3.520,25.650,0.2510,1.530971e-05,-1.367208e-03,0.1693
350.0,1.4569,1016.6,2256.0,58.625,3.438,25.175,0.2525,1.539836e-05,-1.390665e-03,0.1703
360.0,1.4374,1018.7,2252.9,58.100,3.355,24.700,0.2540,1.548481e-05,-1.413462e-03,0.1713
370.0,1.4180,1020.7,2249.7,57.575,3.272,24.225,0.2555,1.556914e-05,-1.435616e-03,0.1723
380.0,1.3987,1022.7,2246.6,57.050,3.190,23.750,0.2570,1.565138e-05,-1.457147e-03,0.1732
390.0,1.3794,1024.6,2243.5,56.525,3.107,23.275,0.2585,1.573158e-05,-1.478071e-03,0.1742
400.0,1.3603,1026.4,2240.3,56.000,3.025,22.800,0.2600,1.580981e-05,-1.498406e-03,0.1751
410.0,1.3413,1028.2,2237.2,55.125,2.951,22.325,0.2615,1.588611e-05,-1.518167e-03,0.1760
420.0,1.3224,1030.0,2234.1,54.250,2.877,21.850,0.2630,1.596052e-05,-1.537373e-03,0.1768
430.0,1.3036,1031.7,2230.9,53.375,2.802,21.375,0.2645,1.603310e-05,-1.556037e-03,0.1777
440.0,1.2848,1033.4,2227.8,52.500,2.728,20.900,0.2660,1.610388e-05,-1.574176e-03,0.1785
450.0,1.2662,1035.1,2224.7,51.625,2.654,20.425,0.2675,1.617292e-05,-1.591803e-03,0.1793
460.0,1.2477,1036.7,2221.5,50.750,2.580,19.950,0.2690,1.624025e-05,-1.608934e-03,0.1801
470.0,1.2292,1038.2,2218.4,49.875,2.505,19.475,0.2705,1.630592e-05,-1.625583e-03,0.1809
480.0,1.2109,1039.8,2215.3,49.000,2.431,19.000,0.2720,1.636997e-05,-1.641763e-03,0.1817
490.0,1.1926,1041.2,2212.1,48.125,2.357,18.525,0.2735,1.643244e-05,-1.657487e-03,0.1825
500.0,1.1745,1042.7,2209.0,47.250,2.283,18.050,0.2750,1.649336e-05,-1.672768e-03,0.1832
510.0,1.1564,1044.1,2205.9,46.375,2.208,17.575,0.2765,1.655278e-05,-1.687618e-03,0.1839
520.0,1.1385,1045.5,2202.7,45.500,2.134,17.100,0.2780,1.661073e-05,-1.702051e-03,0.1847
530.0,1.1206,1046.8,2199.6,44.625,2.060,16.625,0.2795,1.666726e-05,-1.716076e-03,0.1854
540.0,1.1028,1048.2,2196.5,43.750,1.986,16.150,0.2810,1.672238e-05,-1.729707e-03,0.1860
550.0,1.0852,1049.4,2193.3,42.875,1.911,15.675,0.2825,1.677615e-05,-1.742954e-03,0.1867
560.0,1.0676,1050.7,2190.2,42.000,1.837,15.200,0.2840,1.682859e-05,-1.755828e-03,0.1874
570.0,1.0501,1051.9,2187.1,41.125,1.763,14.725,0.2855,1.687973e-05,-1.768339e-03,0.1880
580.0,1.0327,1053.1,2183.9,40.250,1.689,14.250,0.2870,1.692961e-05,-1.780497e-03,0.1887
590.0,1.0154,1054.2,2180.8,39.375,1.614,13.775,0.2885,1.697826e-05,-1.792314e-03,0.1893
600.0,0.9983,1055.4,2177.7,38.500,1.540,13.300,0.2900,1.702571e-05,-1.803797e-03,0.1899
610.0,0.9812,1056.5,2174.5,37.695,1.496,12.977,0.2890,1.707198e-05,-1.814957e-03,0.1905
620.0,0.9642,1057.6,2171.4,36.890,1.452,12.654,0.2880,1.711712e-05,-1.825802e-03,0.1911
630.0,0.9473,1058.6,2168.3,36.085,1.408,12.331,0.2870,1.716114e-05,-1.836342e-03,0.1916
640.0,0.9305,1059.6,2165.1,35.280,1.364,12.008,0.2860,1.720407e-05,-1.846586e-03,0.1922
650.0,0.9137,1060.6,2162.0,34.475,1.320,11.685,0.2850,1.724594e-05,-1.856540e-03,0.1927
660.0,0.8971,1061.6,2158.9,33.670,1.276,11.362,0.2840,1.728678e-05,-1.866215e-03,0.1933
670.0,0.8806,1062.5,2155.7,32.865,1.232,11.039,0.2830,1.732661e-05,-1.875616e-03,0.1938
680.0,0.8642,1063.5,2152.6,32.060,1.188,10.716,0.2820,1.736546e-05,-1.884753e-03,0.1943
690.0,0.8479,1064.4,2149.5,31.255,1.144,10.393,0.2810,1.740335e-05,-1.893633e-03,0.1948
700.0,0.8316,1065.2,2146.3,30.450,1.100,10.070,0.2800,1.744030e-05,-1.902262e-03,0.1953
710.0,0.8155,1066.1,2143.2,29.645,1.056,9.747,0.2790,1.747634e-05,-1.910649e-03,0.1958
720.0,0.7995,1066.9,2140.1,28.840,1.012,9.424,0.2780,1.751149e-05,-1.918799e-03,0.1963
730.0,0.7835,1067.8,2136.9,28.035,0.968,9.101,0.2770,1.754577e-05,-1.926720e-03,0.1968
740.0,0.7677,1068.6,2133.8,27.230,0.924,8.778,0.2760,1.757921e-05,-1.934417e-03,0.1972
750.0,0.7520,1069.3,2130.7,26.425,0.880,8.455,0.2750,1.761182e-05,-1.941898e-03,0.1977
760.0,0.7363,1070.1,2127.5,25.620,0.836,8.132,0.2740,1.764362e-05,-1.949168e-03,0.1981
770.0,0.7207,1070.8,2124.4,24.815,0.792,7.809,0.2730,1.767464e-05,-1.956233e-03,0.1986
780.0,0.7053,1071.5,2121.3,24.010,0.748,7.486,0.2720,1.770490e-05,-1.963099e-03,0.1990
790.0,0.6899,1072.2,2118.1,23.205,0.704,7.163,0.2710,1.773440e-05,-1.969772e-03,0.1994
800.0,0.6747,1072.9,2115.0,22.400,0.660,6.840,0.2700,1.776318e-05,-1.976257e-03,0.1998
810.0,0.6595,1073.6,2110.3,21.910,0.643,6.688,0.2690,1.779125e-05,-1.982559e-03,0.2002
820.0,0.6444,1074.3,2105.6,21.420,0.627,6.536,0.2680,1.781863e-05,-1.988684e-03,0.2006
830.0,0.6294,1074.9,2100.9,20.930,0.610,6.384,0.2670,1.784533e-05,-1.994636e-03,0.2010
840.0,0.6146,1075.5,2096.2,20.440,0.594,6.232,0.2660,1.787137e-05,-2.000421e-03,0.2014
850.0,0.5998,1076.1,2091.5,19.950,0.578,6.080,0.2650,1.789676e-05,-2.006042e-03,0.2017
860.0,0.5851,1076.7,2086.8,19.460,0.561,5.928,0.2640,1.792153e-05,-2.011505e-03,0.2021
870.0,0.5705,1077.3,2082.1,18.970,0.544,5.776,0.2630,1.794569e-05,-2.016815e-03,0.2024
880.0,0.5560,1077.8,2077.4,18.480,0.528,5.624,0.2620,1.796925e-05,-2.021974e-03,0.2028
890.0,0.5416,1078.4,2072.7,17.990,0.511,5.472,0.2610,1.799223e-05,-2.026989e-03,0.2031
900.0,0.5273,1078.9,2068.0,17.500,0.495,5.320,0.2600,1.801465e-05,-2.031862e-03,0.2035
910.0,0.5131,1079.4,2063.3,17.010,0.478,5.168,0.2590,1.803651e-05,-2.036598e-03,0.2038
920.0,0.4990,1079.9,2058.6,16.520,0.462,5.016,0.2580,1.805783e-05,-2.041201e-03,0.2041
930.0,0.4850,1080.4,2053.9,16.030,0.445,4.864,0.2570,1.807862e-05,-2.045674e-03,0.2044
940.0,0.4711,1080.9,2049.2,15.540,0.429,4.712,0.2560,1.809890e-05,-2.050021e-03,0.2047
950.0,0.4572,1081.4,2044.5,15.050,0.412,4.560,0.2550,1.811868e-05,-2.054245e-03,0.2050
960.0,0.4435,1081.9,2039.8,14.560,0.396,4.408,0.2540,1.813797e-05,-2.058351e-03,0.2053
970.0,0.4299,1082.3,2035.1,14.070,0.380,4.256,0.2530,1.815678e-05,-2.062340e-03,0.2056
980.0,0.4164,1082.7,2030.4,13.580,0.363,4.104,0.2520,1.817513e-05,-2.066218e-03,0.2059
990.0,0.4029,1083.2,2025.7,13.090,0.347,3.952,0.2510,1.819303e-05,-2.069986e-03,0.2062
1000.0,0.3896,1083.6,2021.0,12.600,0.330,3.800,0.2500,1.821049e-05,-2.073648e-03,0.2065
1010.0,0.3763,1084.0,2016.3,12.320,0.322,3.724,0.2490,1.822751e-05,-2.077207e-03,0.2067
1020.0,0.3632,1084.4,2011.6,12.040,0.314,3.648,0.2480,1.824411e-05,-2.080666e-03,0.2070
1030.0,0.3501,1084.8,2006.9,11.760,0.305,3.572,0.2470,1.826031e-05,-2.084027e-03,0.2073
1040.0,0.3372,1085.1,2002.2,11.480,0.297,3.496,0.2460,1.827610e-05,-2.087294e-03,0.2075
1050.0,0.3243,1085.5,1997.5,11.200,0.289,3.420,0.2450,1.829151e-05,-2.090468e-03,0.2078
1060.0,0.3116,1085.9,1992.8,10.920,0.280,3.344,0.2440,1.830653e-05,-2.093554e-03,0.2080
1070.0,0.2989,1086.2,1988.1,10.640,0.272,3.268,0.2430,1.832118e-05,-2.096552e-03,0.2082
1080.0,0.2863,1086.6,1983.4,10.360,0.264,3.192,0.2420,1.833547e-05,-2.099466e-03,0.2085
1090.0,0.2739,1086.9,1978.7,10.080,0.256,3.116,0.2410,1.834941e-05,-2.102298e-03,0.2087
1100.0,0.2615,1087.2,1974.0,9.800,0.247,3.040,0.2400,1.836301e-05,-2.105050e-03,0.2089
1110.0,0.2500,1087.5,1969.3,9.520,0.239,2.964,0.2390,1.837626e-05,-2.107724e-03,0.2091
1120.0,0.2500,1087.8,1964.6,9.240,0.231,2.888,0.2380,1.838920e-05,-2.110323e-03,0.2094
1130.0,0.2500,1088.1,1959.9,8.960,0.223,2.812,0.2370,1.840181e-05,-2.112849e-03,0.2096
1140.0,0.2500,1088.4,1955.2,8.680,0.214,2.736,0.2360,1.841411e-05,-2.115304e-03,0.2098
1150.0,0.2500,1088.7,1950.5,8.400,0.206,2.660,0.2350,1.842610e-05,-2.117690e-03,0.2100
1160.0,0.2500,1089.0,1945.8,8.120,0.198,2.584,0.2340,1.843780e-05,-2.120008e-03,0.2102
1170.0,0.2500,1089.3,1941.1,7.840,0.190,2.508,0.2330,1.844922e-05,-2.122261e-03,0.2104
1180.0,0.2500,1089.5,1936.4,7.560,0.181,2.432,0.2320,1.846035e-05,-2.124451e-03,0.2106
1190.0,0.2500,1089.8,1931.7,7.280,0.173,2.356,0.2310,1.847120e-05,-2.126579e-03,0.2107
1200.0,0.2500,1090.0,1927.0,7.000,0.165,2.280,0.2300,1.848179e-05,-2.128647e-03,0.2109
