T_C,k_W_mK,cp_J_kgK,rho_kg_m3,fc_MPa,ft_MPa,E_GPa,nu,alpha_1_K,eps_tts,porosity
440.0,0.8970,1083.4,1984.8,43.036,2.305,17.280,0.2860,1.578181e-05,-1.511209e-03,0.2324
450.0,0.8840,1085.1,1981.8,42.311,2.243,16.880,0.2875,1.584946e-05,-1.528131e-03,0.2332
460.0,0.8711,1086.7,1978.7,41.586,2.180,16.480,0.2890,1.591545e-05,-1.544577e-03,0.2341
470.0,0.8582,1088.2,1975.7,40.861,2.118,16.080,0.2905,1.597980e-05,-1.560560e-03,0.2349
480.0,0.8454,1089.8,1972.7,40.136,2.056,15.680,0.2920,1.604257e-05,-1.576092e-03,0.2357
490.0,0.8327,1091.2,1969.6,39.411,1.994,15.280,0.2935,1.610379e-05,-1.591187e-03,0.2365
500.0,0.8200,1092.7,1966.6,38.686,1.932,14.880,0.2950,1.616349e-05,-1.605857e-03,0.2373
510.0,0.8074,1094.1,1963.6,37.961,1.870,14.480,0.2965,1.622172e-05,-1.620114e-03,0.2380
520.0,0.7949,1095.5,1960.5,37.236,1.808,14.080,0.2980,1.627852e-05,-1.633969e-03,0.2388
530.0,0.7824,1096.8,1957.5,36.511,1.746,13.680,0.2995,1.633391e-05,-1.647433e-03,0.2395
540.0,0.7700,1098.2,1954.5,35.786,1.684,13.280,0.3010,1.638793e-05,-1.660519e-03,0.2402
550.0,0.7576,1099.4,1951.4,35.061,1.621,12.880,0.3025,1.644062e-05,-1.673236e-03,0.2409
560.0,0.7454,1100.7,1948.4,34.336,1.559,12.480,0.3040,1.649201e-05,-1.685595e-03,0.2416
570.0,0.7332,1101.9,1945.4,33.611,1.497,12.080,0.3055,1.654213e-05,-1.697605e-03,0.2423
580.0,0.7210,1103.1,1942.3,32.886,1.435,11.680,0.3070,1.659102e-05,-1.709277e-03,0.2429
590.0,0.7090,1104.2,1939.3,32.161,1.373,11.280,0.3085,1.663869e-05,-1.720621e-03,0.2436
600.0,0.6970,1105.4,1936.3,31.436,1.311,10.880,0.3100,1.668519e-05,-1.731645e-03,0.2442
610.0,0.6850,1106.5,1933.5,30.769,1.274,10.608,0.3090,1.673054e-05,-1.742359e-03,0.2448
620.0,0.6732,1107.6,1930.7,30.102,1.237,10.336,0.3080,1.677477e-05,-1.752770e-03,0.2454
630.0,0.6614,1108.6,1927.9,29.435,1.201,10.064,0.3070,1.681791e-05,-1.762889e-03,0.2460
640.0,0.6496,1109.6,1925.1,28.768,1.164,9.792,0.3060,1.685999e-05,-1.772722e-03,0.2466
650.0,0.6380,1110.6,1922.3,28.101,1.127,9.520,0.3050,1.690102e-05,-1.782279e-03,0.2472
660.0,0.6264,1111.6,1919.6,27.434,1.090,9.248,0.3040,1.694105e-05,-1.791566e-03,0.2477
670.0,0.6148,1112.5,1916.8,26.767,1.053,8.976,0.3030,1.698008e-05,-1.800592e-03,0.2483
680.0,0.6034,1113.5,1914.0,26.100,1.017,8.704,0.3020,1.701815e-05,-1.809363e-03,0.2488
690.0,0.5920,1114.4,1911.2,25.433,0.980,8.432,0.3010,1.705528e-05,-1.817888e-03,0.2493
700.0,0.5806,1115.2,1908.4,24.766,0.943,8.160,0.3000,1.709149e-05,-1.826172e-03,0.2499
710.0,0.5694,1116.1,1905.6,24.099,0.906,7.888,0.2990,1.712681e-05,-1.834223e-03,0.2504
720.0,0.5582,1116.9,1902.8,23.432,0.869,7.616,0.2980,1.716126e-05,-1.842047e-03,0.2509
730.0,0.5471,1117.8,1900.1,22.765,0.833,7.344,0.2970,1.719486e-05,-1.849651e-03,0.2513
740.0,0.5360,1118.6,1897.3,22.098,0.796,7.072,0.2960,1.722762e-05,-1.857040e-03,0.2518
750.0,0.5250,1119.3,1894.5,21.431,0.759,6.800,0.2950,1.725958e-05,-1.864222e-03,0.2523
760.0,0.5141,1120.1,1891.7,20.764,0.722,6.528,0.2940,1.729075e-05,-1.871201e-03,0.2527
770.0,0.5032,1120.8,1888.9,20.097,0.685,6.256,0.2930,1.732115e-05,-1.877984e-03,0.2532
780.0,0.4924,1121.5,1886.1,19.430,0.649,5.984,0.2920,1.735080e-05,-1.884575e-03,0.2536
790.0,0.4817,1122.2,1883.3,18.763,0.612,5.712,0.2910,1.737972e-05,-1.890981e-03,0.2540
800.0,0.4710,1122.9,1880.5,18.096,0.575,5.440,0.2900,1.740792e-05,-1.897207e-03,0.2545
810.0,0.4604,1123.6,1876.4,17.690,0.561,5.312,0.2890,1.743543e-05,-1.903257e-03,0.2549
820.0,0.4499,1124.3,1872.2,17.284,0.547,5.184,0.2880,1.746225e-05,-1.909136e-03,0.2553
830.0,0.4395,1124.9,1868.0,16.878,0.534,5.056,0.2870,1.748842e-05,-1.914851e-03,0.2557
840.0,0.4291,1125.5,1863.8,16.472,0.520,4.928,0.2860,1.751394e-05,-1.920404e-03,0.2561
850.0,0.4188,1126.1,1859.7,16.066,0.506,4.800,0.2850,1.753883e-05,-1.925800e-03,0.2564
860.0,0.4085,1126.7,1855.5,15.660,0.492,4.672,0.2840,1.756310e-05,-1.931045e-03,0.2568
870.0,0.3983,1127.3,1851.3,15.254,0.478,4.544,0.2830,1.758678e-05,-1.936142e-03,0.2572
880.0,0.3882,1127.8,1847.1,14.848,0.465,4.416,0.2820,1.760987e-05,-1.941095e-03,0.2575
890.0,0.3781,1128.4,1842.9,14.442,0.451,4.288,0.2810,1.763239e-05,-1.945909e-03,0.2579
900.0,0.3682,1128.9,1838.8,14.036,0.437,4.160,0.2800,1.765435e-05,-1.950588e-03,0.2582
910.0,0.3582,1129.4,1834.6,13.630,0.423,4.032,0.2790,1.767578e-05,-1.955134e-03,0.2586
920.0,0.3484,1129.9,1830.4,13.224,0.409,3.904,0.2780,1.769667e-05,-1.959553e-03,0.2589
930.0,0.3386,1130.4,1826.2,12.818,0.396,3.776,0.2770,1.771705e-05,-1.963847e-03,0.2592
940.0,0.3289,1130.9,1822.0,12.412,0.382,3.648,0.2760,1.773692e-05,-1.968020e-03,0.2595
950.0,0.3192,1131.4,1817.9,12.006,0.368,3.520,0.2750,1.775630e-05,-1.972075e-03,0.2598
960.0,0.3097,1131.9,1813.7,11.600,0.354,3.392,0.2740,1.777521e-05,-1.976017e-03,0.2601
970.0,0.3001,1132.3,1809.5,11.194,0.340,3.264,0.2730,1.779365e-05,-1.979847e-03,0.2604
980.0,0.2907,1132.7,1805.3,10.788,0.327,3.136,0.2720,1.781163e-05,-1.983569e-03,0.2607
990.0,0.2813,1133.2,1801.1,10.382,0.313,3.008,0.2710,1.782917e-05,-1.987187e-03,0.2610
1000.0,0.2720,1133.6,1797.0,9.976,0.299,2.880,0.2700,1.784628e-05,-1.990702e-03,0.2613
1010.0,0.2628,1134.0,1792.8,9.744,0.292,2.816,0.2690,1.786296e-05,-1.994119e-03,0.2616
1020.0,0.2536,1134.4,1788.6,9.512,0.285,2.752,0.2680,1.787923e-05,-1.997439e-03,0.2618
1030.0,0.2500,1134.8,1784.4,9.280,0.278,2.688,0.2670,1.789510e-05,-2.000666e-03,0.2621
1040.0,0.2500,1135.1,1780.3,9.048,0.271,2.624,0.2660,1.791058e-05,-2.003802e-03,0.2624
1050.0,0.2500,1135.5,1776.1,8.816,0.265,2.560,0.2650,1.792568e-05,-2.006850e-03,0.2626
1060.0,0.2500,1135.9,1771.9,8.584,0.258,2.496,0.2640,1.794040e-05,-2.009811e-03,0.2629
1070.0,0.2500,1136.2,1767.7,8.352,0.251,2.432,0.2630,1.795476e-05,-2.012690e-03,0.2631
1080.0,0.2500,1136.6,1763.5,8.120,0.244,2.368,0.2620,1.796876e-05,-2.015487e-03,0.2633
1090.0,0.2500,1136.9,1759.4,7.888,0.237,2.304,0.2610,1.798242e-05,-2.018206e-03,0.2636
1100.0,0.2500,1137.2,1755.2,7.656,0.230,2.240,0.2600,1.799575e-05,-2.020848e-03,0.2638
1110.0,0.2500,1137.5,1751.0,7.424,0.223,2.176,0.2590,1.800874e-05,-2.023415e-03,0.2640
1120.0,0.2500,1137.8,1746.8,7.192,0.216,2.112,0.2580,1.802141e-05,-2.025910e-03,0.2642
1130.0,0.2500,1138.1,1742.6,6.960,0.209,2.048,0.2570,1.803377e-05,-2.028335e-03,0.2644
1140.0,0.2500,1138.4,1738.5,6.728,0.202,1.984,0.2560,1.804583e-05,-2.030692e-03,0.2647
1150.0,0.2500,1138.7,1734.3,6.496,0.196,1.920,0.2550,1.805758e-05,-2.032982e-03,0.2649
1160.0,0.2500,1139.0,1730.1,6.264,0.189,1.856,0.2540,1.806905e-05,-2.035208e-03,0.2651
1170.0,0.2500,1139.3,1725.9,6.032,0.182,1.792,0.2530,1.808023e-05,-2.037371e-03,0.2653
1180.0,0.2500,1139.5,1721.7,5.800,0.175,1.728,0.2520,1.809114e-05,-2.039473e-03,0.2655
1190.0,0.2500,1139.8,1717.6,5.568,0.168,1.664,0.2510,1.810178e-05,-2.041516e-03,0.2657
1200.0,0.2500,1140.0,1713.4,5.336,0.161,1.600,0.2500,1.811215e-05,-2.043501e-03,0.2658
