Temperature_C,CTE_ppm_per_K,Thermal_Conductivity_W_per_mK,Specific_Heat_J_per_kgK,Thermal_Diffusivity_mm2_per_s,Linear_Expansion_Percent,Density_kg_per_m3,Measurement_Method_CTE,Measurement_Method_k,Measurement_Method_Cp,Material,Atmosphere,Heating_Rate_K_per_min
230,12.765,14.57,456.8,4.064,0.258,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
240,12.832,15.08,450.5,4.022,0.2708,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
250,12.72,14.42,455.9,3.798,0.2836,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
260,12.846,15.16,442.7,4.13,0.2964,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
270,12.949,15.38,454.2,3.959,0.3093,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
280,12.86,15.74,459.1,4.142,0.3222,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
290,13.05,15.31,455.9,4.038,0.3351,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
300,12.99,15.48,470.6,4.028,0.3482,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
310,13.058,16.27,457.8,4.368,0.3612,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
320,13.065,16.4,463.8,4.479,0.3743,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
330,13.348,16.58,467.8,4.41,0.3875,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
340,13.199,16.82,475.3,4.27,0.4007,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
350,13.132,16.67,463.2,4.315,0.4139,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
360,13.357,17.18,476.8,4.443,0.4271,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
370,13.19,17.4,472.7,4.376,0.4404,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
380,13.371,17.25,469.4,4.651,0.4537,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
390,13.192,18.36,477.6,4.805,0.467,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
400,13.292,18.07,477.7,4.575,0.4802,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
410,13.482,17.67,475.3,4.384,0.4936,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
420,13.574,18.54,479.8,4.846,0.5071,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
430,13.555,18.14,479.0,4.613,0.5207,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
440,13.563,18.99,482.7,4.923,0.5343,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
450,13.582,19.34,486.7,4.696,0.5478,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
460,13.502,18.79,492.6,4.601,0.5614,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
470,13.616,19.67,480.2,5.002,0.5749,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
480,13.679,19.66,498.0,4.825,0.5886,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
490,13.868,20.02,479.4,5.054,0.6024,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
500,13.834,20.65,489.5,5.216,0.6162,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
510,13.69,20.0,494.5,4.833,0.63,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
520,13.966,19.99,494.3,4.925,0.6438,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
530,13.961,20.14,491.2,5.017,0.6578,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
540,13.999,20.36,494.6,5.079,0.6717,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
550,14.195,20.87,494.5,5.226,0.6858,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
560,14.303,21.24,495.3,5.119,0.7001,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
570,14.36,21.42,503.8,5.031,0.7144,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
580,14.249,21.86,502.7,5.444,0.7287,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
590,14.369,21.71,498.8,5.349,0.743,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
600,14.5,22.54,508.1,5.334,0.7575,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
610,14.631,21.88,506.5,5.439,0.772,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
620,14.552,23.3,510.4,5.588,0.7866,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
630,14.648,22.48,510.8,5.5,0.8012,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
640,14.623,21.92,504.7,5.31,0.8159,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
650,14.68,21.92,507.4,5.493,0.8305,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
660,14.948,22.72,515.4,5.571,0.8453,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
670,15.069,22.5,516.0,5.297,0.8603,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
680,14.993,23.02,514.1,5.574,0.8754,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
690,15.167,23.02,516.1,5.515,0.8904,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
700,15.169,22.87,523.5,5.48,0.9056,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
710,15.135,22.61,533.4,5.076,0.9208,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
720,15.303,22.4,567.3,4.887,0.936,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
730,15.487,22.99,564.4,5.079,0.9514,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
740,15.396,23.7,539.4,5.176,0.9668,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
750,15.623,23.5,529.3,5.293,0.9823,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
760,15.271,22.91,529.2,5.072,0.9978,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
770,15.682,23.68,530.4,5.422,1.0133,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
780,15.675,23.88,534.4,5.535,1.0289,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
790,15.703,23.38,528.9,5.559,1.0446,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
800,15.809,23.97,533.8,5.492,1.0604,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
810,15.631,24.03,529.8,5.718,1.0761,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
820,15.838,23.55,534.5,5.231,1.0918,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
830,15.926,24.37,533.4,5.389,1.1077,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
840,16.068,24.57,536.0,5.591,1.1237,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
850,15.898,24.93,540.0,5.68,1.1397,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
860,15.899,25.02,533.7,5.719,1.1556,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
870,15.96,23.92,550.8,5.084,1.1715,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
880,16.132,24.24,535.4,5.518,1.1876,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
890,16.103,25.06,535.6,5.563,1.2037,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
900,16.047,25.16,549.8,5.662,1.2198,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
910,16.181,25.26,549.2,5.657,1.2359,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
920,16.17,27.03,549.6,5.893,1.2521,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
930,16.287,25.49,551.0,5.59,1.2683,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
940,16.15,25.87,548.8,5.635,1.2845,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
950,16.217,25.88,545.3,5.789,1.3007,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
960,16.241,25.83,552.0,5.823,1.3169,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
970,16.164,25.44,549.2,5.544,1.3331,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
980,16.37,26.09,559.7,5.749,1.3494,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
990,16.396,25.4,554.8,5.531,1.3658,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1000,16.401,25.78,552.4,5.607,1.3822,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1010,16.407,25.75,556.6,5.636,1.3986,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1020,16.318,26.14,562.0,5.562,1.4149,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1030,16.448,27.41,557.9,5.933,1.4313,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1040,16.486,25.32,557.8,5.409,1.4478,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1050,16.47,26.76,565.2,6.009,1.4643,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1060,16.564,25.65,566.6,5.53,1.4808,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1070,16.65,26.35,563.7,5.627,1.4974,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1080,16.829,27.28,565.3,5.918,1.5141,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1090,16.687,26.83,570.7,5.729,1.5309,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1100,16.726,26.32,562.5,5.688,1.5476,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1110,16.723,26.61,564.1,5.832,1.5643,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1120,16.568,27.47,569.4,5.98,1.581,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1130,16.787,26.8,573.7,5.644,1.5976,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1140,16.826,27.42,578.1,5.724,1.6144,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1150,17.096,27.42,586.2,5.681,1.6314,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1160,16.861,27.14,584.1,5.413,1.6484,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1170,16.94,28.78,579.6,5.88,1.6653,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1180,16.937,28.05,581.8,6.048,1.6822,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1190,16.853,26.67,577.5,5.825,1.6991,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
1200,17.114,28.0,584.6,5.82,1.7161,8190,Dilatometry,Laser_Flash,DSC,Superalloy_A,Argon,10
