material,temperature_C,specimen,fracture_strength_MPa,weibull_modulus,characteristic_strength_MPa
Ni-YSZ,25,8,190.77,8.0,200.0
Ni-YSZ,25,9,137.83,8.0,200.0
Ni-YSZ,25,10,213.96,8.0,200.0
Ni-YSZ,600,1,162.81,7.77,182.75
Ni-YSZ,600,2,162.46,7.77,182.75
Ni-YSZ,600,3,154.9,7.77,182.75
Ni-YSZ,600,4,199.68,7.77,182.75
Ni-YSZ,600,5,121.68,7.77,182.75
Ni-YSZ,600,6,130.11,7.77,182.75
Ni-YSZ,600,7,219.24,7.77,182.75
Ni-YSZ,600,8,172.91,7.77,182.75
Ni-YSZ,600,9,173.62,7.77,182.75
Ni-YSZ,600,10,180.31,7.77,182.75
Ni-YSZ,750,1,163.18,7.71,178.25
Ni-YSZ,750,2,192.99,7.71,178.25
Ni-YSZ,750,3,175.63,7.71,178.25
Ni-YSZ,750,4,119.89,7.71,178.25
Ni-YSZ,750,5,191.65,7.71,178.25
Ni-YSZ,750,6,176.81,7.71,178.25
Ni-YSZ,750,7,141.54,7.71,178.25
Ni-YSZ,750,8,187.42,7.71,178.25
Ni-YSZ,750,9,186.97,7.71,178.25
Ni-YSZ,750,10,192.24,7.71,178.25
Ni-YSZ,850,1,167.72,7.67,175.25
Ni-YSZ,850,2,197.33,7.67,175.25
Ni-YSZ,850,3,160.02,7.67,175.25
Ni-YSZ,850,4,170.25,7.67,175.25
Ni-YSZ,850,5,175.17,7.67,175.25
Ni-YSZ,850,6,196.04,7.67,175.25
Ni-YSZ,850,7,153.07,7.67,175.25
Ni-YSZ,850,8,101.58,7.67,175.25
Ni-YSZ,850,9,176.64,7.67,175.25
Ni-YSZ,850,10,185.69,7.67,175.25
GDC,25,1,236.41,10.0,250.0
GDC,25,2,221.04,10.0,250.0
GDC,25,3,257.44,10.0,250.0
GDC,25,4,236.48,10.0,250.0
GDC,25,5,215.42,10.0,250.0
GDC,25,6,219.55,10.0,250.0
GDC,25,7,262.72,10.0,250.0
GDC,25,8,233.81,10.0,250.0
GDC,25,9,256.48,10.0,250.0
GDC,25,10,219.25,10.0,250.0
GDC,600,1,208.92,9.71,228.44
GDC,600,2,271.85,9.71,228.44
GDC,600,3,201.31,9.71,228.44
GDC,600,4,261.0,9.71,228.44
GDC,600,5,204.83,9.71,228.44
GDC,600,6,242.63,9.71,228.44
GDC,600,7,221.68,9.71,228.44
GDC,600,8,160.36,9.71,228.44
GDC,600,9,234.05,9.71,228.44
GDC,600,10,228.8,9.71,228.44
GDC,750,1,229.68,9.64,222.81
GDC,750,2,216.01,9.64,222.81
GDC,750,3,182.91,9.64,222.81
GDC,750,4,229.12,9.64,222.81
GDC,750,5,263.63,9.64,222.81
GDC,750,6,226.73,9.64,222.81
GDC,750,7,196.32,9.64,222.81
GDC,750,8,222.68,9.64,222.81
GDC,750,9,261.18,9.64,222.81
GDC,750,10,232.05,9.64,222.81
GDC,850,1,175.61,9.59,219.06
GDC,850,2,205.18,9.59,219.06
GDC,850,3,245.65,9.59,219.06
GDC,850,4,193.71,9.59,219.06
GDC,850,5,230.5,9.59,219.06
GDC,850,6,228.04,9.59,219.06
GDC,850,7,239.84,9.59,219.06
GDC,850,8,194.35,9.59,219.06
GDC,850,9,218.3,9.59,219.06
GDC,850,10,189.85,9.59,219.06
LSCF-GDC,25,1,139.6,7.0,180.0
LSCF-GDC,25,2,155.8,7.0,180.0
LSCF-GDC,25,3,90.58,7.0,180.0
LSCF-GDC,25,4,150.84,7.0,180.0
LSCF-GDC,25,5,191.38,7.0,180.0
LSCF-GDC,25,6,135.55,7.0,180.0
LSCF-GDC,25,7,181.78,7.0,180.0
LSCF-GDC,25,8,129.35,7.0,180.0
LSCF-GDC,25,9,203.29,7.0,180.0
LSCF-GDC,25,10,179.0,7.0,180.0
LSCF-GDC,600,1,156.79,6.8,164.48
LSCF-GDC,600,2,172.8,6.8,164.48
LSCF-GDC,600,3,152.25,6.8,164.48
LSCF-GDC,600,4,182.59,6.8,164.48
LSCF-GDC,600,5,203.01,6.8,164.48
LSCF-GDC,600,6,174.8,6.8,164.48
LSCF-GDC,600,7,155.83,6.8,164.48
LSCF-GDC,600,8,172.3,6.8,164.48
LSCF-GDC,600,9,155.89,6.8,164.48
LSCF-GDC,600,10,65.86,6.8,164.48
LSCF-GDC,750,1,186.56,6.75,160.43
LSCF-GDC,750,2,145.23,6.75,160.43
LSCF-GDC,750,3,185.47,6.75,160.43
LSCF-GDC,750,4,177.89,6.75,160.43
LSCF-GDC,750,5,135.77,6.75,160.43
LSCF-GDC,750,6,173.89,6.75,160.43
LSCF-GDC,750,7,182.39,6.75,160.43
LSCF-GDC,750,8,185.93,6.75,160.43
LSCF-GDC,750,9,142.48,6.75,160.43
LSCF-GDC,750,10,150.69,6.75,160.43
LSCF-GDC,850,1,186.27,6.71,157.72
LSCF-GDC,850,2,136.8,6.71,157.72
LSCF-GDC,850,3,193.51,6.71,157.72
LSCF-GDC,850,4,167.04,6.71,157.72
LSCF-GDC,850,5,167.61,6.71,157.72
LSCF-GDC,850,6,151.27,6.71,157.72
LSCF-GDC,850,7,173.55,6.71,157.72
LSCF-GDC,850,8,153.22,6.71,157.72
LSCF-GDC,850,9,179.31,6.71,157.72
LSCF-GDC,850,10,158.22,6.71,157.72
Crofer22APU,25,1,481.3,15.0,450.0
Crofer22APU,25,2,461.19,15.0,450.0
Crofer22APU,25,3,459.66,15.0,450.0
Crofer22APU,25,4,416.98,15.0,450.0
Crofer22APU,25,5,481.58,15.0,450.0
Crofer22APU,25,6,458.08,15.0,450.0
Crofer22APU,25,7,477.1,15.0,450.0
Crofer22APU,25,8,437.01,15.0,450.0
Crofer22APU,25,9,484.0,15.0,450.0
Crofer22APU,25,10,429.32,15.0,450.0
Crofer22APU,600,1,422.44,14.57,411.19
Crofer22APU,600,2,436.36,14.57,411.19
Crofer22APU,600,3,384.72,14.57,411.19
Crofer22APU,600,4,334.83,14.57,411.19
Crofer22APU,600,5,428.38,14.57,411.19
Crofer22APU,600,6,429.95,14.57,411.19
Crofer22APU,600,7,362.21,14.57,411.19
Crofer22APU,600,8,351.05,14.57,411.19
Crofer22APU,600,9,410.37,14.57,411.19
Crofer22APU,600,10,383.61,14.57,411.19
Crofer22APU,750,1,394.09,14.46,401.06
Crofer22APU,750,2,396.45,14.46,401.06
Crofer22APU,750,3,396.47,14.46,401.06
Crofer22APU,750,4,388.86,14.46,401.06
Crofer22APU,750,5,415.24,14.46,401.06
Crofer22APU,750,6,351.46,14.46,401.06
Crofer22APU,750,7,382.96,14.46,401.06
Crofer22APU,750,8,369.15,14.46,401.06
Crofer22APU,750,9,371.79,14.46,401.06
Crofer22APU,750,10,408.39,14.46,401.06
Crofer22APU,850,1,415.92,14.38,394.31
Crofer22APU,850,2,422.61,14.38,394.31
Crofer22APU,850,3,397.06,14.38,394.31
Crofer22APU,850,4,334.74,14.38,394.31
Crofer22APU,850,5,356.28,14.38,394.31
Crofer22APU,850,6,390.58,14.38,394.31
Crofer22APU,850,7,437.73,14.38,394.31
Crofer22APU,850,8,357.11,14.38,394.31
Crofer22APU,850,9,420.69,14.38,394.31
Crofer22APU,850,10,416.68,14.38,394.31
glass-ceramic,25,1,75.44,6.0,100.0
glass-ceramic,25,2,90.88,6.0,100.0
glass-ceramic,25,3,113.95,6.0,100.0
glass-ceramic,25,4,94.79,6.0,100.0
glass-ceramic,25,5,115.92,6.0,100.0
glass-ceramic,25,6,80.62,6.0,100.0
glass-ceramic,25,7,78.7,6.0,100.0
glass-ceramic,25,8,73.06,6.0,100.0
glass-ceramic,25,9,120.57,6.0,100.0
glass-ceramic,25,10,98.42,6.0,100.0
glass-ceramic,600,1,81.55,5.83,91.38
glass-ceramic,600,2,90.79,5.83,91.38
glass-ceramic,600,3,70.1,5.83,91.38
glass-ceramic,600,4,69.07,5.83,91.38
glass-ceramic,600,5,87.63,5.83,91.38
glass-ceramic,600,6,69.7,5.83,91.38
glass-ceramic,600,7,87.36,5.83,91.38
glass-ceramic,600,8,96.21,5.83,91.38
glass-ceramic,600,9,102.12,5.83,91.38
glass-ceramic,600,10,112.39,5.83,91.38
glass-ceramic,750,1,107.81,5.78,89.12
glass-ceramic,750,2,68.76,5.78,89.12
glass-ceramic,750,3,83.71,5.78,89.12
glass-ceramic,750,4,89.83,5.78,89.12
glass-ceramic,750,5,89.73,5.78,89.12
glass-ceramic,750,6,109.37,5.78,89.12
glass-ceramic,750,7,76.85,5.78,89.12
glass-ceramic,750,8,91.99,5.78,89.12
glass-ceramic,750,9,94.99,5.78,89.12
glass-ceramic,750,10,94.99,5.78,89.12
glass-ceramic,850,1,93.97,5.75,87.62
glass-ceramic,850,2,90.2,5.75,87.62
glass-ceramic,850,3,66.77,5.75,87.62
glass-ceramic,850,4,91.91,5.75,87.62
glass-ceramic,850,5,74.4,5.75,87.62
glass-ceramic,850,6,116.6,5.75,87.62
glass-ceramic,850,7,79.88,5.75,87.62
glass-ceramic,850,8,98.88,5.75,87.62
glass-ceramic,850,9,79.55,5.75,87.62
glass-ceramic,850,10,75.94,5.75,87.62
