material,specimen,temperature_C,E_GPa,G_GPa,poisson
YSZ,3,575,198.42,75.98,0.277
YSZ,3,625,195.12,75.78,0.283
YSZ,3,675,190.71,75.59,0.277
YSZ,3,725,189.54,75.39,0.272
YSZ,3,775,185.91,75.2,0.283
YSZ,3,825,193.16,75.0,0.286
YSZ,3,875,190.08,74.8,0.28
YSZ,4,25,208.43,78.12,0.268
YSZ,4,75,197.19,77.93,0.277
YSZ,4,125,198.93,77.73,0.275
YSZ,4,175,205.79,77.54,0.288
YSZ,4,225,191.91,77.34,0.271
YSZ,4,275,201.61,77.15,0.273
YSZ,4,325,192.93,76.95,0.286
YSZ,4,375,196.91,76.76,0.287
YSZ,4,425,195.03,76.56,0.276
YSZ,4,475,191.67,76.37,0.277
YSZ,4,525,191.07,76.17,0.283
YSZ,4,575,195.61,75.98,0.268
YSZ,4,625,197.98,75.78,0.271
YSZ,4,675,192.98,75.59,0.279
YSZ,4,725,193.28,75.39,0.288
YSZ,4,775,194.78,75.2,0.278
YSZ,4,825,188.11,75.0,0.281
YSZ,4,875,194.46,74.8,0.286
YSZ,5,25,199.38,78.12,0.284
YSZ,5,75,194.74,77.93,0.293
YSZ,5,125,196.19,77.73,0.278
YSZ,5,175,195.4,77.54,0.278
YSZ,5,225,196.24,77.34,0.284
YSZ,5,275,202.79,77.15,0.284
YSZ,5,325,199.65,76.95,0.277
YSZ,5,375,196.56,76.76,0.278
YSZ,5,425,194.16,76.56,0.283
YSZ,5,475,193.77,76.37,0.276
YSZ,5,525,196.31,76.17,0.278
YSZ,5,575,196.84,75.98,0.28
YSZ,5,625,190.37,75.78,0.285
YSZ,5,675,193.65,75.59,0.277
YSZ,5,725,184.87,75.39,0.271
YSZ,5,775,193.35,75.2,0.27
YSZ,5,825,195.05,75.0,0.274
YSZ,5,875,190.38,74.8,0.273
YSZ,6,25,197.81,78.12,0.289
YSZ,6,75,204.43,77.93,0.276
YSZ,6,125,201.21,77.73,0.281
YSZ,6,175,199.5,77.54,0.28
YSZ,6,225,202.03,77.34,0.279
YSZ,6,275,199.44,77.15,0.279
YSZ,6,325,201.87,76.95,0.281
YSZ,6,375,200.18,76.76,0.284
YSZ,6,425,202.09,76.56,0.287
YSZ,6,475,196.94,76.37,0.28
YSZ,6,525,198.62,76.17,0.284
YSZ,6,575,193.27,75.98,0.276
YSZ,6,625,191.59,75.78,0.284
YSZ,6,675,200.33,75.59,0.276
YSZ,6,725,193.86,75.39,0.285
YSZ,6,775,195.72,75.2,0.291
YSZ,6,825,192.49,75.0,0.279
YSZ,6,875,189.15,74.8,0.269
YSZ,7,25,199.3,78.12,0.28
YSZ,7,75,203.68,77.93,0.287
YSZ,7,125,195.54,77.73,0.283
YSZ,7,175,192.01,77.54,0.271
YSZ,7,225,200.46,77.34,0.279
YSZ,7,275,200.02,77.15,0.289
YSZ,7,325,198.92,76.95,0.279
YSZ,7,375,198.13,76.76,0.271
YSZ,7,425,194.72,76.56,0.289
YSZ,7,475,198.65,76.37,0.283
YSZ,7,525,194.82,76.17,0.28
YSZ,7,575,192.55,75.98,0.278
YSZ,7,625,192.75,75.78,0.285
YSZ,7,675,201.58,75.59,0.277
YSZ,7,725,186.06,75.39,0.286
YSZ,7,775,194.5,75.2,0.283
YSZ,7,825,185.28,75.0,0.281
YSZ,7,875,191.07,74.8,0.281
YSZ,8,25,209.09,78.12,0.278
YSZ,8,75,202.06,77.93,0.27
YSZ,8,125,204.89,77.73,0.282
YSZ,8,175,199.23,77.54,0.278
YSZ,8,225,197.71,77.34,0.27
YSZ,8,275,199.03,77.15,0.284
YSZ,8,325,193.74,76.95,0.287
YSZ,8,375,192.64,76.76,0.287
YSZ,8,425,201.07,76.56,0.282
YSZ,8,475,200.99,76.37,0.28
YSZ,8,525,191.04,76.17,0.287
YSZ,8,575,198.37,75.98,0.288
YSZ,8,625,193.65,75.78,0.286
YSZ,8,675,194.86,75.59,0.275
YSZ,8,725,194.84,75.39,0.281
YSZ,8,775,196.48,75.2,0.282
YSZ,8,825,192.33,75.0,0.271
YSZ,8,875,197.14,74.8,0.282
YSZ,9,25,196.03,78.12,0.282
YSZ,9,75,198.71,77.93,0.283
YSZ,9,125,202.31,77.73,0.276
YSZ,9,175,193.18,77.54,0.291
YSZ,9,225,191.33,77.34,0.282
YSZ,9,275,200.79,77.15,0.284
YSZ,9,325,194.59,76.95,0.272
YSZ,9,375,194.93,76.76,0.276
YSZ,9,425,188.57,76.56,0.286
YSZ,9,475,192.78,76.37,0.281
YSZ,9,525,194.97,76.17,0.27
YSZ,9,575,198.22,75.98,0.285
YSZ,9,625,190.92,75.78,0.277
YSZ,9,675,200.13,75.59,0.287
YSZ,9,725,190.26,75.39,0.28
YSZ,9,775,189.77,75.2,0.281
YSZ,9,825,198.15,75.0,0.286
YSZ,9,875,192.35,74.8,0.276
YSZ,10,25,196.12,78.12,0.277
YSZ,10,75,195.67,77.93,0.279
YSZ,10,125,204.79,77.73,0.287
YSZ,10,175,197.87,77.54,0.287
YSZ,10,225,204.56,77.34,0.276
YSZ,10,275,195.45,77.15,0.28
YSZ,10,325,198.16,76.95,0.28
YSZ,10,375,206.07,76.76,0.275
YSZ,10,425,191.77,76.56,0.28
YSZ,10,475,187.91,76.37,0.28
YSZ,10,525,200.15,76.17,0.286
YSZ,10,575,191.19,75.98,0.286
YSZ,10,625,193.92,75.78,0.278
YSZ,10,675,191.16,75.59,0.279
YSZ,10,725,194.07,75.39,0.283
YSZ,10,775,188.7,75.2,0.277
YSZ,10,825,191.28,75.0,0.283
YSZ,10,875,193.3,74.8,0.28
Ni-YSZ,1,25,144.68,58.59,0.275
Ni-YSZ,1,75,150.99,58.45,0.276
Ni-YSZ,1,125,152.95,58.3,0.278
Ni-YSZ,1,175,148.21,58.15,0.273
Ni-YSZ,1,225,151.49,58.01,0.278
Ni-YSZ,1,275,146.05,57.86,0.281
Ni-YSZ,1,325,143.29,57.71,0.278
Ni-YSZ,1,375,147.8,57.57,0.279
Ni-YSZ,1,425,141.73,57.42,0.28
Ni-YSZ,1,475,145.91,57.28,0.277
Ni-YSZ,1,525,150.11,57.13,0.283
Ni-YSZ,1,575,140.15,56.98,0.287
Ni-YSZ,1,625,141.66,56.84,0.278
Ni-YSZ,1,675,142.03,56.69,0.282
Ni-YSZ,1,725,144.56,56.54,0.279
Ni-YSZ,1,775,143.28,56.4,0.282
Ni-YSZ,1,825,148.2,56.25,0.288
Ni-YSZ,1,875,146.49,56.1,0.283
Ni-YSZ,2,25,149.58,58.59,0.282
Ni-YSZ,2,75,149.83,58.45,0.281
Ni-YSZ,2,125,149.59,58.3,0.282
Ni-YSZ,2,175,149.36,58.15,0.276
Ni-YSZ,2,225,151.62,58.01,0.284
Ni-YSZ,2,275,144.87,57.86,0.274
Ni-YSZ,2,325,148.28,57.71,0.284
Ni-YSZ,2,375,151.24,57.57,0.286
Ni-YSZ,2,425,141.8,57.42,0.281
Ni-YSZ,2,475,147.16,57.28,0.279
Ni-YSZ,2,525,144.49,57.13,0.282
Ni-YSZ,2,575,144.76,56.98,0.266
Ni-YSZ,2,625,142.79,56.84,0.282
Ni-YSZ,2,675,144.62,56.69,0.279
Ni-YSZ,2,725,150.27,56.54,0.28
Ni-YSZ,2,775,140.58,56.4,0.284
Ni-YSZ,2,825,140.49,56.25,0.28
Ni-YSZ,2,875,139.72,56.1,0.274
Ni-YSZ,3,25,151.17,58.59,0.289
Ni-YSZ,3,75,148.44,58.45,0.278
Ni-YSZ,3,125,144.39,58.3,0.28
Ni-YSZ,3,175,149.22,58.15,0.278
Ni-YSZ,3,225,151.74,58.01,0.275
Ni-YSZ,3,275,144.53,57.86,0.279
Ni-YSZ,3,325,149.67,57.71,0.292
Ni-YSZ,3,375,148.37,57.57,0.287
Ni-YSZ,3,425,149.25,57.42,0.276
Ni-YSZ,3,475,149.24,57.28,0.283
Ni-YSZ,3,525,144.17,57.13,0.276
Ni-YSZ,3,575,141.02,56.98,0.271
Ni-YSZ,3,625,143.9,56.84,0.285
Ni-YSZ,3,675,147.79,56.69,0.286
Ni-YSZ,3,725,143.12,56.54,0.285
Ni-YSZ,3,775,142.29,56.4,0.278
Ni-YSZ,3,825,138.54,56.25,0.279
Ni-YSZ,3,875,148.88,56.1,0.284
Ni-YSZ,4,25,150.03,58.59,0.284
Ni-YSZ,4,75,149.46,58.45,0.284
Ni-YSZ,4,125,147.52,58.3,0.285
Ni-YSZ,4,175,147.53,58.15,0.283
Ni-YSZ,4,225,152.94,58.01,0.279
Ni-YSZ,4,275,147.8,57.86,0.279
Ni-YSZ,4,325,145.39,57.71,0.278
Ni-YSZ,4,375,145.83,57.57,0.293
Ni-YSZ,4,425,150.3,57.42,0.283
Ni-YSZ,4,475,148.65,57.28,0.278
Ni-YSZ,4,525,147.93,57.13,0.282
Ni-YSZ,4,575,145.1,56.98,0.275
Ni-YSZ,4,625,147.22,56.84,0.288
Ni-YSZ,4,675,143.19,56.69,0.277
Ni-YSZ,4,725,143.97,56.54,0.283
Ni-YSZ,4,775,147.28,56.4,0.285
Ni-YSZ,4,825,146.62,56.25,0.282
Ni-YSZ,4,875,140.68,56.1,0.28
Ni-YSZ,5,25,152.03,58.59,0.276
Ni-YSZ,5,75,146.53,58.45,0.281
Ni-YSZ,5,125,149.28,58.3,0.289
Ni-YSZ,5,175,148.53,58.15,0.27
Ni-YSZ,5,225,154.03,58.01,0.281
Ni-YSZ,5,275,153.9,57.86,0.273
Ni-YSZ,5,325,142.76,57.71,0.277
Ni-YSZ,5,375,154.86,57.57,0.278
Ni-YSZ,5,425,144.25,57.42,0.278
Ni-YSZ,5,475,149.57,57.28,0.277
Ni-YSZ,5,525,149.16,57.13,0.28
Ni-YSZ,5,575,142.89,56.98,0.277
Ni-YSZ,5,625,146.98,56.84,0.273
Ni-YSZ,5,675,144.8,56.69,0.284
Ni-YSZ,5,725,146.41,56.54,0.284
Ni-YSZ,5,775,145.07,56.4,0.284
Ni-YSZ,5,825,147.59,56.25,0.272
Ni-YSZ,5,875,143.85,56.1,0.281
Ni-YSZ,6,25,148.98,58.59,0.279
Ni-YSZ,6,75,146.96,58.45,0.285
Ni-YSZ,6,125,144.84,58.3,0.283
Ni-YSZ,6,175,150.77,58.15,0.284
Ni-YSZ,6,225,146.15,58.01,0.277
Ni-YSZ,6,275,157.3,57.86,0.275
Ni-YSZ,6,325,144.49,57.71,0.277
Ni-YSZ,6,375,143.6,57.57,0.277
Ni-YSZ,6,425,148.53,57.42,0.284
Ni-YSZ,6,475,151.21,57.28,0.285
Ni-YSZ,6,525,146.44,57.13,0.279
Ni-YSZ,6,575,147.59,56.98,0.287
Ni-YSZ,6,625,139.97,56.84,0.287
Ni-YSZ,6,675,143.09,56.69,0.281
Ni-YSZ,6,725,141.53,56.54,0.276
Ni-YSZ,6,775,138.69,56.4,0.288
Ni-YSZ,6,825,144.35,56.25,0.28
Ni-YSZ,6,875,136.9,56.1,0.281
Ni-YSZ,7,25,148.01,58.59,0.273
Ni-YSZ,7,75,145.99,58.45,0.277
Ni-YSZ,7,125,152.19,58.3,0.276
Ni-YSZ,7,175,149.11,58.15,0.282
Ni-YSZ,7,225,145.91,58.01,0.282
Ni-YSZ,7,275,150.55,57.86,0.284
Ni-YSZ,7,325,146.07,57.71,0.284
Ni-YSZ,7,375,143.16,57.57,0.286
Ni-YSZ,7,425,150.06,57.42,0.28
Ni-YSZ,7,475,145.01,57.28,0.282
Ni-YSZ,7,525,145.02,57.13,0.283
Ni-YSZ,7,575,146.0,56.98,0.281
Ni-YSZ,7,625,148.93,56.84,0.278
Ni-YSZ,7,675,145.19,56.69,0.278
Ni-YSZ,7,725,141.15,56.54,0.276
Ni-YSZ,7,775,146.01,56.4,0.282
Ni-YSZ,7,825,142.55,56.25,0.28
Ni-YSZ,7,875,149.29,56.1,0.277
Ni-YSZ,8,25,147.76,58.59,0.28
Ni-YSZ,8,75,152.23,58.45,0.269
Ni-YSZ,8,125,152.78,58.3,0.282
Ni-YSZ,8,175,152.04,58.15,0.29
Ni-YSZ,8,225,146.23,58.01,0.288
Ni-YSZ,8,275,139.91,57.86,0.289
Ni-YSZ,8,325,142.45,57.71,0.275
Ni-YSZ,8,375,151.64,57.57,0.285
Ni-YSZ,8,425,145.8,57.42,0.276
Ni-YSZ,8,475,144.37,57.28,0.281
Ni-YSZ,8,525,151.18,57.13,0.274
Ni-YSZ,8,575,149.67,56.98,0.277
Ni-YSZ,8,625,145.57,56.84,0.277
Ni-YSZ,8,675,144.24,56.69,0.284
Ni-YSZ,8,725,144.35,56.54,0.284
Ni-YSZ,8,775,145.06,56.4,0.281
Ni-YSZ,8,825,148.8,56.25,0.273
Ni-YSZ,8,875,144.89,56.1,0.278
Ni-YSZ,9,25,154.23,58.59,0.284
Ni-YSZ,9,75,147.58,58.45,0.286
Ni-YSZ,9,125,155.34,58.3,0.274
Ni-YSZ,9,175,148.78,58.15,0.284
Ni-YSZ,9,225,151.58,58.01,0.279
Ni-YSZ,9,275,147.97,57.86,0.267
Ni-YSZ,9,325,147.66,57.71,0.269
Ni-YSZ,9,375,145.62,57.57,0.275
Ni-YSZ,9,425,147.36,57.42,0.283
Ni-YSZ,9,475,147.58,57.28,0.281
Ni-YSZ,9,525,143.9,57.13,0.281
Ni-YSZ,9,575,145.5,56.98,0.29
Ni-YSZ,9,625,143.67,56.84,0.274
Ni-YSZ,9,675,152.02,56.69,0.28
Ni-YSZ,9,725,144.48,56.54,0.282
Ni-YSZ,9,775,149.01,56.4,0.276
Ni-YSZ,9,825,143.41,56.25,0.28
Ni-YSZ,9,875,144.4,56.1,0.272
Ni-YSZ,10,25,155.9,58.59,0.273
Ni-YSZ,10,75,144.98,58.45,0.278
Ni-YSZ,10,125,148.45,58.3,0.281
Ni-YSZ,10,175,147.49,58.15,0.288
Ni-YSZ,10,225,142.58,58.01,0.281
Ni-YSZ,10,275,151.31,57.86,0.287
Ni-YSZ,10,325,146.94,57.71,0.283
Ni-YSZ,10,375,149.59,57.57,0.288
Ni-YSZ,10,425,154.08,57.42,0.28
Ni-YSZ,10,475,145.57,57.28,0.292
Ni-YSZ,10,525,144.99,57.13,0.278
Ni-YSZ,10,575,146.23,56.98,0.276
Ni-YSZ,10,625,148.46,56.84,0.274
Ni-YSZ,10,675,143.42,56.69,0.292
Ni-YSZ,10,725,142.86,56.54,0.284
Ni-YSZ,10,775,147.55,56.4,0.278
Ni-YSZ,10,825,145.14,56.25,0.286
Ni-YSZ,10,875,137.49,56.1,0.283
GDC,1,25,172.08,68.36,0.274
GDC,1,75,174.31,68.19,0.288
GDC,1,125,178.53,68.02,0.282
GDC,1,175,173.27,67.85,0.276
GDC,1,225,170.14,67.68,0.279
GDC,1,275,171.09,67.5,0.28
GDC,1,325,173.08,67.33,0.284
GDC,1,375,170.63,67.16,0.273
GDC,1,425,173.2,66.99,0.276
GDC,1,475,172.89,66.82,0.281
GDC,1,525,173.74,66.65,0.28
GDC,1,575,175.17,66.48,0.283
GDC,1,625,173.24,66.31,0.274
GDC,1,675,166.04,66.14,0.282
GDC,1,725,165.71,65.97,0.285
GDC,1,775,168.17,65.8,0.282
GDC,1,825,166.42,65.62,0.281
GDC,1,875,163.58,65.45,0.28
GDC,2,25,179.44,68.36,0.278
GDC,2,75,171.56,68.19,0.278
GDC,2,125,174.09,68.02,0.277
GDC,2,175,167.65,67.85,0.278
GDC,2,225,168.84,67.68,0.286
GDC,2,275,176.48,67.5,0.281
GDC,2,325,170.74,67.33,0.292
GDC,2,375,168.06,67.16,0.281
GDC,2,425,172.3,66.99,0.279
GDC,2,475,169.23,66.82,0.28
GDC,2,525,168.98,66.65,0.281
GDC,2,575,172.78,66.48,0.282
GDC,2,625,165.68,66.31,0.29
GDC,2,675,166.14,66.14,0.276
GDC,2,725,169.41,65.97,0.284
GDC,2,775,171.83,65.8,0.281
GDC,2,825,172.33,65.62,0.272
GDC,2,875,165.23,65.45,0.284
GDC,3,25,175.82,68.36,0.285
GDC,3,75,178.82,68.19,0.276
GDC,3,125,179.78,68.02,0.289
GDC,3,175,176.42,67.85,0.274
GDC,3,225,174.26,67.68,0.287
GDC,3,275,175.43,67.5,0.277
GDC,3,325,170.04,67.33,0.29
GDC,3,375,171.4,67.16,0.283
GDC,3,425,168.62,66.99,0.275
GDC,3,475,166.69,66.82,0.277
GDC,3,525,171.79,66.65,0.284
GDC,3,575,170.84,66.48,0.285
GDC,3,625,172.16,66.31,0.28
GDC,3,675,171.22,66.14,0.28
GDC,3,725,169.72,65.97,0.284
GDC,3,775,170.39,65.8,0.281
GDC,3,825,167.85,65.62,0.274
GDC,3,875,169.01,65.45,0.276
GDC,4,25,177.92,68.36,0.276
GDC,4,75,174.16,68.19,0.282
GDC,4,125,180.34,68.02,0.283
GDC,4,175,174.52,67.85,0.277
GDC,4,225,174.2,67.68,0.28
GDC,4,275,169.63,67.5,0.277
GDC,4,325,173.84,67.33,0.277
GDC,4,375,171.47,67.16,0.274
GDC,4,425,169.37,66.99,0.286
GDC,4,475,168.34,66.82,0.285
GDC,4,525,179.98,66.65,0.283
GDC,4,575,169.27,66.48,0.29
GDC,4,625,164.65,66.31,0.279
GDC,4,675,166.87,66.14,0.295
GDC,4,725,168.69,65.97,0.279
GDC,4,775,170.35,65.8,0.281
GDC,4,825,169.94,65.62,0.278
GDC,4,875,169.93,65.45,0.282
GDC,5,25,172.51,68.36,0.277
GDC,5,75,176.54,68.19,0.282
GDC,5,125,176.54,68.02,0.276
GDC,5,175,168.9,67.85,0.277
GDC,5,225,169.82,67.68,0.275
GDC,5,275,170.28,67.5,0.274
GDC,5,325,171.12,67.33,0.285
GDC,5,375,167.17,67.16,0.283
GDC,5,425,166.52,66.99,0.285
GDC,5,475,168.19,66.82,0.28
GDC,5,525,170.93,66.65,0.284
GDC,5,575,166.06,66.48,0.271
GDC,5,625,169.34,66.31,0.284
GDC,5,675,173.02,66.14,0.281
GDC,5,725,164.32,65.97,0.283
GDC,5,775,167.71,65.8,0.282
GDC,5,825,171.59,65.62,0.275
GDC,5,875,166.1,65.45,0.273
GDC,6,25,182.82,68.36,0.277
GDC,6,75,178.07,68.19,0.286
GDC,6,125,179.12,68.02,0.278
GDC,6,175,173.99,67.85,0.286
GDC,6,225,167.43,67.68,0.282
GDC,6,275,166.36,67.5,0.278
GDC,6,325,173.27,67.33,0.282
GDC,6,375,169.87,67.16,0.282
GDC,6,425,168.3,66.99,0.285
GDC,6,475,170.84,66.82,0.277
GDC,6,525,172.78,66.65,0.28
GDC,6,575,165.1,66.48,0.28
GDC,6,625,168.18,66.31,0.284
GDC,6,675,174.6,66.14,0.275
GDC,6,725,165.11,65.97,0.285
GDC,6,775,171.48,65.8,0.282
GDC,6,825,166.3,65.62,0.273
GDC,6,875,169.47,65.45,0.286
GDC,7,25,173.7,68.36,0.285
GDC,7,75,175.76,68.19,0.284
GDC,7,125,171.86,68.02,0.285
GDC,7,175,179.44,67.85,0.274
GDC,7,225,170.18,67.68,0.286
GDC,7,275,171.63,67.5,0.276
GDC,7,325,172.75,67.33,0.281
GDC,7,375,168.11,67.16,0.281
GDC,7,425,172.66,66.99,0.282
GDC,7,475,176.7,66.82,0.282
GDC,7,525,168.91,66.65,0.276
GDC,7,575,171.57,66.48,0.273
GDC,7,625,160.13,66.31,0.284
GDC,7,675,169.18,66.14,0.281
GDC,7,725,167.78,65.97,0.286
GDC,7,775,165.57,65.8,0.28
GDC,7,825,171.79,65.62,0.273
GDC,7,875,166.42,65.45,0.285
GDC,8,25,174.24,68.36,0.279
GDC,8,75,175.53,68.19,0.278
GDC,8,125,172.39,68.02,0.27
GDC,8,175,175.63,67.85,0.274
GDC,8,225,171.21,67.68,0.285
GDC,8,275,174.98,67.5,0.269
GDC,8,325,173.92,67.33,0.276
GDC,8,375,171.72,67.16,0.278
GDC,8,425,169.96,66.99,0.289
GDC,8,475,171.59,66.82,0.284
GDC,8,525,172.55,66.65,0.277
GDC,8,575,177.4,66.48,0.287
GDC,8,625,173.04,66.31,0.276
GDC,8,675,172.73,66.14,0.285
GDC,8,725,179.68,65.97,0.273
GDC,8,775,170.24,65.8,0.285
GDC,8,825,169.7,65.62,0.278
GDC,8,875,170.03,65.45,0.275
GDC,9,25,177.05,68.36,0.275
GDC,9,75,174.79,68.19,0.278
GDC,9,125,171.77,68.02,0.277
GDC,9,175,172.77,67.85,0.283
GDC,9,225,173.32,67.68,0.279
GDC,9,275,172.69,67.5,0.281
GDC,9,325,165.78,67.33,0.285
GDC,9,375,170.55,67.16,0.284
GDC,9,425,171.7,66.99,0.279
GDC,9,475,170.08,66.82,0.277
GDC,9,525,169.76,66.65,0.286
GDC,9,575,171.9,66.48,0.284
GDC,9,625,165.97,66.31,0.272
GDC,9,675,163.61,66.14,0.278
GDC,9,725,167.66,65.97,0.281
GDC,9,775,171.11,65.8,0.284
GDC,9,825,173.91,65.62,0.285
GDC,9,875,170.3,65.45,0.281
GDC,10,25,175.75,68.36,0.273
GDC,10,75,171.31,68.19,0.279
GDC,10,125,175.82,68.02,0.281
GDC,10,175,169.2,67.85,0.281
GDC,10,225,173.36,67.68,0.283
GDC,10,275,171.82,67.5,0.275
GDC,10,325,173.44,67.33,0.28
GDC,10,375,172.37,67.16,0.282
GDC,10,425,170.61,66.99,0.284
GDC,10,475,165.69,66.82,0.276
GDC,10,525,165.45,66.65,0.278
GDC,10,575,168.14,66.48,0.266
GDC,10,625,169.72,66.31,0.277
GDC,10,675,167.18,66.14,0.277
GDC,10,725,171.06,65.97,0.275
GDC,10,775,167.46,65.8,0.281
GDC,10,825,164.62,65.62,0.28
GDC,10,875,166.59,65.45,0.269
LSCF-GDC,1,25,125.17,50.78,0.281
LSCF-GDC,1,75,128.39,50.65,0.282
LSCF-GDC,1,125,130.39,50.53,0.289
LSCF-GDC,1,175,131.17,50.4,0.277
LSCF-GDC,1,225,126.85,50.27,0.28
LSCF-GDC,1,275,131.11,50.15,0.282
LSCF-GDC,1,325,124.11,50.02,0.28
LSCF-GDC,1,375,124.48,49.89,0.277
LSCF-GDC,1,425,129.25,49.77,0.272
LSCF-GDC,1,475,131.42,49.64,0.277
LSCF-GDC,1,525,128.03,49.51,0.275
LSCF-GDC,1,575,126.32,49.38,0.271
LSCF-GDC,1,625,120.39,49.26,0.276
LSCF-GDC,1,675,120.52,49.13,0.275
LSCF-GDC,1,725,125.79,49.0,0.283
LSCF-GDC,1,775,124.19,48.88,0.283
LSCF-GDC,1,825,121.92,48.75,0.275
LSCF-GDC,1,875,124.65,48.62,0.279
LSCF-GDC,2,25,126.67,50.78,0.281
LSCF-GDC,2,75,131.04,50.65,0.285
LSCF-GDC,2,125,127.66,50.53,0.281
LSCF-GDC,2,175,129.29,50.4,0.286
LSCF-GDC,2,225,127.96,50.27,0.28
LSCF-GDC,2,275,133.38,50.15,0.279
LSCF-GDC,2,325,133.2,50.02,0.285
LSCF-GDC,2,375,127.85,49.89,0.275
LSCF-GDC,2,425,127.57,49.77,0.294
LSCF-GDC,2,475,126.1,49.64,0.282
LSCF-GDC,2,525,129.63,49.51,0.282
LSCF-GDC,2,575,125.57,49.38,0.283
LSCF-GDC,2,625,125.0,49.26,0.289
LSCF-GDC,2,675,128.32,49.13,0.284
LSCF-GDC,2,725,124.05,49.0,0.272
LSCF-GDC,2,775,125.03,48.88,0.287
LSCF-GDC,2,825,120.69,48.75,0.278
LSCF-GDC,2,875,126.31,48.62,0.281
LSCF-GDC,3,25,125.98,50.78,0.29
LSCF-GDC,3,75,128.89,50.65,0.284
LSCF-GDC,3,125,132.2,50.53,0.287
LSCF-GDC,3,175,130.46,50.4,0.276
LSCF-GDC,3,225,125.3,50.27,0.281
LSCF-GDC,3,275,129.96,50.15,0.275
LSCF-GDC,3,325,122.49,50.02,0.279
LSCF-GDC,3,375,127.15,49.89,0.284
LSCF-GDC,3,425,130.36,49.77,0.281
LSCF-GDC,3,475,127.12,49.64,0.273
LSCF-GDC,3,525,125.45,49.51,0.273
LSCF-GDC,3,575,128.74,49.38,0.273
LSCF-GDC,3,625,128.63,49.26,0.282
LSCF-GDC,3,675,129.18,49.13,0.29
LSCF-GDC,3,725,127.72,49.0,0.287
LSCF-GDC,3,775,127.94,48.88,0.271
LSCF-GDC,3,825,126.71,48.75,0.287
LSCF-GDC,3,875,125.17,48.62,0.285
LSCF-GDC,4,25,129.53,50.78,0.28
LSCF-GDC,4,75,130.84,50.65,0.279
LSCF-GDC,4,125,130.77,50.53,0.274
LSCF-GDC,4,175,126.33,50.4,0.275
LSCF-GDC,4,225,130.03,50.27,0.279
LSCF-GDC,4,275,124.75,50.15,0.281
LSCF-GDC,4,325,126.42,50.02,0.287
LSCF-GDC,4,375,130.52,49.89,0.28
LSCF-GDC,4,425,128.33,49.77,0.285
LSCF-GDC,4,475,126.28,49.64,0.285
LSCF-GDC,4,525,127.91,49.51,0.279
LSCF-GDC,4,575,126.27,49.38,0.283
LSCF-GDC,4,625,126.13,49.26,0.279
LSCF-GDC,4,675,127.48,49.13,0.287
LSCF-GDC,4,725,123.56,49.0,0.283
LSCF-GDC,4,775,125.23,48.88,0.274
LSCF-GDC,4,825,123.99,48.75,0.281
LSCF-GDC,4,875,120.35,48.62,0.288
LSCF-GDC,5,25,129.6,50.78,0.275
LSCF-GDC,5,75,130.73,50.65,0.288
LSCF-GDC,5,125,128.66,50.53,0.282
LSCF-GDC,5,175,127.34,50.4,0.273
LSCF-GDC,5,225,132.87,50.27,0.272
LSCF-GDC,5,275,131.1,50.15,0.279
LSCF-GDC,5,325,126.07,50.02,0.288
LSCF-GDC,5,375,129.2,49.89,0.279
LSCF-GDC,5,425,125.47,49.77,0.287
LSCF-GDC,5,475,123.99,49.64,0.282
