material,specimen,temperature_C,cte_ppm_K,cte_mean,cte_std
YSZ,7,325,10.4767,10.545,0.08
YSZ,7,350,10.5258,10.5488,0.08
YSZ,7,375,10.4354,10.5525,0.08
YSZ,7,400,10.509,10.5563,0.08
YSZ,7,425,10.5852,10.56,0.08
YSZ,7,450,10.6602,10.5638,0.08
YSZ,7,475,10.5092,10.5675,0.08
YSZ,7,500,10.5189,10.5712,0.08
YSZ,7,525,10.4032,10.575,0.08
YSZ,7,550,10.5657,10.5787,0.08
YSZ,7,575,10.4975,10.5825,0.08
YSZ,7,600,10.5439,10.5862,0.08
YSZ,7,625,10.5199,10.59,0.08
YSZ,7,650,10.5862,10.5938,0.08
YSZ,7,675,10.4569,10.5975,0.08
YSZ,7,700,10.4839,10.6013,0.08
YSZ,7,725,10.7753,10.605,0.08
YSZ,7,750,10.5058,10.6088,0.08
YSZ,7,775,10.5248,10.6125,0.08
YSZ,7,800,10.7632,10.6163,0.08
YSZ,7,825,10.8524,10.62,0.08
YSZ,7,850,10.53,10.6237,0.08
YSZ,7,875,10.598,10.6275,0.08
YSZ,7,900,10.6586,10.6312,0.08
YSZ,8,25,10.6383,10.5,0.08
YSZ,8,50,10.4248,10.5038,0.08
YSZ,8,75,10.4879,10.5075,0.08
YSZ,8,100,10.5734,10.5113,0.08
YSZ,8,125,10.5498,10.515,0.08
YSZ,8,150,10.4887,10.5188,0.08
YSZ,8,175,10.5118,10.5225,0.08
YSZ,8,200,10.4163,10.5262,0.08
YSZ,8,225,10.5109,10.53,0.08
YSZ,8,250,10.5124,10.5337,0.08
YSZ,8,275,10.5561,10.5375,0.08
YSZ,8,300,10.4968,10.5412,0.08
YSZ,8,325,10.5827,10.545,0.08
YSZ,8,350,10.6298,10.5488,0.08
YSZ,8,375,10.5649,10.5525,0.08
YSZ,8,400,10.5844,10.5563,0.08
YSZ,8,425,10.5643,10.56,0.08
YSZ,8,450,10.5638,10.5638,0.08
YSZ,8,475,10.5098,10.5675,0.08
YSZ,8,500,10.5966,10.5712,0.08
YSZ,8,525,10.5672,10.575,0.08
YSZ,8,550,10.7462,10.5787,0.08
YSZ,8,575,10.7084,10.5825,0.08
YSZ,8,600,10.6171,10.5862,0.08
YSZ,8,625,10.529,10.59,0.08
YSZ,8,650,10.5048,10.5938,0.08
YSZ,8,675,10.6928,10.5975,0.08
YSZ,8,700,10.6223,10.6013,0.08
YSZ,8,725,10.6434,10.605,0.08
YSZ,8,750,10.4692,10.6088,0.08
YSZ,8,775,10.6867,10.6125,0.08
YSZ,8,800,10.6526,10.6163,0.08
YSZ,8,825,10.5312,10.62,0.08
YSZ,8,850,10.586,10.6237,0.08
YSZ,8,875,10.6486,10.6275,0.08
YSZ,8,900,10.6354,10.6312,0.08
YSZ,9,25,10.4766,10.5,0.08
YSZ,9,50,10.4955,10.5038,0.08
YSZ,9,75,10.4873,10.5075,0.08
YSZ,9,100,10.5235,10.5113,0.08
YSZ,9,125,10.6327,10.515,0.08
YSZ,9,150,10.3134,10.5188,0.08
YSZ,9,175,10.5036,10.5225,0.08
YSZ,9,200,10.5404,10.5262,0.08
YSZ,9,225,10.5537,10.53,0.08
YSZ,9,250,10.504,10.5337,0.08
YSZ,9,275,10.397,10.5375,0.08
YSZ,9,300,10.5675,10.5412,0.08
YSZ,9,325,10.6832,10.545,0.08
YSZ,9,350,10.426,10.5488,0.08
YSZ,9,375,10.6216,10.5525,0.08
YSZ,9,400,10.53,10.5563,0.08
YSZ,9,425,10.5551,10.56,0.08
YSZ,9,450,10.4795,10.5638,0.08
YSZ,9,475,10.5407,10.5675,0.08
YSZ,9,500,10.6753,10.5712,0.08
YSZ,9,525,10.6216,10.575,0.08
YSZ,9,550,10.7173,10.5787,0.08
YSZ,9,575,10.6767,10.5825,0.08
YSZ,9,600,10.6214,10.5862,0.08
YSZ,9,625,10.7295,10.59,0.08
YSZ,9,650,10.6289,10.5938,0.08
YSZ,9,675,10.6637,10.5975,0.08
YSZ,9,700,10.5775,10.6013,0.08
YSZ,9,725,10.6103,10.605,0.08
YSZ,9,750,10.553,10.6088,0.08
YSZ,9,775,10.6917,10.6125,0.08
YSZ,9,800,10.522,10.6163,0.08
YSZ,9,825,10.6826,10.62,0.08
YSZ,9,850,10.6085,10.6237,0.08
YSZ,9,875,10.7212,10.6275,0.08
YSZ,9,900,10.6913,10.6312,0.08
YSZ,10,25,10.6457,10.5,0.08
YSZ,10,50,10.5622,10.5038,0.08
YSZ,10,75,10.3817,10.5075,0.08
YSZ,10,100,10.5059,10.5113,0.08
YSZ,10,125,10.4212,10.515,0.08
YSZ,10,150,10.4773,10.5188,0.08
YSZ,10,175,10.6434,10.5225,0.08
YSZ,10,200,10.5773,10.5262,0.08
YSZ,10,225,10.4741,10.53,0.08
YSZ,10,250,10.4527,10.5337,0.08
YSZ,10,275,10.5401,10.5375,0.08
YSZ,10,300,10.4439,10.5412,0.08
YSZ,10,325,10.4913,10.545,0.08
YSZ,10,350,10.5737,10.5488,0.08
YSZ,10,375,10.6449,10.5525,0.08
YSZ,10,400,10.605,10.5563,0.08
YSZ,10,425,10.3767,10.56,0.08
YSZ,10,450,10.5881,10.5638,0.08
YSZ,10,475,10.5733,10.5675,0.08
YSZ,10,500,10.6044,10.5712,0.08
YSZ,10,525,10.7043,10.575,0.08
YSZ,10,550,10.4137,10.5787,0.08
YSZ,10,575,10.5352,10.5825,0.08
YSZ,10,600,10.6335,10.5862,0.08
YSZ,10,625,10.4635,10.59,0.08
YSZ,10,650,10.7118,10.5938,0.08
YSZ,10,675,10.627,10.5975,0.08
YSZ,10,700,10.669,10.6013,0.08
YSZ,10,725,10.5593,10.605,0.08
YSZ,10,750,10.6739,10.6088,0.08
YSZ,10,775,10.698,10.6125,0.08
YSZ,10,800,10.6349,10.6163,0.08
YSZ,10,825,10.6388,10.62,0.08
YSZ,10,850,10.6454,10.6237,0.08
YSZ,10,875,10.5584,10.6275,0.08
YSZ,10,900,10.6194,10.6312,0.08
Ni-YSZ,1,25,12.4878,12.5,0.08
Ni-YSZ,1,50,12.5357,12.505,0.08
Ni-YSZ,1,75,12.59,12.51,0.08
Ni-YSZ,1,100,12.4303,12.515,0.08
Ni-YSZ,1,125,12.51,12.52,0.08
Ni-YSZ,1,150,12.6435,12.525,0.08
Ni-YSZ,1,175,12.4705,12.53,0.08
Ni-YSZ,1,200,12.4692,12.535,0.08
Ni-YSZ,1,225,12.5562,12.54,0.08
Ni-YSZ,1,250,12.6126,12.545,0.08
Ni-YSZ,1,275,12.5509,12.55,0.08
Ni-YSZ,1,300,12.6613,12.555,0.08
Ni-YSZ,1,325,12.6285,12.56,0.08
Ni-YSZ,1,350,12.6323,12.565,0.08
Ni-YSZ,1,375,12.6143,12.57,0.08
Ni-YSZ,1,400,12.7612,12.575,0.08
Ni-YSZ,1,425,12.5636,12.58,0.08
Ni-YSZ,1,450,12.4247,12.585,0.08
Ni-YSZ,1,475,12.7183,12.59,0.08
Ni-YSZ,1,500,12.5584,12.595,0.08
Ni-YSZ,1,525,12.6086,12.6,0.08
Ni-YSZ,1,550,12.7098,12.605,0.08
Ni-YSZ,1,575,12.4818,12.61,0.08
Ni-YSZ,1,600,12.5149,12.615,0.08
Ni-YSZ,1,625,12.4919,12.62,0.08
Ni-YSZ,1,650,12.5615,12.625,0.08
Ni-YSZ,1,675,12.6652,12.63,0.08
Ni-YSZ,1,700,12.6769,12.635,0.08
Ni-YSZ,1,725,12.6621,12.64,0.08
Ni-YSZ,1,750,12.532,12.645,0.08
Ni-YSZ,1,775,12.4652,12.65,0.08
Ni-YSZ,1,800,12.6593,12.655,0.08
Ni-YSZ,1,825,12.6223,12.66,0.08
Ni-YSZ,1,850,12.7018,12.665,0.08
Ni-YSZ,1,875,12.7262,12.67,0.08
Ni-YSZ,1,900,12.6861,12.675,0.08
Ni-YSZ,2,25,12.5608,12.5,0.08
Ni-YSZ,2,50,12.5233,12.505,0.08
Ni-YSZ,2,75,12.5524,12.51,0.08
Ni-YSZ,2,100,12.4586,12.515,0.08
Ni-YSZ,2,125,12.5056,12.52,0.08
Ni-YSZ,2,150,12.5407,12.525,0.08
Ni-YSZ,2,175,12.5956,12.53,0.08
Ni-YSZ,2,200,12.5035,12.535,0.08
Ni-YSZ,2,225,12.5817,12.54,0.08
Ni-YSZ,2,250,12.5237,12.545,0.08
Ni-YSZ,2,275,12.5406,12.55,0.08
Ni-YSZ,2,300,12.6214,12.555,0.08
Ni-YSZ,2,325,12.4006,12.56,0.08
Ni-YSZ,2,350,12.4613,12.565,0.08
Ni-YSZ,2,375,12.4514,12.57,0.08
Ni-YSZ,2,400,12.3883,12.575,0.08
Ni-YSZ,2,425,12.5257,12.58,0.08
Ni-YSZ,2,450,12.645,12.585,0.08
Ni-YSZ,2,475,12.5672,12.59,0.08
Ni-YSZ,2,500,12.6108,12.595,0.08
Ni-YSZ,2,525,12.6871,12.6,0.08
Ni-YSZ,2,550,12.7112,12.605,0.08
Ni-YSZ,2,575,12.6045,12.61,0.08
Ni-YSZ,2,600,12.7233,12.615,0.08
Ni-YSZ,2,625,12.6274,12.62,0.08
Ni-YSZ,2,650,12.558,12.625,0.08
Ni-YSZ,2,675,12.5824,12.63,0.08
Ni-YSZ,2,700,12.5166,12.635,0.08
Ni-YSZ,2,725,12.5689,12.64,0.08
Ni-YSZ,2,750,12.6164,12.645,0.08
Ni-YSZ,2,775,12.7143,12.65,0.08
Ni-YSZ,2,800,12.7927,12.655,0.08
Ni-YSZ,2,825,12.5494,12.66,0.08
Ni-YSZ,2,850,12.6964,12.665,0.08
Ni-YSZ,2,875,12.5868,12.67,0.08
Ni-YSZ,2,900,12.713,12.675,0.08
Ni-YSZ,3,25,12.4895,12.5,0.08
Ni-YSZ,3,50,12.3585,12.505,0.08
Ni-YSZ,3,75,12.5843,12.51,0.08
Ni-YSZ,3,100,12.4666,12.515,0.08
Ni-YSZ,3,125,12.4773,12.52,0.08
Ni-YSZ,3,150,12.4394,12.525,0.08
Ni-YSZ,3,175,12.4777,12.53,0.08
Ni-YSZ,3,200,12.5692,12.535,0.08
Ni-YSZ,3,225,12.5249,12.54,0.08
Ni-YSZ,3,250,12.5713,12.545,0.08
Ni-YSZ,3,275,12.579,12.55,0.08
Ni-YSZ,3,300,12.6607,12.555,0.08
Ni-YSZ,3,325,12.5326,12.56,0.08
Ni-YSZ,3,350,12.4469,12.565,0.08
Ni-YSZ,3,375,12.6554,12.57,0.08
Ni-YSZ,3,400,12.5485,12.575,0.08
Ni-YSZ,3,425,12.6692,12.58,0.08
Ni-YSZ,3,450,12.6157,12.585,0.08
Ni-YSZ,3,475,12.5795,12.59,0.08
Ni-YSZ,3,500,12.6229,12.595,0.08
Ni-YSZ,3,525,12.7561,12.6,0.08
Ni-YSZ,3,550,12.7712,12.605,0.08
Ni-YSZ,3,575,12.6156,12.61,0.08
Ni-YSZ,3,600,12.6278,12.615,0.08
Ni-YSZ,3,625,12.7061,12.62,0.08
Ni-YSZ,3,650,12.5573,12.625,0.08
Ni-YSZ,3,675,12.6566,12.63,0.08
Ni-YSZ,3,700,12.6329,12.635,0.08
Ni-YSZ,3,725,12.6651,12.64,0.08
Ni-YSZ,3,750,12.5783,12.645,0.08
Ni-YSZ,3,775,12.5228,12.65,0.08
Ni-YSZ,3,800,12.4892,12.655,0.08
Ni-YSZ,3,825,12.5706,12.66,0.08
Ni-YSZ,3,850,12.6283,12.665,0.08
Ni-YSZ,3,875,12.6465,12.67,0.08
Ni-YSZ,3,900,12.83,12.675,0.08
Ni-YSZ,4,25,12.5885,12.5,0.08
Ni-YSZ,4,50,12.428,12.505,0.08
Ni-YSZ,4,75,12.5378,12.51,0.08
Ni-YSZ,4,100,12.4824,12.515,0.08
Ni-YSZ,4,125,12.4973,12.52,0.08
Ni-YSZ,4,150,12.5398,12.525,0.08
Ni-YSZ,4,175,12.5795,12.53,0.08
Ni-YSZ,4,200,12.5079,12.535,0.08
Ni-YSZ,4,225,12.6251,12.54,0.08
Ni-YSZ,4,250,12.4536,12.545,0.08
Ni-YSZ,4,275,12.5505,12.55,0.08
Ni-YSZ,4,300,12.7628,12.555,0.08
Ni-YSZ,4,325,12.5778,12.56,0.08
Ni-YSZ,4,350,12.6797,12.565,0.08
Ni-YSZ,4,375,12.5773,12.57,0.08
Ni-YSZ,4,400,12.6215,12.575,0.08
Ni-YSZ,4,425,12.5755,12.58,0.08
Ni-YSZ,4,450,12.5714,12.585,0.08
Ni-YSZ,4,475,12.5276,12.59,0.08
Ni-YSZ,4,500,12.6294,12.595,0.08
Ni-YSZ,4,525,12.5319,12.6,0.08
Ni-YSZ,4,550,12.6582,12.605,0.08
Ni-YSZ,4,575,12.6968,12.61,0.08
Ni-YSZ,4,600,12.6443,12.615,0.08
Ni-YSZ,4,625,12.5971,12.62,0.08
Ni-YSZ,4,650,12.6613,12.625,0.08
Ni-YSZ,4,675,12.6053,12.63,0.08
Ni-YSZ,4,700,12.7098,12.635,0.08
Ni-YSZ,4,725,12.4935,12.64,0.08
Ni-YSZ,4,750,12.6182,12.645,0.08
Ni-YSZ,4,775,12.4907,12.65,0.08
Ni-YSZ,4,800,12.5354,12.655,0.08
Ni-YSZ,4,825,12.7691,12.66,0.08
Ni-YSZ,4,850,12.7366,12.665,0.08
Ni-YSZ,4,875,12.6124,12.67,0.08
Ni-YSZ,4,900,12.5548,12.675,0.08
Ni-YSZ,5,25,12.2628,12.5,0.08
Ni-YSZ,5,50,12.4615,12.505,0.08
Ni-YSZ,5,75,12.7036,12.51,0.08
Ni-YSZ,5,100,12.5498,12.515,0.08
Ni-YSZ,5,125,12.4752,12.52,0.08
Ni-YSZ,5,150,12.5622,12.525,0.08
Ni-YSZ,5,175,12.4051,12.53,0.08
Ni-YSZ,5,200,12.5112,12.535,0.08
Ni-YSZ,5,225,12.548,12.54,0.08
Ni-YSZ,5,250,12.5381,12.545,0.08
Ni-YSZ,5,275,12.6133,12.55,0.08
Ni-YSZ,5,300,12.5826,12.555,0.08
Ni-YSZ,5,325,12.6135,12.56,0.08
Ni-YSZ,5,350,12.5099,12.565,0.08
Ni-YSZ,5,375,12.6418,12.57,0.08
Ni-YSZ,5,400,12.7053,12.575,0.08
Ni-YSZ,5,425,12.5024,12.58,0.08
Ni-YSZ,5,450,12.514,12.585,0.08
Ni-YSZ,5,475,12.6969,12.59,0.08
Ni-YSZ,5,500,12.5797,12.595,0.08
Ni-YSZ,5,525,12.7123,12.6,0.08
Ni-YSZ,5,550,12.5696,12.605,0.08
Ni-YSZ,5,575,12.7264,12.61,0.08
Ni-YSZ,5,600,12.6255,12.615,0.08
Ni-YSZ,5,625,12.6407,12.62,0.08
Ni-YSZ,5,650,12.7502,12.625,0.08
Ni-YSZ,5,675,12.6011,12.63,0.08
Ni-YSZ,5,700,12.5597,12.635,0.08
Ni-YSZ,5,725,12.6041,12.64,0.08
Ni-YSZ,5,750,12.6812,12.645,0.08
Ni-YSZ,5,775,12.5247,12.65,0.08
Ni-YSZ,5,800,12.706,12.655,0.08
Ni-YSZ,5,825,12.6169,12.66,0.08
Ni-YSZ,5,850,12.7568,12.665,0.08
Ni-YSZ,5,875,12.4785,12.67,0.08
Ni-YSZ,5,900,12.6121,12.675,0.08
Ni-YSZ,6,25,12.3651,12.5,0.08
Ni-YSZ,6,50,12.4389,12.505,0.08
Ni-YSZ,6,75,12.5298,12.51,0.08
Ni-YSZ,6,100,12.5007,12.515,0.08
Ni-YSZ,6,125,12.4997,12.52,0.08
Ni-YSZ,6,150,12.5123,12.525,0.08
Ni-YSZ,6,175,12.5463,12.53,0.08
Ni-YSZ,6,200,12.4543,12.535,0.08
Ni-YSZ,6,225,12.5965,12.54,0.08
Ni-YSZ,6,250,12.598,12.545,0.08
Ni-YSZ,6,275,12.5808,12.55,0.08
Ni-YSZ,6,300,12.5995,12.555,0.08
Ni-YSZ,6,325,12.5837,12.56,0.08
Ni-YSZ,6,350,12.7278,12.565,0.08
Ni-YSZ,6,375,12.563,12.57,0.08
Ni-YSZ,6,400,12.5504,12.575,0.08
Ni-YSZ,6,425,12.5197,12.58,0.08
Ni-YSZ,6,450,12.5024,12.585,0.08
Ni-YSZ,6,475,12.4904,12.59,0.08
Ni-YSZ,6,500,12.5239,12.595,0.08
Ni-YSZ,6,525,12.5943,12.6,0.08
Ni-YSZ,6,550,12.6317,12.605,0.08
Ni-YSZ,6,575,12.6141,12.61,0.08
Ni-YSZ,6,600,12.5538,12.615,0.08
Ni-YSZ,6,625,12.692,12.62,0.08
Ni-YSZ,6,650,12.6842,12.625,0.08
Ni-YSZ,6,675,12.6172,12.63,0.08
Ni-YSZ,6,700,12.5828,12.635,0.08
Ni-YSZ,6,725,12.6839,12.64,0.08
Ni-YSZ,6,750,12.66,12.645,0.08
Ni-YSZ,6,775,12.5341,12.65,0.08
Ni-YSZ,6,800,12.6496,12.655,0.08
Ni-YSZ,6,825,12.681,12.66,0.08
Ni-YSZ,6,850,12.593,12.665,0.08
Ni-YSZ,6,875,12.6852,12.67,0.08
Ni-YSZ,6,900,12.5586,12.675,0.08
Ni-YSZ,7,25,12.6069,12.5,0.08
Ni-YSZ,7,50,12.6048,12.505,0.08
Ni-YSZ,7,75,12.4898,12.51,0.08
Ni-YSZ,7,100,12.5441,12.515,0.08
Ni-YSZ,7,125,12.3272,12.52,0.08
Ni-YSZ,7,150,12.4325,12.525,0.08
Ni-YSZ,7,175,12.5065,12.53,0.08
