experiment_id,measurement_location_m,radial_position_mm,phase,turbulent_kinetic_energy_m2_s2,turbulent_dissipation_rate_m2_s3,mean_velocity_ms,reynolds_stress_pa,wall_shear_stress_pa,interface_shear_stress_pa,turbulence_intensity_percent,integral_length_scale_mm
EXP006,1.0,65,liquid,0.0289,0.0078,0.71,0.289,0.0,0.0,7.6,9.6
EXP006,1.0,85,liquid,0.0218,0.0056,0.69,0.218,0.0,0.0,6.8,10.2
EXP006,1.0,101.6,liquid,0.0156,0.0041,0.67,0.156,0.634,0.0,5.9,12.1
EXP007,1.0,0,gas,0.0145,0.0052,0.31,0.145,0.0,0.0,7.7,13.8
EXP007,1.0,10,gas,0.0123,0.0041,0.30,0.123,0.0,0.0,7.4,13.2
EXP007,1.0,18,gas,0.0102,0.0032,0.29,0.102,0.0,0.0,7.0,12.6
EXP007,1.0,21,interface,0.0278,0.0134,0.92,0.278,0.0,1.34,5.7,11.8
EXP007,1.0,25,liquid,0.0052,0.0014,1.51,0.052,0.0,0.0,1.5,18.4
EXP007,1.0,50,liquid,0.0041,0.0011,1.49,0.041,0.0,0.0,1.4,19.1
EXP007,1.0,80,liquid,0.0027,0.0007,1.47,0.027,0.145,0.0,1.1,20.3
EXP007,1.0,101.6,liquid,0.0014,0.0004,1.45,0.014,0.284,0.0,0.8,21.7
