SG1_center,SG2_edge,SG3_corner,SG4_outlet,time_hours
11923.254203597699,10720.127504761645,11749.817452264466,12077.282836117736,770.0
14144.16052827702,11440.380325969272,15370.270965901245,17193.096193322428,780.0
11822.21595064275,6836.561998029099,13815.534360756712,33481.8970281411,790.0
31132.642740343596,13718.19803674099,9774.506146549269,4559.921938081533,800.0
23604.691425047644,6131.288109848314,15960.399248482572,25547.779610387573,810.0
7952.105711049265,17294.218333750483,6318.269715534442,28128.97595686451,820.0
9033.1552342483,7317.274693046563,4895.097367838788,10881.098742767983,830.0
18317.172530845284,9586.892692565167,4071.8251414334627,22802.405357995925,840.0
9249.41232553241,14329.018267697618,16159.502245067171,22015.39428557603,850.0
6466.201821044647,11920.073041094518,10622.572668795976,23979.521125159943,860.0
6046.183768587832,12189.432553834076,17623.17360420757,22427.32323861556,870.0
23056.968325756476,3088.5067778671223,10840.569982455834,17619.469128399152,880.0
2911.826189442249,5564.406357964457,14860.01006633391,13446.09204218298,890.0
6592.5564871267525,10887.185883238068,16312.261539046149,20805.356289774343,900.0
6074.400025470893,9379.627786101364,17932.713672303948,41257.06648207871,910.0
14205.670432291912,9447.208200856448,16261.114640518947,27930.76303717561,920.0
18886.092201908144,4160.288145923573,16092.165227553485,31065.32168254602,930.0
21421.86744741154,7871.56072382959,9200.941132808664,25518.61596513404,940.0
6318.218959278633,3443.26305288818,11420.513712276907,9997.51883971502,950.0
21706.310436007123,11414.885998522474,24026.03719134744,34614.25414009788,960.0
16124.521579843342,12058.139152825705,12175.265626817269,18342.617636137544,970.0
7176.4935833444615,19951.19842412229,9105.58081751371,16454.342903668916,980.0
12630.095387040441,14226.411145760472,11109.40062482223,24533.278403998214,990.0
