company_id,distress_score,is_distressed,revenue_decline_rate,user_decline_rate,has_revenue_decline,has_user_decline,has_regulatory_issues,regulatory_issues_count,months_since_founded
FT0177,0.4559,1,0.4184,0.3474,1,1,0,0,36
FT0178,0.3203,0,-0.0851,-0.4599,0,0,0,0,18
FT0179,0.5687,1,0.2135,-0.355,1,0,0,0,21
FT0180,0.6566,1,0.156,0.2126,1,1,0,0,18
FT0181,0.2704,0,0.3112,-0.4259,1,0,0,0,27
FT0182,0.4236,1,0.1681,0.4447,1,1,0,0,168
FT0183,0.5081,1,0.21,0.2869,1,1,0,0,25
FT0184,0.3363,0,0.2062,-0.2524,1,0,0,0,49
FT0185,0.6012,1,0.3095,0.281,1,1,0,0,56
FT0186,0.3497,0,0.1311,0.2317,1,1,0,0,85
FT0187,0.0882,0,0.0085,-0.1676,0,0,0,0,85
FT0188,0.3462,0,0.1414,0.0876,1,1,0,0,30
FT0189,0.5846,1,0.3387,0.1747,1,1,0,0,180
FT0190,0.4636,1,0.2492,0.3311,1,1,0,0,105
FT0191,0.2849,0,0.2749,-0.0032,1,0,0,0,25
FT0192,0.4011,1,0.1704,0.2657,1,1,0,0,44
FT0193,0.1888,0,0.0133,0.063,0,1,0,0,63
FT0194,0.2343,0,-0.0678,0.0146,0,0,0,0,15
FT0195,0.1591,0,0.1238,-0.0905,1,0,0,0,123
FT0196,0.3584,0,0.2044,-0.4195,1,0,0,0,28
FT0197,0.072,0,0.1579,-0.6779,1,0,0,0,108
FT0198,0.1812,0,0.193,-0.4566,1,0,0,0,74
FT0199,0.5232,1,0.3935,-0.8203,1,0,0,0,19
FT0200,0.499,1,0.3142,0.1335,1,1,0,0,121
