company_id,event_date,event_type,severity,fine_amount_usd,resolution_status,description
FT0123,2024-04-16,Warning,Low,0.0,Open,Warning issued by Uganda Central Bank
FT0126,2024-01-14,Fine,Medium,61430.71,Resolved,Fine issued by Nigeria Central Bank
FT0126,2023-10-14,Warning,Medium,0.0,Open,Warning issued by Nigeria Central Bank
FT0129,2024-06-24,Fine,Medium,67606.28,Resolved,Fine issued by Uganda Central Bank
FT0130,2024-07-05,Fine,Medium,76477.0,Open,Fine issued by Senegal Central Bank
FT0130,2024-03-24,Warning,High,0.0,Resolved,Warning issued by Senegal Central Bank
FT0132,2024-09-09,Warning,Low,0.0,Resolved,Warning issued by Zambia Central Bank
FT0132,2023-10-25,Compliance Review,High,0.0,Resolved,Compliance Review issued by Zambia Central Bank
FT0133,2025-02-08,Warning,Low,0.0,Resolved,Warning issued by Ghana Central Bank
FT0133,2025-06-26,Suspension,Low,93672.59,Resolved,Suspension issued by Ghana Central Bank
FT0134,2024-04-09,Warning,High,0.0,Resolved,Warning issued by Kenya Central Bank
FT0136,2025-05-11,Fine,Low,3879.67,Appealed,Fine issued by Kenya Central Bank
FT0137,2024-10-16,Fine,Medium,29593.64,Open,Fine issued by Nigeria Central Bank
FT0137,2024-04-09,Warning,High,0.0,Open,Warning issued by Nigeria Central Bank
FT0137,2023-11-15,Warning,High,0.0,Open,Warning issued by Nigeria Central Bank
FT0137,2025-06-16,Warning,High,0.0,Open,Warning issued by Nigeria Central Bank
FT0140,2023-10-27,Suspension,Medium,78818.28,Resolved,Suspension issued by Uganda Central Bank
FT0143,2023-12-19,Warning,Low,0.0,Open,Warning issued by Ethiopia Central Bank
FT0146,2024-06-17,Warning,High,0.0,Resolved,Warning issued by Senegal Central Bank
FT0146,2024-09-15,Fine,Medium,7420.45,Open,Fine issued by Senegal Central Bank
FT0153,2025-04-01,Warning,High,0.0,Resolved,Warning issued by Tanzania Central Bank
FT0153,2025-02-24,Suspension,Medium,98713.87,Resolved,Suspension issued by Tanzania Central Bank
FT0154,2023-11-29,Fine,High,63044.79,Resolved,Fine issued by Tanzania Central Bank
FT0157,2023-11-07,Fine,Low,44126.36,Resolved,Fine issued by Kenya Central Bank
FT0157,2024-07-26,Warning,Low,0.0,Resolved,Warning issued by Kenya Central Bank
FT0157,2024-09-18,Suspension,Low,84359.54,Resolved,Suspension issued by Kenya Central Bank
FT0157,2025-05-29,Warning,Low,0.0,Resolved,Warning issued by Kenya Central Bank
FT0158,2023-10-30,Warning,Medium,0.0,Resolved,Warning issued by Uganda Central Bank
FT0160,2024-09-09,Fine,Low,4637.94,Open,Fine issued by Nigeria Central Bank
FT0162,2025-06-16,Fine,High,90225.49,Resolved,Fine issued by Ghana Central Bank
FT0165,2025-07-09,Suspension,Medium,17051.06,Resolved,Suspension issued by Ghana Central Bank
FT0165,2024-07-03,Warning,Low,0.0,Resolved,Warning issued by Ghana Central Bank
FT0170,2024-04-06,Warning,Low,0.0,Open,Warning issued by Zambia Central Bank
FT0170,2024-01-31,Fine,High,19052.33,Resolved,Fine issued by Zambia Central Bank
FT0173,2025-06-30,Warning,Low,0.0,Resolved,Warning issued by Tanzania Central Bank
FT0174,2024-05-01,Fine,Medium,11255.28,Appealed,Fine issued by Ghana Central Bank
FT0177,2025-06-02,License Revocation,Low,0.0,Resolved,License Revocation issued by Kenya Central Bank
FT0180,2024-08-11,Warning,Low,0.0,Resolved,Warning issued by Zambia Central Bank
FT0182,2024-02-10,Warning,Low,0.0,Open,Warning issued by Tanzania Central Bank
FT0183,2025-06-20,Warning,Low,0.0,Open,Warning issued by Rwanda Central Bank
FT0184,2025-05-06,Warning,High,0.0,Resolved,Warning issued by Senegal Central Bank
FT0185,2023-10-22,Warning,Low,0.0,Resolved,Warning issued by Ghana Central Bank
FT0185,2025-03-17,Suspension,Low,41154.02,Resolved,Suspension issued by Ghana Central Bank
FT0187,2024-07-05,Warning,High,0.0,Resolved,Warning issued by Zambia Central Bank
FT0189,2023-11-26,Suspension,High,66984.85,Resolved,Suspension issued by Tanzania Central Bank
FT0189,2025-06-05,Compliance Review,High,0.0,Resolved,Compliance Review issued by Tanzania Central Bank
FT0192,2025-05-21,Suspension,High,64952.09,Resolved,Suspension issued by Uganda Central Bank
FT0195,2025-04-28,Fine,Medium,56772.94,Open,Fine issued by Rwanda Central Bank
FT0196,2024-03-12,License Revocation,Low,0.0,Appealed,License Revocation issued by Uganda Central Bank
FT0199,2024-09-05,Warning,High,0.0,Open,Warning issued by Rwanda Central Bank
FT0199,2025-01-07,License Revocation,Low,0.0,Resolved,License Revocation issued by Rwanda Central Bank
FT0200,2024-01-09,Warning,Low,0.0,Open,Warning issued by Nigeria Central Bank
