company_id,round_number,round_date,round_type,amount_raised_usd,valuation_usd,num_investors,investors,months_since_last_round
FT0021,2,2025-02-17,Series A,198432.47,1796762.34,3,"4DX Ventures, Speedinvest, Government Fund",19
FT0022,1,2019-12-29,Seed,101433.4,929599.19,1,Partech Partners,0
FT0022,2,2020-11-23,Series A,257058.0,1323739.94,4,"500 Startups, Andela, Speedinvest, Y Combinator",15
FT0022,3,2018-07-21,Series B,1757866.5,9460868.17,3,"Speedinvest, Andela, Partech Partners",11
FT0022,4,2020-06-18,Series C,2925229.76,21357206.57,3,"TLcom Capital, Speedinvest, Partech Partners",6
FT0023,1,2021-01-19,Seed,77056.97,447714.61,3,"TLcom Capital, 500 Startups, Partech Partners",0
FT0023,2,2020-02-06,Series A,459623.87,3659845.9,2,"Government Fund, Speedinvest",9
FT0023,3,2022-04-25,Series B,955407.57,8136052.02,2,"Global Founders Capital, Corporate VC",23
FT0024,1,2020-07-27,Seed,463773.8,4594806.08,2,"TLcom Capital, CRE Venture Capital",0
FT0024,2,2018-04-06,Series A,1586308.73,8864717.61,4,"Corporate VC, Speedinvest, Development Bank, Sequoia Capital",17
FT0024,3,2018-09-04,Series B,3405137.01,17391127.96,2,"Andreessen Horowitz, TLcom Capital",22
FT0024,4,2020-08-18,Series C,7936528.79,58641450.6,2,"4DX Ventures, Development Bank",21
FT0025,1,2024-10-08,Seed,51210.59,356671.41,2,"Andreessen Horowitz, Accel Partners",0
FT0025,2,2022-03-20,Series A,193412.9,1868505.72,2,"Andreessen Horowitz, Development Bank",12
FT0025,3,2022-08-20,Series B,936712.82,7454932.93,1,Local Angel Investors,14
FT0026,1,2019-04-06,Seed,84648.48,678990.39,1,TLcom Capital,0
FT0026,2,2017-09-23,Series A,354250.98,1941731.57,3,"4DX Ventures, TLcom Capital, Sequoia Capital",18
FT0026,3,2020-01-09,Series B,616974.25,3364334.67,1,500 Startups,8
FT0026,4,2022-11-29,Series C,2691325.6,13439252.6,4,"4DX Ventures, Speedinvest, TLcom Capital, Development Bank",13
FT0026,5,2020-08-30,Series D,3042805.73,15041612.62,1,Development Bank,19
FT0027,1,2023-11-21,Seed,195659.87,1832804.03,4,"Local Angel Investors, CRE Venture Capital, Andreessen Horowitz, Partech Partners",0
FT0027,2,2025-08-18,Series A,300340.27,2185116.47,1,Global Founders Capital,7
FT0028,1,2023-10-31,Seed,97860.78,725927.18,2,"Local Angel Investors, Speedinvest",0
FT0028,2,2023-12-13,Series A,167901.48,1273746.41,2,"Partech Partners, Local Angel Investors",21
FT0029,1,2024-11-27,Seed,150708.65,1379699.0,2,"Development Bank, 4DX Ventures",0
FT0030,1,2025-06-16,Seed,98044.29,710685.59,3,"TLcom Capital, Andela, Partech Partners",0
FT0030,2,2025-07-14,Series A,295411.47,1361577.21,1,Speedinvest,22
FT0030,3,2024-12-17,Series B,746507.17,4490027.87,4,"Novastar Ventures, Andreessen Horowitz, Corporate VC, Speedinvest",8
FT0030,4,2025-05-22,Series C,1571395.19,14668752.28,2,"TLcom Capital, Sequoia Capital",12
FT0031,1,2024-09-17,Seed,80745.87,247863.61,4,"TLcom Capital, Novastar Ventures, Sequoia Capital, Andela",0
FT0031,2,2024-03-23,Series A,375963.02,1743368.42,3,"Sequoia Capital, Global Founders Capital, Local Angel Investors",20
FT0031,3,2023-09-26,Series B,659298.5,2022120.46,1,Y Combinator,7
FT0032,1,2025-09-01,Seed,30182.61,222862.13,4,"Andreessen Horowitz, Corporate VC, CRE Venture Capital, 4DX Ventures",0
FT0032,2,2024-09-08,Series A,176342.31,810116.88,1,Y Combinator,12
FT0032,3,2025-09-02,Series B,471059.36,4699255.17,4,"TLcom Capital, TLcom Capital, Government Fund, Accel Partners",19
FT0032,4,2024-06-07,Series C,775358.1,2815169.29,2,"500 Startups, TLcom Capital",23
FT0032,5,2024-05-01,Series D,1997442.76,17069169.73,4,"TLcom Capital, Corporate VC, Novastar Ventures, Andela",7
FT0032,6,2025-07-13,Bridge,3648861.42,21323667.38,2,"Government Fund, Partech Partners",12
FT0033,1,2024-01-18,Seed,68393.16,423779.53,2,"Novastar Ventures, Partech Partners",0
FT0033,2,2024-03-29,Series A,247345.95,2095047.96,1,Partech Partners,19
FT0033,3,2025-05-15,Series B,842297.72,6387932.37,3,"Speedinvest, Sequoia Capital, 4DX Ventures",16
FT0033,4,2025-01-05,Series C,1300261.49,12230244.48,2,"Speedinvest, TLcom Capital",16
FT0033,5,2025-04-14,Series D,3306739.63,24187676.71,4,"Partech Partners, Andreessen Horowitz, 500 Startups, Local Angel Investors",20
FT0034,1,2024-01-11,Seed,188575.17,1716934.09,1,Global Founders Capital,0
FT0034,2,2025-03-16,Series A,736333.98,2502833.19,3,"TLcom Capital, 500 Startups, Speedinvest",18
FT0034,3,2024-09-27,Series B,1823161.64,11527007.12,2,"Global Founders Capital, Sequoia Capital",18
FT0035,1,2024-12-29,Seed,29860.15,284986.24,1,CRE Venture Capital,0
FT0035,2,2024-12-17,Series A,141471.75,459692.65,3,"Y Combinator, Local Angel Investors, 500 Startups",17
FT0035,3,2025-09-03,Series B,284763.56,1391019.36,3,"Partech Partners, Andela, Local Angel Investors",16
FT0036,1,2025-02-17,Seed,95571.75,805095.52,1,4DX Ventures,0
FT0036,2,2024-09-22,Series A,210306.86,1087695.48,3,"Partech Partners, TLcom Capital, Global Founders Capital",23
FT0036,3,2025-06-17,Series B,295908.63,2656037.39,1,CRE Venture Capital,15
FT0037,1,2025-04-03,Seed,34741.96,118395.4,4,"Accel Partners, Partech Partners, Speedinvest, Novastar Ventures",0
FT0037,2,2025-03-20,Series A,296941.12,2366694.69,3,"Y Combinator, Novastar Ventures, Local Angel Investors",10
FT0038,1,2024-06-24,Seed,19315.53,135751.22,3,"Development Bank, Y Combinator, Andela",0
FT0038,2,2025-01-17,Series A,111051.62,1103588.48,1,Development Bank,6
FT0039,1,2025-01-30,Seed,171987.97,959385.97,4,"Y Combinator, 4DX Ventures, CRE Venture Capital, Corporate VC",0
FT0039,2,2025-07-17,Series A,622171.4,3274318.53,1,4DX Ventures,7
FT0040,1,2024-07-29,Seed,43427.88,196619.36,3,"4DX Ventures, CRE Venture Capital, Global Founders Capital",0
FT0040,2,2023-02-26,Series A,207691.13,1304394.23,4,"Y Combinator, TLcom Capital, 500 Startups, 4DX Ventures",14
FT0041,1,2025-06-12,Seed,36113.33,117405.76,3,"Global Founders Capital, Government Fund, Corporate VC",0
FT0043,1,2024-08-01,Seed,18386.69,78713.13,1,Global Founders Capital,0
FT0043,2,2025-01-06,Series A,77166.81,481014.3,4,"TLcom Capital, Partech Partners, Andreessen Horowitz, Corporate VC",12
FT0044,1,2025-01-11,Seed,80391.24,336922.61,2,"Global Founders Capital, TLcom Capital",0
FT0045,1,2024-06-16,Seed,156290.53,899878.51,3,"Andela, 500 Startups, CRE Venture Capital",0
FT0045,2,2022-07-25,Series A,722552.4,5733866.17,3,"Global Founders Capital, Novastar Ventures, Local Angel Investors",7
FT0046,1,2022-02-15,Seed,42797.07,335709.41,1,Development Bank,0
FT0046,2,2022-11-11,Series A,293707.2,890071.55,1,Andreessen Horowitz,6
FT0046,3,2024-08-16,Series B,975699.39,9283951.2,1,Development Bank,15
FT0047,1,2025-02-08,Seed,74777.14,488604.84,2,"Andela, 4DX Ventures",0
FT0047,2,2022-08-22,Series A,323722.34,1545884.62,4,"Partech Partners, CRE Venture Capital, TLcom Capital, Andreessen Horowitz",10
FT0048,1,2023-09-22,Seed,94335.16,323980.65,3,"Accel Partners, CRE Venture Capital, Andreessen Horowitz",0
FT0049,1,2023-01-24,Seed,43571.3,422630.54,2,"CRE Venture Capital, TLcom Capital",0
FT0049,2,2021-05-05,Series A,366080.18,3237966.44,3,"Y Combinator, Accel Partners, TLcom Capital",11
FT0050,1,2023-11-06,Seed,71939.96,421343.42,1,Accel Partners,0
FT0050,2,2023-04-21,Series A,342873.78,2187481.33,2,"TLcom Capital, Speedinvest",12
FT0051,1,2021-08-08,Seed,182247.19,1767089.33,4,"4DX Ventures, Accel Partners, Andreessen Horowitz, Y Combinator",0
FT0051,2,2020-03-01,Series A,706733.83,2540098.36,4,"CRE Venture Capital, Speedinvest, Novastar Ventures, Sequoia Capital",9
FT0051,3,2019-11-16,Series B,1917706.45,18296111.93,4,"Novastar Ventures, Andreessen Horowitz, Andela, Partech Partners",15
FT0051,4,2021-05-30,Series C,3469629.83,30797478.02,3,"500 Startups, Andreessen Horowitz, Speedinvest",13
FT0052,1,2024-06-18,Seed,56914.87,443413.33,1,Global Founders Capital,0
FT0053,1,2020-12-15,Seed,183803.84,834465.77,3,"Novastar Ventures, 4DX Ventures, Sequoia Capital",0
FT0053,2,2017-12-29,Series A,551109.88,4496918.22,1,TLcom Capital,21
FT0053,3,2022-08-24,Series B,1650776.92,14552504.93,1,Corporate VC,20
FT0053,4,2022-03-24,Series C,3606500.42,33560516.51,2,"Speedinvest, TLcom Capital",13
FT0053,5,2021-03-23,Series D,3591768.05,20340581.74,3,"Local Angel Investors, Accel Partners, Y Combinator",18
FT0054,1,2024-10-28,Seed,95089.84,834704.17,4,"Speedinvest, Development Bank, Andela, 500 Startups",0
FT0054,2,2024-05-12,Series A,216334.95,1812144.82,4,"TLcom Capital, Sequoia Capital, 500 Startups, CRE Venture Capital",10
FT0054,3,2025-06-19,Series B,680438.08,6066575.38,4,"Partech Partners, Global Founders Capital, Accel Partners, 500 Startups",9
FT0054,4,2024-05-21,Series C,1975745.21,6418254.9,1,Government Fund,10
FT0055,1,2025-03-17,Seed,52427.7,230872.2,3,"Sequoia Capital, 500 Startups, Andela",0
FT0056,1,2021-03-12,Seed,106943.97,562236.3,4,"4DX Ventures, Global Founders Capital, Novastar Ventures, Y Combinator",0
FT0056,2,2025-03-28,Series A,650308.96,2676815.19,3,"Global Founders Capital, TLcom Capital, 4DX Ventures",7
FT0056,3,2023-09-20,Series B,1834117.15,8685056.07,2,"Andreessen Horowitz, Accel Partners",11
FT0056,4,2022-08-10,Series C,1235555.17,12118812.15,4,"500 Startups, Andreessen Horowitz, 4DX Ventures, TLcom Capital",14
FT0057,1,2024-10-04,Seed,26203.47,173503.72,4,"TLcom Capital, Global Founders Capital, TLcom Capital, Accel Partners",0
FT0057,2,2024-04-11,Series A,199242.5,1728297.0,4,"Andreessen Horowitz, Andela, TLcom Capital, Novastar Ventures",15
FT0057,3,2025-01-23,Series B,420513.14,2469311.73,3,"Andreessen Horowitz, Partech Partners, 500 Startups",6
FT0058,1,2024-10-19,Seed,81158.0,279303.85,2,"500 Startups, 4DX Ventures",0
FT0059,1,2025-03-22,Seed,24099.04,213025.92,4,"Y Combinator, Government Fund, Development Bank, 500 Startups",0
FT0059,2,2025-02-23,Series A,143189.26,1152710.66,1,Andreessen Horowitz,21
FT0060,1,2024-05-28,Seed,46142.39,237027.26,3,"500 Startups, Sequoia Capital, Y Combinator",0
FT0061,1,2023-06-14,Seed,57412.54,193055.82,4,"Development Bank, CRE Venture Capital, TLcom Capital, Corporate VC",0
FT0061,2,2025-03-01,Series A,194735.62,1159549.45,4,"Sequoia Capital, Novastar Ventures, Y Combinator, TLcom Capital",18
FT0061,3,2022-06-02,Series B,280045.42,2177432.16,2,"Development Bank, Andela",6
FT0062,1,2024-11-25,Seed,23480.48,81364.46,4,"Y Combinator, Development Bank, TLcom Capital, Corporate VC",0
FT0062,2,2024-09-10,Series A,76808.02,535684.31,4,"500 Startups, Local Angel Investors, Government Fund, Speedinvest",11
FT0062,3,2025-01-21,Series B,228642.25,1857396.9,4,"TLcom Capital, Government Fund, Corporate VC, Sequoia Capital",11
FT0062,4,2025-01-30,Series C,907869.03,3101366.51,2,"Novastar Ventures, Partech Partners",20
FT0062,5,2025-09-11,Series D,1982533.23,7514764.73,3,"Y Combinator, Government Fund, 500 Startups",6
FT0063,1,2025-08-04,Seed,17279.11,132949.63,4,"Partech Partners, Speedinvest, Y Combinator, 4DX Ventures",0
FT0064,1,2023-08-06,Seed,98023.63,678764.67,3,"TLcom Capital, CRE Venture Capital, Andela",0
FT0064,2,2025-06-15,Series A,229292.66,1764364.45,3,"TLcom Capital, Speedinvest, Corporate VC",9
FT0065,1,2025-06-03,Seed,25809.62,135349.71,1,Partech Partners,0
FT0066,1,2024-02-02,Seed,79148.15,672989.83,1,Local Angel Investors,0
FT0066,2,2022-10-04,Series A,600973.63,4214745.99,2,"Andreessen Horowitz, TLcom Capital",14
FT0066,3,2022-09-07,Series B,529405.13,1781501.53,2,"Sequoia Capital, Corporate VC",11
FT0067,1,2024-07-04,Seed,150700.1,550823.54,1,Sequoia Capital,0
FT0069,1,2018-06-24,Seed,160089.01,645032.25,3,"Speedinvest, CRE Venture Capital, Andela",0
FT0069,2,2021-04-26,Series A,677467.4,5546832.48,4,"4DX Ventures, Andreessen Horowitz, Speedinvest, Partech Partners",6
FT0069,3,2022-03-08,Series B,895936.75,4567382.36,1,Government Fund,6
FT0069,4,2019-01-03,Series C,1443170.59,14376587.24,4,"Local Angel Investors, TLcom Capital, Speedinvest, Development Bank",14
FT0070,1,2024-08-11,Seed,64536.27,562068.78,1,4DX Ventures,0
FT0070,2,2025-04-19,Series A,259109.04,894297.37,3,"Local Angel Investors, CRE Venture Capital, Development Bank",14
FT0070,3,2022-12-29,Series B,600842.95,5286205.05,1,Government Fund,7
FT0070,4,2017-12-04,Series C,3051469.08,12245943.74,2,"Development Bank, 500 Startups",17
FT0070,5,2022-06-16,Series D,6595195.92,45634678.64,1,Local Angel Investors,6
FT0071,1,2025-02-03,Seed,60395.13,514254.4,1,Government Fund,0
FT0071,2,2023-05-26,Series A,254276.28,2293256.79,3,"Andreessen Horowitz, Local Angel Investors, Novastar Ventures",7
FT0071,3,2024-03-28,Series B,379294.69,2808218.99,2,"Corporate VC, Local Angel Investors",8
FT0072,1,2024-10-18,Seed,76869.78,253699.94,3,"Global Founders Capital, Speedinvest, Development Bank",0
FT0072,2,2023-06-28,Series A,385193.14,1867713.99,4,"Government Fund, Corporate VC, Speedinvest, CRE Venture Capital",19
FT0072,3,2024-04-23,Series B,404995.76,2779817.74,1,Local Angel Investors,18
FT0072,4,2025-08-08,Series C,1961408.36,8940283.4,2,"Partech Partners, Y Combinator",22
FT0073,1,2022-03-12,Seed,101410.1,896668.48,4,"Speedinvest, Global Founders Capital, 500 Startups, Novastar Ventures",0
FT0074,1,2023-11-23,Seed,132729.87,572423.62,2,"Development Bank, Partech Partners",0
FT0074,2,2025-01-12,Series A,411569.96,2443846.64,2,"CRE Venture Capital, Development Bank",7
FT0074,3,2022-11-13,Series B,1832482.89,11644872.84,1,Speedinvest,7
FT0074,4,2024-10-20,Series C,2344392.58,14713977.17,3,"Sequoia Capital, CRE Venture Capital, TLcom Capital",13
FT0075,1,2022-12-13,Seed,423725.17,3199656.62,4,"Partech Partners, Andreessen Horowitz, Government Fund, Novastar Ventures",0
FT0075,2,2020-08-01,Series A,984104.34,4586097.23,1,Development Bank,10
FT0075,3,2021-09-20,Series B,1999640.55,10297838.62,4,"Local Angel Investors, Andreessen Horowitz, TLcom Capital, 4DX Ventures",11
FT0077,1,2019-11-11,Seed,151829.61,847154.66,1,Andreessen Horowitz,0
FT0077,2,2021-12-03,Series A,418299.63,2450963.82,4,"Sequoia Capital, Andela, Development Bank, Speedinvest",22
FT0077,3,2024-02-15,Series B,946923.89,4220070.95,3,"Andela, Accel Partners, Y Combinator",7
FT0078,1,2025-07-29,Seed,77673.22,673495.67,4,"Sequoia Capital, Andreessen Horowitz, Speedinvest, Corporate VC",0
FT0079,1,2024-01-04,Seed,27270.78,230440.08,1,Speedinvest,0
FT0079,2,2024-08-02,Series A,179940.08,862592.31,3,"Global Founders Capital, Andreessen Horowitz, Corporate VC",18
FT0079,3,2022-12-18,Series B,944909.16,7378953.3,2,"Andela, Sequoia Capital",8
FT0080,1,2023-08-13,Seed,69211.78,532575.69,1,500 Startups,0
FT0080,2,2022-10-23,Series A,415413.57,3016195.97,1,Sequoia Capital,18
FT0080,3,2021-01-15,Series B,1912542.25,15320446.23,1,Novastar Ventures,19
FT0080,4,2023-05-27,Series C,2943267.28,21927846.96,4,"Local Angel Investors, CRE Venture Capital, Andela, Development Bank",20
FT0080,5,2023-04-12,Series D,4841715.93,48045677.16,3,"Sequoia Capital, Andela, Partech Partners",20
FT0081,1,2022-07-07,Seed,73661.94,487567.65,4,"Andreessen Horowitz, CRE Venture Capital, Local Angel Investors, Partech Partners",0
FT0081,2,2024-07-17,Series A,388441.27,2703032.56,2,"TLcom Capital, Global Founders Capital",9
FT0083,1,2025-08-27,Seed,62521.42,451590.73,2,"Sequoia Capital, 500 Startups",0
FT0083,2,2025-05-06,Series A,385480.58,3387926.42,4,"TLcom Capital, Local Angel Investors, 500 Startups, Novastar Ventures",19
FT0083,3,2023-08-30,Series B,1696920.16,7033666.58,3,"Sequoia Capital, Global Founders Capital, Andreessen Horowitz",22
FT0083,4,2025-07-30,Series C,3563515.28,11953873.6,4,"Global Founders Capital, Partech Partners, Corporate VC, Andela",8
FT0084,1,2025-03-25,Seed,50941.76,458420.69,4,"Development Bank, TLcom Capital, Accel Partners, 4DX Ventures",0
FT0084,2,2022-07-16,Series A,390149.22,3367653.83,4,"Partech Partners, TLcom Capital, Andela, 4DX Ventures",22
FT0085,1,2025-05-17,Seed,75617.44,736476.48,4,"TLcom Capital, Andela, CRE Venture Capital, 4DX Ventures",0
FT0085,2,2025-03-10,Series A,251100.3,2308619.24,4,"CRE Venture Capital, Corporate VC, 4DX Ventures, Y Combinator",17
FT0087,1,2024-12-01,Seed,28784.74,161903.63,4,"TLcom Capital, Local Angel Investors, Global Founders Capital, Sequoia Capital",0
FT0088,1,2025-07-14,Seed,162574.16,1101700.99,3,"Accel Partners, Novastar Ventures, 4DX Ventures",0
FT0088,2,2024-01-06,Series A,417999.7,3029341.57,1,Novastar Ventures,23
FT0089,1,2025-07-03,Seed,38757.06,181936.49,2,"Y Combinator, 4DX Ventures",0
FT0089,2,2025-06-29,Series A,370123.49,2255604.08,3,"Andela, Y Combinator, Sequoia Capital",18
FT0089,3,2025-08-09,Series B,367872.12,2648240.48,4,"Sequoia Capital, TLcom Capital, Partech Partners, Y Combinator",13
FT0090,1,2024-03-26,Seed,155459.53,976481.33,1,Speedinvest,0
FT0090,2,2023-01-16,Series A,616363.48,5325473.39,4,"4DX Ventures, Y Combinator, Development Bank, Sequoia Capital",13
FT0090,3,2024-10-08,Series B,1060999.05,10018271.37,3,"TLcom Capital, Accel Partners, Andreessen Horowitz",14
FT0091,1,2024-12-05,Seed,17614.63,116648.64,1,Accel Partners,0
FT0091,2,2024-06-10,Series A,140107.05,845321.06,1,Partech Partners,7
FT0092,1,2024-04-25,Seed,67464.33,499079.73,4,"Government Fund, 500 Startups, Andela, Andreessen Horowitz",0
FT0092,2,2025-07-22,Series A,272773.14,2160147.94,3,"Andreessen Horowitz, Corporate VC, 4DX Ventures",18
FT0092,3,2023-06-08,Series B,744294.89,5032489.7,4,"Andreessen Horowitz, Accel Partners, Local Angel Investors, Government Fund",7
FT0092,4,2023-07-08,Series C,777346.09,3021476.56,1,CRE Venture Capital,19
FT0093,1,2017-12-04,Seed,80495.9,742541.53,2,"Andreessen Horowitz, Novastar Ventures",0
FT0093,2,2022-03-26,Series A,439598.5,1718691.37,4,"Government Fund, Global Founders Capital, Corporate VC, Speedinvest",13
FT0093,3,2025-07-03,Series B,1059014.14,8693867.16,4,"Andreessen Horowitz, Global Founders Capital, 500 Startups, Development Bank",9
FT0093,4,2021-10-26,Series C,1644156.18,11241936.58,1,Speedinvest,19
FT0093,5,2021-05-14,Series D,2529405.95,11787768.37,1,Partech Partners,22
FT0093,6,2023-06-20,Bridge,18511730.0,159911207.39,3,"Global Founders Capital, Local Angel Investors, Speedinvest",16
FT0094,1,2024-12-02,Seed,275701.07,964058.39,2,"Local Angel Investors, Sequoia Capital",0
FT0094,2,2022-07-28,Series A,1191113.33,10617858.75,4,"500 Startups, Andela, Corporate VC, Andreessen Horowitz",17
FT0094,3,2024-05-09,Series B,3716464.65,16117498.05,1,500 Startups,8
FT0095,1,2023-10-08,Seed,118352.55,1128690.27,3,"Novastar Ventures, Corporate VC, TLcom Capital",0
FT0095,2,2023-02-27,Series A,506696.36,4422381.47,4,"Accel Partners, Global Founders Capital, 500 Startups, CRE Venture Capital",13
FT0096,1,2024-08-06,Seed,83493.68,387289.89,2,"Global Founders Capital, Andela",0
FT0097,1,2023-06-18,Seed,50115.72,479551.84,1,Government Fund,0
FT0098,1,2024-05-15,Seed,57525.33,271214.76,3,"TLcom Capital, Partech Partners, Speedinvest",0
