company_id,company_name,country,fintech_type,age_years,company_size,employees,regulatory_status,funding_stage,gdp_per_capita,mobile_penetration,fintech_maturity
FT0093,Equitel,Kenya,Insurance Tech,9.4,Medium,646,Unlicensed,Series A,1808,0.91,high
FT0094,Orange Money,Senegal,Payment Gateway,5.8,Large,264,Unlicensed,Series A,1444,0.88,medium
FT0095,Mukuru,Zambia,Insurance Tech,3.7,Medium,91,Licensed,Seed,1209,0.79,low
FT0096,Mukuru,South Africa,Investment Platform,2.7,Small,164,Unlicensed,Seed,6994,0.95,high
FT0097,Equity Bank,Uganda,Remittance,2.7,Small,198,Licensed,Bootstrap,884,0.78,medium
FT0098,Cowrywise,Nigeria,Lending Platform,5.7,Medium,196,Pending,Series B,2028,0.89,high
FT0099,Carbon,Nigeria,Insurance Tech,5.3,Large,964,Licensed,Series A,2028,0.89,high
FT0100,Zeepay,Ghana,Investment Platform,5.8,Medium,146,Licensed,Series B,2202,0.87,medium
FT0101,Luno,South Africa,Payment Gateway,1.9,Startup,15,Suspended,Seed,6994,0.95,high
FT0102,Tigo Pesa,Tanzania,Remittance,1.5,Startup,22,Pending,Bootstrap,1098,0.82,medium
FT0103,Zeepay,Ghana,Remittance,1.1,Startup,32,Licensed,Bootstrap,2202,0.87,medium
FT0104,Mukuru,South Africa,Investment Platform,8.8,Medium,913,Licensed,Bootstrap,6994,0.95,high
FT0105,MTN Mobile Money,Ghana,Insurance Tech,2.1,Small,162,Licensed,Bootstrap,2202,0.87,medium
FT0106,Amole,Ethiopia,Digital Banking,3.8,Small,44,Unlicensed,Series C,925,0.45,low
FT0107,BK Mobile,Rwanda,Digital Banking,2.8,Small,127,Unlicensed,Seed,822,0.85,medium
FT0108,Amole,Ethiopia,Crypto Exchange,8.4,Medium,162,Licensed,Seed,925,0.45,low
FT0109,M-Pesa Solutions,Kenya,Investment Platform,2.8,Small,105,Licensed,Acquired,1808,0.91,high
FT0110,Flutterwave,Nigeria,Crypto Exchange,2.5,Small,81,Licensed,Bootstrap,2028,0.89,high
FT0111,Free Money Technologies,Senegal,Payment Gateway,2.8,Small,132,Licensed,Series A,1444,0.88,medium
FT0112,Hubtel Technologies,Ghana,Mobile Money,2.4,Small,129,Licensed,Series B,2202,0.87,medium
FT0113,Equity Bank,Rwanda,Lending Platform,4.2,Small,86,Licensed,Series A,822,0.85,medium
FT0114,Orange Money,Senegal,Insurance Tech,1.6,Startup,12,Licensed,Seed,1444,0.88,medium
FT0115,Wari,Senegal,Insurance Tech,9.7,Medium,834,Licensed,Bootstrap,1444,0.88,medium
FT0116,MTN Mobile Money Technologies,Zambia,Crypto Exchange,1.4,Small,33,Licensed,Series B,1209,0.79,low
FT0117,Equity Bank Inc,Uganda,Lending Platform,2.4,Small,39,Pending,Seed,884,0.78,medium
FT0118,M-Birr Solutions,Ethiopia,Digital Banking,12.0,Large,692,Unlicensed,Seed,925,0.45,low
FT0119,Equity Bank,Rwanda,Remittance,1.1,Startup,44,Pending,Seed,822,0.85,medium
FT0120,Kifiya,Ethiopia,Insurance Tech,13.5,Medium,208,Pending,Series A,925,0.45,low
FT0121,NMB Mobile,Tanzania,Digital Banking,3.1,Small,184,Pending,Series B,1098,0.82,medium
FT0122,Airtel Money Technologies,Rwanda,Investment Platform,7.9,Large,267,Licensed,Series A,822,0.85,medium
FT0123,Airtel Money,Uganda,Crypto Exchange,2.6,Small,141,Licensed,Seed,884,0.78,medium
FT0124,M-Pesa Solutions,Tanzania,Payment Gateway,5.4,Medium,878,Licensed,Seed,1098,0.82,medium
FT0125,Bamboo,Nigeria,Payment Gateway,9.9,Medium,763,Unlicensed,Series A,2028,0.89,high
FT0126,Carbon,Nigeria,Digital Banking,1.5,Small,21,Licensed,Series A,2028,0.89,high
FT0127,Tala,Kenya,Mobile Money,2.3,Small,148,Licensed,Series A,1808,0.91,high
FT0128,Zoona Inc,Zambia,Mobile Money,5.8,Medium,577,Licensed,Bootstrap,1209,0.79,low
FT0129,Equity Bank,Uganda,Lending Platform,1.4,Small,16,Licensed,Series B,884,0.78,medium
FT0130,Orange Money,Senegal,Crypto Exchange,4.9,Medium,44,Unlicensed,Series A,1444,0.88,medium
FT0131,MTN Mobile Money,Zambia,Mobile Money,1.1,Startup,21,Licensed,Series A,1209,0.79,low
FT0132,Airtel Money Ltd,Zambia,Crypto Exchange,1.6,Startup,27,Pending,Series A,1209,0.79,low
FT0133,ExpressPay,Ghana,Crypto Exchange,6.3,Medium,258,Licensed,Series A,2202,0.87,medium
FT0134,Equitel,Kenya,Payment Gateway,2.7,Small,58,Licensed,Series A,1808,0.91,high
FT0135,NMB Mobile,Tanzania,Mobile Money,7.5,Medium,993,Licensed,Seed,1098,0.82,medium
FT0136,Branch,Kenya,Insurance Tech,3.3,Medium,142,Suspended,Seed,1808,0.91,high
FT0137,Cowrywise,Nigeria,Investment Platform,4.0,Medium,140,Pending,Seed,2028,0.89,high
FT0138,MTN Mobile Money,Rwanda,Lending Platform,1.0,Startup,34,Unlicensed,Series A,822,0.85,medium
FT0139,MTN Mobile Money,Uganda,Mobile Money,1.1,Startup,28,Licensed,IPO,884,0.78,medium
FT0140,Stanbic Bank Group,Uganda,Investment Platform,13.1,Large,443,Licensed,Series A,884,0.78,medium
FT0141,Amole Solutions,Ethiopia,Crypto Exchange,6.5,Medium,342,Licensed,Seed,925,0.45,low
FT0142,Tala Inc,Kenya,Mobile Money,5.5,Medium,872,Pending,Seed,1808,0.91,high
FT0143,Amole,Ethiopia,Payment Gateway,1.6,Startup,22,Pending,Bootstrap,925,0.45,low
FT0144,EasyEquities Ltd,South Africa,Insurance Tech,3.7,Small,117,Licensed,Seed,6994,0.95,high
FT0145,M-Birr,Ethiopia,Payment Gateway,1.1,Startup,29,Licensed,Bootstrap,925,0.45,low
FT0146,Wari Technologies,Senegal,Lending Platform,4.9,Small,56,Licensed,Series A,1444,0.88,medium
FT0147,MTN Mobile Money Digital,Uganda,Investment Platform,3.0,Small,86,Licensed,Series A,884,0.78,medium
FT0148,Kuda,Nigeria,Insurance Tech,1.8,Startup,45,Licensed,Seed,2028,0.89,high
FT0149,Centenary Bank,Uganda,Digital Banking,5.2,Medium,846,Suspended,Seed,884,0.78,medium
FT0150,Airtel Money,Rwanda,Digital Banking,1.8,Small,22,Unlicensed,Series B,822,0.85,medium
FT0151,Equity Bank Technologies,Rwanda,Digital Banking,12.9,Medium,322,Licensed,Bootstrap,822,0.85,medium
FT0152,Mukuru Inc,South Africa,Remittance,2.7,Medium,175,Pending,Series C,6994,0.95,high
FT0153,HaloPesa,Tanzania,Lending Platform,1.2,Startup,21,Pending,Series A,1098,0.82,medium
FT0154,Tigo Pesa Inc,Tanzania,Mobile Money,7.2,Large,384,Licensed,Series A,1098,0.82,medium
FT0155,Zeepay Technologies,Ghana,Investment Platform,6.2,Medium,558,Pending,Seed,2202,0.87,medium
FT0156,KCB M-Pesa,Kenya,Investment Platform,2.8,Small,138,Unlicensed,Seed,1808,0.91,high
FT0157,M-Shwari Technologies,Kenya,Crypto Exchange,2.0,Small,48,Licensed,Series A,1808,0.91,high
FT0158,Centenary Bank,Uganda,Payment Gateway,2.0,Small,5,Licensed,Series A,884,0.78,medium
FT0159,Branch Ltd,Kenya,Investment Platform,4.8,Small,46,Suspended,Bootstrap,1808,0.91,high
FT0160,PiggyVest Technologies,Nigeria,Investment Platform,6.6,Large,486,Pending,Seed,2028,0.89,high
FT0161,Free Money,Senegal,Lending Platform,5.8,Medium,305,Licensed,Series A,1444,0.88,medium
FT0162,MTN Mobile Money Ltd,Ghana,Lending Platform,1.5,Startup,6,Pending,Seed,2202,0.87,medium
FT0163,PiggyVest Inc,Nigeria,Remittance,3.0,Medium,51,Pending,Series B,2028,0.89,high
FT0164,Airtel Money,Tanzania,Mobile Money,1.3,Startup,36,Licensed,Seed,1098,0.82,medium
FT0165,AirtelTigo Money,Ghana,Mobile Money,9.5,Medium,324,Licensed,Seed,2202,0.87,medium
FT0166,Carbon,Nigeria,Investment Platform,2.2,Medium,109,Pending,Series B,2028,0.89,high
FT0167,Kopo Kopo,Kenya,Digital Banking,10.1,Medium,734,Licensed,Series C,1808,0.91,high
FT0168,Equity Bank Solutions,Rwanda,Crypto Exchange,7.1,Large,417,Pending,Series A,822,0.85,medium
FT0169,Equity Bank,Rwanda,Payment Gateway,3.7,Medium,146,Pending,Series A,822,0.85,medium
FT0170,Zoona,Zambia,Insurance Tech,3.7,Medium,44,Unlicensed,Seed,1209,0.79,low
FT0171,Equity Bank,Rwanda,Insurance Tech,7.2,Medium,387,Licensed,Series A,822,0.85,medium
FT0172,M-Shwari,Kenya,Payment Gateway,3.3,Small,175,Licensed,Series A,1808,0.91,high
FT0173,M-Pesa,Tanzania,Crypto Exchange,1.6,Small,28,Licensed,Seed,1098,0.82,medium
FT0174,AirtelTigo Money,Ghana,Lending Platform,3.6,Small,136,Licensed,Series A,2202,0.87,medium
FT0175,M-Shwari,Kenya,Lending Platform,15.0,Medium,736,Licensed,Series A,1808,0.91,high
FT0176,Wari Inc,Senegal,Investment Platform,4.8,Medium,106,Pending,Seed,1444,0.88,medium
FT0177,Equitel,Kenya,Crypto Exchange,3.0,Small,79,Licensed,Series A,1808,0.91,high
FT0178,Equity Bank,Rwanda,Mobile Money,1.5,Startup,32,Licensed,Series A,822,0.85,medium
FT0179,Carbon Digital,Nigeria,Remittance,1.8,Startup,14,Licensed,Bootstrap,2028,0.89,high
FT0180,Airtel Money,Zambia,Investment Platform,1.5,Startup,12,Pending,Series A,1209,0.79,low
FT0181,HaloPesa Digital,Tanzania,Lending Platform,2.3,Small,68,Unlicensed,Series B,1098,0.82,medium
FT0182,Airtel Money Inc,Tanzania,Lending Platform,14.0,Medium,392,Unlicensed,Bootstrap,1098,0.82,medium
FT0183,Airtel Money Technologies,Rwanda,Payment Gateway,2.1,Small,31,Licensed,Acquired,822,0.85,medium
FT0184,Wari Ltd,Senegal,Payment Gateway,4.1,Medium,190,Licensed,Series A,1444,0.88,medium
FT0185,Slydepay,Ghana,Crypto Exchange,4.7,Small,138,Licensed,Bootstrap,2202,0.87,medium
FT0186,MTN Mobile Money,Rwanda,Remittance,7.1,Medium,901,Pending,IPO,822,0.85,medium
FT0187,Airtel Money Inc,Zambia,Insurance Tech,7.1,Medium,687,Licensed,Series B,1209,0.79,low
FT0188,MTN Mobile Money Group,Ghana,Mobile Money,2.5,Medium,109,Licensed,Bootstrap,2202,0.87,medium
FT0189,M-Pesa,Tanzania,Crypto Exchange,15.0,Large,856,Licensed,Series A,1098,0.82,medium
FT0190,Hubtel,Ghana,Digital Banking,8.8,Medium,581,Pending,Series B,2202,0.87,medium
FT0191,JUMO,South Africa,Investment Platform,2.1,Medium,162,Pending,Series A,6994,0.95,high
FT0192,Centenary Bank,Uganda,Payment Gateway,3.7,Small,54,Licensed,Bootstrap,884,0.78,medium
FT0193,Mukuru,South Africa,Remittance,5.3,Medium,184,Unlicensed,Series A,6994,0.95,high
FT0194,NMB Mobile,Tanzania,Lending Platform,1.3,Startup,41,Licensed,Seed,1098,0.82,medium
FT0195,Airtel Money,Rwanda,Insurance Tech,10.3,Medium,506,Licensed,Series B,822,0.85,medium
FT0196,MTN Mobile Money,Uganda,Lending Platform,2.4,Small,160,Licensed,Bootstrap,884,0.78,medium
FT0197,Hubtel Technologies,Ghana,Remittance,9.0,Medium,747,Licensed,Series A,2202,0.87,medium
FT0198,M-Pesa,Kenya,Digital Banking,6.2,Medium,362,Pending,Bootstrap,1808,0.91,high
FT0199,Equity Bank,Rwanda,Crypto Exchange,1.6,Small,24,Licensed,Series B,822,0.85,medium
FT0200,PiggyVest,Nigeria,Lending Platform,10.1,Medium,217,Licensed,Series A,2028,0.89,high
