company_id,quarter,quarter_date,active_users,user_growth_rate,churn_rate,total_transactions,transaction_volume_usd,avg_transaction_value_usd,customer_acquisition_cost_usd,agents_count
FT0010,Q4,2025-01-14,25072,0.1221,0.0663,199437,44470878.25,222.98,13.04,0
FT0010,Q5,2024-10-16,22696,0.123,0.054,175371,84017382.37,479.08,14.88,0
FT0010,Q6,2024-07-18,19699,0.1176,0.0606,119147,45468906.02,381.62,8.45,0
FT0010,Q7,2024-04-19,9382,-0.0835,0.0798,105467,47217644.64,447.7,42.14,0
FT0010,Q8,2024-01-20,16210,0.1369,0.0689,277789,130019556.78,468.05,33.97,0
FT0011,Q1,2025-10-11,45500,-0.0196,0.0576,884641,353552196.2,399.66,26.03,138
FT0011,Q2,2025-07-13,321822,0.283,0.0467,4292652,1449025137.76,337.56,5.8,1016
FT0011,Q3,2025-04-14,38574,-0.0174,0.0404,201783,8354108.37,41.4,39.45,129
FT0011,Q4,2025-01-14,89270,0.1314,0.0728,610308,124898704.88,204.65,20.64,231
FT0011,Q5,2024-10-16,83074,0.1394,0.0561,1341117,337396769.35,251.58,47.64,342
FT0011,Q6,2024-07-18,56006,0.0622,0.035,614929,191824964.17,311.95,49.51,196
FT0011,Q7,2024-04-19,44286,0.0164,0.0743,389189,68857941.87,176.93,45.79,141
FT0011,Q8,2024-01-20,52252,0.0859,0.0283,783669,149553446.95,190.84,12.84,155
FT0012,Q1,2025-10-11,2850,-0.054,0.0616,29919,13261943.88,443.26,22.23,0
FT0012,Q2,2025-07-13,10396,0.18,0.0351,185453,56759872.24,306.06,19.61,0
FT0012,Q3,2025-04-14,1270,-0.1011,0.0536,21347,2602634.59,121.92,18.3,0
FT0012,Q4,2025-01-14,1247,-0.1179,0.0623,15651,4092356.39,261.48,13.08,0
FT0012,Q5,2024-10-16,2385,-0.0295,0.0268,35229,9789186.33,277.87,7.25,0
FT0012,Q6,2024-07-18,4232,0.11,0.0242,70103,28273436.5,403.31,16.04,0
FT0012,Q7,2024-04-19,2271,-0.0531,0.058,7808,3379387.11,432.81,40.01,0
FT0012,Q8,2024-01-20,4340,0.2591,0.0496,59769,17119168.62,286.42,46.52,0
FT0013,Q1,2025-10-11,3160,0.1297,0.0228,52549,23161707.95,440.76,34.92,0
FT0013,Q2,2025-07-13,13096,0.1996,0.0403,162929,7258067.93,44.55,37.39,0
FT0013,Q3,2025-04-14,5055,0.0748,0.0372,59218,22768117.0,384.48,10.81,0
FT0013,Q4,2025-01-14,2565,-0.0253,0.0516,13461,2744846.82,203.91,42.87,0
FT0013,Q5,2024-10-16,3360,0.0238,0.0558,49166,2584303.85,52.56,7.37,0
FT0013,Q6,2024-07-18,3586,0.0381,0.0236,65045,10381812.32,159.61,33.86,0
FT0013,Q7,2024-04-19,2916,-0.0025,0.07,17016,238082.11,13.99,32.72,0
FT0013,Q8,2024-01-20,3604,0.0895,0.0425,9178,4517914.21,492.25,49.94,0
FT0014,Q1,2025-10-11,2610,0.1477,0.0236,48660,7003689.74,143.93,20.94,0
FT0014,Q2,2025-07-13,15361,0.2556,0.0597,103460,51704467.28,499.75,30.92,0
FT0014,Q3,2025-04-14,1949,-0.0366,0.0289,17441,4074058.48,233.59,37.14,0
FT0014,Q4,2025-01-14,4540,0.1007,0.0242,10247,4983747.78,486.36,32.06,0
FT0014,Q5,2024-10-16,1877,-0.0579,0.0291,33751,13446802.37,398.41,17.74,0
FT0014,Q6,2024-07-18,3254,0.0685,0.0463,10759,1979091.91,183.95,35.29,0
FT0014,Q7,2024-04-19,2372,-0.0041,0.0794,33005,1556755.52,47.17,25.17,0
FT0014,Q8,2024-01-20,3253,0.1402,0.0468,21657,5073073.24,234.25,37.2,0
FT0015,Q1,2025-10-11,17400,-0.0467,0.0701,261899,43279863.21,165.25,10.44,0
FT0015,Q2,2025-07-13,51283,0.1485,0.0301,650767,107207268.25,164.74,34.05,0
FT0015,Q3,2025-04-14,14177,-0.0227,0.0424,199583,69354310.7,347.5,12.21,0
FT0015,Q4,2025-01-14,20622,0.0322,0.0205,80728,30592763.0,378.96,8.71,0
FT0015,Q5,2024-10-16,57352,0.277,0.0378,289513,103676953.55,358.11,42.44,0
FT0015,Q6,2024-07-18,20476,0.0554,0.0543,118268,35019866.0,296.11,8.33,0
FT0015,Q7,2024-04-19,35584,0.2779,0.0257,699141,332624645.3,475.76,29.55,0
FT0015,Q8,2024-01-20,15412,-0.0195,0.077,37877,3709225.16,97.93,6.77,0
FT0016,Q1,2025-10-11,112,-0.0156,0.0775,838,66660.62,79.55,42.01,0
FT0016,Q2,2025-07-13,177,0.0631,0.0331,2400,309730.91,129.05,17.42,0
FT0016,Q3,2025-04-14,100,-0.0206,0.0494,1698,820794.42,483.39,17.81,0
FT0016,Q4,2025-01-14,100,-0.0311,0.0418,1962,466192.79,237.61,12.76,0
FT0016,Q5,2024-10-16,242,0.1833,0.0778,1479,127609.38,86.28,15.16,0
FT0016,Q6,2024-07-18,100,-0.0328,0.0213,1407,430565.44,306.02,32.11,0
FT0016,Q7,2024-04-19,100,-0.0179,0.0672,279,24580.24,88.1,22.73,0
FT0016,Q8,2024-01-20,100,-0.0438,0.045,1688,389834.48,230.94,9.41,0
FT0017,Q1,2025-10-11,790,-0.0505,0.0386,5113,2387495.57,466.95,33.91,0
FT0017,Q2,2025-07-13,2808,0.1764,0.0365,45369,11727909.3,258.5,44.68,0
FT0017,Q3,2025-04-14,1295,0.0783,0.0349,19152,6396851.46,334.0,5.48,0
FT0017,Q4,2025-01-14,1913,0.1668,0.0464,20693,8757244.51,423.2,19.01,0
FT0017,Q5,2024-10-16,1309,0.1147,0.0411,6336,2277020.59,359.38,16.35,0
FT0017,Q6,2024-07-18,619,-0.0514,0.0294,5763,2748524.85,476.93,20.17,0
FT0017,Q7,2024-04-19,702,-0.0212,0.0506,11106,2587226.72,232.96,34.69,0
FT0017,Q8,2024-01-20,811,0.037,0.0468,12236,1469344.68,120.08,36.85,0
FT0018,Q1,2025-10-11,870,0.1979,0.0337,7350,1839034.44,250.21,42.25,0
FT0018,Q2,2025-07-13,1361,0.0603,0.0214,6462,836718.74,129.48,43.66,0
FT0018,Q3,2025-04-14,188,-0.1895,0.047,3259,1584666.03,486.24,36.79,0
FT0018,Q4,2025-01-14,691,-0.0311,0.0374,12857,1169148.33,90.93,24.04,0
FT0018,Q5,2024-10-16,919,0.0266,0.0751,11150,2226242.27,199.66,41.13,0
FT0018,Q6,2024-07-18,476,-0.1281,0.0456,9482,1179897.25,124.44,48.05,0
FT0018,Q7,2024-04-19,1110,0.0975,0.0377,7729,3536576.61,457.57,41.04,0
FT0018,Q8,2024-01-20,1049,0.1366,0.0751,17272,5276110.34,305.47,40.63,0
FT0019,Q1,2025-10-11,6560,0.1074,0.0256,32276,8354531.9,258.85,23.74,0
FT0019,Q2,2025-07-13,3867,-0.0549,0.07,29869,14746690.94,493.71,28.94,0
FT0019,Q3,2025-04-14,13165,0.1117,0.0487,244773,86297668.38,352.56,21.8,0
FT0019,Q4,2025-01-14,8243,0.0515,0.0741,154576,71035949.35,459.55,17.17,0
FT0019,Q5,2024-10-16,12686,0.1494,0.0415,52332,15915416.44,304.12,7.53,0
FT0019,Q6,2024-07-18,6877,0.0232,0.0447,62367,18315260.82,293.67,31.0,0
FT0019,Q7,2024-04-19,12150,0.2481,0.059,117249,25546258.38,217.88,11.34,0
FT0019,Q8,2024-01-20,7100,0.0661,0.0508,75100,22358604.74,297.72,19.66,0
FT0020,Q1,2025-10-11,850,0.0138,0.0749,16423,330353.33,20.12,25.81,0
FT0020,Q2,2025-07-13,1387,0.0689,0.0448,3026,410499.8,135.66,17.37,0
FT0020,Q3,2025-04-14,1414,0.0812,0.0391,8099,3125548.84,385.92,45.51,0
FT0020,Q4,2025-01-14,686,-0.0262,0.0514,6326,418199.44,66.11,14.3,0
FT0020,Q5,2024-10-16,1037,0.053,0.0603,11453,5230504.02,456.69,48.46,0
FT0020,Q6,2024-07-18,527,-0.0927,0.0765,5800,2516507.71,433.88,11.34,0
FT0020,Q7,2024-04-19,1122,0.1123,0.0453,11918,976475.11,81.93,5.78,0
FT0020,Q8,2024-01-20,686,-0.069,0.064,9140,420941.19,46.05,40.69,0
FT0021,Q1,2025-10-11,410,0.0556,0.0667,2022,278450.41,137.71,20.16,0
FT0021,Q2,2025-07-13,234,-0.0607,0.0533,1021,298016.63,291.89,25.59,0
FT0021,Q3,2025-04-14,887,0.1223,0.0388,8625,3630825.0,420.97,37.7,0
FT0021,Q4,2025-01-14,391,0.001,0.0506,3569,1123384.46,314.76,39.57,0
FT0021,Q5,2024-10-16,253,-0.0811,0.0511,3517,1468677.46,417.59,20.71,0
FT0021,Q6,2024-07-18,171,-0.1806,0.0602,3211,1042897.55,324.79,42.86,0
FT0021,Q7,2024-04-19,292,-0.084,0.0668,5765,1682527.15,291.85,16.14,0
FT0021,Q8,2024-01-20,553,0.1746,0.0248,7487,331277.2,44.25,47.27,0
FT0022,Q1,2025-10-11,7900,0.176,0.0413,22157,9129642.46,412.04,38.99,0
FT0022,Q2,2025-07-13,21094,0.1352,0.036,354545,86385069.95,243.65,17.21,0
FT0022,Q3,2025-04-14,15281,0.1064,0.052,101189,26517376.41,262.06,6.57,0
FT0022,Q4,2025-01-14,5607,-0.048,0.0446,102652,6386406.46,62.21,6.86,0
FT0022,Q5,2024-10-16,7237,-0.0122,0.0257,98779,32878063.34,332.84,6.49,0
FT0022,Q6,2024-07-18,9081,0.0405,0.0201,142887,6947288.52,48.62,31.31,0
FT0022,Q7,2024-04-19,8562,0.0486,0.0627,161086,70199053.13,435.79,19.73,0
FT0022,Q8,2024-01-20,7581,-0.0062,0.0281,121086,15268181.9,126.09,48.72,0
FT0023,Q1,2025-10-11,22500,-0.1399,0.0458,148877,23724806.6,159.36,31.72,211
FT0023,Q2,2025-07-13,24888,0.0172,0.0356,64141,21428046.85,334.08,8.74,114
FT0023,Q3,2025-04-14,38427,0.0825,0.0213,266856,68272246.95,255.84,34.19,98
FT0023,Q4,2025-01-14,36527,0.0964,0.0718,726897,176602501.89,242.95,49.1,80
FT0023,Q5,2024-10-16,10128,-0.139,0.0419,65686,1047108.9,15.94,37.35,29
FT0023,Q6,2024-07-18,42094,0.1887,0.075,201842,6965751.26,34.51,40.52,172
FT0023,Q7,2024-04-19,21386,0.0069,0.0694,346885,119153574.01,343.5,41.68,159
FT0023,Q8,2024-01-20,30097,0.1856,0.0574,83736,1115775.58,13.32,45.68,96
FT0024,Q1,2025-10-11,21750,0.1219,0.077,232716,101460195.51,435.98,20.12,0
FT0024,Q2,2025-07-13,45424,0.1001,0.0293,390504,80505338.7,206.16,30.18,0
FT0024,Q3,2025-04-14,50490,0.1337,0.0401,362834,9762737.97,26.91,39.58,0
FT0024,Q4,2025-01-14,57965,0.1829,0.0323,720862,258769428.78,358.97,12.73,0
FT0024,Q5,2024-10-16,26227,0.0473,0.0451,399168,156272789.21,391.5,30.86,0
FT0024,Q6,2024-07-18,11898,-0.1221,0.0693,230351,65813140.77,285.71,14.78,0
FT0024,Q7,2024-04-19,18723,-0.0363,0.0367,223658,22005680.03,98.39,14.7,0
FT0024,Q8,2024-01-20,30078,0.1921,0.032,494236,244825058.05,495.36,38.67,0
FT0025,Q1,2025-10-11,950,-0.0932,0.0717,8984,3359459.51,373.94,26.31,0
FT0025,Q2,2025-07-13,1782,0.0875,0.0447,14583,6790889.8,465.67,48.36,0
FT0025,Q3,2025-04-14,1480,0.0735,0.0548,3449,659944.58,191.34,10.74,0
FT0025,Q4,2025-01-14,1801,0.1237,0.0653,8462,2039804.55,241.05,16.88,0
FT0025,Q5,2024-10-16,1047,0.0352,0.0745,12343,1965888.84,159.27,5.92,0
FT0025,Q6,2024-07-18,1326,0.1,0.0513,8244,2655405.47,322.1,31.05,0
FT0025,Q7,2024-04-19,1493,0.1854,0.0666,18252,2966976.29,162.56,49.17,0
FT0025,Q8,2024-01-20,1189,0.1566,0.0739,10648,5077030.92,476.81,40.41,0
FT0026,Q1,2025-10-11,14250,-0.0222,0.0694,79522,27178999.37,341.78,8.59,0
FT0026,Q2,2025-07-13,23008,0.0708,0.0702,83850,4080300.02,48.66,24.23,0
FT0026,Q3,2025-04-14,85526,0.3029,0.0757,715396,193034573.38,269.83,40.87,0
FT0026,Q4,2025-01-14,9424,-0.0587,0.0466,141538,23502387.52,166.05,41.07,0
FT0026,Q5,2024-10-16,23195,0.117,0.0714,197709,1995031.24,10.09,38.19,0
FT0026,Q6,2024-07-18,21391,0.1212,0.056,159737,15496131.3,97.01,20.16,0
FT0026,Q7,2024-04-19,21475,0.1724,0.0759,368807,139241342.93,377.55,26.15,0
FT0026,Q8,2024-01-20,15804,0.075,0.0434,206855,41873074.47,202.43,10.59,0
FT0027,Q1,2025-10-11,2250,0.2305,0.0463,29132,13897476.43,477.05,14.9,0
FT0027,Q2,2025-07-13,6011,0.1369,0.0488,47038,16037520.22,340.95,8.58,0
FT0027,Q3,2025-04-14,4464,0.11,0.0491,76023,34513944.01,453.99,11.63,0
FT0027,Q4,2025-01-14,3023,0.0612,0.0625,19667,4393177.24,223.38,35.91,0
FT0027,Q5,2024-10-16,1834,-0.0246,0.0749,34486,13037851.29,378.06,19.27,0
FT0027,Q6,2024-07-18,3140,0.1065,0.0764,9331,1778242.75,190.57,39.33,0
FT0027,Q7,2024-04-19,3082,0.1273,0.0494,40815,1051434.5,25.76,23.76,0
FT0027,Q8,2024-01-20,3151,0.2107,0.0536,61111,13466875.7,220.37,32.18,0
FT0028,Q1,2025-10-11,2670,0.0334,0.0221,18752,6640942.65,354.15,31.07,0
FT0028,Q2,2025-07-13,3915,0.0531,0.0321,43403,6181539.84,142.42,48.9,0
FT0028,Q3,2025-04-14,5215,0.1118,0.0776,39647,4439429.14,111.97,39.65,0
FT0028,Q4,2025-01-14,3663,0.0665,0.072,72817,19254351.58,264.42,5.52,0
FT0028,Q5,2024-10-16,4944,0.1409,0.0482,42618,2861178.76,67.14,6.15,0
FT0028,Q6,2024-07-18,1652,-0.098,0.0586,29633,13259103.49,447.44,36.48,0
FT0028,Q7,2024-04-19,4038,0.1574,0.0282,21725,3847462.21,177.1,41.95,0
FT0028,Q8,2024-01-20,1330,-0.2556,0.0749,20093,5487245.55,273.09,10.47,0
FT0029,Q1,2025-10-11,12300,0.2054,0.0472,218850,28276254.12,129.2,38.43,0
FT0029,Q2,2025-07-13,31254,0.1332,0.074,619676,254697554.71,411.02,13.65,0
FT0029,Q3,2025-04-14,14202,0.0248,0.0277,190232,50665202.94,266.33,31.02,0
FT0029,Q4,2025-01-14,10896,-0.014,0.0356,25944,11812920.02,455.32,20.66,0
FT0029,Q5,2024-10-16,23162,0.1441,0.045,304007,5559013.78,18.29,7.84,0
FT0029,Q6,2024-07-18,19389,0.1272,0.0265,147844,48584917.02,328.62,20.66,0
FT0029,Q7,2024-04-19,14859,0.0917,0.0779,100730,21552985.53,213.97,18.62,0
FT0029,Q8,2024-01-20,13065,0.0489,0.0361,168845,45723301.22,270.8,27.0,0
FT0030,Q1,2025-10-11,950,-0.0849,0.049,11161,1977063.22,177.14,35.38,0
FT0030,Q2,2025-07-13,946,0.007,0.058,11370,2690371.71,236.62,17.82,0
FT0030,Q3,2025-04-14,1349,0.0565,0.0352,20840,7039487.71,337.79,46.22,0
FT0030,Q4,2025-01-14,1020,0.0253,0.0775,20227,306596.07,15.16,35.74,0
FT0030,Q5,2024-10-16,760,-0.0371,0.032,7542,472921.73,62.71,10.55,0
FT0030,Q6,2024-07-18,2192,0.245,0.0492,37033,11715625.03,316.36,35.54,0
FT0030,Q7,2024-04-19,1006,0.0319,0.0373,17726,8124993.72,458.37,21.66,0
FT0030,Q8,2024-01-20,943,0.009,0.0243,16979,7608503.59,448.11,43.46,0
FT0031,Q1,2025-10-11,950,0.0431,0.0306,10357,2526788.43,243.97,27.05,0
FT0031,Q2,2025-07-13,3215,0.1713,0.0523,27631,3764777.39,136.25,24.54,0
FT0031,Q3,2025-04-14,1143,0.0369,0.0686,10756,4471798.14,415.75,28.35,0
FT0031,Q4,2025-01-14,647,-0.0582,0.022,6010,2046236.44,340.47,25.05,0
FT0031,Q5,2024-10-16,1127,0.0391,0.0213,11907,1446349.68,121.47,24.1,0
FT0031,Q6,2024-07-18,1593,0.1564,0.0716,22970,6331620.31,275.65,26.12,0
FT0031,Q7,2024-04-19,594,-0.1295,0.0447,3868,1059467.86,273.91,45.1,0
FT0031,Q8,2024-01-20,651,-0.1517,0.04,2434,200285.78,82.29,5.6,0
FT0032,Q1,2025-10-11,585,-0.0789,0.0213,8330,2205863.78,264.81,8.86,0
FT0032,Q2,2025-07-13,644,0.0182,0.0477,12715,4760216.94,374.38,35.02,0
FT0032,Q3,2025-04-14,1324,0.132,0.0559,22942,2610378.65,113.78,24.23,0
FT0032,Q4,2025-01-14,403,-0.0466,0.0777,5488,1998847.56,364.22,37.78,0
FT0032,Q5,2024-10-16,1017,0.1317,0.0711,18475,6349025.81,343.65,45.09,0
FT0032,Q6,2024-07-18,130,-0.2925,0.0786,1438,507765.25,353.11,12.48,0
FT0032,Q7,2024-04-19,475,-0.0543,0.037,8440,1069862.93,126.76,44.06,0
FT0032,Q8,2024-01-20,738,0.1528,0.0579,10409,2516486.93,241.76,32.33,0
FT0033,Q1,2025-10-11,3520,-0.1313,0.043,48076,14359116.97,298.68,25.33,0
FT0033,Q2,2025-07-13,1698,-0.0769,0.0781,14005,715437.05,51.08,23.86,0
FT0033,Q3,2025-04-14,4917,0.0547,0.0402,54967,20108536.17,365.83,10.84,0
FT0033,Q4,2025-01-14,1432,-0.128,0.065,24498,1436125.65,58.62,46.91,0
FT0033,Q5,2024-10-16,5373,0.1022,0.0676,75192,34738211.45,461.99,15.6,0
FT0033,Q6,2024-07-18,3653,0.0283,0.0737,21317,2137879.53,100.29,17.2,0
FT0033,Q7,2024-04-19,3992,0.0643,0.0628,14341,6651958.2,463.84,47.95,0
FT0033,Q8,2024-01-20,2358,-0.1429,0.0753,20017,729812.88,36.46,41.59,0
FT0034,Q1,2025-10-11,4500,0.1825,0.0631,12338,3126663.33,253.42,31.29,0
FT0034,Q2,2025-07-13,9651,0.103,0.0229,158353,48428479.08,305.83,31.32,0
FT0034,Q3,2025-04-14,5908,0.0492,0.0649,117258,39508267.12,336.93,37.09,0
FT0034,Q4,2025-01-14,6168,0.059,0.0298,86488,41358879.54,478.2,7.67,0
FT0034,Q5,2024-10-16,7898,0.1302,0.0546,132502,24310091.94,183.47,40.21,0
FT0034,Q6,2024-07-18,5889,0.083,0.0527,38385,3287186.5,85.64,38.23,0
FT0034,Q7,2024-04-19,4154,-0.0121,0.0421,61660,2962123.2,48.04,5.16,0
FT0034,Q8,2024-01-20,5691,0.136,0.0228,77489,939832.56,12.13,23.78,0
FT0035,Q1,2025-10-11,316,0.1021,0.0316,5980,1200726.14,200.79,24.22,0
FT0035,Q2,2025-07-13,363,0.0245,0.0533,5896,291056.42,49.37,24.02,0
FT0035,Q3,2025-04-14,273,-0.0137,0.0453,5346,2113856.4,395.41,7.68,0
FT0035,Q4,2025-01-14,610,0.1277,0.0687,7271,1144002.0,157.34,18.05,0
FT0035,Q5,2024-10-16,170,-0.1075,0.04,793,22671.69,28.59,46.27,0
FT0035,Q6,2024-07-18,556,0.1722,0.0799,3982,1562756.14,392.46,23.11,0
FT0035,Q7,2024-04-19,480,0.1766,0.0785,2924,1280717.42,438.0,5.36,0
FT0035,Q8,2024-01-20,320,0.0329,0.0495,1804,487741.72,270.37,17.81,0
FT0036,Q1,2025-10-11,3640,0.0324,0.039,50048,15769461.83,315.09,39.62,0
FT0036,Q2,2025-07-13,16052,0.2075,0.0294,205312,76651891.15,373.34,7.59,0
FT0036,Q3,2025-04-14,3366,-0.0053,0.0398,27708,6360560.49,229.56,20.22,0
FT0036,Q4,2025-01-14,9316,0.1813,0.0685,181395,12880419.0,71.01,29.97,0
FT0036,Q5,2024-10-16,3890,0.0248,0.0555,11495,3680351.02,320.17,15.94,0
FT0036,Q6,2024-07-18,3801,0.0283,0.0677,66122,2269047.02,34.32,34.62,0
FT0036,Q7,2024-04-19,2237,-0.1426,0.0212,10223,4235954.47,414.36,18.93,0
FT0036,Q8,2024-01-20,3218,-0.0323,0.0541,35235,4599449.14,130.54,41.42,0
FT0037,Q1,2025-10-11,890,0.1148,0.0709,8187,1417900.19,173.19,24.05,0
