Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_Mean_W_m_K,Thermal_Conductivity_Std_W_m_K,Rubber_Content_Percent,Particle_Size
R5S,490,Validation,Thermal,0.8867,0.0887,10.0,small
R5S,500,Validation,Thermal,0.8704,0.087,10.0,small
R5S,510,Calibration,Thermal,0.8542,0.0854,10.0,small
R5S,520,Calibration,Thermal,0.8382,0.0838,10.0,small
R5S,530,Calibration,Thermal,0.8224,0.0822,10.0,small
R5S,540,Calibration,Thermal,0.8068,0.0807,10.0,small
R5S,550,Calibration,Thermal,0.7914,0.0791,10.0,small
R5S,560,Calibration,Thermal,0.7761,0.0776,10.0,small
R5S,570,Validation,Thermal,0.761,0.0761,10.0,small
R5S,580,Calibration,Thermal,0.7461,0.0746,10.0,small
R5S,590,Calibration,Thermal,0.7314,0.0731,10.0,small
R5S,600,Validation,Thermal,0.7168,0.0717,10.0,small
R5S,610,Calibration,Thermal,0.7024,0.0702,10.0,small
R5S,620,Validation,Thermal,0.6882,0.0688,10.0,small
R5S,630,Validation,Thermal,0.6742,0.0674,10.0,small
R5S,640,Calibration,Thermal,0.6603,0.066,10.0,small
R5S,650,Calibration,Thermal,0.6466,0.0647,10.0,small
R5S,660,Calibration,Thermal,0.6331,0.0633,10.0,small
R5S,670,Calibration,Thermal,0.6197,0.062,10.0,small
R5S,680,Calibration,Thermal,0.6065,0.0607,10.0,small
R5S,690,Calibration,Thermal,0.5935,0.0593,10.0,small
R5S,700,Calibration,Thermal,0.5806,0.0581,10.0,small
R5S,710,Calibration,Thermal,0.5679,0.0568,10.0,small
R5S,720,Calibration,Thermal,0.5554,0.0555,10.0,small
R5S,730,Validation,Thermal,0.543,0.0543,10.0,small
R5S,740,Calibration,Thermal,0.5308,0.0531,10.0,small
R5S,750,Calibration,Thermal,0.5187,0.0519,10.0,small
R5S,760,Calibration,Thermal,0.5068,0.0507,10.0,small
R5S,770,Validation,Thermal,0.4951,0.0495,10.0,small
R5S,780,Calibration,Thermal,0.4835,0.0483,10.0,small
R5S,790,Calibration,Thermal,0.472,0.0472,10.0,small
R5S,800,Validation,Thermal,0.4608,0.0461,10.0,small
R10S,20,Calibration,Thermal,1.8622,0.1862,10.0,small
R10S,30,Validation,Thermal,1.8356,0.1836,10.0,small
R10S,40,Calibration,Thermal,1.8092,0.1809,10.0,small
R10S,50,Calibration,Thermal,1.7829,0.1783,10.0,small
R10S,60,Calibration,Thermal,1.7569,0.1757,10.0,small
R10S,70,Calibration,Thermal,1.7311,0.1731,10.0,small
R10S,80,Calibration,Thermal,1.7055,0.1705,10.0,small
R10S,90,Validation,Thermal,1.6801,0.168,10.0,small
R10S,100,Calibration,Thermal,1.6549,0.1655,10.0,small
R10S,110,Calibration,Thermal,1.63,0.163,10.0,small
R10S,120,Calibration,Thermal,1.6052,0.1605,10.0,small
R10S,130,Calibration,Thermal,1.5807,0.1581,10.0,small
R10S,140,Calibration,Thermal,1.5564,0.1556,10.0,small
R10S,150,Calibration,Thermal,1.5323,0.1532,10.0,small
R10S,160,Calibration,Thermal,1.5084,0.1508,10.0,small
R10S,170,Calibration,Thermal,1.4847,0.1485,10.0,small
R10S,180,Calibration,Thermal,1.4613,0.1461,10.0,small
R10S,190,Calibration,Thermal,1.4381,0.1438,10.0,small
R10S,200,Calibration,Thermal,1.4151,0.1415,10.0,small
R10S,210,Calibration,Thermal,1.3924,0.1392,10.0,small
R10S,220,Validation,Thermal,1.3698,0.137,10.0,small
R10S,230,Calibration,Thermal,1.3475,0.1348,10.0,small
R10S,240,Calibration,Thermal,1.3254,0.1325,10.0,small
R10S,250,Calibration,Thermal,1.3036,0.1304,10.0,small
R10S,260,Validation,Thermal,1.2819,0.1282,10.0,small
R10S,270,Validation,Thermal,1.2605,0.126,10.0,small
R10S,280,Calibration,Thermal,1.2393,0.1239,10.0,small
R10S,290,Calibration,Thermal,1.2183,0.1218,10.0,small
R10S,300,Validation,Thermal,1.1976,0.1198,10.0,small
R10S,310,Calibration,Thermal,1.1771,0.1177,10.0,small
R10S,320,Calibration,Thermal,1.1568,0.1157,10.0,small
R10S,330,Calibration,Thermal,1.1367,0.1137,10.0,small
R10S,340,Calibration,Thermal,1.1168,0.1117,10.0,small
R10S,350,Validation,Thermal,1.0972,0.1097,10.0,small
R10S,360,Validation,Thermal,1.0778,0.1078,10.0,small
R10S,370,Calibration,Thermal,1.0586,0.1059,10.0,small
R10S,380,Calibration,Thermal,1.0396,0.104,10.0,small
R10S,390,Calibration,Thermal,1.0208,0.1021,10.0,small
R10S,400,Validation,Thermal,1.0023,0.1002,10.0,small
R10S,410,Validation,Thermal,0.984,0.0984,10.0,small
R10S,420,Validation,Thermal,0.9658,0.0966,10.0,small
R10S,430,Validation,Thermal,0.9479,0.0948,10.0,small
R10S,440,Calibration,Thermal,0.9303,0.093,10.0,small
R10S,450,Calibration,Thermal,0.9128,0.0913,10.0,small
R10S,460,Calibration,Thermal,0.8955,0.0896,10.0,small
R10S,470,Validation,Thermal,0.8785,0.0878,10.0,small
R10S,480,Calibration,Thermal,0.8616,0.0862,10.0,small
R10S,490,Calibration,Thermal,0.845,0.0845,10.0,small
R10S,500,Calibration,Thermal,0.8286,0.0829,10.0,small
R10S,510,Calibration,Thermal,0.8124,0.0812,10.0,small
R10S,520,Calibration,Thermal,0.7963,0.0796,10.0,small
R10S,530,Calibration,Thermal,0.7805,0.0781,10.0,small
R10S,540,Calibration,Thermal,0.7649,0.0765,10.0,small
R10S,550,Calibration,Thermal,0.7495,0.075,10.0,small
R10S,560,Calibration,Thermal,0.7343,0.0734,10.0,small
R10S,570,Calibration,Thermal,0.7193,0.0719,10.0,small
R10S,580,Validation,Thermal,0.7045,0.0704,10.0,small
R10S,590,Calibration,Thermal,0.6899,0.069,10.0,small
R10S,600,Calibration,Thermal,0.6754,0.0675,10.0,small
R10S,610,Validation,Thermal,0.6612,0.0661,10.0,small
R10S,620,Calibration,Thermal,0.6471,0.0647,10.0,small
R10S,630,Validation,Thermal,0.6333,0.0633,10.0,small
R10S,640,Calibration,Thermal,0.6196,0.062,10.0,small
R10S,650,Calibration,Thermal,0.6062,0.0606,10.0,small
R10S,660,Calibration,Thermal,0.5929,0.0593,10.0,small
R10S,670,Calibration,Thermal,0.5797,0.058,10.0,small
R10S,680,Calibration,Thermal,0.5668,0.0567,10.0,small
R10S,690,Calibration,Thermal,0.5541,0.0554,10.0,small
R10S,700,Validation,Thermal,0.5415,0.0542,10.0,small
R10S,710,Calibration,Thermal,0.5291,0.0529,10.0,small
R10S,720,Validation,Thermal,0.5169,0.0517,10.0,small
R10S,730,Calibration,Thermal,0.5049,0.0505,10.0,small
R10S,740,Validation,Thermal,0.493,0.0493,10.0,small
R10S,750,Calibration,Thermal,0.4813,0.0481,10.0,small
R10S,760,Calibration,Thermal,0.4698,0.047,10.0,small
R10S,770,Calibration,Thermal,0.4584,0.0458,10.0,small
R10S,780,Calibration,Thermal,0.4472,0.0447,10.0,small
R10S,790,Validation,Thermal,0.4362,0.0436,10.0,small
R10S,800,Calibration,Thermal,0.4253,0.0425,10.0,small
R15S,20,Calibration,Thermal,1.8184,0.1818,15.0,small
R15S,30,Calibration,Thermal,1.7905,0.1791,15.0,small
R15S,40,Calibration,Thermal,1.7629,0.1763,15.0,small
R15S,50,Validation,Thermal,1.7356,0.1736,15.0,small
R15S,60,Validation,Thermal,1.7085,0.1708,15.0,small
R15S,70,Validation,Thermal,1.6817,0.1682,15.0,small
R15S,80,Calibration,Thermal,1.6551,0.1655,15.0,small
R15S,90,Calibration,Thermal,1.6288,0.1629,15.0,small
R15S,100,Validation,Thermal,1.6027,0.1603,15.0,small
R15S,110,Calibration,Thermal,1.5769,0.1577,15.0,small
R15S,120,Validation,Thermal,1.5514,0.1551,15.0,small
R15S,130,Validation,Thermal,1.5261,0.1526,15.0,small
R15S,140,Validation,Thermal,1.5011,0.1501,15.0,small
R15S,150,Calibration,Thermal,1.4764,0.1476,15.0,small
R15S,160,Calibration,Thermal,1.4519,0.1452,15.0,small
R15S,170,Validation,Thermal,1.4276,0.1428,15.0,small
R15S,180,Calibration,Thermal,1.4037,0.1404,15.0,small
R15S,190,Calibration,Thermal,1.38,0.138,15.0,small
R15S,200,Calibration,Thermal,1.3565,0.1357,15.0,small
R15S,210,Validation,Thermal,1.3333,0.1333,15.0,small
R15S,220,Calibration,Thermal,1.3104,0.131,15.0,small
R15S,230,Calibration,Thermal,1.2877,0.1288,15.0,small
R15S,240,Calibration,Thermal,1.2653,0.1265,15.0,small
R15S,250,Calibration,Thermal,1.2432,0.1243,15.0,small
R15S,260,Validation,Thermal,1.2213,0.1221,15.0,small
R15S,270,Calibration,Thermal,1.1996,0.12,15.0,small
R15S,280,Calibration,Thermal,1.1783,0.1178,15.0,small
R15S,290,Validation,Thermal,1.1571,0.1157,15.0,small
R15S,300,Validation,Thermal,1.1363,0.1136,15.0,small
R15S,310,Calibration,Thermal,1.1156,0.1116,15.0,small
R15S,320,Validation,Thermal,1.0953,0.1095,15.0,small
R15S,330,Calibration,Thermal,1.0752,0.1075,15.0,small
R15S,340,Calibration,Thermal,1.0553,0.1055,15.0,small
R15S,350,Validation,Thermal,1.0357,0.1036,15.0,small
R15S,360,Validation,Thermal,1.0163,0.1016,15.0,small
R15S,370,Validation,Thermal,0.9972,0.0997,15.0,small
R15S,380,Validation,Thermal,0.9783,0.0978,15.0,small
R15S,390,Calibration,Thermal,0.9597,0.096,15.0,small
R15S,400,Calibration,Thermal,0.9413,0.0941,15.0,small
R15S,410,Validation,Thermal,0.9231,0.0923,15.0,small
R15S,420,Calibration,Thermal,0.9052,0.0905,15.0,small
R15S,430,Validation,Thermal,0.8875,0.0887,15.0,small
R15S,440,Validation,Thermal,0.87,0.087,15.0,small
R15S,450,Validation,Thermal,0.8528,0.0853,15.0,small
R15S,460,Calibration,Thermal,0.8358,0.0836,15.0,small
R15S,470,Calibration,Thermal,0.8191,0.0819,15.0,small
R15S,480,Calibration,Thermal,0.8026,0.0803,15.0,small
R15S,490,Calibration,Thermal,0.7863,0.0786,15.0,small
R15S,500,Calibration,Thermal,0.7702,0.077,15.0,small
R15S,510,Calibration,Thermal,0.7543,0.0754,15.0,small
R15S,520,Calibration,Thermal,0.7387,0.0739,15.0,small
R15S,530,Calibration,Thermal,0.7233,0.0723,15.0,small
R15S,540,Calibration,Thermal,0.7081,0.0708,15.0,small
R15S,550,Calibration,Thermal,0.6931,0.0693,15.0,small
R15S,560,Calibration,Thermal,0.6784,0.0678,15.0,small
R15S,570,Validation,Thermal,0.6638,0.0664,15.0,small
R15S,580,Calibration,Thermal,0.6495,0.0649,15.0,small
R15S,590,Calibration,Thermal,0.6353,0.0635,15.0,small
R15S,600,Calibration,Thermal,0.6214,0.0621,15.0,small
R15S,610,Validation,Thermal,0.6077,0.0608,15.0,small
R15S,620,Calibration,Thermal,0.5942,0.0594,15.0,small
R15S,630,Calibration,Thermal,0.5809,0.0581,15.0,small
R15S,640,Calibration,Thermal,0.5678,0.0568,15.0,small
R15S,650,Calibration,Thermal,0.5548,0.0555,15.0,small
R15S,660,Calibration,Thermal,0.5421,0.0542,15.0,small
R15S,670,Calibration,Thermal,0.5296,0.053,15.0,small
R15S,680,Calibration,Thermal,0.5172,0.0517,15.0,small
R15S,690,Validation,Thermal,0.5051,0.0505,15.0,small
R15S,700,Validation,Thermal,0.4931,0.0493,15.0,small
R15S,710,Calibration,Thermal,0.4813,0.0481,15.0,small
R15S,720,Calibration,Thermal,0.4698,0.047,15.0,small
R15S,730,Validation,Thermal,0.4583,0.0458,15.0,small
R15S,740,Calibration,Thermal,0.4471,0.0447,15.0,small
R15S,750,Calibration,Thermal,0.4361,0.0436,15.0,small
R15S,760,Calibration,Thermal,0.4252,0.0425,15.0,small
R15S,770,Calibration,Thermal,0.4145,0.0414,15.0,small
R15S,780,Validation,Thermal,0.4039,0.0404,15.0,small
R15S,790,Validation,Thermal,0.3936,0.0394,15.0,small
R15S,800,Calibration,Thermal,0.3834,0.0383,15.0,small
R20S,20,Calibration,Thermal,1.7745,0.1774,20.0,small
R20S,30,Calibration,Thermal,1.7455,0.1746,20.0,small
R20S,40,Calibration,Thermal,1.7169,0.1717,20.0,small
R20S,50,Calibration,Thermal,1.6885,0.1689,20.0,small
R20S,60,Calibration,Thermal,1.6604,0.166,20.0,small
R20S,70,Validation,Thermal,1.6327,0.1633,20.0,small
R20S,80,Calibration,Thermal,1.6053,0.1605,20.0,small
R20S,90,Calibration,Thermal,1.5781,0.1578,20.0,small
R20S,100,Validation,Thermal,1.5513,0.1551,20.0,small
R20S,110,Validation,Thermal,1.5247,0.1525,20.0,small
R20S,120,Calibration,Thermal,1.4985,0.1499,20.0,small
R20S,130,Calibration,Thermal,1.4726,0.1473,20.0,small
R20S,140,Calibration,Thermal,1.447,0.1447,20.0,small
R20S,150,Calibration,Thermal,1.4216,0.1422,20.0,small
R20S,160,Calibration,Thermal,1.3966,0.1397,20.0,small
R20S,170,Validation,Thermal,1.3719,0.1372,20.0,small
R20S,180,Calibration,Thermal,1.3475,0.1347,20.0,small
R20S,190,Calibration,Thermal,1.3234,0.1323,20.0,small
R20S,200,Calibration,Thermal,1.2996,0.13,20.0,small
R20S,210,Calibration,Thermal,1.276,0.1276,20.0,small
R20S,220,Validation,Thermal,1.2528,0.1253,20.0,small
R20S,230,Validation,Thermal,1.2299,0.123,20.0,small
R20S,240,Calibration,Thermal,1.2072,0.1207,20.0,small
R20S,250,Calibration,Thermal,1.1849,0.1185,20.0,small
R20S,260,Calibration,Thermal,1.1628,0.1163,20.0,small
R20S,270,Calibration,Thermal,1.1411,0.1141,20.0,small
R20S,280,Calibration,Thermal,1.1196,0.112,20.0,small
R20S,290,Calibration,Thermal,1.0984,0.1098,20.0,small
R20S,300,Calibration,Thermal,1.0775,0.1077,20.0,small
R20S,310,Calibration,Thermal,1.0568,0.1057,20.0,small
R20S,320,Calibration,Thermal,1.0365,0.1036,20.0,small
R20S,330,Calibration,Thermal,1.0164,0.1016,20.0,small
R20S,340,Calibration,Thermal,0.9966,0.0997,20.0,small
R20S,350,Calibration,Thermal,0.9771,0.0977,20.0,small
R20S,360,Calibration,Thermal,0.9578,0.0958,20.0,small
R20S,370,Validation,Thermal,0.9388,0.0939,20.0,small
R20S,380,Calibration,Thermal,0.9201,0.092,20.0,small
R20S,390,Calibration,Thermal,0.9016,0.0902,20.0,small
R20S,400,Calibration,Thermal,0.8834,0.0883,20.0,small
R20S,410,Calibration,Thermal,0.8655,0.0866,20.0,small
R20S,420,Calibration,Thermal,0.8478,0.0848,20.0,small
R20S,430,Calibration,Thermal,0.8304,0.083,20.0,small
R20S,440,Validation,Thermal,0.8133,0.0813,20.0,small
R20S,450,Calibration,Thermal,0.7963,0.0796,20.0,small
R20S,460,Calibration,Thermal,0.7797,0.078,20.0,small
R20S,470,Calibration,Thermal,0.7633,0.0763,20.0,small
R20S,480,Calibration,Thermal,0.7471,0.0747,20.0,small
R20S,490,Calibration,Thermal,0.7312,0.0731,20.0,small
R20S,500,Validation,Thermal,0.7155,0.0716,20.0,small
R20S,510,Calibration,Thermal,0.7001,0.07,20.0,small
R20S,520,Validation,Thermal,0.6849,0.0685,20.0,small
R20S,530,Validation,Thermal,0.6699,0.067,20.0,small
R20S,540,Calibration,Thermal,0.6551,0.0655,20.0,small
R20S,550,Calibration,Thermal,0.6406,0.0641,20.0,small
R20S,560,Calibration,Thermal,0.6263,0.0626,20.0,small
R20S,570,Calibration,Thermal,0.6123,0.0612,20.0,small
R20S,580,Calibration,Thermal,0.5984,0.0598,20.0,small
R20S,590,Calibration,Thermal,0.5848,0.0585,20.0,small
R20S,600,Calibration,Thermal,0.5714,0.0571,20.0,small
R20S,610,Calibration,Thermal,0.5582,0.0558,20.0,small
R20S,620,Validation,Thermal,0.5452,0.0545,20.0,small
R20S,630,Calibration,Thermal,0.5325,0.0532,20.0,small
R20S,640,Validation,Thermal,0.5199,0.052,20.0,small
R20S,650,Calibration,Thermal,0.5076,0.0508,20.0,small
R20S,660,Calibration,Thermal,0.4954,0.0495,20.0,small
R20S,670,Calibration,Thermal,0.4835,0.0483,20.0,small
R20S,680,Calibration,Thermal,0.4717,0.0472,20.0,small
R20S,690,Validation,Thermal,0.4602,0.046,20.0,small
R20S,700,Validation,Thermal,0.4488,0.0449,20.0,small
R20S,710,Validation,Thermal,0.4376,0.0438,20.0,small
R20S,720,Calibration,Thermal,0.4267,0.0427,20.0,small
R20S,730,Calibration,Thermal,0.4159,0.0416,20.0,small
R20S,740,Validation,Thermal,0.4053,0.0405,20.0,small
R20S,750,Validation,Thermal,0.3948,0.0395,20.0,small
R20S,760,Validation,Thermal,0.3846,0.0385,20.0,small
R20S,770,Calibration,Thermal,0.3745,0.0375,20.0,small
R20S,780,Calibration,Thermal,0.3646,0.0365,20.0,small
R20S,790,Validation,Thermal,0.3549,0.0355,20.0,small
R20S,800,Calibration,Thermal,0.3454,0.0345,20.0,small
R10L,20,Validation,Thermal,1.8754,0.1875,10.0,large
R10L,30,Validation,Thermal,1.8486,0.1849,10.0,large
R10L,40,Calibration,Thermal,1.822,0.1822,10.0,large
R10L,50,Validation,Thermal,1.7955,0.1796,10.0,large
R10L,60,Validation,Thermal,1.7693,0.1769,10.0,large
R10L,70,Calibration,Thermal,1.7433,0.1743,10.0,large
R10L,80,Validation,Thermal,1.7175,0.1718,10.0,large
R10L,90,Calibration,Thermal,1.692,0.1692,10.0,large
R10L,100,Validation,Thermal,1.6666,0.1667,10.0,large
R10L,110,Calibration,Thermal,1.6415,0.1641,10.0,large
R10L,120,Validation,Thermal,1.6166,0.1617,10.0,large
R10L,130,Calibration,Thermal,1.5918,0.1592,10.0,large
R10L,140,Calibration,Thermal,1.5674,0.1567,10.0,large
R10L,150,Validation,Thermal,1.5431,0.1543,10.0,large
R10L,160,Calibration,Thermal,1.5191,0.1519,10.0,large
R10L,170,Calibration,Thermal,1.4952,0.1495,10.0,large
R10L,180,Validation,Thermal,1.4716,0.1472,10.0,large
R10L,190,Validation,Thermal,1.4483,0.1448,10.0,large
R10L,200,Calibration,Thermal,1.4251,0.1425,10.0,large
R10L,210,Calibration,Thermal,1.4022,0.1402,10.0,large
R10L,220,Calibration,Thermal,1.3795,0.138,10.0,large
R10L,230,Calibration,Thermal,1.357,0.1357,10.0,large
R10L,240,Calibration,Thermal,1.3348,0.1335,10.0,large
R10L,250,Calibration,Thermal,1.3128,0.1313,10.0,large
R10L,260,Validation,Thermal,1.291,0.1291,10.0,large
R10L,270,Validation,Thermal,1.2694,0.1269,10.0,large
R10L,280,Validation,Thermal,1.2481,0.1248,10.0,large
R10L,290,Calibration,Thermal,1.2269,0.1227,10.0,large
R10L,300,Calibration,Thermal,1.2061,0.1206,10.0,large
R10L,310,Calibration,Thermal,1.1854,0.1185,10.0,large
R10L,320,Calibration,Thermal,1.1649,0.1165,10.0,large
R10L,330,Calibration,Thermal,1.1447,0.1145,10.0,large
R10L,340,Validation,Thermal,1.1247,0.1125,10.0,large
R10L,350,Calibration,Thermal,1.1049,0.1105,10.0,large
R10L,360,Calibration,Thermal,1.0854,0.1085,10.0,large
R10L,370,Calibration,Thermal,1.066,0.1066,10.0,large
R10L,380,Validation,Thermal,1.0469,0.1047,10.0,large
R10L,390,Calibration,Thermal,1.028,0.1028,10.0,large
R10L,400,Calibration,Thermal,1.0094,0.1009,10.0,large
R10L,410,Calibration,Thermal,0.9909,0.0991,10.0,large
R10L,420,Validation,Thermal,0.9727,0.0973,10.0,large
R10L,430,Calibration,Thermal,0.9546,0.0955,10.0,large
R10L,440,Validation,Thermal,0.9368,0.0937,10.0,large
R10L,450,Validation,Thermal,0.9192,0.0919,10.0,large
R10L,460,Calibration,Thermal,0.9019,0.0902,10.0,large
R10L,470,Calibration,Thermal,0.8847,0.0885,10.0,large
R10L,480,Validation,Thermal,0.8677,0.0868,10.0,large
R10L,490,Calibration,Thermal,0.851,0.0851,10.0,large
R10L,500,Calibration,Thermal,0.8344,0.0834,10.0,large
