Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Diffusivity_Mean_mm2_s,Thermal_Diffusivity_Std_mm2_s,Density_kg_m3,Rubber_Content_Percent,Particle_Size
C,660,Calibration,Thermal,0.280735,0.03859,2341.3,0.0,small
C,670,Calibration,Thermal,0.274512,0.03775,2339.0,0.0,small
C,680,Validation,Thermal,0.268395,0.036896,2336.4,0.0,small
C,690,Calibration,Thermal,0.262386,0.036079,2333.5,0.0,small
C,700,Calibration,Thermal,0.256516,0.035253,2330.5,0.0,small
C,710,Calibration,Thermal,0.250712,0.03446,2327.2,0.0,small
C,720,Calibration,Thermal,0.245044,0.03368,2323.7,0.0,small
C,730,Calibration,Thermal,0.239472,0.032913,2319.9,0.0,small
C,740,Calibration,Thermal,0.233994,0.032178,2315.9,0.0,small
C,750,Calibration,Thermal,0.22861,0.031431,2311.7,0.0,small
C,760,Calibration,Thermal,0.223351,0.030696,2307.3,0.0,small
C,770,Validation,Thermal,0.218146,0.029993,2302.6,0.0,small
C,780,Calibration,Thermal,0.21306,0.029301,2297.7,0.0,small
C,790,Calibration,Thermal,0.208059,0.028594,2292.5,0.0,small
C,800,Calibration,Thermal,0.203142,0.02792,2287.2,0.0,small
R5S,20,Validation,Thermal,0.891418,0.122543,2316.0,10.0,small
R5S,30,Calibration,Thermal,0.875185,0.120301,2315.2,10.0,small
R5S,40,Calibration,Thermal,0.859137,0.118114,2314.3,10.0,small
R5S,50,Validation,Thermal,0.843272,0.115919,2313.5,10.0,small
R5S,60,Validation,Thermal,0.827636,0.113776,2312.7,10.0,small
R5S,70,Calibration,Thermal,0.812216,0.11166,2311.8,10.0,small
R5S,80,Validation,Thermal,0.796984,0.109565,2311.0,10.0,small
R5S,90,Calibration,Thermal,0.781983,0.107499,2310.2,10.0,small
R5S,100,Calibration,Thermal,0.767194,0.105483,2309.3,10.0,small
R5S,110,Calibration,Thermal,0.752578,0.103458,2308.5,10.0,small
R5S,120,Calibration,Thermal,0.738179,0.101488,2307.7,10.0,small
R5S,130,Validation,Thermal,0.723949,0.099541,2306.9,10.0,small
R5S,140,Calibration,Thermal,0.709933,0.097611,2306.0,10.0,small
R5S,150,Calibration,Thermal,0.696129,0.095708,2305.2,10.0,small
R5S,160,Validation,Thermal,0.682541,0.093827,2304.4,10.0,small
R5S,170,Validation,Thermal,0.669152,0.092002,2303.5,10.0,small
R5S,180,Calibration,Thermal,0.655925,0.090158,2302.7,10.0,small
R5S,190,Calibration,Thermal,0.642909,0.088373,2301.9,10.0,small
R5S,200,Calibration,Thermal,0.630087,0.086607,2301.1,10.0,small
R5S,210,Validation,Thermal,0.617471,0.084894,2300.2,10.0,small
R5S,220,Calibration,Thermal,0.605003,0.083169,2299.4,10.0,small
R5S,230,Validation,Thermal,0.59278,0.081496,2298.6,10.0,small
R5S,240,Calibration,Thermal,0.580702,0.079842,2297.8,10.0,small
R5S,250,Calibration,Thermal,0.568822,0.078208,2296.9,10.0,small
R5S,260,Calibration,Thermal,0.557126,0.076596,2296.1,10.0,small
R5S,270,Calibration,Thermal,0.545582,0.075,2295.3,10.0,small
R5S,280,Calibration,Thermal,0.534266,0.073454,2294.5,10.0,small
R5S,290,Validation,Thermal,0.523092,0.07193,2293.6,10.0,small
R5S,300,Calibration,Thermal,0.512138,0.070392,2292.8,10.0,small
R5S,310,Calibration,Thermal,0.501327,0.068934,2292.0,10.0,small
R5S,320,Validation,Thermal,0.490695,0.067461,2291.2,10.0,small
R5S,330,Calibration,Thermal,0.48024,0.066009,2290.3,10.0,small
R5S,340,Validation,Thermal,0.46996,0.064606,2289.5,10.0,small
R5S,350,Calibration,Thermal,0.459853,0.063218,2288.7,10.0,small
R5S,360,Calibration,Thermal,0.449876,0.061847,2287.9,10.0,small
R5S,370,Calibration,Thermal,0.44011,0.060496,2287.1,10.0,small
R5S,380,Calibration,Thermal,0.430471,0.05919,2286.2,10.0,small
R5S,390,Validation,Thermal,0.420999,0.057869,2285.4,10.0,small
R5S,400,Calibration,Thermal,0.41169,0.056596,2284.6,10.0,small
R5S,410,Calibration,Thermal,0.402544,0.055338,2283.8,10.0,small
R5S,420,Calibration,Thermal,0.393559,0.054097,2283.0,10.0,small
R5S,430,Calibration,Thermal,0.384733,0.0529,2282.1,10.0,small
R5S,440,Validation,Thermal,0.376028,0.051689,2281.3,10.0,small
R5S,450,Calibration,Thermal,0.367476,0.050522,2280.5,10.0,small
R5S,460,Calibration,Thermal,0.359116,0.049372,2279.7,10.0,small
R5S,470,Validation,Thermal,0.350872,0.048238,2278.9,10.0,small
R5S,480,Calibration,Thermal,0.342777,0.047115,2278.1,10.0,small
R5S,490,Validation,Thermal,0.334792,0.046034,2277.3,10.0,small
R5S,500,Calibration,Thermal,0.326995,0.044943,2276.4,10.0,small
R5S,510,Calibration,Thermal,0.319303,0.043892,2275.6,10.0,small
R5S,520,Calibration,Thermal,0.311759,0.042854,2274.8,10.0,small
R5S,530,Validation,Thermal,0.304356,0.041831,2274.0,10.0,small
R5S,540,Validation,Thermal,0.297092,0.040849,2273.2,10.0,small
R5S,550,Calibration,Thermal,0.28997,0.039854,2272.4,10.0,small
R5S,560,Calibration,Thermal,0.282946,0.038896,2271.6,10.0,small
R5S,570,Calibration,Thermal,0.276061,0.037952,2270.7,10.0,small
R5S,580,Calibration,Thermal,0.269311,0.037022,2269.9,10.0,small
R5S,590,Calibration,Thermal,0.262694,0.036104,2269.1,10.0,small
R5S,600,Validation,Thermal,0.25617,0.035223,2268.3,10.0,small
R5S,610,Calibration,Thermal,0.249792,0.03433,2267.4,10.0,small
R5S,620,Calibration,Thermal,0.243566,0.033479,2266.2,10.0,small
R5S,630,Calibration,Thermal,0.23749,0.032645,2264.9,10.0,small
R5S,640,Calibration,Thermal,0.231524,0.031822,2263.3,10.0,small
R5S,650,Calibration,Thermal,0.225702,0.031039,2261.4,10.0,small
R5S,660,Calibration,Thermal,0.22002,0.030246,2259.4,10.0,small
R5S,670,Validation,Thermal,0.21444,0.029488,2257.1,10.0,small
R5S,680,Calibration,Thermal,0.208995,0.028745,2254.6,10.0,small
R5S,690,Calibration,Thermal,0.203683,0.027989,2251.9,10.0,small
R5S,700,Calibration,Thermal,0.198465,0.027295,2248.9,10.0,small
R5S,710,Validation,Thermal,0.193375,0.026587,2245.7,10.0,small
R5S,720,Validation,Thermal,0.188409,0.025892,2242.3,10.0,small
R5S,730,Calibration,Thermal,0.18353,0.025231,2238.7,10.0,small
R5S,740,Validation,Thermal,0.178771,0.024581,2234.9,10.0,small
R5S,750,Calibration,Thermal,0.174097,0.023941,2230.8,10.0,small
R5S,760,Calibration,Thermal,0.169537,0.023313,2226.5,10.0,small
R5S,770,Calibration,Thermal,0.165092,0.022694,2222.0,10.0,small
R5S,780,Calibration,Thermal,0.160722,0.022084,2217.3,10.0,small
R5S,790,Calibration,Thermal,0.156429,0.021505,2212.3,10.0,small
R5S,800,Validation,Thermal,0.152278,0.020939,2207.1,10.0,small
R10S,20,Validation,Thermal,0.891418,0.122543,2316.0,10.0,small
R10S,30,Calibration,Thermal,0.874059,0.120178,2315.2,10.0,small
R10S,40,Calibration,Thermal,0.856942,0.117804,2314.3,10.0,small
R10S,50,Calibration,Thermal,0.840037,0.115488,2313.5,10.0,small
R10S,60,Calibration,Thermal,0.823427,0.113207,2312.7,10.0,small
R10S,70,Calibration,Thermal,0.80706,0.110947,2311.8,10.0,small
R10S,80,Calibration,Thermal,0.790936,0.108721,2311.0,10.0,small
R10S,90,Calibration,Thermal,0.775051,0.10655,2310.2,10.0,small
R10S,100,Validation,Thermal,0.759403,0.104403,2309.3,10.0,small
R10S,110,Calibration,Thermal,0.744036,0.102288,2308.5,10.0,small
R10S,120,Calibration,Thermal,0.728855,0.100195,2307.7,10.0,small
R10S,130,Validation,Thermal,0.713949,0.098161,2306.9,10.0,small
R10S,140,Calibration,Thermal,0.69927,0.096123,2306.0,10.0,small
R10S,150,Calibration,Thermal,0.684815,0.094136,2305.2,10.0,small
R10S,160,Calibration,Thermal,0.670584,0.092177,2304.4,10.0,small
R10S,170,Calibration,Thermal,0.656572,0.090272,2303.5,10.0,small
R10S,180,Validation,Thermal,0.642822,0.088365,2302.7,10.0,small
R10S,190,Calibration,Thermal,0.629293,0.086509,2301.9,10.0,small
R10S,200,Calibration,Thermal,0.61597,0.084678,2301.1,10.0,small
R10S,210,Validation,Thermal,0.602901,0.082872,2300.2,10.0,small
R10S,220,Validation,Thermal,0.590002,0.08112,2299.4,10.0,small
R10S,230,Validation,Thermal,0.577346,0.079387,2298.6,10.0,small
R10S,240,Calibration,Thermal,0.564894,0.077648,2297.8,10.0,small
R10S,250,Calibration,Thermal,0.55269,0.075995,2296.9,10.0,small
R10S,260,Validation,Thermal,0.540636,0.074327,2296.1,10.0,small
R10S,270,Validation,Thermal,0.528826,0.072687,2295.3,10.0,small
R10S,280,Calibration,Thermal,0.517205,0.071096,2294.5,10.0,small
R10S,290,Calibration,Thermal,0.505781,0.069526,2293.6,10.0,small
R10S,300,Calibration,Thermal,0.494587,0.068007,2292.8,10.0,small
R10S,310,Validation,Thermal,0.483575,0.066477,2292.0,10.0,small
R10S,320,Calibration,Thermal,0.472753,0.064999,2291.2,10.0,small
R10S,330,Calibration,Thermal,0.462114,0.063539,2290.3,10.0,small
R10S,340,Calibration,Thermal,0.451655,0.062098,2289.5,10.0,small
R10S,350,Calibration,Thermal,0.44141,0.060677,2288.7,10.0,small
R10S,360,Validation,Thermal,0.431346,0.059306,2287.9,10.0,small
R10S,370,Calibration,Thermal,0.421457,0.057952,2287.1,10.0,small
R10S,380,Validation,Thermal,0.411739,0.056616,2286.2,10.0,small
R10S,390,Validation,Thermal,0.402191,0.055297,2285.4,10.0,small
R10S,400,Calibration,Thermal,0.39285,0.053999,2284.6,10.0,small
R10S,410,Calibration,Thermal,0.383675,0.052747,2283.8,10.0,small
R10S,420,Calibration,Thermal,0.374626,0.051508,2283.0,10.0,small
R10S,430,Validation,Thermal,0.365777,0.050288,2282.1,10.0,small
R10S,440,Calibration,Thermal,0.357126,0.049089,2281.3,10.0,small
R10S,450,Calibration,Thermal,0.348595,0.04793,2280.5,10.0,small
R10S,460,Validation,Thermal,0.340223,0.046787,2279.7,10.0,small
R10S,470,Calibration,Thermal,0.332041,0.045634,2278.9,10.0,small
R10S,480,Validation,Thermal,0.323973,0.044549,2278.1,10.0,small
R10S,490,Calibration,Thermal,0.316093,0.043455,2277.3,10.0,small
R10S,500,Calibration,Thermal,0.308364,0.042404,2276.4,10.0,small
R10S,510,Calibration,Thermal,0.30078,0.041339,2275.6,10.0,small
R10S,520,Validation,Thermal,0.293306,0.040315,2274.8,10.0,small
R10S,530,Calibration,Thermal,0.28601,0.039332,2274.0,10.0,small
R10S,540,Validation,Thermal,0.278855,0.038338,2273.2,10.0,small
R10S,550,Validation,Thermal,0.271843,0.037386,2272.4,10.0,small
R10S,560,Calibration,Thermal,0.264966,0.036419,2271.6,10.0,small
R10S,570,Validation,Thermal,0.258228,0.035493,2270.7,10.0,small
R10S,580,Calibration,Thermal,0.251625,0.034579,2269.9,10.0,small
R10S,590,Calibration,Thermal,0.245153,0.033706,2269.1,10.0,small
R10S,600,Calibration,Thermal,0.238779,0.032816,2268.3,10.0,small
R10S,610,Validation,Thermal,0.232582,0.03197,2267.4,10.0,small
R10S,620,Calibration,Thermal,0.226499,0.031135,2266.2,10.0,small
R10S,630,Calibration,Thermal,0.220599,0.030319,2264.9,10.0,small
R10S,640,Calibration,Thermal,0.214809,0.029542,2263.3,10.0,small
R10S,650,Calibration,Thermal,0.209194,0.028754,2261.4,10.0,small
R10S,660,Calibration,Thermal,0.203682,0.028004,2259.4,10.0,small
R10S,670,Validation,Thermal,0.198271,0.027265,2257.1,10.0,small
R10S,680,Validation,Thermal,0.193027,0.026542,2254.6,10.0,small
R10S,690,Calibration,Thermal,0.187911,0.025831,2251.9,10.0,small
R10S,700,Validation,Thermal,0.182889,0.025155,2248.9,10.0,small
R10S,710,Calibration,Thermal,0.177991,0.024467,2245.7,10.0,small
R10S,720,Validation,Thermal,0.173215,0.023816,2242.3,10.0,small
R10S,730,Calibration,Thermal,0.168558,0.023175,2238.7,10.0,small
R10S,740,Calibration,Thermal,0.163985,0.022544,2234.9,10.0,small
R10S,750,Calibration,Thermal,0.159527,0.021924,2230.8,10.0,small
R10S,760,Validation,Thermal,0.155182,0.021339,2226.5,10.0,small
R10S,770,Calibration,Thermal,0.150914,0.020738,2222.0,10.0,small
R10S,780,Calibration,Thermal,0.146754,0.020171,2217.3,10.0,small
R10S,790,Calibration,Thermal,0.142702,0.019614,2212.3,10.0,small
R10S,800,Calibration,Thermal,0.138721,0.019064,2207.1,10.0,small
R15S,20,Calibration,Thermal,0.875847,0.120395,2274.0,15.0,small
R15S,30,Validation,Thermal,0.857647,0.117923,2273.2,15.0,small
R15S,40,Validation,Thermal,0.839765,0.115454,2272.4,15.0,small
R15S,50,Calibration,Thermal,0.822199,0.113046,2271.5,15.0,small
R15S,60,Validation,Thermal,0.804897,0.110637,2270.7,15.0,small
R15S,70,Calibration,Thermal,0.787904,0.108327,2269.9,15.0,small
R15S,80,Validation,Thermal,0.771168,0.106016,2269.1,15.0,small
R15S,90,Validation,Thermal,0.754735,0.103764,2268.3,15.0,small
R15S,100,Calibration,Thermal,0.738553,0.101543,2267.5,15.0,small
R15S,110,Validation,Thermal,0.722674,0.099353,2266.6,15.0,small
R15S,120,Calibration,Thermal,0.707079,0.097195,2265.8,15.0,small
R15S,130,Calibration,Thermal,0.691726,0.095092,2265.0,15.0,small
R15S,140,Validation,Thermal,0.676659,0.093021,2264.2,15.0,small
R15S,150,Calibration,Thermal,0.661873,0.090979,2263.4,15.0,small
R15S,160,Calibration,Thermal,0.647321,0.088997,2262.6,15.0,small
R15S,170,Calibration,Thermal,0.632999,0.087035,2261.8,15.0,small
R15S,180,Validation,Thermal,0.618994,0.085108,2261.0,15.0,small
R15S,190,Calibration,Thermal,0.605213,0.083203,2260.1,15.0,small
R15S,200,Calibration,Thermal,0.591655,0.081354,2259.3,15.0,small
R15S,210,Validation,Thermal,0.57836,0.079503,2258.5,15.0,small
R15S,220,Validation,Thermal,0.565324,0.077708,2257.7,15.0,small
R15S,230,Calibration,Thermal,0.552501,0.075967,2256.9,15.0,small
R15S,240,Calibration,Thermal,0.539933,0.07422,2256.1,15.0,small
R15S,250,Calibration,Thermal,0.527614,0.072528,2255.3,15.0,small
R15S,260,Calibration,Thermal,0.515501,0.070861,2254.5,15.0,small
R15S,270,Calibration,Thermal,0.503591,0.069245,2253.7,15.0,small
R15S,280,Validation,Thermal,0.491964,0.067624,2252.8,15.0,small
R15S,290,Calibration,Thermal,0.480493,0.066055,2252.0,15.0,small
R15S,300,Calibration,Thermal,0.4693,0.064508,2251.2,15.0,small
R15S,310,Calibration,Thermal,0.458257,0.063012,2250.4,15.0,small
R15S,320,Validation,Thermal,0.447486,0.06151,2249.6,15.0,small
R15S,330,Calibration,Thermal,0.436902,0.060059,2248.8,15.0,small
R15S,340,Validation,Thermal,0.426503,0.058625,2248.0,15.0,small
R15S,350,Calibration,Thermal,0.416326,0.057244,2247.2,15.0,small
R15S,360,Calibration,Thermal,0.406329,0.055851,2246.4,15.0,small
R15S,370,Calibration,Thermal,0.396549,0.054511,2245.6,15.0,small
R15S,380,Calibration,Thermal,0.386944,0.053187,2244.8,15.0,small
R15S,390,Calibration,Thermal,0.377551,0.051913,2244.0,15.0,small
R15S,400,Calibration,Thermal,0.368328,0.050628,2243.2,15.0,small
R15S,410,Calibration,Thermal,0.359273,0.04939,2242.4,15.0,small
R15S,420,Validation,Thermal,0.350427,0.04817,2241.6,15.0,small
R15S,430,Calibration,Thermal,0.34174,0.046968,2240.8,15.0,small
R15S,440,Validation,Thermal,0.333216,0.04581,2240.0,15.0,small
R15S,450,Calibration,Thermal,0.324889,0.04467,2239.2,15.0,small
R15S,460,Calibration,Thermal,0.316719,0.043548,2238.4,15.0,small
R15S,470,Calibration,Thermal,0.308742,0.042442,2237.6,15.0,small
R15S,480,Calibration,Thermal,0.300918,0.04138,2236.8,15.0,small
R15S,490,Calibration,Thermal,0.293245,0.040307,2236.0,15.0,small
R15S,500,Calibration,Thermal,0.285721,0.039274,2235.2,15.0,small
R15S,510,Calibration,Thermal,0.278344,0.038258,2234.4,15.0,small
R15S,520,Calibration,Thermal,0.271149,0.037285,2233.6,15.0,small
R15S,530,Calibration,Thermal,0.264097,0.036299,2232.8,15.0,small
R15S,540,Validation,Thermal,0.257187,0.035355,2232.0,15.0,small
R15S,550,Validation,Thermal,0.250416,0.034424,2231.2,15.0,small
R15S,560,Validation,Thermal,0.243819,0.033509,2230.4,15.0,small
R15S,570,Validation,Thermal,0.237321,0.032631,2229.6,15.0,small
R15S,580,Calibration,Thermal,0.230994,0.031744,2228.8,15.0,small
R15S,590,Calibration,Thermal,0.224763,0.030892,2228.0,15.0,small
R15S,600,Validation,Thermal,0.218698,0.030056,2227.2,15.0,small
R15S,610,Calibration,Thermal,0.212771,0.029258,2226.3,15.0,small
R15S,620,Calibration,Thermal,0.206993,0.028452,2225.1,15.0,small
R15S,630,Calibration,Thermal,0.201359,0.027685,2223.8,15.0,small
R15S,640,Calibration,Thermal,0.195866,0.026932,2222.2,15.0,small
R15S,650,Calibration,Thermal,0.190476,0.026191,2220.4,15.0,small
R15S,660,Validation,Thermal,0.185256,0.025466,2218.4,15.0,small
R15S,670,Calibration,Thermal,0.180167,0.024779,2216.2,15.0,small
R15S,680,Calibration,Thermal,0.175173,0.024077,2213.7,15.0,small
R15S,690,Validation,Thermal,0.170339,0.023415,2211.0,15.0,small
R15S,700,Calibration,Thermal,0.165596,0.022763,2208.1,15.0,small
R15S,710,Calibration,Thermal,0.160973,0.022123,2205.0,15.0,small
R15S,720,Calibration,Thermal,0.156503,0.02152,2201.7,15.0,small
R15S,730,Validation,Thermal,0.152083,0.020901,2198.1,15.0,small
R15S,740,Validation,Thermal,0.14781,0.020318,2194.3,15.0,small
R15S,750,Calibration,Thermal,0.143648,0.019746,2190.3,15.0,small
R15S,760,Validation,Thermal,0.139563,0.019182,2186.1,15.0,small
R15S,770,Calibration,Thermal,0.135586,0.018628,2181.7,15.0,small
R15S,780,Validation,Thermal,0.131682,0.018106,2177.1,15.0,small
R15S,790,Validation,Thermal,0.127915,0.017595,2172.2,15.0,small
R15S,800,Validation,Thermal,0.124216,0.017067,2167.1,15.0,small
R20S,20,Calibration,Thermal,0.860419,0.11827,2232.0,20.0,small
R20S,30,Validation,Thermal,0.841471,0.115703,2231.2,20.0,small
R20S,40,Validation,Thermal,0.82291,0.113133,2230.4,20.0,small
R20S,50,Calibration,Thermal,0.804626,0.110637,2229.6,20.0,small
R20S,60,Validation,Thermal,0.78668,0.108137,2228.8,20.0,small
R20S,70,Calibration,Thermal,0.769108,0.105743,2228.0,20.0,small
R20S,80,Validation,Thermal,0.751857,0.103352,2227.2,20.0,small
R20S,90,Calibration,Thermal,0.734868,0.101023,2226.4,20.0,small
R20S,100,Validation,Thermal,0.718248,0.098734,2225.6,20.0,small
R20S,110,Calibration,Thermal,0.701882,0.096502,2224.8,20.0,small
R20S,120,Calibration,Thermal,0.685876,0.094309,2224.0,20.0,small
R20S,130,Calibration,Thermal,0.670164,0.092145,2223.2,20.0,small
R20S,140,Calibration,Thermal,0.654756,0.090013,2222.4,20.0,small
R20S,150,Calibration,Thermal,0.63959,0.087942,2221.6,20.0,small
R20S,160,Calibration,Thermal,0.624765,0.085905,2220.8,20.0,small
R20S,170,Calibration,Thermal,0.61022,0.083896,2220.0,20.0,small
R20S,180,Calibration,Thermal,0.595957,0.081915,2219.2,20.0,small
R20S,190,Calibration,Thermal,0.581979,0.079995,2218.4,20.0,small
R20S,200,Validation,Thermal,0.568269,0.078136,2217.6,20.0,small
R20S,210,Calibration,Thermal,0.554788,0.07627,2216.8,20.0,small
R20S,220,Validation,Thermal,0.541618,0.074465,2216.0,20.0,small
R20S,230,Validation,Thermal,0.528713,0.072689,2215.2,20.0,small
R20S,240,Calibration,Thermal,0.516026,0.070937,2214.4,20.0,small
R20S,250,Calibration,Thermal,0.503638,0.069243,2213.6,20.0,small
R20S,260,Validation,Thermal,0.491463,0.067572,2212.8,20.0,small
R20S,270,Calibration,Thermal,0.47958,0.065928,2212.0,20.0,small
R20S,280,Calibration,Thermal,0.467903,0.064339,2211.2,20.0,small
R20S,290,Calibration,Thermal,0.45647,0.062743,2210.4,20.0,small
R20S,300,Validation,Thermal,0.445279,0.061201,2209.7,20.0,small
R20S,310,Calibration,Thermal,0.434283,0.059709,2208.9,20.0,small
R20S,320,Calibration,Thermal,0.423564,0.058216,2208.1,20.0,small
R20S,330,Validation,Thermal,0.413032,0.056771,2207.3,20.0,small
R20S,340,Validation,Thermal,0.402733,0.055378,2206.5,20.0,small
R20S,350,Calibration,Thermal,0.392659,0.053978,2205.7,20.0,small
R20S,360,Calibration,Thermal,0.382765,0.052627,2204.9,20.0,small
R20S,370,Validation,Thermal,0.373094,0.051298,2204.1,20.0,small
R20S,380,Calibration,Thermal,0.36364,0.049989,2203.3,20.0,small
R20S,390,Calibration,Thermal,0.354358,0.048727,2202.5,20.0,small
R20S,400,Calibration,Thermal,0.345291,0.047458,2201.7,20.0,small
R20S,410,Validation,Thermal,0.336429,0.046266,2201.0,20.0,small
R20S,420,Calibration,Thermal,0.327735,0.045062,2200.2,20.0,small
R20S,430,Validation,Thermal,0.319248,0.043878,2199.4,20.0,small
R20S,440,Validation,Thermal,0.310958,0.042742,2198.6,20.0,small
R20S,450,Calibration,Thermal,0.302791,0.041619,2197.8,20.0,small
R20S,460,Calibration,Thermal,0.29486,0.040545,2197.0,20.0,small
R20S,470,Calibration,Thermal,0.287082,0.039459,2196.2,20.0,small
R20S,480,Calibration,Thermal,0.279458,0.038417,2195.4,20.0,small
R20S,490,Calibration,Thermal,0.272022,0.037391,2194.7,20.0,small
R20S,500,Validation,Thermal,0.264736,0.036408,2193.9,20.0,small
R20S,510,Calibration,Thermal,0.257633,0.035416,2193.1,20.0,small
R20S,520,Validation,Thermal,0.250675,0.034465,2192.3,20.0,small
R20S,530,Calibration,Thermal,0.24386,0.033528,2191.5,20.0,small
R20S,540,Calibration,Thermal,0.237186,0.032605,2190.7,20.0,small
R20S,550,Calibration,Thermal,0.230687,0.031724,2189.9,20.0,small
R20S,560,Calibration,Thermal,0.224325,0.030832,2189.2,20.0,small
R20S,570,Validation,Thermal,0.218134,0.02998,2188.4,20.0,small
R20S,580,Calibration,Thermal,0.21204,0.02914,2187.6,20.0,small
R20S,590,Calibration,Thermal,0.206112,0.028341,2186.8,20.0,small
R20S,600,Calibration,Thermal,0.200313,0.027528,2186.0,20.0,small
R20S,610,Calibration,Thermal,0.194652,0.026755,2185.1,20.0,small
R20S,620,Calibration,Thermal,0.189136,0.025997,2184.0,20.0,small
R20S,630,Calibration,Thermal,0.183794,0.025255,2182.7,20.0,small
R20S,640,Validation,Thermal,0.178556,0.02455,2181.2,20.0,small
R20S,650,Calibration,Thermal,0.173487,0.02386,2179.4,20.0,small
