mix_type,temperature,replicate,pressure_difference,permeability,flow_rate,viscosity
control,100,2,0.1,1.1332630479910046e-16,1.2136685922259753e-08,1.8675000000000003e-05
control,100,2,0.2,1.075702766368597e-16,2.3040487633062313e-08,1.8675000000000003e-05
control,100,2,0.5,1.1802129074747162e-16,6.319747831189912e-08,1.8675000000000003e-05
control,100,2,1.0,1.1616327588365033e-16,1.24405114734833e-07,1.8675000000000003e-05
control,100,3,0.1,1.031105460831275e-16,1.1042628763922621e-08,1.8675000000000003e-05
control,100,3,0.2,1.2482203696077854e-16,2.673564379347331e-08,1.8675000000000003e-05
control,100,3,0.5,9.148250163871962e-17,4.8986613996637004e-08,1.8675000000000003e-05
control,100,3,1.0,1.2059561664648682e-16,1.2915193215152536e-07,1.8675000000000003e-05
control,100,4,0.1,1.1924833488981452e-16,1.2770906012296063e-08,1.8675000000000003e-05
control,100,4,0.2,1.1432562751137182e-16,2.448741686990561e-08,1.8675000000000003e-05
control,100,4,0.5,1.0228081983249289e-16,5.476884596117422e-08,1.8675000000000003e-05
control,100,4,1.0,1.0792803755452913e-16,1.1558558238771524e-07,1.8675000000000003e-05
control,100,5,0.1,1.0801860126085986e-16,1.1568257163144294e-08,1.8675000000000003e-05
control,100,5,0.2,1.097958155676659e-16,2.3517176025202868e-08,1.8675000000000003e-05
control,100,5,0.5,1.0717685858105752e-16,5.7390553457058906e-08,1.8675000000000003e-05
control,100,5,1.0,1.1514733030534813e-16,1.233170873417383e-07,1.8675000000000003e-05
control,200,1,0.1,1.4388076832023932e-16,1.4700461641914619e-08,1.9574999999999998e-05
control,200,1,0.2,1.2330426747931422e-16,2.5196274325274936e-08,1.9574999999999998e-05
control,200,1,0.5,1.2485349677187276e-16,6.378211840197844e-08,1.9574999999999998e-05
control,200,1,1.0,1.2029819433024258e-16,1.2291003252132066e-07,1.9574999999999998e-05
control,200,2,0.1,1.165264836986284e-16,1.1905643289770464e-08,1.9574999999999998e-05
control,200,2,0.2,1.0734772951357609e-16,2.193567908323394e-08,1.9574999999999998e-05
control,200,2,0.5,1.3021636382281513e-16,6.652176951357095e-08,1.9574999999999998e-05
control,200,2,1.0,1.1912056924513315e-16,1.2170683958634296e-07,1.9574999999999998e-05
control,200,3,0.1,1.2834861959961102e-16,1.311352435245068e-08,1.9574999999999998e-05
control,200,3,0.2,1.2843640526332066e-16,2.624498702698762e-08,1.9574999999999998e-05
control,200,3,0.5,1.2107393431011732e-16,6.185130743811869e-08,1.9574999999999998e-05
control,200,3,1.0,1.1413853812481916e-16,1.1661664176226734e-07,1.9574999999999998e-05
control,200,4,0.1,1.1930239735140414e-16,1.2189261542927628e-08,1.9574999999999998e-05
control,200,4,0.2,1.0495110861071101e-16,2.1445948119685523e-08,1.9574999999999998e-05
control,200,4,0.5,1.1660686256329722e-16,5.956927844868314e-08,1.9574999999999998e-05
control,200,4,1.0,1.5579471747344448e-16,1.5917723368934304e-07,1.9574999999999998e-05
control,200,5,0.1,1.1789648333939385e-16,1.2045617710282897e-08,1.9574999999999998e-05
control,200,5,0.2,1.327932387555197e-16,2.7135272287207096e-08,1.9574999999999998e-05
control,200,5,0.5,1.1073513700179571e-16,5.656967407499142e-08,1.9574999999999998e-05
control,200,5,1.0,1.0930201113139584e-16,1.1167510715851428e-07,1.9574999999999998e-05
control,400,1,0.1,1.5000735299127359e-16,1.4035775718481737e-08,2.1375e-05
control,400,1,0.2,1.3777598435527084e-16,2.578264034718518e-08,2.1375e-05
control,400,1,0.5,1.3351123644199481e-16,6.246139716584552e-08,2.1375e-05
control,400,1,1.0,1.3148375250235279e-16,1.2302573333553478e-07,2.1375e-05
control,400,2,0.1,1.3985093709556615e-16,1.3085467798415543e-08,2.1375e-05
control,400,2,0.2,1.4741885457629016e-16,2.7587154072756047e-08,2.1375e-05
control,400,2,0.5,1.6393292663196186e-16,7.669376684536228e-08,2.1375e-05
control,400,2,1.0,1.6831706668305348e-16,1.5748965303677515e-07,2.1375e-05
control,400,3,0.1,1.2134741061929675e-16,1.1354143683676887e-08,2.1375e-05
control,400,3,0.2,1.3467043669217216e-16,2.5201485228944493e-08,2.1375e-05
control,400,3,0.5,1.3195238522124456e-16,6.173211004502669e-08,2.1375e-05
control,400,3,1.0,1.428060277392771e-16,1.3361967507768614e-07,2.1375e-05
control,400,4,0.1,1.3662330700719412e-16,1.278346732231056e-08,2.1375e-05
control,400,4,0.2,1.4130349156662262e-16,2.6442758655742245e-08,2.1375e-05
control,400,4,0.5,1.3573099005981455e-16,6.34998783905565e-08,2.1375e-05
control,400,4,1.0,1.567372033387879e-16,1.466546931824916e-07,2.1375e-05
control,400,5,0.1,1.50577199292274e-16,1.4089094670622126e-08,2.1375e-05
control,400,5,0.2,1.3206291468451144e-16,2.4713527894177577e-08,2.1375e-05
control,400,5,0.5,1.3219193989036688e-16,6.184418240484999e-08,2.1375e-05
control,400,5,1.0,1.598670592038994e-16,1.4958321329019825e-07,2.1375e-05
control,600,1,0.1,1.613822297013343e-16,1.392726901413888e-08,2.3175e-05
control,600,1,0.2,1.7452632630535907e-16,3.012320626629714e-08,2.3175e-05
control,600,1,0.5,1.6503665651016007e-16,7.121322826759872e-08,2.3175e-05
control,600,1,1.0,1.5777912093182208e-16,1.361632111601485e-07,2.3175e-05
control,600,2,0.1,1.5000800341077012e-16,1.2945674512256321e-08,2.3175e-05
control,600,2,0.2,1.7596170609157155e-16,3.037095250771461e-08,2.3175e-05
control,600,2,0.5,1.622935512008991e-16,7.002957980621319e-08,2.3175e-05
control,600,2,1.0,1.795003951149096e-16,1.5490864734835778e-07,2.3175e-05
control,600,3,0.1,1.763289089565065e-16,1.5217165821489232e-08,2.3175e-05
control,600,3,0.2,1.7637843891355582e-16,3.04428805028791e-08,2.3175e-05
control,600,3,0.5,1.6145995825776053e-16,6.966988490086753e-08,2.3175e-05
control,600,3,1.0,1.6935468473405268e-16,1.4615291023434965e-07,2.3175e-05
control,600,4,0.1,1.5343660273187144e-16,1.3241562263807677e-08,2.3175e-05
control,600,4,0.2,1.584237010178907e-16,2.734389661581716e-08,2.3175e-05
control,600,4,0.5,1.808527455389049e-16,7.803786215270976e-08,2.3175e-05
control,600,4,1.0,1.7949470644079668e-16,1.5490373802873498e-07,2.3175e-05
control,600,5,0.1,1.4366562135175332e-16,1.239832762474678e-08,2.3175e-05
control,600,5,0.2,1.4853774230366098e-16,2.5637582274634042e-08,2.3175e-05
control,600,5,0.5,1.8824730256260745e-16,8.12286095200032e-08,2.3175e-05
control,600,5,1.0,1.6746834247269044e-16,1.445249988976832e-07,2.3175e-05
