Analysis_Type,FOV_ID,Measurement_Scale,Mix_ID,Sample_ID,Temperature_C,crack_density_mm_per_mm2,crack_fraction_est,itz_damage_index,mass_fraction_800C,melt_phase_fraction,percolates_x,percolates_y,percolates_z,phase,pore_components,pore_diam_um_p10,pore_diam_um_p50,pore_diam_um_p90,pore_eq_diam_p50_um,pore_eq_diam_p90_um,porosity,rubber_vol_frac,tga_total_loss_800,wt_percent
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,,,,,Other crystalline,,,,,,,,,,2.76722892591717
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.0
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.0
TGA,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,0.8421063568547096,,,,,,,,,,,,,,0.15801903585183347,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,0.0,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,0.03934167932581018,,,,1.0,1.0,1.0,,31843.0,,,,6.203504908994,7.81592641796772,0.08674904152199074,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,0.06650185865497944,,0.3966495400586452,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,0.0,,0.40668623449898766,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,0.0,,0.35447513962408617,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,0.06650185865497944,,0.3801114456283012,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,0.0,,0.39791495096574375,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,,,,,C-S-H (amorphous),,,,,,,,,,62.071597502931716
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,,,,,Portlandite (CH),,,,,,,,,,17.0169367277545
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,,,,,Calcite (CaCO3),,,,,,,,,,5.799206897953205
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,,,,,Quartz (SiO2),,,,,,,,,,9.285154416955953
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,,,,,Ettringite,,,,,,,,,,2.9484199397218624
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,,,,,Other crystalline,,,,,,,,,,2.2082202454236435
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.48986324255092684
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.18060102670818853
TGA,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,0.8406541077270446,,,,,,,,,,,,,,0.15947439486290568,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-200C-Furnace-Rep2,200,,,,,0.005215897736724289,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,0.01549388744212963,,,,1.0,1.0,0.0,,48443.0,,,,6.203504908994,7.81592641796772,0.08674904152199074,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,0.4015537636242068,,0.3606186835349211,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,0.35693667877707275,,0.41657806423512894,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,0.33462813635350563,,0.4540562293804015,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,0.2677025090828046,,0.35513288437020807,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,0.5354050181656091,,0.4290593694452821,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,,,,,C-S-H (amorphous),,,,,,,,,,60.55248668571747
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,,,,,Portlandite (CH),,,,,,,,,,16.663012065233872
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,,,,,Calcite (CaCO3),,,,,,,,,,6.73916273856161
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,,,,,Quartz (SiO2),,,,,,,,,,8.624062695860278
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,,,,,Ettringite,,,,,,,,,,1.7722674961579428
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,,,,,Other crystalline,,,,,,,,,,4.460940089336527
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.5630979885949138
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.6249702405373907
TGA,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,0.84290483197793,,,,,,,,,,,,,,0.1572283247109391,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-200C-Furnace-Rep3,200,,,,,0.06583201988716147,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,0.046802662037037035,,,,1.0,1.0,1.0,,29717.0,,,,6.203504908994,7.81592641796772,0.08749954788773148,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,0.06812123845295041,,0.5802230407595356,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,2.1798796304944132,,0.583791339501591,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,2.2480008689473636,,0.5481053881776698,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,2.1798796304944132,,0.5393816095742022,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,2.2480008689473636,,0.6226210119409061,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,,,,,C-S-H (amorphous),,,,,,,,,,60.87260579640604
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,,,,,Portlandite (CH),,,,,,,,,,16.839215403564197
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,,,,,Calcite (CaCO3),,,,,,,,,,7.063405789048428
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,,,,,Quartz (SiO2),,,,,,,,,,8.76943984450581
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,,,,,Ettringite,,,,,,,,,,3.091346549462231
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,,,,,Other crystalline,,,,,,,,,,3.277060584824628
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.0
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.08692603218866576
TGA,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,0.8455236636311643,,,,,,,,,,,,,,0.15459652829664927,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-400C-Furnace-Rep1,400,,,,,0.01784837929795891,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,0.010478832103587963,,,,1.0,1.0,0.0,,46490.0,,,,6.203504908994,7.81592641796772,0.08749954788773148,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,1.1061173283889953,,0.5415820827447301,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,1.24438199443762,,0.6052604073345266,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,0.9908967733484749,,0.5850922705116163,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,1.3826466604862442,,0.5996621574145399,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,1.0369849953646835,,0.5428724544250915,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,,,,,C-S-H (amorphous),,,,,,,,,,59.4178688048594
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,,,,,Portlandite (CH),,,,,,,,,,18.88947033683353
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,,,,,Calcite (CaCO3),,,,,,,,,,6.0458460929381745
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,,,,,Quartz (SiO2),,,,,,,,,,9.362630755456653
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,,,,,Ettringite,,,,,,,,,,1.6096611920956185
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,,,,,Other crystalline,,,,,,,,,,4.020975327015017
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.0
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.6535474908016035
TGA,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,0.8480275840812919,,,,,,,,,,,,,,0.15209449863413865,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-400C-Furnace-Rep2,400,,,,,0.0166987260105032,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,0.033112702546296294,,,,0.0,1.0,1.0,,38787.0,,,,6.203504908994,7.81592641796772,0.08749954788773148,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,0.0,,0.5748956398035229,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,2.219953937433569,,0.5636525464379842,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,0.1849961614527974,,0.5208514146180794,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,0.06937356054479903,,0.6260058337549598,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,2.358701058523167,,0.5822462139793411,,,,,,,,5.641895835477563,5.641895835477563,5.641895835477563,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,,,,,C-S-H (amorphous),,,,,,,,,,62.07799055888186
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,,,,,Portlandite (CH),,,,,,,,,,19.188442437122312
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,,,,,Calcite (CaCO3),,,,,,,,,,6.163089365934721
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,,,,,Quartz (SiO2),,,,,,,,,,8.76691772204781
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,,,,,Ettringite,,,,,,,,,,0.7463992736246752
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,,,,,Other crystalline,,,,,,,,,,2.4875076211144216
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.39214263917747283
XRD,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.17751038209673672
TGA,,Bulk,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,0.8425827254468754,,,,,,,,,,,,,,0.15754074929967674,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-400C-Furnace-Rep3,400,,,,,0.0010062716458342825,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,0.022708468967013888,,,,1.0,1.0,1.0,,726.0,,,,6.203504908994,6.203504908994,0.6882493760850694,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,0.14337893528871018,,0.7794376710407088,,,,,,,,5.641895835477563,5.641895835477563,13.81976597885342,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,0.1672754245034952,,0.7615769871648889,,,,,,,,5.641895835477563,5.641895835477563,12.6156626101008,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,0.09558595685914012,,0.8059188476468507,,,,,,,,5.641895835477563,5.641895835477563,12.805376255694124,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,0.21506840293306523,,0.8034729767364013,,,,,,,,5.641895835477563,5.641895835477563,13.81976597885342,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,0.07168946764435509,,0.768053177678413,,,,,,,,5.641895835477563,5.641895835477563,9.772050238058398,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,,,,,C-S-H (amorphous),,,,,,,,,,75.90417501855507
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,,,,,Portlandite (CH),,,,,,,,,,0.0
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,,,,,Calcite (CaCO3),,,,,,,,,,6.3541865641153725
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,,,,,Quartz (SiO2),,,,,,,,,,10.778543172173835
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,,,,,Ettringite,,,,,,,,,,2.8044758137247645
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,,,,,Other crystalline,,,,,,,,,,3.683769077014007
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.0
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.47485035441696216
TGA,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,0.8405506063295357,,,,,,,,,,,,,,0.15956841585187514,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-600C-Furnace-Rep1,600,,,,,0.01768858797303009,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,0.059659604673032406,,,,1.0,1.0,1.0,,859.0,,,,6.203504908994,6.203504908994,0.6882493760850694,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,0.16307409267915543,,0.7737368404231265,,,,,,,,5.641895835477563,5.641895835477563,15.854627424812044,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,0.20966669058748552,,0.7300052062457763,,,,,,,,5.641895835477563,5.641895835477563,13.338124631352382,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,0.09318519581666024,,0.7812517682765275,,,,,,,,5.641895835477563,5.641895835477563,9.772050238058398,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,0.0,,0.7887610150681807,,,,,,,,5.641895835477563,5.641895835477563,12.846801679451202,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,0.0,,0.7444274746539412,,,,,,,,5.641895835477563,5.641895835477563,11.283791670955125,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,,,,,C-S-H (amorphous),,,,,,,,,,75.02223290793734
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,,,,,Portlandite (CH),,,,,,,,,,0.0
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,,,,,Calcite (CaCO3),,,,,,,,,,6.8126846786726
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,,,,,Quartz (SiO2),,,,,,,,,,11.339389679132415
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,,,,,Ettringite,,,,,,,,,,2.8457535367253337
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,,,,,Other crystalline,,,,,,,,,,3.725843320831146
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.0
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.2540958767011534
TGA,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,0.8524241206371859,,,,,,,,,,,,,,0.14769498244116383,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-600C-Furnace-Rep2,600,,,,,0.0008338274747693371,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,0.05257613570601852,,,,1.0,1.0,1.0,,843.0,,,,6.203504908994,6.203504908994,0.6882493760850694,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,0.07092183759061349,,0.8101726418919756,,,,,,,,5.641895835477563,5.641895835477563,11.283791670955125,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,0.0,,0.8031921063265455,,,,,,,,5.641895835477563,5.641895835477563,12.6156626101008,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,0.0,,0.8385991203171147,,,,,,,,5.641895835477563,5.641895835477563,12.6156626101008,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,0.0,,0.8503652638370145,,,,,,,,5.641895835477563,5.641895835477563,13.338124631352382,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,0.07092183759061349,,0.8277460883324531,,,,,,,,5.641895835477563,5.641895835477563,11.283791670955125,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,,,,,C-S-H (amorphous),,,,,,,,,,72.59748453548515
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,,,,,Portlandite (CH),,,,,,,,,,0.0
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,,,,,Calcite (CaCO3),,,,,,,,,,8.451912533037312
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,,,,,Quartz (SiO2),,,,,,,,,,11.615449894451574
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,,,,,Ettringite,,,,,,,,,,2.461962607379627
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,,,,,Other crystalline,,,,,,,,,,4.432792388200679
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,,,,,Rubber/Polymeric,,,,,,,,,,0.27390253796527037
XRD,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,,,,,Char/Carbonaceous,,,,,,,,,,0.16649550348038872
TGA,,Bulk,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,0.8457506885685284,,,,,,,,,,,,,,0.15437334502955863,
Rubber-Signature,,Micro,HPRC-0,C28-HPRC-0-600C-Furnace-Rep3,600,,,,,0.005937174300815861,,,,,,,,,,,,0.0,,
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,,0.028743037471064815,,,,1.0,1.0,1.0,,226.0,,,,6.203504908994,6.203504908994,0.75,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,0.07319726497340406,,0.9920042816412018,,,,,,,,5.641895835477563,5.641895835477563,6.5766757444979955,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,0.2439908832446802,,1.0,,,,,,,,5.641895835477563,5.641895835477563,10.225572667927423,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,0.07319726497340406,,1.0,,,,,,,,5.641895835477563,5.641895835477563,9.772050238058398,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,0.0,,1.0,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,0.0,,1.0,,,,,,,,5.641895835477563,5.641895835477563,9.772050238058398,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,,,,,,,,,C-S-H (amorphous),,,,,,,,,,74.53769946972997
XRD,,Bulk,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,,,,,,,,,Portlandite (CH),,,,,,,,,,0.23932620857860554
XRD,,Bulk,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,,,,,,,,,Calcite (CaCO3),,,,,,,,,,3.0526562784985902
XRD,,Bulk,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,,,,,,,,,Quartz (SiO2),,,,,,,,,,13.859839268580632
XRD,,Bulk,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,,,,,,,,,Ettringite,,,,,,,,,,2.572440951529973
XRD,,Bulk,HPRC-0,C28-HPRC-0-800C-Furnace-Rep1,800,,,,,,,,,Other crystalline,,,,,,,,,,4.875449346825469
